<doc id="wr_1763-06-01" attrs="word" year="1763" month="06" day="01" corpus="2">
<head id="h2_d763e3650">
Genua	w1_d763e3654
Abschiede	w11_d763e4040
oder	w13_d763e4044
</p>
<p id="p6_d763e4047">
Passe	w1_d763e4051
vorzeigen	w3_d763e4054
sollen	w5_d763e4057
bey	w7_d763e4060
Strafe	w9_d763e4063
ins	w11_d763e4066
Ge	w13_d763e4070
fängnüß	w1_d763e4075
geworfen	w3_d763e4078
zu	w5_d763e4081
werden.	w7_d763e4084
</p>
<p id="p8_d763e4087">
Es	w1_d763e4091
ist	w3_d763e4094
eine	w5_d763e4097
Königl.	w7_d763e4100
Verordnung	w9_d763e4103
heraus	w11_d763e4106
gekommen,	w1_d763e4111
daß	w3_d763e4114
von	w5_d763e4117
dem	w7_d763e4120
Vieh,	w9_d763e4123
das	w11_d763e4126
in	w13_d763e4130
dem	w15_d763e4133
Königreiche	w1_d763e4138
aus	w3_d763e4141
und	w5_d763e4144
eingeführet	w7_d763e4147
wird	w9_d763e4150
nicht	w11_d763e4153
mehr	w1_d763e4159
als	w3_d763e4162
ein	w5_d763e4165
halb	w7_d763e4168
pro	w9_d763e4171
Cent	w11_d763e4174
Passage=geld	w13_d763e4178
be	w15_d763e4181
zahlet,	w1_d763e4186
widrigenfalls	w3_d763e4189
selbiges	w5_d763e4192
von	w7_d763e4195
allen	w9_d763e4198
Rech	w11_d763e4201
ten	w1_d763e4206
der	w3_d763e4209
5.	w5_d763e4212
grossen	w7_d763e4215
Reichs=pächte	w9_d763e4218
verloren	w11_d763e4221
seyn	w1_d763e4226
soll	w3_d763e4229
</p>
<p id="p10_d763e4232">
Es	w1_d763e4236
bleibet	w3_d763e4239
nun	w5_d763e4242
fest	w7_d763e4245
beschlossen,	w9_d763e4248
das	w11_d763e4251
Frie	w13_d763e4255
dens=fest	w1_d763e4260
und	w3_d763e4263
die	w5_d763e4266
Einweihung	w7_d763e4269
der	w9_d763e4272
Bild	w11_d763e4275
säule	w1_d763e4280
Ludwigs	w3_d763e4283
des	w5_d763e4286
Vielgeliebten	w7_d763e4289
mit	w9_d763e4292
al	w11_d763e4295
len	w1_d763e4301
Feyerlichkeiten	w3_d763e4304
zu	w5_d763e4307
begehen;	w7_d763e4310
seit	w9_d763e4313
acht	w11_d763e4316
Tägen	w1_d763e4321
wird	w3_d763e4324
an	w5_d763e4327
der	w7_d763e4330
Seine	w9_d763e4333
gegen	w11_d763e4336
dem	w13_d763e4340
neuen	w15_d763e4343
Place=royale	w1_d763e4348
über,	w3_d763e4351
an	w5_d763e4354
einem	w7_d763e4357
prächtigen	w9_d763e4360
Feuerwerk	w1_d763e4365
gearbeitet,	w3_d763e4368
welches	w5_d763e4371
bey	w7_d763e4374
dieser	w9_d763e4377
Ge	w11_d763e4380
legenheit	w1_d763e4386
spielen	w3_d763e4389
soll	w5_d763e4392
</p>
<p id="p12_d763e4396">
Schon	w1_d763e4400
seit	w3_d763e4403
langer	w5_d763e4406
Zeit	w7_d763e4409
eiferten	w9_d763e4412
verständi	w11_d763e4415
ge	w1_d763e4420
Leute	w3_d763e4423
wider	w5_d763e4426
den	w7_d763e4429
Mißzbrauch,	w9_d763e4432
die	w11_d763e4435
Todten	w13_d763e4439
in	w15_d763e4442
</p>
<p id="p18_d763e4455">
denen	w1_d763e4459
Städten	w3_d763e4462
zu	w5_d763e4465
begraben,	w7_d763e4468
oder	w9_d763e4471
auch	w11_d763e4474
gar	w13_d763e4478
in	w1_d763e4483
die	w3_d763e4486
Kirchen,	w5_d763e4489
den	w7_d763e4492
Häusern	w9_d763e4495
des	w11_d763e4498
lebendigen	w13_d763e4502
GOtees	w1_d763e4507
beyzusetzen.	w3_d763e4510
Das	w5_d763e4513
Vorurtheil,	w7_d763e4516
welches	w1_d763e4522
schwer	w3_d763e4525
zu	w5_d763e4528
verdringen	w7_d763e4531
ist,	w9_d763e4534
wenn	w11_d763e4537
es	w13_d763e4541
einmal	w1_d763e4546
Wurzel	w3_d763e4549
geschlagen,	w5_d763e4552
zumalen,	w7_d763e4555
wo	w9_d763e4558
die	w11_d763e4561
Religion	w1_d763e4566
den	w3_d763e4569
Dekmantel	w5_d763e4572
leihet,	w7_d763e4575
legte	w9_d763e4578
immer	w11_d763e4581
ei	w13_d763e4585
ner	w1_d763e4590
Verbesserung	w3_d763e4593
Hindernüsse	w5_d763e4596
in	w7_d763e4599
Weeg,	w9_d763e4602
welche	w11_d763e4605
jedoch	w1_d763e4611
das	w3_d763e4614
gemeine	w5_d763e4617
Beste	w7_d763e4620
erforderte;	w9_d763e4623
endlich	w11_d763e4626
erhob	w1_d763e4631
eine	w3_d763e4634
obrigkeitliche	w5_d763e4637
Person	w7_d763e4640
die	w9_d763e4643
Stimme	w11_d763e4646
zum	w1_d763e4651
Nutzen	w3_d763e4654
der	w5_d763e4657
Menschlichkeit.	w7_d763e4660
Eine	w9_d763e4663
mild	w11_d763e4666
thätige	w1_d763e4671
Seele	w3_d763e4674
machte	w5_d763e4677
eine	w7_d763e4680
Schenkung	w9_d763e4683
bey	w11_d763e4686
Leb=zeiten	w1_d763e4692
an	w3_d763e4695
das	w5_d763e4698
Kirch=spiel	w7_d763e4701
von	w9_d763e4704
St.	w11_d763e4707
Sul	w13_d763e4711
pice,	w1_d763e4716
von	w3_d763e4719
einem	w5_d763e4722
Haus,	w7_d763e4725
mit	w9_d763e4728
der	w11_d763e4731
Bedingung,	w13_d763e4735
daß	w1_d763e4740
es	w3_d763e4743
nieder	w5_d763e4746
gerissen,	w7_d763e4749
und	w9_d763e4752
der	w11_d763e4755
Platz	w13_d763e4759
zu	w15_d763e4762
ei	w17_d763e4765
nem	w1_d763e4770
GOttes=acker	w3_d763e4773
gebrauchet	w5_d763e4776
werden	w7_d763e4779
solte.	w9_d763e4782
Der	w1_d763e4788
Prinz	w3_d763e4791
von	w5_d763e4794
Conde	w7_d763e4797
gleich	w9_d763e4800
mehreren	w11_d763e4803
ande	w13_d763e4807
ren	w1_d763e4812
Haus=inhabern	w3_d763e4815
in	w5_d763e4818
der	w7_d763e4821
Nachbarschaft,	w9_d763e4824
setzten	w1_d763e4829
sich	w3_d763e4832
mit	w5_d763e4835
denen	w7_d763e4838
bündigsten	w9_d763e4841
Einwen	w11_d763e4844
dungen	w1_d763e4849
entgegen,	w3_d763e4852
und	w5_d763e4855
Hr.	w7_d763e4858
Pelletier	w9_d763e4861
de	w11_d763e4864
Far	w13_d763e4868
gean,	w1_d763e4874
General=advocat	w3_d763e4877
bey	w5_d763e4880
dem	w7_d763e4883
Parlament,	w9_d763e4886
redete	w1_d763e4891
öffentlich	w3_d763e4894
wider	w5_d763e4897
dieses	w7_d763e4900
Vorurtheil,	w9_d763e4903
mit	w1_d763e4908
der	w3_d763e4911
nachdrucksamsten	w5_d763e4914
Beredsamkeit,	w7_d763e4917
und	w9_d763e4920
legte	w1_d763e4925
dem	w3_d763e4928
Gerichts=hof	w5_d763e4931
folgende	w7_d763e4934
nützliche	w9_d763e4937
Anmerkungen	w1_d763e4943
unter	w3_d763e4946
Augen:	w5_d763e4949
</p>
<p id="p20_d763e4952">
Soll	w1_d763e4956
nicht	w3_d763e4959
das	w5_d763e4962
Vorhaben	w7_d763e4965
in	w9_d763e4968
einem	w11_d763e4971
der	w13_d763e4975
volkreichesten	w1_d763e4980
Viertel	w3_d763e4983
der	w5_d763e4986
Stadt	w7_d763e4989
einen	w9_d763e4992
Kirch	w11_d763e4995
hof	w1_d763e5000
anzulegen,	w3_d763e5003
die	w5_d763e5006
Aufmerksamkeit	w7_d763e5009
der	w9_d763e5012
Obrig	w11_d763e5015
keit	w1_d763e5021
auf	w3_d763e5024
sich	w5_d763e5027
ziehen?	w7_d763e5030
Soll	w9_d763e5033
man	w11_d763e5036
nicht	w13_d763e5040
unter	w15_d763e5043
die	w1_d763e5048
Mißbräuche	w3_d763e5051
die	w5_d763e5054
allzugrosse	w7_d763e5057
Leichtigkeit	w9_d763e5060
rechnen,	w1_d763e5065
mitten	w3_d763e5068
unter	w5_d763e5071
den	w7_d763e5074
Wohnungen	w9_d763e5077
der	w11_d763e5080
Lebendigen	w1_d763e5085
die	w3_d763e5088
Behältnüsse	w5_d763e5091
der	w7_d763e5094
vermorderten	w9_d763e5097
Todten	w1_d763e5103
zu	w3_d763e5106
leiden?	w5_d763e5109
Der	w7_d763e5112
Gestank,	w9_d763e5115
der	w11_d763e5118
von	w13_d763e5122
denen	w1_d763e5127
todten	w3_d763e5130
Cörpern	w5_d763e5133
kommt,	w7_d763e5136
warnet	w9_d763e5139
die	w11_d763e5142
Natur	w1_d763e5147
sich	w3_d763e5150
davon	w5_d763e5153
zu	w7_d763e5156
entfernen.	w9_d763e5159
Die	w11_d763e5162
wegen	w13_d763e5166
ihrer	w1_d763e5171
Policey=einrichtung	w3_d763e5174
berühmteste	w5_d763e5177
Völ	w7_d763e5180
ker	w1_d763e5186
des	w3_d763e5189
Altertums	w5_d763e5192
hatten	w7_d763e5195
die	w9_d763e5198
Begräbnüsse	w11_d763e5201
an	w13_d763e5205
abgesonderten	w1_d763e5210
Oertern.	w3_d763e5213
Wenn	w5_d763e5216
bey	w7_d763e5219
uns	w9_d763e5222
verschiedene	w1_d763e5227
solche	w3_d763e5230
Orte,	w5_d763e5233
wohin	w7_d763e5236
man	w9_d763e5239
die	w11_d763e5242
trau	w13_d763e5246
rigen	w1_d763e5251
Reste	w3_d763e5254
der	w5_d763e5257
Menschlichkeit	w7_d763e5260
niederleget,	w9_d763e5263
sich	w1_d763e5269
dermalen	w3_d763e5272
mitten	w5_d763e5275
in	w7_d763e5278
dieser	w9_d763e5281
Stadt	w11_d763e5284
befin	w13_d763e5288
den,	w1_d763e5293
so	w3_d763e5296
kommt	w5_d763e5299
es	w7_d763e5302
daher,	w9_d763e5305
daß	w11_d763e5308
die	w13_d763e5312
Stadt	w15_d763e5315
bey	w17_d763e5318
ihrem	w1_d763e5323
nach	w3_d763e5326
und	w5_d763e5329
nach	w7_d763e5332
immer	w9_d763e5335
grössern	w11_d763e5338
An	w13_d763e5342
wachs,	w1_d763e5347
solche	w3_d763e5350
Plätze	w5_d763e5353
mit	w7_d763e5356
ihrem	w9_d763e5359
Bezirk	w11_d763e5362
fasse	w13_d763e5366
</p>
<p id="p22_d763e5369">
te,	w1_d763e5373
die	w3_d763e5376
damals,	w5_d763e5379
als	w7_d763e5382
sie	w9_d763e5385
zu	w11_d763e5388
Begräbnüssen	w13_d763e5392
be	w15_d763e5395
stimmet	w1_d763e5400
wurden,	w3_d763e5403
ausserhalb	w5_d763e5406
derselben	w7_d763e5409
waren.	w9_d763e5412
Viele	w1_d763e5417
GOttes=äcker,	w3_d763e5420
welche	w5_d763e5423
im	w7_d763e5426
Anfang	w9_d763e5429
nichts	w1_d763e5435
beschwerliches	w3_d763e5438
hatten,	w5_d763e5441
müssen	w7_d763e5444
jetzt	w9_d763e5447
auf	w11_d763e5450
alle	w1_d763e5455
Weise	w3_d763e5458
zur	w5_d763e5461
Laste	w7_d763e5464
seyn.	w9_d763e5467
Jhre	w11_d763e5470
unreine	w13_d763e5474
Aus	w15_d763e5477
dünstungen,	w1_d763e5482
die	w3_d763e5485
sich	w5_d763e5488
sonsten	w7_d763e5491
in	w9_d763e5494
der	w11_d763e5497
freyen	w13_d763e5501
Luft	w15_d763e5504
verloren,	w1_d763e5509
stecken	w3_d763e5512
heut	w5_d763e5515
zu	w7_d763e5518
Tag	w9_d763e5521
in	w11_d763e5524
Gebäuden	w13_d763e5528
beysammen,	w1_d763e5534
wo	w3_d763e5537
die	w5_d763e5540
Winde	w7_d763e5543
abgehalten	w9_d763e5546
wer	w11_d763e5549
den	w1_d763e5554
selbige	w3_d763e5557
zu	w5_d763e5560
zerstreuen.	w7_d763e5563
Sie	w9_d763e5566
legen	w11_d763e5569
sich	w13_d763e5573
an	w15_d763e5576
die	w1_d763e5581
Mauren	w3_d763e5584
an,	w5_d763e5587
welche	w7_d763e5590
sie	w9_d763e5593
mit	w11_d763e5596
einem	w13_d763e5600
unsau	w15_d763e5603
bern	w1_d763e5608
Saft	w3_d763e5611
durchdringen,	w5_d763e5614
der	w7_d763e5617
sich	w9_d763e5620
auch	w11_d763e5623
wol	w13_d763e5627
in	w1_d763e5633
die	w3_d763e5636
benachbarten	w5_d763e5639
Wohnungen	w7_d763e5642
und	w9_d763e5645
in	w11_d763e5648
die	w13_d763e5652
Luft,	w1_d763e5657
welche	w3_d763e5660
man	w5_d763e5663
daselbst	w7_d763e5666
einhauchet,	w9_d763e5669
verbrei	w11_d763e5672
tet,	w1_d763e5677
und	w3_d763e5680
wer	w5_d763e5683
weiß,	w7_d763e5686
was	w9_d763e5689
für	w11_d763e5692
unbekannte	w13_d763e5696
Ur	w15_d763e5699
sachen	w1_d763e5704
es	w3_d763e5707
seyen,	w5_d763e5710
welche	w7_d763e5713
ansteckende	w9_d763e5716
Seuchen	w11_d763e5719
und	w1_d763e5725
ein	w3_d763e5728
allgemeines	w5_d763e5731
Sterben	w7_d763e5734
öfters	w9_d763e5737
veran	w11_d763e5740
lassen.	w1_d763e5745
Man	w3_d763e5748
beschweret	w5_d763e5751
sich,	w7_d763e5754
daß	w9_d763e5757
die	w11_d763e5760
Erde	w13_d763e5764
in	w1_d763e5769
denen	w3_d763e5772
meisten	w5_d763e5775
Kirchhöfen	w7_d763e5778
dieser	w9_d763e5781
Stadt	w11_d763e5784
von	w1_d763e5789
Leichen	w3_d763e5792
gleichsam	w5_d763e5795
so	w7_d763e5798
gesättiget	w9_d763e5801
seye,	w11_d763e5804
daß	w13_d763e5808
sie	w1_d763e5814
die	w3_d763e5817
Cörper,	w5_d763e5820
welche	w7_d763e5823
täglich	w9_d763e5826
dahin	w11_d763e5829
geleget	w13_d763e5833
werden,	w1_d763e5838
nicht	w3_d763e5841
mehr	w5_d763e5844
verzehren	w7_d763e5847
kan,	w9_d763e5850
rc.	w11_d763e5853
</p>
<p id="p24_d763e5857">
Der	w1_d763e5861
Schluß	w3_d763e5864
auf	w5_d763e5867
diese	w7_d763e5870
vor	w9_d763e5873
Gericht	w11_d763e5876
gehal	w13_d763e5880
tene	w1_d763e5885
Rede	w3_d763e5888
gehet	w5_d763e5891
dahin,	w7_d763e5894
daß	w9_d763e5897
Maaß=reguln	w11_d763e5900
genommen	w1_d763e5905
werden	w3_d763e5908
sollen,	w5_d763e5911
denen	w7_d763e5914
Beschwer	w9_d763e5917
lichkeiten,	w1_d763e5923
welchen	w3_d763e5926
diese	w5_d763e5929
Haupt=stadt	w7_d763e5932
bisher	w9_d763e5935
durch	w1_d763e5940
dergleichen	w3_d763e5943
Begräbnüsse	w5_d763e5946
ausgesetzt	w7_d763e5949
ge	w9_d763e5952
wesen,	w1_d763e5957
abzuhelfen.	w3_d763e5960
</p>
<head id="h2_d763e5966">
Moscau	w1_d763e5970
11.	w3_d763e5973
April.	w5_d763e5976
</head>
<p id="p4_d763e5979">
Die	w1_d763e5983
Rußische	w3_d763e5986
Kaiserin	w5_d763e5989
hat	w7_d763e5992
bey	w9_d763e5995
Gelegen	w11_d763e5998
heit	w1_d763e6003
der	w3_d763e6006
Krönung	w5_d763e6009
an	w7_d763e6012
alle	w9_d763e6015
fremde	w11_d763e6018
Ministern,	w13_d763e6022
deren	w1_d763e6027
Famille	w3_d763e6030
und	w5_d763e6033
Secretarien,	w7_d763e6036
goldene	w9_d763e6039
und	w11_d763e6042
silberne	w1_d763e6048
Denk=stücke	w3_d763e6051
austheilen	w5_d763e6054
lassen.	w7_d763e6057
Jh	w9_d763e6060
ro	w1_d763e6065
Maj.	w3_d763e6068
gedenken	w5_d763e6071
gegen	w7_d763e6074
End	w9_d763e6077
künftigen	w11_d763e6080
Mo	w13_d763e6084
nats	w1_d763e6089
von	w3_d763e6092
hier	w5_d763e6095
abzureisen;	w7_d763e6098
ja	w9_d763e6101
man	w11_d763e6104
versichert	w13_d763e6108
gar,	w1_d763e6113
daß	w3_d763e6116
sie	w5_d763e6119
sich	w7_d763e6122
vorgenommen,	w9_d763e6125
den	w11_d763e6128
28.	w13_d763e6132
Ju	w15_d763e6135
nius	w1_d763e6141
ihren	w3_d763e6144
feyerlichen	w5_d763e6147
Einzug	w7_d763e6150
in	w9_d763e6153
Petersburg	w11_d763e6156
zu	w1_d763e6161
halten.	w3_d763e6164
Vor	w5_d763e6167
einigen	w7_d763e6170
Tagen	w9_d763e6173
erhielte	w11_d763e6176
der	w13_d763e6180
Kön.	w1_d763e6185
Pohln.	w3_d763e6188
Cämmerer,	w5_d763e6191
Hr.	w7_d763e6194
v.	w9_d763e6197
Borch	w11_d763e6200
sein	w13_d763e6204
Credenz=schreiben	w1_d763e6209
als	w3_d763e6212
ausserordentlicher	w5_d763e6215
Ge	w7_d763e6218
sandte	w1_d763e6224
des	w3_d763e6227
Königs	w5_d763e6230
in	w7_d763e6233
Pohlen	w9_d763e6236
und	w11_d763e6239
der	w13_d763e6243
Repu	w15_d763e6246
blick;	w1_d763e6251
als	w3_d763e6254
er	w5_d763e6257
nun	w7_d763e6260
die	w9_d763e6263
Anfrag	w11_d763e6266
thate,	w13_d763e6270
wann	w15_d763e6273
er	w17_d763e6276
dasselbe	w1_d763e6281
Jhro	w3_d763e6284
Kais.	w5_d763e6287
Maj.	w7_d763e6290
vorlegen	w9_d763e6293
dörfte,	w11_d763e6296
so	w13_d763e6300
</p>
<p id="p8_d763e6305">
erklärte	w1_d763e6309
ihm	w3_d763e6312
der	w5_d763e6315
Groß	w7_d763e6318
canzler,	w9_d763e6321
wie	w11_d763e6324
daß	w13_d763e6328
Jhro	w15_d763e6331
Majest.	w1_d763e6336
es	w3_d763e6339
gar	w5_d763e6342
nicht	w7_d763e6345
annehmen	w9_d763e6348
würden.	w11_d763e6351
Da	w13_d763e6355
also	w1_d763e6360
sein	w3_d763e6363
längerer	w5_d763e6366
Aufenthalt	w7_d763e6369
fruchtlos	w9_d763e6372
ist,	w11_d763e6375
so	w1_d763e6381
gedenket	w3_d763e6384
er	w5_d763e6387
schon	w7_d763e6390
Morgen	w9_d763e6393
die	w11_d763e6396
Ruckreise	w13_d763e6400
nach	w1_d763e6405
Warschau	w3_d763e6408
anzutretten.	w5_d763e6411
</p>
<head id="h2_d763e6417">
Petersburg	w1_d763e6421
19.	w3_d763e6424
April.	w5_d763e6427
</head>
<p id="p4_d763e6430">
Den	w1_d763e6434
25sten	w3_d763e6437
März	w5_d763e6440
Abends	w7_d763e6443
um	w9_d763e6446
8.	w11_d763e6449
Uhr	w13_d763e6453
ist	w1_d763e6458
in	w3_d763e6461
Moscau	w5_d763e6464
zu	w7_d763e6467
dem	w9_d763e6470
Hof=juvelier	w11_d763e6473
Pansie,	w13_d763e6477
ein	w1_d763e6482
unbekannter	w3_d763e6485
Mensch,	w5_d763e6488
in	w7_d763e6491
einem	w9_d763e6494
blauen	w11_d763e6497
Rock,	w1_d763e6503
mit	w3_d763e6506
rothen	w5_d763e6509
Dragoner=aufschlägen	w7_d763e6512
und	w1_d763e6517
3.	w3_d763e6520
reichen	w5_d763e6523
Tressen,	w7_d763e6526
Camisol	w9_d763e6529
und	w11_d763e6532
Bein	w13_d763e6536
kleidern	w1_d763e6541
von	w3_d763e6544
gelben	w5_d763e6547
tuch,	w7_d763e6550
Stiefeln	w9_d763e6553
und	w11_d763e6556
Spo	w13_d763e6560
ren,	w1_d763e6565
einer	w3_d763e6568
schmalen	w5_d763e6571
goldenen	w7_d763e6574
Tresse	w9_d763e6577
und	w11_d763e6580
weissen	w1_d763e6586
Cocarde	w3_d763e6589
auf	w5_d763e6592
dem	w7_d763e6595
Hut,	w9_d763e6598
zu	w11_d763e6601
Pferde	w13_d763e6605
gekommen.	w1_d763e6610
Er	w3_d763e6613
sahe	w5_d763e6616
gut	w7_d763e6619
aus,	w9_d763e6622
hatte	w11_d763e6625
ein	w13_d763e6629
völliges	w1_d763e6634
jedoch	w3_d763e6637
etwas	w5_d763e6640
längliches	w7_d763e6643
Gesicht,	w9_d763e6646
und	w1_d763e6651
ein	w3_d763e6654
breites	w5_d763e6657
Kinn;	w7_d763e6660
schien	w9_d763e6663
etwa	w11_d763e6666
16.	w13_d763e6670
Jahr	w15_d763e6673
alt	w1_d763e6679
zu	w3_d763e6682
seyn,	w5_d763e6685
gieng	w7_d763e6688
ein	w9_d763e6691
wenig	w11_d763e6694
gebügt,	w13_d763e6698
und	w15_d763e6701
sprach	w1_d763e6706
Rußisch.	w3_d763e6709
Er	w5_d763e6712
zeigte	w7_d763e6715
ein	w9_d763e6718
Billet	w11_d763e6721
in	w13_d763e6725
deutscher	w1_d763e6730
Sprache	w3_d763e6733
vor,	w5_d763e6736
welches	w7_d763e6739
mit	w9_d763e6742
dem	w11_d763e6745
Namen	w1_d763e6750
des	w3_d763e6753
Herrn	w5_d763e6756
Hetmanns,	w7_d763e6759
Grafen	w9_d763e6762
Rasumowsky	w1_d763e6768
unterzeichnet	w3_d763e6771
war,	w5_d763e6774
und	w7_d763e6777
ver	w9_d763e6780
langte	w1_d763e6785
nach	w3_d763e6788
dem	w5_d763e6791
Jnhalt	w7_d763e6794
dieses	w9_d763e6797
Billets	w11_d763e6800
von	w1_d763e6805
gedachtem	w3_d763e6808
Juvelier	w5_d763e6811
Pansie	w7_d763e6814
nachstehen	w9_d763e6817
de	w1_d763e6822
Stücke,	w3_d763e6825
die	w5_d763e6828
ihm	w7_d763e6831
auch	w9_d763e6834
gegeben	w11_d763e6837
wurden,	w13_d763e6841
als:	w1_d763e6847
1)	w3_d763e6850
Brillantene	w5_d763e6853
Ohr=gehänge	w7_d763e6856
mit	w9_d763e6859
3.	w11_d763e6862
Pandelocken,	w1_d763e6867
au	w3_d763e6870
jour	w5_d763e6873
eingefaßt,	w7_d763e6876
unter	w9_d763e6879
denen	w11_d763e6882
die	w1_d763e6887
mittlere	w3_d763e6890
etwas	w5_d763e6893
gelblicht,	w7_d763e6896
am	w9_d763e6899
Wert	w11_d763e6902
2000.	w13_d763e6906
Rubel.	w1_d763e6911
2)	w3_d763e6914
Einen	w5_d763e6917
Ring	w7_d763e6920
in	w9_d763e6923
der	w11_d763e6926
Mitte	w13_d763e6930
mit	w15_d763e6933
einem	w1_d763e6939
grossen	w3_d763e6942
und	w5_d763e6945
hohen	w7_d763e6948
Brillant,	w9_d763e6951
am	w11_d763e6954
Ge	w13_d763e6958
wichte	w1_d763e6963
5.	w3_d763e6966
und	w5_d763e6969
ein	w7_d763e6972
achtel	w9_d763e6975
Carat,	w11_d763e6978
rund	w13_d763e6982
herum	w15_d763e6985
mit	w1_d763e6990
kleinen	w3_d763e6993
Brillanten	w5_d763e6996
besetzet,	w7_d763e6999
am	w9_d763e7002
Wer	w11_d763e7005
the	w1_d763e7010
1500.	w3_d763e7013
Rubel.	w5_d763e7016
3)	w7_d763e7019
Ein	w9_d763e7022
gleichfalls	w11_d763e7025
mit	w13_d763e7029
Brillianten	w1_d763e7035
besetzter	w3_d763e7038
Ring,	w5_d763e7041
etwas	w7_d763e7044
grösser,	w9_d763e7047
wie	w1_d763e7052
die	w3_d763e7055
vorigen,	w5_d763e7058
am	w7_d763e7061
Werthe	w9_d763e7064
1500.	w11_d763e7067
Rubel.	w13_d763e7071
4)	w1_d763e7076
Ein	w3_d763e7079
Ring	w5_d763e7082
von	w7_d763e7085
Brillianten,	w9_d763e7088
in	w11_d763e7091
Form	w13_d763e7095
eines	w15_d763e7098
Sterns,	w1_d763e7103
davon	w3_d763e7106
der	w5_d763e7109
mittlere	w7_d763e7112
Stein	w9_d763e7115
nicht	w11_d763e7118
gar	w13_d763e7122
zu	w1_d763e7128
groß,	w3_d763e7131
am	w5_d763e7134
Werth	w7_d763e7137
700.	w9_d763e7140
Rubel.	w11_d763e7143
5)	w13_d763e7147
Ein	w15_d763e7150
Ring,	w1_d763e7155
davon	w3_d763e7158
der	w5_d763e7161
grosse	w7_d763e7164
Stein	w9_d763e7167
doppelt	w11_d763e7170
mit	w13_d763e7174
Brillianten	w1_d763e7179
garnirt,	w3_d763e7182
am	w5_d763e7185
Gewichte	w7_d763e7188
2	w9_d763e7191
Ca	w11_d763e7194
rate,	w1_d763e7199
am	w3_d763e7202
Wehrt	w5_d763e7205
700.	w7_d763e7208
Rubel.	w9_d763e7211
Da	w11_d763e7214
sich	w13_d763e7218
nachhero	w1_d763e7224
gezeigt,	w3_d763e7227
daß	w5_d763e7230
dieser	w7_d763e7233
Mensch	w9_d763e7236
ein	w11_d763e7239
ver	w13_d763e7243
kleideter	w1_d763e7248
Spitzbube	w3_d763e7251
gewesen	w5_d763e7254
ist,	w7_d763e7257
hat	w9_d763e7260
der	w11_d763e7263
