<doc id="wr_1760-04-02" attrs="word" year="1760" month="04" day="02" corpus="2">
<head id="h2_d437e3044">
Civitavechia	w1_d437e3048
das	w13_d437e3521
Mittel	w1_d437e3527
geleget,	w3_d437e3530
und	w5_d437e3533
vorgewendet	w7_d437e3536
hätten,	w9_d437e3539
daß	w1_d437e3544
es	w3_d437e3547
eine	w5_d437e3550
alte	w7_d437e3553
See=regel	w9_d437e3556
wäre,	w11_d437e3559
so	w13_d437e3563
oft	w15_d437e3566
nämlichen	w1_d437e3571
zwey	w3_d437e3574
feindliche	w5_d437e3577
Schiffe	w7_d437e3580
in	w9_d437e3583
einem	w11_d437e3586
Hafen	w1_d437e3591
zusammen	w3_d437e3594
stiessen,	w5_d437e3597
daß	w7_d437e3600
deren	w9_d437e3603
alle	w11_d437e3606
zeit	w1_d437e3612
eines	w3_d437e3615
um	w5_d437e3618
die	w7_d437e3621
Feindseeligkeiten	w9_d437e3624
zu	w11_d437e3627
ver	w13_d437e3631
hinderen,	w1_d437e3636
24.	w3_d437e3639
Stunden	w5_d437e3642
ehender	w7_d437e3645
als	w9_d437e3648
das	w11_d437e3651
andere	w1_d437e3656
abseiglen	w3_d437e3659
müsse.	w5_d437e3662
</p>
<head id="h2_d437e3668">
Genua	w1_d437e3672
12.	w3_d437e3675
März.	w5_d437e3678
</head>
<p id="p4_d437e3681">
Jn	w1_d437e3685
denen	w3_d437e3688
letzten	w5_d437e3691
von	w7_d437e3694
Barcellona	w9_d437e3697
gekom	w11_d437e3700
menen	w1_d437e3705
Briefen	w3_d437e3708
wird	w5_d437e3711
gemeldet,	w7_d437e3714
daß	w9_d437e3717
in	w11_d437e3720
Ca	w13_d437e3724
talonien	w1_d437e3729
allbereits	w3_d437e3732
eine	w5_d437e3735
Armee	w7_d437e3738
von	w9_d437e3741
30000.	w11_d437e3744
streitbarester	w1_d437e3750
Soldaten	w3_d437e3753
zu	w5_d437e3756
Stande	w7_d437e3759
gekom	w9_d437e3762
men,	w1_d437e3767
wie	w3_d437e3770
auch,	w5_d437e3773
daß	w7_d437e3776
man	w9_d437e3779
alle	w11_d437e3782
alldaselbst	w13_d437e3786
sich	w1_d437e3791
befindende	w3_d437e3794
Arsenal	w5_d437e3797
genau	w7_d437e3800
visitiret,	w9_d437e3803
um	w11_d437e3806
zu	w1_d437e3811
sehen,	w3_d437e3814
was	w5_d437e3817
etwa	w7_d437e3820
an	w9_d437e3823
Artillerie,	w11_d437e3826
Muni	w13_d437e3830
tion,	w1_d437e3836
oder	w3_d437e3839
anderen	w5_d437e3842
Kriegs=gerähten	w7_d437e3845
ab	w9_d437e3848
gehe,	w1_d437e3853
und	w3_d437e3856
folglichen	w5_d437e3859
wiederum	w7_d437e3862
frisch	w9_d437e3865
nach	w11_d437e3868
</p>
<p id="p10_d437e3881">
gemachet	w1_d437e3885
werden	w3_d437e3888
müsse;	w5_d437e3891
anbey	w7_d437e3894
wird	w9_d437e3897
noch	w11_d437e3900
bekräftiget,	w1_d437e3905
daß	w3_d437e3908
erst,	w5_d437e3911
nachdeme	w7_d437e3914
die	w9_d437e3917
Kauf	w11_d437e3920
farthey=flotte	w1_d437e3925
von	w3_d437e3928
Cadix	w5_d437e3931
nacher	w7_d437e3934
America	w9_d437e3937
wird	w1_d437e3943
abgereiset	w3_d437e3946
seyn,	w5_d437e3949
die	w7_d437e3952
wahre	w9_d437e3955
Absicht	w11_d437e3958
be	w13_d437e3962
kannt	w1_d437e3967
gemacht	w3_d437e3970
werden	w5_d437e3973
solle,	w7_d437e3976
warum	w9_d437e3979
die	w11_d437e3982
Spanische	w1_d437e3987
Macht	w3_d437e3990
mit	w5_d437e3993
solcher	w7_d437e3996
Eilfertigkeit	w9_d437e3999
getrachtet,	w1_d437e4004
sich	w3_d437e4007
sowol	w5_d437e4010
zu	w7_d437e4013
Wasser	w9_d437e4016
als	w11_d437e4019
zu	w13_d437e4023
Land	w1_d437e4029
in	w3_d437e4032
einen	w5_d437e4035
so	w7_d437e4038
förchterlichen	w9_d437e4041
Stande	w11_d437e4044
zu	w13_d437e4048
setzen.	w1_d437e4053
</p>
<head id="h2_d437e4059">
Aus	w1_d437e4063
dem	w3_d437e4066
Heßischen	w5_d437e4069
10.	w7_d437e4072
März.	w9_d437e4075
</head>
<p id="p4_d437e4078">
Vor	w1_d437e4082
einigen	w3_d437e4085
Tagen	w5_d437e4088
erhielt	w7_d437e4091
man	w9_d437e4094
die	w11_d437e4097
Nach	w13_d437e4101
richt,	w1_d437e4106
daß	w3_d437e4109
die	w5_d437e4112
Franzosen	w7_d437e4115
abermals	w9_d437e4118
gegen	w11_d437e4121
Marburg	w1_d437e4126
angerücket	w3_d437e4129
wären,	w5_d437e4132
und	w7_d437e4135
daß	w9_d437e4138
die	w11_d437e4141
Besatzung	w1_d437e4147
aus	w3_d437e4150
dem	w5_d437e4153
dortigen	w7_d437e4156
Schlosse	w9_d437e4159
seit	w11_d437e4162
dem	w1_d437e4167
Donnerstage	w3_d437e4170
auf	w5_d437e4173
die	w7_d437e4176
feindliche	w9_d437e4179
Vor	w11_d437e4182
posten	w1_d437e4187
canonirt,	w3_d437e4190
womit	w5_d437e4193
sie	w7_d437e4196
den	w9_d437e4199
Freytag	w11_d437e4202
fortgefahren	w1_d437e4207
hätte.	w3_d437e4210
Jndessen	w5_d437e4213
haben	w7_d437e4216
diese	w9_d437e4219
Umstände	w1_d437e4225
veranlasset,	w3_d437e4228
daß	w5_d437e4231
aus	w7_d437e4234
denen	w9_d437e4237
hiesi	w11_d437e4240
gen	w1_d437e4245
Aemtern	w3_d437e4248
68.	w5_d437e4251
wol	w7_d437e4254
bespannte	w9_d437e4257
Wägen	w11_d437e4260
be	w13_d437e4264
ordret	w1_d437e4269
worden,	w3_d437e4272
das	w5_d437e4275
Lazareth	w7_d437e4278
von	w9_d437e4281
Franken	w11_d437e4284
berg	w1_d437e4289
so	w3_d437e4292
schleunig,	w5_d437e4295
als	w7_d437e4298
möglich	w9_d437e4301
ist,	w11_d437e4304
nach	w13_d437e4308
Cassel	w1_d437e4314
zu	w3_d437e4317
führen.	w5_d437e4320
Jn	w7_d437e4323
besagter	w9_d437e4326
Stadt	w11_d437e4329
kamen	w13_d437e4333
am	w1_d437e4338
Donnerstage	w3_d437e4341
Abends	w5_d437e4344
bey	w7_d437e4347
400.	w9_d437e4350
von	w11_d437e4353
de	w13_d437e4357
nen	w1_d437e4362
Gemeinden	w3_d437e4365
in	w5_d437e4368
der	w7_d437e4371
Herrschaft	w9_d437e4374
Schmal	w11_d437e4377
kalden	w1_d437e4382
gelieferte	w3_d437e4385
Recruten	w5_d437e4388
an.	w7_d437e4391
Man	w9_d437e4394
hat	w11_d437e4397
sie	w1_d437e4403
seitdem	w3_d437e4406
vorgenommen,	w5_d437e4409
um	w7_d437e4412
zu	w9_d437e4415
hören,	w11_d437e4418
wie	w13_d437e4422
ihre	w1_d437e4427
Umstände	w3_d437e4430
beschaffen,	w5_d437e4433
und	w7_d437e4436
ob	w9_d437e4439
welche	w11_d437e4442
darunter	w1_d437e4447
wären,	w3_d437e4450
die	w5_d437e4453
ihrer	w7_d437e4456
Güter	w9_d437e4459
und	w11_d437e4462
Fami	w13_d437e4466
lien	w1_d437e4471
wegen	w3_d437e4474
nicht	w5_d437e4477
wol	w7_d437e4480
von	w9_d437e4483
Hause	w11_d437e4486
entbehret	w13_d437e4490
werden	w1_d437e4496
könnten;	w3_d437e4499
auf	w5_d437e4502
welchen	w7_d437e4505
Fall	w9_d437e4508
sie	w11_d437e4511
nach	w13_d437e4515
dem	w1_d437e4520
Landes=herrlichen	w3_d437e4523
Befehl	w5_d437e4526
wieder	w7_d437e4529
ent	w9_d437e4532
lassen	w1_d437e4537
werden	w3_d437e4540
sollen.	w5_d437e4543
Heute,	w7_d437e4546
morgen,	w9_d437e4549
und	w11_d437e4552
übermorgen,	w1_d437e4557
als	w3_d437e4560
den	w5_d437e4563
letzten	w7_d437e4566
Termin,	w9_d437e4569
der	w11_d437e4572
zur	w1_d437e4578
Recruten=lieferung	w3_d437e4581
bestimmet	w5_d437e4584
ist,	w7_d437e4587
wer	w9_d437e4590
den	w1_d437e4595
die	w3_d437e4598
übrige	w5_d437e4601
ausgeschickte	w7_d437e4604
Commandi	w9_d437e4607
mit	w11_d437e4610
denen	w1_d437e4615
Recruten	w3_d437e4618
aus	w5_d437e4621
allen	w7_d437e4624
Heßischen	w9_d437e4627
Aem	w11_d437e4630
tern	w1_d437e4635
sich	w3_d437e4638
zu	w5_d437e4641
Cassel	w7_d437e4644
einfinden,	w9_d437e4647
mit	w11_d437e4650
denen	w13_d437e4654
man	w1_d437e4660
ebenfalls	w3_d437e4663
auf	w5_d437e4666
oben	w7_d437e4669
gemeldete	w9_d437e4672
Art	w11_d437e4675
ver	w13_d437e4679
fahren	w1_d437e4684
wird.	w3_d437e4687
Se.	w5_d437e4690
Hochfürstl.	w7_d437e4693
Durchl.	w9_d437e4696
der	w11_d437e4699
Herr	w1_d437e4704
Land=graf	w3_d437e4707
haben	w5_d437e4710
beschlossen,	w7_d437e4713
den	w9_d437e4716
an	w11_d437e4719
dem	w1_d437e4724
Schlosse	w3_d437e4727
zu	w5_d437e4730
Cassel,	w7_d437e4733
gegen	w9_d437e4736
die	w11_d437e4739
Reit	w13_d437e4743
bahn	w1_d437e4749
zu,	w3_d437e4752
befindlichen	w5_d437e4755
Wall	w7_d437e4758
abtragen,	w9_d437e4761
und	w11_d437e4764
solchen	w1_d437e4769
in	w3_d437e4772
den	w5_d437e4775
sogenannten	w7_d437e4778
Bären=graben	w9_d437e4781
</p>
<p id="p6_d437e4784">
stürzen	w1_d437e4788
zu	w3_d437e4791
lassen,	w5_d437e4794
welcher	w7_d437e4797
Bezirk	w9_d437e4800
dann	w11_d437e4803
künf	w13_d437e4807
tig	w1_d437e4812
zu	w3_d437e4815
einem	w5_d437e4818
Parade=platz	w7_d437e4821
für	w9_d437e4824
die	w11_d437e4827
Casseli	w13_d437e4831
sche	w1_d437e4836
Besatzung	w3_d437e4839
dienen	w5_d437e4842
soll.	w7_d437e4845
</p>
<head id="h2_d437e4851">
Portsmouth	w1_d437e4855
16.	w3_d437e4858
März.	w5_d437e4861
</head>
<p id="p4_d437e4864">
Der	w1_d437e4868
Medway	w3_d437e4871
und	w5_d437e4874
der	w7_d437e4877
Americaner,	w9_d437e4880
je	w11_d437e4883
des	w1_d437e4888
Schif	w3_d437e4891
von	w5_d437e4894
60.	w7_d437e4897
ferner	w9_d437e4900
der	w11_d437e4903
Liverpool	w13_d437e4907
und	w15_d437e4910
der	w1_d437e4915
Souht=seakastle	w3_d437e4918
von	w5_d437e4921
44.	w7_d437e4924
Canonen,	w9_d437e4927
haben	w1_d437e4933
den	w3_d437e4936
7.	w5_d437e4939
dieses	w7_d437e4942
von	w9_d437e4945
hier	w11_d437e4948
ihre	w13_d437e4952
Fahrt,	w15_d437e4955
unter	w17_d437e4958
Begleitung	w1_d437e4963
von	w3_d437e4966
6.	w5_d437e4969
Compagnie=schiffen,	w7_d437e4972
nach	w1_d437e4977
Ost=indien	w3_d437e4980
angetretten.	w5_d437e4983
Der	w7_d437e4986
Admi	w9_d437e4989
ral	w1_d437e4994
Holmes,	w3_d437e4997
der	w5_d437e5000
bereits	w7_d437e5003
seine	w9_d437e5006
Flagge	w11_d437e5009
auf	w13_d437e5013
das	w1_d437e5019
Kriegs=schif	w3_d437e5022
Cambridge	w5_d437e5025
gepflanzet,	w7_d437e5028
rü	w9_d437e5031
stet	w1_d437e5036
sich	w3_d437e5039
auch	w5_d437e5042
zur	w7_d437e5045
Abseeglung,	w9_d437e5048
nebst	w11_d437e5051
denen	w13_d437e5055
Schiffen,	w1_d437e5060
dem	w3_d437e5063
Vordertreffen	w5_d437e5066
und	w7_d437e5069
dem	w9_d437e5072
Du	w11_d437e5075
blin,	w1_d437e5080
um	w3_d437e5083
den	w5_d437e5086
Admiral	w7_d437e5089
Coates	w9_d437e5092
in	w11_d437e5095
West	w13_d437e5099
indien	w1_d437e5105
abzulösen.	w3_d437e5108
Der	w5_d437e5111
Ritter	w7_d437e5114
Donglas	w9_d437e5117
wird	w11_d437e5120
mit	w1_d437e5125
dem	w3_d437e5128
Chef	w5_d437e5131
der	w7_d437e5134
Escadre	w9_d437e5137
Moore	w11_d437e5140
auf	w13_d437e5144
denen	w15_d437e5147
Jnseln	w1_d437e5152
unter	w3_d437e5155
denen	w5_d437e5158
Winden	w7_d437e5161
das	w9_d437e5164
nämliche	w11_d437e5167
thun.	w1_d437e5172
Ermeldete	w3_d437e5175
zwey	w5_d437e5178
Schif=commandeurs	w7_d437e5181
werden	w1_d437e5187
zwey	w3_d437e5190
sehr	w5_d437e5193
reiche	w7_d437e5196
Kauffartheyflot	w9_d437e5199
ten	w1_d437e5204
von	w3_d437e5207
mehr	w5_d437e5210
als	w7_d437e5213
200.	w9_d437e5216
Schiffen	w11_d437e5219
nach	w13_d437e5223
denen	w15_d437e5226
Engländischen	w1_d437e5231
Pflanz=städten	w3_d437e5234
in	w5_d437e5237
Jndien	w7_d437e5240
begleiten.	w1_d437e5245
</p>
<head id="h2_d437e5252">
Londen	w1_d437e5256
19.	w3_d437e5259
März.	w5_d437e5262
</head>
<p id="p4_d437e5265">
Das	w1_d437e5269
Königl.	w3_d437e5272
Schif,	w5_d437e5275
der	w7_d437e5278
Norfolk	w9_d437e5281
von	w11_d437e5284
74.	w1_d437e5289
Canonen,	w3_d437e5292
welches	w5_d437e5295
mit	w7_d437e5298
der	w9_d437e5301
Panthera	w11_d437e5304
von	w1_d437e5309
60.	w3_d437e5312
Canonen	w5_d437e5315
nach	w7_d437e5318
Brasilien	w9_d437e5321
abseegeln	w11_d437e5324
wollte,	w1_d437e5330
ist	w3_d437e5333
auf	w5_d437e5336
der	w7_d437e5339
Höhe	w9_d437e5342
von	w11_d437e5345
der	w13_d437e5349
Jnsel	w15_d437e5352
Ma	w17_d437e5355
dera	w1_d437e5360
gestrandet,	w3_d437e5363
jedoch	w5_d437e5366
wurde	w7_d437e5369
ein	w9_d437e5372
Theil	w11_d437e5375
von	w13_d437e5379
seiner	w1_d437e5384
Ladung	w3_d437e5387
gerettet.	w5_d437e5390
Nun	w7_d437e5393
weiß	w9_d437e5396
man	w11_d437e5399
zu	w13_d437e5403
verläßig,	w1_d437e5408
daß	w3_d437e5411
den	w5_d437e5414
letztern	w7_d437e5417
4.	w9_d437e5420
August.	w11_d437e5423
11.	w13_d437e5427
Französische	w1_d437e5433
Schiffe	w3_d437e5436
von	w5_d437e5439
der	w7_d437e5442
Linie,	w9_d437e5445
und	w11_d437e5448
4.	w13_d437e5452
Fregatten,	w1_d437e5457
nebst	w3_d437e5460
einer	w5_d437e5463
starken	w7_d437e5466
Mannschaft	w9_d437e5469
von	w1_d437e5474
der	w3_d437e5477
Jnsel	w5_d437e5480
Mauritius	w7_d437e5483
abgefahren,	w9_d437e5486
um	w11_d437e5489
einen	w1_d437e5494
Versuch	w3_d437e5497
auf	w5_d437e5500
die	w7_d437e5503
Eroberung	w9_d437e5506
von	w11_d437e5509
Bom	w13_d437e5513
bay	w1_d437e5519
zu	w3_d437e5522
wagen.	w5_d437e5525
Drey	w7_d437e5528
Engländische	w9_d437e5531
befin	w11_d437e5534
den	w1_d437e5539
sich	w3_d437e5542
noch	w5_d437e5545
mit	w7_d437e5548
denen	w9_d437e5551
dreyen	w11_d437e5554
vom	w13_d437e5558
Herrn	w15_d437e5561
Thürot	w1_d437e5566
eroberten	w3_d437e5569
Fregatten	w5_d437e5572
in	w7_d437e5575
der	w9_d437e5578
Bay	w11_d437e5581
von	w13_d437e5585
Ramsey.	w1_d437e5590
Alle	w3_d437e5593
Schiffe	w5_d437e5596
wurden	w7_d437e5599
ihrer	w9_d437e5602
Mann	w11_d437e5605
schaft	w1_d437e5611
entblösset;	w3_d437e5614
die	w5_d437e5617
Französische	w7_d437e5620
Kriegs	w9_d437e5623
gefangene	w1_d437e5628
aber	w3_d437e5631
sind	w5_d437e5634
auf	w7_d437e5637
der	w9_d437e5640
Fregatte	w11_d437e5643
Pal	w13_d437e5647
las,	w1_d437e5652
theils	w3_d437e5655
nach	w5_d437e5658
Belfast,	w7_d437e5661
theils	w9_d437e5664
nach	w11_d437e5667
Whi	w13_d437e5671
</p>
<p id="p8_d437e5676">
tehaben	w1_d437e5680
gebracht	w3_d437e5683
worden.	w5_d437e5686
Zu	w7_d437e5689
Balfes	w9_d437e5692
be	w11_d437e5695
finden	w1_d437e5700
sich	w3_d437e5703
also,	w5_d437e5706
dem	w7_d437e5709
Verlaut	w9_d437e5712
nach	w11_d437e5715
100.	w13_d437e5719
Französische	w1_d437e5724
Officiers,	w3_d437e5727
und	w5_d437e5730
400.	w7_d437e5733
Solda	w9_d437e5736
ten;	w1_d437e5742
zu	w3_d437e5745
Woitehaven	w5_d437e5748
aber	w7_d437e5751
13.	w9_d437e5754
Officiers,	w11_d437e5757
und	w1_d437e5762
207.	w3_d437e5765
So	w5_d437e5768
daten.	w7_d437e5771
</p>
<p id="p10_d437e5774">
Den	w1_d437e5778
11.	w3_d437e5781
dieses	w5_d437e5784
ist	w7_d437e5787
das	w9_d437e5790
Schuldenver	w11_d437e5793
zeichnüß	w1_d437e5798
der	w3_d437e5801
Nation	w5_d437e5804
dem	w7_d437e5807
Parlament	w9_d437e5810
über	w11_d437e5813
reichet,	w1_d437e5818
und	w3_d437e5821
alsdann	w5_d437e5824
wichtige	w7_d437e5827
Berahtschla	w9_d437e5830
gungen	w1_d437e5836
gepflogen	w3_d437e5839
worden.	w5_d437e5842
Jn	w7_d437e5845
dem	w9_d437e5848
1749	w11_d437e5851
Jahr	w1_d437e5856
belieffen	w3_d437e5859
sich	w5_d437e5862
diese	w7_d437e5865
Schulden	w9_d437e5868
auf	w11_d437e5871
75.	w13_d437e5875
Millionen	w1_d437e5880
Pfund	w3_d437e5883
Sterlings,	w5_d437e5886
oder	w7_d437e5889
1680.	w9_d437e5892
Millionen	w1_d437e5897
Französische	w3_d437e5900
Livers,	w5_d437e5903
1755.	w7_d437e5906
nach	w9_d437e5909
dem	w1_d437e5915
man	w3_d437e5918
sieben	w5_d437e5921
Jahre	w7_d437e5924
mit	w9_d437e5927
Schuldentil	w11_d437e5930
gungen	w1_d437e5935
auf	w3_d437e5938
mancherley	w5_d437e5941
Weise	w7_d437e5944
zugebracht,	w9_d437e5947
blieben	w1_d437e5952
dannoch	w3_d437e5955
die	w5_d437e5958
National=schulden	w7_d437e5961
83.	w9_d437e5964
Millionen	w1_d437e5969
Pfund	w3_d437e5972
Sterlings,	w5_d437e5975
oder	w7_d437e5978
1867.	w9_d437e5981
Millionen	w1_d437e5987
Französische	w3_d437e5990
Livers.	w5_d437e5993
Gegenwär	w7_d437e5996
tig	w1_d437e6001
belauffen	w3_d437e6004
sich	w5_d437e6007
solche	w7_d437e6010
nicht	w9_d437e6013
höher,	w11_d437e6016
als	w13_d437e6020
90.	w1_d437e6025
Millionen	w3_d437e6028
Pfund	w5_d437e6031
Sterlings,	w7_d437e6034
oder	w9_d437e6037
auf	w11_d437e6040
2.	w1_d437e6045
Milliards,	w3_d437e6048
25.	w5_d437e6051
Millionen	w7_d437e6054
Französische	w9_d437e6057
Livers.	w1_d437e6063
</p>
<p id="p12_d437e6067">
Den	w1_d437e6071
12.	w3_d437e6074
dieses	w5_d437e6077
verhörte	w7_d437e6080
man	w9_d437e6083
die	w11_d437e6086
Zeu	w13_d437e6090
gen	w1_d437e6095
gegen	w3_d437e6098
den	w5_d437e6101
Lord	w7_d437e6104
Georg	w9_d437e6107
Sackville.	w11_d437e6110
Der	w13_d437e6114
16.	w1_d437e6119
ist	w3_d437e6122
ihm	w5_d437e6125
als	w7_d437e6128
eine	w9_d437e6131
Frist,	w11_d437e6134
seine	w13_d437e6138
Rechtfer	w15_d437e6141
tigungs=schrift	w1_d437e6147
einzugeben,	w3_d437e6150
anberaumet	w5_d437e6153
worden.	w1_d437e6158
Die	w3_d437e6161
Engländische	w5_d437e6164
Escadre,	w7_d437e6167
wel	w9_d437e6170
che	w1_d437e6175
sich	w3_d437e6178
in	w5_d437e6181
dem	w7_d437e6184
Baldischen	w9_d437e6187
Meere	w11_d437e6190
zeigen	w13_d437e6194
soll.	w15_d437e6197
stehet	w1_d437e6202
noch	w3_d437e6205
wegen	w5_d437e6208
ihrer	w7_d437e6211
Abseeglung	w9_d437e6214
in	w11_d437e6217
der	w13_d437e6221
grösten	w1_d437e6227
Ungewißheit.	w3_d437e6230
Die	w5_d437e6233
Aufmerksamkeit	w7_d437e6236
deren	w1_d437e6241
Nordischen	w3_d437e6244
Mächten,	w5_d437e6247
auf	w7_d437e6250
dem	w9_d437e6253
Groß	w11_d437e6256
brittannischen	w1_d437e6261
Seestaat	w3_d437e6264
ist	w5_d437e6267
so	w7_d437e6270
stark,	w9_d437e6273
daß	w11_d437e6276
die	w1_d437e6281
Engländische	w3_d437e6284
Admiralität	w5_d437e6287
nun	w7_d437e6290
wünschet,	w9_d437e6293
die	w1_d437e6299
Escadre	w3_d437e6302
des	w5_d437e6305
Hrn.	w7_d437e6308
Conflans	w9_d437e6311
möchte	w11_d437e6314
nur	w13_d437e6318
gänzlich	w1_d437e6323
in	w3_d437e6326
die	w5_d437e6329
Französische	w7_d437e6332
Häfen	w9_d437e6335
einge	w11_d437e6338
loffen	w1_d437e6343
seyn.	w3_d437e6346
Wie	w5_d437e6349
man	w7_d437e6352
spricht:	w9_d437e6355
so	w11_d437e6358
wird	w13_d437e6362
die	w1_d437e6367
für	w3_d437e6370
die	w5_d437e6373
Französischen	w7_d437e6376
Küsten	w9_d437e6379
bestimmte	w11_d437e6382
Flotte,	w1_d437e6388
nur	w3_d437e6391
aus	w5_d437e6394
28.	w7_d437e6397
Schiffen	w9_d437e6400
von	w11_d437e6403
der	w13_d437e6407
Linie	w15_d437e6410
bestehen.	w1_d437e6415
Doch	w3_d437e6418
werden	w5_d437e6421
die	w7_d437e6424
Fregatten,	w9_d437e6427
die	w11_d437e6430
Gallioten,	w1_d437e6435
die	w3_d437e6438
Chaluppen,	w5_d437e6441
die	w7_d437e6444
Branders,	w9_d437e6447
die	w1_d437e6452
Böte,	w3_d437e6455
die	w5_d437e6458
Nachen	w7_d437e6461
und	w9_d437e6464
andere	w11_d437e6467
Fahr	w13_d437e6471
zeuge	w1_d437e6477
weit	w3_d437e6480
zahlreicher	w5_d437e6483
als	w7_d437e6486
sonst	w9_d437e6489
seyn.	w11_d437e6492
</p>
<head id="h2_d437e6498">
Mayn=strom	w1_d437e6502
22.	w3_d437e6505
März.	w5_d437e6508
</head>
<p id="p4_d437e6511">
Die	w1_d437e6515
Bewegungen	w3_d437e6518
der	w5_d437e6521
alliirten	w7_d437e6524
Trupen	w9_d437e6527
</p>
<p id="p6_d437e6530">
ziehen	w1_d437e6534
anjetzo	w3_d437e6537
die	w5_d437e6540
Aufmerksamkeit	w7_d437e6543
des	w9_d437e6546
Pu	w11_d437e6549
blici	w1_d437e6554
meistentheils	w3_d437e6557
auf	w5_d437e6560
sich.	w7_d437e6563
Sie	w9_d437e6566
scheinen	w11_d437e6569
sich	w1_d437e6574
jedoch	w3_d437e6577
von	w5_d437e6580
hiesigen	w7_d437e6583
Gegenden	w9_d437e6586
eher	w11_d437e6589
zu	w13_d437e6593
entfernen,	w1_d437e6599
als	w3_d437e6602
sich	w5_d437e6605
selbigen	w7_d437e6608
zu	w9_d437e6611
nähern,	w11_d437e6614
indem,	w13_d437e6618
dem	w1_d437e6623
Vernehmen	w3_d437e6626
nach	w5_d437e6629
ein	w7_d437e6632
starkes	w9_d437e6635
Corps	w11_d437e6638
der	w13_d437e6642
selben	w1_d437e6647
gegen	w3_d437e6650
Franken	w5_d437e6653
vorgedrungen	w7_d437e6656
seyn	w9_d437e6659
solle.	w1_d437e6664
Man	w3_d437e6667
sagt	w5_d437e6670
sogar,	w7_d437e6673
daß	w9_d437e6676
sich	w11_d437e6679
selbige	w13_d437e6683
bis	w15_d437e6686
