<doc id="wr_1758-09-06" attrs="word" year="1758" month="09" day="06" corpus="2">
<head id="h2_d276e3771">
Leipzig	w1_d276e3775
Lager	w13_d276e4239
bey	w15_d276e4242
Schönwalde,	w1_d276e4247
alwo	w3_d276e4250
der	w5_d276e4253
Herr	w7_d276e4256
General	w9_d276e4259
von	w11_d276e4262
Dombasle,	w1_d276e4267
welcher	w3_d276e4270
schon	w5_d276e4273
den	w7_d276e4276
22.	w9_d276e4279
von	w11_d276e4282
Tschop	w13_d276e4286
pau	w1_d276e4292
nach	w3_d276e4295
Freyberg	w5_d276e4298
aufgebrochen,	w7_d276e4301
mit	w9_d276e4304
sei	w11_d276e4307
nem	w1_d276e4312
Corpo	w3_d276e4315
und	w5_d276e4318
den	w7_d276e4321
2.	w9_d276e4324
Fränkischen	w11_d276e4327
Kreis	w13_d276e4331
Regimentern	w1_d276e4336
ehestens	w3_d276e4339
erwartet	w5_d276e4342
wird.	w7_d276e4345
Den	w9_d276e4348
20.	w1_d276e4353
kam	w3_d276e4356
der	w5_d276e4359
letzte	w7_d276e4362
Transport	w9_d276e4365
von	w11_d276e4368
der	w13_d276e4372
Preu	w15_d276e4375
ßischen	w1_d276e4381
Feld=bäckerey	w3_d276e4384
und	w5_d276e4387
dem	w7_d276e4390
Proviant=amt	w9_d276e4393
aus	w1_d276e4398
Freyburg	w3_d276e4401
in	w5_d276e4404
Dresden	w7_d276e4407
an,	w9_d276e4410
das	w11_d276e4413
dasige	w13_d276e4417
Corpo	w1_d276e4422
aber	w3_d276e4425
vereinigte	w5_d276e4428
sich	w7_d276e4431
mit	w9_d276e4434
der	w11_d276e4437
Armee	w13_d276e4441
bey	w1_d276e4446
Maxen.	w3_d276e4449
Den	w5_d276e4452
18.	w7_d276e4455
kam	w9_d276e4458
es	w11_d276e4461
in	w13_d276e4465
der	w15_d276e4468
Ge	w17_d276e4471
gend	w1_d276e4477
von	w3_d276e4480
Pirna	w5_d276e4483
zwischen	w7_d276e4486
einen	w9_d276e4489
Corps	w11_d276e4492
Kai	w13_d276e4496
serl.	w1_d276e4501
Königl.	w3_d276e4504
und	w5_d276e4507
Preußische	w7_d276e4510
Hussaren	w9_d276e4513
zu	w11_d276e4516
ei	w13_d276e4520
nem	w1_d276e4525
Scharmützel,	w3_d276e4528
welcher	w5_d276e4531
für	w7_d276e4534
die	w9_d276e4537
letztern	w11_d276e4540
sehr	w1_d276e4545
übel	w3_d276e4548
abgeloffen.	w5_d276e4551
Unweit	w7_d276e4554
Freyberg	w9_d276e4557
ha	w11_d276e4560
ben	w1_d276e4566
die	w3_d276e4569
Preußen	w5_d276e4572
in	w7_d276e4575
einem	w9_d276e4578
Gefechte	w11_d276e4581
100.	w13_d276e4585
Mann	w1_d276e4590
Pfälzische	w3_d276e4593
Trupen	w5_d276e4596
zu	w7_d276e4599
Kriegsgefan	w9_d276e4602
genen	w1_d276e4607
gemacht,	w3_d276e4610
und	w5_d276e4613
nach	w7_d276e4616
Dresden	w9_d276e4619
geführt.	w11_d276e4622
Bey	w1_d276e4627
Suhl	w3_d276e4630
haben	w5_d276e4633
einige	w7_d276e4636
100.	w9_d276e4639
Würtember	w11_d276e4642
gische	w1_d276e4648
Reiter	w3_d276e4651
einen	w5_d276e4654
Preuß	w7_d276e4657
ischen	w1_d276e4662
Commissa	w3_d276e4665
</p>
<p id="p12_d276e4679">
rium	w1_d276e4683
mit	w3_d276e4686
Gewehr	w5_d276e4689
aufgehoben.	w7_d276e4692
Die	w9_d276e4695
6.	w11_d276e4698
bis	w13_d276e4702
7000.	w1_d276e4707
Mann	w3_d276e4710
Preußen,	w5_d276e4713
welche	w7_d276e4716
unlängst	w9_d276e4719
ge	w11_d276e4722
gen	w1_d276e4727
das	w3_d276e4730
Hildesheimische	w5_d276e4733
detaschirt	w7_d276e4736
worden,	w9_d276e4739
haben	w1_d276e4745
Ordre	w3_d276e4748
erhalten,	w5_d276e4751
schleunig	w7_d276e4754
umzukehren.	w9_d276e4757
</p>
<p id="p14_d276e4760">
Den	w1_d276e4764
21.	w3_d276e4767
kamen	w5_d276e4770
die	w7_d276e4773
200.	w9_d276e4776
Pfälzische	w11_d276e4779
Dra	w13_d276e4783
goner,	w1_d276e4788
welche	w3_d276e4791
der	w5_d276e4794
Expedition	w7_d276e4797
des	w9_d276e4800
Herrn	w11_d276e4803
Ob	w13_d276e4807
eisten	w1_d276e4812
von	w3_d276e4815
Etwös	w5_d276e4818
beygewohnet,	w7_d276e4821
aus	w9_d276e4824
der	w11_d276e4827
Grafschaft	w1_d276e4833
Hohenstein	w3_d276e4836
wiederum	w5_d276e4839
zurück,	w7_d276e4842
und	w9_d276e4845
zwar	w1_d276e4850
mit	w3_d276e4853
200.	w5_d276e4856
erbeuteten	w7_d276e4859
Pferden	w9_d276e4862
und	w11_d276e4865
15000.	w13_d276e4869
Thalern	w1_d276e4874
Contributions	w3_d276e4877
Geldern.	w5_d276e4880
Unter	w7_d276e4883
denen	w9_d276e4886
mitgebrachten	w1_d276e4891
5.	w3_d276e4894
Geiseln	w5_d276e4897
befindet	w7_d276e4900
sich	w9_d276e4903
auch	w11_d276e4906
der	w1_d276e4912
Preußische	w3_d276e4915
Land=raht,	w5_d276e4918
Herr	w7_d276e4921
von	w9_d276e4924
Wer	w11_d276e4927
ther.	w1_d276e4932
Obgedachter	w3_d276e4935
Herr	w5_d276e4938
Obrister	w7_d276e4941
soll	w9_d276e4944
mit	w11_d276e4947
seinen	w1_d276e4952
Trupen	w3_d276e4955
gegen	w5_d276e4958
Halberstadt	w7_d276e4961
herum	w9_d276e4964
streiffen.	w1_d276e4969
</p>
<head id="h2_d276e4975">
Aus	w1_d276e4979
dem	w3_d276e4982
Französischen	w5_d276e4985
Lager	w7_d276e4988
zu	w9_d276e4991
Scherembeck,	w1_d276e4996
21.	w3_d276e4999
Augusti.	w5_d276e5002
</head>
<p id="p4_d276e5005">
Gestern	w1_d276e5009
Mittags	w3_d276e5012
zog	w5_d276e5015
der	w7_d276e5018
Herzog	w9_d276e5021
von	w11_d276e5024
Chev	w13_d276e5028
reuse	w1_d276e5033
mit	w3_d276e5036
denen	w5_d276e5039
Dragonern	w7_d276e5042
aus,	w9_d276e5045
nachdem	w11_d276e5048
die	w13_d276e5052
Königl.	w1_d276e5057
Legion	w3_d276e5060
und	w5_d276e5063
alle	w7_d276e5066
Freywillige	w9_d276e5069
schon	w11_d276e5072
voraus	w1_d276e5078
gegangen	w3_d276e5081
waren.	w5_d276e5084
Die	w7_d276e5087
Ordre	w9_d276e5090
wur	w11_d276e5093
de	w1_d276e5098
ertheilet,	w3_d276e5101
daß	w5_d276e5104
heute	w7_d276e5107
die	w9_d276e5110
ganze	w11_d276e5113
Armee	w13_d276e5117
in	w15_d276e5120
4.	w1_d276e5125
Colonen	w3_d276e5128
marschieren,	w5_d276e5131
und	w7_d276e5134
sich	w9_d276e5137
mit	w11_d276e5140
Fou	w13_d276e5144
rage	w1_d276e5149
versehen	w3_d276e5152
solle,	w5_d276e5155
weil	w7_d276e5158
wir	w9_d276e5161
auf	w11_d276e5164
Heiden	w13_d276e5168
campiren	w1_d276e5174
würden.	w3_d276e5177
Diesen	w5_d276e5180
Morgen	w7_d276e5183
um	w9_d276e5186
halb	w1_d276e5191
7.	w3_d276e5194
Uhr	w5_d276e5197
geschahe	w7_d276e5200
der	w9_d276e5203
Aufbruch;	w11_d276e5206
hier	w13_d276e5210
kamen	w1_d276e5215
wir	w3_d276e5218
gegen	w5_d276e5221
Mittag	w7_d276e5224
an,	w9_d276e5227
und	w11_d276e5230
die	w13_d276e5234
Tru	w15_d276e5237
pen	w1_d276e5242
waren	w3_d276e5245
erst	w5_d276e5248
um	w7_d276e5251
6.	w9_d276e5254
Uhr	w11_d276e5257
alle	w13_d276e5261
im	w15_d276e5264
Lager;	w17_d276e5267
die	w1_d276e5273
Artillerie	w3_d276e5276
welche	w5_d276e5279
viel	w7_d276e5282
stärker	w9_d276e5285
ist,	w11_d276e5288
als	w13_d276e5292
sie	w15_d276e5295
in	w1_d276e5300
diesem	w3_d276e5303
Jahre	w5_d276e5306
gewesen,	w7_d276e5309
traf	w9_d276e5312
gleichfalls	w11_d276e5315
ein,	w1_d276e5320
Morgen	w3_d276e5323
werden	w5_d276e5326
wir	w7_d276e5329
Rast=tag	w9_d276e5332
halten,	w11_d276e5335
und	w1_d276e5340
Ubermorgen	w3_d276e5343
nach	w5_d276e5346
Dorsten	w7_d276e5349
gehen.	w9_d276e5352
Al	w11_d276e5355
lem	w1_d276e5361
Ansehen	w3_d276e5364
nach,	w5_d276e5367
werden	w7_d276e5370
wir	w9_d276e5373
alda	w11_d276e5376
die	w13_d276e5380
Lip	w15_d276e5383
pepaßiren.	w1_d276e5388
Man	w3_d276e5391
versichert,	w5_d276e5394
daß	w7_d276e5397
die	w9_d276e5400
Fein	w11_d276e5403
de	w1_d276e5408
gestern	w3_d276e5411
zu	w5_d276e5414
Ahaus	w7_d276e5417
gewesen,	w9_d276e5420
welches	w11_d276e5423
anzei	w13_d276e5427
get,	w1_d276e5432
daß	w3_d276e5435
sie	w5_d276e5438
gerade	w7_d276e5441
auf	w9_d276e5444
Osnabrück	w11_d276e5447
gehen,	w13_d276e5451
und	w1_d276e5457
sich	w3_d276e5460
unserer	w5_d276e5463
Vereinigung	w7_d276e5466
mit	w9_d276e5469
der	w11_d276e5472
Sou	w13_d276e5476
bisischen	w1_d276e5481
Armee	w3_d276e5484
nicht	w5_d276e5487
widersetzen	w7_d276e5490
wollen.	w9_d276e5493
</p>
<head id="h2_d276e5499">
Von	w1_d276e5503
der	w3_d276e5506
Sächsischen	w5_d276e5509
Gränze	w7_d276e5512
25.	w9_d276e5515
Augusti.	w1_d276e5520
</head>
<p id="p4_d276e5523">
Denen	w1_d276e5527
letzten	w3_d276e5530
Nachrichten	w5_d276e5533
aus	w7_d276e5536
Sachsen	w9_d276e5539
zu	w11_d276e5542
</p>
<p id="p6_d276e5545">
Folge,	w1_d276e5549
ist	w3_d276e5552
anjetzo	w5_d276e5555
die	w7_d276e5558
Armee	w9_d276e5561
des	w11_d276e5564
Prinzens	w13_d276e5568
Heinrich	w1_d276e5573
in	w3_d276e5576
3.	w5_d276e5579
Corps	w7_d276e5582
vertheilet,	w9_d276e5585
wovon	w11_d276e5588
das	w13_d276e5592
stärkeste	w1_d276e5597
annoch	w3_d276e5600
unweit	w5_d276e5603
Dippoldswalde	w7_d276e5606
tam	w9_d276e5609
piret,	w1_d276e5615
das	w3_d276e5618
andre	w5_d276e5621
zu	w7_d276e5624
Maxen,	w9_d276e5627
und	w11_d276e5630
das	w13_d276e5634
dritte	w15_d276e5637
zu	w1_d276e5642
Klingenberg,	w3_d276e5645
auf	w5_d276e5648
dem	w7_d276e5651
Weege	w9_d276e5654
von	w11_d276e5657
Dres	w13_d276e5661
den	w1_d276e5666
nach	w3_d276e5669
Freyberg.	w5_d276e5672
Sonst	w7_d276e5675
heist	w9_d276e5678
es,	w11_d276e5681
daß	w13_d276e5685
des	w15_d276e5688
Prinzen	w1_d276e5693
Heinrichs	w3_d276e5696
Königl.	w5_d276e5699
Hoheit	w7_d276e5702
an	w9_d276e5705
dem	w11_d276e5708
Fieber	w1_d276e5714
krank	w3_d276e5717
lägen.	w5_d276e5720
Pirna	w7_d276e5723
ist	w9_d276e5726
zwar	w11_d276e5729
durch	w13_d276e5733
einige	w1_d276e5738
Preußische	w3_d276e5741
Bataillons	w5_d276e5744
verstärkt	w7_d276e5747
wor	w9_d276e5750
den,	w1_d276e5755
es	w3_d276e5758
hat	w5_d276e5761
dieses	w7_d276e5764
aber	w9_d276e5767
nicht	w11_d276e5770
gehindert,	w13_d276e5774
daß	w15_d276e5777
200.	w1_d276e5782
Croaten	w3_d276e5785
am	w5_d276e5788
Fuße	w7_d276e5791
dieser	w9_d276e5794
Festung	w11_d276e5797
Po	w13_d276e5801
sto	w1_d276e5807
gefast,	w3_d276e5810
und	w5_d276e5813
sich	w7_d276e5816
in	w9_d276e5819
dem	w11_d276e5822
Landschaftshau	w13_d276e5826
se	w1_d276e5831
gesetzt,	w3_d276e5834
welches	w5_d276e5837
damals	w7_d276e5840
die	w9_d276e5843
Sächsische	w11_d276e5846
Grenadiers	w1_d276e5851
inne	w3_d276e5854
hatten.	w5_d276e5857
</p>
<head id="h2_d276e5863">
Calcar	w1_d276e5867
17.	w3_d276e5870
Augusti.	w5_d276e5873
</head>
<p id="p4_d276e5876">
Ausser	w1_d276e5880
denen	w3_d276e5883
Bedrückungen,	w5_d276e5886
welche	w7_d276e5889
der	w9_d276e5892
Krieg	w11_d276e5895
mit	w1_d276e5900
sich	w3_d276e5903
führt,	w5_d276e5906
wird	w7_d276e5909
das	w9_d276e5912
hiesige	w11_d276e5915
Land	w13_d276e5919
jetzt	w15_d276e5922
auch	w1_d276e5927
noch	w3_d276e5930
dazu	w5_d276e5933
durch	w7_d276e5936
eine	w9_d276e5939
betrübte	w11_d276e5942
Wasser	w13_d276e5946
flut	w1_d276e5952
heimgesucht.	w3_d276e5955
Der	w5_d276e5958
Rhein	w7_d276e5961
ist	w9_d276e5964
auf	w11_d276e5967
ein	w13_d276e5971
mal	w1_d276e5976
so	w3_d276e5979
hoch	w5_d276e5982
angeloffen,	w7_d276e5985
daß	w9_d276e5988
er	w11_d276e5991
alle	w13_d276e5995
Teiche	w15_d276e5998
und	w1_d276e6003
Dämme	w3_d276e6006
überströmt,	w5_d276e6009
ja,	w7_d276e6012
alles	w9_d276e6015
Korn	w11_d276e6018
und	w1_d276e6023
Wein=land	w3_d276e6026
überschwemmt	w5_d276e6029
hat.	w7_d276e6032
Das	w9_d276e6035
durch	w1_d276e6041
solche	w3_d276e6044
Ueberschwemmung	w5_d276e6047
verursachte	w7_d276e6050
Elend,	w1_d276e6055
und	w3_d276e6058
der	w5_d276e6061
daraus	w7_d276e6064
entstandene	w9_d276e6067
Schade,	w11_d276e6070
übertreffen	w1_d276e6075
alles,	w3_d276e6078
was	w5_d276e6081
wir	w7_d276e6084
von	w9_d276e6087
denen	w11_d276e6090
feindli	w13_d276e6094
chen	w1_d276e6099
Trupen	w3_d276e6102
erlitten	w5_d276e6105
haben,	w7_d276e6108
und	w9_d276e6111
niemand	w11_d276e6114
konnte	w1_d276e6120
in	w3_d276e6123
unserer	w5_d276e6126
Gegend	w7_d276e6129
um	w9_d276e6132
diese	w11_d276e6135
Jahrs	w13_d276e6139
zeit	w1_d276e6144
einen	w3_d276e6147
dergleichen	w5_d276e6150
unglücklichen	w7_d276e6153
Zufall	w9_d276e6156
vermuten.	w1_d276e6161
Es	w3_d276e6164
wird	w5_d276e6167
selbiger	w7_d276e6170
unfehlbar	w9_d276e6173
die	w11_d276e6176
betrübtesten	w1_d276e6181
Folgen	w3_d276e6184
nach	w5_d276e6187
sich	w7_d276e6190
ziehen.	w9_d276e6193
</p>
<head id="h2_d276e6200">
Londen	w1_d276e6204
17.	w3_d276e6207
Augusti.	w5_d276e6210
</head>
<p id="p4_d276e6213">
Jn	w1_d276e6217
diesem	w3_d276e6220
Jahr	w5_d276e6223
ist	w7_d276e6226
der	w9_d276e6229
Salm=fang	w11_d276e6232
recht	w13_d276e6236
geseegnet	w1_d276e6241
ausgefallen.	w3_d276e6244
AusNeweastle	w5_d276e6247
wird	w7_d276e6250
berichtet,	w1_d276e6255
daß	w3_d276e6258
am	w5_d276e6261
20.	w7_d276e6264
Julii	w9_d276e6267
mehr	w11_d276e6270
als	w13_d276e6274
2000.	w15_d276e6277
gefangen	w1_d276e6283
und	w3_d276e6286
auf	w5_d276e6289
dem	w7_d276e6292
Markt	w9_d276e6295
zum	w11_d276e6298
Verkauf	w13_d276e6302
gebracht	w1_d276e6307
worden	w3_d276e6310
seyn,	w5_d276e6313
das	w7_d276e6316
Pfund	w9_d276e6319
zu	w11_d276e6322
ein	w13_d276e6326
und	w15_d276e6329
einem	w1_d276e6334
halben,	w3_d276e6337
ja	w5_d276e6340
gar	w7_d276e6343
zu	w9_d276e6346
einem	w11_d276e6349
Sou.	w13_d276e6353
Am	w15_d276e6356
28.	w1_d276e6361
und	w3_d276e6364
29.	w5_d276e6367
ist	w7_d276e6370
in	w9_d276e6373
der	w11_d276e6376
Gegend	w13_d276e6380
von	w15_d276e6383
Glaß	w17_d276e6386
gow	w1_d276e6392
eine	w3_d276e6395
ungeheure	w5_d276e6398
Menge	w7_d276e6401
dererselben	w9_d276e6404
ge	w11_d276e6407
fangen	w1_d276e6412
worden,	w3_d276e6415
und	w5_d276e6418
zwar	w7_d276e6421
60.	w9_d276e6424
auf	w11_d276e6427
einen	w13_d276e6431
Zug,	w15_d276e6434
wovon	w1_d276e6439
wenig	w3_d276e6442
über	w5_d276e6445
einen	w7_d276e6448
Son	w9_d276e6451
das	w11_d276e6454
Pfund	w13_d276e6458
</p>
<p id="p10_d276e6471">
auf	w1_d276e6475
dem	w3_d276e6478
Markt	w5_d276e6481
hat	w7_d276e6484
verkauffet	w9_d276e6487
werden	w11_d276e6490
kön	w13_d276e6494
nen:	w1_d276e6499
und	w3_d276e6502
bey	w5_d276e6505
Dumbarton	w7_d276e6508
seynd	w9_d276e6511
sogar	w11_d276e6514
108.	w13_d276e6518
auf	w1_d276e6523
einmal	w3_d276e6526
im	w5_d276e6529
Netz	w7_d276e6532
gezogen	w9_d276e6535
worden.	w11_d276e6538
Am	w13_d276e6542
7.	w1_d276e6548
Abends	w3_d276e6551
ist	w5_d276e6554
zu	w7_d276e6557
Honslow	w9_d276e6560
eine	w11_d276e6563
Pulfer	w13_d276e6567
mühl,	w1_d276e6572
und	w3_d276e6575
3.	w5_d276e6578
bis	w7_d276e6581
4.	w9_d276e6584
Stund	w11_d276e6587
darauf,	w13_d276e6591
noch	w15_d276e6594
eine	w1_d276e6599
in	w3_d276e6602
die	w5_d276e6605
Luft	w7_d276e6608
geflogen,	w9_d276e6611
wobey	w11_d276e6614
600.	w13_d276e6618
Pfund	w15_d276e6621
Pulfer	w1_d276e6626
zu	w3_d276e6629
Schanden	w5_d276e6632
gegangen.	w7_d276e6635
Zu	w9_d276e6638
gu	w11_d276e6641
tem	w1_d276e6647
Glück	w3_d276e6650
ist	w5_d276e6653
kein	w7_d276e6656
Mensch	w9_d276e6659
dabey	w11_d276e6662
verunglü	w13_d276e6666
cket,	w1_d276e6671
und	w3_d276e6674
der	w5_d276e6677
Schade	w7_d276e6680
bestehet	w9_d276e6683
bloß	w11_d276e6686
in	w13_d276e6690
denen	w15_d276e6693
Mühlen.	w1_d276e6698
</p>
<p id="p12_d276e6702">
Die	w1_d276e6706
Gewalt=thätigkeiten,	w3_d276e6709
so	w5_d276e6712
v.	w7_d276e6715
unsern	w9_d276e6718
Ka	w11_d276e6721
pern	w1_d276e6726
ausgeübet	w3_d276e6729
werden,	w5_d276e6732
fangen	w7_d276e6735
an	w9_d276e6738
die	w11_d276e6741
Auf	w13_d276e6745
merksamkeit	w1_d276e6750
des	w3_d276e6753
Hofs	w5_d276e6756
auf	w7_d276e6759
sich	w9_d276e6762
zu	w11_d276e6765
ziehen.	w13_d276e6769
Es	w1_d276e6775
hat	w3_d276e6778
selbiger	w5_d276e6781
dahero	w7_d276e6784
auch	w9_d276e6787
in	w11_d276e6790
allen	w13_d276e6794
hiesigen	w15_d276e6797
offentlichen	w1_d276e6802
Blättern	w3_d276e6805
bekannt	w5_d276e6808
werden	w7_d276e6811
lassen,	w9_d276e6814
daß	w1_d276e6819
demjenigen,	w3_d276e6822
der	w5_d276e6825
die	w7_d276e6828
drey	w9_d276e6831
Armateurs	w11_d276e6834
entdecken	w1_d276e6839
wird,	w3_d276e6842
welche	w5_d276e6845
die	w7_d276e6848
Equipage	w9_d276e6851
des	w11_d276e6854
Spanischen	w1_d276e6860
Ministers	w3_d276e6863
am	w5_d276e6866
Königl.	w7_d276e6869
Dähni	w9_d276e6872
schen	w1_d276e6877
Hof,	w3_d276e6880
Marquis	w5_d276e6883
von	w7_d276e6886
Pignatelli,	w9_d276e6889
miß	w11_d276e6892
handelt	w1_d276e6897
haben,	w3_d276e6900
eine	w5_d276e6903
Recompens	w7_d276e6906
von	w9_d276e6909
500.	w11_d276e6912
Pfund	w1_d276e6917
Sterling	w3_d276e6920
zukommen	w5_d276e6923
solle.	w7_d276e6926
Am	w9_d276e6929
9ten	w11_d276e6932
dieses	w1_d276e6938
Monats	w3_d276e6941
seynd	w5_d276e6944
von	w7_d276e6947
dem	w9_d276e6950
Königl.	w11_d276e6953
Mi	w13_d276e6957
nister	w1_d276e6962
im	w3_d276e6965
Haag,	w5_d276e6968
Herrn	w7_d276e6971
Obrist	w9_d276e6974
Yorck,	w11_d276e6977
Depe	w13_d276e6981
schen	w1_d276e6986
eingekommen,	w3_d276e6989
die	w5_d276e6992
der	w7_d276e6995
bittern	w9_d276e6998
Klagen	w11_d276e7001
Erwähnung	w1_d276e7006
thun,	w3_d276e7009
welche	w5_d276e7012
die	w7_d276e7015
Holländische	w9_d276e7018
Handels=städte	w1_d276e7024
über	w3_d276e7027
die	w5_d276e7030
Kapereyen	w7_d276e7033
unserer	w9_d276e7036
Armateurs	w1_d276e7041
führen;	w3_d276e7044
und	w5_d276e7047
die	w7_d276e7050
zu	w9_d276e7053
gleicher	w11_d276e7056
Zeit	w13_d276e7060
auch	w1_d276e7065
von	w3_d276e7068
denen	w5_d276e7071
Bewegungen	w7_d276e7074
der	w9_d276e7077
Armee	w11_d276e7080
des	w1_d276e7085
Prinzens	w3_d276e7088
Ferdinand	w5_d276e7091
von	w7_d276e7094
Braunschweig	w9_d276e7097
Nachricht	w1_d276e7103
geben.	w3_d276e7106
Der	w5_d276e7109
nach	w7_d276e7112
Teutschland	w9_d276e7115
gesandt	w1_d276e7120
werden	w3_d276e7123
wollende	w5_d276e7126
neue	w7_d276e7129
Reufort	w9_d276e7132
von	w11_d276e7135
3.	w1_d276e7140
Dragoner	w3_d276e7143
und	w5_d276e7146
3.	w7_d276e7149
Jnfanterie=regimentern	w9_d276e7152
findet	w1_d276e7157
so	w3_d276e7160
viele	w5_d276e7163
Schwürigkeiten,	w7_d276e7166
daß	w9_d276e7169
er	w11_d276e7172
wol	w13_d276e7176
nicht	w1_d276e7182
Statt	w3_d276e7185
haben	w5_d276e7188
wird.	w7_d276e7191
Die	w9_d276e7194
Sache	w11_d276e7197
ist	w13_d276e7201
gestern	w1_d276e7206
zu	w3_d276e7209
Keusington	w5_d276e7212
neuerdings	w7_d276e7215
vorgenom	w9_d276e7218
men	w1_d276e7223
worden,	w3_d276e7226
man	w5_d276e7229
weiß	w7_d276e7232
aber	w9_d276e7235
das	w11_d276e7238
Resulat	w13_d276e7242
des	w1_d276e7247
Conseils	w3_d276e7250
zur	w5_d276e7253
Zeit	w7_d276e7256
noch	w9_d276e7259
nicht.	w11_d276e7262
</p>
<p id="p14_d276e7265">
Am	w1_d276e7269
11.	w3_d276e7272
zu	w5_d276e7275
Abends	w7_d276e7278
langte	w9_d276e7281
der	w11_d276e7284
Oberleu	w13_d276e7288
tenant	w1_d276e7293
des	w3_d276e7296
Herrn	w5_d276e7299
Howe	w7_d276e7302
mit	w9_d276e7305
der	w11_d276e7308
Nachricht	w13_d276e7312
alhier	w1_d276e7317
an:	w3_d276e7320
daß	w5_d276e7323
die	w7_d276e7326
Stadt	w9_d276e7329
Cherbourg	w11_d276e7332
sich	w13_d276e7336
am	w1_d276e7342
8ten	w3_d276e7345
dieses	w5_d276e7348
Abends	w7_d276e7351
auf	w9_d276e7354
Discretion	w11_d276e7357
an	w13_d276e7361
unsere	w1_d276e7366
Trupen	w3_d276e7369
ergeben	w5_d276e7372
habe,	w7_d276e7375
nachdeme	w9_d276e7378
die	w11_d276e7381
</p>
<p id="p16_d276e7384">
feindliche	w1_d276e7388
Völker	w3_d276e7391
auf	w5_d276e7394
unsere	w7_d276e7397
Annäherung	w9_d276e7400
den	w11_d276e7403
Ort	w1_d276e7408
vorhero	w3_d276e7411
verlassen.	w5_d276e7414
Der	w7_d276e7417
General	w9_d276e7420
Bligh	w11_d276e7423
habe	w1_d276e7428
noch	w3_d276e7431
