<doc id="wr_1759-10-27" attrs="word" year="1759" month="10" day="27" corpus="2">
<head id="h2_d392e4020">
Altona	w1_d392e4024
de	w15_d392e4463
</p>
<p id="p6_d392e4468">
ten	w1_d392e4472
Preussen	w3_d392e4475
befindliche	w5_d392e4478
Defilees	w7_d392e4481
verhinder	w9_d392e4484
ten	w1_d392e4489
Schwedischer	w3_d392e4492
Seits,	w5_d392e4495
sie	w7_d392e4498
anders	w9_d392e4501
als	w11_d392e4504
durch	w1_d392e4509
leichte	w3_d392e4512
Trupen	w5_d392e4515
zu	w7_d392e4518
verfolgen,	w9_d392e4521
welche	w11_d392e4524
ihnen	w1_d392e4530
auch	w3_d392e4533
2.	w5_d392e4536
Meilen	w7_d392e4539
bis	w9_d392e4542
über	w11_d392e4545
den	w13_d392e4549
Ran	w15_d392e4552
dow=strom	w1_d392e4557
nachsetzten.	w3_d392e4560
Während	w5_d392e4563
dieser	w7_d392e4566
Expedition	w1_d392e4571
wurde	w3_d392e4574
eine	w5_d392e4577
Generalfonragi	w7_d392e4580
rung	w1_d392e4585
auf	w3_d392e4588
3.	w5_d392e4591
Tage	w7_d392e4594
sowol	w9_d392e4597
aus	w11_d392e4600
dem	w13_d392e4604
Haupt	w15_d392e4607
lager,	w1_d392e4613
als	w3_d392e4616
aus	w5_d392e4619
dem	w7_d392e4622
Hessensteinischen,	w9_d392e4625
oh	w11_d392e4628
ne	w1_d392e4633
einiger	w3_d392e4636
Verhinderung	w5_d392e4639
bewerkstelliget.	w7_d392e4642
</p>
<head id="h2_d392e4648">
Lahn=strom	w1_d392e4652
16.	w3_d392e4655
Oct.	w5_d392e4658
</head>
<p id="p4_d392e4661">
Da	w1_d392e4665
aus	w3_d392e4668
der	w5_d392e4671
Wendung,	w7_d392e4674
welche	w9_d392e4677
ein	w11_d392e4680
Theil	w13_d392e4684
des	w1_d392e4689
rechten	w3_d392e4692
Flügels	w5_d392e4695
der	w7_d392e4698
Alliirten	w9_d392e4701
Armee	w11_d392e4704
näher	w1_d392e4709
gegen	w3_d392e4712
die	w5_d392e4715
Lahne	w7_d392e4718
gemacht,	w9_d392e4721
zu	w11_d392e4724
schlies	w13_d392e4728
sen	w1_d392e4734
gewesen,	w3_d392e4737
daß	w5_d392e4740
es	w7_d392e4743
auf	w9_d392e4746
Giessen	w11_d392e4749
abgese	w13_d392e4753
hen	w1_d392e4758
seyn	w3_d392e4761
möchte,	w5_d392e4764
um	w7_d392e4767
diesen	w9_d392e4770
Ort	w11_d392e4773
allenfalls	w13_d392e4777
zu	w1_d392e4782
einem	w3_d392e4785
Waffen=platz	w5_d392e4788
zu	w7_d392e4791
machen;	w9_d392e4794
so	w11_d392e4797
hat	w13_d392e4801
die	w1_d392e4806
Französische	w3_d392e4809
Generalität	w5_d392e4812
den	w7_d392e4815
Entschluß	w9_d392e4818
gefast,	w1_d392e4824
alles	w3_d392e4827
Geschütz,	w5_d392e4830
so	w7_d392e4833
wie	w9_d392e4836
bereits	w11_d392e4839
ge	w13_d392e4843
meldet	w1_d392e4848
worden,	w3_d392e4851
aus	w5_d392e4854
dem	w7_d392e4857
Arsenal	w9_d392e4860
allda	w11_d392e4863
ab	w13_d392e4867
führen	w1_d392e4872
zu	w3_d392e4875
lassen.	w5_d392e4878
</p>
<head id="h4_d392e4894">
Frankfort	w1_d392e4898
am	w3_d392e4901
Mayn	w5_d392e4904
17.	w7_d392e4907
Oct.	w9_d392e4910
</head>
<p id="p6_d392e4913">
Den	w1_d392e4917
13.	w3_d392e4920
dieses	w5_d392e4923
kamen	w7_d392e4926
alhier	w9_d392e4929
von	w11_d392e4932
Gies	w13_d392e4936
sen	w1_d392e4941
18.	w3_d392e4944
schwere	w5_d392e4947
Canonen	w7_d392e4950
an,	w9_d392e4953
deren	w11_d392e4956
jede	w13_d392e4960
von	w1_d392e4965
15.	w3_d392e4968
bis	w5_d392e4971
16.	w7_d392e4974
Pferden	w9_d392e4977
gezogen	w11_d392e4980
wurde,	w13_d392e4984
ingleichen	w1_d392e4990
8.	w3_d392e4993
Mörser,	w5_d392e4996
5.	w7_d392e4999
Haubitzen	w9_d392e5002
und	w11_d392e5005
14.	w1_d392e5010
Feld=stücke.	w3_d392e5013
Am	w5_d392e5016
nämlichen	w7_d392e5019
Nachmit	w9_d392e5022
tag	w1_d392e5027
brachten	w3_d392e5030
auch	w5_d392e5033
bey	w7_d392e5036
200.	w9_d392e5039
Wägen	w11_d392e5042
die	w13_d392e5046
Bom	w15_d392e5049
ben,	w1_d392e5054
Canonen,	w3_d392e5057
und	w5_d392e5060
Carcassen	w7_d392e5063
von	w9_d392e5066
dan	w11_d392e5069
nen	w1_d392e5075
alhier	w3_d392e5078
ein.	w5_d392e5081
Wie	w7_d392e5084
aus	w9_d392e5087
Lippstadt	w11_d392e5090
unterm	w13_d392e5094
10.	w1_d392e5099
gemeldet	w3_d392e5102
wird,	w5_d392e5105
ist	w7_d392e5108
die	w9_d392e5111
Stadt	w11_d392e5114
Mün	w13_d392e5118
ster	w1_d392e5123
noch	w3_d392e5126
immer	w5_d392e5129
eingeschlossen.	w7_d392e5132
Die	w9_d392e5135
un	w11_d392e5138
längst	w1_d392e5143
durch	w3_d392e5146
erstere	w5_d392e5149
Stadt	w7_d392e5152
abgegangene	w9_d392e5155
Ver	w11_d392e5158
stärkungen,	w1_d392e5164
sind	w3_d392e5167
im	w5_d392e5170
Lager	w7_d392e5173
des	w9_d392e5176
Generals	w11_d392e5179
von	w1_d392e5184
Jmhof	w3_d392e5187
eingetroffen,	w5_d392e5190
und	w7_d392e5193
dieser	w9_d392e5196
erwar	w11_d392e5199
tet	w1_d392e5204
blos	w3_d392e5207
den	w5_d392e5210
gleichfalls	w7_d392e5213
durchpaßirten	w9_d392e5216
Artil	w11_d392e5219
lerie=train,	w1_d392e5224
um	w3_d392e5227
mit	w5_d392e5230
der	w7_d392e5233
Canonade	w9_d392e5236
von	w11_d392e5239
al	w13_d392e5243
len	w1_d392e5249
Batterien	w3_d392e5252
den	w5_d392e5255
Anfang	w7_d392e5258
zu	w9_d392e5261
machen.	w11_d392e5264
</p>
<head id="h2_d392e5270">
Maynz	w1_d392e5274
12.	w3_d392e5277
Oct.	w5_d392e5280
</head>
<p id="p4_d392e5283">
Aus	w1_d392e5287
Thüringen	w3_d392e5290
lauft	w5_d392e5293
unterm	w7_d392e5296
8.	w9_d392e5299
die	w11_d392e5302
Nachricht	w1_d392e5307
ein,	w3_d392e5310
daß	w5_d392e5313
es	w7_d392e5316
seit	w9_d392e5319
einiger	w11_d392e5322
Zeit	w13_d392e5326
in	w15_d392e5329
der	w1_d392e5334
Gegend	w3_d392e5337
von	w5_d392e5340
Sangershausen	w7_d392e5343
sehr	w9_d392e5346
un	w11_d392e5349
ruhig	w1_d392e5355
zugegangen	w3_d392e5358
sey.	w5_d392e5361
Den	w7_d392e5364
2.	w9_d392e5367
rückte	w11_d392e5370
all	w13_d392e5374
da	w1_d392e5379
ein	w3_d392e5382
alliirtes	w5_d392e5385
Corps,	w7_d392e5388
so	w9_d392e5391
von	w11_d392e5394
Altstedt	w13_d392e5398
kam,	w1_d392e5403
und	w3_d392e5406
aus	w5_d392e5409
Jägern,	w7_d392e5412
Finkensteinischen	w9_d392e5415
Dragonern,	w1_d392e5420
Preußisch	w3_d392e5423
und	w5_d392e5426
Hanövrischen	w7_d392e5429
Hussaren	w1_d392e5435
bestund,	w3_d392e5438
unter	w5_d392e5441
Commando	w7_d392e5444
deren	w9_d392e5447
Capitains	w1_d392e5452
von	w3_d392e5455
Bülow	w5_d392e5458
und	w7_d392e5461
Kleist	w9_d392e5464
allda	w11_d392e5467
ein.	w13_d392e5471
Den	w1_d392e5476
ganzen	w3_d392e5479
Tag	w5_d392e5482
war	w7_d392e5485
es	w9_d392e5488
ruhig,	w11_d392e5491
allein	w13_d392e5495
den	w15_d392e5498
3.	w1_d392e5503
zog	w3_d392e5506
sich	w5_d392e5509
das	w7_d392e5512
ganze	w9_d392e5515
Corpo	w11_d392e5518
auf	w13_d392e5522
einmal	w15_d392e5525
vor	w17_d392e5528
die	w1_d392e5534
Thöre,	w3_d392e5537
und	w5_d392e5540
gegen	w7_d392e5543
9.	w9_d392e5546
Uhr	w11_d392e5549
wurde	w13_d392e5553
es	w15_d392e5556
von	w1_d392e5561
denen	w3_d392e5564
Kaiserl.	w5_d392e5567
Königl.	w7_d392e5570
Baronyaischen	w9_d392e5573
Hussaren,	w1_d392e5578
und	w3_d392e5581
einigen	w5_d392e5584
Croaten,	w7_d392e5587
die	w9_d392e5590
von	w11_d392e5593
dem	w1_d392e5598
Herrn	w3_d392e5601
General	w5_d392e5604
Luzinsky	w7_d392e5607
von	w9_d392e5610
Naum	w11_d392e5613
burg	w1_d392e5619
detaschirt	w3_d392e5622
waren,	w5_d392e5625
angegriffen,	w7_d392e5628
durch	w9_d392e5631
die	w1_d392e5636
Vorstädte	w3_d392e5639
gejagt,	w5_d392e5642
zerstreuet,	w7_d392e5645
und	w9_d392e5648
mei	w11_d392e5651
stens	w1_d392e5656
zu	w3_d392e5659
Gefangenen	w5_d392e5662
gemacht.	w7_d392e5665
Etliche	w9_d392e5668
40.	w11_d392e5671
Mann,	w1_d392e5676
so	w3_d392e5679
meisten	w5_d392e5682
theils	w7_d392e5685
Jäger	w9_d392e5688
waren,	w11_d392e5691
sind	w13_d392e5695
auf	w1_d392e5701
dem	w3_d392e5704
Platz	w5_d392e5707
geblieben.	w7_d392e5710
Ein	w9_d392e5713
Leutenant	w11_d392e5716
von	w13_d392e5720
denen	w1_d392e5725
Jägern	w3_d392e5728
wurde	w5_d392e5731
gleichfalls	w7_d392e5734
getödtet,	w9_d392e5737
und	w1_d392e5742
1.	w3_d392e5745
Cornet,	w5_d392e5748
2.	w7_d392e5751
Caporals	w9_d392e5754
nebst	w11_d392e5757
90.	w13_d392e5761
Gemeinen	w1_d392e5766
von	w3_d392e5769
denen	w5_d392e5772
Lücknerischen	w7_d392e5775
Hussaren	w9_d392e5778
wurden	w1_d392e5784
gefangen	w3_d392e5787
genommen.	w5_d392e5790
Die	w7_d392e5793
Bleßirte	w9_d392e5796
deren	w1_d392e5801
Alliirten	w3_d392e5804
belauffen	w5_d392e5807
sich	w7_d392e5810
auf	w9_d392e5813
etliche	w11_d392e5816
90.	w13_d392e5820
</p>
<p id="p6_d392e5823">
Mann,	w1_d392e5827
auch	w3_d392e5830
sind	w5_d392e5833
190.	w7_d392e5836
Pferde	w9_d392e5839
erbeutet	w11_d392e5842
worden.	w1_d392e5847
Die	w3_d392e5850
Alliirte	w5_d392e5853
waren	w7_d392e5856
400.	w9_d392e5859
Mann	w11_d392e5862
stark,	w1_d392e5867
die	w3_d392e5870
Kaiserl.	w5_d392e5873
Königl	w7_d392e5876
bestunden	w9_d392e5879
aus	w11_d392e5882
2.	w13_d392e5886
Escadrons	w1_d392e5892
Hussaren	w3_d392e5895
und	w5_d392e5898
etlich	w7_d392e5901
50.	w9_d392e5904
Croa	w11_d392e5907
ten	w1_d392e5912
unter	w3_d392e5915
Commando	w5_d392e5918
des	w7_d392e5921
Herrn	w9_d392e5924
Obrist	w11_d392e5927
leutenants	w1_d392e5932
von	w3_d392e5935
Sprung.	w5_d392e5938
Wie	w7_d392e5941
man	w9_d392e5944
vernihmt	w11_d392e5947
soll	w1_d392e5952
sich	w3_d392e5955
der	w5_d392e5958
Rest	w7_d392e5961
von	w9_d392e5964
dem	w11_d392e5967
Alliirten	w13_d392e5971
Corps	w15_d392e5974
auf	w1_d392e5980
Nordhausen	w3_d392e5983
durch	w5_d392e5986
das	w7_d392e5989
Gehölze	w9_d392e5992
gezogen	w11_d392e5995
haben;	w1_d392e6000
die	w3_d392e6003
Kaiserl.	w5_d392e6006
Königl.	w7_d392e6009
aber	w9_d392e6012
haben	w11_d392e6015
den	w1_d392e6020
4.	w3_d392e6023
fruh	w5_d392e6026
ihren	w7_d392e6029
Ruck=marsch	w9_d392e6032
wiederum	w11_d392e6035
nach	w1_d392e6040
Naumburg	w3_d392e6043
angetretten.	w5_d392e6046
</p>
<head id="h2_d392e6053">
Paris	w1_d392e6057
7.	w3_d392e6060
October.	w5_d392e6063
</head>
<p id="p4_d392e6066">
Da	w1_d392e6070
sich	w3_d392e6073
Jhre	w5_d392e6076
Königl.	w7_d392e6079
Hoheit	w9_d392e6082
die	w11_d392e6085
Ma	w13_d392e6089
dame	w1_d392e6094
Dauphine	w3_d392e6097
in	w5_d392e6100
erwünschten	w7_d392e6103
Wolseyn	w9_d392e6106
befinden,	w1_d392e6111
so	w3_d392e6114
sind	w5_d392e6117
nicht	w7_d392e6120
nur	w9_d392e6123
Se.	w11_d392e6126
Majestät	w13_d392e6130
unser	w1_d392e6136
König	w3_d392e6139
von	w5_d392e6142
Versailles	w7_d392e6145
den	w9_d392e6148
2.	w11_d392e6151
dieses	w13_d392e6155
nach	w1_d392e6160
Choist	w3_d392e6163
abgereiset,	w5_d392e6166
sondern	w7_d392e6169
es	w9_d392e6172
ist	w11_d392e6175
auch	w13_d392e6179
am	w1_d392e6184
nämlichen	w3_d392e6187
Tage	w5_d392e6190
der	w7_d392e6193
König	w9_d392e6196
Stanislaus	w11_d392e6199
wieder	w1_d392e6204
nach	w3_d392e6207
Luneville	w5_d392e6210
abgegangen.	w7_d392e6213
Se.	w9_d392e6216
Majestät	w1_d392e6222
werden	w3_d392e6225
nächstens	w5_d392e6228
den	w7_d392e6231
Herrn	w9_d392e6234
Her	w11_d392e6237
zog	w1_d392e6242
von	w3_d392e6245
Broglie,	w5_d392e6248
zum	w7_d392e6251
Marschallen	w9_d392e6254
von	w11_d392e6257
Frankreich	w1_d392e6262
ernennen.	w3_d392e6265
</p>
<head id="h2_d392e6271">
Dresden	w1_d392e6275
16.	w3_d392e6278
October.	w5_d392e6281
</head>
<p id="p4_d392e6284">
Die	w1_d392e6288
Kaiserl.	w3_d392e6291
Königl.	w5_d392e6294
Armee	w7_d392e6297
hat	w9_d392e6300
ihre	w11_d392e6303
jetzige	w1_d392e6308
Position	w3_d392e6311
zwischen	w5_d392e6314
Oschatz	w7_d392e6317
und	w9_d392e6320
der	w11_d392e6323
Elbe	w1_d392e6328
gegen	w3_d392e6331
Strehla,	w5_d392e6334
und	w7_d392e6337
die	w9_d392e6340
Königl.	w11_d392e6343
Preuf	w13_d392e6347
sische	w1_d392e6353
Armee	w3_d392e6356
unter	w5_d392e6359
Commando	w7_d392e6362
des	w9_d392e6365
Prinz	w11_d392e6368
Heinrichs,	w1_d392e6373
bey	w3_d392e6376
Strehla	w5_d392e6379
gegen	w7_d392e6382
Torgau.	w9_d392e6385
Das	w11_d392e6388
Haupt=quartier	w1_d392e6393
des	w3_d392e6396
General	w5_d392e6399
feld=marschalls,	w7_d392e6402
Herrn	w1_d392e6407
Grafens	w3_d392e6410
von	w5_d392e6413
Daun,	w7_d392e6416
ist	w9_d392e6419
bisher	w11_d392e6422
zu	w13_d392e6426
Hof	w1_d392e6432
eine	w3_d392e6435
Meile	w5_d392e6438
von	w7_d392e6441
Oschatz	w9_d392e6444
gewesen,	w11_d392e6447
ist	w13_d392e6451
aber	w1_d392e6456
nunmehr	w3_d392e6459
nach	w5_d392e6462
Sehrhausen	w7_d392e6465
verleget	w9_d392e6468
worden;	w1_d392e6473
hingegen	w3_d392e6476
haben	w5_d392e6479
die	w7_d392e6482
Königl.	w9_d392e6485
Prin	w11_d392e6488
zen	w1_d392e6493
Albertus	w3_d392e6496
und	w5_d392e6499
Clemens,	w7_d392e6502
Dero	w9_d392e6505
Hof=lager	w11_d392e6508
unweit	w1_d392e6514
davon	w3_d392e6517
auf	w5_d392e6520
dem	w7_d392e6523
Ritter=gute	w9_d392e6526
Grüb	w11_d392e6529
nitz,	w1_d392e6534
wohin	w3_d392e6537
am	w5_d392e6540
13.	w7_d392e6543
dieses	w9_d392e6546
4.	w11_d392e6549
gepackte	w13_d392e6553
Maul=thiere	w1_d392e6558
und	w3_d392e6561
1.	w5_d392e6564
Küchen=calleß	w7_d392e6567
ab	w9_d392e6570
giengen.	w1_d392e6575
</p>
<p id="p6_d392e6578">
Heute	w1_d392e6582
früh	w3_d392e6585
sind	w5_d392e6588
2.	w7_d392e6591
zurück	w9_d392e6594
gebliebene	w11_d392e6597
Schif=brücken	w1_d392e6602
zur	w3_d392e6605
Armee	w5_d392e6608
fortgeschaffet	w7_d392e6611
worden,	w1_d392e6616
und	w3_d392e6619
vor	w5_d392e6622
etlichen	w7_d392e6625
Tagen	w9_d392e6628
sind	w11_d392e6631
auch	w13_d392e6635
300.	w1_d392e6641
Mann	w3_d392e6644
reconvalescirte	w5_d392e6647
Oesterreichet,	w7_d392e6650
</p>
<p id="p12_d392e6664">
die	w1_d392e6668
von	w3_d392e6671
Prag	w5_d392e6674
gekommen,	w7_d392e6677
zu	w9_d392e6680
derselben	w11_d392e6683
ab	w13_d392e6687
gegangen.	w1_d392e6692
</p>
<p id="p14_d392e6695">
Heute	w1_d392e6699
als	w3_d392e6702
am	w5_d392e6705
allerhöchsten	w7_d392e6708
Namens=tag	w9_d392e6711
der	w1_d392e6716
Kaiserin	w3_d392e6719
Königin	w5_d392e6722
haben	w7_d392e6725
sämmtliche	w9_d392e6728
hier	w1_d392e6733
befindliche	w3_d392e6736
Generals	w5_d392e6739
und	w7_d392e6742
Staabsoffi	w9_d392e6745
ciers,	w1_d392e6751
dem	w3_d392e6754
hiesigen	w5_d392e6757
Gouverneur,	w7_d392e6760
Herrn	w9_d392e6763
General=feld=marschall,	w1_d392e6768
Grafen	w3_d392e6771
Maquire,	w5_d392e6774
in	w1_d392e6779
Abwesenheit	w3_d392e6782
Sr.	w5_d392e6785
hochfürstlichen	w7_d392e6788
Durchl.	w9_d392e6791
des	w1_d392e6796
Prinzen	w3_d392e6799
von	w5_d392e6802
Zweybrücken,	w7_d392e6805
ihre	w9_d392e6808
Gra	w11_d392e6811
tulationes	w1_d392e6817
abgestattet.	w3_d392e6820
Mittags	w5_d392e6823
hat	w7_d392e6826
der	w9_d392e6829
Herr	w1_d392e6834
General=feld=marschall	w3_d392e6837
Graf	w5_d392e6840
Maquire	w7_d392e6843
grosses	w1_d392e6848
Tractament	w3_d392e6851
gegeben.	w5_d392e6854
</p>
<p id="p16_d392e6857">
Des	w1_d392e6861
Herzogs	w3_d392e6864
von	w5_d392e6867
Curland	w7_d392e6870
Königliche	w9_d392e6873
Hoheit,	w1_d392e6878
befinden	w3_d392e6881
sich	w5_d392e6884
dermalen	w7_d392e6887
wiederum	w9_d392e6890
in	w1_d392e6895
Mietau,	w3_d392e6898
und	w5_d392e6901
ist	w7_d392e6904
zu	w9_d392e6907
Höchst=deroselben	w11_d392e6910
Landes=huldigung	w1_d392e6916
der	w3_d392e6919
27.	w5_d392e6922
November	w7_d392e6925
a.	w9_d392e6928
c.	w11_d392e6931
anberaumet,	w1_d392e6936
wo	w3_d392e6939
sodann	w5_d392e6942
Se.	w7_d392e6945
Königliche	w9_d392e6948
Ho	w11_d392e6951
heit,	w1_d392e6956
im	w3_d392e6959
Monat	w5_d392e6962
December	w7_d392e6965
nach	w9_d392e6968
Warschau	w11_d392e6971
zu	w1_d392e6976
kommen,	w3_d392e6979
resolviret	w5_d392e6982
sind.	w7_d392e6985
</p>
<p id="p18_d392e6988">
Wegen	w1_d392e6992
der	w3_d392e6995
letzthin	w5_d392e6998
aus	w7_d392e7001
Wien	w9_d392e7004
hier	w11_d392e7007
ange	w13_d392e7011
kommenen	w1_d392e7016
Canonen	w3_d392e7019
ist	w5_d392e7022
noch	w7_d392e7025
zu	w9_d392e7028
melden,	w11_d392e7031
daß	w13_d392e7035
solche	w1_d392e7040
von	w3_d392e7043
denenjenigen	w5_d392e7046
gewesen,	w7_d392e7049
wovon	w9_d392e7052
der	w1_d392e7058
Rußisch=Kaiserliche	w3_d392e7061
General,	w5_d392e7064
Herr	w7_d392e7067
von	w9_d392e7070
Schuwalow	w1_d392e7075
der	w3_d392e7078
Erfinder	w5_d392e7081
ist.	w7_d392e7084
Es	w9_d392e7087
gleichen	w11_d392e7090
selbige	w1_d392e7095
an	w3_d392e7098
Grösse	w5_d392e7101
denen	w7_d392e7104
12.	w9_d392e7107
Pfündern,	w11_d392e7110
sollen	w1_d392e7115
aber	w3_d392e7118
an	w5_d392e7121
Metall	w7_d392e7124
leichter	w9_d392e7127
seyn,	w11_d392e7130
wie	w13_d392e7134
dann	w1_d392e7140
solche	w3_d392e7143
nur	w5_d392e7146
mit	w7_d392e7149
4.,	w9_d392e7152
jedoch	w11_d392e7155
starken	w13_d392e7159
Pfer	w15_d392e7162
den,	w1_d392e7167
ungeachtet	w3_d392e7170
der	w5_d392e7173
neuen	w7_d392e7176
langen	w9_d392e7179
Lavetten	w11_d392e7182
bespannet	w1_d392e7187
werden.	w3_d392e7190
</p>
<p id="p20_d392e7193">
Jn	w1_d392e7197
voriger	w3_d392e7200
Woche	w5_d392e7203
hat	w7_d392e7206
der	w9_d392e7209
Hofcomödi	w11_d392e7212
ant	w1_d392e7217
Kirsch	w3_d392e7220
zum	w5_d392e7223
Plaisir	w7_d392e7226
der	w9_d392e7229
anwesenden	w11_d392e7232
ho	w13_d392e7236
hen	w1_d392e7241
Generals	w3_d392e7244
und	w5_d392e7247
Officiers	w7_d392e7250
in	w9_d392e7253
dem	w11_d392e7256
hölzer	w13_d392e7260
nen	w1_d392e7266
Gebäude	w3_d392e7269
im	w5_d392e7272
Zwinger	w7_d392e7275
täglich	w9_d392e7278
Comödien	w11_d392e7281
vorzustellen	w1_d392e7286
angefangen.	w3_d392e7289
</p>
<head id="h2_d392e7295">
Lisabon	w1_d392e7299
7.	w3_d392e7302
September.	w5_d392e7305
</head>
<p id="p4_d392e7308">
Wegen	w1_d392e7312
Absterben	w3_d392e7315
des	w5_d392e7318
Königs	w7_d392e7321
in	w9_d392e7324
Spa	w11_d392e7327
nien	w1_d392e7332
hat	w3_d392e7335
der	w5_d392e7338
Hof	w7_d392e7341
auf	w9_d392e7344
2.	w11_d392e7347
Monat	w13_d392e7351
die	w15_d392e7354
grosse	w17_d392e7357
Trauer	w1_d392e7362
angezogen,	w3_d392e7365
und	w5_d392e7368
wird	w7_d392e7371
nachgehends	w9_d392e7374
noch	w1_d392e7380
zwey	w3_d392e7383
andere	w5_d392e7386
Monat,	w7_d392e7389
die	w9_d392e7392
kleine	w11_d392e7395
Trauer	w13_d392e7399
tragen.	w1_d392e7404
Auf	w3_d392e7407
erhaltene	w5_d392e7410
Nachricht	w7_d392e7413
von	w9_d392e7416
dem	w11_d392e7419
Hintritt	w1_d392e7424
Sr.	w3_d392e7427
Catholischen	w5_d392e7430
Majestät,	w7_d392e7433
ha	w9_d392e7436
ben	w1_d392e7441
der	w3_d392e7444
König	w5_d392e7447
und	w7_d392e7450
die	w9_d392e7453
ganze	w11_d392e7456
Königliche	w13_d392e7460
Famille	w1_d392e7466
8.	w3_d392e7469
Tage	w5_d392e7472
lang,	w7_d392e7475
sich	w9_d392e7478
innen	w11_d392e7481
gehalten,	w13_d392e7485
</p>
<p id="p6_d392e7488">
und	w1_d392e7492
sodann	w3_d392e7495
von	w5_d392e7498
dem	w7_d392e7501
sämmtlichen	w9_d392e7504
Hof	w11_d392e7507
die	w13_d392e7511
Condolenz	w1_d392e7516
angenommen.	w3_d392e7519
Ein	w5_d392e7522
Courier	w7_d392e7525
aus	w9_d392e7528
Rom	w1_d392e7533
hat	w3_d392e7536
in	w5_d392e7539
der	w7_d392e7542
Affaire	w9_d392e7545
die	w11_d392e7548
Jesuiten	w13_d392e7552
be	w15_d392e7555
treffend,	w1_d392e7561
die	w3_d392e7564
Entscheidung	w5_d392e7567
der	w7_d392e7570
Congrega	w9_d392e7573
tion,	w1_d392e7578
zwar	w3_d392e7581
hieher	w5_d392e7584
überbracht,	w7_d392e7587
es	w9_d392e7590
wird	w11_d392e7593
aber	w13_d392e7597
davon	w1_d392e7602
nichts	w3_d392e7605
kund	w5_d392e7608
gemacht.	w7_d392e7611
Am	w9_d392e7614
22.	w11_d392e7617
die	w13_d392e7621
ses	w1_d392e7626
Abends	w3_d392e7629
ist	w5_d392e7632
aus	w7_d392e7635
Algarves	w9_d392e7638
ein	w11_d392e7641
Courier	w13_d392e7645
mit	w1_d392e7651
der	w3_d392e7654
