<doc id="wr_1759-05-16" attrs="word" year="1759" month="05" day="16" corpus="2">
<head id="h2_d348e3882">
Danzig	w1_d348e3886
Mecklenburg	w5_d348e4553
sind	w7_d348e4556
die	w9_d348e4559
Umstände	w1_d348e4564
noch	w3_d348e4567
immer	w5_d348e4570
die	w7_d348e4573
vorige.	w9_d348e4576
Nach	w11_d348e4579
einem	w1_d348e4584
Schreiben	w3_d348e4587
aus	w5_d348e4590
Schwerin	w7_d348e4593
vom	w9_d348e4596
30.	w11_d348e4599
April,	w1_d348e4605
flüchtet	w3_d348e4608
alles	w5_d348e4611
vor	w7_d348e4614
denen	w9_d348e4617
Preußischen	w11_d348e4620
Werbern,	w1_d348e4625
und	w3_d348e4628
nicht	w5_d348e4631
wenig	w7_d348e4634
Personen	w9_d348e4637
büs	w11_d348e4640
sen	w1_d348e4645
hiebey	w3_d348e4648
ihr	w5_d348e4651
Leben	w7_d348e4654
ein.	w9_d348e4657
Dieses	w11_d348e4660
wieder	w13_d348e4664
fuhr	w1_d348e4669
erst	w3_d348e4672
2.	w5_d348e4675
Tagelöhnern	w7_d348e4678
zu	w9_d348e4681
Medewegen,	w11_d348e4684
welche	w1_d348e4690
sich	w3_d348e4693
mit	w5_d348e4696
einem	w7_d348e4699
kleinen	w9_d348e4702
Kahn	w11_d348e4705
über	w13_d348e4709
da	w15_d348e4712
sigen	w1_d348e4717
See	w3_d348e4720
retiriren	w5_d348e4723
wollten,	w7_d348e4726
und	w9_d348e4729
aus	w11_d348e4732
Angst	w13_d348e4736
das	w1_d348e4741
Ruder	w3_d348e4744
vergessen	w5_d348e4747
hatten.	w7_d348e4750
Der	w9_d348e4753
Kaimi	w11_d348e4756
.	w1_d348e4761
</p>
<p id="p12_d348e4767">
schlug	w1_d348e4771
um,	w3_d348e4774
und	w5_d348e4777
die	w7_d348e4780
Leute	w9_d348e4783
musten	w11_d348e4786
ertrinken.	w13_d348e4790
Ein	w1_d348e4795
anderer	w3_d348e4798
unglücklicher	w5_d348e4801
Vorfall,	w7_d348e4804
der	w9_d348e4807
aber	w11_d348e4810
einem	w1_d348e4815
Preußischen	w3_d348e4818
Werber	w5_d348e4821
das	w7_d348e4824
Leben	w9_d348e4827
geko	w11_d348e4830
stet,	w1_d348e4836
hat	w3_d348e4839
sich	w5_d348e4842
zu	w7_d348e4845
Lehsen,	w9_d348e4848
eine	w11_d348e4851
halbe	w13_d348e4855
Meile	w15_d348e4858
von	w1_d348e4863
Wittenburg	w3_d348e4866
ereignet.	w5_d348e4869
Ein	w7_d348e4872
Preußischer	w9_d348e4875
Hussaren=wacht=meister	w1_d348e4880
schoß	w3_d348e4883
in	w5_d348e4886
eine	w7_d348e4889
Schäf	w9_d348e4892
ser=karre	w1_d348e4897
auf	w3_d348e4900
den	w5_d348e4903
darinn	w7_d348e4906
befindlichen	w9_d348e4909
Schäf	w11_d348e4912
fer=knecht,	w1_d348e4918
und	w3_d348e4921
wollte	w5_d348e4924
ihn	w7_d348e4927
mit	w9_d348e4930
fort	w11_d348e4933
haben.	w13_d348e4937
Dieser	w1_d348e4942
setzte	w3_d348e4945
sich	w5_d348e4948
mit	w7_d348e4951
seinem	w9_d348e4954
Beil	w11_d348e4957
zur	w13_d348e4961
Wehr.	w15_d348e4964
Der	w1_d348e4969
Wacht=meister	w3_d348e4972
hauete	w5_d348e4975
mit	w7_d348e4978
dem	w9_d348e4981
Sä	w11_d348e4984
bel	w1_d348e4989
auf	w3_d348e4992
ihn	w5_d348e4995
ein;	w7_d348e4998
allein	w9_d348e5001
der	w11_d348e5004
Schäffer	w13_d348e5008
mach	w15_d348e5011
te	w1_d348e5017
eine	w3_d348e5020
Wendung,	w5_d348e5023
und	w7_d348e5026
kapte	w9_d348e5029
ihm	w11_d348e5032
mit	w13_d348e5036
dem	w15_d348e5039
Beil	w1_d348e5044
die	w3_d348e5047
Hand	w5_d348e5050
ab,	w7_d348e5053
so,	w9_d348e5056
daß	w11_d348e5059
sie	w13_d348e5063
mit	w15_d348e5066
dem	w17_d348e5069
Säbel	w1_d348e5074
zur	w3_d348e5077
Erde	w5_d348e5080
fiele.	w7_d348e5083
Der	w9_d348e5086
Wachtmeister	w11_d348e5089
stiege	w1_d348e5094
vom	w3_d348e5097
Pferde,	w5_d348e5100
nahme	w7_d348e5103
den	w9_d348e5106
Säbel	w11_d348e5109
in	w13_d348e5113
die	w1_d348e5119
linke	w3_d348e5122
Hand,	w5_d348e5125
und	w7_d348e5128
thate	w9_d348e5131
einen	w11_d348e5134
Hieb	w13_d348e5138
nach	w15_d348e5141
dem	w1_d348e5146
andern	w3_d348e5149
auf	w5_d348e5152
den	w7_d348e5155
Schäffer=knecht,	w9_d348e5158
den	w11_d348e5161
er	w1_d348e5166
auch	w3_d348e5169
verwundete.	w5_d348e5172
Dieser	w7_d348e5175
aber	w9_d348e5178
spaltete	w11_d348e5181
nach	w1_d348e5186
verschiedenen	w3_d348e5189
mißlungenen	w5_d348e5192
Streichen	w7_d348e5195
dem	w1_d348e5201
Wacht=meister	w3_d348e5204
die	w5_d348e5207
Hirn=schaale	w7_d348e5210
entzwey,	w9_d348e5213
und	w1_d348e5218
nahme	w3_d348e5221
darauf	w5_d348e5224
die	w7_d348e5227
Flucht.	w9_d348e5230
Jndessen	w11_d348e5233
sollen	w1_d348e5238
jetzo	w3_d348e5241
der	w5_d348e5244
Guts=herr	w7_d348e5247
und	w9_d348e5250
der	w11_d348e5253
Vatter	w13_d348e5257
des	w1_d348e5262
Schäffer=knechts	w3_d348e5265
denen	w5_d348e5268
Preussen	w7_d348e5271
den	w9_d348e5274
getödteten	w1_d348e5280
Wacht=meister	w3_d348e5283
mit	w5_d348e5286
3000.	w7_d348e5289
Rthlrn.	w9_d348e5292
bezahlen;	w1_d348e5297
und	w3_d348e5300
sie	w5_d348e5303
vermuten	w7_d348e5306
sich	w9_d348e5309
disfalls	w11_d348e5312
stündlich	w1_d348e5317
die	w3_d348e5320
militarische	w5_d348e5323
Execution.	w7_d348e5326
</p>
<head id="h2_d348e5332">
Paderborn	w1_d348e5336
7.	w3_d348e5339
May.	w5_d348e5342
</head>
<p id="p4_d348e5345">
Jm	w1_d348e5349
Münsterischen	w3_d348e5352
hat	w5_d348e5355
der	w7_d348e5358
Herr	w9_d348e5361
Gene	w11_d348e5364
ral	w1_d348e5369
von	w3_d348e5372
Spörken	w5_d348e5375
einstweilen	w7_d348e5378
den	w9_d348e5381
allda	w11_d348e5384
zu	w13_d348e5388
sammen	w1_d348e5393
gezogenen	w3_d348e5396
Theil	w5_d348e5399
der	w7_d348e5402
alliirten	w9_d348e5405
Armee	w11_d348e5408
zu	w1_d348e5414
commandiren,	w3_d348e5417
und	w5_d348e5420
man	w7_d348e5423
vermutet,	w9_d348e5426
daß	w11_d348e5429
nächstens	w1_d348e5434
der	w3_d348e5437
Prinz	w5_d348e5440
Ferdinand	w7_d348e5443
aus	w9_d348e5446
Nieder	w11_d348e5449
hessen	w1_d348e5454
dahin	w3_d348e5457
zurück	w5_d348e5460
kommen	w7_d348e5463
dörfte.	w9_d348e5466
Das	w11_d348e5469
Corpo,	w1_d348e5474
so	w3_d348e5477
bey	w5_d348e5480
Osnabrück	w7_d348e5483
gestanden,	w9_d348e5486
ist	w11_d348e5489
bis	w1_d348e5495
Dulmen	w3_d348e5498
vorgerückt,	w5_d348e5501
und	w7_d348e5504
man	w9_d348e5507
glaubt,	w11_d348e5510
daß	w1_d348e5515
in	w3_d348e5518
wenig	w5_d348e5521
Tagen	w7_d348e5524
alle	w9_d348e5527
Regimenter	w11_d348e5530
cam	w13_d348e5534
piren	w1_d348e5539
müssen.	w3_d348e5542
Hiezu	w5_d348e5545
sollen	w7_d348e5548
vornämlich	w9_d348e5551
die	w11_d348e5554
von	w1_d348e5559
der	w3_d348e5562
Französischen	w5_d348e5565
Armee	w7_d348e5568
eingezogene	w9_d348e5571
Nachrichten	w1_d348e5577
Anlaß	w3_d348e5580
geben,	w5_d348e5583
als	w7_d348e5586
welche	w9_d348e5589
be	w11_d348e5592
reits	w1_d348e5597
zwischen	w3_d348e5600
Dorsten	w5_d348e5603
und	w7_d348e5606
Wesel	w9_d348e5609
ein	w11_d348e5612
Cam	w13_d348e5616
pement	w1_d348e5621
von	w3_d348e5624
10000.	w5_d348e5627
Mann	w7_d348e5630
formirt	w9_d348e5633
hat.	w11_d348e5636
Den	w1_d348e5641
30.	w3_d348e5644
May	w5_d348e5647
solle	w7_d348e5650
zu	w9_d348e5653
Münster	w11_d348e5656
die	w13_d348e5660
schwe	w15_d348e5663
re	w1_d348e5669
Artillerie	w3_d348e5672
eintreffen.	w5_d348e5675
</p>
<p id="p6_d348e5678">
Wie	w1_d348e5682
aus	w3_d348e5685
Hanover	w5_d348e5688
unterm	w7_d348e5691
1.	w9_d348e5694
dieses	w11_d348e5697
ge	w13_d348e5701
schrieben	w1_d348e5706
wird,	w3_d348e5709
dörfte	w5_d348e5712
das	w7_d348e5715
Haupt=quartier	w9_d348e5718
der	w1_d348e5723
Armee	w3_d348e5726
in	w5_d348e5729
Hessen,	w7_d348e5732
von	w9_d348e5735
Ziegenhayn	w11_d348e5738
wo	w1_d348e5744
es	w3_d348e5747
noch	w5_d348e5750
den	w7_d348e5753
28.	w9_d348e5756
gewesen,	w11_d348e5759
in	w13_d348e5763
wenig	w15_d348e5766
Tagen	w1_d348e5771
nach	w3_d348e5774
Cassel	w5_d348e5777
kommen.	w7_d348e5780
Von	w9_d348e5783
Seiten	w11_d348e5786
der	w1_d348e5791
Kriegs=canzley	w3_d348e5794
ist	w5_d348e5797
zu	w7_d348e5800
einer	w9_d348e5803
neuen	w11_d348e5806
Re	w13_d348e5810
cruten=hebung	w1_d348e5815
Ordre	w3_d348e5818
ins	w5_d348e5821
Land	w7_d348e5824
ergangen,	w9_d348e5827
auch	w1_d348e5833
wird	w3_d348e5836
die	w5_d348e5839
im	w7_d348e5842
Lande	w9_d348e5845
zur	w11_d348e5848
Garnison	w13_d348e5852
ver	w15_d348e5855
legte	w1_d348e5860
Land=militz	w3_d348e5863
täglich	w5_d348e5866
exercirt.	w7_d348e5869
</p>
<head id="h2_d348e5875">
Münster	w1_d348e5879
2.	w3_d348e5882
May.	w5_d348e5885
</head>
<p id="p4_d348e5888">
Nach	w1_d348e5892
der	w3_d348e5895
glücklichen	w5_d348e5898
Unternehmung	w7_d348e5901
des	w9_d348e5904
Herrn	w1_d348e5909
von	w3_d348e5912
Blaisel	w5_d348e5915
vom	w7_d348e5918
18.	w9_d348e5921
und	w11_d348e5924
19.	w13_d348e5928
April	w15_d348e5931
redet	w1_d348e5936
man	w3_d348e5939
schon	w5_d348e5942
von	w7_d348e5945
einer	w9_d348e5948
dritten.	w11_d348e5951
Es	w13_d348e5955
heis	w15_d348e5958
set	w1_d348e5964
nämlich,	w3_d348e5967
daß	w5_d348e5970
am	w7_d348e5973
25.	w9_d348e5976
das	w11_d348e5979
Corps	w13_d348e5983
des	w15_d348e5986
Generals	w1_d348e5991
von	w3_d348e5994
Hardenberg	w5_d348e5997
von	w7_d348e6000
einem	w9_d348e6003
Blaiselischen	w1_d348e6008
Detaschement,	w3_d348e6011
das	w5_d348e6014
der	w7_d348e6017
Major	w9_d348e6020
von	w1_d348e6025
Torte	w3_d348e6028
geführet,	w5_d348e6031
überfallen,	w7_d348e6034
und	w9_d348e6037
zurück	w11_d348e6040
getrieben	w1_d348e6046
worden,	w3_d348e6049
als	w5_d348e6052
es	w7_d348e6055
über	w9_d348e6058
die	w11_d348e6061
Stadt	w13_d348e6065
Bergen	w1_d348e6070
und	w3_d348e6073
Lippstadt	w5_d348e6076
gehen	w7_d348e6079
wollen.	w9_d348e6082
Die	w11_d348e6085
gestrige	w1_d348e6090
Lippstädter=briefe,	w3_d348e6093
beobachten	w5_d348e6096
hierüber	w1_d348e6101
ein	w3_d348e6104
tieffes	w5_d348e6107
Stillschweigen;	w7_d348e6110
sie	w9_d348e6113
füh	w11_d348e6116
ren	w1_d348e6122
nur	w3_d348e6125
so	w5_d348e6128
viel	w7_d348e6131
an,	w9_d348e6134
daß	w11_d348e6137
es	w13_d348e6141
unruhiger	w15_d348e6144
wer	w17_d348e6147
de,	w1_d348e6152
als	w3_d348e6155
es	w5_d348e6158
bisher	w7_d348e6161
gewesen;	w9_d348e6164
daß	w11_d348e6167
die	w13_d348e6171
im	w15_d348e6174
Sauerland	w1_d348e6179
vertheilt	w3_d348e6182
gelegene	w5_d348e6185
Regimenter	w7_d348e6188
sich	w1_d348e6193
in	w3_d348e6196
einen	w5_d348e6199
Cordon	w7_d348e6202
enger	w9_d348e6205
zusammen	w11_d348e6208
gezö	w13_d348e6212
gen;	w1_d348e6218
daß	w3_d348e6221
bey	w5_d348e6224
der	w7_d348e6227
Stadt	w9_d348e6230
viele	w11_d348e6233
Hecken	w13_d348e6237
und	w15_d348e6240
Zäune	w1_d348e6245
umgehauen,	w3_d348e6248
die	w5_d348e6251
Wege	w7_d348e6254
überall	w9_d348e6257
eben	w11_d348e6260
gemacht,	w1_d348e6265
und	w3_d348e6268
an	w5_d348e6271
denen	w7_d348e6274
Festungs=werken	w9_d348e6277
eifriger	w1_d348e6282
als	w3_d348e6285
jemals	w5_d348e6288
gearbeitet	w7_d348e6291
würde.	w9_d348e6294
Ein	w11_d348e6297
anderes	w1_d348e6303
Schreiben,	w3_d348e6306
welches	w5_d348e6309
auch	w7_d348e6312
von	w9_d348e6315
dem	w11_d348e6318
vorgedachten	w1_d348e6323
Vorfall	w3_d348e6326
hätte	w5_d348e6329
reden	w7_d348e6332
können,	w9_d348e6335
schweigt	w1_d348e6340
gleichfalls	w3_d348e6343
still	w5_d348e6346
davon;	w7_d348e6349
es	w9_d348e6352
berich	w11_d348e6355
tet	w1_d348e6360
nur	w3_d348e6363
dieses,	w5_d348e6366
daß	w7_d348e6369
ein	w9_d348e6372
Transport	w11_d348e6375
von	w13_d348e6379
200.	w1_d348e6385
Zug=pferden	w3_d348e6388
nebst	w5_d348e6391
unterschiedlichen	w7_d348e6394
Rüst=wägen,	w1_d348e6399
die	w3_d348e6402
von	w5_d348e6405
hier	w7_d348e6408
auf	w9_d348e6411
Lipp	w11_d348e6414
stadt	w1_d348e6419
zu	w3_d348e6422
gehen	w5_d348e6425
Befehl	w7_d348e6428
gehabt,	w9_d348e6431
fast	w11_d348e6434
vor	w13_d348e6438
be	w15_d348e6441
nen	w1_d348e6446
Thören	w3_d348e6449
dieser	w5_d348e6452
Stadt	w7_d348e6455
Gegen=befehl	w9_d348e6458
er	w11_d348e6461
halten,	w1_d348e6467
da	w3_d348e6470
sie	w5_d348e6473
dann	w7_d348e6476
ihren	w9_d348e6479
Weg	w11_d348e6482
wieder	w13_d348e6486
auf	w15_d348e6489
Wahrendorf	w1_d348e6494
genommen.	w3_d348e6497
Hier	w5_d348e6500
ist	w7_d348e6503
schön	w9_d348e6506
seit	w1_d348e6511
4.	w3_d348e6514
Tagen	w5_d348e6517
alles	w7_d348e6520
marschfertig.	w9_d348e6523
Die	w11_d348e6526
ent	w13_d348e6530
fernt	w1_d348e6535
gelegene	w3_d348e6538
Engländisch=Hanövrische	w5_d348e6541
Ca	w7_d348e6544
vallerie	w1_d348e6550
und	w3_d348e6553
Jnfanterie=regimenter	w5_d348e6556
haben	w7_d348e6559
sich	w1_d348e6564
</p>
<p id="p8_d348e6569">
sich	w1_d348e6573
näher	w3_d348e6576
an	w5_d348e6579
die	w7_d348e6582
Stadt	w9_d348e6585
gezogen.	w11_d348e6588
Man	w13_d348e6592
legt	w1_d348e6597
auch	w3_d348e6600
hier	w5_d348e6603
9.	w7_d348e6606
neue	w9_d348e6609
Werke	w11_d348e6612
an.	w13_d348e6616
Zu	w15_d348e6619
Hor	w17_d348e6622
nebarg	w1_d348e6627
im	w3_d348e6630
Feste	w5_d348e6633
Recklinghausen	w7_d348e6636
soll	w9_d348e6639
vorge	w11_d348e6642
stern	w1_d348e6648
eine	w3_d348e6651
aus	w5_d348e6654
Wesel	w7_d348e6657
angerückte	w9_d348e6660
Französi	w11_d348e6663
sche	w1_d348e6668
Parthey	w3_d348e6671
die	w5_d348e6674
Bückeburgische	w7_d348e6677
Jäger	w9_d348e6680
über	w11_d348e6683
fallen,	w1_d348e6688
einige	w3_d348e6691
derenselben	w5_d348e6694
niedergehauen,	w7_d348e6697
und	w1_d348e6702
verschiedene	w3_d348e6705
zu	w5_d348e6708
Gefangenen	w7_d348e6711
gemacht	w9_d348e6714
haben.	w1_d348e6720
Aus	w1_d348e6725
dem	w3_d348e6728
Fränkischen	w5_d348e6731
vom	w7_d348e6734
4.	w9_d348e6737
May.	w11_d348e6740
</p>
<p id="p10_d348e6743">
Da	w1_d348e6747
die	w3_d348e6750
Preussen	w5_d348e6753
wiederum	w7_d348e6756
nach	w9_d348e6759
der	w11_d348e6762
Gegend	w13_d348e6766
Plauen	w1_d348e6771
im	w3_d348e6774
Voigtland	w5_d348e6777
stark	w7_d348e6780
anrücken,	w9_d348e6783
und	w11_d348e6786
man	w1_d348e6791
deren	w3_d348e6794
wahres	w5_d348e6797
Vorhaben	w7_d348e6800
nicht	w9_d348e6803
einsehen	w11_d348e6806
kan,	w1_d348e6812
so	w3_d348e6815
hat	w5_d348e6818
man	w7_d348e6821
diesseits	w9_d348e6824
für	w11_d348e6827
gut	w13_d348e6831
befunden,	w15_d348e6834
den	w1_d348e6839
1.	w3_d348e6842
dieses,	w5_d348e6845
2.	w7_d348e6848
in	w9_d348e6851
der	w11_d348e6854
Gegend	w13_d348e6858
Eger	w15_d348e6861
ste	w17_d348e6864
hende	w1_d348e6869
Corps	w3_d348e6872
von	w5_d348e6875
der	w7_d348e6878
vereinigten	w9_d348e6881
Kaiserl.	w11_d348e6884
und	w1_d348e6889
Reichs=armee	w3_d348e6892
ins	w5_d348e6895
Feld	w7_d348e6898
rücken	w9_d348e6901
zu	w11_d348e6904
lassen;	w13_d348e6908
das	w1_d348e6914
eine,	w3_d348e6917
unter	w5_d348e6920
Commando	w7_d348e6923
des	w9_d348e6926
Herrn	w11_d348e6929
Ge	w13_d348e6933
nerals	w1_d348e6938
Haddick	w3_d348e6941
Excellenz,	w5_d348e6944
stehet	w7_d348e6947
zwischen	w9_d348e6950
Hof	w1_d348e6955
und	w3_d348e6958
Münchsberg,	w5_d348e6961
und	w7_d348e6964
das	w9_d348e6967
andere	w11_d348e6970
un	w13_d348e6974
ter	w1_d348e6979
dem	w3_d348e6982
Hrn.	w5_d348e6985
Feld=marschall=leutenantvon	w7_d348e6988
Maquire	w1_d348e6994
unweit	w3_d348e6997
Asch.	w5_d348e7000
</p>
<head id="h2_d348e7006">
Von	w1_d348e7010
der	w3_d348e7013
Sächsischen	w5_d348e7016
Gränze	w7_d348e7019
vom	w9_d348e7022
5.	w1_d348e7027
May.	w3_d348e7030
</head>
<p id="p4_d348e7033">
Die	w1_d348e7037
Preussen	w3_d348e7040
haben	w5_d348e7043
zwischen	w7_d348e7046
Altenburg	w9_d348e7049
und	w1_d348e7054
Zwickau	w3_d348e7057
ein	w5_d348e7060
Lager	w7_d348e7063
abgesteckt,	w9_d348e7066
und	w11_d348e7069
das	w13_d348e7073
selbe	w1_d348e7078
schon	w3_d348e7081
gröstentheils	w5_d348e7084
bezogen;	w7_d348e7087
es	w9_d348e7090
soll	w11_d348e7093
20000.	w1_d348e7099
Mann	w3_d348e7102
stark	w5_d348e7105
werden,	w7_d348e7108
zu	w9_d348e7111
welchem	w11_d348e7114
Ende	w1_d348e7119
man	w3_d348e7122
fast	w5_d348e7125
alle	w7_d348e7128
Garnisonen	w9_d348e7131
aus	w11_d348e7134
denen	w13_d348e7138
Stadten	w1_d348e7143
gezogen.	w3_d348e7146
Die	w5_d348e7149
Naumburgische	w7_d348e7152
ist	w9_d348e7155
über	w1_d348e7160
Zeitz	w3_d348e7163
in	w5_d348e7166
das	w7_d348e7169
Lager	w9_d348e7172
gegangen,	w11_d348e7175
und	w13_d348e7179
auch	w1_d348e7185
Jena	w3_d348e7188
ist	w5_d348e7191
durch	w7_d348e7194
ein	w9_d348e7197
Corps	w11_d348e7200
betroffen	w13_d348e7204
worden,	w1_d348e7209
welches	w3_d348e7212
der	w5_d348e7215
General	w7_d348e7218
Knobloch	w9_d348e7221
geführet.	w1_d348e7226
Die	w3_d348e7229
unlängst	w5_d348e7232
von	w7_d348e7235
Dresden	w9_d348e7238
nach	w11_d348e7241
Leipzig	w1_d348e7246
gebrachte	w3_d348e7249
18.	w5_d348e7252
Canonen	w7_d348e7255
sind	w9_d348e7258
gleich	w11_d348e7261
fans	w1_d348e7267
in	w3_d348e7270
obgedachtes	w5_d348e7273
Lager	w7_d348e7276
abgegangen;	w9_d348e7279
auch	w1_d348e7284
hat	w3_d348e7287
man	w5_d348e7290
zu	w7_d348e7293
Meissen	w9_d348e7296
einen	w11_d348e7299
Train	w13_d348e7303
Ar	w15_d348e7306
tillerie	w1_d348e7311
über	w3_d348e7314
die	w5_d348e7317
Elbe	w7_d348e7320
gesetzt,	w9_d348e7323
und	w11_d348e7326
nach	w13_d348e7330
dem	w15_d348e7333
Tager	w1_d348e7338
geschaft.	w3_d348e7341
Das	w5_d348e7344
Wunschische	w7_d348e7347
Frey	w9_d348e7350
dataillon	w1_d348e7356
liget	w3_d348e7359
nebst	w5_d348e7362
800.	w7_d348e7365
Hussaren	w9_d348e7368
auf	w11_d348e7371
denen	w1_d348e7376
Dörfern	w3_d348e7379
um	w5_d348e7382
Gera	w7_d348e7385
herum.	w9_d348e7388
Die	w11_d348e7391
zu	w13_d348e7395
Pirna	w1_d348e7400
gebliebene	w3_d348e7403
schwache	w5_d348e7406
Garnison	w7_d348e7409
soll	w9_d348e7412
Or	w11_d348e7415
dre	w1_d348e7420
haben,	w3_d348e7423
sich	w5_d348e7426
bey	w7_d348e7429
Annäherung	w9_d348e7432
deren	w11_d348e7435
Oe	w13_d348e7439
sterreichern	w1_d348e7445
zurückzuziehen.	w3_d348e7448
Dieses	w5_d348e7451
dürfte	w7_d348e7454
</p>
<p id="p6_d348e7457">
vielleicht	w1_d348e7461
bald	w3_d348e7464
geschehen,	w5_d348e7467
da	w7_d348e7470
der	w9_d348e7473
Herr	w11_d348e7476
Ge	w13_d348e7480
neral	w1_d348e7485
von	w3_d348e7488
Gemingen	w5_d348e7491
auf	w7_d348e7494
denen	w9_d348e7497
Böhmischen	w11_d348e7500
Gränzen	w1_d348e7505
gegen	w3_d348e7508
Sachsen	w5_d348e7511
stehet.	w7_d348e7514
</p>
<head id="h2_d348e7521">
Brüssel	w1_d348e7525
