<doc id="edoc_wd_1703-08-13" attrs="word" year="1703" month="08" day="13" corpus="1">
<head id="hl1">
Continuatio	w90
wofern	w398
die	w399
Frantzosen	w400
weiter	w401
in	w402
Ty=roll	w403
<g/>
=
eindringen	w405
solten	w406
<g/>
/
ein	w408
Detachement	w409
von	w410
8000	w411
<g/>
.
Mann	w413
ihme	w414
auff	w415
den	w416
Rucken	w417
nachzusenden	w418
<g/>
.
</p>
<p id="p6">
Eodem	w420
dito	w421
celebrirten	w422
Jhre	w423
beede	w424
Käyserliche	w425
Majestäten	w426
sambt	w427
Jh=ro	w428
<g/>
=
Hochheit	w430
dem	w431
Ertz	w432
<g/>
=
Hertzogen	w434
Carl	w435
<g/>
/
und	w437
der	w438
Durchleüchtigsten	w439
jun=gen	w440
<g/>
=
Herrschafft	w442
das	w443
Fest	w444
Mariæ	w445
<g/>
-
Schnee	w447
genannt	w448
(welches	w449
vergange=nen	w450
<g/>
=
Sonntag	w452
gefallen	w453
ware)	w454
in	w455
dem	w456
Königl	w457
<g/>
.
Jungfrauen	w459
<g/>
=
Closter	w461
zu	w462
den	w463
Engeln	w464
genannt	w465
<g/>
/
deß	w467
Ordens	w468
der	w469
H	w470
<g/>
.
Claræ	w472
<g/>
,
mit	w474
einem	w475
hohen	w476
Ambt	w477
<g/>
/
und	w479
nach	w480
eingenommenen	w481
Mittagmahl	w482
daselbsten	w483
mit	w484
einer	w485
Vesper	w486
und	w487
Litaney;	w488
Die	w489
beyde	w490
Königl	w491
<g/>
.
Majest	w493
<g/>
.
aber	w495
hielten	w496
dero	w497
Andacht	w498
bey	w499
Ma-riæ	w500
<g/>
-
<g/>
-
Hietzing	w503
<g/>
/
und	w505
speiseten	w506
nachdem	w507
zu	w508
Schönbrunn	w509
in	w510
dero	w511
Königlichen	w512
Pallast	w513
<g/>
/
deß	w515
Abends	w516
aber	w517
revertirten	w518
dieselbe	w519
wieder	w520
in	w521
die	w522
Käyserl	w523
<g/>
.
Fa-vorita	w525
<g/>
-
<g/>
.
</p>
<p id="p7">
Auß	w528
dem	w529
Käyserl	w530
<g/>
.
Feld	w532
<g/>
=
Lager	w534
von	w535
Haußheimb	w536
von	w537
1	w538
<g/>
.
Aug	w540
hat	w541
man	w542
<g/>
/
daß	w544
sich	w545
eine	w546
Parthey	w547
Husaren	w548
biß	w549
nahe	w550
an	w551
Lauingen	w552
hazardirt	w553
<g/>
/
und	w555
hat	w556
8	w557
<g/>
.
Frantzosen	w559
gefangen	w560
bekommen	w561
<g/>
/
wie	w563
auch	w564
mit	w565
der	w566
Vorwacht	w567
dapffer	w568
chargirt	w569
<g/>
/
dises	w571
verursachte	w572
dem	w573
Feind	w574
einen	w575
solchen	w576
Allarm	w577
<g/>
/
daß	w579
er	w580
auß	w581
Stucken	w582
gar	w583
auff	w584
sie	w585
feüerten	w586
<g/>
.
Unsere	w588
Redouten	w589
seynd	w590
nunmehro	w591
in	w592
ih=ren	w593
<g/>
=
Perfection	w595
<g/>
-
Stand	w597
<g/>
/
und	w599
glaubet	w600
man	w601
<g/>
/
daß	w603
solche	w604
das	w605
Würtenbergi=sche	w606
<g/>
=
Land	w608
genugsam	w609
bedecken	w610
<g/>
/
mit	w612
der	w613
übrigen	w614
Armée	w615
aber	w616
die	w617
Donau	w618
pas-siren	w619
<g/>
-
<g/>
/
und	w622
die	w623
Frantzosen	w624
allda	w625
angreiffen	w626
werden	w627
<g/>
.
Der	w629
Herr	w630
Marggraf	w631
von	w632
Bareyth	w633
stehet	w634
mit	w635
seiner	w636
Armée	w637
noch	w638
bey	w639
uns	w640
<g/>
/
und	w642
seynd	w643
wir	w644
der	w645
Königlich	w646
<g/>
=
Preüssischen	w648
und	w649
Pfältzischen	w650
Völcker	w651
in	w652
14000	w653
<g/>
.
Mann	w655
ohn=gefehr	w656
<g/>
=
bestehend	w658
auch	w659
noch	w660
den	w661
3	w662
<g/>
.
oder	w664
4	w665
<g/>
.
dises	w667
gewärtig	w668
<g/>
.
Gestern	w670
Vor=mittag	w671
<g/>
=
ist	w673
zwischen	w674
denen	w675
Käyserlichen	w676
Trouppen	w677
unterm	w678
Herrn	w679
General	w680
de	w681
la	w682
Tour	w683
bey	w684
Wenderdingen	w685
<g/>
/
und	w687
denen	w688
hinauff	w689
commandirten	w690
Frantzö=sischen	w691
<g/>
=
Detachement	w693
eine	w694
etlich	w695
<g/>
=
stündige	w697
Rencontre	w698
vorbey	w699
gangen	w700
<g/>
/
wor	w702
<g/>
=
</p>
<p id="p8">
bey	w705
die	w706
Letztere	w707
den	w708
Kürtzern	w709
gezogen	w710
<g/>
/
wie	w712
dann	w713
gar	w714
viel	w715
Wägen	w716
mit	w717
Bles-sirten	w718
<g/>
-
nacher	w720
Ulm	w721
geführet	w722
worden	w723
<g/>
/
und	w725
soll	w726
darbey	w727
sich	w728
der	w729
Commen	w730
<g/>
-
dant	w732
zu	w733
Ulm	w734
selbsten	w735
befinden	w736
<g/>
.
Hingegen	w738
hat	w739
man	w740
von	w741
München	w742
<g/>
/
daß	w744
vergangenen	w745
Freytag	w746
der	w747
Herr	w748
Graf	w749
von	w750
Arco	w751
<g/>
,
welcher	w753
todter	w754
auß	w755
Ty=roll	w756
<g/>
=
dahin	w758
gebracht	w759
<g/>
/
allda	w761
begraben	w762
worden	w763
<g/>
.
Der	w765
Herr	w766
Graf	w767
Veritá	w768
<g/>
,
sey	w770
sambt	w771
2	w772
<g/>
.
Hatschiren	w774
auch	w775
erschlagen	w776
worden	w777
<g/>
/
welche	w779
Grafen	w780
Se	w781
<g/>
.
Chur=fürstl	w783
<g/>
=
<g/>
.
Durchl	w786
<g/>
.
sehr	w788
bedauren;	w789
andern	w790
Tags	w791
<g/>
/
als	w793
den	w794
28	w795
<g/>
.
dito	w797
<g/>
/
seyn	w799
300	w800
<g/>
.
Blessirte	w802
zu	w803
besagtem	w804
München	w805
ankommen	w806
<g/>
/
welche	w808
gar	w809
miserabel	w810
gestal=tet	w811
<g/>
=
<g/>
/
und	w814
erbärmlich	w815
anzusehen	w816
gewesen	w817
<g/>
/
es	w819
waren	w820
zwar	w821
einige	w822
Frantzosen	w823
darunter	w824
<g/>
/
die	w826
meisten	w827
aber	w828
vom	w829
Leib	w830
<g/>
=
Regiment	w832
<g/>
.
Hingegen	w834
erwartet	w835
man	w836
Jhro	w837
Churfürstl	w838
<g/>
.
Durchl	w840
<g/>
.
welche	w842
dero	w843
Trouppen	w844
bey	w845
Seefeld	w846
postiret	w847
<g/>
/
und	w849
auß	w850
Tyroll	w851
zuruck	w852
beordert	w853
<g/>
/
stündlich	w855
in	w856
München	w857
<g/>
.
</p>
<p id="p9">
Den	w859
9	w860
<g/>
.
dito	w862
divertirten	w863
sich	w864
Jhre	w865
beede	w866
Käyserl	w867
<g/>
.
und	w869
Königl	w870
<g/>
.
Majest	w872
<g/>
.
mit	w874
einer	w875
Lust	w876
<g/>
=
Jagd	w878
<g/>
.
</p>
<p id="p10">
Eodem	w880
brachte	w881
der	w882
auß	w883
Tyrol	w884
gekommene	w885
Courier	w886
<g/>
,
daß	w888
<g/>
/
ob	w890
zwar	w891
der	w892
Duc	w893
de	w894
Vendôme	w895
schier	w896
biß	w897
auff	w898
Trient	w899
jenseiths	w900
der	w901
Etsch	w902
avanciret	w903
<g/>
/
beede	w905
Generalen	w906
Vaubonne	w907
und	w908
Solari	w909
mit	w910
ihren	w911
Trouppen	w912
sich	w913
also	w914
po-stiret	w915
<g/>
-
<g/>
/
daß	w918
er	w919
bey	w920
ihnen	w921
ohnmöglich	w922
durchbrechen	w923
könne	w924
<g/>
/
und	w926
wann	w927
das	w928
Detachement	w929
von	w930
etlichen	w931
Regimentern	w932
<g/>
/
so	w934
Jhr	w935
Excellenz	w936
Herr	w937
Guido	w938
Graff	w939
von	w940
Stahrenberg	w941
Willens	w942
ist	w943
an	w944
sie	w945
abzuschicken	w946
<g/>
/
ankommen	w948
solte	w949
<g/>
/
dem	w951
Feind	w952
gesambter	w953
Hand	w954
auff	w955
dem	w956
Rucken	w957
nachzugehen	w958
<g/>
/
und	w960
ihme	w961
ei=nes	w962
<g/>
=
zuversetzen	w964
Willens	w965
wären;	w966
Herr	w967
General	w968
Heister	w969
stünde	w970
mit	w971
seiner	w972
Mannschafft	w973
auff	w974
dem	w975
Brenner	w976
umb	w977
den	w978
Bäyrischen	w979
<g/>
/
wann	w981
solche	w982
wider	w983
hinauff	w984
kommen	w985
wolten	w986
<g/>
/
den	w988
Weeg	w989
hinab	w990
zu	w991
weisen;	w992
So	w993
seye	w994
auch	w995
der	w996
Churfürst	w997
in	w998
Bäyern	w999
<g/>
/
welcher	w1001
etliche	w1002
Tag	w1003
zu	w1004
München	w1005
gewesen	w1006
seyn	w1007
soll	w1008
<g/>
/
bey	w1010
sein	w1011
noch	w1012
übrigen	w1013
Trouppen	w1014
zu	w1015
Seefeld	w1016
wieder	w1017
angelangt	w1018
<g/>
/
und	w1020
lasse	w1021
allda	w1022
sich	w1023
wacker	w1024
einschantzen	w1025
<g/>
/
habe	w1027
auch	w1028
von	w1029
dorten	w1030
rings	w1031
umb	w1032
ein	w1033
Stund	w1034
weit	w1035
Wachten	w1036
außstellen	w1037
lassen	w1038
<g/>
:
die	w1040
Bauren	w1041
hingegen	w1042
<g/>
/
so	w1044
wieder	w1045
in	w1046
2	w1047
<g/>
.
Scharmützel	w1049
zusammen	w1050
biß	w1051
600	w1052
<g/>
.
Bäyern	w1054
niedergemacht	w1055
<g/>
/
halten	w1057
Kopff=stein	w1058
<g/>
=
noch	w1060
umbringt	w1061
<g/>
/
und	w1063
sollen	w1064
eine	w1065
starcke	w1066
Parthey	w1067
davon	w1068
nach	w1069
dem	w1070
Paß	w1071
Ehrenberg	w1072
gegangen	w1073
seyn	w1074
<g/>
/
umb	w1076
die	w1077
Vestung	w1078
zuüberrumpeln	w1079
<g/>
/
oder	w1081
auff	w1082
der	w1083
Bäyeris	w1084
<g/>
.
Seiten	w1086
also	w1087
einzuschliessen	w1088
<g/>
/
daß	w1090
niemand	w1091
von	w1092
dorten	w1093
hinein	w1094
noch	w1095
außkommen	w1096
möge	w1097
<g/>
.
</p>
<p id="p11">
Eod	w1099
<g/>
:
kam	w1101
sichere	w1102
Nachricht	w1103
auß	w1104
Ober	w1105
<g/>
=
Hungarn	w1107
<g/>
/
daß	w1109
Hr	w1110
<g/>
.
Obrist	w1112
<g/>
=
Wacht=meister	w1114
<g/>
=
Becker	w1116
abermahl	w1117
auff	w1118
em	w1119
Parthey	w1120
Rebellen	w1121
<g/>
/
und	w1123
Räuber	w1124
gestos=sen	w1125
<g/>
=
<g/>
/
1000	w1128
<g/>
.
davon	w1130
getödtet	w1131
<g/>
/
und	w1133
den	w1134
Rest	w1135
in	w1136
die	w1137
Flucht	w1138
gejaget	w1139
<g/>
.
</p>
<p id="p12">
Eodem	w1141
dito	w1142
wird	w1143
auß	w1144
dem	w1145
Elsaß	w1146
vom	w1147
28	w1148
<g/>
.
Julij	w1150
berichtet	w1151
<g/>
/
daß	w1153
die	w1154
Fran=tzösische	w1155
<g/>
=
Armée	w1157
nächst	w1158
den	w1159
Rhein	w1160
repassiren	w1161
werde	w1162
<g/>
:
Unter	w1164
dem	w1165
gemeinen	w1166
Mann	w1167
ist	w1168
zwar	w1169
die	w1170
Rede	w1171
<g/>
/
daß	w1173
die	w1174
Frantzosen	w1175
Landau	w1176
noch	w1177
belagern	w1178
wer=den	w1179
<g/>
=
<g/>
/
allein	w1182
es	w1183
ist	w1184
gar	w1185
keine	w1186
gründliche	w1187
Apparentz	w1188
darzu	w1189
<g/>
.
Einige	w1191
aber	w1192
wol	w1193
<g/>
=
</p>
<p id="p13">
len	w1196
daß	w1197
die	w1198
Frantzosen	w1199
Mine	w1200
machen	w1201
zur	w1202
Succurirung	w1203
deß	w1204
Villars	w1205
<g/>
,
den	w1207
Kniebiß	w1208
zu	w1209
passiren	w1210
<g/>
/
dahero	w1212
so	w1213
gleich	w1214
veranstaltet	w1215
worden	w1216
<g/>
/
die	w1218
Pässe	w1219
und	w1220
Thäler	w1221
daselbst	w1222
durch	w1223
die	w1224
auffgebottene	w1225
Bauren	w1226
und	w1227
einige	w1228
regulirte	w1229
Trouppen	w1230
best	w1231
<g/>
=
möglichst	w1233
zu	w1234
verwahren	w1235
<g/>
.
</p>
<p id="p14">
Eodem	w1237
dito	w1238
kommt	w1239
vom	w1240
29	w1241
<g/>
.
Julij	w1243
auß	w1244
Cölln	w1245
<g/>
/
daß	w1247
ohne	w1248
die	w1249
2	w1250
<g/>
.
Regi=menter	w1252
<g/>
=
zu	w1254
Pferd	w1255
und	w1256
Dragoner	w1257
<g/>
/
so	w1259
von	w1260
dem	w1261
General	w1262
von	w1263
Hochkirchen	w1264
auffgerichtet	w1265
werden	w1266
sollen	w1267
<g/>
/
werden	w1269
Seine	w1270
Churfürstl	w1271
<g/>
.
Durchl	w1273
<g/>
.
zu	w1275
Pfaltz	w1276
noch	w1277
einige	w1278
Regimenter	w1279
zu	w1280
Fuß	w1281
werben	w1282
lassen;	w1283
Der	w1284
Bischoff	w1285
von	w1286
Mün=ster	w1287
<g/>
=
hat	w1289
auch	w1290
noch	w1291
ein	w1292
neües	w1293
Regiment	w1294
Land	w1295
<g/>
=
Militz	w1297
unter	w1298
dem	w1299
Obristen	w1300
Zimmer	w1301
formiren	w1302
lassen	w1303
<g/>
.
</p>
<p id="p15">
Auß	w1305
Franckreich	w1306
hat	w1307
man	w1308
mit	w1309
letztern	w1310
Brieffen	w1311
durch	w1312
die	w1313
Schweitz	w1314
vom	w1315
25	w1316
<g/>
.
Julij	w1318
daß	w1319
die	w1320
Sevenner	w1321
in	w1322
Vivarez	w1323
eingefallen	w1324
<g/>
/
umb	w1326
mit	w1327
denen	w1328
in	w1329
Lan=guedoc	w1330
<g/>
=
sich	w1332
zu	w1333
conjungiren	w1334
<g/>
/
welche	w1336
auch	w1337
würcklich	w1338
in	w1339
einem	w1340
guten	w1341
Stand	w1342
seynd	w1343
<g/>
.
Daß	w1345
Zürch	w1346
und	w1347
Beern	w1348
die	w1349
angräntzende	w1350
Oerther	w1351
am	w1352
Boden	w1353
<g/>
=
See	w1355
in	w1356
Proteƈtion	w1357
genommen	w1358
<g/>
/
thut	w1360
sich	w1361
der	w1362
Frantzösische	w1363
Ambassadeur	w1364
starck	w1365
darwider	w1366
setzen	w1367
<g/>
.
</p>
<p id="p16">
Berliner	w1369
Brieff	w1370
vom	w1371
30	w1372
<g/>
.
Julij	w1374
geben	w1375
<g/>
/
daß	w1377
Se	w1378
<g/>
.
Königl	w1380
<g/>
.
Majest	w1382
<g/>
.
sich	w1384
von	w1385
Oranienburg	w1386
nacher	w1387
Schönhausen	w1388
begeben	w1389
<g/>
/
aber	w1391
nur	w1392
etliche	w1393
Tage	w1394
allda	w1395
verweilen	w1396
<g/>
/
und	w1398
weiter	w1399
nach	w1400
denen	w1401
Mecklenburgischen	w1402
Gräntzen	w1403
abreißen	w1404
werden	w1405
<g/>
/
daselbst	w1407
sich	w1408
zu	w1409
divertiren	w1410
<g/>
.
Mit	w1412
Seiner	w1413
Königl	w1414
Hoheit	w1415
dem	w1416
Herrn	w1417
Cron	w1418
<g/>
=
Printzen	w1420
<g/>
/
hat	w1422
es	w1423
sich	w1424
nunmehr	w1425
wieder	w1426
gantz	w1427
gebessert	w1428
<g/>
.
Auß	w1430
Poh=len	w1431
<g/>
=
hat	w1433
man	w1434
nun	w1435
die	w1436
Versicherung	w1437
<g/>
/
daß	w1439
man	w1440
daselbst	w1441
möglichste	w1442
Anstal=ten	w1443
<g/>
=
mache	w1445
<g/>
/
sich	w1447
den	w1448
Progressen	w1449
der	w1450
Schwedischen	w1451
Waffen	w1452
zuwidersetzen	w1453
<g/>
.
Jngleichem	w1455
Seine	w1456
Königliche	w1457
Majestät	w1458
zu	w1459
Preussen	w1460
<g/>
/
wegen	w1462
Elbingen	w1463
zu	w1464
contentiren	w1465
<g/>
/
auch	w1467
mit	w1468
selbiger	w1469
<g/>
/
dem	w1471
König	w1472
in	w1473
Dännemarck	w1474
<g/>
/
und	w1476
dem	w1477
Czaar	w1478
in	w1479
Moscau	w1480
Alliantz	w1481
zuschliessen	w1482
<g/>
.
</p>
<p id="p17">
Auß	w1484
dem	w1485
Hollsteinischen	w1486
vom	w1487
26	w1488
<g/>
.
Julij	w1490
Jhro	w1491
Hochfürstliche	w1492
Durchl	w1493
<g/>
.
deß	w1495
Herrn	w1496
Bischoffs	w1497
zu	w1498
Eutin	w1499
Reichs	w1500
<g/>
=
Contingent	w1502
<g/>
,
wie	w1504
auch	w1505
deß	w1506
Herrn	w1507
Obristen	w1508
von	w1509
Osten	w1510
Hollsteinische	w1511
Dragoner	w1512
<g/>
=
Regiment	w1514
<g/>
/
so	w1516
alle	w1517
wol	w1518
mon-tirt	w1519
<g/>
-
und	w1521
brave	w1522
Leüthe	w1523
<g/>
/
sind	w1525
den	w1526
19	w1527
<g/>
.
hujus	w1529
auß	w1530
den	w1531
Eutinischen	w1532
auffgebro=chen	w1533
<g/>
=
<g/>
/
und	w1536
haben	w1537
zu	w1538
Schwartau	w1539
ihr	w1540
Rendevous	w1541
gehalten	w1542
<g/>
/
daselbst	w1544
sie	w1545
ins=gesambt	w1546
<g/>
=
von	w1548
Jhrer	w1549
Durchl	w1550
<g/>
.
dem	w1552
Hern	w1553
Bischoffen	w1554
gemustert	w1555
<g/>
/
hernach=mals	w1557
<g/>
=
seynd	w1559
selbe	w1560
den	w1561
20	w1562
<g/>
.
dito	w1564
Trembs	w1565
<g/>
=
Mühle	w1567
vorbey	w1568
<g/>
/
und	w1570
den	w1571
Marsch	w1572
ferner	w1573
nach	w1574
dem	w1575
Obern	w1576
<g/>
=
Rhein	w1578
beschleünigen	w1579
müssen	w1580
<g/>
.
Beynebens	w1582
ist	w1583
ohnweit	w1584
Tündern	w1585
ein	w1586
Gesund	w1587
<g/>
=
Brunnen	w1589
vor	w1590
3	w1591
<g/>
.
Wochen	w1593
entsprungen	w1594
<g/>
/
woran	w1596
schon	w1597
einige	w1598
<g/>
/
so	w1600
lahmgewesen	w1601
<g/>
/
curirt	w1603
worden	w1604
<g/>
/
es	w1606
reißen	w1607
dahin	w1608
unter=schiedliche	w1609
<g/>
=
mangelhaffte	w1611
Leüte	w1612
<g/>
/
GOtt	w1614
gebe	w1615
glückliche	w1616
Continuation;	w1617
Man	w1618
sagt	w1619
daß	w1620
der	w1621
Brunnen	w1622
von	w1623
einem	w1624
Mägdel	w1625
soll	w1626
gefunden	w1627
seyn	w1628
<g/>
/
wel	w1630
<g/>
=
</p>
<p id="p18">
che	w1633
<g/>
/
weil	w1635
sie	w1636
böse	w1637
Füsse	w1638
gehabt	w1639
<g/>
/
sich	w1641
darinn	w1642
gewaschen	w1643
<g/>
/
da	w1645
dann	w1646
ihre	w1647
Beine	w1648
<g/>
/
so	w1650
theils	w1651
verlahmet	w1652
<g/>
/
wieder	w1654
gesund	w1655
<g/>
/
sie	w1657
aber	w1658
blind	w1659
worden	w1660
<g/>
/
und	w1662
da	w1663
sie	w1664
solches	w1665
den	w1666
Leuthen	w1667
zu	w1668
verstehen	w1669
gegeben	w1670
<g/>
/
hat	w1672
sie	w1673
sich	w1674
wieder	w1675
darinn	w1676
gewa=schen	w1677
<g/>
=
<g/>
/
auch	w1680
ihr	w1681
Gesicht	w1682
wieder	w1683
bekommenen	w1684
<g/>
.
Der	w1686
Herr	w1687
General	w1688
Ellen=brech	w1689
<g/>
=
hat	w1691
von	w1692
Jhrer	w1693
Königl	w1694
<g/>
.
Majest	w1696
<g/>
.
in	w1698
Dännemarck	w1699
2	w1700
<g/>
.
Regimenter	w1702
zu	w1703
Pferd	w1704
und	w1705
1	w1706
<g/>
.
zu	w1708
Fuß	w1709
zu	w1710
werben	w1711
<g/>
/
Patenta	w1713
erhalten	w1714
<g/>
.
Seine	w1716
Majestät	w1717
werden	w1718
als	w1719
heut	w1720
zu	w1721
Rendsburg	w1722
vermuthet	w1723
<g/>
/
umb	w1725
alldort	w1726
über	w1727
die	w1728
stehende	w1729
Troup=pen	w1730
<g/>
=
die	w1732
Revue	w1733
zuhalten	w1734
<g/>
.
</p>
<p id="p19">
Den	w1736
10	w1737
<g/>
.
Begaben	w1739
sich	w1740
beede	w1741
Käyserl	w1742
<g/>
.
und	w1744
Königl	w1745
<g/>
.
Mayt	w1747
<g/>
.
wie	w1749
auch	w1750
Jhro	w1751
Hochheit	w1752
der	w1753
Ertz	w1754
<g/>
=
Hertzog	w1756
Carl	w1757
<g/>
/
sambt	w1759
der	w1760
Durchleuchtigsten	w1761
Jun=gen	w1762
<g/>
=
Herrschafft	w1764
nach	w1765
dem	w1766
Jungfrauen	w1767
<g/>
=
Closter	w1769
<g/>
/
deß	w1771
Ordens	w1772
der	w1773
regulir-ten	w1774
<g/>
-
Chor	w1776
<g/>
=
Frauen	w1778
deß	w1779
Heil	w1780
<g/>
.
Augustini	w1782
bey	w1783
St	w1784
<g/>
.
Lorentz	w1786
<g/>
/
und	w1788
celebrirten	w1789
all=da	w1790
<g/>
=
das	w1792
Fest	w1793
letzt	w1794
<g/>
=
besagten	w1796
Heiligen	w1797
<g/>
/
vormittag	w1799
mit	w1800
einem	w1801
hohen	w1802
Ambt	w1803
<g/>
/
welches	w1805
Jhro	w1806
Hochfürstl	w1807
<g/>
.
Gnaden	w1809
der	w1810
Bischoff	w1811
von	w1812
Wienn	w1813
hielte	w1814
<g/>
/
und	w1816
nach	w1817
eingenommenem	w1818
Mittagmahl	w1819
daselbsten	w1820
<g/>
/
mit	w1822
einer	w1823
Vesper	w1824
und	w1825
Li-taney	w1826
<g/>
-
<g/>
,
deß	w1829
Abends	w1830
aber	w1831
begaben	w1832
dieselbe	w1833
sich	w1834
wieder	w1835
in	w1836
dero	w1837
Favorita	w1838
<g/>
.
</p>
<p id="p20">
Eodem	w1840
dito	w1841
<g/>
.
Hat	w1843
man	w1844
auß	w1845
Londen	w1846
<g/>
/
von	w1848
20	w1849
<g/>
.
Julij	w1851
<g/>
,
daß	w1853
auß	w1854
Jrr=land	w1855
<g/>
=
verschidene	w1857
Regimenter	w1858
nach	w1859
Portugal	w1860
sollen	w1861
transportirt	w1862
wer=den	w1863
<g/>
=
<g/>
/
zu	w1866
welchem	w1867
Ende	w1868
den	w1869
21	w1870
<g/>
.
ein	w1872
Courier	w1873
nach	w1874
Jrrland	w1875
depechiret	w1876
<g/>
/
sol=ches	w1878
<g/>
=
zu	w1880
befördern	w1881
<g/>
.
Der	w1883
Graff	w1884
Galloway	w1885
wird	w1886
ehest	w1887
nach	w1888
Holland	w1889
gehen	w1890
<g/>
/
von	w1892
dannen	w1893
derselbe	w1894
mit	w1895
einem	w1896
offentlichen	w1897
Character	w1898
seine	w1899
Reise	w1900
nach	w1901
Savoyen	w1902
fortsetzen	w1903
wird	w1904
<g/>
.
Unsere	w1906
Moscowitische	w1907
Flotte	w1908
<g/>
/
ist	w1910
auff	w1911
die	w1912
Zeitung	w1913
<g/>
/
daß	w1915
vill	w1916
Frantzösische	w1917
Schiffe	w1918
in	w1919
die	w1920
Nord	w1921
<g/>
=
See	w1923
kreutzen	w1924
<g/>
/
zu	w1926
Kirkordie	w1927
<g/>
,
mit	w1929
den	w1930
Convoyers	w1931
