<doc id="wr_1763-10-15" attrs="word" year="1763" month="10" day="15" corpus="2">
<head id="h2_d800e3755">
Niagara	w1_d800e3759
Unterdessen	w7_d800e4288
hat	w9_d800e4291
es	w11_d800e4294
seine	w13_d800e4298
Richtigkeit,	w1_d800e4303
daß	w3_d800e4306
die	w5_d800e4309
Wilden,	w7_d800e4312
nachdem	w9_d800e4315
dieselbe	w1_d800e4320
über	w3_d800e4323
den	w5_d800e4326
Friedens=schluß	w7_d800e4329
benach	w9_d800e4332
richtiget,	w1_d800e4338
mehr	w3_d800e4341
auf	w5_d800e4344
die	w7_d800e4347
Stite	w9_d800e4350
der	w11_d800e4353
Englän	w13_d800e4357
der	w1_d800e4362
geneigt	w3_d800e4365
sind,	w5_d800e4368
und	w7_d800e4371
sonderlich	w9_d800e4374
seit	w11_d800e4377
dem	w13_d800e4381
die	w1_d800e4386
letzte	w3_d800e4389
Verstärkung	w5_d800e4392
daselbst	w7_d800e4395
angelanget.	w9_d800e4398
Noch	w1_d800e4403
vor	w3_d800e4406
kurzem	w5_d800e4409
ist	w7_d800e4412
der	w9_d800e4415
Major	w11_d800e4418
Rogels	w13_d800e4422
und	w15_d800e4425
der	w1_d800e4431
Capitain	w3_d800e4434
Dalyell	w5_d800e4437
mit	w7_d800e4440
300.	w9_d800e4443
Köpfen	w11_d800e4446
aus	w13_d800e4450
erlesener	w1_d800e4455
Mannschaft	w3_d800e4458
von	w5_d800e4461
hier	w7_d800e4464
nach	w9_d800e4467
Detroit	w11_d800e4470
abgegangen,	w1_d800e4475
also,	w3_d800e4478
daß	w5_d800e4481
man	w7_d800e4484
von	w9_d800e4487
diesen	w11_d800e4490
Leu	w13_d800e4494
ten	w1_d800e4499
sich	w3_d800e4502
viel	w5_d800e4505
Gures	w7_d800e4508
versprechen	w9_d800e4511
darf.	w11_d800e4514
Was	w13_d800e4518
die	w1_d800e4524
Treue	w3_d800e4527
für	w5_d800e4530
das	w7_d800e4533
Vaterland	w9_d800e4536
nicht	w11_d800e4539
vermag/	w13_d800e4543
Seit	w1_d800e4548
dem	w3_d800e4551
6.	w5_d800e4554
May,	w7_d800e4557
da	w9_d800e4560
Detroit	w11_d800e4563
von	w13_d800e4567
den	w15_d800e4570
Wil	w17_d800e4573
den	w1_d800e4578
berennet	w3_d800e4581
ward,	w5_d800e4584
ist	w7_d800e4587
die	w9_d800e4590
dasige	w11_d800e4593
Besatzung	w13_d800e4597
nicht	w1_d800e4602
aus	w3_d800e4605
den	w5_d800e4608
Kleidern	w7_d800e4611
gekommen.	w9_d800e4614
</p>
<p id="p12_d800e4628">
So	w1_d800e4632
eben	w3_d800e4635
langt	w5_d800e4638
von	w7_d800e4641
dem	w9_d800e4644
Capitain	w11_d800e4647
Da	w13_d800e4651
thell	w1_d800e4656
ein	w3_d800e4659
Expresser	w5_d800e4662
mit	w7_d800e4665
der	w9_d800e4668
Nachricht	w11_d800e4671
an,	w13_d800e4675
daß	w1_d800e4680
/	w3_d800e4683
nachdem	w5_d800e4686
er	w7_d800e4689
verschiedene	w9_d800e4692
Lager	w11_d800e4695
der	w13_d800e4699
Jn	w15_d800e4702
dianer	w1_d800e4708
entdecket,	w3_d800e4711
für	w5_d800e4714
rathsam	w7_d800e4717
befunden	w9_d800e4720
hät	w11_d800e4723
te,	w1_d800e4728
einen	w3_d800e4731
Posten	w5_d800e4734
von	w7_d800e4737
einem	w9_d800e4740
Officier	w11_d800e4743
und	w13_d800e4747
einigen	w1_d800e4752
Artilleristen	w3_d800e4755
auf	w5_d800e4758
ein	w7_d800e4761
kleines	w9_d800e4764
Schif	w11_d800e4767
mit	w1_d800e4772
einigen	w3_d800e4775
Stein=stücken	w5_d800e4778
auszusetzen,	w7_d800e4781
da	w9_d800e4784
mit	w1_d800e4790
die	w3_d800e4793
Communication	w5_d800e4796
auf	w7_d800e4799
dem	w9_d800e4802
Flusse,	w11_d800e4805
der	w1_d800e4810
ganz	w3_d800e4813
schmal	w5_d800e4816
ist,	w7_d800e4819
und	w9_d800e4822
dessen	w11_d800e4825
beyde	w13_d800e4829
Ufer	w15_d800e4832
folglich	w1_d800e4837
von	w3_d800e4840
den	w5_d800e4843
Wilden	w7_d800e4846
gar	w9_d800e4849
leicht	w11_d800e4852
erreichen	w13_d800e4856
werden	w1_d800e4861
können,	w3_d800e4864
um	w5_d800e4867
die	w7_d800e4870
auf	w9_d800e4873
und	w11_d800e4876
abfahren	w13_d800e4880
de	w1_d800e4886
Schiffe	w3_d800e4889
anzufallen,	w5_d800e4892
unterhalten	w7_d800e4895
werde.	w9_d800e4898
</p>
<p id="p14_d800e4901">
Die	w1_d800e4905
Schanze	w3_d800e4908
Detroit	w5_d800e4911
ist	w7_d800e4914
eigentlich	w9_d800e4917
nur	w11_d800e4920
ein	w1_d800e4925
viereckigtes	w3_d800e4928
Gebäude,	w5_d800e4931
so	w7_d800e4934
mit	w9_d800e4937
4.	w11_d800e4940
Boll	w13_d800e4944
werkern	w1_d800e4949
versehen	w3_d800e4952
ist.	w5_d800e4955
Es	w7_d800e4958
können	w9_d800e4961
sich	w11_d800e4964
gleich	w13_d800e4968
wol	w1_d800e4974
3000.	w3_d800e4977
Mann	w5_d800e4980
daselbst	w7_d800e4983
aufhalten.	w9_d800e4986
Da	w11_d800e4989
der	w1_d800e4994
Geist	w3_d800e4997
der	w5_d800e5000
Zwietracht	w7_d800e5003
die	w9_d800e5006
Wilden	w11_d800e5009
bis	w13_d800e5013
dahin	w1_d800e5018
gereizet	w3_d800e5021
hatte,	w5_d800e5024
bestand	w7_d800e5027
die	w9_d800e5030
Besatzung	w11_d800e5033
blos	w1_d800e5038
in	w3_d800e5041
80.	w5_d800e5044
bewafneter	w7_d800e5047
Soldaten,	w9_d800e5050
und	w11_d800e5053
wa	w13_d800e5057
ren	w1_d800e5063
ungefehr	w3_d800e5066
einige	w5_d800e5069
30.	w7_d800e5072
an	w9_d800e5075
Bord	w11_d800e5078
der	w13_d800e5082
allda	w15_d800e5085
vor	w1_d800e5090
Anker	w3_d800e5093
liegenden	w5_d800e5096
beyden	w7_d800e5099
Schiffen.	w9_d800e5102
Die	w11_d800e5105
se	w1_d800e5110
beyden	w3_d800e5113
Schiffe	w5_d800e5116
bestritten	w7_d800e5119
drey	w9_d800e5122
Ecken	w11_d800e5125
von	w13_d800e5129
dem	w1_d800e5134
Vierecke,	w3_d800e5137
zu	w5_d800e5140
Lande	w7_d800e5143
und	w9_d800e5146
zu	w11_d800e5149
Wasser,	w13_d800e5153
und	w1_d800e5159
die	w3_d800e5162
Besatzung	w5_d800e5165
vertheidigte	w7_d800e5168
das	w9_d800e5171
vierte	w11_d800e5174
Bollwerk.	w1_d800e5179
Als	w3_d800e5182
der	w5_d800e5185
Ort	w7_d800e5188
berennet	w9_d800e5191
war,	w11_d800e5194
er	w13_d800e5198
hob	w1_d800e5203
sich	w3_d800e5206
der	w5_d800e5209
Capitain	w7_d800e5212
Hopkins	w9_d800e5215
auf	w11_d800e5218
einer	w13_d800e5222
Schaluppe	w1_d800e5227
nach	w3_d800e5230
einer	w5_d800e5233
kleinen	w7_d800e5236
Jnsul	w9_d800e5239
unter	w11_d800e5242
der	w1_d800e5248
Stadt,	w3_d800e5251
wo	w5_d800e5254
er	w7_d800e5257
auf	w9_d800e5260
die	w11_d800e5263
Wilden	w13_d800e5267
ein	w15_d800e5270
so	w17_d800e5273
heftiges	w1_d800e5278
Feuer	w3_d800e5281
machte,	w5_d800e5284
daß	w7_d800e5287
sie	w9_d800e5290
genöthiget	w11_d800e5293
wurden,	w1_d800e5298
die	w3_d800e5301
dasige	w5_d800e5304
Gegend	w7_d800e5307
mit	w9_d800e5310
aller	w11_d800e5313
Eil	w13_d800e5317
fertigkeit	w1_d800e5322
zu	w3_d800e5325
verlassen.	w5_d800e5328
Die	w7_d800e5331
Fahrzeuge	w9_d800e5334
wa	w11_d800e5337
ren	w1_d800e5343
in	w3_d800e5346
den	w5_d800e5349
Augen	w7_d800e5352
der	w9_d800e5355
Jndianer	w11_d800e5358
gleich	w13_d800e5362
sam	w15_d800e5365
ein	w1_d800e5370
Schröcken=bild,	w3_d800e5373
da	w5_d800e5376
sie	w7_d800e5379
sahen,	w9_d800e5382
daß	w11_d800e5385
man	w13_d800e5389
damit	w1_d800e5394
gegen	w3_d800e5397
den	w5_d800e5400
Wind	w7_d800e5403
anfuhr,	w9_d800e5406
welches	w11_d800e5409
sie	w13_d800e5413
für	w1_d800e5418
eine	w3_d800e5421
Bezauberung	w5_d800e5424
hielten.	w7_d800e5427
</p>
<head id="h2_d800e5433">
Madrid	w1_d800e5437
13.	w3_d800e5440
Sep.	w5_d800e5443
</head>
<p id="p4_d800e5446">
Seine	w1_d800e5450
Majest.	w3_d800e5453
der	w5_d800e5456
König	w7_d800e5459
haben	w9_d800e5462
die	w11_d800e5465
durch	w1_d800e5470
den	w3_d800e5473
tödtlichen	w5_d800e5476
Hintritt	w7_d800e5479
des	w9_d800e5482
Hrn.	w11_d800e5485
A	w13_d800e5489
rias	w1_d800e5494
Campomanes	w3_d800e5497
in	w5_d800e5500
dem	w7_d800e5503
Königl.	w9_d800e5506
Raht	w11_d800e5509
von	w13_d800e5513
Castillen	w1_d800e5519
vacirend	w3_d800e5522
gewordene	w5_d800e5525
Stelle	w7_d800e5528
dem	w9_d800e5531
Don	w1_d800e5536
Joseph	w3_d800e5539
Moreno	w5_d800e5542
in	w7_d800e5545
Gnaden	w9_d800e5548
ertheilet.	w11_d800e5551
Am	w1_d800e5556
30.	w3_d800e5559
Aug.	w5_d800e5562
ward	w7_d800e5565
in	w9_d800e5568
dem	w11_d800e5571
vier	w13_d800e5575
Meilen	w15_d800e5578
von	w1_d800e5583
hier	w3_d800e5586
gelegenen	w5_d800e5589
berühmten	w7_d800e5592
Dorfe	w9_d800e5595
Escu	w11_d800e5598
</p>
<p id="p6_d800e5601">
Nr	w1_d800e5605
rial	w1_d800e5610
das	w3_d800e5613
zweyte	w5_d800e5616
Jahrhundert	w7_d800e5619
der	w9_d800e5622
Einwei	w11_d800e5625
hung	w1_d800e5630
der	w3_d800e5633
dasigen	w5_d800e5636
Ahbtey=kirche	w7_d800e5639
St.	w9_d800e5642
Lau	w11_d800e5645
renz	w1_d800e5651
mit	w3_d800e5654
allem	w5_d800e5657
erdenklichen	w7_d800e5660
Gepränge	w9_d800e5663
ge	w11_d800e5666
feyret.	w1_d800e5671
Diese	w3_d800e5674
Feyerlichkeit	w5_d800e5677
ist	w7_d800e5680
uns	w9_d800e5683
so	w11_d800e5686
viel	w13_d800e5690
merkwürdiger	w1_d800e5695
weil	w3_d800e5698
uns	w5_d800e5701
die	w7_d800e5704
Geschichte	w9_d800e5707
leh	w11_d800e5710
ren,	w1_d800e5715
daß	w3_d800e5718
König	w5_d800e5721
Philipp	w7_d800e5724
der	w9_d800e5727
Zweyte	w11_d800e5730
wegen	w13_d800e5734
einen	w1_d800e5740
gethanen	w3_d800e5743
Gelübde,	w5_d800e5746
nach	w7_d800e5749
dem	w9_d800e5752
bey	w11_d800e5755
St.	w13_d800e5759
Quintin	w1_d800e5764
im	w3_d800e5767
sech	w5_d800e5770
zehenten	w7_d800e5773
Jahrhundert	w9_d800e5776
erfoch	w11_d800e5779
tenen	w1_d800e5784
Siege,	w3_d800e5787
da	w5_d800e5790
dann	w7_d800e5793
gedachtes	w9_d800e5796
Kloster	w11_d800e5799
zu	w13_d800e5803
einer	w1_d800e5808
Batlerie	w3_d800e5811
gemacht	w5_d800e5814
werden	w7_d800e5817
muste,	w9_d800e5820
von	w11_d800e5823
Grund	w1_d800e5829
auferbauen	w3_d800e5832
lassen,	w5_d800e5835
und	w7_d800e5838
22.	w9_d800e5841
Jahre	w11_d800e5844
dar	w13_d800e5848
an	w1_d800e5853
gearbeitet	w3_d800e5856
worden.	w5_d800e5859
Der	w7_d800e5862
König	w9_d800e5865
und	w11_d800e5868
die	w13_d800e5872
Königin	w1_d800e5877
haben	w3_d800e5880
auch	w5_d800e5883
Jhre	w7_d800e5886
Gemächer	w9_d800e5889
in	w11_d800e5892
dem	w13_d800e5896
selben,	w1_d800e5901
und	w3_d800e5904
wird	w5_d800e5907
das	w7_d800e5910
übrige	w9_d800e5913
von	w11_d800e5916
150.	w13_d800e5920
Mön	w15_d800e5923
chen	w1_d800e5929
des	w3_d800e5932
Ordens	w5_d800e5935
St.	w7_d800e5938
Hieronyml	w9_d800e5941
bewoh	w11_d800e5944
net;	w1_d800e5949
deren	w3_d800e5952
Abbt	w5_d800e5955
allemal	w7_d800e5958
ein	w9_d800e5961
Grand	w11_d800e5964
von	w13_d800e5968
Spanien	w1_d800e5973
ist.	w3_d800e5976
Das	w5_d800e5979
Hoch=amt	w7_d800e5982
ward	w9_d800e5985
an	w11_d800e5988
ge	w13_d800e5992
meltem	w1_d800e5997
Tage	w3_d800e6000
von	w5_d800e6003
dem	w7_d800e6006
Bischofen	w9_d800e6009
von	w11_d800e6012
Zela,	w13_d800e6016
Hrn.	w1_d800e6022
Franz	w3_d800e6025
de	w5_d800e6028
St.	w7_d800e6031
Andre,	w9_d800e6034
vorberührten	w11_d800e6037
Or	w13_d800e6041
dens=geistlichen,	w1_d800e6046
die	w3_d800e6049
Lobrede	w5_d800e6052
des	w7_d800e6055
Heiligen	w9_d800e6058
hingegen	w1_d800e6063
von	w3_d800e6066
dem	w5_d800e6069
P.	w7_d800e6072
Anton	w9_d800e6075
de	w11_d800e6078
Oliweres	w13_d800e6082
gehalten.	w1_d800e6087
Die	w3_d800e6090
ausserordentlichen	w5_d800e6093
Beleuch	w7_d800e6096
tungen,	w1_d800e6102
womit	w3_d800e6105
die	w5_d800e6108
an	w7_d800e6111
den	w9_d800e6114
Vierecken	w11_d800e6117
aufge	w13_d800e6121
baute	w1_d800e6126
Thürne	w3_d800e6129
sowol,	w5_d800e6132
als	w7_d800e6135
die	w9_d800e6138
11000.	w11_d800e6141
an	w13_d800e6145
dem	w1_d800e6150
ganzen	w3_d800e6153
Gebäude	w5_d800e6156
zu	w7_d800e6159
zählende	w9_d800e6162
Fenster	w11_d800e6165
des	w13_d800e6169
vorigen	w1_d800e6174
und	w3_d800e6177
des	w5_d800e6180
nämlichen	w7_d800e6183
Abends	w9_d800e6186
ausge	w11_d800e6189
schmücket	w1_d800e6195
waren,	w3_d800e6198
konnten	w5_d800e6201
einen	w7_d800e6204
jeden	w9_d800e6207
Zu	w11_d800e6210
schauer	w1_d800e6215
überzeugen,	w3_d800e6218
daß	w5_d800e6221
wir	w7_d800e6224
gedachtes	w9_d800e6227
Klo	w11_d800e6230
ster	w1_d800e6235
nicht	w3_d800e6238
mit	w5_d800e6241
Unrecht	w7_d800e6244
das	w9_d800e6247
achte	w11_d800e6250
Wunder	w13_d800e6254
werk	w1_d800e6259
der	w3_d800e6262
Welt	w5_d800e6265
nennen	w7_d800e6268
därsen.	w9_d800e6271
</p>
<head id="h2_d800e6277">
Londen	w1_d800e6281
29.	w3_d800e6284
Sept.	w5_d800e6287
</head>
<p id="p4_d800e6290">
Alles	w1_d800e6294
dessen	w3_d800e6297
ungeachtet,	w5_d800e6300
was	w7_d800e6303
bey	w9_d800e6306
Hofe	w11_d800e6309
und	w1_d800e6314
in	w3_d800e6317
dem	w5_d800e6320
Cabinete	w7_d800e6323
vorgegangen,	w9_d800e6326
hören	w11_d800e6329
gleichwol	w1_d800e6334
die	w3_d800e6337
Partisans	w5_d800e6340
des	w7_d800e6343
Hrn	w9_d800e6346
Pitt	w11_d800e6349
noch	w13_d800e6353
nicht	w1_d800e6359
auf,	w3_d800e6362
seit	w5_d800e6365
etlichen	w7_d800e6368
Tagen	w9_d800e6371
zu	w11_d800e6374
behaupten,	w13_d800e6378
daß	w1_d800e6383
er	w3_d800e6386
wieder	w5_d800e6389
an	w7_d800e6392
das	w9_d800e6395
Ruder	w11_d800e6398
der	w13_d800e6402
Affairen	w15_d800e6405
kommen,	w1_d800e6410
und	w3_d800e6413
seine	w5_d800e6416
Anhänger	w7_d800e6419
die	w9_d800e6422
Bedie	w11_d800e6425
nungen	w1_d800e6430
haben	w3_d800e6433
würden,	w5_d800e6436
die	w7_d800e6439
er	w9_d800e6442
vor	w11_d800e6445
sie	w13_d800e6449
gesu	w15_d800e6452
chet	w1_d800e6458
im	w3_d800e6461
Fall	w5_d800e6464
er	w7_d800e6467
wieder	w9_d800e6470
an	w11_d800e6473
das	w13_d800e6477
Ministerium	w15_d800e6480
kommen	w1_d800e6485
sollte.	w3_d800e6488
Allein	w5_d800e6491
Se.	w7_d800e6494
Majest.	w9_d800e6497
der	w11_d800e6500
König	w1_d800e6505
haben	w3_d800e6508
sich	w5_d800e6511
keineswegs	w7_d800e6514
in	w9_d800e6517
ihren	w11_d800e6520
Ent	w13_d800e6524
schliessungen	w1_d800e6529
geändert,	w3_d800e6532
sie	w5_d800e6535
arbeiten	w7_d800e6538
vielmehr	w9_d800e6541
</p>
<p id="p10_d800e6554">
selbst	w1_d800e6558
unermüdet	w3_d800e6561
mit	w5_d800e6564
ihrem	w7_d800e6567
Ministerio	w9_d800e6570
an	w11_d800e6573
allen	w1_d800e6578
den	w3_d800e6581
Geschäften,	w5_d800e6584
welche	w7_d800e6587
ihre	w9_d800e6590
Crone	w11_d800e6593
und	w1_d800e6598
den	w3_d800e6601
Staat	w5_d800e6604
betreffen.	w7_d800e6607
Weil	w9_d800e6610
man	w11_d800e6613
wol	w13_d800e6617
voraus	w1_d800e6623
gesehen	w3_d800e6626
hat,	w5_d800e6629
daß	w7_d800e6632
die	w9_d800e6635
Gegenpar	w11_d800e6638
tbey	w1_d800e6643
die	w3_d800e6646
groste	w5_d800e6649
Hindernüsse	w7_d800e6652
wegen	w9_d800e6655
der	w11_d800e6658
Sum	w13_d800e6662
men	w1_d800e6667
machen	w3_d800e6670
wurde,	w5_d800e6673
die	w7_d800e6676
man	w9_d800e6679
zum	w11_d800e6682
Dienst	w13_d800e6686
des	w15_d800e6689
künftigen	w1_d800e6694
Jahrs	w3_d800e6697
aufnehmen	w5_d800e6700
muß;	w7_d800e6703
so	w9_d800e6706
ist	w11_d800e6709
das	w1_d800e6715
Ministerium	w3_d800e6718
äusserst	w5_d800e6721
besorget;	w7_d800e6724
diesen	w9_d800e6727
Steln	w1_d800e6732
des	w3_d800e6735
Anstosses	w5_d800e6738
aus	w7_d800e6741
dem	w9_d800e6744
Weege	w11_d800e6747
zu	w13_d800e6751
räumen.	w1_d800e6756
</p>
<p id="p12_d800e6760">
de	w1_d800e6764
Wulze	w3_d800e6767
seus	w5_d800e6770
Poris	w7_d800e6773
wicder	w9_d800e6776
lin	w11_d800e6779
on	w13_d800e6783
den	w1_d800e6788
angelanget	w3_d800e6791
und	w5_d800e6794
nachdeme	w7_d800e6797
auch	w9_d800e6800
dieser	w11_d800e6803
Mann	w1_d800e6808
seine	w3_d800e6811
Freunde	w5_d800e6814
und	w7_d800e6817
Anhänger	w9_d800e6820
besu	w11_d800e6823
chet,	w1_d800e6829
ist	w3_d800e6832
er	w5_d800e6835
auf	w7_d800e6838
das	w9_d800e6841
Land	w11_d800e6844
verreiset.	w13_d800e6848
Der	w15_d800e6851
Capitain	w1_d800e6856
Forbes,	w3_d800e6859
ein	w5_d800e6862
Schottischer	w7_d800e6865
Officie,	w9_d800e6868
|	w11_d800e6871
,	w13_d800e6875
im	w1_d800e6880
Dienste	w3_d800e6883
des	w5_d800e6886
Königs	w7_d800e6889
in	w9_d800e6892
Frankreich,	w11_d800e6895
der	w13_d800e6899
bey	w1_d800e6904
der	w3_d800e6907
Ankunft	w5_d800e6910
des	w7_d800e6913
Hrn.	w9_d800e6916
Wilkes	w11_d800e6919
in	w13_d800e6923
Paris	w15_d800e6926
ihn	w1_d800e6932
zum	w3_d800e6935
Duell	w5_d800e6938
heraus	w7_d800e6941
gefordert,	w9_d800e6944
um	w11_d800e6947
den	w13_d800e6951
Schimpf	w1_d800e6956
zu	w3_d800e6959
rächen,	w5_d800e6962
welchen	w7_d800e6965
Wilkes	w9_d800e6968
der	w11_d800e6971
Schottischen	w1_d800e6976
Nation	w3_d800e6979
in	w5_d800e6982
seinem	w7_d800e6985
Blatte	w9_d800e6988
der	w11_d800e6991
Nordibriton	w1_d800e6996
angethan	w3_d800e6999
hat	w5_d800e7002
ihm	w7_d800e7005
gefolget,	w9_d800e7008
in	w11_d800e7011
der	w1_d800e7017
Absicht,	w3_d800e7020
ihn	w5_d800e7023
zu	w7_d800e7026
nöhtigen	w9_d800e7029
das	w11_d800e7032
Duell	w13_d800e7036
anzu	w15_d800e7039
nehmen,	w1_d800e7044
welches	w3_d800e7047
er	w5_d800e7050
zu	w7_d800e7053
Paris	w9_d800e7056
so	w11_d800e7059
geschickt	w13_d800e7063
aus	w15_d800e7066
zupariren	w1_d800e7071
gewust	w3_d800e7074
hat.	w5_d800e7077
Allein,	w7_d800e7080
kaum	w9_d800e7083
waren	w11_d800e7086
Se.	w1_d800e7091
Groß=britannische	w3_d800e7094
Majest	w5_d800e7097
davon	w7_d800e7100
be	w9_d800e7103
nachrichtiget	w1_d800e7109
worden,	w3_d800e7112
so	w5_d800e7115
liessen	w7_d800e7118
sie	w9_d800e7121
ihm	w11_d800e7124
sa	w13_d800e7128
gen,	w1_d800e7133
daß	w3_d800e7136
er	w5_d800e7139
sich	w7_d800e7142
vetiriren	w9_d800e7145
sollte,	w11_d800e7148
indeme	w13_d800e7152
Se.	w1_d800e7157
Majest.	w3_d800e7160
nicht	w5_d800e7163
wollten,	w7_d800e7166
daß	w9_d800e7169
ein	w11_d800e7172
Glied	w13_d800e7176
des	w1_d800e7181
Parlaments	w3_d800e7184
der	w5_d800e7187
Rache	w7_d800e7190
eines	w9_d800e7193
unbedacht	w11_d800e7196
samen	w1_d800e7202
und	w3_d800e7205
erhitzten	w5_d800e7208
Eifers	w7_d800e7211
ausgesetzt	w9_d800e7214
seyn	w11_d800e7217
sollte.	w1_d800e7222
</p>
<p id="p14_d800e7225">
Auf	w1_d800e7229
diese	w3_d800e7232
Art	w5_d800e7235
haben	w7_d800e7238
Se.	w9_d800e7241
Majest.	w11_d800e7244
die	w13_d800e7248
Würküngen	w1_d800e7253
ihrer	w3_d800e7256
Güte	w5_d800e7259
und	w7_d800e7262
ihrer	w9_d800e7265
Liebe	w11_d800e7268
vor	w13_d800e7272
die	w1_d800e7277
Billigkeit	w3_d800e7280
gegen	w5_d800e7283
einen	w7_d800e7286
Unterthan,	w9_d800e7289
der	w11_d800e7292
sich	w13_d800e7296
wegen	w1_d800e7302
seiner	w3_d800e7305
Vergehungen	w5_d800e7308
einer	w7_d800e7311
so	w9_d800e7314
ausneh	w11_d800e7317
menden	w1_d800e7322
Gnade	w3_d800e7325
unwürdig,	w5_d800e7328
und	w7_d800e7331
gegen	w9_d800e7334
Se.	w11_d800e7337
Majest.	w1_d800e7342
strafbar	w3_d800e7345
gemacht,	w5_d800e7348
reichlich	w7_d800e7351
darge	w9_d800e7354
than.	w1_d800e7359
Ueberhaupt	w3_d800e7362
aber	w5_d800e7365
ist	w7_d800e7368
der	w9_d800e7371
ganze	w11_d800e7374
Zu	w13_d800e7378
sammenhang	w1_d800e7384
der	w3_d800e7387
bisberigen	w5_d800e7390
Ministerial	w7_d800e7393
streitigkeiten	w1_d800e7398
eines	w3_d800e7401
der	w5_d800e7404
Anmerkungs	w7_d800e7407
würdig	w9_d800e7410
sten	w1_d800e7415
Stücke	w3_d800e7418
in	w5_d800e7421
den	w7_d800e7424
neuesten	w9_d800e7427
Engländischen	w11_d800e7430
Geschichten,	w1_d800e7435
von	w3_d800e7438
dem	w5_d800e7441
Betragen	w7_d800e7444
