<doc id="edoc_wd_1781-12-29" attrs="word" year="1781" month="12" day="29" corpus="1">
<p id="p4">
Tausend	w24
ver=lassen	w1121
<g/>
=
<g/>
,
und	w1124
selbes	w1125
dem	w1126
Vicomte	w1127
von	w1128
Noail=les	w1129
<g/>
=
zu	w1131
Theil	w1132
werden	w1133
<g/>
.
Auf	w1135
diese	w1136
Art	w1137
wird	w1138
Herr	w1139
von	w1140
Fayette	w1141
seine	w1142
Laufbahne	w1143
ge=schwinder	w1144
<g/>
=
vollenden	w1146
<g/>
;
denn	w1148
wenn	w1149
Frank=reich	w1150
<g/>
=
diesen	w1152
jungen	w1153
Helden	w1154
zurück	w1155
ruffen	w1156
wird	w1157
<g/>
,
um	w1159
ihn	w1160
für	w1161
beständig	w1162
zu	w1163
bedien=sten	w1164
<g/>
=
<g/>
,
so	w1167
kann	w1168
er	w1169
sich	w1170
Hofnung	w1171
machen	w1172
<g/>
,
den	w1174
nämlichen	w1175
Grad	w1176
zu	w1177
erhalten	w1178
<g/>
,
den	w1180
er	w1181
bey	w1182
dem	w1183
Kriegsheere	w1184
der	w1185
vereinigten	w1186
nord=amerikanischen	w1187
<g/>
=
Staaten	w1189
ablegt	w1190
<g/>
.
Man	w1192
schreibt	w1193
aus	w1194
Brest	w1195
<g/>
,
daß	w1197
unserer	w1198
dasigen	w1199
Flotte	w1200
bereits	w1201
am	w1202
3	w1203
<g/>
.
dieses	w1205
um	w1206
8	w1207
Uhr	w1208
frühe	w1209
der	w1210
Losungsschuß	w1211
zum	w1212
Auslaufen	w1213
gegeben	w1214
worden	w1215
sey	w1216
<g/>
;
es	w1218
muß	w1219
aber	w1220
der	w1221
Wind	w1222
zur	w1223
wirklichen	w1224
Abreise	w1225
nicht	w1226
günstig	w1227
gewesen	w1228
seyn	w1229
<g/>
,
weil	w1231
noch	w1232
kein	w1233
Kourier	w1234
die	w1235
Nachricht	w1236
gebracht	w1237
hat	w1238
<g/>
,
daß	w1240
sie	w1241
in	w1242
die	w1243
See	w1244
gestochen	w1245
habe	w1246
<g/>
;
man	w1248
glaubt	w1249
daher	w1250
<g/>
,
sie	w1252
dürfte	w1253
noch	w1254
bis	w1255
auf	w1256
den	w1257
7	w1258
<g/>
.
auf	w1260
dasi=ger	w1261
<g/>
=
Rhede	w1263
geblieben	w1264
seyn	w1265
<g/>
,
an	w1267
welchem	w1268
Tage	w1269
die	w1270
Winde	w1271
aus	w1272
Nordwesten	w1273
zu	w1274
herr=schen	w1275
<g/>
=
schienen	w1277
<g/>
.
Die	w1279
Flotte	w1280
war	w1281
im	w1282
Be Begrif	w1283
<g/>
=
</p>
<p id="p17">
grif	w1285
ohne	w1286
das	w1287
Geschwader	w1288
von	w1289
Bourdeaux	w1290
unter	w1291
Segel	w1292
zu	w1293
gehen	w1294
<g/>
;
sie	w1296
sah	w1297
am	w1298
30	w1299
<g/>
.
das	w1301
Geschwader	w1302
von	w1303
Rochefort	w1304
unter	w1305
dem	w1306
Geleite	w1307
der	w1308
Kriegsschiffe	w1309
<g/>
,
le	w1311
Brave	w1312
<g/>
,
und	w1314
Argonaute	w1315
<g/>
,
einlaufen	w1317
<g/>
,
welche	w1319
letztere	w1320
mit	w1321
der	w1322
Flotte	w1323
sich	w1324
vereinigten	w1325
<g/>
.
Herr	w1327
von	w1328
la	w1329
Motte	w1330
<g/>
=
Piquet	w1332
<g/>
,
welchen	w1334
ein	w1335
starker	w1336
Anfall	w1337
von	w1338
Podagra	w1339
am	w1340
3	w1341
<g/>
.
dieses	w1343
abzu=reisen	w1344
<g/>
=
hinderte	w1346
<g/>
,
wird	w1348
ganz	w1349
gewiß	w1350
wieder	w1351
am	w1352
Bord	w1353
haben	w1354
gehen	w1355
können	w1356
<g/>
,
wenn	w1358
die	w1359
Flotte	w1360
noch	w1361
einige	w1362
Tage	w1363
aufgehalten	w1364
wur=de	w1365
<g/>
=
<g/>
,
weil	w1368
man	w1369
bis	w1370
dahin	w1371
seine	w1372
gänzliche	w1373
Wiedergenesung	w1374
hofte	w1375
<g/>
.
Ungeachtet	w1377
aller	w1378
Gerichte	w1379
<g/>
,
so	w1381
man	w1382
von	w1383
der	w1384
Abreise	w1385
des	w1386
Admirals	w1387
Rodney	w1388
aussprengte	w1389
<g/>
,
glauben	w1391
wir	w1392
doch	w1393
<g/>
,
daß	w1395
unser	w1396
Graf	w1397
von	w1398
Guichen	w1399
einen	w1400
Vorsprung	w1401
von	w1402
14	w1403
Tagen	w1404
voraus	w1405
haben	w1406
werde	w1407
<g/>
,
und	w1409
<g/>
,
in	w1411
diesem	w1412
Falle	w1413
<g/>
,
ist	w1415
es	w1416
sehr	w1417
zweifelhaft	w1418
<g/>
,
daß	w1420
ersterer	w1421
es	w1422
wird	w1423
wagen	w1424
wollen	w1425
<g/>
,
die	w1427
Festung	w1428
Gibraltar	w1429
mit	w1430
frischen	w1431
Bestandmitteln	w1432
zu	w1433
versehen	w1434
<g/>
.
</p>
<p id="p18">
Herr	w1436
Necker	w1437
hat	w1438
zu	w1439
St	w1440
<g/>
.
Quen	w1442
wegen	w1443
der	w1444
Geburt	w1445
des	w1446
Dauphin	w1447
ein	w1448
prächtiges	w1449
Fest	w1450
gegeben	w1451
<g/>
,
wozu	w1453
alle	w1454
Ministers	w1455
einge=laden	w1456
<g/>
=
waren	w1458
<g/>
;
und	w1460
seine	w1461
Frau	w1462
hat	w1463
bey	w1464
dieser	w1465
Gelegenheit	w1466
15	w1467
Bauernmägdchens	w1468
auf	w1469
ihre	w1470
Kosten	w1471
verheyrathet	w1472
<g/>
,
und	w1474
aus=gestattet	w1475
<g/>
=
<g/>
.
</p>
<p id="p19">
Unser	w1478
Herr	w1479
Erzbischof	w1480
liegt	w1481
noch	w1482
immer	w1483
gefährlich	w1484
krank	w1485
<g/>
,
wenn	w1487
aber	w1488
alle	w1489
Wün=sche	w1490
<g/>
=
und	w1492
Gebethe	w1493
der	w1494
Unglücklichen	w1495
<g/>
,
so	w1497
die	w1498
Großmuth	w1499
dieses	w1500
würdigen	w1501
Prälaten	w1502
unterstützte	w1503
<g/>
,
von	w1505
dem	w1506
Himmel	w1507
erhört	w1508
werden	w1509
<g/>
,
so	w1511
wird	w1512
er	w1513
noch	w1514
lange	w1515
auf	w1516
un=sern	w1517
<g/>
=
bischöflichen	w1519
Stuhle	w1520
sitzen	w1521
<g/>
,
welchen	w1523
seine	w1524
Frömmigkeit	w1525
und	w1526
Tugenden	w1527
mit	w1528
einem	w1529
so	w1530
schönen	w1531
Glanze	w1532
verherrlichten	w1533
<g/>
.
</p>
<head id="hl4">
Mayland	w1535
<g/>
,
den	w1537
12	w1538
<g/>
.
Christm	w1540
<g/>
.
</head>
<p id="p20">
Freytags	w1542
<g/>
,
am	w1544
7	w1545
<g/>
.
dieses	w1547
<g/>
,
da	w1549
das	w1550
Fest	w1551
des	w1552
heiligen	w1553
Ambrosius	w1554
<g/>
,
Schutzpatrons	w1556
<g/>
,
und	w1558
ehemaligen	w1559
Erzbischoffes	w1560
dieser	w1561
Stadt	w1562
<g/>
,
einfiel	w1564
<g/>
,
erhoben	w1566
sich	w1567
Se	w1568
<g/>
.
königl	w1570
<g/>
.
Hoheit	w1572
<g/>
,
unser	w1574
durchl	w1575
<g/>
.
Herr	w1577
Generalgouverneur	w1578
in	w1579
die	w1580
Ambrosianische	w1581
Domkirche	w1582
<g/>
,
und	w1584
wohnten	w1585
allda	w1586
dem	w1587
feyerlichen	w1588
Gottes=dienste	w1589
<g/>
=
bey	w1591
<g/>
;
Tages	w1593
darauf	w1594
<g/>
,
am	w1596
unbefleck=ten	w1597
<g/>
=
Marien	w1599
Empfängnißfeste	w1600
<g/>
,
geschah	w1602
ein	w1603
gleiches	w1604
in	w1605
der	w1606
Kirche	w1607
bey	w1608
santa	w1609
Ma=ria	w1610
<g/>
=
della	w1612
Scala	w1613
<g/>
,
worauf	w1615
Se	w1616
<g/>
.
königl	w1618
<g/>
.
Ho=heit	w1620
<g/>
=
nach	w1622
Monza	w1623
zurückkehrten	w1624
<g/>
,
allwo	w1626
der	w1627
Hof	w1628
noch	w1629
einige	w1630
Tage	w1631
zu	w1632
verbleiben	w1633
</p>
<p id="p21">
gedenkt	w1634
<g/>
.
Es	w1636
soll	w1637
nun	w1638
keinem	w1639
Zweifel	w1640
mehr	w1641
unterworfen	w1642
seyn	w1643
<g/>
,
daß	w1645
Jhre	w1646
königl	w1647
<g/>
.
Hoheit	w1649
<g/>
,
die	w1651
durchl	w1652
<g/>
.
Frau	w1654
Erzherzoginn	w1655
in	w1656
gesegneten	w1657
<g/>
.
Umständen	w1659
sich	w1660
befinden	w1661
<g/>
.
</p>
<p id="p22">
Nachdem	w1663
bereits	w1664
am	w1665
1	w1666
<g/>
.
dieses	w1668
der	w1669
Herr	w1670
Marches	w1671
Don	w1672
Matthäus	w1673
Ordogno	w1674
di	w1675
Ro=sales	w1676
<g/>
=
<g/>
,
gewester	w1679
Justitzkapitain	w1680
in	w1681
der	w1682
ganzen	w1683
österreichischen	w1684
Lombardey	w1685
<g/>
,
als	w1687
Senator	w1688
die	w1689
behörige	w1690
Eidespflicht	w1691
in	w1692
die	w1693
Hände	w1694
Sr	w1695
<g/>
.
Excellenz	w1697
des	w1698
Herrn	w1699
Grafens	w1700
von	w1701
Firmian	w1702
<g/>
,
k	w1704
<g/>
.
k	w1706
<g/>
.
gevollmächtigten	w1708
Mi=nisters	w1709
<g/>
=
ꝛc	w1711
<g/>
.
abgelegt	w1713
hatte	w1714
<g/>
,
so	w1716
nahm	w1717
sel=ber	w1718
<g/>
=
am	w1720
Mittwoche	w1721
frühe	w1722
seine	w1723
neue	w1724
Wür=de	w1725
<g/>
=
in	w1727
Besitz	w1728
<g/>
.
An	w1730
seine	w1731
verlassene	w1732
Justitz=kapitainsstelle	w1733
<g/>
=
ist	w1735
der	w1736
bisherige	w1737
Vicekapi=tain	w1738
<g/>
=
<g/>
,
Don	w1741
Johann	w1742
Baptist	w1743
Bossi	w1744
<g/>
,
von	w1746
dem	w1747
allergnädigsten	w1748
Monarchen	w1749
befördert	w1750
worden	w1751
<g/>
.
Noch	w1753
in	w1754
dem	w1755
Verlauf	w1756
dieses	w1757
Monates	w1758
wird	w1759
der	w1760
Herr	w1761
Graf	w1762
von	w1763
Wild=zeck	w1764
<g/>
=
<g/>
,
hiesiger	w1767
Regierungsrath	w1768
<g/>
,
und	w1770
Obrist=hofmeister	w1771
<g/>
=
der	w1773
durchl	w1774
<g/>
.
Erzherzoginn	w1776
<g/>
,
aus	w1778
Wien	w1779
allhier	w1780
erwartet	w1781
<g/>
.
Nach	w1783
seiner	w1784
An=kunft	w1785
<g/>
=
sollen	w1787
verschiedene	w1788
landesfürstl	w1789
<g/>
.
heilsame	w1791
Verordnungen	w1792
<g/>
,
in	w1794
Finanz	w1795
<g/>
=
und	w1797
Regierungsangelegenheiten	w1798
<g/>
,
zum	w1800
Wohl	w1801
des	w1802
Staates	w1803
publicirt	w1804
<g/>
,
und	w1806
in	w1807
dem	w1808
be=hörigen	w1809
<g/>
=
Gang	w1811
gebracht	w1812
werden	w1813
<g/>
.
</p>
<head id="hl5">
Rom	w1815
<g/>
,
den	w1817
12	w1818
<g/>
.
Christmon	w1820
<g/>
.
</head>
<p id="p23">
Am	w1822
letzten	w1823
Montage	w1824
Vormittags	w1825
ha=ben	w1826
<g/>
=
Se	w1828
<g/>
.
päbstl	w1830
<g/>
.
Heiligkeit	w1832
in	w1833
dem	w1834
apostol=lischen	w1835
<g/>
=
Vatikanpallaste	w1837
ein	w1838
geheimes	w1839
Con=sistorium	w1840
<g/>
=
gehalten	w1842
<g/>
,
und	w1844
darinn	w1845
dem	w1846
ver=sammelten	w1847
<g/>
=
heiligen	w1849
Kollegium	w1850
<g/>
,
die	w1852
in	w1853
