<doc id="wr_1759-03-10" attrs="word" year="1759" month="03" day="10" corpus="2">
<head id="h2_d329e3434">
Münden	w1_d329e3438
stark	w11_d329e5244
besetzt	w1_d329e5249
haben,	w3_d329e5252
und	w5_d329e5255
man	w7_d329e5258
schliesset	w9_d329e5261
daraus	w11_d329e5264
weil	w1_d329e5269
sie	w3_d329e5272
zu	w5_d329e5275
Wannfrieden	w7_d329e5278
ein	w9_d329e5281
ansehnliches	w11_d329e5284
Magazin	w1_d329e5289
angeleget,	w3_d329e5292
daß	w5_d329e5295
sie	w7_d329e5298
sich	w9_d329e5301
allda	w11_d329e5304
fest	w13_d329e5308
zusetzen	w1_d329e5314
gedenken.	w3_d329e5317
</p>
<p id="p8_d329e5320">
Von	w1_d329e5324
der	w3_d329e5327
Alliirten	w5_d329e5330
Armee	w7_d329e5333
selbst,	w9_d329e5336
welche	w11_d329e5339
80000.	w1_d329e5344
Mann	w3_d329e5347
stark	w5_d329e5350
im	w7_d329e5353
bevorstehenden	w9_d329e5356
Feld=zuge	w1_d329e5361
erscheinen	w3_d329e5364
soll,	w5_d329e5367
hat	w7_d329e5370
man,	w9_d329e5373
daß	w11_d329e5376
der	w13_d329e5380
Herr	w1_d329e5386
General=major,	w3_d329e5389
Freyherr	w5_d329e5392
von	w7_d329e5395
Har	w9_d329e5398
denberg,	w1_d329e5403
in	w3_d329e5406
denen	w5_d329e5409
ersten	w7_d329e5412
Tagen	w9_d329e5415
des	w11_d329e5418
Februarii	w13_d329e5422
nach	w1_d329e5427
Lühnen,	w3_d329e5430
um	w5_d329e5433
den	w7_d329e5436
längst	w9_d329e5439
der	w11_d329e5442
Lippe	w13_d329e5446
und	w15_d329e5449
gegen	w1_d329e5454
dem	w3_d329e5457
Rhein	w5_d329e5460
zu	w7_d329e5463
formirten	w9_d329e5466
Cordon	w11_d329e5469
zu	w13_d329e5473
commandiren,	w1_d329e5479
abgegangen	w3_d329e5482
seye.	w5_d329e5485
</p>
<head id="h2_d329e5491">
Thoren	w1_d329e5495
20.	w3_d329e5498
Februarii.	w5_d329e5501
</head>
<p id="p4_d329e5504">
Bey	w1_d329e5508
der	w3_d329e5511
Rußischen	w5_d329e5514
Kaiserl.	w7_d329e5517
Armee	w9_d329e5520
ist	w11_d329e5523
ausser	w1_d329e5528
denen	w3_d329e5531
Bewegungen	w5_d329e5534
verschiedener	w7_d329e5537
Re	w9_d329e5540
gimenter	w1_d329e5545
gegen	w3_d329e5548
die	w5_d329e5551
Seite	w7_d329e5554
von	w9_d329e5557
Danzig	w11_d329e5560
nichts	w13_d329e5564
veränderliches	w1_d329e5570
vorgefallen.	w3_d329e5573
Der	w5_d329e5576
Herr	w7_d329e5579
Ge	w9_d329e5582
neral	w1_d329e5587
von	w3_d329e5590
Broune,	w5_d329e5593
welcher	w7_d329e5596
sich	w9_d329e5599
in	w11_d329e5602
ersterer	w13_d329e5606
Stadt	w1_d329e5611
bisher	w3_d329e5614
wegen	w5_d329e5617
seiner	w7_d329e5620
bey	w9_d329e5623
Zorndorf	w11_d329e5626
erhaltenen	w1_d329e5631
Blessuren	w3_d329e5634
aufgehalten,	w5_d329e5637
ist	w7_d329e5640
völlig	w9_d329e5643
wieder	w1_d329e5649
hergestellet,	w3_d329e5652
und	w5_d329e5655
würklich	w7_d329e5658
auf	w9_d329e5661
der	w11_d329e5664
Reise	w1_d329e5669
nach	w3_d329e5672
Petersburg	w5_d329e5675
begriffen.	w7_d329e5678
Die	w9_d329e5681
Wunden	w1_d329e5686
dieses	w3_d329e5689
Generals	w5_d329e5692
waren	w7_d329e5695
ungemein	w9_d329e5698
gefährlich.	w1_d329e5703
Die	w3_d329e5706
Anzahl	w5_d329e5709
derselben	w7_d329e5712
belieffe	w9_d329e5715
sich	w1_d329e5721
auf	w3_d329e5724
13.	w5_d329e5727
gehauene,	w7_d329e5730
wovon	w9_d329e5733
8.	w11_d329e5736
am	w13_d329e5740
Haupt	w15_d329e5743
waren.	w1_d329e5748
Viere	w3_d329e5751
giengen	w5_d329e5754
nur	w7_d329e5757
durch	w9_d329e5760
die	w11_d329e5763
äus	w13_d329e5767
serlichen	w1_d329e5772
Decken,	w3_d329e5775
einige	w5_d329e5778
drangen	w7_d329e5781
bis	w9_d329e5784
in	w11_d329e5787
die	w13_d329e5791
zweyte	w1_d329e5796
Tafel	w3_d329e5799
der	w5_d329e5802
Hirnschaale,	w7_d329e5805
andere	w9_d329e5808
aber	w11_d329e5811
giengen	w1_d329e5817
bis	w3_d329e5820
auf	w5_d329e5823
die	w7_d329e5826
harte	w9_d329e5829
Hirn=haut,	w11_d329e5832
in	w13_d329e5836
wel	w15_d329e5839
cher	w1_d329e5844
die	w3_d329e5847
Bewegung	w5_d329e5850
ungefähr	w7_d329e5853
3.	w9_d329e5856
bis	w11_d329e5859
4.	w13_d329e5863
Wo	w15_d329e5866
chen	w1_d329e5871
vor	w3_d329e5874
der	w5_d329e5877
Cur	w7_d329e5880
deutlich	w9_d329e5883
zu	w11_d329e5886
sehen	w13_d329e5890
war.	w15_d329e5893
Eine	w1_d329e5898
andere	w3_d329e5901
am	w5_d329e5904
rechten	w7_d329e5907
Backen	w9_d329e5910
bey	w11_d329e5913
der	w13_d329e5917
einen	w1_d329e5923
Puls=ader,	w3_d329e5926
welche	w5_d329e5929
zugenäht	w7_d329e5932
werden	w9_d329e5935
muste,	w1_d329e5940
ist	w3_d329e5943
bis	w5_d329e5946
auf	w7_d329e5949
eine	w9_d329e5952
kleine	w11_d329e5955
Narbe	w13_d329e5959
zuge	w15_d329e5962
wachsen.	w1_d329e5967
Die	w3_d329e5970
Ehre	w5_d329e5973
dieser	w7_d329e5976
glücklichen	w9_d329e5979
Cur	w11_d329e5982
gehöret	w1_d329e5987
dem	w3_d329e5990
Rußisch	w5_d329e5993
Kaiserl.	w7_d329e5996
Herrn	w9_d329e5999
Feld	w11_d329e6002
medico	w1_d329e6008
Kuhlmann,	w3_d329e6011
welcher	w5_d329e6014
sich	w7_d329e6017
durch	w9_d329e6020
eine	w11_d329e6023
geschickte	w1_d329e6028
Dissertation,	w3_d329e6031
die	w5_d329e6034
er	w7_d329e6037
zu	w9_d329e6040
Göttingen	w11_d329e6043
</p>
<p id="p10_d329e6056">
von	w1_d329e6060
Erzeugung	w3_d329e6063
der	w5_d329e6066
Thiere	w7_d329e6069
gehalten,	w9_d329e6072
be	w1_d329e6077
rühmt	w1_d329e6082
gemacht	w3_d329e6085
hat.	w5_d329e6088
</p>
<head id="h2_d329e6095">
Ostende	w1_d329e6099
14.	w3_d329e6102
Febr.	w5_d329e6105
</head>
<p id="p4_d329e6108">
Am	w1_d329e6112
7.	w3_d329e6115
dieses	w5_d329e6118
Monats	w7_d329e6121
sind	w9_d329e6124
der	w11_d329e6127
Gou	w13_d329e6131
verneur	w1_d329e6136
von	w3_d329e6139
Dünkirchen,	w5_d329e6142
Marquis	w7_d329e6145
von	w9_d329e6148
Barail,	w1_d329e6153
und	w3_d329e6156
der	w5_d329e6159
in	w7_d329e6162
KöniglichGroßbrit	w9_d329e6165
tanischen	w1_d329e6171
Diensten	w3_d329e6174
stehende	w5_d329e6177
Generalleute	w7_d329e6180
nant,	w1_d329e6185
Herr	w3_d329e6188
Conway,	w5_d329e6191
allhier	w7_d329e6194
angelangt.	w9_d329e6197
Diese	w1_d329e6202
beede	w3_d329e6205
Generalen	w5_d329e6208
haben	w7_d329e6211
ihre,	w9_d329e6214
wegen	w11_d329e6217
Auswechslung	w1_d329e6222
beyderseitiger	w3_d329e6225
Kriegsgefange	w5_d329e6228
nen,	w1_d329e6234
hauptsächlich	w3_d329e6237
Conferenzen	w5_d329e6240
geschlossen;	w7_d329e6243
und	w1_d329e6248
der	w3_d329e6251
General	w5_d329e6254
Conway	w7_d329e6257
ist	w9_d329e6260
bereits	w11_d329e6263
wie	w13_d329e6267
der	w1_d329e6272
nach	w3_d329e6275
England	w5_d329e6278
zuruck	w7_d329e6281
gereiset.	w9_d329e6284
</p>
<head id="h2_d329e6290">
Haag	w1_d329e6294
26.	w3_d329e6297
Febr.	w5_d329e6300
</head>
<p id="p4_d329e6303">
Die	w1_d329e6307
Provinz	w3_d329e6310
Utrecht	w5_d329e6313
hat	w7_d329e6316
zur	w9_d329e6319
Ausrüstung	w11_d329e6322
der	w1_d329e6327
25.	w3_d329e6330
Kriegs=schiffen	w5_d329e6333
endlich	w7_d329e6336
ihre	w9_d329e6339
Ein	w11_d329e6342
willigung	w1_d329e6347
gegeben,	w3_d329e6350
so	w5_d329e6353
daß	w7_d329e6356
nunmehro	w9_d329e6359
nur	w11_d329e6362
noch	w1_d329e6368
die	w3_d329e6371
Provinz	w5_d329e6374
Gröningen	w7_d329e6377
sich	w9_d329e6380
dieserhal	w11_d329e6383
ben	w1_d329e6388
zu	w3_d329e6391
erklären	w5_d329e6394
hat,	w7_d329e6397
und	w9_d329e6400
vorläuffig	w11_d329e6403
weiß	w13_d329e6407
man	w1_d329e6412
schon,	w3_d329e6415
daß	w5_d329e6418
diese	w7_d329e6421
Provinz	w9_d329e6424
von	w11_d329e6427
solchen	w13_d329e6431
Gesinnungen	w1_d329e6436
ist,	w3_d329e6439
die	w5_d329e6442
zu	w7_d329e6445
diesem	w9_d329e6448
Entzweck	w11_d329e6451
vorträglich	w1_d329e6457
seynd.	w3_d329e6460
Auf	w5_d329e6463
die	w7_d329e6466
Vorstellungen	w9_d329e6469
des	w1_d329e6474
Corps	w3_d329e6477
der	w5_d329e6480
Kaufleute	w7_d329e6483
in	w9_d329e6486
Ansehung	w11_d329e6489
des	w13_d329e6493
von	w1_d329e6498
der	w3_d329e6501
Admiralität	w5_d329e6504
zu	w7_d329e6507
Londen	w9_d329e6510
gethanen	w11_d329e6513
Ausspruchs,	w1_d329e6518
daß	w3_d329e6521
alle	w5_d329e6524
weggenommene	w7_d329e6527
Hol	w9_d329e6530
ländische	w1_d329e6536
Schiffe,	w3_d329e6539
deren	w5_d329e6542
Ladung	w7_d329e6545
nicht	w9_d329e6548
in	w11_d329e6551
Producten	w1_d329e6556
und	w3_d329e6559
Effecten	w5_d329e6562
aus	w7_d329e6565
denen	w9_d329e6568
Colo	w11_d329e6571
nien	w1_d329e6576
der	w3_d329e6579
Republic	w5_d329e6582
bestehet,	w7_d329e6585
vor	w9_d329e6588
dem	w11_d329e6591
10.	w13_d329e6595
dieses	w1_d329e6600
für	w3_d329e6603
gute	w5_d329e6606
Prisen	w7_d329e6609
erkläret	w9_d329e6612
werden	w11_d329e6615
soll	w13_d329e6619
ten,	w1_d329e6625
ist	w3_d329e6628
der	w5_d329e6631
Königl.	w7_d329e6634
Großbritannische	w9_d329e6637
Mi	w11_d329e6640
nister	w1_d329e6645
und	w3_d329e6648
General=major	w5_d329e6651
York	w7_d329e6654
ersuchet	w9_d329e6657
worden,	w1_d329e6662
seinen	w3_d329e6665
Hof	w5_d329e6668
zu	w7_d329e6671
vermögen,	w9_d329e6674
in	w11_d329e6677
sol	w13_d329e6681
cher	w1_d329e6686
Sache	w3_d329e6689
nicht	w5_d329e6692
zu	w7_d329e6695
voreilig	w9_d329e6698
zu	w11_d329e6701
verfahren,	w13_d329e6705
wann	w1_d329e6711
er	w3_d329e6714
es	w5_d329e6717
darinn	w7_d329e6720
zu	w9_d329e6723
einem	w11_d329e6726
Vergleich	w13_d329e6730
ge	w15_d329e6733
bracht	w1_d329e6738
wissen	w3_d329e6741
wollte.	w5_d329e6744
Dem	w7_d329e6747
zufolge	w9_d329e6750
hat	w11_d329e6753
be	w13_d329e6757
sagter	w1_d329e6762
Minister	w3_d329e6765
am	w5_d329e6768
verwichenen	w7_d329e6771
Sonn	w9_d329e6774
abend	w1_d329e6779
einen	w3_d329e6782
Courier	w5_d329e6785
nach	w7_d329e6788
Londen	w9_d329e6791
abge	w11_d329e6794
fertiget.	w1_d329e6800
</p>
<p id="p6_d329e6803">
Was	w1_d329e6807
die	w3_d329e6810
Regierung	w5_d329e6813
der	w7_d329e6816
Republick	w9_d329e6819
der	w11_d329e6822
ver	w13_d329e6826
einigten	w1_d329e6831
Niederlande	w3_d329e6834
in	w5_d329e6837
denen	w7_d329e6840
Mishelligkeiten	w9_d329e6843
mit	w1_d329e6848
denen	w3_d329e6851
Engländern	w5_d329e6854
für	w7_d329e6857
Maaß=regeln	w9_d329e6860
er	w11_d329e6863
greiffen	w1_d329e6869
werde,	w3_d329e6872
kan	w5_d329e6875
man	w7_d329e6878
noch	w9_d329e6881
nicht	w11_d329e6884
sagen.	w13_d329e6888
</p>
<p id="p8_d329e6891">
Man	w1_d329e6895
erwartet	w3_d329e6898
erst	w5_d329e6901
von	w7_d329e6904
Londen	w9_d329e6907
eine	w11_d329e6910
Antwort	w13_d329e6914
auf	w1_d329e6919
den	w3_d329e6922
Entschluß,	w5_d329e6925
welcher	w7_d329e6928
den	w9_d329e6931
26.	w11_d329e6934
Jan.	w13_d329e6938
abgefasset	w1_d329e6943
worden;	w3_d329e6946
nach	w5_d329e6949
derselben	w7_d329e6952
wird	w9_d329e6955
man	w11_d329e6958
sich	w1_d329e6964
durchgehends	w3_d329e6967
richten.	w5_d329e6970
Sollte	w7_d329e6973
sie	w9_d329e6976
gün	w11_d329e6979
stig	w1_d329e6984
ausfallen,	w3_d329e6987
so	w5_d329e6990
wird	w7_d329e6993
man	w9_d329e6996
sich	w11_d329e6999
begnü	w13_d329e7003
gen,	w1_d329e7008
denen	w3_d329e7011
Schif=capitains	w5_d329e7014
nur	w7_d329e7017
aufzu	w9_d329e7020
tragen,	w1_d329e7025
die	w3_d329e7028
Kauffarthey=schiffe	w5_d329e7031
zu	w7_d329e7034
beglei	w9_d329e7037
ten,	w1_d329e7043
widrigenfalls	w3_d329e7046
aber	w5_d329e7049
werden	w7_d329e7052
die	w9_d329e7055
Befehle	w11_d329e7058
weit	w1_d329e7063
schärfer	w3_d329e7066
