<doc id="edoc_wd_1772-06-24" attrs="word" year="1772" month="06" day="24" corpus="1">
<head id="hl1">
London	w28
</p>
<p id="p8">
Se	w234
<g/>
.
Majest	w236
<g/>
.
der	w238
König	w239
<g/>
,
vergnügen	w241
sich	w242
itzt	w243
mit	w244
Musterung	w245
ihrer	w246
Truppen	w247
<g/>
;
doch	w249
ist	w250
noch	w251
keine	w252
Generalmusterung	w253
gewesen	w254
<g/>
,
und	w256
wird	w257
auch	w258
vielleicht	w259
keine	w260
in	w261
diesem	w262
Jahre	w263
seyn	w264
<g/>
.
Man	w266
redet	w267
von	w268
einer	w269
Reise	w270
des	w271
Kö=nigs	w272
<g/>
=
nach	w274
Portsmouth	w275
<g/>
,
eine	w277
Art	w278
eines	w279
See=gefechts	w280
<g/>
=
daselbst	w282
anzusehen	w283
<g/>
.
Die	w285
Kriegsschif=fe	w286
<g/>
=
im	w288
Hafen	w289
und	w290
zu	w291
Spithead	w292
sind	w293
beordert	w294
<g/>
,
sich	w296
zum	w297
Auslaufen	w298
fertig	w299
zu	w300
halten	w301
<g/>
,
und	w303
sind	w304
zu	w305
diesem	w306
Lustgefechte	w307
bestimmet	w308
<g/>
.
</p>
<p id="p9">
Von	w310
Dännemark	w311
kommen	w312
viele	w313
Expressen	w314
an	w315
<g/>
,
und	w317
werden	w318
alsdenn	w319
Kabinetsräthe	w320
ge=halten	w321
<g/>
=
<g/>
.
</p>
<p id="p10">
Die	w324
fremden	w325
Gesandten	w326
haben	w327
wegen	w328
der	w329
Klage	w330
der	w331
Schreinergesellen	w332
eine	w333
Versamm=lung	w334
<g/>
=
unter	w336
sich	w337
gehalten	w338
<g/>
,
um	w340
sich	w341
allen	w342
Ver=fassungen	w343
<g/>
=
entgegen	w345
zu	w346
setzen	w347
<g/>
,
welche	w349
das	w350
An=sehen	w351
<g/>
=
haben	w353
<g/>
,
ihre	w355
Freyheiten	w356
und	w357
Privilegi=en	w358
<g/>
=
zu	w360
schmälern	w361
<g/>
.
Prinz	w363
Masserano	w364
<g/>
,
der	w366
spanische	w367
Gesandte	w368
<g/>
,
hat	w370
bey	w371
den	w372
Engländern	w373
in	w374
dieser	w375
Sache	w376
große	w377
Ehre	w378
eingeleget	w379
<g/>
,
in=dem	w381
<g/>
=
er	w383
sich	w384
in	w385
der	w386
erst	w387
besagten	w388
Versamm=lung	w389
<g/>
=
also	w391
vernehmen	w392
ließ	w393
<g/>
:
<g/>
"
daß	w396
er	w397
mit	w398
kei=nem	w399
<g/>
=
Gesandten	w401
einige	w402
Gemeinschaft	w403
haben	w404
wollte	w405
<g/>
,
der	w407
niederträchtig	w408
genug	w409
wäre	w410
<g/>
,
die	w412
Würde	w413
eines	w414
Ministers	w415
<g/>
,
der	w417
seinen	w418
König	w419
vorstellen	w420
sollte	w421
<g/>
,
mit	w423
dem	w424
Titel	w425
eines	w426
Schleich=händlers	w427
<g/>
=
zu	w429
beflecken	w430
<g/>
.
Wir	w432
kommen	w433
hieher	w434
<g/>
,
sagte	w436
dieser	w437
großmüthige	w438
Kastilianer	w439
<g/>
,
die	w441
Rechte	w442
der	w443
Nationen	w444
aufrecht	w445
zu	w446
erhalten	w447
<g/>
;
nicht	w449
aber	w450
sie	w451
niederzureißen	w452
oder	w453
zu	w454
schma=lern	w455
<g/>
=
<g/>
.
Und	w458
diejenigen	w459
Staaten	w460
sollten	w461
nie=mals	w462
<g/>
=
einen	w464
Minister	w465
an	w466
einen	w467
Hof	w468
senden	w469
<g/>
,
deren	w471
Land	w472
nicht	w473
im	w474
Stande	w475
ist	w476
<g/>
,
sie	w478
mit	w479
ei=nem	w480
<g/>
=
Edelmann	w482
<g/>
,
der	w484
den	w485
Namen	w486
in	w487
der	w488
That	w489
hat	w490
<g/>
,
zu	w492
versehen	w493
<g/>
.
<g/>
„
</p>
<p id="p11">
Der	w496
preußische	w497
Kabinetsminister	w498
und	w499
Ge=sandte	w500
<g/>
=
an	w502
dem	w503
hiesigen	w504
Hofe	w505
<g/>
,
Graf	w507
von	w508
Mal=zan	w509
<g/>
=
<g/>
,
reiset	w512
morgen	w513
von	w514
hier	w515
nach	w516
Berlin	w517
ab	w518
<g/>
,
wohin	w520
er	w521
mit	w522
Bewilligung	w523
Sr	w524
<g/>
.
Majest	w526
<g/>
.
des	w528
Königs	w529
von	w530
Preußen	w531
<g/>
,
seiner	w533
eigenen	w534
Ange=legenheiten	w535
<g/>
=
halber	w537
gehet	w538
<g/>
;
er	w540
läßt	w541
aber	w542
seinen	w543
Legationssecretär	w544
zurück	w545
<g/>
,
der	w547
indessen	w548
die	w549
Ge=schäfte	w550
<g/>
=
besorget	w552
<g/>
.
</p>
<p id="p12">
Zu	w554
Clonmell	w555
<g/>
,
in	w557
Jrland	w558
<g/>
,
machen	w560
die	w561
weißen	w562
Knaben	w563
wieder	w564
Lärm	w565
<g/>
.
Sie	w567
thun	w568
alle	w569
ihre	w570
schädlichen	w571
Geschäfte	w572
bey	w573
Nacht	w574
<g/>
.
Sie	w576
können	w577
nicht	w578
leiden	w579
<g/>
,
daß	w581
die	w582
LeuieLeute	w583
ihre	w584
Län=dereyen	w585
<g/>
=
einschließen	w587
<g/>
,
umzäunen	w589
<g/>
,
oder	w591
Gra=ben	w592
<g/>
=
um	w594
dieselben	w595
machen	w596
<g/>
.
Wie	w598
sie	w599
hinkom=men	w600
<g/>
=
<g/>
,
reißen	w603
sie	w604
die	w605
Zäune	w606
ein	w607
<g/>
,
und	w609
füllen	w610
die	w611
Graben	w612
mit	w613
Erde	w614
<g/>
.
Wer	w616
sich	w617
ihnen	w618
wi=dersetzet	w619
<g/>
=
<g/>
,
wird	w622
als	w623
ein	w624
Feind	w625
begegnet	w626
<g/>
.
</p>
<p id="p13">
Jn	w628
der	w629
Gegend	w630
von	w631
Limmerick	w632
ist	w633
die	w634
Theurung	w635
die	w636
Ursache	w637
<g/>
,
daß	w639
die	w640
Armen	w641
viele	w642
Unordnungen	w643
begehen	w644
<g/>
,
die	w646
Mühlen	w647
nieder=reißen	w648
<g/>
=
<g/>
,
Korn	w651
und	w652
Mehl	w653
mit	w654
Gewalt	w655
neh=men	w656
<g/>
=
<g/>
.
Es	w659
kann	w660
nicht	w661
fehlen	w662
<g/>
,
daß	w664
man	w665
sich	w666
in	w667
solchen	w668
Fällen	w669
der	w670
Soldaten	w671
bedient	w672
<g/>
;
aber	w674
das	w675
Unglück	w676
<g/>
,
welches	w678
dadurch	w679
verursachet	w680
wird	w681
<g/>
,
macht	w683
die	w684
Sache	w685
schlimmer	w686
<g/>
.
Jn	w688
ei=nem	w689
<g/>
=
neulichen	w691
Tumult	w692
daselbst	w693
sind	w694
4	w695
<g/>
.
Män=ner	w697
<g/>
=
und	w699
2	w700
<g/>
.
Weiber	w702
erschossen	w703
worden	w704
<g/>
.
</p>
<p id="p14">
Man	w706
versieht	w707
sich	w708
<g/>
,
daß	w710
der	w711
König	w712
<g/>
,
am	w714
8	w715
<g/>
.
dieses	w717
<g/>
,
sich	w719
in	w720
das	w721
Parlament	w722
erheben	w723
<g/>
,
und	w725
die	w726
Sitzung	w727
mittels	w728
einer	w729
Rede	w730
an	w731
bey=de	w732
<g/>
=
Häuser	w734
schließen	w735
werde	w736
<g/>
.
Es	w738
wird	w739
also	w740
die	w741
Bill	w742
<g/>
,
betreffend	w744
die	w745
ostindische	w746
Hand=lungsgesellschaft	w747
<g/>
=
<g/>
,
diesesmal	w750
nicht	w751
zu	w752
fernerer	w753
Erwägung	w754
kommen	w755
<g/>
,
sondern	w757
bis	w758
künftige	w759
Sitzung	w760
verschoben	w761
werden	w762
<g/>
.
Gestern	w764
ist	w765
die	w766
königl	w767
<g/>
.
Geburtsfeyer	w769
mit	w770
vielem	w771
Pracht	w772
ge=feyert	w773
<g/>
=
<g/>
,
Ball	w776
zu	w777
St	w778
<g/>
.
James	w780
gehalten	w781
<g/>
,
auch	w783
sind	w784
Beleuchtungen	w785
und	w786
große	w787
Freudensbezeu=gungen	w788
<g/>
=
deshalb	w790
angestellet	w791
worden	w792
<g/>
.
</p>
<p id="p15">
Jn	w794
dem	w795
Oberhause	w796
kam	w797
am	w798
2ten	w799
dieses	w800
der	w801
Schluß	w802
vom	w803
2	w804
<g/>
.
Hornung	w806
1770	w807
<g/>
.
betref=fend	w809
<g/>
=
die	w811
Middlesexer	w812
Wahl	w813
<g/>
,
zur	w815
Sprache	w816
<g/>
;
sie	w818
wurde	w819
aber	w820
nach	w821
heftigem	w822
Wortwechsel	w823
abgewiesen	w824
<g/>
.
So	w826
blieb	w827
auch	w828
eine	w829
in	w830
Vor=schlag	w831
<g/>
=
gekommene	w833
Bill	w834
<g/>
,
die	w836
Kinder	w837
auslän=discher	w838
<g/>
=
Protestanten	w840
betreffend	w841
<g/>
,
welche	w843
Un=terthanen	w844
<g/>
=
der	w846
Krone	w847
Großbrittannien	w848
sind	w849
<g/>
,
unentschieden	w851
<g/>
,
und	w853
ward	w854
mit	w855
55	w856
<g/>
.
gegen	w858
25	w859
<g/>
.
Stimmen	w861
eingewendet	w862
<g/>
,
daß	w864
die	w865
ausländischen	w866
Protestanten	w867
alle	w868
mögliche	w869
Vortheile	w870
genies=sen	w871
<g/>
=
<g/>
.
Hernächst	w874
wurde	w875
der	w876
königl	w877
<g/>
.
Assent	w879
zu	w880
unterschiedlichen	w881
Bills	w882
durch	w883
die	w884
hierzu	w885
ge=vollmächtigten	w886
<g/>
=
Commissarien	w888
ertheilet	w889
<g/>
.
Da	w891
an	w892
eben	w893
diesem	w894
Tage	w895
das	w896
Unterhaus	w897
einige	w898
Abänderungen	w899
prüfete	w900
<g/>
,
welche	w902
die	w903
Pairs	w904
in	w905
der	w906
Bill	w907
wegen	w908
des	w909
Handlungswesens	w910
<g/>
,
u	w912
<g/>
.
s	w914
<g/>
.
w	w916
<g/>
.
gemacht	w918
hatten	w919
<g/>
,
so	w921
wurden	w922
selbige	w923
aus	w924
dem	w925
Grunde	w926
verworfen	w927
<g/>
,
weil	w929
das	w930
Oberhaus	w931
nicht	w932
berechtigt	w933
wäre	w934
<g/>
,
eine	w936
Bill	w937
abzuänderen	w938
<g/>
,
die	w940
ursprünglich	w941
von	w942
dem	w943
Oberhause	w944
kömmt	w945
<g/>
,
und	w947
zum	w948
Gegenstande	w949
hat	w950
<g/>
,
Gelder	w952
auf	w953
die	w954
Unterthanen	w955
zu	w956
heben	w957
<g/>
,
oder	w959
selbige	w960
in	w961
Stra=fen	w962
<g/>
=
und	w964
Geldbussen	w965
zu	w966
erklären	w967
<g/>
.
Bey	w969
dieser	w970
Gelegenheit	w971
haben	w972
sich	w973
unterschiedliche	w974
Glie=der	w975
<g/>
=
wider	w977
solche	w978
Neuerungen	w979
außerordentlich	w980
hervorgethan	w981
<g/>
.
Hr	w983
<g/>
.
Dempster	w985
trug	w986
vor	w987
<g/>
,
man	w989
möchte	w990
die	w991
Ministere	w992
die	w993
Ursachen	w994
fragen	w995
<g/>
,
warum	w997
sie	w998
auf	w999
die	w1000
Unternehmung	w1001
<g/>
,
Entde=ckungen	w1003
<g/>
=
gegen	w1005
den	w1006
Südpol	w1007
zu	w1008
machen	w1009
<g/>
,
ver=ziehen	w1011
<g/>
=
hätten	w1013
<g/>
?
Diesen	w1015
Vortrag	w1016
förderten	w1017
andere	w1018
Glieder	w1019
von	w1020
der	w1021
Widerspruchsparthey	w1022
<g/>
,
und	w1024
wandten	w1025
sich	w1026
an	w1027
Lord	w1028
North	w1029
<g/>
,
auch	w1031
an=dere	w1032
<g/>
=
Ministerialglieder	w1034
<g/>
,
allein	w1036
diese	w1037
schwie=gen	w1038
<g/>
=
kurz	w1040
stille	w1041
<g/>
,
und	w1043
also	w1044
legte	w1045
sich	w1046
die	w1047
Sache	w1048
bey	w1049
<g/>
.
</p>
<head id="hl2">
Paris	w1051
den	w1052
8	w1053
<g/>
.
Brachm	w1055
<g/>
.
</head>
<p id="p16">
Der	w1057
König	w1058
hat	w1059
den	w1060
Abt	w1061
von	w1062
Baianne	w1063
<g/>
,
an	w1065
die	w1066
Stelle	w1067
des	w1068
Abtes	w1069
von	w1070
Veri	w1071
<g/>
,
zum	w1073
AuAuditor	w1074
<g/>
=
</p>
<p id="p17">
ditor	w1076
der	w1077
Rota	w1078
zu	w1079
Rom	w1080
ernannt	w1081
<g/>
,
in	w1083
welcher	w1084
Eigenschaft	w1085
selbiger	w1086
Sr	w1087
<g/>
.
Majestät	w1089
durch	w1090
den	w1091
Herzog	w1092
von	w1093
Aiguillon	w1094
vorgestellt	w1095
worden	w1096
<g/>
.
Der	w1098
königl	w1099
<g/>
.
Preussische	w1101
gevollmächtigte	w1102
Mi=nister	w1103
<g/>
=
<g/>
,
Baron	w1106
von	w1107
Goltz	w1108
<g/>
,
welcher	w1110
auf	w1111
einige	w1112
Zeit	w1113
nach	w1114
Berlin	w1115
abgegangen	w1116
war	w1117
<g/>
,
ist	w1119
zurück	w1120
eingetroffen	w1121
<g/>
,
und	w1123
ward	w1124
dem	w1125
Könige	w1126
am	w1127
2ten	w1128
dieses	w1129
zu	w1130
Versailles	w1131
vorgestellt	w1132
<g/>
.
</p>
<p id="p18">
Da	w1134
Holland	w1135
und	w1136
Dännemark	w1137
das	w1138
nach=ahmungswürdige	w1139
<g/>
=
Beyspiel	w1141
gegeben	w1142
<g/>
,
für	w1144
die	w1145
Rettung	w1146
der	w1147
ertrunken	w1148
scheinenden	w1149
Personen	w1150
recht	w1151
Menschenfreundlich	w1152
zu	w1153
sorgen	w1154
<g/>
,
so	w1156
hat	w1157
man	w1158
auch	w1159
in	w1160
Frankreich	w1161
auf	w1162
diesen	w1163
so	w1164
wich=tigen	w1165
<g/>
=
Gegenstand	w1167
nun	w1168
ein	w1169
vorzügliches	w1170
Au=genmerk	w1171
<g/>
=
geworfen	w1173
<g/>
,
und	w1175
von	w1176
Seiten	w1177
der	w1178
Kaufmannsschöffen	w1179
eine	w1180
Anleitung	w1181
wie	w1182
der=gleichen	w1183
<g/>
=
verunglückte	w1185
Personen	w1186
zu	w1187
behandeln	w1188
<g/>
,
und	w1190
wieder	w1191
zum	w1192
Leben	w1193
zu	w1194
bringen	w1195
sind	w1196
<g/>
,
nebst	w1198
einer	w1199
Belohnung	w1200
für	w1201
jene	w1202
<g/>
,
so	w1204
Ertrunkene	w1205
angeben	w1206
<g/>
,
sie	w1208
aus	w1209
dem	w1210
Wasser	w1211
ziehen	w1212
<g/>
,
und	w1214
an	w1215
ihrer	w1216
Wiederherstellung	w1217
mitarbeiten	w1218
<g/>
,
öf=fentlich	w1220
<g/>
=
herausgegeben	w1222
<g/>
.
</p>
<p id="p19">
Bis	w1224
dato	w1225
hat	w1226
die	w1227
Geistlichkeit	w1228
der	w1229
erober=ten	w1230
<g/>
=
Provinzen	w1232
keine	w1233
Abgabe	w1234
auan	w1235
die	w1236
KroueKrone	w1237
entrichtet	w1238
<g/>
,
außer	w1240
einem	w1241
sehr	w1242
kleinen	w1243
frey=willigen	w1244
<g/>
=
Geschenk	w1246
<g/>
;
allein	w1248
der	w1249
Hr	w1250
<g/>
.
General=Controlleur	w1252
<g/>
=
hat	w1254
nun	w1255
ein	w1256
Circularschreiben	w1257
an	w1258
alle	w1259
Erzbischöffe	w1260
und	w1261
Bischöffe	w1262
von	w1263
Flan=dern	w1264
<g/>
=
<g/>
,
Elsaß	w1267
<g/>
,
drey	w1269
Bisthümer	w1270
und	w1271
Franche	w1272
Comte	w1273
ergehen	w1274
lassen	w1275
<g/>
,
in	w1277
welchem	w1278
er	w1279
diese	w1280
hohe	w1281
Geistlichkeit	w1282
benachrichtiget	w1283
<g/>
,
daß	w1284
die	w1285
Willensmeynung	w1286
des	w1287
Königs	w1288
sey	w1289
<g/>
,
daß	w1291
die	w1292
Geistlichkeit	w1293
dieser	w1294
sämmtlichen	w1295
Provinzen	w1296
künftig	w1297
eine	w1298
ihren	w1299
Einkünften	w1300
angemessene	w1301
Abgaben	w1302
jährlich	w1303
bezahlen	w1304
sollten	w1305
<g/>
,
welche	w1307
weder	w1308
den	w1309
Titul	w1310
noch	w1311
den	w1312
Charakter	w1313
einer	w1314
freywilligen	w1315
Gaabe	w1316
haben	w1317
solle	w1318
<g/>
.
</p>
<p id="p20">
Briefe	w1320
von	w1321
Brest	w1322
vom	w1323
27	w1324
<g/>
.
May	w1326
melden	w1327
<g/>
,
die	w1329
allda	w1330
ausgerüstete	w1331
Flotte	w1332
habe	w1333
würklich	w1334
die	w1335
Anker	w1336
gelichtet	w1337
<g/>
,
sie	w1339
besteht	w1340
aus	w1341
15	w1342
<g/>
.
Schiffen	w1344
<g/>
.
</p>
<p id="p21">
Der	w1346
Alexander	w1347
von	w1348
64	w1349
<g/>
.
Kanonen	w1351
<g/>
,
Com=mandant	w1353
<g/>
=
Hr	w1355
<g/>
.
d'Orvilliers	w1357
<g/>
.
Der	w1359
Stolze	w1360
von	w1361
50	w1362
<g/>
.
Kanonen	w1364
<g/>
,
Commandant	w1366
Herr	w1367
du	w1368
Chaffaut	w1369
<g/>
.
Das	w1371
Wallroß	w1372
von	w1373
50	w1374
<g/>
.
Kanonen	w1376
<g/>
,
Commandant	w1378
Hr	w1379
de	w1380
Brenghen	w1381
<g/>
,
alle	w1383
drey	w1384
Geschwader	w1385
Obriste	w1386
<g/>
.
Die	w1388
Terpsichore	w1389
von	w1390
30	w1391
Kanonen	w1392
<g/>
,
Capitain	w1394
Hr	w1395
<g/>
.
de	w1397
Treville	w1398
<g/>
.
Die	w1400
Aurora	w1401
von	w1402
30	w1403
<g/>
.
Kanonen	w1405
<g/>
.
Capitain	w1407
Hr	w1408
<g/>
.
de	w1410
la	w1411
Tulaye	w1412
<g/>
.
Die	w1414
Turteltaube	w1415
von	w1416
26	w1417
<g/>
.
Ka	w1419
<g/>
=
nonen	w1420
<g/>
,
Capitain	w1422
Hr	w1423
<g/>
.
de	w1425
Roche	w1426
Chouart	w1427
<g/>
.
</p>
<p id="p22">
Die	w1429
Schnippichte	w1430
von	w1431
26	w1432
<g/>
.
Kanonen	w1434
<g/>
,
Capi=tain	w1436
<g/>
=
Hr	w1438
<g/>
.
de	w1440
la	w1441
Galernie	w1442
<g/>
.
Die	w1444
Geschwinde	w1445
von	w1446
26	w1447
<g/>
.
Kanonen	w1449
<g/>
,
Capitain	w1451
Hr	w1452
<g/>
.
Comandeur	w1454
de	w1455
Nos	w1456
<g/>
.
Der	w1458
Hornschrötter	w1459
von	w1460
26	w1461
<g/>
.
Ka=nonen	w1463
<g/>
=
<g/>
,
Capitain	w1466
Hr	w1467
de	w1468
la	w1469
Mothe	w1470
Piquet	w1471
<g/>
.
Der	w1473
Vogel	w1474
von	w1475
26	w1476
<g/>
.
Kanonen	w1478
<g/>
,
Capitain	w1480
Hr	w1481
<g/>
.
de	w1483
Place	w1484
<g/>
.
Die	w1486
Jsis	w1487
von	w1488
16	w1489
<g/>
.
Kanonen	w1491
<g/>
,
Ca=pitain	w1493
<g/>
=
Hr	w1495
<g/>
.
Graf	w1497
de	w1498
Grace	w1499
<g/>
.
Der	w1501
Zeisig	w1502
von	w1503
14	w1504
<g/>
.
Kanonen	w1506
<g/>
,
Capitain	w1508
Hr	w1509
<g/>
.
Graf	w1511
de	w1512
Nieul	w1513
<g/>
.
Summa	w1515
384	w1516
<g/>
.
Kanonen	w1518
<g/>
.
</p>
<p id="p23">
Es	w1520
sind	w1521
noch	w1522
drey	w1523
Beyschiffe	w1524
der	w1525
Floh	w1526
<g/>
,
die	w1528
Schnacke	w1529
und	w1530
der	w1531
Windhund	w1532
<g/>
,
welche	w1534
wechselweiß	w1535
von	w1536
der	w1537
Mannschaft	w1538
des	w1539
obigen	w1540
Geschwaders	w1541
werden	w1542
bemannt	w1543
werden	w1544
<g/>
.
Die	w1546
Stärke	w1547
der	w1548
Mannschaft	w1549
wird	w1550
verschwiegen	w1551
<g/>
;
die	w1553
Schiffe	w1554
sind	w1555
auf	w1556
3	w1557
<g/>
.
Monat	w1559
mit	w1560
Pro=viant	w1561
<g/>
=
versehen	w1563
<g/>
,
aber	w1565
derselben	w1566
Bestimmung	w1567
ist	w1568
ein	w1569
Geheimniß	w1570
<g/>
.
</p>
<p id="p24">
Die	w1572
hiesige	w1573
Zeitung	w1574
von	w1575
heutigem	w1576
Dato	w1577
leifert	w1578
nachstehenden	w1579
Brief	w1580
des	w1581
Ritters	w1582
von	w1583
Rothe	w1584
an	w1585
seinen	w1586
Herrn	w1587
Bruder	w1588
Rothe	w1589
d	w1590
<g/>
.
d	w1592
<g/>
.
Canton	w1594
den	w1595
18	w1596
Novemb	w1597
<g/>
.
1771	w1599
<g/>
.
</p>
<p id="p25">
Am	w1601
23sten	w1602
Septemb	w1603
<g/>
.
1771	w1605
<g/>
.
ist	w1607
zu	w1608
Ma=cao	w1609
<g/>
=
einer	w1611
Chinesischen	w1612
<g/>
,
30	w1614
<g/>
.
Meilen	w1616
von	w1617
Can=ton	w1618
<g/>
=
gelegenen	w1620
<g/>
,
und	w1622
den	w1623
Portugiesen	w1624
zustän=digen	w1625
<g/>
=
Stadt	w1627
<g/>
,
ein	w1629
Boot	w1630
mit	w1631
Ungarischer	w1632
Flag=ge	w1633
<g/>
=
<g/>
,
geführt	w1636
von	w1637
dem	w1638
Ungarischen	w1639
Freyherrn	w1640
Benyorsky	w1641
<g/>
,
Kriegsbeamten	w1643
der	w1644
Pohlnischen	w1645
Conföderirten	w1646
<g/>
,
mit	w1648
66	w1649
<g/>
.
Personen	w1651
angekom=men	w1652
<g/>
=
<g/>
.
Es	w1655
war	w1656
in	w1657
einem	w1658
Treffen	w1659
bey	w1660
Ka=mineck	w1661
<g/>
=
<g/>
,
in	w1664
Pohlen	w1665
<g/>
,
in	w1667
welchem	w1668
er	w1669
sieben	w1670
Wunden	w1671
bekommen	w1672
<g/>
,
mit	w1674
unterschiedlichen	w1675
vornehmen	w1676
Personen	w1677
und	w1678
hundert	w1679
Soldaten	w1680
von	w1681
den	w1682
Russen	w1683
zu	w1684
Kriegsgefangenen	w1685
ge=macht	w1686
<g/>
=
<g/>
,
und	w1689
mit	w1690
anderen	w1691
Gefangenen	w1692
fürs	w1693
erste	w1694
nach	w1695
Kaminieck	w1696
gebracht	w1697
<g/>
,
wo	w1699
er	w1700
den	w1701
Bischof	w1702
von	w1703
Cracau	w1704
als	w1705
Staatsgefangenen	w1706
antraff	w1707
<g/>
,
hernächst	w1709
mit	w1710
demselben	w1711
und	w1712
den	w1713
übrigen	w1714
Gefangenen	w1715
auf	w1716
Lebenslang	w1717
nach	w1718
Siberien	w1719
geführt	w1720
worden	w1721
<g/>
.
Jn	w1723
dieser	w1724
Ge=fangenschaft	w1725
<g/>
=
hat	w1727
der	w1728
Herr	w1729
Benyorski	w1730
Mit=tel	w1731
<g/>
=
gefunden	w1733
<g/>
,
sich	w1735
mit	w1736
80	w1737
<g/>
.
Gefangenen	w1739
durch=zumachen	w1740
<g/>
=
<g/>
,
und	w1743
die	w1744
von	w1745
den	w1746
Russen	w1747
in	w1748
die=sem	w1749
<g/>
=
Jahrhundert	w1751
entdeckte	w1752
Halbinsul	w1753
<g/>
.
so	w1755
ge=gen	w1756
<g/>
=
Norden	w1758
mit	w1759
Siberien	w1760
zusammenhängt	w1761
<g/>
,
und	w1763
von	w1764
Japan	w1765
durch	w1766
einen	w1767
15	w1768
bis	w1769
20	w1770
<g/>
.
Meilen	w1772
breiten	w1773
Canal	w1774
abgesondert	w1775
wird	w1776
<g/>
,
zu	w1778
erreichen	w1779
<g/>
,
wo	w1781
sämtliche	w1782
sich	w1783
sofort	w1784
auf	w1785
eine	w1786
Schluppe	w1787
von	w1788
100	w1789
<g/>
.
Tonnen	w1791
eingeschiffet	w1792
ha=ben	w1793
<g/>
=
<g/>
.
Sie	w1796
konnten	w1797
nordwärte	w1798
nicht	w1799
durch=komnen	w1800
<g/>
=
<g/>
,
weil	w1803
sie	w1804
von	w1805
dem	w1806
Eis	w1807
in	w1808
den	w1809
67	w1810
<g/>
.
</p>
<p id="p26">
Grad	w1812
Norderbreite	w1813
verhindert	w1814
wurden	w1815
<g/>
.
Bey	w1817
solcher	w1818
Lage	w1819
fanden	w1820
sie	w1821
sich	w1822
gemüssiget	w1823
<g/>
,
ge=gen	w1825
<g/>
=
Süden	w1827
zu	w1828
fahren	w1829
<g/>
,
und	w1831
<g/>
,
nachdem	w1833
sie	w1834
längs	w1835
den	w1836
Japanischen	w1837
Jnsuln	w1838
gesegelt	w1839
wa=ren	w1840
<g/>
=
<g/>
,
kamen	w1843
sie	w1844
nach	w1845
Limpo	w1846
<g/>
,
einer	w1848
kleinen	w1849
Fe=stung	w1850
<g/>
=
in	w1852
der	w1853
Provinz	w1854
Nankin	w1855
<g/>
,
und	w1857
