<doc id="wr_1761-03-21" attrs="word" year="1761" month="03" day="21" corpus="2">
<head id="h2_d537e2811">
Madtid	w1_d537e2815
gehabt,	w3_d537e3939
sich	w5_d537e3942
mit	w7_d537e3945
seiner	w9_d537e3948
ganzen	w11_d537e3951
Macht	w1_d537e3956
in	w3_d537e3959
ein	w5_d537e3962
völlig	w7_d537e3965
ausgezehrtes	w9_d537e3968
Land	w11_d537e3971
zu	w13_d537e3975
verbreiten.	w1_d537e3980
Durch	w3_d537e3983
alle	w5_d537e3986
diese	w7_d537e3989
kluge	w9_d537e3992
Bewe	w11_d537e3995
tungen	w1_d537e4001
erinnert	w3_d537e4004
man	w5_d537e4007
sich	w7_d537e4010
der	w9_d537e4013
Zeiten,	w11_d537e4016
wo	w13_d537e4020
die	w1_d537e4025
grosse	w3_d537e4028
Kriegs=männer	w5_d537e4031
Tuvenne,	w7_d537e4034
und	w9_d537e4037
Montecuculi	w1_d537e4042
ein	w3_d537e4045
gleiches	w5_d537e4048
thaten.	w7_d537e4051
Jndes	w9_d537e4054
sen	w1_d537e4059
ist	w3_d537e4062
der	w5_d537e4065
Marsch	w7_d537e4068
unserer	w9_d537e4071
Regimenter,	w11_d537e4074
welche	w1_d537e4080
sich	w3_d537e4083
von	w5_d537e4086
den	w7_d537e4089
Gränzen	w9_d537e4092
Frankreichs	w11_d537e4095
dem	w1_d537e4100
Nieder=rhein	w3_d537e4103
näheren	w5_d537e4106
müssen,	w7_d537e4109
eine	w9_d537e4112
deutliche	w1_d537e4117
Anzeig,	w3_d537e4120
daß	w5_d537e4123
unser	w7_d537e4126
Hof,	w9_d537e4129
es	w11_d537e4132
koste	w13_d537e4136
auch,	w1_d537e4141
was	w3_d537e4144
es	w5_d537e4147
wolle,	w7_d537e4150
die	w9_d537e4153
Obermacht	w11_d537e4156
in	w13_d537e4160
Teutschland	w1_d537e4166
behaupten,	w3_d537e4169
und	w5_d537e4172
den	w7_d537e4175
Marschall	w9_d537e4178
Broglie	w1_d537e4183
in	w3_d537e4186
Stand	w5_d537e4189
setzen	w7_d537e4192
wolle,	w9_d537e4195
durch	w11_d537e4198
ei	w13_d537e4202
nen	w1_d537e4207
Haupt=streich	w3_d537e4210
den	w5_d537e4213
Ausschlag	w7_d537e4216
von	w9_d537e4219
ei	w11_d537e4222
nem	w1_d537e4227
durch	w3_d537e4230
die	w5_d537e4233
üble	w7_d537e4236
Witterung	w9_d537e4239
gleichwol	w11_d537e4242
nicht	w1_d537e4248
unterbrochenen	w3_d537e4251
Feldzug	w5_d537e4254
zu	w7_d537e4257
geben.	w9_d537e4260
Man	w11_d537e4263
glaubt	w1_d537e4268
mithin,	w3_d537e4271
daß	w5_d537e4274
die	w7_d537e4277
Vorfälle,	w9_d537e4280
welche	w11_d537e4283
man	w1_d537e4288
vorstehet,	w3_d537e4291
die	w5_d537e4294
Endscheidung	w7_d537e4297
machen	w9_d537e4300
werden,	w1_d537e4305
und	w3_d537e4308
in	w5_d537e4311
dieser	w7_d537e4314
Einbildung	w9_d537e4317
stehet	w11_d537e4320
das	w13_d537e4324
hiesige	w1_d537e4330
Publicum	w3_d537e4333
der	w5_d537e4336
geringsten	w7_d537e4339
Neuigkeit	w9_d537e4342
von	w1_d537e4347
den	w3_d537e4350
Uffern	w5_d537e4353
des	w7_d537e4356
Mayns	w9_d537e4359
mit	w11_d537e4362
äusserster	w13_d537e4366
Sehnsucht	w1_d537e4371
entgegen.	w3_d537e4374
</p>
<head id="h2_d537e4380">
Londen	w1_d537e4384
2.	w3_d537e4387
Martii.	w5_d537e4390
</head>
<p id="p4_d537e4393">
Dem	w1_d537e4397
Vernehmen	w3_d537e4400
nach	w5_d537e4403
ist	w7_d537e4406
es	w9_d537e4409
beschlossen,	w11_d537e4412
daß	w1_d537e4417
der	w3_d537e4420
zweyte	w5_d537e4423
Bruder	w7_d537e4426
des	w9_d537e4429
Königs,	w11_d537e4432
Prinz	w13_d537e4436
Wilhelm	w1_d537e4441
Friedrich,	w3_d537e4444
zum	w5_d537e4447
Bischoffen	w7_d537e4450
von	w9_d537e4453
Osnabrück	w1_d537e4459
werden	w3_d537e4462
ernennet	w5_d537e4465
werden.	w7_d537e4468
Der	w9_d537e4471
</p>
<p id="p6_d537e4474">
Marquis	w1_d537e4478
von	w3_d537e4481
Granby	w5_d537e4484
wird	w7_d537e4487
das	w9_d537e4490
Commando	w11_d537e4493
über	w1_d537e4498
die	w3_d537e4501
Englische	w5_d537e4504
Trupen	w7_d537e4507
in	w9_d537e4510
Teutschland	w11_d537e4513
behalten.	w1_d537e4518
Die	w3_d537e4521
Officiers,	w5_d537e4524
so	w7_d537e4527
aldort	w9_d537e4530
gekom	w11_d537e4533
men	w1_d537e4539
waren,	w3_d537e4542
um	w5_d537e4545
für	w7_d537e4548
Recrouten	w9_d537e4551
und	w11_d537e4554
Re	w13_d537e4558
monta=pferde	w1_d537e4563
zu	w3_d537e4566
sorgen,	w5_d537e4569
gehen	w7_d537e4572
nach	w9_d537e4575
ihren	w11_d537e4578
Corps	w1_d537e4583
zurück,	w3_d537e4586
und	w5_d537e4589
die	w7_d537e4592
Recrouten	w9_d537e4595
werden	w11_d537e4598
sich	w1_d537e4603
noch	w3_d537e4606
diese	w5_d537e4609
Woche	w7_d537e4612
nach	w9_d537e4615
Teutschland	w11_d537e4618
ein	w13_d537e4622
schiffen.	w1_d537e4628
Die	w3_d537e4631
Officiers,	w5_d537e4634
welche	w7_d537e4637
bey	w9_d537e4640
der	w11_d537e4643
grossen	w1_d537e4648
Expedition	w3_d537e4651
dienen	w5_d537e4654
werden,	w7_d537e4657
müssen	w9_d537e4660
sich	w1_d537e4665
unverzüglich	w3_d537e4668
zu	w5_d537e4671
Portsmouth	w7_d537e4674
einfinden.	w9_d537e4677
Es	w1_d537e4682
scheint	w3_d537e4685
bestimmt	w5_d537e4688
zu	w7_d537e4691
seyn,	w9_d537e4694
daß	w11_d537e4697
der	w13_d537e4701
Chef	w15_d537e4704
d'Escadre	w1_d537e4710
Keppel	w3_d537e4713
über	w5_d537e4716
die	w7_d537e4719
grosse	w9_d537e4722
Expedi	w11_d537e4725
tions=flotte	w1_d537e4730
das	w3_d537e4733
Commando	w5_d537e4736
führen	w7_d537e4739
werde.	w9_d537e4742
Der	w1_d537e4747
Lord	w3_d537e4750
Howe	w5_d537e4753
soll	w7_d537e4756
unter	w9_d537e4759
ihm	w11_d537e4762
commandi	w13_d537e4766
ren.	w1_d537e4771
Die	w3_d537e4774
grosse	w5_d537e4777
Flotte,	w7_d537e4780
welche	w9_d537e4783
gegen	w11_d537e4786
die	w13_d537e4790
Französische	w1_d537e4796
Cüsten	w3_d537e4799
auslauffen	w5_d537e4802
werde,	w7_d537e4805
solle	w9_d537e4808
dem	w1_d537e4813
Lord	w3_d537e4816
anvertrauet	w5_d537e4819
werden,	w7_d537e4822
der	w9_d537e4825
Admi	w11_d537e4828
ral	w1_d537e4833
Hawke	w3_d537e4836
indessen	w5_d537e4839
mit	w7_d537e4842
seiner	w9_d537e4845
Flotte	w11_d537e4848
nach	w13_d537e4852
England	w1_d537e4857
zurück	w3_d537e4860
kehren.	w5_d537e4863
Die	w7_d537e4866
aus	w9_d537e4869
Teutsch	w11_d537e4872
land	w1_d537e4878
gekommene	w3_d537e4881
Depeschen	w5_d537e4884
lauten	w7_d537e4887
sehr	w9_d537e4890
an	w11_d537e4893
genehm,	w1_d537e4898
da	w3_d537e4901
man	w5_d537e4904
dadurch	w7_d537e4907
vernihmt,	w9_d537e4910
daß	w11_d537e4913
die	w1_d537e4918
Alliirte	w3_d537e4921
einen	w5_d537e4924
vortreflichen	w7_d537e4927
Anfang	w9_d537e4930
des	w11_d537e4933
heurigen	w1_d537e4938
Feldzugs	w3_d537e4941
gemacht.	w5_d537e4944
</p>
<head id="h2_d537e4950">
Mayn=strom	w1_d537e4954
9.	w3_d537e4957
Martii.	w5_d537e4960
</head>
<p id="p4_d537e4963">
Die	w1_d537e4967
vortheilhafte	w3_d537e4970
Stellung	w5_d537e4973
des	w7_d537e4976
Marschalls	w9_d537e4979
Broglie,	w1_d537e4984
das	w3_d537e4987
respectable	w5_d537e4990
Ansehen	w7_d537e4993
seiner	w9_d537e4996
Macht	w11_d537e4999
und	w1_d537e5004
die	w3_d537e5007
ausnehmende	w5_d537e5010
Vorkehrungen	w7_d537e5013
haben	w9_d537e5016
den	w1_d537e5022
Feind,	w3_d537e5025
welcher	w5_d537e5028
Zweifels	w7_d537e5031
ohne	w9_d537e5034
solche	w11_d537e5037
Fertigkeit	w1_d537e5042
und	w3_d537e5045
Stärke	w5_d537e5048
nicht	w7_d537e5051
vermutete,	w9_d537e5054
in	w11_d537e5057
seiner	w1_d537e5062
Absicht	w3_d537e5065
betrogen.	w5_d537e5068
Und	w7_d537e5071
obgleich	w9_d537e5074
der	w11_d537e5077
Prinz	w1_d537e5082
Ferdinand	w3_d537e5085
sich	w5_d537e5088
auf	w7_d537e5091
einige	w9_d537e5094
Stunden	w11_d537e5097
von	w1_d537e5103
Hanau	w3_d537e5106
genähert,	w5_d537e5109
und	w7_d537e5112
ein	w9_d537e5115
beträchtli	w11_d537e5118
ches	w1_d537e5123
Magazin	w3_d537e5126
zu	w5_d537e5129
Alsfeld	w7_d537e5132
errichtet,	w9_d537e5135
so	w11_d537e5138
hof	w13_d537e5142
fet	w1_d537e5147
man	w3_d537e5150
doch,	w5_d537e5153
daß	w7_d537e5156
keine	w9_d537e5159
wichtige	w11_d537e5162
Affaire	w13_d537e5166
sich	w1_d537e5171
ereignen,	w3_d537e5174
und	w5_d537e5177
die	w7_d537e5180
Göttliche	w9_d537e5183
Güte	w11_d537e5186
bald	w13_d537e5190
das	w1_d537e5196
Kriegs=theater	w3_d537e5199
von	w5_d537e5202
uns	w7_d537e5205
entfernen	w9_d537e5208
wer	w11_d537e5211
de.	w1_d537e5216
Unsere	w3_d537e5219
Gegend	w5_d537e5222
ist	w7_d537e5225
nun	w9_d537e5228
der	w11_d537e5231
neue	w13_d537e5235
Kriegs	w15_d537e5238
schau=platz.	w1_d537e5243
Täglich	w3_d537e5246
ereignen	w5_d537e5249
sich	w7_d537e5252
Vor	w9_d537e5255
spiele,	w1_d537e5260
welche	w3_d537e5263
die	w5_d537e5266
blutigste	w7_d537e5269
Tragödien	w9_d537e5272
ver	w11_d537e5275
kündigen.	w1_d537e5281
Die	w3_d537e5284
Eroberung	w5_d537e5287
der	w7_d537e5290
Stadt	w9_d537e5293
Mar	w11_d537e5296
burg	w1_d537e5301
lief	w3_d537e5304
zwar	w5_d537e5307
den	w7_d537e5310
Alliirten	w9_d537e5313
glücklich,	w11_d537e5316
je	w13_d537e5320
doch	w1_d537e5325
nicht	w3_d537e5328
sonder	w5_d537e5331
Verlust	w7_d537e5334
ab.	w9_d537e5337
Die	w11_d537e5340
Herren	w13_d537e5344
</p>
<p id="p10_d537e5357">
Majors	w1_d537e5361
von	w3_d537e5364
Lasberg,	w5_d537e5367
und	w7_d537e5370
von	w9_d537e5373
Maydel	w11_d537e5376
von	w1_d537e5381
dem	w3_d537e5384
Ahlefeldischen	w5_d537e5387
Regiment,	w7_d537e5390
nebst	w9_d537e5393
dem	w1_d537e5398
Herrn	w3_d537e5401
Leutenant	w5_d537e5404
von	w7_d537e5407
Estorf,	w9_d537e5410
wurden	w11_d537e5413
dabey	w1_d537e5419
erschossen.	w3_d537e5422
Die	w5_d537e5425
Alliirten	w7_d537e5428
haben	w9_d537e5431
nun	w11_d537e5434
die	w1_d537e5439
Stadt,	w3_d537e5442
500.	w5_d537e5445
Franzosen	w7_d537e5448
aber	w9_d537e5451
noch	w11_d537e5454
das	w13_d537e5458
Schloß.	w1_d537e5463
Da	w3_d537e5466
der	w5_d537e5469
Herr	w7_d537e5472
General=leutenant	w9_d537e5475
von	w1_d537e5480
Breitenbach,	w3_d537e5483
und	w5_d537e5486
der	w7_d537e5489
Herr	w9_d537e5492
Hauptmann	w11_d537e5495
von	w1_d537e5501
Bülow	w3_d537e5504
vor	w5_d537e5507
der	w7_d537e5510
Stadt	w9_d537e5513
das	w11_d537e5516
Leben	w13_d537e5520
ein	w15_d537e5523
büsten,	w1_d537e5528
so	w3_d537e5531
führte	w5_d537e5534
der	w7_d537e5537
Herr	w9_d537e5540
Generalleute	w11_d537e5543
nant	w1_d537e5548
von	w3_d537e5551
Ohelm	w5_d537e5554
die	w7_d537e5557
Eroberung	w9_d537e5560
aus.	w11_d537e5563
Der	w13_d537e5567
Herr	w1_d537e5572
Marschall	w3_d537e5575
de	w5_d537e5578
Camp,	w7_d537e5581
Frey=herr	w9_d537e5584
von	w11_d537e5587
Closen,	w1_d537e5593
überfiele	w3_d537e5596
gestern	w5_d537e5599
zu	w7_d537e5602
Assenheim,	w9_d537e5605
unweit	w1_d537e5610
Friedberg	w3_d537e5613
ein	w5_d537e5616
Corps	w7_d537e5619
Alliirter,	w9_d537e5622
und	w11_d537e5625
machte	w1_d537e5630
50.	w3_d537e5633
Mann	w5_d537e5636
gefangen.	w7_d537e5639
</p>
<head id="h2_d537e5646">
Bonn	w1_d537e5650
6	w3_d537e5653
März.	w5_d537e5656
</head>
<p id="p4_d537e5659">
Nachdem	w1_d537e5663
in	w3_d537e5666
unserer	w5_d537e5669
Chur=fürstlichen	w7_d537e5672
Re	w9_d537e5675
sidenz=stadt	w1_d537e5680
am	w3_d537e5683
3.	w5_d537e5686
Dieses	w7_d537e5689
einige	w9_d537e5692
Französische	w11_d537e5695
Regimenter	w1_d537e5700
eingerucket	w3_d537e5703
waren,	w5_d537e5706
so	w7_d537e5709
sich	w9_d537e5712
gleich	w11_d537e5715
auf	w1_d537e5721
dem	w3_d537e5724
Mark	w5_d537e5727
links	w7_d537e5730
und	w9_d537e5733
rechts	w11_d537e5736
mit	w13_d537e5740
4.	w15_d537e5743
Feld	w17_d537e5746
stücken,	w1_d537e5751
und	w3_d537e5754
angezündeten	w5_d537e5757
Lunten	w7_d537e5760
gegen	w9_d537e5763
die	w11_d537e5766
Haupt=wacht	w1_d537e5771
postirten,	w3_d537e5774
hat	w5_d537e5777
man	w7_d537e5780
sich	w9_d537e5783
gleich	w11_d537e5786
beym	w1_d537e5791
ersten	w3_d537e5794
Eintritt	w5_d537e5797
hierüber	w7_d537e5800
in	w9_d537e5803
etwas	w11_d537e5806
be	w13_d537e5810
fremdet;	w1_d537e5816
allein,	w3_d537e5819
da	w5_d537e5822
man	w7_d537e5825
kurz	w9_d537e5828
hernach	w11_d537e5831
in	w13_d537e5835
Er	w15_d537e5838
fahrenheit	w1_d537e5843
gebracht,	w3_d537e5846
welcher	w5_d537e5849
gestalten	w7_d537e5852
die	w9_d537e5855
Han	w11_d537e5858
noveraner	w1_d537e5863
im	w3_d537e5866
Stift	w5_d537e5869
Münster	w7_d537e5872
mit	w9_d537e5875
den	w11_d537e5878
Mün	w13_d537e5882
ster=trupen	w1_d537e5887
procedirt,	w3_d537e5890
wo	w5_d537e5893
sie	w7_d537e5896
das	w9_d537e5899
JungWen	w11_d537e5902
chische	w1_d537e5908
Regiment	w3_d537e5911
zu	w5_d537e5914
sich	w7_d537e5917
genommen,	w9_d537e5920
und	w11_d537e5923
zwi	w13_d537e5927
schen	w1_d537e5932
ihren	w3_d537e5935
Trupen	w5_d537e5938
eingetheilet	w7_d537e5941
haben,	w9_d537e5944
so	w11_d537e5947
kan	w1_d537e5952
man	w3_d537e5955
es	w5_d537e5958
Französischer	w7_d537e5961
Seite	w9_d537e5964
nicht	w11_d537e5967
anderst,	w13_d537e5971
dann	w1_d537e5976
eine	w3_d537e5979
klugeste	w5_d537e5982
Maß=regel	w7_d537e5985
ansehen,	w9_d537e5988
daß	w11_d537e5991
man	w1_d537e5997
bey	w3_d537e6000
jetzig=kriegerischen	w5_d537e6003
Zeit=läuften	w7_d537e6006
auf	w1_d537e6011
alle	w3_d537e6014
bedenklich.	w5_d537e6017
Weiß	w7_d537e6020
darauf	w9_d537e6023
bedacht	w11_d537e6026
seye,	w13_d537e6030
aller	w1_d537e6035
Gelegenheit	w3_d537e6038
vorzubeugen,	w5_d537e6041
wodurch	w7_d537e6044
im	w9_d537e6047
mer	w1_d537e6052
der	w3_d537e6055
feindlichen	w5_d537e6058
Macht	w7_d537e6061
einiger	w9_d537e6064
Zuwachs	w11_d537e6067
angedeyhen	w1_d537e6073
möchte.	w3_d537e6076
Aus	w5_d537e6079
besagter	w7_d537e6082
und	w9_d537e6085
ande	w11_d537e6088
ren	w1_d537e6093
Ursachen	w3_d537e6096
mehr	w5_d537e6099
hat	w7_d537e6102
man,	w9_d537e6105
dann	w11_d537e6108
gleich	w13_d537e6112
beym	w15_d537e6115
ersten	w1_d537e6120
Eintritt	w3_d537e6123
für	w5_d537e6126
rahtsam	w7_d537e6129
befunden,	w9_d537e6132
sich	w11_d537e6135
deren	w1_d537e6140
hier	w3_d537e6143
in	w5_d537e6146
Dienst	w7_d537e6149
stehenden	w9_d537e6152
Münster.	w11_d537e6155
Tru	w13_d537e6159
pen	w1_d537e6165
zu	w3_d537e6168
bemächtigen,	w5_d537e6171
man	w7_d537e6174
hat	w9_d537e6177
die	w11_d537e6180
Gemeine	w13_d537e6184
auf	w1_d537e6189
dem	w3_d537e6192
Raht=haus	w5_d537e6195
den	w7_d537e6198
Eid	w9_d537e6201
der	w11_d537e6204
Treu	w13_d537e6208
aus	w15_d537e6211
schwöhren	w1_d537e6216
lassen,	w3_d537e6219
demnächst	w5_d537e6222
sie	w7_d537e6225
bis	w9_d537e6228
auf	w11_d537e6231
wei	w13_d537e6235
tere	w1_d537e6240
Ordres,	w3_d537e6243
theils	w5_d537e6246
bey	w7_d537e6249
denen	w9_d537e6252
Minoriten,	w11_d537e6255
theils	w1_d537e6261
Jesuiten	w3_d537e6264
verleget,	w5_d537e6267
und	w7_d537e6270
damit	w9_d537e6273
ja	w11_d537e6276
von	w13_d537e6280
</p>
<p id="p6_d537e6283">
Seiten	w1_d537e6287
deren	w3_d537e6290
Münster.	w5_d537e6293
Trupen	w7_d537e6296
keine	w9_d537e6299
gegrün	w11_d537e6302
dete	w1_d537e6307
Klage	w3_d537e6310
könne	w5_d537e6313
vorgeschützet	w7_d537e6316
werden,	w9_d537e6319
als	w11_d537e6322
thäte	w1_d537e6327
man	w3_d537e6330
mit	w5_d537e6333
ihnen	w7_d537e6336
zu	w9_d537e6339
scharf	w11_d537e6342
verfahren,	w13_d537e6346
hat	w1_d537e6352
man	w3_d537e6355
Französischer	w5_d537e6358
Seits	w7_d537e6361
sich	w9_d537e6364
anheischig	w11_d537e6367
gemacht,	w1_d537e6372
einen	w3_d537e6375
jeden	w5_d537e6378
dergestalten	w7_d537e6381
in	w9_d537e6384
Kriegs	w11_d537e6387
diensten	w1_d537e6392
auf	w3_d537e6395
und	w5_d537e6398
anzunehmen,	w7_d537e6401
daß	w9_d537e6404
er	w11_d537e6407
bey	w13_d537e6411
seiner	w1_d537e6416
Stelle,	w3_d537e6419
worin	w5_d537e6422
er	w7_d537e6425
würklich	w9_d537e6428
