<doc id="wr_1760-05-10" attrs="word" year="1760" month="05" day="10" corpus="2">
<head id="h2_d448e2992">
Konitz	w1_d448e2996
noch	w15_d448e3419
des	w1_d448e3424
andern	w3_d448e3427
Morgens	w5_d448e3430
bis	w7_d448e3433
nach	w9_d448e3436
Stolpe	w11_d448e3439
und	w13_d448e3443
weiter,	w1_d448e3448
wobey	w3_d448e3451
der	w5_d448e3454
Feind	w7_d448e3457
46.	w9_d448e3460
Man	w11_d448e3463
verlor.	w13_d448e3467
Da	w1_d448e3473
inzwischen	w3_d448e3476
unser	w5_d448e3479
General	w7_d448e3482
aus	w9_d448e3485
denen	w11_d448e3488
Einrichtungen	w1_d448e3493
des	w3_d448e3496
Feindes	w5_d448e3499
abnehmen	w7_d448e3502
konnte,	w9_d448e3505
daß	w1_d448e3510
sich	w3_d448e3513
derselbe	w5_d448e3516
bis	w7_d448e3519
nach	w9_d448e3522
Cöslin	w11_d448e3525
zu	w13_d448e3529
ziehen	w15_d448e3532
willens	w1_d448e3537
wäre,	w3_d448e3540
so	w5_d448e3543
ließ	w7_d448e3546
er	w9_d448e3549
ihn	w11_d448e3552
stäts	w13_d448e3556
von	w15_d448e3559
dem	w17_d448e3562
gemeldeten	w1_d448e3568
Obersten	w3_d448e3571
begleiten,	w5_d448e3574
und	w7_d448e3577
er	w9_d448e3580
mar	w11_d448e3583
schirte	w1_d448e3588
selbst	w3_d448e3591
mit	w5_d448e3594
seinen	w7_d448e3597
übrigen	w9_d448e3600
Trupen	w11_d448e3603
über	w13_d448e3607
Polnow	w1_d448e3612
nach	w3_d448e3615
Zanau	w5_d448e3618
voraus,	w7_d448e3621
indem	w9_d448e3624
er	w11_d448e3627
ei	w13_d448e3631
nen	w1_d448e3636
Weg	w3_d448e3639
von	w5_d448e3642
8.	w7_d448e3645
starken	w9_d448e3648
Meilen	w11_d448e3651
zurück	w13_d448e3655
legte.	w15_d448e3658
Der	w1_d448e3664
Feind	w3_d448e3667
blieb	w5_d448e3670
zu	w7_d448e3673
Rügenwalde	w9_d448e3676
stehen,	w11_d448e3679
wo	w13_d448e3683
wir	w1_d448e3688
ihn	w3_d448e3691
wegen	w5_d448e3694
Mangels	w7_d448e3697
an	w9_d448e3700
Jnfanterie	w11_d448e3703
nicht	w13_d448e3707
angreiffen	w1_d448e3712
konnten.	w3_d448e3715
Der	w5_d448e3718
Herr	w7_d448e3721
General	w9_d448e3724
schickte	w1_d448e3729
von	w3_d448e3732
hier	w5_d448e3735
einen	w7_d448e3738
Leutenant	w9_d448e3741
nach	w11_d448e3744
Zanau	w13_d448e3748
und	w1_d448e3754
Rügenwalde	w3_d448e3757
ab,	w5_d448e3760
um	w7_d448e3763
die	w9_d448e3766
Communica	w11_d448e3769
tions=brücke	w1_d448e3774
daselbst	w3_d448e3777
abzubrechen.	w5_d448e3780
Er	w7_d448e3783
selbst	w9_d448e3786
machte	w1_d448e3791
Mine,	w3_d448e3794
bis	w5_d448e3797
Schlawe	w7_d448e3800
vorzurücken,	w9_d448e3803
marschirte	w1_d448e3808
aber	w3_d448e3811
sogleich	w5_d448e3814
gegen	w7_d448e3817
den	w9_d448e3820
Feind,	w11_d448e3823
der	w1_d448e3829
auf	w3_d448e3832
der	w5_d448e3835
Helfte	w7_d448e3838
des	w9_d448e3841
Weges	w11_d448e3844
von	w13_d448e3848
dieser	w15_d448e3851
</p>
<p id="p14_d448e3865">
Veränderung	w1_d448e3869
Nachricht	w3_d448e3872
bekam,	w5_d448e3875
und	w7_d448e3878
sofort	w9_d448e3881
eine	w1_d448e3886
andere	w3_d448e3889
Stellung	w5_d448e3892
nahm.	w7_d448e3895
Weil	w9_d448e3898
der	w11_d448e3901
vor	w13_d448e3905
gedachte	w1_d448e3910
Leutenant	w3_d448e3913
den	w5_d448e3916
Befehl	w7_d448e3919
wegen	w9_d448e3922
Rui	w11_d448e3925
nirung	w1_d448e3931
der	w3_d448e3934
Brücke	w5_d448e3937
nicht	w7_d448e3940
vollstrecket	w9_d448e3943
hatte,	w11_d448e3946
so	w1_d448e3951
machten	w3_d448e3954
sich	w5_d448e3957
die	w7_d448e3960
Preussen	w9_d448e3963
diese	w11_d448e3966
Gelegen	w13_d448e3970
heit	w1_d448e3975
zu	w3_d448e3978
Nutze,	w5_d448e3981
und	w7_d448e3984
zogen	w9_d448e3987
sich	w11_d448e3990
nach	w13_d448e3994
Cöblin,	w15_d448e3997
wo	w1_d448e4002
sie	w3_d448e4005
den	w5_d448e4008
24.	w7_d448e4011
März	w9_d448e4014
ankamen.	w11_d448e4017
Bey	w13_d448e4021
de	w15_d448e4024
nen	w1_d448e4030
häufigen	w3_d448e4033
Scharmützeln	w5_d448e4036
hat	w7_d448e4039
der	w9_d448e4042
Feind	w11_d448e4045
ausser	w1_d448e4050
denen	w3_d448e4053
Ueberläuffern	w5_d448e4056
viele	w7_d448e4059
Todte	w9_d448e4062
und	w11_d448e4065
Verwundete	w1_d448e4070
gehabt,	w3_d448e4073
das	w5_d448e4076
Corps	w7_d448e4079
des	w9_d448e4082
Heren	w11_d448e4085
von	w1_d448e4090
Tottleben	w3_d448e4093
aber	w5_d448e4096
nur	w7_d448e4099
einen	w9_d448e4102
Hussaren	w11_d448e4105
und	w13_d448e4109
etliche	w1_d448e4115
Cosacken	w3_d448e4118
verloren.	w5_d448e4121
Die	w7_d448e4124
Cosacken	w9_d448e4127
haben	w1_d448e4132
in	w3_d448e4135
mehreren	w5_d448e4138
Do	w7_d448e4141
fern	w9_d448e4144
Rußische	w11_d448e4147
Sol	w13_d448e4151
daten	w1_d448e4156
angetroffen,	w3_d448e4159
welche	w5_d448e4162
von	w7_d448e4165
denen	w9_d448e4168
Bau	w11_d448e4171
ern	w1_d448e4176
erschlagen	w3_d448e4179
waren	w5_d448e4182
</p>
<head id="h2_d448e4188">
Pohlnisch=preussen	w1_d448e4192
2.	w3_d448e4195
April.	w5_d448e4198
</head>
<p id="p4_d448e4201">
Jn	w1_d448e4205
unserer	w3_d448e4208
ganzen	w5_d448e4211
Nachbarschaft	w7_d448e4214
sind	w9_d448e4217
die	w1_d448e4222
Rußische	w3_d448e4225
Trupen	w5_d448e4228
in	w7_d448e4231
Bewegung;	w9_d448e4234
doch	w11_d448e4237
weiß	w1_d448e4242
man	w3_d448e4245
nunmehr	w5_d448e4248
mit	w7_d448e4251
Gewißneit,	w9_d448e4254
daß	w11_d448e4257
es	w1_d448e4263
noch	w3_d448e4266
zur	w5_d448e4269
Zeit	w7_d448e4272
aus	w9_d448e4275
keiner	w11_d448e4278
andern	w13_d448e4282
Uesache	w15_d448e4285
geschiehet,	w1_d448e4290
als	w3_d448e4293
daß	w5_d448e4296
sie	w7_d448e4299
zu	w9_d448e4302
2.	w11_d448e4305
3.	w13_d448e4309
auch	w15_d448e4312
mehr	w17_d448e4315
Regimentern	w1_d448e4320
von	w3_d448e4323
denen	w5_d448e4326
Rußischen	w7_d448e4329
Commis.	w9_d448e4332
sarien	w1_d448e4337
die	w3_d448e4340
Musterung	w5_d448e4343
paßiren	w7_d448e4346
müssen.	w9_d448e4349
Mor	w11_d448e4352
gen	w1_d448e4358
geschiehet	w3_d448e4361
eine	w5_d448e4364
dergleichen	w7_d448e4367
Musterung	w9_d448e4370
bey	w1_d448e4375
dem	w3_d448e4378
Städtgen	w5_d448e4381
Neuteich,	w7_d448e4384
in	w9_d448e4387
dem	w11_d448e4390
Ma	w13_d448e4394
rienburgischen	w1_d448e4399
Werder	w3_d448e4402
über	w5_d448e4405
5.	w7_d448e4408
Regimenter	w9_d448e4411
Cüraßier.	w1_d448e4416
</p>
<head id="h2_d448e4422">
Petersburg	w1_d448e4426
6.	w3_d448e4429
April.	w5_d448e4432
</head>
<p id="p4_d448e4435">
So	w1_d448e4439
eben	w3_d448e4442
reitet	w5_d448e4445
hier	w7_d448e4448
ein	w9_d448e4451
Currier	w11_d448e4454
aus	w13_d448e4458
Ma	w15_d448e4461
rienwerder	w1_d448e4466
ein,	w3_d448e4469
mit	w5_d448e4472
der	w7_d448e4475
Nachricht,	w9_d448e4478
daß	w11_d448e4481
die	w1_d448e4486
10.	w3_d448e4489
Regimenter,	w5_d448e4492
welche	w7_d448e4495
aus	w9_d448e4498
der	w11_d448e4501
Ukrai	w13_d448e4505
ne	w1_d448e4511
nach	w3_d448e4514
dem	w5_d448e4517
Haupt=lager	w7_d448e4520
unterm	w9_d448e4523
Feld	w11_d448e4526
marschall	w1_d448e4531
Soltikof	w3_d448e4534
abgeschickt	w5_d448e4537
waren,	w7_d448e4540
all	w9_d448e4543
dort	w1_d448e4548
mit	w3_d448e4551
35.	w5_d448e4554
zwölf=pfündigen	w7_d448e4557
metallenen	w9_d448e4560
Canonen	w1_d448e4565
in	w3_d448e4568
gutem	w5_d448e4571
Wolstand	w7_d448e4574
angekommen	w9_d448e4577
seyen,	w1_d448e4583
nachdem	w3_d448e4586
sie	w5_d448e4589
auf	w7_d448e4592
dem	w9_d448e4595
Marsch	w11_d448e4598
nicht	w13_d448e4602
mehr	w1_d448e4607
an	w3_d448e4610
Todten	w5_d448e4613
als	w7_d448e4616
12.	w9_d448e4619
Mann	w11_d448e4622
durch	w13_d448e4626
Krank	w15_d448e4629
heiten	w1_d448e4634
verloren	w3_d448e4637
halten.	w5_d448e4640
Seit	w7_d448e4643
gestern	w9_d448e4646
spricht	w11_d448e4649
man	w1_d448e4654
auch,	w3_d448e4657
daß	w5_d448e4660
der	w7_d448e4663
gröste	w9_d448e4666
Theil	w11_d448e4669
unserer	w13_d448e4673
Besatzung	w1_d448e4679
sich	w3_d448e4682
marschfertig	w5_d448e4685
halten	w7_d448e4688
muß,	w9_d448e4691
nach	w1_d448e4696
der	w3_d448e4699
Oder	w5_d448e4702
abzugehen,	w7_d448e4705
und	w9_d448e4708
ihre	w11_d448e4711
Plätze	w13_d448e4715
und	w1_d448e4720
Posten	w3_d448e4723
mit	w5_d448e4726
900.	w7_d448e4729
Recruten	w9_d448e4732
besetzt	w11_d448e4735
wer	w13_d448e4739
den,	w1_d448e4744
die	w3_d448e4747
aus	w5_d448e4750
dem	w7_d448e4753
Jnnersten	w9_d448e4756
des	w11_d448e4759
Rußischen	w13_d448e4763
</p>
<p id="p6_d448e4766">
Reichs	w1_d448e4770
nach	w3_d448e4773
dieser	w5_d448e4776
Stadt	w7_d448e4779
in	w9_d448e4782
vollem	w11_d448e4785
Marsch	w13_d448e4789
seynd.	w1_d448e4794
Man	w3_d448e4797
weiß	w5_d448e4800
übrigens	w7_d448e4803
von	w9_d448e4806
unserer	w11_d448e4809
Armee,	w1_d448e4814
daß	w3_d448e4817
unsere	w5_d448e4820
leichte	w7_d448e4823
Partheyen	w9_d448e4826
bis	w11_d448e4829
über	w13_d448e4833
die	w1_d448e4839
Oder	w3_d448e4842
streiffen,	w5_d448e4845
wovon	w7_d448e4848
eine	w9_d448e4851
bey	w11_d448e4854
Caro	w13_d448e4858
lath	w1_d448e4863
einen	w3_d448e4866
Unter=officier	w5_d448e4869
nebst	w7_d448e4872
10.	w9_d448e4875
Mann	w11_d448e4878
vom	w1_d448e4883
Regiment	w3_d448e4886
Sydow	w5_d448e4889
gefangen,	w7_d448e4892
eine	w9_d448e4895
an	w11_d448e4898
dere	w1_d448e4903
aber	w3_d448e4906
unter	w5_d448e4909
dem	w7_d448e4912
Hussaren=obristen	w9_d448e4915
Pod	w11_d448e4918
goritschanin,	w1_d448e4924
der	w3_d448e4927
die	w5_d448e4930
Stadt	w7_d448e4933
Stolpe	w9_d448e4936
besetzt	w11_d448e4939
haltet,	w1_d448e4944
daselbst	w3_d448e4947
einen	w5_d448e4950
Fähnrich	w7_d448e4953
mit	w9_d448e4956
67.	w11_d448e4959
Mann	w1_d448e4964
angetroffen,	w3_d448e4967
sie	w5_d448e4970
alle	w7_d448e4973
gefangen,	w9_d448e4976
und	w11_d448e4979
gleich	w1_d448e4984
wie	w3_d448e4987
die	w5_d448e4990
vorige	w7_d448e4993
ins	w9_d448e4996
Haupt=quartier	w11_d448e4999
ein	w13_d448e5003
gebracht	w1_d448e5009
habe.	w3_d448e5012
</p>
<head id="h2_d448e5018">
Aus	w1_d448e5022
Thüringen	w3_d448e5025
15.	w5_d448e5028
April.	w7_d448e5031
Der	w1_d448e5036
Oesterreichische	w3_d448e5039
Jäger=capitain	w5_d448e5042
Hr.	w7_d448e5045
</head>
<p id="p4_d448e5048">
Otto	w1_d448e5052
kame	w3_d448e5055
den	w5_d448e5058
12.	w7_d448e5061
dieses	w9_d448e5064
mit	w11_d448e5067
seinem	w13_d448e5071
Corps,	w15_d448e5074
so	w1_d448e5079
aus	w3_d448e5082
50.	w5_d448e5085
Mann	w7_d448e5088
zu	w9_d448e5091
Pferd,	w11_d448e5094
und	w13_d448e5098
eben	w15_d448e5101
so	w17_d448e5104
vielen	w1_d448e5109
zu	w3_d448e5112
Fuß	w5_d448e5115
bestanden,	w7_d448e5118
ganz	w9_d448e5121
unvermuket	w11_d448e5124
vor	w1_d448e5130
Erfurt	w3_d448e5133
an;	w5_d448e5136
er	w7_d448e5139
kame	w9_d448e5142
von	w11_d448e5145
Schmalkal	w13_d448e5149
den,	w1_d448e5154
allwo	w3_d448e5157
er	w5_d448e5160
sich	w7_d448e5163
etwelche	w9_d448e5166
Täge	w11_d448e5169
hiedurch	w13_d448e5173
auf	w1_d448e5178
Execution	w3_d448e5181
befunden.	w5_d448e5184
Man	w7_d448e5187
verweigerte	w9_d448e5190
ihne	w1_d448e5195
zwar	w3_d448e5198
seinen	w5_d448e5201
Aufenthalt	w7_d448e5204
in	w9_d448e5207
der	w11_d448e5210
Stadt	w13_d448e5214
selbst	w1_d448e5220
zu	w3_d448e5223
nehmen,	w5_d448e5226
man	w7_d448e5229
konte	w9_d448e5232
ihme	w11_d448e5235
aber	w13_d448e5239
auch	w15_d448e5242
zugleich	w1_d448e5247
nicht	w3_d448e5250
wehren,	w5_d448e5253
daß	w7_d448e5256
selber	w9_d448e5259
von	w11_d448e5262
b.	w13_d448e5266
seiner	w1_d448e5271
Leute	w3_d448e5274
vergesellschaftet,	w5_d448e5277
nicht	w7_d448e5280
hinein	w9_d448e5283
gehen	w1_d448e5288
sollte.	w3_d448e5291
Der	w5_d448e5294
Commandant	w7_d448e5297
schickte	w9_d448e5300
ihme	w1_d448e5306
alsobald	w3_d448e5309
den	w5_d448e5312
Major	w7_d448e5315
Kottulinsky	w9_d448e5318
ent	w11_d448e5321
gegen,	w1_d448e5326
mit	w3_d448e5329
Vermelden,	w5_d448e5332
daß	w7_d448e5335
er	w9_d448e5338
ein	w11_d448e5341
gros	w13_d448e5345
ses	w1_d448e5350
Mißvergnügen	w3_d448e5353
über	w5_d448e5356
sothanes	w7_d448e5359
Verfah	w9_d448e5362
ren	w1_d448e5367
empfände,	w3_d448e5370
und	w5_d448e5373
zugleicher	w7_d448e5376
Zeit	w9_d448e5379
forderte	w11_d448e5382
der	w1_d448e5388
Major	w3_d448e5391
einen	w5_d448e5394
seinigen	w7_d448e5397
Deserteur,	w9_d448e5400
so	w11_d448e5403
sich	w1_d448e5408
unter	w3_d448e5411
dem	w5_d448e5414
Jäger=corps	w7_d448e5417
des	w9_d448e5420
Hrn.	w11_d448e5423
Otto	w13_d448e5427
unterhalten	w1_d448e5432
liesse,	w3_d448e5435
zuruck,	w5_d448e5438
da	w7_d448e5441
er	w9_d448e5444
aber	w11_d448e5447
sa	w13_d448e5451
he,	w1_d448e5456
daß	w3_d448e5459
Herr	w5_d448e5462
Capitain	w7_d448e5465
Otto	w9_d448e5468
viele	w11_d448e5471
Schwie	w13_d448e5475
rigkeiten	w1_d448e5481
dessenthalben	w3_d448e5484
machte,	w5_d448e5487
so	w7_d448e5490
hieste	w9_d448e5493
er	w11_d448e5496
ihme	w1_d448e5501
2.	w3_d448e5504
seiner	w5_d448e5507
Jäger	w7_d448e5510
zurücke,	w9_d448e5513
mit	w11_d448e5516
dem	w13_d448e5520
Bedeuten,	w1_d448e5525
er	w3_d448e5528
wolle	w5_d448e5531
selbe	w7_d448e5534
nicht	w9_d448e5537
ehender	w11_d448e5540
zu	w13_d448e5544
rücke	w1_d448e5549
stellen,	w3_d448e5552
es	w5_d448e5555
seye	w7_d448e5558
dann,	w9_d448e5561
daß	w11_d448e5564
sein	w13_d448e5568
De	w15_d448e5571
serteur	w1_d448e5577
verabfolget	w3_d448e5580
würde.	w5_d448e5583
Der	w7_d448e5586
Capitain	w9_d448e5589
erhitzte	w1_d448e5594
sich	w3_d448e5597
über	w5_d448e5600
dieses	w7_d448e5603
des	w9_d448e5606
Majots	w11_d448e5609
Vir	w13_d448e5613
fehren,	w1_d448e5618
und	w3_d448e5621
brache	w5_d448e5624
endlichen	w7_d448e5627
dergestalten	w9_d448e5630
in	w1_d448e5635
herbe	w3_d448e5638
Droh=Worte	w5_d448e5641
aus,	w7_d448e5644
daß	w9_d448e5647
ihme	w11_d448e5650
der	w13_d448e5654
Major	w1_d448e5660
entgegen	w3_d448e5663
mit	w5_d448e5666
seiner	w7_d448e5669
selbst	w9_d448e5672
eigenen	w11_d448e5675
</p>
<p id="p10_d448e5688">
Aeretirung	w1_d448e5692
drohete;	w3_d448e5695
als	w5_d448e5698
nun	w7_d448e5701
Herr	w9_d448e5704
Otto	w11_d448e5707
ge	w13_d448e5711
sehen,	w1_d448e5716
daß	w3_d448e5719
auf	w5_d448e5722
solche	w7_d448e5725
Art	w9_d448e5728
wenig	w11_d448e5731
oder	w13_d448e5735
gar	w15_d448e5738
nichtes	w1_d448e5743
ausgerichtet	w3_d448e5746
würde,	w5_d448e5749
verwilligte	w7_d448e5752
er	w9_d448e5755
endlichen	w1_d448e5761
in	w3_d448e5764
die	w5_d448e5767
Auslieferung	w7_d448e5770
gedachten	w9_d448e5773
De	w11_d448e5776
serteurs.	w1_d448e5781
Der	w3_d448e5784
Major	w5_d448e5787
gienge	w7_d448e5790
alsdann	w9_d448e5793
mit	w11_d448e5796
dem	w1_d448e5801
Capitain	w3_d448e5804
vor	w5_d448e5807
die	w7_d448e5810
Stadt	w9_d448e5813
hinaus,	w11_d448e5816
und	w13_d448e5820
sollte	w1_d448e5825
alldorten	w3_d448e5828
selbsten	w5_d448e5831
seinen	w7_d448e5834
Deserteur	w9_d448e5837
aus	w11_d448e5840
diesem	w1_d448e5846
Corps	w3_d448e5849
heraus	w5_d448e5852
suchen.	w7_d448e5855
Allein	w9_d448e5858
die	w11_d448e5861
Jäger	w1_d448e5866
haben	w3_d448e5869
in	w5_d448e5872
Zeiten	w7_d448e5875
von	w9_d448e5878
der	w11_d448e5881
Ursache	w13_d448e5885
des	w15_d448e5888
in	w1_d448e5893
der	w3_d448e5896
Stadt	w5_d448e5899
fürgewesten	w7_d448e5902
Wort=streites	w9_d448e5905
Wind	w1_d448e5910
bekommen,	w3_d448e5913
und	w5_d448e5916
also	w7_d448e5919
eröftertem	w9_d448e5922
De	w11_d448e5925
serteur	w1_d448e5931
noch	w3_d448e5934
vor	w5_d448e5937
Ankunft	w7_d448e5940
des	w9_d448e5943
Majors	w11_d448e5946
Ge	w13_d448e5950
legenheit	w1_d448e5955
gemacht,	w3_d448e5958
zu	w5_d448e5961
entwischen.	w7_d448e5964
Als	w9_d448e5967
nun	w1_d448e5972
der	w3_d448e5975
Major	w5_d448e5978
seinen	w7_d448e5981
Deserteur	w9_d448e5984
nicht	w11_d448e5987
ge	w13_d448e5991
funden,	w1_d448e5996
so	w3_d448e5999
arretirte	w5_d448e6002
selben	w7_d448e6005
der	w9_d448e6008
Capitain,	w11_d448e6011
und	w1_d448e6017
liesse	w3_d448e6020
ihne	w5_d448e6023
ehender	w7_d448e6026
nicht	w9_d448e6029
los,	w11_d448e6032
bis	w13_d448e6036
selber	w15_d448e6039
die	w1_d448e6044
Parole	w3_d448e6047
von	w5_d448e6050
sich	w7_d448e6053
gegeben,	w9_d448e6056
die	w11_d448e6059
zwey	w13_d448e6063
in	w15_d448e6066
der	w1_d448e6071
Stadt	w3_d448e6074
zurück	w5_d448e6077
behaltene	w7_d448e6080
Jäger	w9_d448e6083
ohne	w11_d448e6086
dem	w13_d448e6090
mindesten	w1_d448e6095
Zeit=verlust	w3_d448e6098
auszuliefern	w5_d448e6101
Herr	w7_d448e6104
Otto	w1_d448e6110
marschirte	w3_d448e6113
alsdann	w5_d448e6116
nacher	w7_d448e6119
Langensalza,	w9_d448e6122
in	w1_d448e6127
der	w3_d448e6130
Absicht,	w5_d448e6133
die	w7_d448e6136
in	w9_d448e6139
selbigen	w11_d448e6142
Gegenden	w13_d448e6146
sich	w1_d448e6151
aufhaltende	w3_d448e6154
Preußische	w5_d448e6157
Posten	w7_d448e6160
aufzuhe	w9_d448e6163
ben,	w1_d448e6168
und	w3_d448e6171
zwange,	w5_d448e6174
uni	w7_d448e6177
seinen	w9_d448e6180
Marsch	w11_d448e6183
zu	w13_d448e6187
beschleunigen,	w1_d448e6193
die	w3_d448e6196
Bauren	w5_d448e6199
seine	w7_d448e6202
Jäger	w9_d448e6205
zu	w11_d448e6208
Fuß	w1_d448e6213
auf	w3_d448e6216
Wägen	w5_d448e6219
dahin	w7_d448e6222
zu	w9_d448e6225
bringen.	w11_d448e6228
Allein	w13_d448e6232
diese	w1_d448e6237
Expedition	w3_d448e6240
hat	w5_d448e6243
ihme	w7_d448e6246
fehl	w9_d448e6249
geschlagen,	w11_d448e6252
massen	w1_d448e6257
ein	w3_d448e6260
Postillion	w5_d448e6263
von	w7_d448e6266
Erfurt	w9_d448e6269
die	w11_d448e6272
Preus	w13_d448e6276
sen	w1_d448e6282
von	w3_d448e6285
der	w5_d448e6288
Absicht	w7_d448e6291
dieses	w9_d448e6294
Jäger=corps	w11_d448e6297
schon	w1_d448e6302
vorhero	w3_d448e6305
benachrichtiget,	w5_d448e6308
worauf	w7_d448e6311
ge	w9_d448e6314
stern	w1_d448e6319
das	w3_d448e6322
ganze	w5_d448e6325
Corps	w7_d448e6328
bey	w9_d448e6331
Erfurt	w11_d448e6334
wiederum	w13_d448e6338
borbey,	w1_d448e6343
und	w3_d448e6346
nach	w5_d448e6349
Saalfeld	w7_d448e6352
zuruck	w9_d448e6355
gekeh	w11_d448e6358
ret	w1_d448e6364
ist.	w3_d448e6367
</p>
<head id="h2_d448e6374">
Hanau	w1_d448e6378
28.	w3_d448e6381
April.	w5_d448e6384
</head>
<p id="p4_d448e6387">
Die	w1_d448e6391
Strassen=raubereyen	w3_d448e6394
und	w5_d448e6397
gewalt	w7_d448e6400
same	w1_d448e6405
Diebstähle,	w3_d448e6408
haben	w5_d448e6411
seit	w7_d448e6414
einiger	w9_d448e6417
Zeit	w11_d448e6420
in	w13_d448e6424
unsern	w1_d448e6429
Gegenden	w3_d448e6432
sehr	w5_d448e6435
überhand	w7_d448e6438
zu	w9_d448e6441
nehmen	w11_d448e6444
angefangen,	w1_d448e6450
wie	w3_d448e6453
dann	w5_d448e6456
unter	w7_d448e6459
andern	w9_d448e6462
ein	w11_d448e6465
grausames	w1_d448e6470
Exempel	w3_d448e6473
von	w5_d448e6476
dergleichen	w7_d448e6479
kürzlich	w9_d448e6482
zu	w1_d448e6487
Naumburg,	w3_d448e6490
einem,	w5_d448e6493
drey	w7_d448e6496
Stunden	w9_d448e6499
von	w11_d448e6502
dier,	w1_d448e6507
ganz	w3_d448e6510
allein	w5_d448e6513
gelegenen	w7_d448e6516
Herrschaftlichen	w9_d448e6519
Heßischen	w1_d448e6525
Land=schloß	w3_d448e6528
sich	w5_d448e6531
ereignet,	w7_d448e6534
indeme	w9_d448e6537
Montags	w1_d448e6542
den	w3_d448e6545
21.	w5_d448e6548
dieses	w7_d448e6551
Abends	w9_d448e6554
kurz	w11_d448e6557
nach	w13_d448e6561
9.	w1_d448e6566
Uhren,	w3_d448e6569
sich	w5_d448e6572
eine,	w7_d448e6575
gleich	w9_d448e6578
Soldaten	w11_d448e6581
be	w13_d448e6585
</p>
<p id="p6_d448e6588">
wafnete	w1_d448e6592
räuberische	w3_d448e6595
Diebs=bande,	w5_d448e6598
unge	w7_d448e6601
fähr	w1_d448e6606
60.	w3_d448e6609
Mann	w5_d448e6612
stark,	w7_d448e6615
theils	w9_d448e6618
weiß,	w11_d448e6621
grün,	w13_d448e6625
roth	w1_d448e6630
und	w3_d448e6633
blau	w5_d448e6636
gekleidet,	w7_d448e6639
vor	w9_d448e6642
bemeldtem	w11_d448e6645
Schloß	w1_d448e6651
eingefunden,	w3_d448e6654
unter	w5_d448e6657
