<doc id="edoc_wd_1768-02-24" attrs="word" year="1768" month="02" day="24" corpus="1">
<head id="hl1">
Amsterdam	w35
Jhrer	w233
Bott=mäßigkeit	w234
<g/>
=
stehenden	w236
Landen	w237
hervorthun	w238
wer=den	w239
<g/>
=
<g/>
,
von	w242
welcher	w243
Art	w244
sie	w245
auch	w246
immer	w247
seyn	w248
mogen	w249
<g/>
,
an	w251
auswärtige	w252
Gerichtshöfe	w253
<g/>
,
auch	w255
nicht	w256
einmal	w257
an	w258
jene	w259
zu	w260
Rom	w261
<g/>
,
bringen	w263
können	w264
<g/>
.
2	w266
<g/>
)
Jst	w268
allen	w269
Unterthanen	w270
des	w271
Herrn	w272
Jn=fanten	w273
<g/>
=
untersaget	w275
<g/>
,
sich	w277
zu	w278
auswärtigen	w279
Für=sten	w280
<g/>
=
<g/>
,
Regierungen	w283
<g/>
,
und	w285
Gerichtshöfen	w286
hin=zuwenden	w287
<g/>
=
<g/>
,
sowohl	w290
in	w291
Betref	w292
von	w293
allerley	w294
Art	w295
weltlicher	w296
Angelegenheiten	w297
<g/>
,
als	w299
um	w300
in	w301
dero	w302
Staaten	w303
geistliche	w304
Pfründen	w305
<g/>
,
oder	w307
son=stige	w308
<g/>
=
geistliche	w310
Anwartungen	w311
an	w312
sich	w313
zu	w314
brin=gen	w315
<g/>
=
<g/>
,
ehe	w318
und	w319
bevor	w320
sie	w321
desfalls	w322
die	w323
Geneh=migung	w324
<g/>
=
Sr	w326
<g/>
.
königl	w328
<g/>
.
Hoheit	w330
erhalten	w331
haben	w332
<g/>
.
3	w334
<g/>
)
Sollen	w336
alle	w337
mit	w338
der	w339
Seelsorge	w340
be=schwerte	w341
<g/>
=
Pfründen	w343
<g/>
,
sowohl	w345
als	w346
jene	w347
<g/>
,
zu	w349
welchen	w350
die	w351
Bullen	w352
in	w353
dem	w354
päbstl	w355
<g/>
.
Condisto=rio	w357
<g/>
=
ausgefertigt	w359
werden	w360
<g/>
,
auch	w362
klösterliche	w363
Pfründen	w364
<g/>
,
Pensionen	w366
<g/>
,
Abteyen	w368
<g/>
,
Würden	w370
<g/>
,
und	w372
Aemter	w373
<g/>
,
die	w375
eine	w376
Gerichtsbarkeit	w377
hät=ten	w378
<g/>
=
<g/>
,
fürs	w381
künftige	w382
in	w383
den	w384
dreyen	w385
Herzogthü=mern	w386
<g/>
=
nicht	w388
anders	w389
<g/>
,
als	w391
von	w392
den	w393
Untertha=nen	w394
<g/>
=
des	w396
Jnfanten	w397
<g/>
,
und	w399
vor	w400
allen	w401
Dingen	w402
<g/>
,
mit	w404
Genehmhaltung	w405
Sr	w406
<g/>
.
königl	w408
<g/>
.
Hoheit	w410
<g/>
,
besessen	w412
werden	w413
können	w414
<g/>
.
4	w416
<g/>
)
Endlich	w418
erkläret	w419
der	w420
Herzog	w421
alle	w422
Schrif=ten	w423
<g/>
=
Briefe	w425
<g/>
,
Urtheile	w427
<g/>
,
Decrete	w429
<g/>
,
Bullen	w431
<g/>
,
Breve	w433
<g/>
,
u	w435
<g/>
.
s	w437
<g/>
.
w	w439
<g/>
.
welche	w441
von	w442
Rom	w443
oder	w444
aus	w445
irgend	w446
einem	w447
andern	w448
Laude	w449
kommen	w450
werden	w451
<g/>
,
für	w453
ungültig	w454
und	w455
unkräftig	w456
<g/>
,
sie	w458
werden	w459
dann	w460
mit	w461
dem	w462
Regio	w463
exequatur	w464
versehen	w465
<g/>
.
</list>
<p id="p7">
Durch	w467
den	w468
<g/>
,
seit	w470
3	w471
<g/>
.
Jahren	w473
in	w474
diesen	w475
dreyen	w476
Herzogthümern	w477
verspürten	w478
Kornmangel	w479
ist	w480
die	w481
Regierung	w482
veranlasset	w483
worden	w484
<g/>
,
die	w486
fran=zösische	w487
<g/>
=
Denkschrift	w489
<g/>
,
welche	w491
der	w492
Herr	w493
Mä=stel	w494
<g/>
=
über	w496
die	w497
Eigenschaft	w498
<g/>
,
den	w500
Anbau	w501
und	w502
den	w503
Gebrauch	w504
der	w505
Erdäpfel	w506
und	w507
die	w508
Art	w509
<g/>
,
aus	w511
denselben	w512
<g/>
,
mit	w514
Vermischung	w515
etwas	w516
we=nigen	w517
<g/>
=
Waitzenmehls	w519
<g/>
,
Brodt	w521
zu	w522
backen	w523
<g/>
,
her=aus	w525
<g/>
=
gegeben	w527
hat	w528
<g/>
,
in	w530
die	w531
wälsche	w532
Sprache	w533
übersetzen	w534
und	w535
bekannt	w536
machen	w537
lassen	w538
<g/>
.
Der	w540
erste	w541
Versuch	w542
<g/>
,
den	w544
man	w545
von	w546
diesem	w547
Brodt	w548
gemacht	w549
hat	w550
<g/>
,
ist	w552
dem	w553
Jnfanten	w554
vorgewiesen	w555
worden	w556
<g/>
,
und	w558
vollkommen	w559
gelungen	w560
<g/>
.
</p>
<head id="hl3">
Genf	w562
den	w563
25	w564
<g/>
.
Jäner	w566
<g/>
.
</head>
<p id="p8">
Da	w568
die	w569
Hrn	w570
<g/>
.
Syndici	w572
<g/>
,
auch	w574
der	w575
Kleine	w576
und	w577
Grosse	w578
Rath	w579
<g/>
,
durch	w581
die	w582
<g/>
,
alle	w584
AugenAugenblicke	w585
<g/>
=
</p>
<p id="p9">
blicke	w587
zunehmende	w588
Gefahr	w589
<g/>
,
welche	w591
hiesiger	w592
Republik	w593
über	w594
dem	w595
Haupte	w596
schwebt	w597
<g/>
,
in	w599
äus=sersten	w600
<g/>
=
Kummer	w602
gesetzt	w603
sind	w604
<g/>
,
so	w606
ist	w607
eine	w608
ge=wisse	w609
<g/>
=
Zahl	w611
Commisarien	w612
ernannt	w613
worden	w614
<g/>
,
mit	w616
dem	w617
Auftrage	w618
<g/>
,
die	w620
tüchtigsten	w621
Mittel	w622
zu	w623
prüffen	w624
<g/>
,
wie	w626
man	w627
die	w628
zu	w629
berichtigenden	w630
An=gelegenheiten	w631
<g/>
=
<g/>
,
zum	w634
Vergnügen	w635
der	w636
verschie=denen	w637
<g/>
=
Stände	w639
<g/>
,
abmachen	w641
<g/>
,
und	w643
die	w644
Quelle	w645
der	w646
seit	w647
so	w648
geraunmer	w649
Zeit	w650
vorwaltenden	w651
Spaltungen	w652
austrocknen	w653
könnte	w654
<g/>
.
Jn	w656
dieser	w657
Absicht	w658
haben	w659
vorbelobte	w660
Commissarien	w661
ein	w662
Aussöhnungsproject	w663
abgefaßt	w664
<g/>
,
so	w666
in	w667
den	w668
zu	w669
solchem	w670
Ende	w671
unterm	w672
21	w673
<g/>
.
dies	w675
zusammen	w676
be=ruffenen	w677
<g/>
=
allgemeinen	w679
Rath	w680
gebracht	w681
worden	w682
<g/>
.
Da	w684
nun	w685
dasselbe	w686
zu	w687
einigen	w688
Anmerkungen	w689
über	w690
unterschiedliche	w691
darinn	w692
enthaltene	w693
Artikuln	w694
Anlaß	w695
gegeben	w696
<g/>
,
so	w698
haben	w699
vorbelobte	w700
Syndi=ci	w701
<g/>
=
<g/>
,
auch	w704
der	w705
Kleine	w706
und	w707
Grosse	w708
Rath	w709
<g/>
,
eini=ge	w711
<g/>
=
Veränderungen	w713
dabey	w714
vorzunehmen	w715
<g/>
,
für	w717
diensam	w718
erachtet	w719
<g/>
,
und	w721
wird	w722
nun	w723
dieses	w724
auf	w725
solche	w726
Art	w727
gemässigte	w728
Project	w729
dem	w730
allgemei=nen	w731
<g/>
=
Rathe	w733
<g/>
,
am	w735
28	w736
<g/>
.
dieses	w738
<g/>
,
von	w740
neuem	w741
vor=gelegt	w742
<g/>
=
werden	w744
<g/>
.
</p>
<head id="hl4">
Warschau	w746
den	w747
28	w748
<g/>
.
Jäner	w750
<g/>
.
</head>
<p id="p10">
Der	w752
bisherige	w753
Dänische	w754
Minister	w755
und	w756
Kammerher	w757
<g/>
,
Hr	w759
<g/>
.
Mesiral	w761
von	w762
St	w763
<g/>
.
Sapho=rin	w765
<g/>
=
<g/>
,
hat	w768
in	w769
einer	w770
besondern	w771
Audienz	w772
das	w773
Cre=ditiv	w774
<g/>
=
als	w776
außerordentlicher	w777
Gesandter	w778
seines	w779
Königes	w780
bey	w781
unsers	w782
Königes	w783
Majest	w784
<g/>
.
abzu=geben	w786
<g/>
=
die	w788
Ehre	w789
gehabt	w790
<g/>
.
</p>
<p id="p11">
Die	w792
Generalversammlungen	w793
der	w794
Repub=likcommissarien	w795
<g/>
=
gehen	w797
theils	w798
beym	w799
Fürst	w800
Pri=mas	w801
<g/>
=
theils	w803
beym	w804
Fürst	w805
Repuin	w806
Vormittag	w807
und	w808
Nachmittag	w809
bis	w810
spät	w811
Abends	w812
täglich	w813
anitzo	w814
fort	w815
<g/>
,
je	w817
mehr	w818
es	w819
sich	w820
zum	w821
Reichstage	w822
nähert	w823
<g/>
,
welcher	w825
in	w826
4	w827
<g/>
.
Tagen	w829
angehen	w830
wird	w831
<g/>
.
Man	w833
hat	w834
das	w835
Projekt	w836
von	w837
Aufhebung	w838
der	w839
Päbstl	w840
<g/>
.
Nunciatur	w842
<g/>
,
und	w844
was	w845
dem	w846
anhängt	w847
<g/>
,
am	w849
Montage	w850
unterschrieben	w851
<g/>
,
und	w853
wird	w854
des	w855
Ceremoniels	w856
wegen	w857
der	w858
Hr	w859
<g/>
.
Poninski	w861
<g/>
,
der	w863
bisher	w864
der	w865
Commißion	w866
Secretaire	w867
gewesen	w868
<g/>
,
an	w870
den	w871
heil	w872
<g/>
.
Stuhl	w874
geschicket	w875
werden	w876
<g/>
,
daß	w878
es	w879
Sr	w880
<g/>
.
Päbstl	w882
<g/>
.
HeiligkitHeiligkeit	w884
gefallen	w885
möchte	w886
<g/>
,
sich	w888
dabey	w889
einwilligend	w890
zu	w891
bezeigen	w892
<g/>
.
</p>
<p id="p12">
Sonst	w894
hat	w895
man	w896
auch	w897
wegen	w898
des	w899
ordentli=chen	w900
<g/>
=
Reichstages	w902
verordnet	w903
<g/>
,
das	w905
künftig	w906
sel=biger	w907
<g/>
=
nicht	w909
mehr	w910
Montags	w911
nach	w912
Michaelis	w913
<g/>
,
sondern	w915
jederzeit	w916
Montags	w917
nach	w918
Bartholo=mäi	w919
<g/>
=
angehen	w921
<g/>
,
und	w923
der	w924
dritte	w925
jedesmalige	w926
or=dentliche	w927
<g/>
=
Reichstag	w929
<g/>
,
welcher	w931
nach	w932
Lithauen	w933
</p>
<p id="p13">
gehet	w936
<g/>
,
nicht	w938
mehr	w939
in	w940
Grodno	w941
sondern	w942
in	w943
Wilda	w944
<g/>
,
gehalten	w946
werden	w947
soll	w948
<g/>
.
</p>
<p id="p14">
Die	w950
Rußischen	w951
Truppen	w952
<g/>
,
welche	w954
bey	w955
dem	w956
limitirten	w957
Reichstag	w958
hier	w959
gewesen	w960
<g/>
,
sind	w962
auch	w963
nun	w964
bereits	w965
wieder	w966
an	w967
Warschau	w968
angerücket	w969
<g/>
,
und	w971
stehen	w972
in	w973
dem	w974
benachbarten	w975
Prag	w976
<g/>
,
und	w978
in	w979
denen	w980
am	w981
nächsten	w982
gelegenen	w983
Dorfschaften	w984
<g/>
.
</p>
<p id="p15">
Es	w986
finden	w987
sich	w988
auch	w989
schon	w990
immer	w991
mehrere	w992
hieselbst	w993
von	w994
den	w995
Landboten	w996
ein	w997
<g/>
,
welche	w999
dem	w1000
Reichstage	w1001
beywohnen	w1002
sollen	w1003
<g/>
.
Auch	w1005
treffen	w1006
die	w1007
Magnaten	w1008
dazu	w1009
bereits	w1010
nach	w1011
und	w1012
nach	w1013
ein	w1014
<g/>
,
und	w1016
werden	w1017
wir	w1018
nun	w1019
auf	w1020
den	w1021
Montag	w1022
die	w1023
Wiedereröffnung	w1024
des	w1025
Reichstages	w1026
zu	w1027
er=warten	w1028
<g/>
=
haben	w1030
<g/>
.
</p>
<p id="p16">
Der	w1032
Winter	w1033
der	w1034
seit	w1035
14	w1036
<g/>
.
Tagen	w1038
zwar	w1039
mit	w1040
Frost	w1041
gut	w1042
angehalten	w1043
<g/>
,
ist	w1045
doch	w1046
so	w1047
ohne	w1048
allen	w1049
Schnee	w1050
bisher	w1051
gewesen	w1052
<g/>
,
daß	w1054
man	w1055
in	w1056
der	w1057
Stadt	w1058
auf	w1059
den	w1060
blossen	w1061
Steinen	w1062
gefahren	w1063
<g/>
,
und	w1065
auf	w1066
dem	w1067
Felde	w1068
es	w1069
beym	w1070
Fahren	w1071
gestau=bet	w1072
<g/>
=
hat	w1074
<g/>
.
Gestern	w1076
fiel	w1077
zum	w1078
erstenmal	w1079
ein	w1080
Schnee	w1081
<g/>
,
der	w1083
alles	w1084
zu	w1085
bedecken	w1086
versprach	w1087
<g/>
.
Jedoch	w1089
es	w1090
fieng	w1091
auch	w1092
gleich	w1093
darauf	w1094
an	w1095
zu	w1096
thau=en	w1097
<g/>
=
<g/>
,
welches	w1100
noch	w1101
fortdauret	w1102
<g/>
.
</p>
<head id="hl5">
Politische	w1104
Neuigkeiten	w1105
<g/>
.
</head>
<head id="hl6">
Copenhagen	w1107
den	w1108
1	w1109
<g/>
.
Hornung	w1111
<g/>
.
</head>
<p id="p17">
Se	w1113
<g/>
.
Majestät	w1115
der	w1116
König	w1117
<g/>
,
haben	w1119
<g/>
,
unter	w1121
dem	w1122
19	w1123
<g/>
.
Jän	w1125
<g/>
.
<g/>
,
den	w1128
Hrn	w1129
<g/>
.
Conferenzrath	w1131
von	w1132
Brandt	w1133
zum	w1134
Administrator	w1135
über	w1136
die	w1137
Graf=schaft	w1138
<g/>
=
Ranzau	w1140
<g/>
,
und	w1142
zum	w1143
Jntendanten	w1144
über	w1145
die	w1146
Herrschaften	w1147
Herzborn	w1148
<g/>
,
Sommer	w1150
<g/>
=
und	w1152
Grönland	w1153
<g/>
,
und	w1155
den	w1156
28	w1157
<g/>
.
den	w1159
Hrn	w1160
<g/>
.
Jngenieur	w1162
<g/>
=
Lieutenant	w1164
von	w1165
Niebur	w1166
zum	w1167
wirklichen	w1168
Jnge=nieur	w1169
<g/>
=
<g/>
=
Capitain	w1172
bey	w1173
dem	w1174
Jngenieur	w1175
<g/>
=
Korps	w1177
zu	w1178
ernennen	w1179
geruhet	w1180
<g/>
.
</p>
<p id="p18">
Den	w1182
29	w1183
<g/>
.
sind	w1185
von	w1186
Se	w1187
<g/>
.
königl	w1189
<g/>
.
Majestät	w1191
mit	w1192
dem	w1193
Ritterorden	w1194
vom	w1195
Elephanten	w1196
beehret	w1197
worden	w1198
der	w1199
Herr	w1200
Conrad	w1201
Wilhelm	w1202
von	w1203
Ahle=feldt	w1204
<g/>
=
<g/>
,
General	w1207
von	w1208
der	w1209
Cavallerie	w1210
<g/>
,
und	w1212
Gou=verneur	w1213
<g/>
=
allhier	w1215
<g/>
,
und	w1217
Hr	w1218
<g/>
.
Karl	w1220
Christian	w1221
von	w1222
Gramm	w1223
<g/>
,
geheimer	w1225
Conferenzrath	w1226
<g/>
,
Kammer=herr	w1228
<g/>
=
und	w1230
Oberjägermeister	w1231
<g/>
.
Ferner	w1233
mit	w1234
dem	w1235
Ritterorden	w1236
vom	w1237
Dannebrog	w1238
<g/>
,
Hr	w1240
<g/>
.
General=major	w1242
<g/>
=
<g/>
,
Graf	w1245
Caspar	w1246
von	w1247
Moltke	w1248
<g/>
;
Hr	w1250
<g/>
.
Kam=merherr	w1252
<g/>
=
und	w1254
Hof	w1255
Jägermeister	w1256
<g/>
,
Christian	w1258
v	w1259
<g/>
.
Gramm	w1261
<g/>
;
Hr	w1263
<g/>
.
Kammerherr	w1265
und	w1266
Amtmann	w1267
</p>
<p id="p19">
über	w1268
die	w1269
Aemter	w1270
Nyburg	w1271
und	w1272
Tranekiär	w1273
<g/>
,
A=dam	w1275
<g/>
=
Christoph	w1277
von	w1278
Holstein	w1279
<g/>
;
Hr	w1281
<g/>
.
Kammer=herr	w1283
<g/>
=
<g/>
,
Stiftsbefehlhaber	w1286
über	w1287
das	w1288
Stift	w1289
Agger=huus	w1290
<g/>
=
<g/>
,
und	w1293
Amtmann	w1294
über	w1295
das	w1296
dortige	w1297
Amt	w1298
<g/>
.
Caspar	w1300
Hermann	w1301
Storm	w1302
<g/>
;
Hr	w1304
<g/>
.
Generalma=jor	w1306
<g/>
=
und	w1308
Oberster	w1309
über	w1310
das	w1311
Nordenfildsche	w1312
ge=worbene	w1313
<g/>
=
Jnfanterieregiment	w1315
<g/>
,
Claus	w1317
Jörgen	w1318
von	w1319
Schnell	w1320
<g/>
;
Hr	w1322
<g/>
.
Kammerherr	w1324
und	w1325
außer=ordentlicher	w1326
<g/>
=
Gesandter	w1328
am	w1329
königl	w1330
<g/>
.
Großbrit=tanischen	w1332
<g/>
=
Hof	w1334
<g/>
,
Wilhelm	w1336
Christoph	w1337
Diede	w1338
zu	w1339
Fürstenstein	w1340
<g/>
;
Hr	w1342
<g/>
.
Kammerherr	w1344
und	w1345
außer=ordentlicher	w1346
<g/>
=
Gesandter	w1348
beym	w1349
königl	w1350
<g/>
.
französi=schen	w1352
<g/>
=
Hofe	w1354
<g/>
,
Heinrich	w1356
Carl	w1357
von	w1358
Gleichen	w1359
<g/>
;
und	w1361
Hr	w1362
<g/>
.
Generalmajor	w1364
von	w1365
der	w1366
Jnfanterie	w1367
<g/>
,
Barthold	w1369
Cuno	w1370
von	w1371
Bülow	w1372
<g/>
.
</p>
<p id="p20">
Weiters	w1374
sind	w1375
ernannt	w1376
worden	w1377
<g/>
:
Zu	w1379
Gene=ralleutenants	w1380
<g/>
=
<g/>
,
die	w1383
Herren	w1384
Generalmajors	w1385
von	w1386
der	w1387
Cavallerie	w1388
<g/>
,
Niels	w1390
Juel	w1391
von	w1392
Schinkel	w1393
<g/>
,
und	w1395
Christian	w1396
Christoph	w1397
Graf	w1398
von	w1399
Holk	w1400
<g/>
.
</p>
<p id="p21">
Zum	w1402
geheimen	w1403
Conferenzrathe	w1404
<g/>
,
Herr	w1406
geheimer	w1407
Rath	w1408
<g/>
,
und	w1410
Oberhofmeister	w1411
bey	w1412
Jhrer	w1413
Majestät	w1414
der	w1415
regierenden	w1416
Köni=gin	w1417
<g/>
=
<g/>
,
Ritter	w1420
von	w1421
Dannebrog	w1422
<g/>
,
Ditlev	w1424
Conrad	w1425
von	w1426
Reventlau	w1427
<g/>
.
</p>
<p id="p22">
Zu	w1429
geheimen	w1430
Räthen	w1431
<g/>
,
Hr	w1433
<g/>
.
Kammerherr	w1435
Joachim	w1436
Otto	w1437
von	w1438
Schack	w1439
<g/>
,
Ritter	w1441
von	w1442
Dan=nebrog	w1443
<g/>
=
<g/>
,
und	w1446
zweyter	w1447
Deputirter	w1448
für	w1449
die	w1450
kö=nigl	w1451
<g/>
=
<g/>
.
Finanzen	w1454
<g/>
;
Hr	w1456
<g/>
.
Kammerherr	w1458
und	w1459
De=putirter	w1460
<g/>
=
im	w1462
Seestatt	w1463
Generalcommissariat	w1464
Gregers	w1465
Christian	w1466
Graf	w1467
von	w1468
Harthausen	w1469
<g/>
,
Ritter	w1471
<g/>
;
Hr	w1473
<g/>
.
Kammerherr	w1475
<g/>
,
Lehnsecretair	w1477
und	w1478
Directeur	w1479
im	w1480
königl	w1481
<g/>
.
Generalpostamt	w1483
<g/>
,
Christian	w1485
Holstein	w1486
<g/>
,
Graf	w1488
zu	w1489
Lethraburg	w1490
<g/>
,
Ritter	w1492
<g/>
.
</p>
<p id="p23">
Zu	w1494
Schoutbynachts	w1495
<g/>
,
der	w1497
Commandeur	w1498
und	w1499
Chef	w1500
für	w1501
die	w1502
erste	w1503
Division	w1504
Hr	w1505
<g/>
.
Baron	w1507
Jens	w1508
Güldencrone	w1509
<g/>
;
der	w1511
Chef	w1512
für	w1513
Friderich=warns	w1514
<g/>
=
Werft	w1516
<g/>
,
Hr	w1518
<g/>
.
Friedrich	w1520
Zimmer	w1521
<g/>
;
und	w1523
der	w1524
Chef	w1525
für	w1526
die	w1527
zweyte	w1528
Division	w1529
<g/>
,
Kammer=herr	w1531
<g/>
=
<g/>
,
und	w1534
Zuverordneter	w1535
im	w1536
Admiralitäts=collegio	w1537
<g/>
=
<g/>
,
Hr	w1540
<g/>
.
Friedrich	w1542
Christian	w1543
Kaas	w1544
<g/>
.
</p>
<p id="p24">
Den	w1546
28sten	w1547
so	w1548
bald	w1549
der	w1550
königl	w1551
<g/>
.
Kronprinz	w1553
geboren	w1554
war	w1555
<g/>
,
ward	w1557
allen	w1558
in	w1559
der	w1560
Stadt	w1561
an=wesenden	w1562
<g/>
=
königl	w1564
<g/>
.
Ministern	w1566
und	w1567
andern	w1568
Herr=schaften	w1569
<g/>
=
<g/>
,
deren	w1572
Stand	w1573
es	w1574
mit	w1575
sich	w1576
brachte	w1577
<g/>
,
angesagt	w1579
<g/>
,
sich	w1581
im	w1582
Apartementssaal	w1583
auf	w1584
dem	w1585
Schloß	w1586
einzufinden	w1587
<g/>
,
welches	w1589
auch	w1590
noch	w1591
den=selben	w1592
<g/>
=
Abend	w1594
geschahe	w1595
<g/>
.
Se	w1597
<g/>
.
königl	w1599
<g/>
.
Maje=stät	w1601
<g/>
=
gaben	w1603
daselbst	w1604
ihnen	w1605
allen	w1606
Audienz	w1607
<g/>
,
und	w1609
nahmen	w1610
die	w1611
Glückwünsche	w1612
an	w1613
<g/>
.
</p>
<p id="p25">
Den	w1616
30sten	w1617
Nachmittag	w1618
um	w1619
3	w1620
<g/>
.
Uhr	w1622
<g/>
,
wur=de	w1624
<g/>
=
mit	w1626
allen	w1627
Stadtglocken	w1628
zu	w1629
läuten	w1630
ange=fangen	w1631
<g/>
=
<g/>
,
und	w1634
um	w1635
halb	w1636
4	w1637
<g/>
.
Uhr	w1639
wurde	w1640
der	w1641
neugeborne	w1642
Kronprinz	w1643
von	w1644
dem	w1645
Hrn	w1646
Bischof	w1647
Harboe	w1648
getaufet	w1649
und	w1650
Jhm	w1651
nach	w1652
höchster	w1653
Vorschrift	w1654
<g/>
,
der	w1656
großväterliche	w1657
Namen	w1658
Fri=derich	w1659
<g/>
=
gegeben	w1661
<g/>
.
Bey	w1663
dieser	w1664
Verrichtung	w1665
waren	w1666
auch	w1667
das	w1668
königl	w1669
<g/>
.
Ministerium	w1671
<g/>
,
die	w1673
Geistlichkeit	w1674
der	w1675
hiesigen	w1676
königl	w1677
<g/>
.
Residenz=stadt	w1679
<g/>
=
<g/>
,
und	w1682
viele	w1683
andere	w1684
hohe	w1685
Standesperso=nen	w1686
<g/>
=
zugegen	w1688
<g/>
.
Abends	w1690
war	w1691
Galla	w1692
in	w1693
dem	w1694
großen	w1695
Ritersaal	w1696
<g/>
,
und	w1698
hernach	w1699
Tafel	w1700
von	w1701
100	w1702
<g/>
.
Converts	w1704
<g/>
,
welcher	w1706
der	w1707
König	w1708
und	w1709
die	w1710
Kö=niginn	w1711
<g/>
=
Juliana	w1713
nebst	w1714
des	w1715
Prinzen	w1716
Friderichs	w1717
beywohneten	w1718
<g/>
.
Während	w1720
der	w1721
Tafel	w1722
war	w1723
Concert	w1724
von	w1725
einer	w1726
starken	w1727
Kapelle	w1728
<g/>
.
Außer	w1730
der	w1731
königl	w1732
<g/>
.
Tafel	w1734
waren	w1735
auch	w1736
vier	w1737
Mar=schallstafeln	w1738
<g/>
=
<g/>
,
und	w1741
zwey	w1742
in	w1743
der	w1744
Rose	w1745
<g/>
.
</p>
<p id="p26">
Die	w1747
hohe	w1748
Taufhandlung	w1749
geschahe	w1750
in	w1751
Jhrer	w1752
Majest	w1753
<g/>
.
der	w1755
Königin	w1756
<g/>
,
Schlafgemacht	w1758
<g/>
,
wohin	w1760
vorher	w1761
vom	w1762
Rosenburger	w1763
Schlosse	w1764
das	w1765
gol=dene	w1766
<g/>
=
Becken	w1768
und	w1769
die	w1770
goldene	w1771
Kanne	w1772
gebracht	w1773
waren	w1774
<g/>
,
worin	w1776
sich	w1777
das	w1778
Wasser	w1779
befand	w1780
<g/>
.
Se	w1782
<g/>
.
königl	w1784
<g/>
.
Hoheit	w1786
der	w1787
Kronprinz	w1788
<g/>
,
wurden	w1790
von	w1791
der	w1792
Frau	w1793
Oberhofmeisterin	w1794
zu	w1795
der	w1796
Königin	w1797
Ju=liana	w1798
<g/>
=
Maria	w1800
<g/>
,
um	w1802
Jhn	w1803
über	w1804
der	w1805
Taufe	w1806
zu	w1807
hal=ten	w1808
<g/>
=
<g/>
,
gebracht	w1811
<g/>
.
Jhro	w1813
Majest	w1814
<g/>
.
hatten	w1816
ein	w1817
Ge=wand	w1818
<g/>
=
um	w1820
von	w1821
Silberstück	w1822
<g/>
,
mit	w1824
goldenen	w1825
Fran=sen	w1826
<g/>
=
besetzt	w1828
<g/>
,
welches	w1830
auf	w1831
der	w1832
rechten	w1833
Schulter	w1834
fest	w1835
geheftet	w1836
war	w1837
<g/>
,
und	w1839
worin	w1840
der	w1841
Prinz	w1842
gelegt	w1843
