<doc id="wr_1757-10-26" attrs="word" year="1757" month="10" day="26" corpus="2">
<head id="h2_d190e3644">
Zarskoje=Selo	w1_d190e3648
Admiral	w15_d190e4083
Holbourne	w1_d190e4088
auf	w3_d190e4091
keine	w5_d190e4094
Weis	w7_d190e4097
den	w9_d190e4100
Angrif	w11_d190e4103
von	w13_d190e4107
Ludwigsburg	w1_d190e4113
unternehmen	w3_d190e4116
können,	w5_d190e4119
dieselbe	w7_d190e4122
</p>
<p id="p6_d190e4125">
Ordre	w1_d190e4129
haben,	w3_d190e4132
sich	w5_d190e4135
nach	w7_d190e4138
denen	w9_d190e4141
Jnsuln	w11_d190e4144
in	w13_d190e4148
West=indien	w1_d190e4153
mit	w3_d190e4156
ihrer	w5_d190e4159
Macht	w7_d190e4162
zu	w9_d190e4165
begeben,	w11_d190e4168
um	w1_d190e4173
auf	w3_d190e4176
jener	w5_d190e4179
Seite	w7_d190e4182
eine	w9_d190e4185
geheime	w11_d190e4188
Unterneh	w13_d190e4192
mung	w1_d190e4198
zu	w3_d190e4201
versuchen,	w5_d190e4204
wo	w7_d190e4207
man	w9_d190e4210
sagt,	w11_d190e4213
daß	w13_d190e4217
mehr	w15_d190e4220
Hofnung	w1_d190e4225
zu	w3_d190e4228
einem	w5_d190e4231
glücklichen	w7_d190e4234
Erfolg	w9_d190e4237
vor	w11_d190e4240
handen	w1_d190e4245
seye.	w3_d190e4248
Einige	w5_d190e4251
seit	w7_d190e4254
kurzer	w9_d190e4257
Zeit	w11_d190e4260
aus	w13_d190e4264
Nord=america	w1_d190e4269
angekommene	w3_d190e4272
Schif=capitains	w5_d190e4275
berichten,	w1_d190e4281
daß	w3_d190e4284
alda	w5_d190e4287
grosse	w7_d190e4290
Anstalten	w9_d190e4293
zu	w11_d190e4296
der	w13_d190e4300
vorhabenden	w1_d190e4305
Expedition	w3_d190e4308
gemacht	w5_d190e4311
wür	w7_d190e4314
den.	w1_d190e4319
</p>
<head id="h2_d190e4325">
Frankfort,	w1_d190e4329
9.	w3_d190e4332
Octob.	w5_d190e4335
.	w7_d190e4338
</head>
<p id="p4_d190e4341">
Diesen	w1_d190e4345
Nachmittag	w3_d190e4348
traffe	w5_d190e4351
der	w7_d190e4354
von	w9_d190e4357
der	w11_d190e4360
Preußischen	w1_d190e4365
Armee	w3_d190e4368
kommende	w5_d190e4371
Erb=prinz	w7_d190e4374
von	w9_d190e4377
Hessen=darmstadt	w1_d190e4382
allhier	w3_d190e4385
ein,	w5_d190e4388
und	w7_d190e4391
stiege	w9_d190e4394
in	w11_d190e4397
dem	w1_d190e4403
Gast	w3_d190e4406
hof	w5_d190e4409
zum	w7_d190e4412
schwarzen	w9_d190e4415
Bock	w11_d190e4418
ab	w13_d190e4422
</p>
<head id="h2_d190e4428">
Dünkirchen	w1_d190e4432
11	w3_d190e4435
October.	w5_d190e4438
</head>
<p id="p4_d190e4441">
Die	w1_d190e4445
Entfernung	w3_d190e4448
der	w5_d190e4451
Engländischen	w7_d190e4454
Flotte	w9_d190e4457
aus	w1_d190e4462
denen	w3_d190e4465
Gewässern	w5_d190e4468
von	w7_d190e4471
Rochelle	w9_d190e4474
wird	w11_d190e4477
bestättiget;	w1_d190e4482
und	w3_d190e4485
man	w5_d190e4488
füget	w7_d190e4491
hinzu,	w9_d190e4494
daß	w11_d190e4497
die	w13_d190e4501
selbe	w1_d190e4507
ihren	w3_d190e4510
Cours	w5_d190e4513
Ost=wärts	w7_d190e4516
genommen	w9_d190e4519
ha	w11_d190e4522
be,	w1_d190e4527
so,	w3_d190e4530
daß	w5_d190e4533
man	w7_d190e4536
gar	w9_d190e4539
nicht	w11_d190e4542
zweisle	w13_d190e4546
daß	w15_d190e4549
selbe	w17_d190e4552
nacher	w1_d190e4557
England	w3_d190e4560
zuruck	w5_d190e4563
gekehret	w7_d190e4566
seye	w9_d190e4569
</p>
<p id="p6_d190e4572">
So	w1_d190e4576
viel	w3_d190e4579
ist	w5_d190e4582
wahrscheinlich,	w7_d190e4585
daß	w9_d190e4588
die	w11_d190e4591
späte	w13_d190e4595
Jahrs=zeit	w1_d190e4600
dieselbe	w3_d190e4603
abgehalten	w5_d190e4606
habe,	w7_d190e4609
nach	w9_d190e4612
</p>
<p id="p12_d190e4626">
dem	w1_d190e4630
formirten	w3_d190e4633
Project	w5_d190e4636
zu	w7_d190e4639
agiren,	w9_d190e4642
weil	w11_d190e4645
de	w13_d190e4649
nen	w1_d190e4654
weiteren	w3_d190e4657
Nachrichten	w5_d190e4660
gemäß	w7_d190e4663
diese	w9_d190e4666
ganze	w11_d190e4669
Flotte	w1_d190e4674
den	w3_d190e4677
7ten	w5_d190e4680
Abends	w7_d190e4683
wieder	w9_d190e4686
auf	w11_d190e4689
der	w13_d190e4693
Rhede	w1_d190e4699
von	w3_d190e4702
Spithead	w5_d190e4705
würklich	w7_d190e4708
gesehen	w9_d190e4711
wor	w11_d190e4714
den	w1_d190e4719
ist.	w3_d190e4722
</p>
<head id="h2_d190e4729">
Hamburg	w1_d190e4733
17.	w3_d190e4736
October.	w5_d190e4739
</head>
<p id="p4_d190e4742">
Die	w1_d190e4746
Neuigkeiten	w3_d190e4749
aus	w5_d190e4752
/	w7_d190e4755
Pommern	w9_d190e4758
enthalten	w11_d190e4761
noch	w1_d190e4766
nichtes	w3_d190e4769
von	w5_d190e4772
besondern	w7_d190e4775
Vorfällen.	w9_d190e4778
Sie	w11_d190e4781
melden	w1_d190e4786
bloß	w3_d190e4789
dieses,	w5_d190e4792
daß	w7_d190e4795
den	w9_d190e4798
9.	w11_d190e4801
der	w13_d190e4805
Herr	w15_d190e4808
Feld	w17_d190e4811
marschal	w1_d190e4817
Ungern	w3_d190e4820
Sternberg	w5_d190e4823
bey	w7_d190e4826
der	w9_d190e4829
Armee	w11_d190e4832
hinter	w1_d190e4837
Anclam	w3_d190e4840
angelangt	w5_d190e4843
seye,	w7_d190e4846
daß	w9_d190e4849
die	w11_d190e4852
Schwe	w13_d190e4856
dischen	w1_d190e4861
Trupen	w3_d190e4864
die	w5_d190e4867
Ukermark	w7_d190e4870
in	w9_d190e4873
Contribution	w11_d190e4876
gesetzet,	w1_d190e4881
und	w3_d190e4884
daß	w5_d190e4887
ehestens	w7_d190e4890
von	w9_d190e4893
der	w11_d190e4896
Seite	w13_d190e4900
von	w15_d190e4903
Pasewalk	w1_d190e4909
ein	w3_d190e4912
starkes	w5_d190e4915
Corpo	w7_d190e4918
bis	w9_d190e4921
in	w11_d190e4924
die	w13_d190e4928
Gegen	w15_d190e4931
den	w1_d190e4936
von	w3_d190e4939
Berlin	w5_d190e4942
vorrücken	w7_d190e4945
dörfte.	w9_d190e4948
Eines	w11_d190e4951
von	w13_d190e4955
denen	w1_d190e4960
Schwedischen	w3_d190e4963
Transport=schiffen,	w5_d190e4966
wel	w7_d190e4969
ches	w1_d190e4974
25.	w3_d190e4977
Mann	w5_d190e4980
und	w7_d190e4983
40	w9_d190e4986
Pferde	w11_d190e4989
am	w13_d190e4993
Bord	w15_d190e4996
hat	w17_d190e4999
te,	w1_d190e5005
strandete	w3_d190e5008
bey	w5_d190e5011
der	w7_d190e5014
Jnsul	w9_d190e5017
Oeland,	w11_d190e5020
die	w13_d190e5024
Mann	w15_d190e5027
schaft	w1_d190e5032
aber	w3_d190e5035
und	w5_d190e5038
38.	w7_d190e5041
Pferde,	w9_d190e5044
wiewol	w11_d190e5047
diese	w13_d190e5051
letz	w15_d190e5054
tern	w1_d190e5059
übel	w3_d190e5062
zugerichtet,	w5_d190e5065
wurden	w7_d190e5068
gerettet.	w9_d190e5071
Jn	w11_d190e5074
Anclam	w1_d190e5079
fand	w3_d190e5082
man	w5_d190e5085
ausser	w7_d190e5088
14.	w9_d190e5091
Canonen	w11_d190e5094
und	w13_d190e5098
2.	w15_d190e5101
Mörsern	w1_d190e5107
ein	w3_d190e5110
Magazin	w5_d190e5113
von	w7_d190e5116
36000.	w9_d190e5119
Pf.	w11_d190e5122
Mehl,	w13_d190e5126
ein	w1_d190e5131
anders	w3_d190e5134
von	w5_d190e5137
800.	w7_d190e5140
Centner	w9_d190e5143
Heu	w11_d190e5146
und	w13_d190e5150
27.	w15_d190e5153
Fahr=zeuge	w1_d190e5158
von	w3_d190e5161
8.	w5_d190e5164
bis	w7_d190e5167
60.	w9_d190e5170
Lasten,	w11_d190e5173
die	w13_d190e5177
mit	w15_d190e5180
Haber,	w1_d190e5185
Rocken	w3_d190e5188
und	w5_d190e5191
Gerste	w7_d190e5194
beladen	w9_d190e5197
waren.	w11_d190e5200
Von	w1_d190e5206
Schweinemünde	w3_d190e5209
retirirten	w5_d190e5212
sich	w7_d190e5215
die	w9_d190e5218
Preus	w11_d190e5221
sische	w1_d190e5226
Trupen	w3_d190e5229
noch	w5_d190e5232
zu	w7_d190e5235
rechter	w9_d190e5238
Zeit,	w11_d190e5241
salvirten	w13_d190e5245
3.	w1_d190e5250
Feld=stücke,	w3_d190e5253
musten	w5_d190e5256
aber	w7_d190e5259
die	w9_d190e5262
grobe	w11_d190e5265
Artillerie	w13_d190e5269
nebst	w1_d190e5274
einem	w3_d190e5277
Theil	w5_d190e5280
der	w7_d190e5283
Ammunition	w9_d190e5286
in	w11_d190e5289
Schwe	w13_d190e5293
dischen	w1_d190e5299
Händen	w3_d190e5302
lassen.	w5_d190e5305
Die	w7_d190e5308
bey	w9_d190e5311
Wolin	w11_d190e5314
an	w13_d190e5318
gelegte	w1_d190e5323
Preußische	w3_d190e5326
Batterien	w5_d190e5329
und	w7_d190e5332
Verschan	w9_d190e5335
zungen	w1_d190e5340
sind	w3_d190e5343
durch	w5_d190e5346
den	w7_d190e5349
Schwedischen	w9_d190e5352
Major	w11_d190e5355
Döritz,	w1_d190e5360
seiner	w3_d190e5363
Ordre	w5_d190e5366
gemäß,	w7_d190e5369
zerstöhret	w9_d190e5372
worden.	w11_d190e5375
</p>
<head id="h2_d190e5381">
Wolfenbuttel	w1_d190e5385
18.	w3_d190e5388
Octob.	w5_d190e5391
</head>
<p id="p4_d190e5394">
Die	w1_d190e5398
Französische	w3_d190e5401
Armee	w5_d190e5404
unter	w7_d190e5407
dem	w9_d190e5410
Com	w11_d190e5413
mando	w1_d190e5418
des	w3_d190e5421
Herzogs	w5_d190e5424
von	w7_d190e5427
Richelieu,	w9_d190e5430
liget	w11_d190e5433
denen	w1_d190e5438
Nachrichten	w3_d190e5441
aus	w5_d190e5444
Halberstadt	w7_d190e5447
vom	w9_d190e5450
12.	w11_d190e5453
zufolge,	w1_d190e5459
um	w3_d190e5462
diese	w5_d190e5465
Stadt	w7_d190e5468
gleichsam	w9_d190e5471
in	w11_d190e5474
einem	w13_d190e5478
halben	w1_d190e5483
Cirkel.	w3_d190e5486
Das	w5_d190e5489
Corpo	w7_d190e5492
des	w9_d190e5495
Herzogs	w11_d190e5498
von	w13_d190e5502
Chevreuse	w1_d190e5507
stehet	w3_d190e5510
einige	w5_d190e5513
Meilen	w7_d190e5516
vorwärts	w9_d190e5519
nach	w11_d190e5522
Magdeburg	w1_d190e5527
bey	w3_d190e5530
Heimersleben,	w5_d190e5533
und	w7_d190e5536
die	w9_d190e5539
bey	w11_d190e5542
derseitigen	w1_d190e5548
Vor=posten	w3_d190e5551
sind	w5_d190e5554
kaum	w7_d190e5557
2.	w9_d190e5560
Stunden	w11_d190e5563
von	w1_d190e5568
einander,	w3_d190e5571
folglich	w5_d190e5574
fehlt	w7_d190e5577
es	w9_d190e5580
niemalen	w11_d190e5583
an	w13_d190e5587
kleinen	w1_d190e5592
Scharmützeln.	w3_d190e5595
Der	w5_d190e5598
Herzog	w7_d190e5601
Ferdi	w9_d190e5604
nand	w1_d190e5609
von	w3_d190e5612
Braunschweig	w5_d190e5615
befindet	w7_d190e5618
sich	w9_d190e5621
noch	w11_d190e5624
immer	w1_d190e5630
mit	w3_d190e5633
seinem	w5_d190e5636
Corpo	w7_d190e5639
in	w9_d190e5642
einem	w11_d190e5645
ungemein	w13_d190e5649
verschanzten	w1_d190e5654
Lager	w3_d190e5657
bey	w5_d190e5660
Wanensleben.	w7_d190e5663
Jndes	w9_d190e5666
sen	w1_d190e5671
werden	w3_d190e5674
Französischer	w5_d190e5677
Seits	w7_d190e5680
schon	w9_d190e5683
Anstal	w11_d190e5686
ten	w1_d190e5691
zur	w3_d190e5694
Beziehung	w5_d190e5697
der	w7_d190e5700
Winter=quartiere	w9_d190e5703
ge	w11_d190e5706
macht.	w1_d190e5712
Die	w3_d190e5715
rauhe	w5_d190e5718
Witterung	w7_d190e5721
und	w9_d190e5724
die	w11_d190e5727
star	w13_d190e5731
</p>
<p id="p6_d190e5734">
ken	w1_d190e5738
Märsche	w3_d190e5741
welche	w5_d190e5744
die	w7_d190e5747
Französsche	w9_d190e5750
Tuyn	w11_d190e5753
gemacht	w1_d190e5758
haben,	w3_d190e5761
veranlassen	w5_d190e5764
vornehmlich	w7_d190e5767
den	w9_d190e5770
Beschluß	w1_d190e5775
dieser	w3_d190e5778
Campagne.	w5_d190e5781
Jm	w7_d190e5784
Haupt	w9_d190e5787
quartier	w1_d190e5793
des	w3_d190e5796
Hrn.	w5_d190e5799
Marschals	w7_d190e5802
befindet	w9_d190e5805
sich	w11_d190e5808
der	w13_d190e5812
Graf	w1_d190e5817
v.	w3_d190e5820
Lynar	w5_d190e5823
noch	w7_d190e5826
immer,	w9_d190e5829
von	w11_d190e5832
wannen	w13_d190e5836
nach	w15_d190e5839
Wien	w1_d190e5844
u.	w3_d190e5847
Paris	w5_d190e5850
viele	w7_d190e5853
Curiers	w9_d190e5856
abgehen;	w11_d190e5859
es	w13_d190e5863
wer	w15_d190e5866
den	w1_d190e5871
auch	w3_d190e5874
für	w5_d190e5877
die	w7_d190e5880
Französische	w9_d190e5883
Trupen	w11_d190e5886
im	w13_d190e5890
Pa	w15_d190e5893
derbornischen	w1_d190e5899
und	w3_d190e5902
Osnabrückischen	w5_d190e5905
zu	w7_d190e5908
denen	w9_d190e5911
Winter=quartieren	w1_d190e5916
viele	w3_d190e5919
Oefen	w5_d190e5922
errichtet.	w7_d190e5925
</p>
<p id="p8_d190e5928">
Der	w1_d190e5932
gröste	w3_d190e5935
Theil	w5_d190e5938
der	w7_d190e5941
Reichs	w9_d190e5944
und	w11_d190e5947
Franzö	w13_d190e5951
sischen	w1_d190e5956
Armee	w3_d190e5959
hat	w5_d190e5962
nunmehro	w7_d190e5965
in	w9_d190e5968
der	w11_d190e5971
Gegend	w13_d190e5975
von	w1_d190e5980
Langensalza,	w3_d190e5983
und	w5_d190e5986
zwar	w7_d190e5989
von	w9_d190e5992
Henschleben	w11_d190e5995
bis	w1_d190e6001
Herbsleben	w3_d190e6004
ein	w5_d190e6007
Lager	w7_d190e6010
bezogen.	w9_d190e6013
Die	w11_d190e6016
Preus	w13_d190e6020
sische	w1_d190e6025
Trupen	w3_d190e6028
stehen,	w5_d190e6031
ohne	w7_d190e6034
besondere	w9_d190e6037
Bewe	w11_d190e6040
gung	w1_d190e6045
zu	w3_d190e6048
machen,	w5_d190e6051
bey	w7_d190e6054
Buttelstadt.	w9_d190e6057
Nach	w11_d190e6060
Wei	w13_d190e6064
mar	w1_d190e6069
ist	w3_d190e6072
ein	w5_d190e6075
starkes	w7_d190e6078
Corpo	w9_d190e6081
leichter	w11_d190e6084
Trupen	w13_d190e6088
ab	w15_d190e6091
marschiret,	w1_d190e6097
und	w3_d190e6100
in	w5_d190e6103
dasiger	w7_d190e6106
Gegend	w9_d190e6109
so	w11_d190e6112
wie	w13_d190e6116
bey	w15_d190e6119
Großmölzen	w1_d190e6124
und	w3_d190e6127
Kerspleben	w5_d190e6130
sind	w7_d190e6133
den	w9_d190e6136
3.	w11_d190e6139
6.	w13_d190e6143
und	w15_d190e6146
10.	w1_d190e6151
starke	w3_d190e6154
Scharmützel	w5_d190e6157
vorgefallen,	w7_d190e6160
welche	w9_d190e6163
jedoch	w1_d190e6168
keinen	w3_d190e6171
besondern	w5_d190e6174
Ausschlag	w7_d190e6177
gegeben.	w9_d190e6180
Den	w1_d190e6186
10.	w3_d190e6189
Nachmittags	w5_d190e6192
um	w7_d190e6195
3.	w9_d190e6198
Uhr	w11_d190e6201
sind	w13_d190e6205
die	w15_d190e6208
im	w17_d190e6211
Lager	w1_d190e6216
bey	w3_d190e6219
Eisenach	w5_d190e6222
zurück=gebliebene	w7_d190e6225
2.	w9_d190e6228
Frän	w11_d190e6231
kische	w1_d190e6236
Regimenter	w3_d190e6239
Ferentheil	w5_d190e6242
und	w7_d190e6245
Varell	w9_d190e6248
in	w11_d190e6251
Gotha	w1_d190e6256
eingerückt,	w3_d190e6259
und	w5_d190e6262
von	w7_d190e6265
Eisenach	w9_d190e6268
gehen	w11_d190e6271
beständig	w1_d190e6277
Proviant=fuhren	w3_d190e6280
zur	w5_d190e6283
Armee	w7_d190e6286
ab.	w9_d190e6289
</p>
<head id="h2_d190e6295">
Königsberg	w1_d190e6299
6.	w3_d190e6302
Oct.	w5_d190e6305
</head>
<p id="p4_d190e6308">
Nachdem	w1_d190e6312
die	w3_d190e6315
Rußische	w5_d190e6318
Armee	w7_d190e6321
die	w9_d190e6324
Stadt	w11_d190e6327
Tilsit	w1_d190e6332
verlassen,	w3_d190e6335
und	w5_d190e6338
den	w7_d190e6341
Memel=strom	w9_d190e6344
paßi	w11_d190e6347
ret	w1_d190e6352
hat;	w3_d190e6355
so	w5_d190e6358
seynd	w7_d190e6361
von	w9_d190e6364
unserer	w11_d190e6367
Armee	w13_d190e6371
4.	w15_d190e6374
Bat	w17_d190e6377
taillonen	w1_d190e6383
mit	w3_d190e6386
der	w5_d190e6389
schweren	w7_d190e6392
Artillerie	w9_d190e6395
in	w11_d190e6398
der	w13_d190e6402
Nacht	w1_d190e6407
vom	w3_d190e6410
29.	w5_d190e6413
Sept.	w7_d190e6416
zu	w9_d190e6419
Tilsit	w11_d190e6422
eingerücket,	w13_d190e6426
und	w1_d190e6431
wurden	w3_d190e6434
gleich	w5_d190e6437
einige	w7_d190e6440
Batterien	w9_d190e6443
gegen	w11_d190e6446
die	w13_d190e6450
feindliche	w1_d190e6455
Armee,	w3_d190e6458
so	w5_d190e6461
jenseit	w7_d190e6464
des	w9_d190e6467
Memel=stroms	w11_d190e6470
campirte,	w1_d190e6476
und	w3_d190e6479
8.	w5_d190e6482
Canonen	w7_d190e6485
auf	w9_d190e6488
die	w11_d190e6491
Stadt	w13_d190e6495
gerichtet	w1_d190e6500
hatte,	w3_d190e6503
angelegt.	w5_d190e6506
Man	w7_d190e6509
wollte	w9_d190e6512
dis	w11_d190e6515
seits	w1_d190e6520
auf	w3_d190e6523
den	w5_d190e6526
Feind	w7_d190e6529
nicht	w9_d190e6532
feuren,	w11_d190e6535
theils	w13_d190e6539
um	w15_d190e6542
die	w1_d190e6547
Stadt	w3_d190e6550
zu	w5_d190e6553
schonen;	w7_d190e6556
theils	w9_d190e6559
um	w11_d190e6562
einen	w13_d190e6566
Trom	w15_d190e6569
peter	w1_d190e6575
abzuwarten,	w3_d190e6578
welchen	w5_d190e6581
des	w7_d190e6584
Herrn	w9_d190e6587
Feld	w11_d190e6590
marschalls	w1_d190e6595
Excellenz	w3_d190e6598
in	w5_d190e6601
das	w7_d190e6604
feindliche	w9_d190e6607
Lager	w11_d190e6610
wegen	w1_d190e6615
Auswechslung	w3_d190e6618
derer	w5_d190e6621
Gefangenen,	w7_d190e6624
Vor	w9_d190e6627
stellung	w1_d190e6632
zu	w3_d190e6635
thun,	w5_d190e6638
abgeschickt	w7_d190e6641
hatten.	w9_d190e6644
Da	w11_d190e6647
aber	w13_d190e6651
die	w1_d190e6657
Russen	w3_d190e6660
den	w5_d190e6663
ersten	w7_d190e6666
Canonen=schuß	w9_d190e6669
thaten,	w11_d190e6672
so	w1_d190e6677
ward	w3_d190e6680
solcher	w5_d190e6683
von	w7_d190e6686
unserer	w9_d190e6689
Artillerie	w11_d190e6692
mit	w13_d190e6696
so	w15_d190e6699
guter	w1_d190e6704
Würkung	w3_d190e6707
beant	w5_d190e6710
wortet,	w7_d190e6713
daß	w9_d190e6716
gleich	w11_d190e6719
mehr	w13_d190e6723
als	w1_d190e6728
50.	w3_d190e6731
Mann	w5_d190e6734
getödtet,	w7_d190e6737
und	w9_d190e6740
viele	w11_d190e6743
Zelter	w13_d190e6747
über	w1_d190e6753
den	w3_d190e6756
Hauffen	w5_d190e6759
geworfen	w7_d190e6762
wurden.	w9_d190e6765
Das	w11_d190e6768
Feuern	w1_d190e6773
ward	w3_d190e6776
v.	w5_d190e6779
beyden	w7_d190e6782
Seiten	w9_d190e6785
bey	w11_d190e6788
4.	w13_d190e6792
Stun	w15_d190e6795
den	w1_d190e6800
lang	w3_d190e6803
fortgesetzet,	w5_d190e6806
und	w7_d190e6809
der	w9_d190e6812
Feind	w11_d190e6815
warf	w13_d190e6819
vie	w15_d190e6822
le	w1_d190e6827
Bomben	w3_d190e6830
und	w5_d190e6833
Granaten	w7_d190e6836
in	w9_d190e6839
die	w11_d190e6842
Stadt,	w13_d190e6846
welche	w1_d190e6852
aber	w3_d190e6855
nichts	w5_d190e6858
als	w7_d190e6861
einige	w9_d190e6864
Dach=pfannen	w11_d190e6867
</p>
<p id="p10_d190e6880">
und	w1_d190e6884
Fenster=scheiben	w3_d190e6887
ruinirten,	w5_d190e6890
und	w7_d190e6893
einen	w9_d190e6896
Ca	w11_d190e6899
nonier	w1_d190e6904
verwundeten.	w3_d190e6907
Die	w5_d190e6910
feindliche	w7_d190e6913
Armee	w9_d190e6916
decampirte	w1_d190e6921
hierauf	w3_d190e6924
nach	w5_d190e6927
der	w7_d190e6930
Gegend	w9_d190e6933
von	w11_d190e6936
Memel,	w1_d190e6942
ohne	w3_d190e6945
weiter	w5_d190e6948
etwas	w7_d190e6951
zu	w9_d190e6954
unternehmen,	w11_d190e6957
als	w1_d190e6962
daß	w3_d190e6965
sie	w5_d190e6968
wieder	w7_d190e6971
verschiedene	w9_d190e6974
Dörfer	w11_d190e6977
ab	w13_d190e6981
brennen	w1_d190e6986
ließ.	w3_d190e6989
Unser	w5_d190e6992
Trompeter	w7_d190e6995
kam	w9_d190e6998
nicht	w11_d190e7001
wieder	w1_d190e7006
zurück,	w3_d190e7009
sondern	w5_d190e7012
die	w7_d190e7015
Russen	w9_d190e7018
schickten	w11_d190e7021
dessen	w1_d190e7027
Trompete	w3_d190e7030
durch	w5_d190e7033
einen	w7_d190e7036
Bauer,	w9_d190e7039
mit	w11_d190e7042
ei	w13_d190e7046
nem	w1_d190e7051
von	w3_d190e7054
niemanden	w5_d190e7057
unterschriebenen	w7_d190e7060
Zettul,	w9_d190e7063
des	w1_d190e7068
Jnnhalts:	w3_d190e7071
daß	w5_d190e7074
der	w7_d190e7077
Trompeter	w9_d190e7080
von	w11_d190e7083
uns	w13_d190e7087
selbst	w1_d190e7092
erschossen	w3_d190e7095
worden	w5_d190e7098
sey,	w7_d190e7101
und	w9_d190e7104
weil	w11_d190e7107
wir	w13_d190e7111
die	w1_d190e7117
Canonade	w3_d190e7120
angefangen,	w5_d190e7123
wir	w7_d190e7126
uns	w9_d190e7129
der	w11_d190e7132
Ant	w13_d190e7136
wort	w1_d190e7141
verlustig	w3_d190e7144
gemacht	w5_d190e7147
hätten.	w7_d190e7150
</p>
<head id="h2_d190e7156">
Leipzig	w1_d190e7160
10.	w3_d190e7163
October.	w5_d190e7166
</head>
<p id="p4_d190e7169">
Den	w1_d190e7173
5.	w3_d190e7176
dieses	w5_d190e7179
ist	w7_d190e7182
der	w9_d190e7185
Prinz	w11_d190e7188
Moritz	w13_d190e7192
von	w15_d190e7195
Anhalt=Dessau,	w1_d190e7200
mit	w3_d190e7203
seinem	w5_d190e7206
unterhabenden	w7_d190e7209
Corps	w1_d190e7214
von	w3_d190e7217
hier	w5_d190e7220
abmarschieret,	w7_d190e7223
ohne	w9_d190e7226
daß	w11_d190e7229
man	w13_d190e7233
weiß	w1_d190e7239
wohin,	w3_d190e7242
zumalen	w5_d190e7245
da	w7_d190e7248
bey	w9_d190e7251
Naumburg	w11_d190e7254
die	w13_d190e7258
Kaiserl.	w1_d190e7263
Königl.	w3_d190e7266
Trupen	w5_d190e7269
sich	w7_d190e7272
noch	w9_d190e7275
in	w11_d190e7278
grosser	w13_d190e7282
Anzahl	w1_d190e7287
