<doc id="wr_1756-01-31" attrs="word" year="1756" month="01" day="31" corpus="2">
<head id="h2_d9e2606">
Belem	w1_d9e2610
Vertrauen	w7_d9e3264
stelle,	w9_d9e3267
mich	w11_d9e3270
in	w13_d9e3274
den	w1_d9e3279
Stand	w3_d9e3282
setzen	w5_d9e3285
wird,	w7_d9e3288
ihnen,	w9_d9e3291
die	w11_d9e3294
Wür	w13_d9e3298
ckungen	w1_d9e3303
meines	w3_d9e3306
guten	w5_d9e3309
Willens	w7_d9e3312
Werk=thätig	w9_d9e3315
zu	w1_d9e3321
zeigen	w3_d9e3324
</p>
<head id="h2_d9e3404">
Aus	w1_d9e3408
Spanien.	w3_d9e3411
Madrid	w1_d9e3416
29.	w3_d9e3419
Dec.	w5_d9e3422
1.	w7_d9e3425
755.	w1_d9e3430
</head>
<p id="p4_d9e3433">
Man	w1_d9e3437
hat	w3_d9e3440
aus	w5_d9e3443
Africa	w7_d9e3446
noch	w9_d9e3449
folgende	w11_d9e3452
Um	w13_d9e3456
stände	w1_d9e3461
von	w3_d9e3464
dem	w5_d9e3467
Erd=beben	w7_d9e3470
erhalten.	w9_d9e3473
Den	w11_d9e3476
1.	w13_d9e3480
Nov.	w1_d9e3485
hat	w3_d9e3488
man	w5_d9e3491
zu	w7_d9e3494
Marecco	w9_d9e3497
um	w11_d9e3500
selbige	w13_d9e3504
Stun	w15_d9e3507
de,	w1_d9e3513
wie	w3_d9e3516
in	w5_d9e3519
Spanien,	w7_d9e3522
das	w9_d9e3525
Erd=heben	w11_d9e3528
ver	w13_d9e3532
spühret;	w1_d9e3537
der	w3_d9e3540
mehreste	w5_d9e3543
Theil	w7_d9e3546
deren	w9_d9e3549
Häuser	w11_d9e3552
und	w1_d9e3557
offentlichen	w3_d9e3560
Gebäuden	w5_d9e3563
der	w7_d9e3566
Stadt	w9_d9e3569
ist	w11_d9e3572
beschädiget,	w1_d9e3577
und	w3_d9e3580
eine	w5_d9e3583
grosse	w7_d9e3586
Anzahl	w9_d9e3589
de	w11_d9e3592
ren	w1_d9e3598
Einwohnern	w3_d9e3601
unter	w5_d9e3604
denen	w7_d9e3607
Ruinen	w9_d9e3610
begra	w11_d9e3613
ben	w1_d9e3618
worden.	w3_d9e3621
Die	w5_d9e3624
Anzahl	w7_d9e3627
deren	w9_d9e3630
gebliebenen	w11_d9e3633
Personen	w1_d9e3638
läßt	w3_d9e3641
sich	w5_d9e3644
noch	w7_d9e3647
nicht	w9_d9e3650
feststellen,	w11_d9e3653
ob	w13_d9e3657
schenzeinige	w1_d9e3662
solche	w3_d9e3665
auf	w5_d9e3668
einige	w7_d9e3671
tausend	w9_d9e3674
schätzen.	w11_d9e3677
Jn	w1_d9e3683
denen	w3_d9e3686
Städten	w5_d9e3689
Saffi	w7_d9e3692
und	w9_d9e3695
St.	w11_d9e3698
Croiz	w13_d9e3702
seynd	w1_d9e3707
viele	w3_d9e3710
Häuser	w5_d9e3713
und	w7_d9e3716
Gebäude	w9_d9e3719
eingefallen,	w11_d9e3722
wodurch	w1_d9e3727
viele	w3_d9e3730
Menschen	w5_d9e3733
zerschmettert	w7_d9e3736
wor	w9_d9e3739
den.	w1_d9e3744
Das	w3_d9e3747
Meer	w5_d9e3750
hat	w7_d9e3753
sich	w9_d9e3756
zuruck	w11_d9e3759
gezogen,	w13_d9e3763
und	w15_d9e3766
hernach	w1_d9e3772
so	w3_d9e3775
hoch	w5_d9e3778
erhoben,	w7_d9e3781
dergleichen	w9_d9e3784
in	w11_d9e3787
der	w13_d9e3791
Historie	w1_d9e3796
kein	w3_d9e3799
Beyspiel	w5_d9e3802
zu	w7_d9e3805
finden;	w9_d9e3808
es	w11_d9e3811
hat	w13_d9e3815
de	w15_d9e3818
nen	w1_d9e3823
Schiffen	w3_d9e3826
einen	w5_d9e3829
merklichen	w7_d9e3832
Schaden	w9_d9e3835
zu	w11_d9e3838
gefüget,	w1_d9e3843
so	w3_d9e3846
in	w5_d9e3849
einem	w7_d9e3852
und	w9_d9e3855
andern	w11_d9e3858
Hafen	w13_d9e3862
wa	w15_d9e3865
ren,	w1_d9e3871
es	w3_d9e3874
hat	w5_d9e3877
auch	w7_d9e3880
alle	w9_d9e3883
Gegenden	w11_d9e3886
der	w13_d9e3890
Küste	w15_d9e3893
mit	w1_d9e3898
verschiedenen	w3_d9e3901
Trümmern	w5_d9e3904
angefüllet,	w7_d9e3907
wel	w9_d9e3910
che	w1_d9e3915
es	w3_d9e3918
weit	w5_d9e3921
auf	w7_d9e3924
das	w9_d9e3927
Land	w11_d9e3930
geworfen,	w13_d9e3934
samt	w15_d9e3937
einer	w1_d9e3942
sehr	w3_d9e3945
grossen	w5_d9e3948
Menge	w7_d9e3951
Fische.	w9_d9e3954
Von	w11_d9e3957
Te	w13_d9e3961
tuan	w1_d9e3967
wird	w3_d9e3970
gemeldet,	w5_d9e3973
daß	w7_d9e3976
man	w9_d9e3979
den	w11_d9e3982
18.	w13_d9e3986
No	w15_d9e3989
vember	w1_d9e3994
Abends	w3_d9e3997
um	w5_d9e4000
10.	w7_d9e4003
Uhr	w9_d9e4006
vier	w11_d9e4009
Minuten	w13_d9e4013
lang	w1_d9e4018
daselbst	w3_d9e4021
und	w5_d9e4024
in	w7_d9e4027
denen	w9_d9e4030
benachbarten	w11_d9e4033
Völ	w13_d9e4037
kerschaften,	w1_d9e4042
ein	w3_d9e4045
zweytes	w5_d9e4048
Erd=heben,	w7_d9e4051
so	w9_d9e4054
stark	w11_d9e4057
wie	w1_d9e4063
am	w3_d9e4066
ersten	w5_d9e4069
Dito	w7_d9e4072
verspühret,	w9_d9e4075
so	w11_d9e4078
bis	w13_d9e4082
des	w15_d9e4085
andern	w1_d9e4090
Tags	w3_d9e4093
Nachmittag	w5_d9e4096
fortgedauret	w7_d9e4099
habe,	w9_d9e4102
jedoch	w1_d9e4107
nicht	w3_d9e4110
so	w5_d9e4113
heftig;	w7_d9e4116
allein	w9_d9e4119
den	w11_d9e4122
20.	w13_d9e4126
Nachts	w15_d9e4129
um	w1_d9e4134
2.	w3_d9e4137
Uhr,	w5_d9e4140
sodann	w7_d9e4143
um	w9_d9e4146
5.	w11_d9e4149
Uhr	w13_d9e4153
Morgens,	w15_d9e4156
wie	w1_d9e4162
auch	w3_d9e4165
auf	w5_d9e4168
den	w7_d9e4171
Mittag	w9_d9e4174
hat	w11_d9e4177
es	w13_d9e4181
wieder	w15_d9e4184
mit	w17_d9e4187
solcher	w1_d9e4192
Gewalt	w3_d9e4195
wie	w5_d9e4198
am	w7_d9e4201
ersten	w9_d9e4204
Nov	w11_d9e4207
ange	w13_d9e4211
</p>
<p id="p10_d9e4224">
fangen,	w1_d9e4228
zu	w3_d9e4231
wüten;	w5_d9e4234
alle	w7_d9e4237
Einwohner	w9_d9e4240
haben	w11_d9e4243
sich	w1_d9e4248
auf	w3_d9e4251
das	w5_d9e4254
Land	w7_d9e4257
salviret,	w9_d9e4260
wo	w11_d9e4263
sie	w13_d9e4267
sich	w15_d9e4270
noch	w17_d9e4273
den	w1_d9e4278
24.	w3_d9e4281
Nov.	w5_d9e4284
bey	w7_d9e4287
Abgang	w9_d9e4290
derer	w11_d9e4293
Briefen	w13_d9e4297
in	w15_d9e4300
unbeschreiblicher	w1_d9e4306
Bestürzung	w3_d9e4309
befunden.	w5_d9e4312
Die	w7_d9e4315
ses	w1_d9e4320
Erd=beben	w3_d9e4323
hat	w5_d9e4326
sich	w7_d9e4329
auch	w9_d9e4332
zu	w11_d9e4335
Tanger	w13_d9e4339
spüh	w15_d9e4342
ren	w1_d9e4347
lassen,	w3_d9e4350
woselbst	w5_d9e4353
die	w7_d9e4356
Erschütterungen	w9_d9e4359
von	w11_d9e4362
Zeit	w1_d9e4367
zu	w3_d9e4370
Zeit	w5_d9e4373
gelinder	w7_d9e4376
oder	w9_d9e4379
stärker	w11_d9e4382
gewesen.	w13_d9e4386
Man	w1_d9e4392
hat	w3_d9e4395
alda	w5_d9e4398
bemerket,	w7_d9e4401
daß	w9_d9e4404
24.	w11_d9e4407
Stunden	w13_d9e4411
lang	w1_d9e4416
sich	w3_d9e4419
das	w5_d9e4422
Wasser	w7_d9e4425
verloren,	w9_d9e4428
und	w11_d9e4431
alle	w13_d9e4435
Spring=brünnen	w1_d9e4440
trocken	w3_d9e4443
geblieben.	w5_d9e4446
</p>
<head id="h2_d9e4452">
Aus	w1_d9e4456
Jtalien.	w3_d9e4459
Rom	w1_d9e4464
3.	w3_d9e4467
Jan.	w5_d9e4470
</head>
<p id="p4_d9e4473">
Aus	w1_d9e4477
Neapel	w3_d9e4480
ist	w5_d9e4483
der	w7_d9e4486
Prinz	w9_d9e4489
von	w11_d9e4492
Belvedere	w13_d9e4496
Caraffa,	w1_d9e4501
ein	w3_d9e4504
Vetter	w5_d9e4507
des	w7_d9e4510
verstorbenen	w9_d9e4513
Car	w11_d9e4516
dinals	w1_d9e4521
dieses	w3_d9e4524
Namens	w5_d9e4527
angekommen,	w7_d9e4530
um	w9_d9e4533
dessen	w1_d9e4539
hinterlassene	w3_d9e4542
Erbschaft	w5_d9e4545
in	w7_d9e4548
Besitz	w9_d9e4551
zu	w11_d9e4554
nehmen.	w1_d9e4559
Der	w3_d9e4562
Cardinal	w5_d9e4565
Fertoni	w7_d9e4568
war	w9_d9e4571
vorige	w11_d9e4574
Woche	w1_d9e4579
stark	w3_d9e4582
mit	w5_d9e4585
einem	w7_d9e4588
Fieber	w9_d9e4591
behaftet.	w11_d9e4594
Am	w13_d9e4598
Montag	w1_d9e4603
Abends	w3_d9e4606
kam	w5_d9e4609
ein	w7_d9e4612
ausserordentlicher	w9_d9e4615
Currier	w1_d9e4621
aus	w3_d9e4624
Paris	w5_d9e4627
bey	w7_d9e4630
dem	w9_d9e4633
Französischen	w11_d9e4636
Bottschafter	w1_d9e4641
an,	w3_d9e4644
der	w5_d9e4647
dessen	w7_d9e4650
mitgebrachte	w9_d9e4653
Briefschaften	w1_d9e4658
des	w3_d9e4661
Morgens	w5_d9e4664
darauf	w7_d9e4667
in	w9_d9e4670
einer	w11_d9e4673
Audienz	w1_d9e4678
Sr.	w3_d9e4681
Päpssl.	w5_d9e4684
Heiligkeit	w7_d9e4687
überreichte.	w9_d9e4690
Am	w1_d9e4696
Montag	w3_d9e4699
hielten	w5_d9e4702
die	w7_d9e4705
WW.	w9_d9e4708
Es	w11_d9e4711
L.	w1_d9e4716
Patres	w3_d9e4719
Jesuiten	w1_d9e4724
ihre	w3_d9e4727
Versammlung,	w5_d9e4730
um	w7_d9e4733
den	w9_d9e4736
neuen	w11_d9e4739
Aßistenten	w1_d9e4744
in	w3_d9e4747
Jtalien	w5_d9e4750
zu	w7_d9e4753
erwählen,	w9_d9e4756
da	w11_d9e4759
dann	w13_d9e4763
durch	w1_d9e4769
die	w3_d9e4772
meiste	w5_d9e4775
Stimmen	w7_d9e4778
die	w9_d9e4781
Wahl	w11_d9e4784
auf	w13_d9e4788
den	w1_d9e4793
W.	w3_d9e4796
E.	w5_d9e4799
Pater	w7_d9e4802
Frigona,	w9_d9e4805
Provincialen	w11_d9e4808
von	w1_d9e4813
Sicilien,	w3_d9e4816
fiel;	w5_d9e4819
und	w7_d9e4822
zum	w9_d9e4825
Secretaire	w11_d9e4828
wurde	w1_d9e4833
der	w3_d9e4836
aus	w5_d9e4839
Toscana	w7_d9e4842
gebürtige	w9_d9e4845
Pater	w11_d9e4848
Ricci	w13_d9e4852
erkläret.	w1_d9e4858
Am	w3_d9e4861
Senntag	w5_d9e4864
hat	w7_d9e4867
ein	w9_d9e4870
hiesiger	w11_d9e4873
Metz	w13_d9e4877
ger	w1_d9e4882
eine	w3_d9e4885
grausame	w5_d9e4888
That	w7_d9e4891
ausgeubet,	w9_d9e4894
da	w11_d9e4897
er	w13_d9e4901
seine	w1_d9e4906
Ehe=frau	w3_d9e4909
und	w5_d9e4912
eine	w7_d9e4915
Manns=person,	w9_d9e4918
aus	w1_d9e4923
Eifersucht	w3_d9e4926
mit	w5_d9e4929
dem	w7_d9e4932
Messer	w9_d9e4935
ermordet.	w11_d9e4938
Er	w13_d9e4942
ist	w1_d9e4948
zwar	w3_d9e4951
nach	w5_d9e4954
diesem	w7_d9e4957
Frevel	w9_d9e4960
in	w11_d9e4963
eine	w13_d9e4967
Kirche	w15_d9e4970
geflüchtet,	w1_d9e4975
jedoch	w3_d9e4978
auf	w5_d9e4981
besondern	w7_d9e4984
Befehl	w9_d9e4987
des	w11_d9e4990
Heil.	w1_d9e4995
Vatters	w3_d9e4998
ist	w5_d9e5001
er	w7_d9e5004
aus	w9_d9e5007
solcher	w11_d9e5010
geholet	w13_d9e5014
und	w1_d9e5019
von	w3_d9e5022
der	w5_d9e5025
hierzu	w7_d9e5028
bestellten	w9_d9e5031
Wacht	w11_d9e5034
in	w13_d9e5038
das	w15_d9e5041
Gefängnuß	w1_d9e5047
gebracht	w3_d9e5050
worden.	w5_d9e5053
</p>
<head id="h2_d9e5060">
Neapel	w1_d9e5064
6.	w3_d9e5067
Jan.	w5_d9e5070
</head>
<p id="p4_d9e5073">
Unsere	w1_d9e5077
Königin	w3_d9e5080
befindet	w5_d9e5083
sich	w7_d9e5086
samt	w9_d9e5089
dem	w11_d9e5092
neu	w13_d9e5096
gebornen	w1_d9e5101
Prinzen	w3_d9e5104
im	w5_d9e5107
besten	w7_d9e5110
Wolseyn,	w9_d9e5113
und	w11_d9e5116
der	w1_d9e5121
König	w3_d9e5124
unterhaltet	w5_d9e5127
sich	w7_d9e5130
öfters	w9_d9e5133
mit	w11_d9e5136
der	w13_d9e5140
Jagd,	w1_d9e5146
wovon	w3_d9e5149
er	w5_d9e5152
alle	w7_d9e5155
Abend	w9_d9e5158
nacher	w11_d9e5161
Hof	w13_d9e5165
zu	w15_d9e5168
rück	w1_d9e5173
kommet	w3_d9e5176
Mittwochs	w5_d9e5179
in	w7_d9e5182
der	w9_d9e5185
Nacht	w11_d9e5188
liesse	w13_d9e5192
sich	w1_d9e5197
der	w3_d9e5200
Vesuvius	w5_d9e5203
mit	w7_d9e5206
einem	w9_d9e5209
grossen	w11_d9e5212
Getös	w13_d9e5216
hören,	w1_d9e5221
und	w3_d9e5224
die	w5_d9e5227
allhiesige	w7_d9e5230
Jnwohner	w9_d9e5233
wur	w11_d9e5236
den	w1_d9e5242
andurch	w3_d9e5245
in	w5_d9e5248
vielen	w7_d9e5251
Schrecken	w9_d9e5254
gesetzet,	w11_d9e5257
es	w13_d9e5261
ist	w1_d9e5266
aber,	w3_d9e5269
GOtt	w5_d9e5272
lob	w7_d9e5275
kein	w9_d9e5278
weiteres	w11_d9e5281
Unglück	w13_d9e5285
ge	w15_d9e5288
schehen.	w1_d9e5293
Auf	w3_d9e5296
Königl.	w5_d9e5299
Befehl	w7_d9e5302
werden	w9_d9e5305
alle	w11_d9e5308
</p>
<p id="p6_d9e5311">
mangelhafte	w1_d9e5315
Regimenter	w3_d9e5318
in	w5_d9e5321
vollzähligen	w7_d9e5324
Stand	w1_d9e5329
gesetzet.	w3_d9e5332
</p>
<head id="h2_d9e5338">
Rom	w1_d9e5342
10.	w3_d9e5345
Jan.	w5_d9e5348
</head>
<p id="p4_d9e5351">
Sontags	w1_d9e5355
hatte	w3_d9e5358
der	w5_d9e5361
allhiesige	w7_d9e5364
Königliche	w9_d9e5367
Neapolitanische	w1_d9e5372
Minister	w3_d9e5375
bey	w5_d9e5378
Sr.	w7_d9e5381
Päpstli	w9_d9e5384
chen	w1_d9e5389
Heiligkeit	w3_d9e5392
Audienz,	w5_d9e5395
in	w7_d9e5398
welcher	w9_d9e5401
er	w11_d9e5404
De	w13_d9e5408
roselben	w1_d9e5414
Nachricht	w3_d9e5417
gabe,	w5_d9e5420
daß	w7_d9e5423
die	w9_d9e5426
Königin	w11_d9e5429
von	w1_d9e5434
Neapel	w3_d9e5437
mit	w5_d9e5440
einem	w7_d9e5443
Prinzen,	w9_d9e5446
mehrma	w11_d9e5449
len	w1_d9e5454
glücklich	w3_d9e5457
entbunden	w5_d9e5460
worden.	w7_d9e5463
Mit	w9_d9e5466
eben	w1_d9e5471
dieser	w3_d9e5474
Zeitung	w5_d9e5477
seynd	w7_d9e5480
verschiedene	w9_d9e5483
Cur	w11_d9e5486
tier	w1_d9e5492
von	w3_d9e5495
Neppel	w5_d9e5498
nacher	w7_d9e5501
Parma,	w9_d9e5504
Paris,	w11_d9e5507
Madrid	w1_d9e5512
und	w3_d9e5515
Dreßden	w5_d9e5518
allhier	w7_d9e5521
durchgereiset.	w9_d9e5524
Mittwoch	w1_d9e5529
Abends	w3_d9e5532
haben	w5_d9e5535
die	w7_d9e5538
Faschingslust	w9_d9e5541
barkeiten	w1_d9e5546
allhier	w3_d9e5549
mit	w5_d9e5552
Eröfnung	w7_d9e5555
deren	w9_d9e5558
Schau	w11_d9e5561
spielen	w1_d9e5567
in	w3_d9e5570
4.	w5_d9e5573
Theatern,	w7_d9e5576
benanntlichen	w9_d9e5579
Ar-	w11_d9e5582
gentina,	w1_d9e5587
Capranica,	w3_d9e5590
Tordinona,	w5_d9e5593
und	w7_d9e5596
Valle,	w1_d9e5601
ihren	w3_d9e5604
Anfang	w5_d9e5607
genommen.	w7_d9e5610
</p>
<head id="h2_d9e5616">
Aus	w1_d9e5620
Groß=Brittannien.	w3_d9e5623
Portsmouth	w1_d9e5628
9.	w3_d9e5631
Jan.	w5_d9e5634
</head>
<p id="p4_d9e5637">
Die	w1_d9e5641
Kriegs=schiffe,	w3_d9e5644
welche	w5_d9e5647
bestimmet	w7_d9e5650
seynd	w9_d9e5653
in	w1_d9e5658
die	w3_d9e5661
See	w5_d9e5664
zu	w7_d9e5667
lauffen,	w9_d9e5670
wann	w11_d9e5673
es	w13_d9e5677
die	w15_d9e5680
Um	w17_d9e5683
stände	w1_d9e5688
erfordern,	w3_d9e5691
seynd	w5_d9e5694
diese:	w7_d9e5697
Das	w9_d9e5700
Schif	w11_d9e5703
Terrible	w1_d9e5709
von	w3_d9e5712
74.	w5_d9e5715
Kanonen,	w7_d9e5718
der	w9_d9e5721
Bucking	w11_d9e5724
ham	w1_d9e5729
von	w3_d9e5732
70.	w5_d9e5735
Kanonen,	w7_d9e5738
das	w9_d9e5741
Schif	w11_d9e5744
Cullo	w13_d9e5748
den	w1_d9e5753
von	w3_d9e5756
74.	w5_d9e5759
Kanonen,	w7_d9e5762
das	w9_d9e5765
Schif	w11_d9e5768
die	w13_d9e5772
A	w15_d9e5775
vant=garde	w1_d9e5780
auch	w3_d9e5783
von	w5_d9e5786
74.	w7_d9e5789
Kanonen,	w9_d9e5792
die	w11_d9e5795
Schiffe	w1_d9e5801
Edimburg,	w3_d9e5804
le	w5_d9e5807
Graflon,	w7_d9e5810
le	w9_d9e5813
Mon	w11_d9e5816
mouth,	w1_d9e5821
Nordhumb	w3_d9e5824
kland,	w5_d9e5827
Jpswich,	w7_d9e5830
le	w9_d9e5833
Capitain,	w1_d9e5838
und	w3_d9e5841
la	w5_d9e5844
Revanche,	w7_d9e5847
alle	w9_d9e5850
von	w11_d9e5853
70.	w13_d9e5857
Kanonen,	w1_d9e5862
die	w3_d9e5865
Schiffe	w5_d9e5868
Jork,	w7_d9e5871
Aigle,	w9_d9e5874
Wey	w11_d9e5877
mouth,	w1_d9e5883
Anson,	w3_d9e5886
Dünkerke,	w5_d9e5889
Oxferd,	w7_d9e5892
Wind	w9_d9e5895
sor,	w1_d9e5900
Kingsten	w3_d9e5903
und	w5_d9e5906
la	w7_d9e5909
Defiance,	w9_d9e5912
alle	w11_d9e5915
von	w13_d9e5919
60.	w15_d9e5922
Kanonen.	w1_d9e5927
Die	w3_d9e5930
Schiffe	w5_d9e5933
von	w7_d9e5936
St.	w9_d9e5939
Alban,	w11_d9e5942
Aßtstance	w1_d9e5947
und	w3_d9e5950
Fackland,	w5_d9e5953
von	w7_d9e5956
50	w9_d9e5959
Kanonen.	w11_d9e5962
Die	w1_d9e5968
Schiffe	w3_d9e5971
Winchelsey,	w5_d9e5974
Port=mahon,	w7_d9e5977
Arundel,	w1_d9e5982
Greyhound	w3_d9e5985
und	w5_d9e5988
Seernesse,	w7_d9e5991
alle	w9_d9e5994
von	w1_d9e5999
20.	w3_d9e6002
Kanonen.	w5_d9e6005
Hierbey	w7_d9e6008
befinden	w9_d9e6011
sich	w11_d9e6014
noch	w1_d9e6019
das	w3_d9e6022
Schif	w5_d9e6025
le	w7_d9e6028
Royal	w9_d9e6031
Dak	w11_d9e6034
von	w13_d9e6038
Ho.	w15_d9e6041
und	w17_d9e6044
das	w1_d9e6050
Schif	w3_d9e6053
Rupert,	w5_d9e6056
von	w7_d9e6059
60.	w9_d9e6062
Kanonen.	w11_d9e6065
Mit	w13_d9e6069
dieser	w1_d9e6074
Flotte,	w3_d9e6077
wann	w5_d9e6080
sie	w7_d9e6083
auslauffet,	w9_d9e6086
wer	w11_d9e6089
den	w1_d9e6094
zu	w3_d9e6097
gleicher	w5_d9e6100
Zeit	w7_d9e6103
alsdann	w9_d9e6106
in	w11_d9e6109
die	w13_d9e6113
See	w15_d9e6116
ge	w17_d9e6119
hen,	w1_d9e6124
viele	w3_d9e6127
Branders	w5_d9e6130
und	w7_d9e6133
ein	w9_d9e6136
Hospital=schif.	w11_d9e6139
</p>
<head id="h2_d9e6145">
Aus	w1_d9e6149
Frankreich	w3_d9e6152
Paris	w1_d9e6157
10.	w3_d9e6160
Januarii.	w5_d9e6163
</head>
<p id="p4_d9e6166">
Die	w1_d9e6170
Generals	w3_d9e6173
Officiers	w5_d9e6176
seynd	w7_d9e6179
ernannt,	w9_d9e6182
wel	w11_d9e6185
che	w1_d9e6190
unter	w3_d9e6193
dem	w5_d9e6196
Marschall,	w7_d9e6199
Herzog	w9_d9e6202
von	w11_d9e6205
Bel	w13_d9e6209
liste,	w1_d9e6214
auf	w3_d9e6217
den	w5_d9e6220
Küsten	w7_d9e6223
des	w9_d9e6226
Oceans,	w11_d9e6229
von	w13_d9e6233
Dün	w15_d9e6236
kirchen	w1_d9e6242
bis	w3_d9e6245
an	w5_d9e6248
die	w7_d9e6251
Spanische	w9_d9e6254
Gränze,	w11_d9e6257
cem	w13_d9e6261
mandiren	w1_d9e6266
sollen.	w3_d9e6269
Es	w5_d9e6272
seynd	w7_d9e6275
deren	w9_d9e6278
8.	w11_d9e6281
Gene	w13_d9e6285
</p>
<p id="p10_d9e6298">
ral=leutenants,	w1_d9e6302
und	w3_d9e6305
9.	w5_d9e6308
Marschalls	w7_d9e6311
de	w9_d9e6314
Camp	w11_d9e6317
der	w1_d9e6322
Marschail	w3_d9e6325
Herzog	w5_d9e6328
von	w7_d9e6331
Richelieu	w9_d9e6334
aber,	w11_d9e6337
welcher	w1_d9e6342
das	w3_d9e6345
