<doc id="wr_1757-11-05" attrs="word" year="1757" month="11" day="05" corpus="2">
<head id="h2_d193e3132">
Marseille	w1_d193e3136
der	w9_d193e3713
Handelschaft,	w11_d193e3716
und	w13_d193e3720
die	w1_d193e3725
Häuser	w3_d193e3728
derer	w5_d193e3731
Schöpfen	w7_d193e3734
illuminirt;	w9_d193e3737
und	w11_d193e3740
übermorgen,	w1_d193e3745
da	w3_d193e3748
man	w5_d193e3751
in	w7_d193e3754
hiesiger	w9_d193e3757
Dom=kirche	w11_d193e3760
ein	w1_d193e3765
solennes	w3_d193e3768
Te	w5_d193e3771
Deum	w7_d193e3774
absingen	w9_d193e3777
wird,	w11_d193e3780
wer	w13_d193e3784
den	w1_d193e3790
zu	w3_d193e3793
Abends	w5_d193e3796
neue	w7_d193e3799
Jlluminationen	w9_d193e3802
zu	w11_d193e3805
se	w13_d193e3809
hen	w1_d193e3814
seyn.	w3_d193e3817
Dem	w5_d193e3820
Vernehmen	w7_d193e3823
nach,	w9_d193e3826
hat	w11_d193e3829
der	w13_d193e3833
Herr	w1_d193e3838
Erz=bischof	w3_d193e3841
von	w5_d193e3844
dem	w7_d193e3847
Könige	w9_d193e3850
seine	w11_d193e3853
Er	w13_d193e3857
lassung	w1_d193e3862
verlangt.	w3_d193e3865
Man	w5_d193e3868
gibt	w7_d193e3871
hierbey	w9_d193e3874
vor,	w11_d193e3877
daß	w1_d193e3883
er	w3_d193e3886
den	w5_d193e3889
Gesandtschafts=posten	w7_d193e3892
zu	w9_d193e3895
Rom	w11_d193e3898
er	w13_d193e3902
halten,	w1_d193e3907
und	w3_d193e3910
von	w5_d193e3913
dem	w7_d193e3916
König	w9_d193e3919
die	w11_d193e3922
Ernennung	w13_d193e3926
zum	w1_d193e3931
Cardinal	w3_d193e3934
bekommen	w5_d193e3937
dörfte.	w7_d193e3940
Und	w9_d193e3943
seinen	w11_d193e3946
Herrn	w1_d193e3951
Nachfolger	w3_d193e3954
macht	w5_d193e3957
man	w7_d193e3960
ebenfalls	w9_d193e3963
schon	w11_d193e3966
namhaft,	w1_d193e3972
nicht	w3_d193e3975
minder	w5_d193e3978
auch	w7_d193e3981
die	w9_d193e3984
Pension,	w11_d193e3987
so	w13_d193e3991
Se.	w1_d193e3996
Majestät	w3_d193e3999
dem	w5_d193e4002
Herrn	w7_d193e4005
Erz=bischoffen	w9_d193e4008
an	w11_d193e4011
gewiesen	w1_d193e4016
haben.	w3_d193e4019
</p>
<p id="p8_d193e4022">
Das	w1_d193e4026
durch	w3_d193e4029
den	w5_d193e4032
in	w7_d193e4035
der	w9_d193e4038
Battaille	w11_d193e4041
bey	w13_d193e4045
Hasten	w15_d193e4048
beck	w1_d193e4053
todt	w3_d193e4056
geblibenen	w5_d193e4059
Grafen	w7_d193e4062
von	w9_d193e4065
Montmorenci	w11_d193e4068
Laval	w1_d193e4073
vacant	w3_d193e4076
gewordene	w5_d193e4079
Regiment	w7_d193e4082
von	w9_d193e4085
Guien	w11_d193e4088
ne	w1_d193e4094
hat	w3_d193e4097
der	w5_d193e4100
König	w7_d193e4103
dem	w9_d193e4106
Marquis	w11_d193e4109
de	w13_d193e4113
la	w15_d193e4116
Tour	w17_d193e4119
du	w1_d193e4124
Pin	w3_d193e4127
von	w5_d193e4130
Paulin,	w7_d193e4133
conferiret.	w9_d193e4136
So,	w11_d193e4139
wie	w13_d193e4143
die	w1_d193e4148
Rede	w3_d193e4151
gehet,	w5_d193e4154
ist	w7_d193e4157
das	w9_d193e4160
Parlament	w11_d193e4163
gesonnen,	w13_d193e4167
</p>
<p id="p14_d193e4181">
unter	w1_d193e4185
Bewilligung	w3_d193e4188
Sr.	w5_d193e4191
Majestät	w7_d193e4194
den	w9_d193e4197
Proceß	w11_d193e4200
des	w1_d193e4205
Damiens	w3_d193e4208
zu	w5_d193e4211
revidiren,	w7_d193e4214
um	w9_d193e4217
den	w11_d193e4220
Eifen	w13_d193e4224
und	w1_d193e4229
die	w3_d193e4232
Treue	w5_d193e4235
dieses	w7_d193e4238
souverainen	w9_d193e4241
Gerichts	w11_d193e4244
und	w13_d193e4248
aller	w1_d193e4254
seiner	w3_d193e4257
Mit=glieder	w5_d193e4260
ausser	w7_d193e4263
allen	w9_d193e4266
Zweifel	w11_d193e4269
zu	w13_d193e4273
setzen.	w1_d193e4278
Die	w3_d193e4281
mit	w5_d193e4284
so	w7_d193e4287
vieler	w9_d193e4290
Eilfirtigkeit	w11_d193e4293
v.	w13_d193e4297
Paris	w15_d193e4300
abgegangene	w1_d193e4305
Französische	w3_d193e4308
und	w5_d193e4311
Schweitzergar	w7_d193e4314
den	w1_d193e4319
haben	w3_d193e4322
widerholte	w5_d193e4325
Ordere	w7_d193e4328
bekommen,	w9_d193e4331
an	w1_d193e4337
dem	w3_d193e4340
Ort,	w5_d193e4343
wo	w7_d193e4346
sie	w9_d193e4349
anzutreffen	w11_d193e4352
seynd,	w13_d193e4356
auf	w15_d193e4359
ihren	w1_d193e4364
Marsch	w3_d193e4367
inne	w5_d193e4370
zu	w7_d193e4373
halten,	w9_d193e4376
und	w11_d193e4379
nicht	w13_d193e4383
nach	w15_d193e4386
Rochelle	w1_d193e4391
zu	w3_d193e4394
gehen,	w5_d193e4397
weil	w7_d193e4400
die	w9_d193e4403
Engländische	w11_d193e4406
Flot	w13_d193e4410
te	w1_d193e4415
den	w3_d193e4418
Weg	w5_d193e4421
nach	w7_d193e4424
Haus	w9_d193e4427
wiederum	w11_d193e4430
genommen	w13_d193e4434
hat.	w1_d193e4440
Vor	w3_d193e4443
wenigen	w5_d193e4446
Tagen	w7_d193e4449
ist	w9_d193e4452
ein	w11_d193e4455
Fremder	w13_d193e4459
von	w1_d193e4464
Qualität,	w3_d193e4467
den	w5_d193e4470
man	w7_d193e4473
für	w9_d193e4476
einen	w11_d193e4479
Spion	w13_d193e4483
hält	w15_d193e4486
angehalten,	w1_d193e4491
und	w3_d193e4494
in	w5_d193e4497
die	w7_d193e4500
Bastille	w9_d193e4503
gesetzet	w11_d193e4506
worden.	w1_d193e4511
</p>
<head id="h2_d193e4517">
Londen	w1_d193e4521
14.	w3_d193e4524
Oct.	w5_d193e4527
</head>
<p id="p4_d193e4530">
Se.	w1_d193e4534
Königl.	w3_d193e4537
Hoheit	w5_d193e4540
der	w7_d193e4543
Herzog	w9_d193e4546
von	w11_d193e4549
Cum	w13_d193e4553
berland	w1_d193e4558
ist	w3_d193e4561
allhier	w5_d193e4564
den	w7_d193e4567
11ten	w9_d193e4570
dieses	w11_d193e4573
Abends	w13_d193e4577
in	w1_d193e4582
vollkommener	w3_d193e4585
Gesundheit	w5_d193e4588
angekommen,	w7_d193e4591
und	w9_d193e4594
hat	w1_d193e4600
sich	w3_d193e4603
unverzüglich	w5_d193e4606
nacher	w7_d193e4609
Kensington	w9_d193e4612
be	w11_d193e4615
geben,	w1_d193e4620
wo	w3_d193e4623
derselbe	w5_d193e4626
von	w7_d193e4629
Sr.	w9_d193e4632
Majestät	w11_d193e4635
dem	w13_d193e4639
König	w1_d193e4644
und	w3_d193e4647
der	w5_d193e4650
Königlichen	w7_d193e4653
Famille	w9_d193e4656
mit	w11_d193e4659
gros	w13_d193e4663
fen	w1_d193e4668
Freuden=bezeugungen	w3_d193e4671
empfangen	w5_d193e4674
worden.	w7_d193e4677
Dieser	w1_d193e4683
Prinz	w3_d193e4686
wurde	w5_d193e4689
von	w7_d193e4692
dem	w9_d193e4695
Grafen	w11_d193e4698
d'Albe	w13_d193e4702
marle,	w1_d193e4707
von	w3_d193e4710
dem	w5_d193e4713
Lord	w7_d193e4716
Cavendisch,	w9_d193e4719
und	w11_d193e4722
von	w13_d193e4726
dem	w1_d193e4731
Obrist	w3_d193e4734
Keppel	w5_d193e4737
begleitet.	w7_d193e4740
Zu	w9_d193e4743
Kensing	w11_d193e4746
ton	w1_d193e4751
wird	w3_d193e4754
ein	w5_d193e4757
Apartement	w7_d193e4760
zu	w9_d193e4763
dem	w11_d193e4766
Empfang	w13_d193e4770
Jhrer	w1_d193e4776
Königlichen	w3_d193e4779
Hoheit	w5_d193e4782
der	w7_d193e4785
Prinzessin	w9_d193e4788
von	w11_d193e4791
Hessen=cassel	w1_d193e4796
fertig	w3_d193e4799
gemacht,	w5_d193e4802
welche	w7_d193e4805
in	w9_d193e4808
we	w11_d193e4811
nig	w1_d193e4816
Tagen	w3_d193e4819
zu	w5_d193e4822
Londin	w7_d193e4825
erwartet	w9_d193e4828
wird.	w11_d193e4831
</p>
<p id="p6_d193e4834">
Die	w1_d193e4838
Affaire	w3_d193e4841
unserer	w5_d193e4844
fruchtloß	w7_d193e4847
abgeloffenen	w9_d193e4850
Unternehmung	w1_d193e4855
wider	w3_d193e4858
die	w5_d193e4861
Französische	w7_d193e4864
Kü	w9_d193e4867
sten	w1_d193e4872
erwecket	w3_d193e4875
noch	w5_d193e4878
immer	w7_d193e4881
grössere	w9_d193e4884
Bewegun	w11_d193e4887
gen	w1_d193e4893
bey	w3_d193e4896
dem	w5_d193e4899
Ministerio,	w7_d193e4902
und	w9_d193e4905
grosses	w11_d193e4908
Miß	w13_d193e4912
vergnügen	w1_d193e4917
unter	w3_d193e4920
dem	w5_d193e4923
Volck;	w7_d193e4926
inzwischen	w9_d193e4929
schei	w11_d193e4932
net,	w1_d193e4937
daß	w3_d193e4940
die	w5_d193e4943
vornehmste	w7_d193e4946
Officiers	w9_d193e4949
von	w11_d193e4952
der	w13_d193e4956
Flotte	w1_d193e4961
und	w3_d193e4964
von	w5_d193e4967
der	w7_d193e4970
Armee	w9_d193e4973
sich	w11_d193e4976
bey	w13_d193e4980
dem	w15_d193e4983
Mi	w17_d193e4986
nisterio	w1_d193e4992
genug	w3_d193e4995
justificiret,	w5_d193e4998
und	w7_d193e5001
entschuldiget	w9_d193e5004
haben,	w1_d193e5009
da	w3_d193e5012
sie	w5_d193e5015
vorgestellet,	w7_d193e5018
daß	w9_d193e5021
es	w11_d193e5024
ihnen	w13_d193e5028
un	w15_d193e5031
möglich	w1_d193e5036
gewesen,	w3_d193e5039
eine	w5_d193e5042
Landung	w7_d193e5045
zu	w9_d193e5048
Rochefort,	w11_d193e5051
oder	w1_d193e5056
zu	w3_d193e5059
Rochelle	w5_d193e5062
zu	w7_d193e5065
vollführen,	w9_d193e5068
wegen	w11_d193e5071
der	w13_d193e5075
Wachtsamkeit	w1_d193e5081
und	w3_d193e5084
gebrauchten	w5_d193e5087
Vorsorg	w7_d193e5090
de	w9_d193e5093
ren	w1_d193e5098
Franzosen,	w3_d193e5101
welche	w5_d193e5104
verschiedene	w7_d193e5107
Corps	w9_d193e5110
regulirter	w1_d193e5115
Trupen,	w3_d193e5118
und	w5_d193e5121
viele	w7_d193e5124
Militz	w9_d193e5127
auf	w11_d193e5130
ihren	w13_d193e5134
Küsten	w1_d193e5139
versammelt	w3_d193e5142
hatten,	w5_d193e5145
deren	w7_d193e5148
Anzahl	w9_d193e5151
ihre	w1_d193e5157
Trupen	w3_d193e5160
weit	w5_d193e5163
übertroffen,	w7_d193e5166
daß	w9_d193e5169
man	w11_d193e5172
also	w13_d193e5176
Groß=britanischer	w1_d193e5181
Seits	w3_d193e5184
der	w5_d193e5187
Gefahr	w7_d193e5190
wäre	w9_d193e5193
aus	w11_d193e5196
gestellt	w1_d193e5201
gewesen,	w3_d193e5204
bey	w5_d193e5207
der	w7_d193e5210
Landung	w9_d193e5213
und	w11_d193e5216
Aus	w13_d193e5220
schiffung	w1_d193e5225
deren	w3_d193e5228
Trupen	w5_d193e5231
einen	w7_d193e5234
ansehnlichen	w9_d193e5237
Verlust	w1_d193e5243
zu	w3_d193e5246
leiden	w5_d193e5249
/	w7_d193e5252
ehe	w9_d193e5255
und	w11_d193e5258
bevor	w13_d193e5262
unsere	w15_d193e5265
Tru	w17_d193e5268
</p>
<p id="p8_d193e5271">
pen	w1_d193e5275
Zeit	w3_d193e5278
gehabt	w5_d193e5281
hätten,	w7_d193e5284
sich	w9_d193e5287
in	w11_d193e5290
Schlacht	w13_d193e5294
Ord	w15_d193e5297
nung	w1_d193e5302
zu	w3_d193e5305
stellen	w5_d193e5308
rc.	w7_d193e5311
</p>
<head id="h2_d193e5318">
Berlin,	w1_d193e5322
22.	w3_d193e5325
Octob.	w5_d193e5328
</head>
<p id="p4_d193e5331">
Der	w1_d193e5335
Hof	w3_d193e5338
ist	w5_d193e5341
bereits	w7_d193e5344
den	w9_d193e5347
18den	w11_d193e5350
dieses	w13_d193e5354
Mo	w15_d193e5357
nats	w1_d193e5362
aus	w3_d193e5365
Spandau	w5_d193e5368
wieder	w7_d193e5371
hier	w9_d193e5374
angelangt.	w11_d193e5377
Es	w1_d193e5382
solle	w3_d193e5385
derselbe	w5_d193e5388
morgen	w7_d193e5391
von	w9_d193e5394
hier	w11_d193e5397
aufbre	w13_d193e5401
chen,	w1_d193e5407
und	w3_d193e5410
sich	w5_d193e5413
auf	w7_d193e5416
eine	w9_d193e5419
kurze	w11_d193e5422
Zeit	w13_d193e5426
nach	w15_d193e5429
Mag	w17_d193e5432
deburg	w1_d193e5437
begeben,	w3_d193e5440
wohin	w5_d193e5443
auch	w7_d193e5446
die	w9_d193e5449
Herren	w11_d193e5452
Mi	w13_d193e5456
nistri	w1_d193e5461
des	w3_d193e5464
Departements	w5_d193e5467
der	w7_d193e5470
ausländischen	w9_d193e5473
Affairen	w1_d193e5478
folgen	w3_d193e5481
werden.	w5_d193e5484
Die	w7_d193e5487
Herren	w9_d193e5490
Mini	w11_d193e5493
stri	w1_d193e5499
von	w3_d193e5502
dem	w5_d193e5505
General=ober=finanz=directorio,	w7_d193e5508
wie	w1_d193e5513
auch	w3_d193e5516
dem	w5_d193e5519
Justitz=departement,	w7_d193e5522
verblei	w9_d193e5525
ben	w1_d193e5530
alle	w3_d193e5533
hier,	w5_d193e5536
wie	w7_d193e5539
dann	w9_d193e5542
auch	w11_d193e5545
die	w13_d193e5549
ganze	w15_d193e5552
Gar	w17_d193e5555
nison	w1_d193e5560
hier	w3_d193e5563
stehen	w5_d193e5566
bleibt.	w7_d193e5569
Der	w9_d193e5572
König	w11_d193e5575
aus	w13_d193e5579
Preußen	w1_d193e5585
stehet	w3_d193e5588
anjetzo	w5_d193e5591
selbst	w7_d193e5594
mit	w9_d193e5597
einem	w11_d193e5600
Corps	w13_d193e5604
d'Armee	w1_d193e5609
in	w3_d193e5612
der	w5_d193e5615
Nieder=laußnitz,	w7_d193e5618
unweit	w9_d193e5621
Jüterbock,	w1_d193e5626
wodurch	w3_d193e5629
die	w5_d193e5632
hiesige	w7_d193e5635
Haupt=stadt	w9_d193e5638
genugsam	w1_d193e5643
gedeckt	w3_d193e5646
wird.	w5_d193e5649
Das	w7_d193e5652
Oesterreichi	w9_d193e5655
sche	w1_d193e5661
Corps,	w3_d193e5664
welches	w5_d193e5667
den	w7_d193e5670
Einfall	w9_d193e5673
in	w11_d193e5676
die	w13_d193e5680
Markt	w15_d193e5683
gethan,	w1_d193e5688
ist	w3_d193e5691
in	w5_d193e5694
gröster	w7_d193e5697
Eilfertigkeit	w9_d193e5700
über	w11_d193e5703
Lüb	w13_d193e5707
ben	w1_d193e5712
nach	w3_d193e5715
Sachsen	w5_d193e5718
zurück	w7_d193e5721
gekehrt,	w9_d193e5724
um	w11_d193e5727
dem	w13_d193e5731
Corps	w1_d193e5736
des	w3_d193e5739
Fürsten	w5_d193e5742
Moritz	w7_d193e5745
Durchl.	w9_d193e5748
zu	w11_d193e5751
ent	w13_d193e5755
gehen.	w1_d193e5761
</p>
<p id="p6_d193e5764">
Die	w1_d193e5768
Schweden	w3_d193e5771
haben	w5_d193e5774
nunmehro	w7_d193e5777
auch	w9_d193e5780
die	w11_d193e5783
Stadt	w1_d193e5788
und	w3_d193e5791
Jnsul	w5_d193e5794
Wollin	w7_d193e5797
besetzt.	w9_d193e5800
Bey	w11_d193e5803
Col	w13_d193e5807
berg	w1_d193e5812
ist	w3_d193e5815
ein	w5_d193e5818
zweytes	w7_d193e5821
Schwedisches	w9_d193e5824
Trans	w11_d193e5827
port=schif	w1_d193e5833
gestrandet,	w3_d193e5836
welches	w5_d193e5839
33.	w7_d193e5842
Mann	w9_d193e5845
Cavallerie	w1_d193e5850
von	w3_d193e5853
dem	w5_d193e5856
Königl.	w7_d193e5859
Schwedischen	w9_d193e5862
Leib=regimente,	w1_d193e5867
nebst	w3_d193e5870
30.	w5_d193e5873
Pferden,	w7_d193e5876
an	w9_d193e5879
Bord	w11_d193e5882
gehabt	w1_d193e5887
hatte,	w3_d193e5890
die	w5_d193e5893
man	w7_d193e5896
gefangen	w9_d193e5899
eingebracht.	w11_d193e5902
</p>
<head id="h2_d193e5908">
Leipzig	w1_d193e5912
16.	w3_d193e5915
October.	w5_d193e5918
</head>
<p id="p4_d193e5921">
Gestern	w1_d193e5925
ist	w3_d193e5928
der	w5_d193e5931
König	w7_d193e5934
von	w9_d193e5937
Preußen	w11_d193e5940
allhier	w13_d193e5944
eingetroffen.	w1_d193e5949
Der	w3_d193e5952
hiesige	w5_d193e5955
Magistrat	w7_d193e5958
und	w9_d193e5961
die	w11_d193e5964
Kaufmannschaft	w1_d193e5969
liessen	w3_d193e5972
sogleich	w5_d193e5975
durch	w7_d193e5978
Depu	w9_d193e5981
tirte	w1_d193e5987
ihre	w3_d193e5990
unterthänigste	w5_d193e5993
Vorstellung	w7_d193e5996
wegen	w9_d193e5999
der	w1_d193e6004
geforderten	w3_d193e6007
Summe	w5_d193e6010
von	w7_d193e6013
300000.	w9_d193e6016
Rthlrn.	w11_d193e6019
und	w1_d193e6024
der	w3_d193e6027
darüber	w5_d193e6030
am	w7_d193e6033
10ten	w9_d193e6036
dieses	w11_d193e6039
angefan	w13_d193e6043
genen	w1_d193e6048
militarischen	w3_d193e6051
Execution	w5_d193e6054
ergehen,	w7_d193e6057
wo	w9_d193e6060
bey	w1_d193e6066
sie	w3_d193e6069
das	w5_d193e6072
Unvermögen,	w7_d193e6075
diese	w9_d193e6078
Summe	w11_d193e6081
her	w13_d193e6085
bey	w1_d193e6090
zu	w3_d193e6093
schaffen,	w5_d193e6096
anzeigten.	w7_d193e6099
Allein	w9_d193e6102
der	w11_d193e6105
König	w1_d193e6110
erklärte,	w3_d193e6113
wie	w5_d193e6116
die	w7_d193e6119
jetzige	w9_d193e6122
Umstände	w11_d193e6125
diese	w1_d193e6130
Bezahlung	w3_d193e6133
unumgänglich	w5_d193e6136
erforderten.	w7_d193e6139
Es	w1_d193e6145
müsten	w3_d193e6148
daher	w5_d193e6151
zum	w7_d193e6154
Abtrag	w9_d193e6157
derselben	w11_d193e6160
in	w13_d193e6164
24.	w1_d193e6169
Stunden	w3_d193e6172
die	w5_d193e6175
Verfügungen	w7_d193e6178
gemacht	w9_d193e6181
wer	w11_d193e6184
den.	w1_d193e6189
Die	w3_d193e6192
Kaufmannschaft	w5_d193e6195
ist	w7_d193e6198
deswegen	w9_d193e6201
heute	w11_d193e6204
von	w1_d193e6209
5.	w3_d193e6212
bis	w5_d193e6215
8.	w7_d193e6218
Uhr	w9_d193e6221
versammelt	w11_d193e6224
gewesen,	w13_d193e6228
und	w15_d193e6231
man	w1_d193e6237
weiß	w3_d193e6240
noch	w5_d193e6243
nicht,	w7_d193e6246
was	w9_d193e6249
beschlossen	w11_d193e6252
wor	w13_d193e6256
den.	w1_d193e6261
Es	w3_d193e6264
verlautet,	w5_d193e6267
daß	w7_d193e6270
indessen	w9_d193e6273
120000.	w11_d193e6276
Rthlr.	w1_d193e6281
beysammen	w3_d193e6284
sind.	w5_d193e6287
Jn	w7_d193e6290
manchem	w9_d193e6293
Hau	w11_d193e6296
se	w1_d193e6301
befinden	w3_d193e6304
sich	w5_d193e6307
15.	w7_d193e6310
bis	w9_d193e6313
20.	w11_d193e6316
Mann	w13_d193e6320
einquar	w15_d193e6323
</p>
<p id="p10_d193e6336">
tieret,	w1_d193e6340
und	w3_d193e6343
morgen	w5_d193e6346
sollen	w7_d193e6349
noch	w9_d193e6352
2.	w11_d193e6355
Regimen	w13_d193e6359
ter	w1_d193e6364
einrücken.	w3_d193e6367
Allen	w5_d193e6370
Fuhr=leuten,	w7_d193e6373
und	w9_d193e6376
wei	w11_d193e6379
sonst	w1_d193e6384
Pferde	w3_d193e6387
hat,	w5_d193e6390
ist	w7_d193e6393
bey	w9_d193e6396
Lebens=straffe	w11_d193e6399
anbe	w13_d193e6403
fohlen	w1_d193e6409
worden,	w3_d193e6412
keine	w5_d193e6415
Pferde	w7_d193e6418
und	w9_d193e6421
Wägen	w11_d193e6424
aus	w13_d193e6428
der	w1_d193e6433
Stadt	w3_d193e6436
zu	w5_d193e6439
senden.	w7_d193e6442
Der	w9_d193e6445
Prinz	w11_d193e6448
Moritz	w13_d193e6452
von	w15_d193e6455
Dessau	w1_d193e6460
gehet	w3_d193e6463
mit	w5_d193e6466
10000.	w7_d193e6469
Mann	w9_d193e6472
nach	w11_d193e6475
Ber	w13_d193e6479
lin.	w1_d193e6484
</p>
<head id="h2_d193e6490">
Hamburg,	w1_d193e6494
21.	w3_d193e6497
Octob.	w5_d193e6500
</head>
<p id="p4_d193e6503">
So	w1_d193e6507
eben	w3_d193e6510
erhalten	w5_d193e6513
wir	w7_d193e6516
aus	w9_d193e6519
Leipzig	w11_d193e6522
vom	w13_d193e6526
16den	w1_d193e6531
dieses	w3_d193e6534
die	w5_d193e6537
zuverläßige	w7_d193e6540
Nachricht,	w9_d193e6543
daß	w11_d193e6546
die	w1_d193e6551
Executions=sache	w3_d193e6554
wegen	w5_d193e6557
der	w7_d193e6560
geforderten	w9_d193e6563
300000.	w1_d193e6569
Rthlr.	w3_d193e6572
verglichen	w5_d193e6575
sey,	w7_d193e6578
und	w9_d193e6581
daß	w11_d193e6584
der	w13_d193e6588
König	w1_d193e6593
von	w3_d193e6596
Preussen	w5_d193e6599
am	w7_d193e6602
besagten	w9_d193e6605
16den	w11_d193e6608
des	w1_d193e6613
Mittags,	w3_d193e6616
nach	w5_d193e6619
Magdeburg	w7_d193e6622
an	w9_d193e6625
den	w11_d193e6628
dor	w13_d193e6632
tigen	w1_d193e6637
Hrn.	w3_d193e6640
Commandanten	w5_d193e6643
die	w7_d193e6646
Ordre	w9_d193e6649
ab	w11_d193e6652
gefertiget	w1_d193e6658
habe,	w3_d193e6661
die	w5_d193e6664
Geiseln	w7_d193e6667
aus	w9_d193e6670
der	w11_d193e6673
Stadt	w13_d193e6677
Leipzig	w1_d193e6682
auf	w3_d193e6685
freyen	w5_d193e6688
Fuß	w7_d193e6691
zu	w9_d193e6694
stellen,	w11_d193e6697
und	w13_d193e6701
zu	w15_d193e6704
ihrer	w1_d193e6709
Abreise	w3_d193e6712
die	w5_d193e6715
Verfügung	w7_d193e6718
zu	w9_d193e6721
treffen.	w11_d193e6724
</p>
<head id="h2_d193e6730">
Warschau	w1_d193e6734
24.	w3_d193e6737
Oct.	w5_d193e6740
</head>
<p id="p4_d193e6743">
Die	w1_d193e6747
Nachrichten	w3_d193e6750
aus	w5_d193e6753
Danzig	w7_d193e6756
melden	w9_d193e6759
uns	w11_d193e6762
vom	w1_d193e6767
Ruck=marsche	w3_d193e6770
der	w5_d193e6773
