<doc id="wr_1760-11-15" attrs="word" year="1760" month="11" day="15" corpus="2">
<head id="h2_d501e2585">
Kensington	w1_d501e2589
theurer,	w5_d501e3507
als	w7_d501e3510
die	w9_d501e3513
Europäischen	w11_d501e3516
zu	w1_d501e3522
stehen	w3_d501e3525
kamen	w5_d501e3528
</p>
<head id="h2_d501e3534">
Dünkirchen	w1_d501e3538
27.	w3_d501e3541
Oct.	w5_d501e3544
</head>
<p id="p4_d501e3547">
Gestern	w1_d501e3551
kame	w3_d501e3554
ein	w5_d501e3557
von	w7_d501e3560
Calais	w9_d501e3563
vorgestern	w11_d501e3566
Abends	w1_d501e3571
abgereiseter	w3_d501e3574
Currier	w5_d501e3577
alhier	w7_d501e3580
an,	w9_d501e3583
und	w11_d501e3586
brachte	w1_d501e3591
die	w3_d501e3594
Nachricht	w5_d501e3597
mit,	w7_d501e3600
daß	w9_d501e3603
12.	w11_d501e3606
Eng	w13_d501e3610
ländische	w1_d501e3616
Schiffe	w3_d501e3619
von	w5_d501e3622
der	w7_d501e3625
Linie,	w9_d501e3628
und	w11_d501e3631
26.	w13_d501e3635
Fregatten	w1_d501e3640
von	w3_d501e3643
Boulougne	w5_d501e3646
erschienen	w7_d501e3649
seyen;	w9_d501e3652
und	w1_d501e3657
daß	w3_d501e3660
hierauf	w5_d501e3663
der	w7_d501e3666
Marquis	w9_d501e3669
von	w11_d501e3672
Barail,	w13_d501e3676
und	w1_d501e3681
der	w3_d501e3684
Herr	w5_d501e3687
von	w7_d501e3690
Mazieres,	w9_d501e3693
so	w11_d501e3696
erst	w13_d501e3700
den	w15_d501e3703
4.	w1_d501e3709
und	w3_d501e3712
25.	w5_d501e3715
zu	w7_d501e3718
Calais	w9_d501e3721
eingetroffen,	w11_d501e3724
also	w13_d501e3728
gleich	w1_d501e3733
von	w3_d501e3736
dannen	w5_d501e3739
nacher	w7_d501e3742
Boulougne	w9_d501e3745
abge	w11_d501e3748
reiset	w1_d501e3753
seyen,	w3_d501e3756
um	w5_d501e3759
in	w7_d501e3762
Person	w9_d501e3765
zu	w11_d501e3768
sehen,	w13_d501e3772
was	w15_d501e3775
dorten	w1_d501e3780
vorgienge,	w3_d501e3783
und	w5_d501e3786
im	w7_d501e3789
Fall	w9_d501e3792
der	w11_d501e3795
Noht	w13_d501e3799
die	w1_d501e3805
benöhtigte	w3_d501e3808
Vorkehrungen	w5_d501e3811
zu	w7_d501e3814
treffen.	w9_d501e3817
Man	w11_d501e3820
sagte	w1_d501e3825
sogar,	w3_d501e3828
daß	w5_d501e3831
die	w7_d501e3834
Engländer	w9_d501e3837
Bomben	w11_d501e3840
in	w1_d501e3845
Boulogne	w3_d501e3848
geworfen	w5_d501e3851
haben,	w7_d501e3854
so	w9_d501e3857
viel	w11_d501e3860
ist	w13_d501e3864
aber	w1_d501e3869
gewiß,	w3_d501e3872
daß	w5_d501e3875
in	w7_d501e3878
Calais	w9_d501e3881
noch	w11_d501e3884
keine	w13_d501e3888
Ver	w15_d501e3891
theidigungs=anstalten	w1_d501e3897
gemacht	w3_d501e3900
wurden.	w5_d501e3903
</p>
<head id="h2_d501e3909">
Haag	w1_d501e3913
2.	w3_d501e3916
Nov.	w5_d501e3919
</head>
<p id="p4_d501e3922">
Den	w1_d501e3926
30.	w3_d501e3929
Abends	w5_d501e3932
sind	w7_d501e3935
noch	w9_d501e3938
2.	w11_d501e3941
Expres	w13_d501e3945
sen	w1_d501e3950
aus	w3_d501e3953
England	w5_d501e3956
hier	w7_d501e3959
angelanget.	w9_d501e3962
Der	w11_d501e3965
General	w1_d501e3970
York,	w3_d501e3973
ausserordentlicher	w5_d501e3976
Gesand	w7_d501e3979
ter	w1_d501e3985
des	w3_d501e3988
Londner=hofes	w5_d501e3991
hat	w7_d501e3994
den	w9_d501e3997
31.	w11_d501e4000
der	w13_d501e4004
Ver	w15_d501e4007
sammlung	w1_d501e4012
der	w3_d501e4015
General=staaten	w5_d501e4018
kund	w7_d501e4021
ge	w9_d501e4024
machet,	w1_d501e4029
daß	w3_d501e4032
sein	w5_d501e4035
Herr,	w7_d501e4038
der	w9_d501e4041
König	w11_d501e4044
Georg	w13_d501e4048
der	w1_d501e4053
Zweyte	w3_d501e4056
den	w5_d501e4059
25.	w7_d501e4062
gegen	w9_d501e4065
8.	w11_d501e4068
Uhr	w13_d501e4072
Abends	w15_d501e4075
das	w1_d501e4081
Zeitliche	w3_d501e4084
mit	w5_d501e4087
dem	w7_d501e4090
Ewigen	w9_d501e4093
verwechslet	w11_d501e4096
habe,	w1_d501e4101
und	w3_d501e4104
daß	w5_d501e4107
der	w7_d501e4110
Prinz	w9_d501e4113
von	w11_d501e4116
Galles	w13_d501e4120
22.	w15_d501e4123
Jahr	w1_d501e4128
alt=bereits	w3_d501e4131
zum	w5_d501e4134
halben	w7_d501e4137
König	w9_d501e4140
von	w11_d501e4143
Groß=britannien	w1_d501e4148
und	w3_d501e4151
Jrcland	w5_d501e4154
ausgeruffen	w7_d501e4157
worden.	w1_d501e4163
Auf	w3_d501e4166
diese	w5_d501e4169
Erklärung	w7_d501e4172
hat	w9_d501e4175
sich	w11_d501e4178
al	w13_d501e4182
sogleich	w1_d501e4187
der	w3_d501e4190
Herr	w5_d501e4193
von	w7_d501e4196
Pyemont,	w9_d501e4199
Jhrer	w11_d501e4202
Hochmögenden	w1_d501e4207
ersterer	w3_d501e4210
Agent	w5_d501e4213
hinwiederum	w7_d501e4216
zu	w1_d501e4221
den	w3_d501e4224
General	w5_d501e4227
York	w7_d501e4230
verfüget,	w9_d501e4233
bey	w11_d501e4236
dem	w13_d501e4240
selben	w1_d501e4246
die	w3_d501e4249
Trauer=complimente	w5_d501e4252
abzulegen;	w7_d501e4255
dann	w1_d501e4260
ist	w3_d501e4263
Abends	w5_d501e4266
von	w7_d501e4269
dieser	w9_d501e4272
Versammlung	w11_d501e4275
eine	w1_d501e4280
ganze	w3_d501e4283
Deputation	w5_d501e4286
zu	w7_d501e4289
den	w9_d501e4292
Prinzen	w11_d501e4295
Stadt	w13_d501e4299
halter	w1_d501e4304
abgeschicket	w3_d501e4307
worden,	w5_d501e4310
um	w7_d501e4313
bey	w9_d501e4316
dem	w11_d501e4319
selben	w1_d501e4325
gleichermassen	w3_d501e4328
die	w5_d501e4331
Trauercompli	w7_d501e4334
mente	w1_d501e4339
über	w3_d501e4342
den	w5_d501e4345
Hintritt	w7_d501e4348
seines	w9_d501e4351
Großvat	w11_d501e4354
</p>
<p id="p6_d501e4357">
ters	w1_d501e4361
abzulegen;	w3_d501e4364
und	w5_d501e4367
die	w7_d501e4370
Prinzeßin	w9_d501e4373
von	w11_d501e4376
Nas	w13_d501e4380
sau=weilburg	w1_d501e4385
hat	w3_d501e4388
gestern	w5_d501e4391
von	w7_d501e4394
dem	w9_d501e4397
ganzen	w11_d501e4400
Adel	w1_d501e4405
ebenfalls	w3_d501e4408
dergleichen	w5_d501e4411
Complimente	w7_d501e4414
em	w9_d501e4417
pfangen.	w1_d501e4423
</p>
<head id="h2_d501e4430">
Rönigsberg	w1_d501e4434
24.	w3_d501e4437
Octob.	w5_d501e4440
</head>
<p id="p4_d501e4443">
Jn	w1_d501e4447
hiesiger	w3_d501e4450
Haupt=stadt,	w5_d501e4453
und	w7_d501e4456
an	w9_d501e4459
andern	w11_d501e4462
Orten	w1_d501e4467
des	w3_d501e4470
Königreichs,	w5_d501e4473
siehet	w7_d501e4476
man	w9_d501e4479
nach	w11_d501e4482
stehenden	w1_d501e4487
Mandat	w3_d501e4490
angeschlagen:	w5_d501e4493
Auf	w7_d501e4496
Be	w9_d501e4499
fehl	w1_d501e4505
Jhrer	w3_d501e4508
Majestät	w5_d501e4511
der	w7_d501e4514
grossen	w9_d501e4517
Frauen,	w11_d501e4520
Kaiserin	w1_d501e4525
Elisabethe	w3_d501e4528
Petrowna,	w5_d501e4531
Selbstherr	w7_d501e4534
scherin	w1_d501e4539
von	w3_d501e4542
allen	w5_d501e4545
Reussen	w7_d501e4548
rc.	w9_d501e4551
rc.	w11_d501e4554
rc.	w13_d501e4558
wird	w15_d501e4561
hiemit	w1_d501e4566
zu	w3_d501e4569
jedermanns	w5_d501e4572
Wissenschaft	w7_d501e4575
bekannt	w9_d501e4578
gemacht:	w1_d501e4584
Obzwar	w3_d501e4587
die	w5_d501e4590
bisherige	w7_d501e4593
Kriegscon	w9_d501e4596
juncturen	w1_d501e4601
unvermeitlich	w3_d501e4604
gemacht,	w5_d501e4607
auf	w7_d501e4610
die	w9_d501e4613
ab	w1_d501e4618
und	w3_d501e4621
zugehende	w5_d501e4624
Posten	w7_d501e4627
ein	w9_d501e4630
wachsames	w11_d501e4633
Auge	w1_d501e4638
zu	w3_d501e4641
haben,	w5_d501e4644
und	w7_d501e4647
dadurch	w9_d501e4650
denenjenigen,	w11_d501e4653
welche	w1_d501e4659
verbotene	w3_d501e4662
Correspondence	w5_d501e4665
zu	w7_d501e4668
unter	w9_d501e4671
halten	w1_d501e4676
sich	w3_d501e4679
möchten	w5_d501e4682
gelüsten	w7_d501e4685
lassen,	w9_d501e4688
Einhalt	w11_d501e4691
zu	w1_d501e4696
thun;	w3_d501e4699
so	w5_d501e4702
haben	w7_d501e4705
dannoch	w9_d501e4708
Jhre	w11_d501e4711
Kaiserl.	w13_d501e4715
Majestät,	w1_d501e4720
meine	w3_d501e4723
allergnädigste	w5_d501e4726
Souve	w7_d501e4729
raine,	w1_d501e4735
höchst	w3_d501e4738
mißfällig	w5_d501e4741
vernommen,	w7_d501e4744
daß	w9_d501e4747
da	w11_d501e4750
bey	w1_d501e4755
in	w3_d501e4758
den	w5_d501e4761
Post=cours	w7_d501e4764
einige	w9_d501e4767
Jrrungen	w11_d501e4770
ent	w13_d501e4774
standen.	w1_d501e4779
So	w3_d501e4782
wie	w5_d501e4785
nun	w7_d501e4788
Jhre	w9_d501e4791
Kaiserl	w11_d501e4794
Ma	w13_d501e4798
jestät,	w1_d501e4803
meine	w3_d501e4806
Allerdurchlauchtigste	w5_d501e4809
Monar	w7_d501e4812
chin,	w1_d501e4818
zu	w3_d501e4821
Abstellung	w5_d501e4824
derselben	w7_d501e4827
Dero	w9_d501e4830
Aller	w11_d501e4833
höchste	w1_d501e4838
Befehle	w3_d501e4841
ertheilet;	w5_d501e4844
so	w7_d501e4847
wird	w9_d501e4850
auch	w11_d501e4853
auf	w13_d501e4857
ein	w1_d501e4862
darüber	w3_d501e4865
an	w5_d501e4868
mich	w7_d501e4871
gelangtes	w9_d501e4874
allergnädig	w11_d501e4877
stes	w1_d501e4882
Rescript,	w3_d501e4885
dem	w5_d501e4888
Publico	w7_d501e4891
hiedurch	w9_d501e4894
be	w11_d501e4897
kannt	w1_d501e4903
gemacht,	w3_d501e4906
daß,	w5_d501e4909
gemäß	w7_d501e4912
denen	w9_d501e4915
scholl	w11_d501e4918
zuvor	w1_d501e4923
dieserwegen	w3_d501e4926
publicirten	w5_d501e4929
allerhöchsten	w7_d501e4932
Befehlen,	w1_d501e4937
nicht	w3_d501e4940
allein	w5_d501e4943
einem	w7_d501e4946
jeden	w9_d501e4949
erlaubt	w11_d501e4952
seyn	w1_d501e4957
soll,	w3_d501e4960
in	w5_d501e4963
seinen	w7_d501e4966
eigenen	w9_d501e4969
Angelegenhei	w11_d501e4972
ten	w1_d501e4978
von	w3_d501e4981
hier	w5_d501e4984
nach	w7_d501e4987
andern	w9_d501e4990
Orten	w11_d501e4993
zu	w13_d501e4997
corre	w15_d501e5000
spondirca,	w1_d501e5005
sondern	w3_d501e5008
auch	w5_d501e5011
Jhrer	w7_d501e5014
Kaiserl.	w9_d501e5017
Ma	w11_d501e5020
jestät	w1_d501e5025
allerhöchste	w3_d501e5028
Willensmeinung	w5_d501e5031
ausdrück	w7_d501e5034
lich	w1_d501e5039
dahin	w3_d501e5042
gehet,	w5_d501e5045
daß	w7_d501e5048
die	w9_d501e5051
Posten	w11_d501e5054
inskünfti	w13_d501e5058
ge	w1_d501e5064
ihren	w3_d501e5067
sichern	w5_d501e5070
und	w7_d501e5073
freyen	w9_d501e5076
Lauf	w11_d501e5079
haben,	w13_d501e5083
und	w15_d501e5086
anstatt	w1_d501e5091
solche	w3_d501e5094
zu	w5_d501e5097
verhindern,	w7_d501e5100
denenselben	w9_d501e5103
al	w11_d501e5106
le	w1_d501e5111
zu	w3_d501e5114
ihrem	w5_d501e5117
fordersamsten	w7_d501e5120
Fortkommen	w9_d501e5123
er	w11_d501e5126
forderliche	w1_d501e5131
Aßistenze	w3_d501e5134
wiederfahren	w5_d501e5137
soll.	w7_d501e5140
Zu	w9_d501e5143
gleich	w1_d501e5149
aber	w3_d501e5152
werden	w5_d501e5155
alle	w7_d501e5158
und	w9_d501e5161
jede	w11_d501e5164
Einwohner	w13_d501e5168
dieses	w1_d501e5173
Landes	w3_d501e5176
über	w5_d501e5179
die	w7_d501e5182
schon	w9_d501e5185
ehedem	w11_d501e5188
ergan	w13_d501e5192
gene	w1_d501e5197
</p>
<p id="p8_d501e5202">
gene	w1_d501e5206
Publications	w3_d501e5209
hiermit	w5_d501e5212
nochmals	w7_d501e5215
auf	w9_d501e5218
das	w11_d501e5221
nachdrücklichste	w1_d501e5226
gewarnet,	w3_d501e5229
sich	w5_d501e5232
in	w7_d501e5235
keine	w9_d501e5238
Cor	w11_d501e5241
respondence,	w1_d501e5246
welche	w3_d501e5249
Jhrer	w5_d501e5252
Kaiserl.	w7_d501e5255
Majestät	w9_d501e5258
Armee,	w1_d501e5264
Dero	w3_d501e5267
Staaten	w5_d501e5270
und	w7_d501e5273
Allerhöchstes	w9_d501e5276
Jnteresse,	w1_d501e5281
oder	w3_d501e5284
andere	w5_d501e5287
verbotene	w7_d501e5290
Sachen	w9_d501e5293
be	w11_d501e5296
trift,	w1_d501e5301
einzulassen,	w3_d501e5304
widrigenfalls	w5_d501e5307
dergleichen	w7_d501e5310
Briefe	w1_d501e5315
nicht	w3_d501e5318
allein	w5_d501e5321
mit	w7_d501e5324
den	w9_d501e5327
Posten	w11_d501e5330
nicht	w13_d501e5334
wer	w15_d501e5337
den	w1_d501e5343
abgelassen,	w3_d501e5346
sondern	w5_d501e5349
auch	w7_d501e5352
die	w9_d501e5355
Correspon	w11_d501e5358
denten	w1_d501e5363
selbst	w3_d501e5366
zur	w5_d501e5369
Verantwortung,	w7_d501e5372
und	w9_d501e5375
nach	w11_d501e5378
Beschaffenheit	w1_d501e5383
der	w3_d501e5386
Umstände,	w5_d501e5389
zu	w7_d501e5392
gehöriger	w9_d501e5395
Strafe	w1_d501e5400
gezogen	w3_d501e5403
werden.	w5_d501e5406
Gegeben	w7_d501e5409
auf	w9_d501e5412
dem	w11_d501e5415
Schlosse	w1_d501e5421
zu	w3_d501e5424
Königsberg,	w5_d501e5427
den	w7_d501e5430
4.	w9_d501e5433
Oct.	w11_d501e5436
1760.	w13_d501e5440
Jhrer	w1_d501e5445
Kaiserl.	w3_d501e5448
Majestät	w5_d501e5451
von	w7_d501e5454
allen	w9_d501e5457
Reussen,	w11_d501e5460
meiner	w1_d501e5465
allergnädigsten	w3_d501e5468
Souveraine,	w5_d501e5471
be	w7_d501e5474
stellter	w1_d501e5479
General=leutenant	w3_d501e5482
von	w5_d501e5485
der	w7_d501e5488
Ar	w9_d501e5491
mee,	w1_d501e5497
würklicher	w3_d501e5500
Cammer=herr,	w5_d501e5503
wie	w7_d501e5506
auch	w9_d501e5509
Gouverneur	w1_d501e5514
des	w3_d501e5517
Königreichs	w5_d501e5520
Preus	w7_d501e5523
sen	w1_d501e5528
rc.	w3_d501e5531
</p>
<head id="h2_d501e5537">
Stockholm,	w1_d501e5541
21.	w3_d501e5544
October.	w5_d501e5547
</head>
<head id="h2_d501e5553">
Nicolaus	w1_d501e5557
Korff.	w3_d501e5560
</head>
<p id="p4_d501e5563">
Gestern	w1_d501e5567
hat	w3_d501e5570
die	w5_d501e5573
Hoch=löbl.	w7_d501e5576
Ritterschaft,	w9_d501e5579
mittelst	w1_d501e5584
einer	w3_d501e5587
Pluralität	w5_d501e5590
von	w7_d501e5593
219.	w9_d501e5596
Stim	w11_d501e5599
men,	w1_d501e5604
den	w3_d501e5607
General=leutenant	w5_d501e5610
und	w7_d501e5613
Commen	w9_d501e5616
danten	w1_d501e5622
des	w3_d501e5625
Königl.	w5_d501e5628
Schwerdordens,	w7_d501e5631
Grafen	w9_d501e5634
Axel	w1_d501e5639
Fersen,	w3_d501e5642
zum	w5_d501e5645
Land=marschall	w7_d501e5648
erwählet.	w9_d501e5651
Selbigen	w1_d501e5656
Tages	w3_d501e5659
ist,	w5_d501e5662
anstatt	w7_d501e5665
des	w9_d501e5668
zum	w11_d501e5671
Spre	w13_d501e5675
cher	w1_d501e5680
erwählten	w3_d501e5683
Bürger=meisters	w5_d501e5686
Kiermanns,	w7_d501e5689
der	w1_d501e5695
Hof=gerichts=raht	w3_d501e5698
und	w5_d501e5701
Justitzburger	w7_d501e5704
meister	w1_d501e5709
Rebeck	w3_d501e5712
zum	w5_d501e5715
Reichs=tags	w7_d501e5718
Gevoll	w9_d501e5721
mächtigten	w1_d501e5726
für	w3_d501e5729
den	w5_d501e5732
Magistrat	w7_d501e5735
dieser	w9_d501e5738
Stadt	w11_d501e5741
ernannt	w1_d501e5746
worden.	w3_d501e5749
Heute	w5_d501e5752
sind	w7_d501e5755
die	w9_d501e5758
Hoch	w11_d501e5761
löblichen	w1_d501e5767
Reichs=stände,	w3_d501e5770
um	w5_d501e5773
dem	w7_d501e5776
Verneh	w9_d501e5779
men	w1_d501e5784
mach,	w3_d501e5787
gewisse	w5_d501e5790
Oeconomica	w7_d501e5793
zu	w9_d501e5796
berich	w11_d501e5799
tigen,	w1_d501e5804
in	w3_d501e5807
ihren	w5_d501e5810
Plenis	w7_d501e5813
versammelt	w9_d501e5816
gewesen.	w11_d501e5819
Vor	w1_d501e5824
einigen	w3_d501e5827
Tagen	w5_d501e5830
ist	w7_d501e5833
zu	w9_d501e5836
Aes,	w11_d501e5839
in	w13_d501e5843
Süder	w15_d501e5846
manland,	w1_d501e5852
der	w3_d501e5855
Königl	w5_d501e5858
Extraordinaire	w7_d501e5861
En	w9_d501e5864
boye	w1_d501e5869
an	w3_d501e5872
dem	w5_d501e5875
Königl.	w7_d501e5878
Dänischen	w9_d501e5881
Hofe,	w11_d501e5884
Ba	w13_d501e5888
ron	w1_d501e5893
E.	w3_d501e5896
von	w5_d501e5899
Ungarn=Sternberg,	w7_d501e5902
mit	w9_d501e5905
Tod	w11_d501e5908
abgegangen.	w1_d501e5913
</p>
<head id="h2_d501e5919">
Copenhagen	w1_d501e5923
24.	w3_d501e5926
October.	w5_d501e5929
</head>
<p id="p4_d501e5932">
Den	w1_d501e5936
17ten	w3_d501e5939
dieses	w5_d501e5942
ist	w7_d501e5945
der	w9_d501e5948
Holms	w11_d501e5951
Chef,	w13_d501e5955
Commandeur	w1_d501e5960
Michael	w3_d501e5963
Johann	w5_d501e5966
Herbst,	w7_d501e5969
zum	w9_d501e5972
</p>
<p id="p6_d501e5975">
Schoutbynacht	w1_d501e5979
allergnädigst	w3_d501e5982
promoviret	w5_d501e5985
worden.	w1_d501e5990
</p>
<p id="p8_d501e5993">
Am	w1_d501e5997
Dienstage	w3_d501e6000
kamen	w5_d501e6003
Se.	w7_d501e6006
Majestät	w9_d501e6009
der	w11_d501e6012
König,	w1_d501e6017
Jhre	w3_d501e6020
Majestät	w5_d501e6023
die	w7_d501e6026
regierende	w9_d501e6029
Kö	w11_d501e6032
nigin,	w1_d501e6037
und	w3_d501e6040
Jhre	w5_d501e6043
Königl.	w7_d501e6046
Hoheit,	w9_d501e6049
die	w11_d501e6052
Prinzeßin	w1_d501e6058
Charlotte	w3_d501e6061
Amalia,	w5_d501e6064
von	w7_d501e6067
Friedens	w9_d501e6070
burg	w1_d501e6075
zur	w3_d501e6078
Stadt,	w5_d501e6081
um	w7_d501e6084
wie	w9_d501e6087
gewöhnlich,	w11_d501e6090
diesen	w13_d501e6094
Winter	w1_d501e6099
allhier	w3_d501e6102
zu	w5_d501e6105
bleiben.	w7_d501e6108
</p>
<p id="p10_d501e6111">
Ein	w1_d501e6115
von	w3_d501e6118
Norwegen	w5_d501e6121
gekommenes	w7_d501e6124
Trans	w9_d501e6127
port=schif	w1_d501e6132
ist	w3_d501e6135
dieser	w5_d501e6138
Tage,	w7_d501e6141
bey	w9_d501e6144
einem	w11_d501e6147
starken	w13_d501e6151
Sturm,	w1_d501e6156
an	w3_d501e6159
der	w5_d501e6162
Schonischen	w7_d501e6165
Küste	w9_d501e6168
auf	w11_d501e6171
den	w13_d501e6175
Grund	w1_d501e6181
gelffoen.	w3_d501e6184
Die	w5_d501e6187
Frau	w7_d501e6190
Gräfin	w9_d501e6193
Ha	w11_d501e6196
