<doc id="wr_1760-01-02" attrs="word" year="1760" month="01" day="02" corpus="2">
<head id="h2_d411e2925">
Erfurt	w1_d411e2929
ge	w13_d411e3799
nommen;	w1_d411e3804
es	w3_d411e3807
haben	w5_d411e3810
aber	w7_d411e3813
die	w9_d411e3816
daselbst	w11_d411e3819
ste	w13_d411e3823
hende	w1_d411e3828
Preussen	w3_d411e3831
auf	w5_d411e3834
die	w7_d411e3837
davon	w9_d411e3840
erhaltene	w11_d411e3843
Nachricht	w1_d411e3849
die	w3_d411e3852
dortige	w5_d411e3855
Elb=brücke	w7_d411e3858
abgebro	w9_d411e3861
chen,	w1_d411e3866
und	w3_d411e3869
dadurch	w5_d411e3872
den	w7_d411e3875
Uebergang	w9_d411e3878
verhin	w11_d411e3881
dert;	w1_d411e3886
hingegen	w3_d411e3889
hat	w5_d411e3892
gedachter	w7_d411e3895
Herr	w9_d411e3898
Ge	w11_d411e3901
neral	w1_d411e3906
etliche	w3_d411e3909
20.	w5_d411e3912
Schiffe,	w7_d411e3915
welche	w9_d411e3918
mit	w11_d411e3921
Pro	w13_d411e3925
viant	w1_d411e3931
beladen,	w3_d411e3934
von	w5_d411e3937
Magdeburg	w7_d411e3940
gekommen,	w9_d411e3943
und	w1_d411e3948
auf	w3_d411e3951
der	w5_d411e3954
andern	w7_d411e3957
Elb=seite	w9_d411e3960
für	w11_d411e3963
die	w13_d411e3967
Preus	w15_d411e3970
sische	w1_d411e3975
Armee	w3_d411e3978
bey	w5_d411e3981
Kesfelsdorf	w7_d411e3984
unterhalb	w9_d411e3987
Meis	w11_d411e3990
sen	w1_d411e3995
ausgeschiffet	w3_d411e3998
werden	w5_d411e4001
sollen,	w7_d411e4004
auf	w9_d411e4007
besag	w11_d411e4010
tem	w1_d411e4016
Marsch	w3_d411e4019
ruiniren	w5_d411e4022
und	w7_d411e4025
in	w9_d411e4028
Grund	w11_d411e4031
schies	w13_d411e4035
sen	w1_d411e4040
lassen.	w3_d411e4043
Den	w5_d411e4046
10.	w7_d411e4049
dieses	w9_d411e4052
haben	w11_d411e4055
die	w13_d411e4059
Oe	w15_d411e4062
sterreichische	w1_d411e4067
und	w3_d411e4070
Preußische	w5_d411e4073
Hussaren	w7_d411e4076
zwi	w9_d411e4079
schen	w1_d411e4084
Kesselsdorf	w3_d411e4087
und	w5_d411e4090
Steinbach	w7_d411e4093
einen	w9_d411e4096
schar	w11_d411e4099
fen	w1_d411e4105
Scharmugel	w3_d411e4108
gehabt,	w5_d411e4111
und	w7_d411e4114
die	w9_d411e4117
letztern	w11_d411e4120
haben	w1_d411e4125
bey	w3_d411e4128
der	w5_d411e4131
Retirade	w7_d411e4134
ihre	w9_d411e4137
von	w11_d411e4140
Reisig,	w13_d411e4144
und	w1_d411e4149
Stroh	w3_d411e4152
verfertigte	w5_d411e4155
Hütten	w7_d411e4158
abgebrannt,	w9_d411e4161
Die	w1_d411e4166
Preußische	w3_d411e4169
Armee	w5_d411e4172
befindet	w7_d411e4175
sich	w9_d411e4178
noch	w11_d411e4181
in	w1_d411e4187
ihrer	w3_d411e4190
vorigen	w5_d411e4193
Stellung	w7_d411e4196
von	w9_d411e4199
Prißnitz	w11_d411e4202
bis	w13_d411e4206
nach	w1_d411e4211
Kesselsdorf.	w3_d411e4214
Sie	w5_d411e4217
haben	w7_d411e4220
schon	w9_d411e4223
2.	w11_d411e4226
mal	w13_d411e4230
zu	w1_d411e4235
Nachts	w3_d411e4238
die	w5_d411e4241
Oesterreicher	w7_d411e4244
in	w9_d411e4247
Friedrichs	w11_d411e4250
stadt	w1_d411e4255
überfallen	w3_d411e4258
wollen,	w5_d411e4261
aber	w7_d411e4264
niemals	w9_d411e4267
ihr	w11_d411e4270
Vorhaben	w1_d411e4276
ausgeführt.	w3_d411e4279
Der	w5_d411e4282
General	w7_d411e4285
Had	w9_d411e4288
dick	w1_d411e4293
ist	w3_d411e4296
dieser	w5_d411e4299
Tagen	w7_d411e4302
aus	w9_d411e4305
Böhmen	w11_d411e4308
wieder	w13_d411e4312
anhero	w1_d411e4317
zurück	w3_d411e4320
gekommen,	w5_d411e4323
und	w7_d411e4326
hat,	w9_d411e4329
wie	w11_d411e4332
man	w1_d411e4337
vernihmt,	w3_d411e4340
das	w5_d411e4343
Commando	w7_d411e4346
über	w9_d411e4349
den	w11_d411e4352
Oesterreichischen	w1_d411e4358
linken	w3_d411e4361
Flügel	w5_d411e4364
erhalten.	w7_d411e4367
Dieser	w1_d411e4372
Tagen	w3_d411e4375
seynd	w5_d411e4378
bey	w7_d411e4381
500.	w9_d411e4384
Recruten	w11_d411e4387
aus	w13_d411e4391
Steyermarkt	w1_d411e4396
für	w3_d411e4399
die	w5_d411e4402
hier	w7_d411e4405
in	w9_d411e4408
Garnison	w11_d411e4411
ste	w13_d411e4415
hende	w1_d411e4420
Regimenter,	w3_d411e4423
ingleichen	w5_d411e4426
auch	w7_d411e4429
vie	w9_d411e4432
les	w1_d411e4438
Tuch	w3_d411e4441
und	w5_d411e4444
andere	w7_d411e4447
zur	w9_d411e4450
Montirung	w11_d411e4453
gehö	w13_d411e4457
rige	w1_d411e4462
Sachen	w3_d411e4465
hieher	w5_d411e4468
gebracht	w7_d411e4471
worden.	w9_d411e4474
Bey	w11_d411e4477
Neustadt	w1_d411e4482
auf	w3_d411e4485
der	w5_d411e4488
Wiese	w7_d411e4491
und	w9_d411e4494
dem	w11_d411e4497
Terrain	w13_d411e4501
unter	w1_d411e4506
und	w3_d411e4509
oberhalb	w5_d411e4512
der	w7_d411e4515
Brücke	w9_d411e4518
wird	w11_d411e4521
ein	w13_d411e4525
Heu=magazin	w1_d411e4531
durch	w3_d411e4534
die	w5_d411e4537
starke	w7_d411e4540
Zufuhr	w9_d411e4543
aus	w11_d411e4546
Böhmen	w1_d411e4551
angeleget,	w3_d411e4554
und	w5_d411e4557
an	w7_d411e4560
der	w9_d411e4563
Elb=seite	w11_d411e4566
mit	w1_d411e4571
Palisaden	w3_d411e4574
umgeben.	w5_d411e4577
Hingegen	w7_d411e4580
am	w9_d411e4583
Stroh	w1_d411e4588
ist	w3_d411e4591
im	w5_d411e4594
Holländischen	w7_d411e4597
Palais=garten	w9_d411e4600
von	w1_d411e4606
dem	w3_d411e4609
Preußischen	w5_d411e4612
Magazin	w7_d411e4615
noch	w9_d411e4618
ein	w11_d411e4621
grosser	w1_d411e4626
Vorrat	w3_d411e4629
vorhanden,	w5_d411e4632
und	w7_d411e4635
weil	w9_d411e4638
au	w11_d411e4641
der	w1_d411e4646
Holz=flösse	w3_d411e4649
und	w5_d411e4652
in	w7_d411e4655
denen	w9_d411e4658
Holz=höfen	w11_d411e4661
</p>
<p id="p12_d411e4665">
das	w1_d411e4669
Hotz	w3_d411e4672
meistens	w5_d411e4675
aufgegangen	w7_d411e4678
ist,	w9_d411e4681
des	w11_d411e4684
im	w1_d411e4689
Zwinger=garten	w3_d411e4692
aber	w5_d411e4695
angeschafte	w7_d411e4698
grosse	w9_d411e4701
Vorrat	w1_d411e4706
in	w3_d411e4709
gewisser	w5_d411e4712
Absicht	w7_d411e4715
stehen	w9_d411e4718
bleibt;	w11_d411e4721
so	w1_d411e4727
wird	w3_d411e4730
auf	w5_d411e4733
hohe	w7_d411e4736
Anordnung	w9_d411e4739
in	w11_d411e4742
denen	w13_d411e4746
Kö	w15_d411e4749
niglichen	w1_d411e4754
Ställen,	w3_d411e4757
das	w5_d411e4760
erforderliche	w7_d411e4763
Holz	w9_d411e4766
geschlagen,	w1_d411e4771
und	w3_d411e4774
für	w5_d411e4777
die	w7_d411e4780
Armee	w9_d411e4783
und	w11_d411e4786
Bäcke	w13_d411e4790
rey	w1_d411e4795
geliefert.	w3_d411e4798
</p>
<head id="h2_d411e4804">
Stuttgard	w1_d411e4808
16	w3_d411e4811
Dec.	w5_d411e4814
1759.	w7_d411e4817
</head>
<p id="p4_d411e4820">
Mit	w1_d411e4824
dem	w3_d411e4827
gestern	w5_d411e4830
hier	w7_d411e4833
eingetroffenen	w9_d411e4836
Feld	w11_d411e4839
currier	w1_d411e4844
hat	w3_d411e4847
man	w5_d411e4850
vernommen,	w7_d411e4853
daß	w9_d411e4856
Se.	w11_d411e4859
Her	w13_d411e4863
zogliche	w1_d411e4868
Durchl.	w3_d411e4871
unser	w5_d411e4874
gnädigster	w7_d411e4877
Lande	w9_d411e4880
8	w11_d411e4883
vatter	w1_d411e4889
den	w3_d411e4892
13.	w5_d411e4895
dieses	w7_d411e4898
Dero	w9_d411e4901
Hauptquar	w11_d411e4904
tier	w1_d411e4909
zu	w3_d411e4912
Reineck,	w5_d411e4915
einem	w7_d411e4918
Gräflichen	w9_d411e4921
Nosti	w11_d411e4924
tzischen	w1_d411e4929
Städtlein	w3_d411e4932
gehabt.	w5_d411e4935
Se.	w7_d411e4938
Herzogl.	w9_d411e4941
Durchl.	w1_d411e4946
haben	w3_d411e4949
nach	w5_d411e4952
der	w7_d411e4955
Affaire	w9_d411e4958
bey	w11_d411e4961
Fulda	w13_d411e4965
alle	w1_d411e4971
detaschirte	w3_d411e4974
Corps	w5_d411e4977
an	w7_d411e4980
sich	w9_d411e4983
gezogen,	w11_d411e4986
und	w13_d411e4990
sind	w1_d411e4995
von	w3_d411e4998
Hammel	w5_d411e5001
nach	w7_d411e5004
Zietlof,	w9_d411e5007
und	w11_d411e5010
von	w13_d411e5014
da	w1_d411e5019
nach	w3_d411e5022
erwehnten	w5_d411e5025
Städtlein	w7_d411e5028
Reineck	w9_d411e5031
mar	w11_d411e5034
schirt.	w1_d411e5039
Von	w3_d411e5042
des	w5_d411e5045
Prinzens	w7_d411e5048
Louis	w9_d411e5051
Eugene	w11_d411e5054
Durchl.	w1_d411e5060
vernehmen	w3_d411e5063
wir,	w5_d411e5066
daß	w7_d411e5069
Höchstdie	w9_d411e5072
selbe	w1_d411e5077
bey	w3_d411e5080
der	w5_d411e5083
Armee	w7_d411e5086
des	w9_d411e5089
Marschalls	w11_d411e5092
Gra	w13_d411e5096
fens	w1_d411e5101
von	w3_d411e5104
Daun,	w5_d411e5107
in	w7_d411e5110
vollkommenen	w9_d411e5113
Wolseyn	w11_d411e5116
sich	w13_d411e5120
befinden.	w1_d411e5125
Von	w3_d411e5128
dem	w5_d411e5131
in	w7_d411e5134
Ulm	w9_d411e5137
versammelt	w11_d411e5140
ge	w13_d411e5144
westen	w1_d411e5150
allgemeinen	w3_d411e5153
Kreis=convent	w5_d411e5156
sind	w7_d411e5159
des	w1_d411e5164
Herrn	w3_d411e5167
Marggrafens	w5_d411e5170
Carl	w7_d411e5173
August	w9_d411e5176
von	w11_d411e5179
Baden=durlach	w1_d411e5184
Durchl.	w3_d411e5187
zum	w5_d411e5190
Generalfeld	w7_d411e5193
zeug=meister,	w1_d411e5198
des	w3_d411e5201
Prinzens	w5_d411e5204
August	w7_d411e5207
von	w9_d411e5210
Baden=baden	w1_d411e5216
Durchl.	w3_d411e5219
zum	w5_d411e5222
General	w7_d411e5225
der	w9_d411e5228
Ca	w11_d411e5231
vallerie,	w1_d411e5236
und	w3_d411e5239
des	w5_d411e5242
Erb=prinzens	w7_d411e5245
von	w9_d411e5248
Ho	w11_d411e5251
henzollern	w1_d411e5256
Sigmaringen	w3_d411e5259
Durchl.	w5_d411e5262
zum	w7_d411e5265
Ge	w9_d411e5268
neral=leutenant	w1_d411e5273
erkläret	w3_d411e5276
worden.	w5_d411e5279
</p>
<p id="p6_d411e5282">
Es	w1_d411e5286
kommen	w3_d411e5289
täglich	w5_d411e5292
von	w7_d411e5295
denen	w9_d411e5298
in	w11_d411e5301
Ha	w13_d411e5305
növerische	w1_d411e5310
Gefangenschaft	w3_d411e5313
gerahtenen	w5_d411e5316
Gre	w7_d411e5319
nadiers	w1_d411e5324
und	w3_d411e5327
Mousquetiers,	w5_d411e5330
viele	w7_d411e5333
Selbst	w9_d411e5336
ranzionirte	w1_d411e5342
allhier	w3_d411e5345
an,	w5_d411e5348
und	w7_d411e5351
hat	w9_d411e5354
man	w11_d411e5357
der	w13_d411e5361
selben	w1_d411e5366
an	w3_d411e5369
einem	w5_d411e5372
Tag	w7_d411e5375
in	w9_d411e5378
der	w11_d411e5381
vorigen	w13_d411e5385
Woche	w15_d411e5388
etliche	w1_d411e5393
40.	w3_d411e5396
gezehlet.	w5_d411e5399
Se.	w7_d411e5402
Herzogl.	w9_d411e5405
Durchl.	w11_d411e5408
haben	w1_d411e5413
befohlen,	w3_d411e5416
daß	w5_d411e5419
selbige	w7_d411e5422
auf	w9_d411e5425
dem	w11_d411e5428
Sam	w13_d411e5432
mel=platz	w1_d411e5438
alhier,	w3_d411e5441
nicht	w5_d411e5444
allein	w7_d411e5447
beynebst	w9_d411e5450
dem	w11_d411e5453
Selbst	w1_d411e5458
ranzionirungs=douceur	w3_d411e5461
also	w5_d411e5464
gleich	w7_d411e5467
mit	w9_d411e5470
neuer	w1_d411e5475
groß	w3_d411e5478
und	w5_d411e5481
kleinen	w7_d411e5484
Montirung	w9_d411e5487
wieder	w11_d411e5490
versehen,	w1_d411e5495
sondern	w3_d411e5498
auch,	w5_d411e5501
besonders	w7_d411e5504
die	w9_d411e5507
Bles	w11_d411e5510
</p>
<p id="p12_d411e5524">
sirte	w1_d411e5528
von	w3_d411e5531
ihnen	w5_d411e5534
wol	w7_d411e5537
in	w9_d411e5540
Acht	w11_d411e5543
genommen,	w13_d411e5547
und	w15_d411e5550
zu	w1_d411e5555
ihrer	w3_d411e5558
Heilung	w5_d411e5561
bestens	w7_d411e5564
besorget	w9_d411e5567
werden.	w11_d411e5570
</p>
<head id="h2_d411e5576">
Genua	w1_d411e5580
8.	w3_d411e5583
Decemb.	w5_d411e5586
1759.	w7_d411e5589
</head>
<p id="p4_d411e5592">
Vermög	w1_d411e5596
sicheren	w3_d411e5599
Nachrichten	w5_d411e5602
seynd	w7_d411e5605
Jhre	w9_d411e5608
Catholische	w1_d411e5613
Majestäten	w3_d411e5616
am	w5_d411e5619
1.	w7_d411e5622
dieses	w9_d411e5625
nach	w11_d411e5628
Madrid	w1_d411e5633
von	w3_d411e5636
Saragossa	w5_d411e5639
würklich	w7_d411e5642
aufgebro	w9_d411e5645
chen;	w1_d411e5651
es	w3_d411e5654
wird	w5_d411e5657
aber	w7_d411e5660
diese	w9_d411e5663
Reise	w11_d411e5666
sehr	w13_d411e5670
gemäch	w15_d411e5673
lich,	w1_d411e5678
und	w3_d411e5681
in	w5_d411e5684
ganz	w7_d411e5687
kleinen	w9_d411e5690
Tag=reisen	w11_d411e5693
gemacht,	w13_d411e5697
und	w1_d411e5702
so,	w3_d411e5705
wie	w5_d411e5708
es	w7_d411e5711
die	w9_d411e5714
Umstände	w11_d411e5717
Jhrer	w13_d411e5721
Maje	w15_d411e5724
stät	w1_d411e5729
der	w3_d411e5732
Königin	w5_d411e5735
und	w7_d411e5738
der	w9_d411e5741
Königl.	w11_d411e5744
Famile,	w13_d411e5748
welche	w1_d411e5754
erst	w3_d411e5757
kürzlich	w5_d411e5760
von	w7_d411e5763
ihrer	w9_d411e5766
Krankheit	w11_d411e5769
sich	w13_d411e5773
erholet,	w1_d411e5778
zulassen.	w3_d411e5781
</p>
<head id="h2_d411e5788">
Lisabon	w1_d411e5792
23.	w3_d411e5795
November.	w5_d411e5798
1759.	w7_d411e5801
</head>
<p id="p4_d411e5804">
Als	w1_d411e5808
die	w3_d411e5811
Prinzeßin	w5_d411e5814
von	w7_d411e5817
Brasilien	w9_d411e5820
mit	w11_d411e5823
dem	w1_d411e5828
Hofe	w3_d411e5831
nach	w5_d411e5834
Villa=viciosa	w7_d411e5837
sich	w9_d411e5840
erheben	w11_d411e5843
wolte,	w1_d411e5848
so	w3_d411e5851
hat	w5_d411e5854
sie	w7_d411e5857
einen	w9_d411e5860
Fall	w11_d411e5863
gethan,	w13_d411e5867
wel	w15_d411e5870
cher	w1_d411e5876
aber	w3_d411e5879
zum	w5_d411e5882
Glück	w7_d411e5885
von	w9_d411e5888
keinen	w11_d411e5891
übeln	w13_d411e5895
Fol	w15_d411e5898
gen	w1_d411e5903
gewesen	w3_d411e5906
ist.	w5_d411e5909
Der	w7_d411e5912
König,	w9_d411e5915
die	w11_d411e5918
Königin	w13_d411e5922
und	w1_d411e5927
die	w3_d411e5930
Königl.	w5_d411e5933
Herrschaften,	w7_d411e5936
belustigen	w9_d411e5939
sich	w11_d411e5942
in	w1_d411e5947
denen	w3_d411e5950
Gegenden	w5_d411e5953
von	w7_d411e5956
Villa=viciosa	w9_d411e5959
mit	w11_d411e5962
der	w1_d411e5968
Jagd.	w3_d411e5971
Heute	w5_d411e5974
verfügen	w7_d411e5977
Sie	w9_d411e5980
sich	w11_d411e5983
nach	w13_d411e5987
Alto	w1_d411e5992
do	w3_d411e5995
Cham,	w5_d411e5998
von	w7_d411e6001
dar	w9_d411e6004
nach	w11_d411e6007
Crato	w13_d411e6011
und	w15_d411e6014
alsdann	w1_d411e6019
nach	w3_d411e6022
Romeam,	w5_d411e6025
wo	w7_d411e6028
Sie	w9_d411e6031
acht	w11_d411e6034
Tage	w13_d411e6038
verbleiben	w1_d411e6043
werden;	w3_d411e6046
hierauf	w5_d411e6049
reisen	w7_d411e6052
Sie	w9_d411e6055
nach	w11_d411e6058
Villa=viciosa	w1_d411e6064
zurück,	w3_d411e6067
und	w5_d411e6070
werden	w7_d411e6073
den	w9_d411e6076
10.	w11_d411e6079
oder	w1_d411e6084
12.	w3_d411e6087
December	w5_d411e6090
diese	w7_d411e6093
Haupt=stadt	w9_d411e6096
mit	w11_d411e6099
Dero	w1_d411e6104
Gegenwart	w3_d411e6107
wieder	w5_d411e6110
beglücken.	w7_d411e6113
Der	w9_d411e6116
Graf	w1_d411e6121
von	w3_d411e6124
Oayras	w5_d411e6127
hat	w7_d411e6130
dem	w9_d411e6133
Hofe	w11_d411e6136
bisher	w13_d411e6140
nicht	w1_d411e6146
nachfolgen	w3_d411e6149
können.	w5_d411e6152
Die	w7_d411e6155
Sache	w9_d411e6158
der	w11_d411e6161
Staats=gefangenen	w1_d411e6166
hat	w3_d411e6169
noch	w5_d411e6172
nicht	w7_d411e6175
das	w9_d411e6178
Ende	w11_d411e6181
erreichet,	w1_d411e6186
indem	w3_d411e6189
das	w5_d411e6192
Unglück	w7_d411e6195
ihre	w9_d411e6198
Zahl	w11_d411e6201
täglich	w1_d411e6206
vermehret.	w3_d411e6209
Der	w5_d411e6212
Herr	w7_d411e6215
Enserrabo	w9_d411e6218
des,	w1_d411e6224
welcher	w3_d411e6227
den	w5_d411e6230
7.	w7_d411e6233
November	w9_d411e6236
auf	w11_d411e6239
dem	w13_d411e6243
Paquet	w1_d411e6248
Bot	w3_d411e6251
Hanover	w5_d411e6254
zurückgekehret	w7_d411e6257
ist,	w9_d411e6260
wurde	w1_d411e6265
den	w3_d411e6268
folgenden	w5_d411e6271
Tag	w7_d411e6274
in	w9_d411e6277
das	w11_d411e6280
Fort	w13_d411e6284
Junqueira	w1_d411e6289
gebracht.	w3_d411e6292
</p>
<p id="p6_d411e6295">
Der	w1_d411e6299
König	w3_d411e6302
geruhete	w5_d411e6305
unter	w7_d411e6308
seiner	w9_d411e6311
See	w11_d411e6314
macht	w1_d411e6319
4.	w3_d411e6322
Schifs	w5_d411e6325
haups=leute,	w7_d411e6328
und	w9_d411e6331
5.	w11_d411e6334
Leute	w13_d411e6338
nauts	w1_d411e6343
zu	w3_d411e6346
befördern.	w5_d411e6349
Die	w7_d411e6352
Flotte	w9_d411e6355
von	w11_d411e6358
Bahia	w13_d411e6362
ist,	w1_d411e6368
ausser	w3_d411e6371
2.	w5_d411e6374
Schiffen,	w7_d411e6377
welche	w9_d411e6380
man	w11_d411e6383
noch	w13_d411e6387
erwartet,	w1_d411e6392
in	w3_d411e6395
dem	w5_d411e6398
hiesigen	w7_d411e6401
Hafen	w9_d411e6404
angelan	w11_d411e6407
get;	w1_d411e6412
zugleich	w3_d411e6415
sind	w5_d411e6418
7.	w7_d411e6421
Schiffe	w9_d411e6424
von	w11_d411e6427
der	w13_d411e6431
Flotte	w15_d411e6434
von	w1_d411e6439
Rio,	w3_d411e6442
wie	w5_d411e6445
auch	w7_d411e6448
die	w9_d411e6451
Kriegs=schiffe,	w11_d411e6454
die	w13_d411e6458
</p>
<p id="p8_d411e6461">
sie	w1_d411e6465
begleitet	w3_d411e6468
haben,	w5_d411e6471
mit	w7_d411e6474
eingeloffen;	w9_d411e6477
ein	w11_d411e6480
des	w13_d411e6484
tiger	w1_d411e6489
Sturm,	w3_d411e6492
der	w5_d411e6495
diese	w7_d411e6498
Flotten	w9_d411e6501
den	w11_d411e6504
28.	w13_d411e6508
October	w1_d411e6513
überfallen,	w3_d411e6516
hat	w5_d411e6519
sie	w7_d411e6522
getrennet,	w9_d411e6525
aber	w11_d411e6528
nun	w1_d411e6534
vernihmt	w3_d411e6537
man,	w5_d411e6540
daß	w7_d411e6543
12.	w9_d411e6546
Schiffe	w11_d411e6549
von	w13_d411e6553
Rio	w1_d411e6558
vor	w3_d411e6561
Lagos	w5_d411e6564
geankert	w7_d411e6567
