<doc id="edoc_wd_1759-10-03" attrs="word" year="1759" month="10" day="03" corpus="1">
<head id="hl1">
Lahn	w46
Uebel	w379
mehr	w380
als	w381
anfänglich	w382
<g/>
,
ob	w384
man	w385
uns	w386
gleich	w387
sehr	w388
hart	w389
gehalten	w390
hat	w391
<g/>
;
dann	w393
unser	w394
Commercium	w395
ist	w396
von	w397
allen	w398
Seiten	w399
gehin=dert	w400
<g/>
=
und	w402
gesperrt	w403
<g/>
,
indem	w405
die	w406
Russen	w407
<g/>
,
bey	w409
ihrem	w410
Abzug	w411
den	w412
Canal	w413
der	w414
Oder	w415
mit	w416
allen	w417
seinen	w418
Schleußen	w419
ruiniret	w420
<g/>
.
</p>
<head id="hl3">
Amsterdam	w422
21	w423
<g/>
.
Sept	w425
<g/>
.
</head>
<p id="p7">
Die	w427
aus	w428
America	w429
eingeloffene	w430
Berichte	w431
melden	w432
<g/>
,
daß	w434
die	w435
Franzosen	w436
Crown	w437
Point	w438
verlassen	w439
<g/>
,
die	w441
Engländer	w442
Niagara	w443
erobert	w444
<g/>
,
650	w446
<g/>
.
Kriegs	w448
<g/>
=
gefangene	w450
gemacht	w451
<g/>
,
und	w453
ein	w454
Corpo	w455
von	w456
1800	w457
<g/>
.
Mann	w459
geschlagen	w460
hätten	w461
<g/>
.
Der	w463
General	w464
Amhorst	w465
werde	w466
sich	w467
mit	w468
dem	w469
General	w470
Wolf	w471
vereinigen	w472
<g/>
,
welcher	w474
ungeach=tet	w475
<g/>
=
der	w477
Bemühungen	w478
von	w479
6	w480
<g/>
.
Französischen	w482
Branders	w483
<g/>
,
um	w485
die	w486
Engländische	w487
Schiffe	w488
zu	w489
verbrennen	w490
<g/>
,
3	w492
<g/>
.
Meilen	w494
von	w495
Quebec	w496
seine	w497
Trupen	w498
ans	w499
Land	w500
gebracht	w501
<g/>
.
Diese	w503
errich=teten	w504
<g/>
=
sogleich	w506
2	w507
<g/>
.
Batterien	w509
<g/>
,
deren	w511
eine	w512
mit	w513
20	w514
<g/>
.
Canonen	w516
von	w517
24	w518
<g/>
.
pfündigen	w520
Kugeln	w521
und	w522
eine	w523
mit	w524
18	w525
<g/>
.
Mörsern	w527
besetzt	w528
war	w529
<g/>
.
Sie	w531
dominiren	w532
den	w533
niederen	w534
Theil	w535
von	w536
Quebec	w537
<g/>
,
und	w539
erreichen	w540
zugleich	w541
den	w542
höhern	w543
Theil	w544
der=selben	w545
<g/>
=
<g/>
,
zumalen	w548
da	w549
sie	w550
von	w551
ersterem	w552
nur	w553
drey	w554
viertel	w555
Meilen	w556
entfernet	w557
sind	w558
<g/>
.
Die	w560
Armee	w561
selbst	w562
bezog	w563
ihr	w564
Lager	w565
eine	w566
Meile	w567
von	w568
der	w569
Batterie	w570
und	w571
die	w572
Canonen	w573
der	w574
Belager=ten	w575
<g/>
=
sollen	w577
fast	w578
eine	w579
halbe	w580
Meile	w581
über	w582
das	w583
Lager	w584
weggehen	w585
<g/>
.
Den	w587
24	w588
<g/>
.
Julii	w590
solten	w591
die	w592
Batterien	w593
zu	w594
spielen	w595
anfangen	w596
<g/>
,
und	w598
drey	w599
Kriegs	w600
<g/>
=
schiffe	w602
<g/>
,
jedes	w604
von	w605
60	w606
<g/>
.
Canonen	w608
<g/>
,
wer=den	w610
<g/>
=
alsdah	w612
ein	w613
keines	w614
Lager	w615
<g/>
,
einige	w617
Batterien	w618
und	w619
andere	w620
Werker	w621
der	w622
niedern	w623
Stadt	w624
be=schiessen	w625
<g/>
=
<g/>
.
Drey	w628
andere	w629
Kriegs	w630
<g/>
=
schiffe	w632
aber	w633
<g/>
,
nebst	w635
zwey	w636
Bomben	w637
Galiotten	w638
haben	w639
Ordre	w640
das	w641
Centrum	w642
der	w643
Stadt	w644
zu	w645
attaquiren	w646
<g/>
.
Die	w648
Französische	w649
Kriegs	w650
<g/>
=
schiffe	w652
deren	w653
3	w654
<g/>
.
sind	w656
nebst	w657
16	w658
<g/>
.
andern	w660
Schiffen	w661
<g/>
,
haben	w663
sich	w664
</p>
<p id="p8">
zurück	w665
gezogen	w666
<g/>
.
Die	w668
Französische	w669
Armee	w670
campirt	w671
hinter	w672
der	w673
Stadt	w674
<g/>
,
und	w676
wird	w677
von	w678
dem	w679
Herrn	w680
Marquis	w681
von	w682
Vaudrevil	w683
com=mandirt	w684
<g/>
=
<g/>
.
</p>
<head id="hl4">
Aus	w687
dem	w688
Hennebergischen	w689
10	w690
<g/>
.
Sept	w692
<g/>
.
</head>
<p id="p9">
Gestern	w694
kamen	w695
in	w696
Suhl	w697
ganz	w698
unvermu=tet	w699
<g/>
=
einige	w701
Hanöverische	w702
Jäger	w703
und	w704
Hussa=ren	w705
<g/>
=
an	w707
<g/>
,
da	w709
sie	w710
aber	w711
keine	w712
fremde	w713
Trupen	w714
fanden	w715
<g/>
,
so	w717
giengen	w718
sie	w719
nach	w720
kurzem	w721
Verwei=len	w722
<g/>
=
wieder	w724
zurück	w725
<g/>
.
</p>
<head id="hl5">
Aus	w727
Thüringen	w728
11	w729
<g/>
.
Sept	w731
<g/>
.
</head>
<p id="p10">
Gestern	w733
Abend	w734
um	w735
4	w736
<g/>
.
Uhr	w738
rückte	w739
zu	w740
Wiegleben	w741
ein	w742
Detaschement	w743
Hanöverischer	w744
Jäger	w745
und	w746
schwarzer	w747
Hussaren	w748
ein	w749
<g/>
,
und	w751
faste	w752
über	w753
dem	w754
Holze	w755
Posto	w756
<g/>
.
Kurz	w758
darauf	w759
kam	w760
der	w761
Capitain	w762
von	w763
Bülow	w764
gleichfalls	w765
von	w766
bemeldetem	w767
Jäger	w768
<g/>
=
corps	w770
mit	w771
einem	w772
Deta=schement	w773
<g/>
=
von	w775
schwerer	w776
Cavallerie	w777
und	w778
Dra=gonern	w779
<g/>
=
von	w781
Langenfalz	w782
dazu	w783
<g/>
.
</p>
<head id="hl6">
Bayreuth	w785
19	w786
<g/>
.
Sept	w788
<g/>
.
</head>
<p id="p11">
Sämtliche	w790
hier	w791
in	w792
Garnison	w793
stehende	w794
Her=ren	w795
<g/>
=
Officiers	w797
<g/>
,
sowol	w799
von	w800
der	w801
Cavallerie	w802
<g/>
,
als	w804
Jnfanterie	w805
mit	w806
Zuziehung	w807
des	w808
gehei=men	w809
<g/>
=
Regierungs	w811
<g/>
=
rahts	w813
von	w814
Röder	w815
<g/>
,
und	w817
Ober	w818
<g/>
=
forst	w820
<g/>
=
meisters	w822
Bär	w823
von	w824
Künsperg	w825
<g/>
,
und	w827
Reitzenstein	w828
<g/>
,
auch	w830
anderer	w831
anwesenden	w832
Dames	w833
und	w834
fremden	w835
Cavalliers	w836
<g/>
,
haben	w838
gestern	w839
wegen	w840
der	w841
in	w842
Braunschweig	w843
vorsey=enden	w844
<g/>
=
Vermählung	w846
unseres	w847
Landes	w848
<g/>
=
herrn	w850
<g/>
,
ihre	w852
unterthänigste	w853
Devotion	w854
auf	w855
folgende	w856
Art	w857
bezeiget	w858
<g/>
.
Um	w860
5	w861
<g/>
.
Uhr	w863
Nachmittags	w864
kamen	w865
sämtliche	w866
zu	w867
diesem	w868
Feste	w869
gebettene	w870
Cavalliers	w871
und	w872
Dames	w873
<g/>
,
sowol	w875
von	w876
der	w877
Garnison	w878
als	w879
vom	w880
Hofe	w881
in	w882
die	w883
am	w884
Mayn	w885
ligende	w886
Reiter	w887
<g/>
=
caserne	w889
in	w890
Gala	w891
zusam=men	w892
<g/>
=
<g/>
.
Das	w895
Fest	w896
aber	w897
selbst	w898
eröfnete	w899
eine	w900
immerwährende	w901
Music	w902
von	w903
denen	w904
bey	w905
hiesigem	w906
Hussaren	w907
<g/>
=
corps	w909
stehenden	w910
Trom=peten	w911
<g/>
=
und	w913
Paucken	w914
<g/>
,
dann	w916
des	w917
sämtlichen	w918
Hautboisten	w919
<g/>
=
chors	w921
vom	w922
hiesigen	w923
Hochfürst=lichen	w924
<g/>
=
Leib	w926
<g/>
=
grenadier	w928
<g/>
=
bataillon	w930
<g/>
,
und	w932
diedieses	w933
<g/>
=
</p>
<p id="p12">
ses	w936
in	w937
zweyen	w938
Chören	w939
<g/>
,
allezeit	w941
Wechsels=weise	w942
<g/>
=
<g/>
.
Bis	w945
gegen	w946
8	w947
<g/>
.
Uhr	w949
spielte	w950
man	w951
an	w952
unterschiedenen	w953
Tischen	w954
<g/>
.
Abends	w956
gegen	w957
7	w958
<g/>
.
Uhr	w960
sahe	w961
man	w962
die	w963
ganze	w964
Caserne	w965
in	w966
allen	w967
Fenstern	w968
illuminiret	w969
<g/>
.
Um	w971
8	w972
<g/>
.
Uhr	w974
wurde	w975
im	w976
grossen	w977
<g/>
,
mit	w979
vielen	w980
Wand	w981
<g/>
=
leuchtern	w983
erleuchteten	w984
Saale	w985
<g/>
,
eine	w987
Tafel	w988
von	w989
48	w990
<g/>
.
Cou=verts	w992
<g/>
=
serviret	w994
<g/>
,
und	w996
daran	w997
gespeiset	w998
<g/>
.
Wäh=render	w1000
<g/>
=
ganzen	w1002
Tafel	w1003
liessen	w1004
sich	w1005
bey	w1006
allen	w1007
auf	w1008
das	w1009
Wol	w1010
der	w1011
hochfürstlichen	w1012
Personen	w1013
getrunkenen	w1014
Gesundheiten	w1015
die	w1016
im	w1017
Casernen=hofe	w1018
<g/>
=
gepflanzte	w1020
Canonen	w1021
beständig	w1022
hören	w1023
<g/>
,
und	w1025
die	w1026
Music	w1027
continuirte	w1028
wechsels	w1029
<g/>
=
weise	w1031
unaufhörlich	w1032
<g/>
.
Nach	w1034
der	w1035
Tafel	w1036
war	w1037
Ball	w1038
<g/>
,
welcher	w1040
bis	w1041
am	w1042
Morgen	w1043
dauerte	w1044
<g/>
,
und	w1046
wo=bey	w1047
<g/>
=
man	w1049
mit	w1050
allen	w1051
erforderlichen	w1052
Refraichis=sements	w1053
<g/>
=
servirte	w1055
<g/>
;
endlich	w1057
wurde	w1058
durch	w1059
die	w1060
Musik	w1061
dieses	w1062
Fest	w1063
auf	w1064
das	w1065
vergnügteste	w1066
be=schlossen	w1067
<g/>
=
<g/>
.
Auch	w1070
haben	w1071
verschiedene	w1072
Herrn	w1073
Rähte	w1074
<g/>
,
und	w1076
Personen	w1077
von	w1078
Distinction	w1079
<g/>
,
die=ses	w1081
<g/>
=
Fest	w1083
auf	w1084
das	w1085
feyerlichste	w1086
begangen	w1087
<g/>
,
und	w1089
sich	w1090
mit	w1091
Music	w1092
bis	w1093
gegen	w1094
den	w1095
Morgen	w1096
di=vertiret	w1097
<g/>
=
<g/>
.
Jngleichen	w1100
hat	w1101
die	w1102
Academie	w1103
zu	w1104
Erlang	w1105
über	w1106
diese	w1107
glückliche	w1108
Vermählung	w1109
grosse	w1110
Feyerlichkeiten	w1111
angestellet	w1112
<g/>
.
So	w1114
gar	w1115
auch	w1116
das	w1117
Städtlein	w1118
Lichtenberg	w1119
hat	w1120
seine	w1121
unterthänigste	w1122
Beyfreude	w1123
an	w1124
den	w1125
Tag	w1126
gele=get	w1127
<g/>
=
<g/>
,
indem	w1130
sich	w1131
daselbst	w1132
die	w1133
sämmtliche	w1134
Bür=gerschaft	w1135
<g/>
=
<g/>
,
Geistlichkeit	w1138
<g/>
,
Schul	w1140
<g/>
=
diener	w1142
<g/>
,
und	w1144
Kinder	w1145
auf	w1146
dem	w1147
obersten	w1148
hohen	w1149
Schloß	w1150
<g/>
=
platz	w1152
versammelt	w1153
<g/>
,
und	w1155
unter	w1156
dreymaliger	w1157
Salve	w1158
und	w1159
Abbrennung	w1160
einiger	w1161
Pöller	w1162
<g/>
,
Trompeten	w1164
und	w1165
Paucken	w1166
<g/>
=
schall	w1168
das	w1169
Te	w1170
Deum	w1171
gehalten	w1172
<g/>
.
</p>
<head id="hl7">
Passewalk	w1174
14	w1175
<g/>
.
Sept	w1177
<g/>
.
</head>
<p id="p13">
Der	w1179
General	w1180
<g/>
=
leutenant	w1182
Graf	w1183
von	w1184
Fer=sen	w1185
<g/>
=
ward	w1187
gleich	w1188
beym	w1189
Anfang	w1190
dieser	w1191
Cam=pagne	w1192
<g/>
=
beordert	w1194
mit	w1195
einem	w1196
Corps	w1197
Cavalle=rie	w1198
<g/>
=
und	w1200
Jnfanterie	w1201
die	w1202
Feinde	w1203
von	w1204
denen	w1205
Jnsuln	w1206
Usedom	w1207
<g/>
,
und	w1209
Wollin	w1210
<g/>
,
und	w1212
die	w1213
feindliche	w1214
Flotille	w1215
aus	w1216
dem	w1217
Haf	w1218
zu	w1219
vertrei=ben	w1220
<g/>
=
<g/>
.
Beyde	w1223
Unternehmungen	w1224
waren	w1225
mit	w1226
nicht	w1227
geringen	w1228
Schwürigkeiten	w1229
verknüpfet	w1230
<g/>
,
</p>
<p id="p14">
indeme	w1232
bey	w1233
ersterer	w1234
die	w1235
Festungs	w1236
<g/>
=
werker	w1238
<g/>
,
und	w1240
Schanzen	w1241
eroberet	w1242
werden	w1243
musten	w1244
<g/>
,
so	w1246
die	w1247
Feinde	w1248
auf	w1249
beyden	w1250
Jnsuln	w1251
stark	w1252
bese=tzet	w1253
<g/>
=
hatten	w1255
<g/>
;
bey	w1257
letzterer	w1258
aber	w1259
die	w1260
Galeeren	w1261
genöhtiget	w1262
waren	w1263
<g/>
,
über	w1265
ein	w1266
Sand	w1267
<g/>
=
bank	w1269
zu	w1270
fliessen	w1271
<g/>
,
die	w1273
nicht	w1274
mehr	w1275
als	w1276
5	w1277
<g/>
.
bis	w1279
6	w1280
<g/>
.
Fuß	w1282
Wasser	w1283
hat	w1284
<g/>
,
um	w1286
zu	w1287
dem	w1288
Angrif	w1289
der	w1290
feind=lichen	w1291
<g/>
=
Flotille	w1293
<g/>
,
die	w1295
in	w1296
dem	w1297
grossen	w1298
Haf	w1299
lag	w1300
<g/>
,
gelangen	w1302
zu	w1303
können	w1304
<g/>
.
Diese	w1306
Schwürigkei=ten	w1307
<g/>
=
wurden	w1309
dannoch	w1310
so	w1311
wol	w1312
überstiegen	w1313
<g/>
,
daß	w1315
unsere	w1316
Trupen	w1317
sich	w1318
in	w1319
denen	w1320
ersten	w1321
vier=zehen	w1322
<g/>
=
Tägen	w1324
der	w1325
Stadt	w1326
Swinemünde	w1327
<g/>
,
wie	w1329
auch	w1330
der	w1331
dabey	w1332
gelegenen	w1333
Schanze	w1334
bemäch=tigten	w1335
<g/>
=
<g/>
,
die	w1338
Besatzungen	w1339
beyder	w1340
Oerter	w1341
zu	w1342
Gefangenen	w1343
machten	w1344
<g/>
,
dabey	w1346
viele	w1347
Artille=rie	w1348
<g/>
=
und	w1350
Kriegs	w1351
<g/>
=
gerätschaften	w1353
eroberten	w1354
<g/>
,
und	w1356
dadurch	w1357
von	w1358
der	w1359
Jnsul	w1360
Usedom	w1361
Meister	w1362
wurden	w1363
<g/>
;
ingleichen	w1365
<g/>
,
daß	w1367
unsere	w1368
Galee=ren	w1369
<g/>
=
<g/>
,
nachdeme	w1372
ihnen	w1373
alle	w1374
Canonen	w1375
und	w1376
übrige	w1377
Gerätschaften	w1378
hatten	w1379
abgenommen	w1380
werden	w1381
müssen	w1382
<g/>
,
mit	w1384
der	w1385
erstaunlicher	w1386
Müh	w1387
<g/>
,
im	w1389
Angesicht	w1390
<g/>
,
und	w1392
unter	w1393
beständigen	w1394
Feuer	w1395
der	w1396
feindlichen	w1397
Flottille	w1398
die	w1399
erwehnte	w1400
Sand=bank	w1401
<g/>
=
paßirten	w1403
<g/>
.
Da	w1405
aber	w1406
die	w1407
Feinde	w1408
sahen	w1409
<g/>
,
daß	w1411
ihre	w1412
Bemühungen	w1413
fruchtlos	w1414
waren	w1415
<g/>
,
und	w1417
unseren	w1418
Galeeren	w1419
den	w1420
Ubergang	w1421
nicht	w1422
mehr	w1423
wehren	w1424
könten	w1425
<g/>
,
so	w1427
zog	w1428
sich	w1429
ihre	w1430
Flottille	w1431
etwas	w1432
zurück	w1433
<g/>
,
und	w1435
legte	w1436
sich	w1437
gegen	w1438
den	w1439
Ein=gang	w1440
<g/>
=
des	w1442
grossen	w1443
Haf	w1444
<g/>
;
unsere	w1446
Escadre	w1447
wur=de	w1448
<g/>
=
schon	w1450
<g/>
,
so	w1452
bald	w1453
sie	w1454
wieder	w1455
mit	w1456
ihren	w1457
Ca=nonen	w1458
<g/>
=
und	w1460
übrigen	w1461
Zubehör	w1462
versehen	w1463
ware	w1464
<g/>
,
die	w1466
feindliche	w1467
angegriffen	w1468
haben	w1469
<g/>
,
wann	w1471
sie	w1472
nicht	w1473
lange	w1474
Zeit	w1475
durch	w1476
contrairen	w1477
<g/>
,
oder	w1479
gar	w1480
zu	w1481
starken	w1482
Wind	w1483
daran	w1484
wäre	w1485
verhinderet	w1486
worden	w1487
<g/>
.
Sie	w1489
fand	w1490
dazu	w1491
endlich	w1492
am	w1493
10	w1494
<g/>
.
dieses	w1496
Gelegenheit	w1497
<g/>
,
da	w1499
sie	w1500
dann	w1501
um	w1502
halb	w1503
6	w1504
<g/>
.
Uhr	w1506
des	w1507
morgens	w1508
ihre	w1509
Anker	w1510
leuchtete	w1511
<g/>
,
und	w1513
in	w1514
Schlacht	w1515
<g/>
=
ordnung	w1517
gegen	w1518
die	w1519
feind=liche	w1520
<g/>
=
avancirte	w1522
<g/>
,
welche	w1524
auf	w1525
den	w1526
Sprung	w1527
in	w1528
ihrer	w1529
vorigen	w1530
Stellung	w1531
ligen	w1532
blieb	w1533
<g/>
,
und	w1535
den	w1536
Angrif	w1537
erwartete	w1538
<g/>
.
Ein	w1540
Viertel	w1541
auf	w1542
10	w1543
<g/>
.
Uhr	w1545
fieng	w1546
die	w1547
Canonade	w1548
auf	w1549
unserer	w1550
Seite	w1551
</p>
<p id="p15">
an	w1554
<g/>
,
da	w1556
wir	w1557
dann	w1558
so	w1559
nahe	w1560
avancirten	w1561
<g/>
,
daß	w1563
man	w1564
auf	w1565
beyden	w1566
Seiten	w1567
die	w1568
drey	w1569
<g/>
=
pfündige	w1571
Canonen	w1572
gebrauchen	w1573
kunte	w1574
<g/>
.
Unser	w1576
in	w1577
der	w1578
Chef	w1579
<g/>
=
galeere	w1581
Carlscrona	w1582
<g/>
,
und	w1584
der	w1585
Galeere	w1586
Malmö	w1587
bestehender	w1588
rechter	w1589
Flügel	w1590
grif	w1591
<g/>
,
nach	w1593
dem	w1594
zum	w1595
entern	w1596
gegebenen	w1597
Signal	w1598
des	w1599
Fein=des	w1600
<g/>
=
linken	w1602
Flügel	w1603
an	w1604
<g/>
,
der	w1606
aus	w1607
zwey	w1608
Ga=leeren	w1609
<g/>
=
<g/>
,
und	w1612
einer	w1613
Galliotte	w1614
bestund	w1615
<g/>
.
Un=terdessen	w1617
<g/>
=
enterten	w1619
zwey	w1620
Galeeren	w1621
von	w1622
unse=rem	w1623
<g/>
=
linken	w1625
Flügel	w1626
mit	w1627
Mousqueterie	w1628
<g/>
=
feuer	w1630
<g/>
,
und	w1632
Hand	w1633
<g/>
=
grenaden	w1635
des	w1636
Feindes	w1637
rechten	w1638
Flügels	w1639
beyde	w1640
Galeeren	w1641
<g/>
,
und	w1643
wurden	w1644
da=bey	w1645
<g/>
=
von	w1647
unseren	w1648
zwey	w1649
grossen	w1650
Galeeren	w1651
Cro=noberg	w1652
<g/>
=
<g/>
,
und	w1655
Blecking	w1656
unterstützet	w1657
<g/>
.
Letzt=gedachte	w1659
<g/>
=
beyde	w1661
feindliche	w1662
wurden	w1663
bald	w1664
ero=bert	w1665
<g/>
=
<g/>
,
da	w1668
sie	w1669
dann	w1670
auch	w1671
zu	w1672
gleicher	w1673
Zeit	w1674
un=ser	w1675
<g/>
=
rechter	w1677
Flügel	w1678
deren	w1679
zwey	w1680
zu	w1681
erst	w1682
erwehn=ten	w1683
<g/>
=
Galeeren	w1685
<g/>
,
und	w1687
einer	w1688
Galliotte	w1689
bemäch=tigte	w1690
<g/>
=
<g/>
.
Des	w1693
Feindes	w1694
übrige	w1695
drey	w1696
Galliot=ten	w1697
<g/>
=
brachten	w1699
darauf	w1700
alle	w1701
Seegel	w1702
bey	w1703
<g/>
,
and	w1705
wollten	w1706
sich	w1707
mit	w1708
der	w1709
Flucht	w1710
retten	w1711
<g/>
;
da	w1713
sie	w1714
aber	w1715
unter	w1716
beständigen	w1717
heftigen	w1718
Feuer	w1719
von	w1720
unseren	w1721
zwey	w1722
grossen	w1723
<g/>
,
und	w1725
kleinen	w1726
Galee=ren	w1727
<g/>
=
verfolget	w1729
wurden	w1730
<g/>
,
so	w1732
waren	w1733
sie	w1734
eine	w1735
nach	w1736
der	w1737
andern	w1738
genöhtiget	w1739
<g/>
,
die	w1741
Seegel	w1742
zu	w1743
streichen	w1744
<g/>
,
und	w1746
sich	w1747
zu	w1748
ergeben	w1749
<g/>
.
Das	w1751
letzte	w1752
<g/>
,
welches	w1754
aufgebracht	w1755
wurde	w1756
<g/>
,
ware	w1758
des	w1759
Fein=des	w1760
<g/>
=
sogenanntes	w1762
Abmirals	w1763
<g/>
=
schif	w1765
<g/>
,
so	w1767
um	w1768
drey	w1769
viertel	w1770
auf	w1771
zwey	w1772
in	w1773
unsere	w1774
Hände	w1775
fiel	w1776
<g/>
.
Die	w1778
Canonade	w1779
ist	w1780
auf	w1781
beyden	w1782
Seiten	w1783
unge=mein	w1784
<g/>
=
stark	w1786
<g/>
,
und	w1788
vornämlich	w1789
drey	w1790
viertel	w1791
Stund	w1792
lang	w1793
am	w1794
heftigsten	w1795
gewesen	w1796
<g/>
.
Von	w1798
des	w1799
Feindes	w1800
vier	w1801
Barcassen	w1802
hatten	w1803
drey	w1804
das	w1805
Glück	w1806
sich	w1807
mit	w1808
der	w1809
Flucht	w1810
zu	w1811
retten	w1812
<g/>
.
Die	w1814
vierte	w1815
war	w1816
von	w1817
einer	w1818
Halb	w1819
<g/>
=
galeere	w1821
auf	w1822
das	w1823
Stettinische	w1824
Land	w1825
gejaget	w1826
<g/>
.
Die	w1828
Besatzung	w1829
rettete	w1830
sich	w1831
aufs	w1832
Land	w1833
<g/>
,
und	w1835
nahm	w1836
die	w1837
Ca=nonen	w1838
<g/>
=
mit	w1840
sich	w1841
<g/>
,
womit	w1843
sie	w1844
auf	w1845
unser	w1846
Fahr=zeug	w1847
<g/>
=
schossen	w1849
<g/>
.
Die	w1851
Besatzung	w1852
von	w1853
unser	w1854
Halb	w1855
<g/>
=
galeere	w1857
stieg	w1858
aber	w1859
gleichfalls	w1860
aufs	w1861
Land	w1862
<g/>
,
nahm	w1864
dem	w1865
Feind	w1866
seine	w1867
Canonen	w1868
<g/>
,
und	w1870
führte	w1871
sie	w1872
nebst	w1873
der	w1874
Barcasse	w1875
zu	w1876
unseunserer	w1877
<g/>
=
</p>
<p id="p16">
rer	w1879
Escadre	w1880
<g/>
.
Diese	w1882
Barcasse	w1883
ist	w1884
diejenige	w1885
<g/>
,
so	w1887
von	w1888
denen	w1889
Preussen	w1890
1757	w1891
<g/>
.
in	w1893
dem	w1894
Die=wenow	w1895
<g/>
=
<g/>
=
fluß	w1898
coupiret	w1899
ward	w1900
<g/>
.
Von	w1902
der	w1903
gan=zen	w1904
