<doc id="wr_1762-01-06" attrs="word" year="1762" month="01" day="06" corpus="2">
<head id="h2_d619e3497">
Lißbon	w1_d619e3501
massen	w11_d619e3857
die	w1_d619e3862
Freyheit,	w3_d619e3865
jährlich	w5_d619e3868
ein	w7_d619e3871
gewisses	w9_d619e3874
Geld	w11_d619e3877
zur	w1_d619e3882
Erhaltung	w3_d619e3885
und	w5_d619e3888
Verbesserung	w7_d619e3891
der	w9_d619e3894
Kriegs	w11_d619e3897
</p>
<p id="p6_d619e3900">
macht	w1_d619e3904
wider	w3_d619e3907
die	w5_d619e3910
Unglaubigen	w7_d619e3913
einzulan	w9_d619e3916
gen:	w1_d619e3921
dieser	w3_d619e3924
Fonds	w5_d619e3927
ist	w7_d619e3930
von	w9_d619e3933
den	w11_d619e3936
übrigen,	w13_d619e3940
die	w1_d619e3945
zur	w3_d619e3948
Bezahlung	w5_d619e3951
des	w7_d619e3954
Soldes	w9_d619e3957
für	w11_d619e3960
die	w13_d619e3964
Sok	w15_d619e3967
daten	w1_d619e3973
dienen,	w3_d619e3976
abgesondert,	w5_d619e3979
und	w7_d619e3982
die	w9_d619e3985
Ertrag	w11_d619e3988
nüß	w1_d619e3993
soll	w3_d619e3996
sich	w5_d619e3999
jährlichen	w7_d619e4002
auf	w9_d619e4005
2.	w11_d619e4008
Millionen	w13_d619e4012
belauffen.	w1_d619e4017
Diejenige	w3_d619e4020
Französische	w5_d619e4023
Capu	w7_d619e4026
einer,	w1_d619e4031
welche	w3_d619e4034
sich	w5_d619e4037
hier	w7_d619e4040
befinden,	w9_d619e4043
und	w11_d619e4046
be	w13_d619e4050
schuldiget	w1_d619e4056
worden,	w3_d619e4059
daß	w5_d619e4062
sie	w7_d619e4065
wieder	w9_d619e4068
die	w11_d619e4071
Löbl.	w13_d619e4075
Gewohnheit	w1_d619e4080
ihrer	w3_d619e4083
Mitbrüder	w5_d619e4086
in	w7_d619e4089
den	w9_d619e4092
Wer	w11_d619e4095
ken	w1_d619e4100
Christlicher	w3_d619e4103
Liebe,	w5_d619e4106
die	w7_d619e4109
neulich	w9_d619e4112
zur	w11_d619e4115
See	w13_d619e4119
anhero	w1_d619e4124
gekommenen	w3_d619e4127
kranken	w5_d619e4130
und	w7_d619e4133
verwun	w9_d619e4136
deten	w1_d619e4142
Französische	w3_d619e4145
Soldaten,	w5_d619e4148
und	w7_d619e4151
Schifleute	w9_d619e4154
in	w1_d619e4159
ihr	w3_d619e4162
Kloster	w5_d619e4165
einzunehmen	w7_d619e4168
sich	w9_d619e4171
geweigeret	w11_d619e4174
haben,	w1_d619e4179
sind	w3_d619e4182
auf	w5_d619e4185
Verlangen	w7_d619e4188
der	w9_d619e4191
Französi	w11_d619e4194
schen	w1_d619e4199
Nation	w3_d619e4202
von	w5_d619e4205
dem	w7_d619e4208
Ordens=generalen	w9_d619e4211
zu	w1_d619e4217
ihrer	w3_d619e4220
Bestraffung	w5_d619e4223
von	w7_d619e4226
hier	w9_d619e4229
abberuffen	w11_d619e4232
worden.	w1_d619e4237
</p>
<p id="p8_d619e4240">
Einige	w1_d619e4244
Handels=leute	w3_d619e4247
hiesiger	w5_d619e4250
Stadt	w7_d619e4253
hat	w9_d619e4256
</p>
<head id="h2_d619e4262">
Nantes	w1_d619e4266
15.	w3_d619e4269
December	w5_d619e4272
1761.	w7_d619e4275
</head>
<p id="p8_d619e4288">
ben	w1_d619e4292
von	w3_d619e4295
ihren	w5_d619e4298
Correspondenten	w7_d619e4301
von	w9_d619e4304
Brest	w11_d619e4307
die	w1_d619e4312
Nachrich	w3_d619e4315
erhalten,	w5_d619e4318
daß	w7_d619e4321
es	w9_d619e4324
unserer	w11_d619e4327
aus	w13_d619e4331
8.	w1_d619e4336
Krägs=schiffen	w3_d619e4339
und	w5_d619e4342
6.	w7_d619e4345
Fregatten	w9_d619e4348
be	w11_d619e4351
stelenden	w1_d619e4357
Flotte	w3_d619e4360
gelungen,	w5_d619e4363
glücklich	w7_d619e4366
aus	w9_d619e4369
der	w11_d619e4372
Bay	w1_d619e4377
von	w3_d619e4380
Cameret	w5_d619e4383
auszulauffen,	w7_d619e4386
ohne	w9_d619e4389
daß	w11_d619e4392
sich	w1_d619e4397
der	w3_d619e4400
Admiral	w5_d619e4403
Keppel	w7_d619e4406
mit	w9_d619e4409
seinen	w11_d619e4412
Schif	w13_d619e4416
fen	w1_d619e4421
unterstanden,	w3_d619e4424
selbige	w5_d619e4427
anzugreiffen.	w7_d619e4430
Man	w9_d619e4433
erwartet	w1_d619e4439
mit	w3_d619e4442
gröstem	w5_d619e4445
Verlangen	w7_d619e4448
die	w9_d619e4451
Bestät	w11_d619e4454
tigung	w1_d619e4459
dieser	w3_d619e4462
wichtigen	w5_d619e4465
Nachricht.	w7_d619e4468
Jn	w1_d619e4473
Martinique	w1_d619e4478
sollen	w3_d619e4481
über	w5_d619e4484
30000.	w7_d619e4487
Mann	w9_d619e4490
be	w11_d619e4493
wafnet	w1_d619e4499
seyn,	w3_d619e4502
und	w5_d619e4505
in	w7_d619e4508
Bereitschaft	w9_d619e4511
stehen,	w11_d619e4514
die	w1_d619e4519
Engländer	w3_d619e4522
zu	w5_d619e4525
erwarten,	w7_d619e4528
wann	w9_d619e4531
sie	w11_d619e4534
auf	w13_d619e4538
einen	w1_d619e4543
Angrif	w3_d619e4546
gedachter	w5_d619e4549
Jnsul,	w7_d619e4552
die	w9_d619e4555
ausserdem	w11_d619e4558
mit	w1_d619e4563
allem	w3_d619e4566
nöhtigen	w5_d619e4569
Mund	w7_d619e4572
und	w9_d619e4575
Kriegsvor	w11_d619e4578
raht	w1_d619e4584
versehen	w3_d619e4587
ist,	w5_d619e4590
beharren	w7_d619e4593
sollten.	w9_d619e4596
</p>
<head id="h2_d619e4602">
Paris	w1_d619e4606
19.	w3_d619e4609
December	w5_d619e4612
1761.	w7_d619e4615
</head>
<p id="p4_d619e4618">
Bey	w1_d619e4622
einer	w3_d619e4625
am	w5_d619e4628
11.	w7_d619e4631
dieses	w9_d619e4634
gehaltenen	w11_d619e4637
Ver	w13_d619e4641
sammlung	w1_d619e4646
des	w3_d619e4649
Prevot	w5_d619e4652
der	w7_d619e4655
Kauf=leute	w9_d619e4658
und	w11_d619e4661
derer	w1_d619e4666
Schöffen	w3_d619e4669
dieser	w5_d619e4672
Haupt=stadt	w7_d619e4675
ist	w9_d619e4678
auf	w11_d619e4681
beschehenen	w1_d619e4687
Vortrag	w3_d619e4690
des	w5_d619e4693
erstern	w7_d619e4696
einmütig	w9_d619e4699
beschlossen	w1_d619e4704
worden,	w3_d619e4707
daß	w5_d619e4710
die	w7_d619e4713
Stadt	w9_d619e4716
Paris,	w11_d619e4719
nicht	w1_d619e4724
sowol	w3_d619e4727
als	w5_d619e4730
Haupt=stadt	w7_d619e4733
des	w9_d619e4736
Königreichs,	w11_d619e4739
sondern	w1_d619e4744
weilen	w3_d619e4747
sie	w5_d619e4750
durch	w7_d619e4753
ihre	w9_d619e4756
beständige	w11_d619e4759
Zu	w13_d619e4763
neigung	w1_d619e4769
für	w3_d619e4772
die	w5_d619e4775
geheiligte	w7_d619e4778
Person	w9_d619e4781
ihrer	w11_d619e4784
Kö	w13_d619e4788
nige	w1_d619e4793
sich	w3_d619e4796
von	w5_d619e4799
denenselben	w7_d619e4802
den	w9_d619e4805
Titul,	w11_d619e4808
unsere	w13_d619e4812
gute	w1_d619e4817
Stadt	w3_d619e4820
Paris,	w5_d619e4823
erworben,	w7_d619e4826
andern	w9_d619e4829
Städ	w11_d619e4832
ten	w1_d619e4837
des	w3_d619e4840
Königreiches	w5_d619e4843
zum	w7_d619e4846
Beyspiel,	w9_d619e4849
und	w11_d619e4852
da	w13_d619e4856
diese	w1_d619e4862
Stadt	w3_d619e4865
ohnehin	w5_d619e4868
ein	w7_d619e4871
Schif	w9_d619e4874
im	w11_d619e4877
Wappen	w13_d619e4881
führt,	w1_d619e4886
Sr.	w3_d619e4889
Majest.	w5_d619e4892
dem	w7_d619e4895
König,	w9_d619e4898
so	w11_d619e4901
wie	w13_d619e4905
an	w15_d619e4908
dere	w1_d619e4913
Stände	w3_d619e4916
auch	w5_d619e4919
schon	w7_d619e4922
gethan,	w9_d619e4925
gleichfalls	w11_d619e4928
ein	w1_d619e4933
neues	w3_d619e4936
Kriegs=schif	w5_d619e4939
offeriren	w7_d619e4942
solle.	w9_d619e4945
Dem	w11_d619e4948
zufolge	w1_d619e4954
ist	w3_d619e4957
dem	w5_d619e4960
Prevot	w7_d619e4963
der	w9_d619e4966
Kauf=leute	w11_d619e4969
auf	w13_d619e4973
getragen	w1_d619e4978
worden,	w3_d619e4981
den	w5_d619e4984
König	w7_d619e4987
um	w9_d619e4990
die	w11_d619e4993
Erlaub	w13_d619e4997
nüß	w1_d619e5002
zu	w3_d619e5005
bitten,	w5_d619e5008
daß	w7_d619e5011
seine	w9_d619e5014
gute	w11_d619e5017
Stadt	w13_d619e5021
Paris	w15_d619e5024
unverzüglich	w1_d619e5029
und	w3_d619e5032
ohne	w5_d619e5035
Aufenthalt	w7_d619e5038
auf	w9_d619e5041
ihre	w11_d619e5044
Kosten	w1_d619e5050
zum	w3_d619e5053
Dienst	w5_d619e5056
Sr.	w7_d619e5059
Majest.	w9_d619e5062
ein	w11_d619e5065
Kriegs	w13_d619e5069
schif	w1_d619e5074
von	w3_d619e5077
72.	w5_d619e5080
Canonen	w7_d619e5083
dürfte	w9_d619e5086
erbauen	w11_d619e5089
las	w13_d619e5093
sen,	w1_d619e5098
und	w3_d619e5101
solches	w5_d619e5104
als	w7_d619e5107
ein	w9_d619e5110
Denckmal	w11_d619e5113
ihrer	w13_d619e5117
Ehrfurcht,	w1_d619e5122
ihres	w3_d619e5125
Dienst	w5_d619e5128
eifers	w7_d619e5131
und	w9_d619e5134
Dank	w11_d619e5137
barkeit	w1_d619e5143
unter	w3_d619e5146
dem	w5_d619e5149
Namen,	w7_d619e5152
die	w9_d619e5155
Stadt	w11_d619e5158
Paris,	w13_d619e5162
in	w1_d619e5167
Gnaden	w3_d619e5170
anzunehmen,	w5_d619e5173
denen	w7_d619e5176
Feinden	w9_d619e5179
Frankreichs	w1_d619e5184
zum	w3_d619e5187
Beweis,	w5_d619e5190
daß,	w7_d619e5193
so	w9_d619e5196
lange	w11_d619e5199
Franzosen	w1_d619e5204
leben,	w3_d619e5207
es	w5_d619e5210
Sr.	w7_d619e5213
Majest.	w9_d619e5216
nie	w11_d619e5219
an	w13_d619e5223
</p>
<p id="p6_d619e5226">
Volk,	w1_d619e5230
Geld	w3_d619e5233
noch	w5_d619e5236
Schiffen	w7_d619e5239
ermangeln	w9_d619e5242
wer	w11_d619e5245
de,	w1_d619e5250
einen	w3_d619e5253
gerechten	w5_d619e5256
Krieg	w7_d619e5259
zu	w9_d619e5262
führen,	w11_d619e5265
seine	w13_d619e5269
Flaggen	w1_d619e5274
verehren	w3_d619e5277
zu	w5_d619e5280
machen,	w7_d619e5283
und	w9_d619e5286
die	w11_d619e5289
Hand	w13_d619e5293
lung	w1_d619e5299
dero	w3_d619e5302
Unterthanen	w5_d619e5305
zu	w7_d619e5308
beschützen,	w9_d619e5311
und	w11_d619e5314
aufrecht	w1_d619e5319
zu	w3_d619e5322
erhalten.	w5_d619e5325
Nicht	w7_d619e5328
minder	w9_d619e5331
haben	w11_d619e5334
die	w1_d619e5339
Renten=bezahlere,	w3_d619e5342
Maltheser=rittere	w5_d619e5345
und	w1_d619e5350
Königl.	w3_d619e5353
Secretairs	w5_d619e5356
versprochen,	w7_d619e5359
gleich	w9_d619e5362
falls	w1_d619e5368
3.	w3_d619e5371
Schiffe	w5_d619e5374
von	w7_d619e5377
der	w9_d619e5380
nämlichen	w11_d619e5383
Stärke	w13_d619e5387
auf	w1_d619e5392
ihre	w3_d619e5395
Kosten	w5_d619e5398
verfertigen	w7_d619e5401
zu	w9_d619e5404
lassen.	w11_d619e5407
Die	w13_d619e5411
Stadt	w1_d619e5416
Straßburg	w3_d619e5419
erbohte	w5_d619e5422
sich	w7_d619e5425
alle	w9_d619e5428
Seegel	w11_d619e5431
und	w1_d619e5436
Sail=werke	w3_d619e5439
für	w5_d619e5442
6.	w7_d619e5445
Schiffe	w9_d619e5448
zu	w11_d619e5451
verschaf	w13_d619e5455
fen.	w1_d619e5461
Ein	w3_d619e5464
Particulier	w5_d619e5467
schickte	w7_d619e5470
dem	w9_d619e5473
Herrn	w11_d619e5476
Boucot,	w1_d619e5481
Ober=einnehmern	w3_d619e5484
hiesiger	w5_d619e5487
Stadt	w7_d619e5490
12000.	w1_d619e5495
Franken,	w3_d619e5498
um	w5_d619e5501
selbe	w7_d619e5504
zur	w9_d619e5507
Seerü	w11_d619e5510
stung	w1_d619e5515
zu	w3_d619e5518
verwenden,	w5_d619e5521
und	w7_d619e5524
mit	w9_d619e5527
einem	w11_d619e5530
Wort	w13_d619e5534
alle	w1_d619e5540
Bürger,	w3_d619e5543
so	w5_d619e5546
keine	w7_d619e5549
Mitglieder	w9_d619e5552
gewisser	w11_d619e5555
Gemeinschaften	w1_d619e5560
sind,	w3_d619e5563
schicken	w5_d619e5566
sich	w7_d619e5569
an,	w9_d619e5572
dem	w11_d619e5575
nämlichen	w1_d619e5580
Ober=einnehmer	w3_d619e5583
ihren	w5_d619e5586
Kräften	w7_d619e5589
gemässe	w1_d619e5594
Summen,	w3_d619e5597
in	w5_d619e5600
eben	w7_d619e5603
der	w9_d619e5606
Absicht	w11_d619e5609
mitzutheilen.	w1_d619e5615
Es	w3_d619e5618
erscheinet	w5_d619e5621
eine	w7_d619e5624
neue	w9_d619e5627
Kö	w11_d619e5630
nigliche	w1_d619e5635
Verordnung,	w3_d619e5638
welcher	w5_d619e5641
zufolge	w7_d619e5644
die	w9_d619e5647
105.	w1_d619e5652
Bataillons	w3_d619e5655
der	w5_d619e5658
Militz	w7_d619e5661
der	w9_d619e5664
Provin	w11_d619e5667
zen	w1_d619e5672
und	w3_d619e5675
Generalitäten	w5_d619e5678
des	w7_d619e5681
Königreichs,	w9_d619e5684
von	w1_d619e5690
dem	w3_d619e5693
ersten	w5_d619e5696
Januarii	w7_d619e5699
1762.	w9_d619e5702
an,	w11_d619e5705
anstatt	w13_d619e5709
der	w1_d619e5714
bisherigen	w3_d619e5717
10.	w5_d619e5720
nur	w7_d619e5723
aus	w9_d619e5726
8.	w11_d619e5729
Compagnien	w13_d619e5733
bestehen	w1_d619e5738
sollen.	w3_d619e5741
</p>
<head id="h2_d619e5747">
Genua	w1_d619e5751
12.	w3_d619e5754
December	w5_d619e5757
1761.	w7_d619e5760
</head>
<p id="p4_d619e5763">
Laut	w1_d619e5767
Nachrichten	w3_d619e5770
aus	w5_d619e5773
Madrit	w7_d619e5776
vom	w9_d619e5779
24.	w11_d619e5782
des	w1_d619e5787
vergangenen	w3_d619e5790
Monats,	w5_d619e5793
sind	w7_d619e5796
am	w9_d619e5799
17.	w11_d619e5802
und	w13_d619e5806
12.	w1_d619e5811
November	w3_d619e5814
der	w5_d619e5817
Geburts=tag	w7_d619e5820
der	w9_d619e5823
Kö	w11_d619e5826
nigl.	w1_d619e5832
Jnfantin,	w3_d619e5835
Herzogin	w5_d619e5838
von	w7_d619e5841
Savoyen,	w9_d619e5844
und	w11_d619e5847
der	w1_d619e5852
Tag	w3_d619e5855
der	w5_d619e5858
H.	w7_d619e5861
Elisabethä,	w9_d619e5864
als	w11_d619e5867
der	w13_d619e5871
verwit	w15_d619e5874
tibten	w1_d619e5879
Königl.	w3_d619e5882
Frau=mutter	w5_d619e5885
Namens=tag,	w7_d619e5888
bey	w1_d619e5893
Hof	w3_d619e5896
in	w5_d619e5899
prächtiger	w7_d619e5902
Gala	w9_d619e5905
begangen	w11_d619e5908
wor	w13_d619e5912
den.	w1_d619e5918
Von	w3_d619e5921
Cadix	w5_d619e5924
sind	w7_d619e5927
2.	w9_d619e5930
Linien=schiffe	w11_d619e5933
mit	w1_d619e5938
Trupen	w3_d619e5941
und	w5_d619e5944
Munition	w7_d619e5947
nach	w9_d619e5950
Jndien	w11_d619e5953
ab	w13_d619e5957
gegangen:	w1_d619e5962
dahingegen	w3_d619e5965
aber	w5_d619e5968
sind	w7_d619e5971
4.	w9_d619e5974
Kriegs	w11_d619e5977
schiffe,	w1_d619e5982
so	w3_d619e5985
unter	w5_d619e5988
dem	w7_d619e5991
Commando	w9_d619e5994
des	w11_d619e5997
Chef	w13_d619e6001
d'Escadre,	w1_d619e6007
Marquis	w3_d619e6010
Real=tesoro,	w5_d619e6013
in	w7_d619e6016
der	w9_d619e6019
Gegend	w1_d619e6024
der	w3_d619e6027
Azorischen	w5_d619e6030
Jnseln	w7_d619e6033
gecreutzet	w9_d619e6036
hat	w11_d619e6039
ten,	w1_d619e6044
zu	w3_d619e6047
gedachtem	w5_d619e6050
Cadix	w7_d619e6053
zurück	w9_d619e6056
wiederum	w11_d619e6059
eingeloffen.	w1_d619e6064
Jm	w3_d619e6067
übrigen	w5_d619e6070
wird	w7_d619e6073
in	w9_d619e6076
Spanien	w11_d619e6079
</p>
<p id="p10_d619e6092">
fortimmer	w1_d619e6096
gearbeitet,	w3_d619e6099
die	w5_d619e6102
Kriegs=schiffe	w7_d619e6105
und	w1_d619e6110
Fregatten	w3_d619e6113
mit	w5_d619e6116
ihren	w7_d619e6119
bennöhtigten	w9_d619e6122
Equi	w11_d619e6125
pagen	w1_d619e6130
zu	w3_d619e6133
versehen,	w5_d619e6136
zu	w7_d619e6139
welchem	w9_d619e6142
Ende	w11_d619e6145
viele	w13_d619e6149
Matrosen	w1_d619e6155
angeworben	w3_d619e6158
werden:	w5_d619e6161
und	w7_d619e6164
eben	w9_d619e6167
so	w11_d619e6170
wenig	w1_d619e6175
wird	w3_d619e6178
die	w5_d619e6181
Herstellung	w7_d619e6184
der	w9_d619e6187
Land=macht	w11_d619e6190
aus	w1_d619e6195
den	w3_d619e6198
Augen	w5_d619e6201
gelassen,	w7_d619e6204
vielmehr	w9_d619e6207
werden	w11_d619e6210
die	w1_d619e6215
Werbungen	w3_d619e6218
fleißig	w5_d619e6221
betrieben,	w7_d619e6224
die	w9_d619e6227
Re	w11_d619e6230
gimenter	w1_d619e6236
sowol	w3_d619e6239
von	w5_d619e6242
der	w7_d619e6245
Cavallerie	w9_d619e6248
als	w11_d619e6251
Jn	w13_d619e6255
fanterie	w1_d619e6260
voll	w3_d619e6263
ählig,	w5_d619e6266
und	w7_d619e6269
durch	w9_d619e6272
öfters	w11_d619e6275
Exer	w13_d619e6279
ciren	w1_d619e6284
in	w3_d619e6287
denen	w5_d619e6290
Waffen	w7_d619e6293
übungen	w9_d619e6296
geschick	w11_d619e6299
ter	w1_d619e6304
gemacht.	w3_d619e6307
Eben	w5_d619e6310
diese	w7_d619e6313
Biefe=thun	w9_d619e6316
auch	w1_d619e6322
Meldung,	w3_d619e6325
daß	w5_d619e6328
der	w7_d619e6331
Königl.	w9_d619e6334
Sardini	w11_d619e6337
sche	w1_d619e6342
Ambassadeur,	w3_d619e6345
Graf	w5_d619e6348
della	w7_d619e6351
Torre,	w9_d619e6354
bey	w11_d619e6357
dem	w1_d619e6362
Catholischen	w3_d619e6365
König	w5_d619e6368
und	w7_d619e6371
dem	w9_d619e6374
Königl.	w11_d619e6377
Hause	w1_d619e6382
allschon	w3_d619e6385
seine	w5_d619e6388
Abschieds=audienz	w7_d619e6391
ge	w9_d619e6394
nommen	w1_d619e6400
habe,	w3_d619e6403
und	w5_d619e6406
auf	w7_d619e6409
den	w9_d619e6412
23.	w11_d619e6415
nach	w13_d619e6419
Tu	w15_d619e6422
rin	w1_d619e6427
zurück	w3_d619e6430
reisen	w5_d619e6433
werde.	w7_d619e6436
Aus	w9_d619e6439
Chartagena	w11_d619e6442
wird	w1_d619e6447
berichtet,	w3_d619e6450
daß	w5_d619e6453
in	w7_d619e6456
dortigem	w9_d619e6459
Arsenal	w11_d619e6462
noch	w13_d619e6466
die	w1_d619e6471
Schebequen	w3_d619e6474
bewafnet	w5_d619e6477
würden,	w7_d619e6480
um	w9_d619e6483
die	w11_d619e6486
jenigen,	w1_d619e6492
so	w3_d619e6495
allschon	w5_d619e6498
wider	w7_d619e6501
die	w9_d619e6504
Barbaren	w11_d619e6507
in	w13_d619e6511
die	w1_d619e6516
See	w3_d619e6519
geloffen	w5_d619e6522
sind,	w7_d619e6525
zu	w9_d619e6528
verstärken.	w11_d619e6531
Auszug	w1_d619e6536
eines	w3_d619e6539
Schreibens	w5_d619e6542
aus	w7_d619e6545
Mast	w9_d619e6548
</p>
<head id="h2_d619e6555">
richt	w1_d619e6559
21.	w3_d619e6562
December	w5_d619e6565
1761.	w7_d619e6568
</head>
<p id="p4_d619e6571">
Die	w1_d619e6575
vergangene	w3_d619e6578
Nacht	w5_d619e6581
um	w7_d619e6584
ein	w9_d619e6587
Viertel	w11_d619e6590
nach	w1_d619e6595
2.	w3_d619e6598
Uhr	w5_d619e6601
sind	w7_d619e6604
wir	w9_d619e6607
mit	w11_d619e6610
einem	w13_d619e6614
plötzlichen	w15_d619e6617
Unglück	w1_d619e6622
heimgesuchet	w3_d619e6625
worden.	w5_d619e6628
Das	w7_d619e6631
Pul	w9_d619e6634
fer=magazin	w1_d619e6640
auf	w3_d619e6643
der	w5_d619e6646
Ecker=strasse,	w7_d619e6649
unweit	w9_d619e6652
dem	w1_d619e6657
Pickers	w3_d619e6660
platze	w5_d619e6663
ist	w7_d619e6666
gesprungen:	w9_d619e6669
das	w11_d619e6672
Haus	w13_d619e6676
vom	w1_d619e6681
Cällo	w3_d619e6684
ist	w5_d619e6687
eingestürzet,	w7_d619e6690
und	w9_d619e6693
dessen	w11_d619e6696
ganze	w13_d619e6700
Famille	w1_d619e6705
unter	w3_d619e6708
dem	w5_d619e6711
Schutt	w7_d619e6714
begraben	w9_d619e6717
wor	w11_d619e6720
den:	w1_d619e6726
von	w3_d619e6729
dem	w5_d619e6732
ganzen	w7_d619e6735
Gebäude	w9_d619e6738
ist	w11_d619e6741
nichts	w13_d619e6745
mehr,	w1_d619e6750
als	w3_d619e6753
2	w5_d619e6756
Fuß	w7_d619e6759
hoch	w9_d619e6762
Mauerwerk	w11_d619e6765
zu	w13_d619e6769
se	w15_d619e6772
hen.	w1_d619e6777
Die	w3_d619e6780
Commel	w5_d619e6783
und	w7_d619e6786
Sap=strassen	w9_d619e6789
lie	w11_d619e6792
gen	w1_d619e6797
mit	w3_d619e6800
zerquetschten	w5_d619e6803
Menschen	w7_d619e6806
und	w9_d619e6809
Pfer	w11_d619e6812
den	w1_d619e6818
angefüllet:	w3_d619e6821
aller	w5_d619e6824
Orten	w7_d619e6827
findet	w9_d619e6830
man	w11_d619e6833
Köpfe,	w1_d619e6838
Arme,	w3_d619e6841
Beine	w5_d619e6844
und	w7_d619e6847
zerstückte	w9_d619e6850
Rüm	w11_d619e6853
pfe	w1_d619e6858
von	w3_d619e6861
Menschen:	w5_d619e6864
das	w7_d619e6867
Haus	w9_d619e6870
des	w11_d619e6873
Frey	w13_d619e6877
herrn	w1_d619e6882
von	w3_d619e6885
Sturlet	w5_d619e6888
ist	w7_d619e6891
ganz	w9_d619e6894
zerschmettert:	w11_d619e6897
ein	w1_d619e6903
gleiches	w3_d619e6906
Unglück	w5_d619e6909
hat	w7_d619e6912
gehabt	w9_d619e6915
der	w11_d619e6918
Pallast	w13_d619e6922
der	w1_d619e6927
Prinzeßin	w3_d619e6930
von	w5_d619e6933
Hessen	w7_d619e6936
philippsthal,	w9_d619e6939
wel	w11_d619e6942
che	w1_d619e6947
samt	w3_d619e6950
ihren	w5_d619e6953
Bedienten	w7_d619e6956
verloren	w9_d619e6959
ist.	w11_d619e6962
So	w13_d619e6966
gar	w1_d619e6971
in	w3_d619e6974
der	w5_d619e6977
entfernten	w7_d619e6980
Stock=strasse	w9_d619e6983
sind	w11_d619e6986
die	w13_d619e6990
Fenster	w1_d619e6996
zertrümmert,	w3_d619e6999
und	w5_d619e7002
die	w7_d619e7005
Kirche	w9_d619e7008
U.	w11_d619e7011
L.	w13_d619e7015
</p>
<p id="p6_d619e7018">
Frauen	w1_d619e7022
stark	w3_d619e7025
beschädiget:	w5_d619e7028
Man	w7_d619e7031
kan	w9_d619e7034
sich	w11_d619e7037
leicht	w1_d619e7042
vorstellen,	w3_d619e7045
wie	w5_d619e7048
traurig	w7_d619e7051
es	w9_d619e7054
in	w11_d619e7057
der	w13_d619e7061
nahe	w1_d619e7066
gelegenen	w3_d619e7069
Brüßler	w5_d619e7072
und	w7_d619e7075
Tongrerstras	w9_d619e7078
se	w1_d619e7084
aussieht:	w3_d619e7087
auf	w5_d619e7090
den	w7_d619e7093
Dächern	w9_d619e7096
liegt:	w11_d619e7099
Fuß	w13_d619e7103
hoher	w1_d619e7108
Schutt:	w3_d619e7111
überall	w5_d619e7114
ist	w7_d619e7117
Schrecken,	w9_d619e7120
