<doc id="wr_1757-02-12" attrs="word" year="1757" month="02" day="12" corpus="2">
<head id="h2_d117e3051">
Port=louis	w1_d117e3055
Bord,	w3_d117e3398
um	w5_d117e3401
solche	w7_d117e3404
gegen	w9_d117e3407
eine	w11_d117e3410
gleiche	w13_d117e3414
An	w15_d117e3417
zahl	w1_d117e3423
derenjenigen,	w3_d117e3426
so	w5_d117e3429
sie	w7_d117e3432
von	w9_d117e3435
uns	w11_d117e3438
zu	w13_d117e3442
Ge	w15_d117e3445
fangenen	w1_d117e3450
gemacht	w3_d117e3453
haben,	w5_d117e3456
auszuwechseln.	w7_d117e3459
Zu	w1_d117e3464
Portsmut	w3_d117e3467
wird	w5_d117e3470
mit	w7_d117e3473
dem	w9_d117e3476
Proceß	w11_d117e3479
des	w13_d117e3483
Ad	w15_d117e3486
mirals	w1_d117e3491
Byng	w3_d117e3494
fortgefahren.	w5_d117e3497
Den	w7_d117e3500
5ten	w9_d117e3503
6ten,	w1_d117e3509
7ten	w3_d117e3512
und	w5_d117e3515
8ten	w7_d117e3518
dieses,	w9_d117e3521
hat	w11_d117e3524
der	w13_d117e3528
Kriegs	w15_d117e3531
</p>
<p id="p6_d117e3534">
raht	w1_d117e3538
mit	w3_d117e3541
Anhörung	w5_d117e3544
der	w7_d117e3547
Zeugen	w9_d117e3550
fortgefahren,	w11_d117e3553
und	w1_d117e3558
es	w3_d117e3561
scheinet	w5_d117e3564
nach	w7_d117e3567
denen	w9_d117e3570
Briefen,	w11_d117e3573
so	w13_d117e3577
von	w15_d117e3580
dannen	w1_d117e3585
an	w3_d117e3588
Particuliers	w5_d117e3591
hier	w7_d117e3594
eingeloffen,	w9_d117e3597
daß	w11_d117e3600
die	w1_d117e3606
Sache	w3_d117e3609
für	w5_d117e3612
diesen	w7_d117e3615
Admiral	w9_d117e3618
favorable	w11_d117e3621
zu	w13_d117e3625
gehen	w1_d117e3630
beginne.	w3_d117e3633
Man	w5_d117e3636
vermeint,	w7_d117e3639
daß	w9_d117e3642
sie	w11_d117e3645
in	w13_d117e3649
15.	w1_d117e3654
Tagen	w3_d117e3657
zu	w5_d117e3660
Ende	w7_d117e3663
gehen	w9_d117e3666
werde.	w11_d117e3669
Der	w13_d117e3673
Ad	w15_d117e3676
miral	w1_d117e3681
West	w3_d117e3684
ist	w5_d117e3687
nach	w7_d117e3690
Portsmut	w9_d117e3693
wieder	w11_d117e3696
zurück	w13_d117e3700
gekehret,	w1_d117e3706
von	w3_d117e3709
wannen	w5_d117e3712
er	w7_d117e3715
mit	w9_d117e3718
der	w11_d117e3721
Escadre,	w13_d117e3725
so	w1_d117e3730
er	w3_d117e3733
commandiren	w5_d117e3736
solle,	w7_d117e3739
nächstens	w9_d117e3742
unter	w11_d117e3745
Segel	w1_d117e3750
gehen	w3_d117e3753
wird.	w5_d117e3756
Man	w7_d117e3759
sagt,	w9_d117e3762
daß	w11_d117e3765
der	w13_d117e3769
Ad	w15_d117e3772
miral	w1_d117e3777
Boscawen	w3_d117e3780
ebenfalls	w5_d117e3783
nächstens	w7_d117e3786
mit	w9_d117e3789
einer	w1_d117e3795
formidablen	w3_d117e3798
Escadre	w5_d117e3801
von	w7_d117e3804
gedachtem	w9_d117e3807
Portsmut	w1_d117e3812
abgehen	w3_d117e3815
werde.	w5_d117e3818
Gestern	w7_d117e3821
hat	w9_d117e3824
man	w1_d117e3829
von	w3_d117e3832
hier	w5_d117e3835
nach	w7_d117e3838
Portsmut	w9_d117e3841
drey	w11_d117e3844
Wägen	w13_d117e3848
abgehen	w1_d117e3853
lassen,	w3_d117e3856
so	w5_d117e3859
mit	w7_d117e3862
Waffen,	w9_d117e3865
und	w11_d117e3868
Kriegs	w13_d117e3872
munition	w1_d117e3878
nach	w3_d117e3881
America	w5_d117e3884
beladen	w7_d117e3887
seynd.	w9_d117e3890
Es	w11_d117e3893
verlautet	w1_d117e3898
von	w3_d117e3901
einem	w5_d117e3904
neuen	w7_d117e3907
Project,	w9_d117e3910
es	w11_d117e3913
zur	w13_d117e3917
Voll	w15_d117e3920
ziehung	w1_d117e3925
zu	w3_d117e3928
bringen,	w5_d117e3931
um	w7_d117e3934
die	w9_d117e3937
Anzahl	w11_d117e3940
derer	w13_d117e3944
Recruten	w1_d117e3949
gar	w3_d117e3952
bald	w5_d117e3955
herbey	w7_d117e3958
zu	w9_d117e3961
stellen,	w11_d117e3964
so	w13_d117e3968
man	w1_d117e3974
nöhtig	w3_d117e3977
haben	w5_d117e3980
wird,	w7_d117e3983
zum	w9_d117e3986
Dienst	w11_d117e3989
zu	w13_d117e3993
Land,	w15_d117e3996
und	w1_d117e4001
Wasser.	w3_d117e4004
Man	w5_d117e4007
soll	w7_d117e4010
nämlich	w9_d117e4013
eine	w11_d117e4016
jede	w13_d117e4020
Pfarr	w1_d117e4025
des	w3_d117e4028
Königreichs	w5_d117e4031
verhalten,	w7_d117e4034
eine	w9_d117e4037
gewisse	w11_d117e4040
Anzahl	w1_d117e4045
Leute	w3_d117e4048
nach	w5_d117e4051
Maaßgab	w7_d117e4054
ihrer	w9_d117e4057
Grösse,	w11_d117e4060
und	w1_d117e4066
Vermögens,	w3_d117e4069
zu	w5_d117e4072
verschaffen.	w7_d117e4075
Man	w9_d117e4078
soll	w11_d117e4081
</p>
<p id="p12_d117e4095">
Leute	w1_d117e4099
auf	w3_d117e4102
5.	w5_d117e4105
Jahre	w7_d117e4108
anwerben,	w9_d117e4111
mit	w11_d117e4114
Erlaub	w13_d117e4118
niß,	w1_d117e4123
nach	w3_d117e4126
Verstreichung	w5_d117e4129
dieser	w7_d117e4132
Frist,	w9_d117e4135
den	w11_d117e4138
Dienst	w1_d117e4143
zu	w3_d117e4146
verlassen,	w5_d117e4149
auch	w7_d117e4152
ihnen	w9_d117e4155
eine	w11_d117e4158
kleine	w13_d117e4162
jährliche	w1_d117e4168
Einkunft	w3_d117e4171
zuzustehen,	w5_d117e4174
damit	w7_d117e4177
sie	w9_d117e4180
im	w11_d117e4183
Stande	w1_d117e4188
seyen,	w3_d117e4191
aufs	w5_d117e4194
neue	w7_d117e4197
zu	w9_d117e4200
dienen,	w11_d117e4203
wann	w13_d117e4207
es	w1_d117e4212
die	w3_d117e4215
Gelegenheit	w5_d117e4218
erfordert.	w7_d117e4221
</p>
<head id="h2_d117e4227">
Genua	w1_d117e4231
18.	w3_d117e4234
Jan.	w5_d117e4237
</head>
<p id="p4_d117e4240">
Von	w1_d117e4244
dem	w3_d117e4247
Capitan	w5_d117e4250
eines	w7_d117e4253
aus	w9_d117e4256
Gibraltar	w11_d117e4259
hier	w1_d117e4264
eingeloffenen	w3_d117e4267
Engländischen	w5_d117e4270
Schiffes	w7_d117e4273
hat	w9_d117e4276
man	w1_d117e4281
zu	w3_d117e4284
vernehmen	w5_d117e4287
gehabt:	w7_d117e4290
daß	w9_d117e4293
der	w11_d117e4296
dortige	w13_d117e4300
Gouverneur	w1_d117e4306
allen	w3_d117e4309
Jnwohnern	w5_d117e4312
habe	w7_d117e4315
bedeuten	w9_d117e4318
lassen,	w1_d117e4323
daß	w3_d117e4326
jeder	w5_d117e4329
sich	w7_d117e4332
auf	w9_d117e4335
zwey	w11_d117e4338
Jahre	w13_d117e4342
mit	w1_d117e4347
Proviant	w3_d117e4350
versehen,	w5_d117e4353
oder	w7_d117e4356
widrigentalls,	w9_d117e4359
innerhalb	w1_d117e4364
3.	w3_d117e4367
Monaten,	w5_d117e4370
sich	w7_d117e4373
fortmachen	w9_d117e4376
solle.	w11_d117e4379
Ferner,	w1_d117e4385
daß	w3_d117e4388
man	w5_d117e4391
aldort	w7_d117e4394
noch	w9_d117e4397
immer	w11_d117e4400
beschäf	w13_d117e4404
tiget	w1_d117e4409
seye,	w3_d117e4412
neue	w5_d117e4415
Befestigungs=werker,	w7_d117e4418
zu	w9_d117e4421
mal	w1_d117e4426
auf	w3_d117e4429
der	w5_d117e4432
Meer=seite,	w7_d117e4435
anzulegen,	w9_d117e4438
weilen	w11_d117e4441
man,	w1_d117e4446
in	w3_d117e4449
Betracht	w5_d117e4452
der	w7_d117e4455
ab	w9_d117e4458
Seiten	w11_d117e4461
Spanien	w13_d117e4465
gemacht	w1_d117e4471
werdenden	w3_d117e4474
Kriegs=zurüstungen,	w5_d117e4477
vor	w7_d117e4480
der	w1_d117e4485
Forcht	w3_d117e4488
einer	w5_d117e4491
Belagerung	w7_d117e4494
noch	w9_d117e4497
immer	w11_d117e4500
sich	w13_d117e4504
nicht	w1_d117e4509
sicher	w3_d117e4512
achtete.	w5_d117e4515
</p>
<head id="h2_d117e4521">
Toulon	w1_d117e4525
19.	w3_d117e4528
Januari.	w5_d117e4531
</head>
<p id="p4_d117e4534">
Man	w1_d117e4538
sieht	w3_d117e4541
hier	w5_d117e4544
gegenwärtig	w7_d117e4547
eine	w9_d117e4550
zuver	w11_d117e4553
läßige	w1_d117e4558
Liste	w3_d117e4561
von	w5_d117e4564
der	w7_d117e4567
Französischen	w9_d117e4570
See=macht.	w11_d117e4573
Derselben	w1_d117e4578
zufolge	w3_d117e4581
bestehet	w5_d117e4584
selbige	w7_d117e4587
aus	w9_d117e4590
68.	w11_d117e4593
Schiffen	w1_d117e4599
von	w3_d117e4602
der	w5_d117e4605
Linie,	w7_d117e4608
worunter	w9_d117e4611
6.	w11_d117e4614
von	w13_d117e4618
80.	w15_d117e4621
27.	w1_d117e4626
von	w3_d117e4629
74.,	w5_d117e4632
28.	w7_d117e4635
von	w9_d117e4638
64.,	w11_d117e4641
und	w13_d117e4645
7.	w15_d117e4648
von	w17_d117e4651
50.	w19_d117e4654
Canonen	w1_d117e4659
seynd.	w3_d117e4662
Ferner	w5_d117e4665
38.	w7_d117e4668
Fregatten	w9_d117e4671
von	w11_d117e4674
24.	w1_d117e4679
bis	w3_d117e4682
40.	w5_d117e4685
Canonen,	w7_d117e4688
2.	w9_d117e4691
Corvetten,	w11_d117e4694
2.	w13_d117e4698
Barken,	w1_d117e4704
4.	w3_d117e4707
Rebequen,	w5_d117e4710
6.	w7_d117e4713
Bombardier	w9_d117e4716
Ga	w11_d117e4719
lioten,	w1_d117e4724
13.	w3_d117e4727
Galeeren,	w5_d117e4730
2.	w7_d117e4733
halben	w9_d117e4736
Galeeren	w11_d117e4739
2.	w1_d117e4744
Brigantinen,	w3_d117e4747
10.	w5_d117e4750
Fleuten,	w7_d117e4753
10.	w9_d117e4756
Gabarren	w11_d117e4759
3.	w1_d117e4764
Brandern,	w3_d117e4767
3.	w5_d117e4770
Bugalets,	w7_d117e4773
und	w9_d117e4776
3.	w11_d117e4779
Carcassen.	w13_d117e4783
Ausser	w1_d117e4789
diesen	w3_d117e4792
stehen	w5_d117e4795
noch	w7_d117e4798
12.	w9_d117e4801
Schiffe	w11_d117e4804
vom	w13_d117e4808
er	w15_d117e4811
sten	w1_d117e4816
Range	w3_d117e4819
auf	w5_d117e4822
dem	w7_d117e4825
Stapel,	w9_d117e4828
worunter	w11_d117e4831
eines	w13_d117e4835
ist	w1_d117e4840
von	w3_d117e4843
100.	w5_d117e4846
Canonen,	w7_d117e4849
und	w9_d117e4852
8.	w11_d117e4855
Fregatten	w13_d117e4859
von	w15_d117e4862
24.	w1_d117e4867
bis	w3_d117e4870
40.	w5_d117e4873
Canonen.	w7_d117e4876
Auch	w9_d117e4879
dienen	w11_d117e4882
20.	w13_d117e4886
Schiffe	w1_d117e4892
in	w3_d117e4895
denen	w5_d117e4898
Häfen,	w7_d117e4901
welche	w9_d117e4904
keine	w11_d117e4907
Dienste	w13_d117e4911
in	w1_d117e4916
See	w3_d117e4919
thun.	w5_d117e4922
Hierzu	w7_d117e4925
kommt	w9_d117e4928
noch	w11_d117e4931
eine	w13_d117e4935
grosse	w15_d117e4938
Menge	w1_d117e4943
von	w3_d117e4946
Kappern,	w5_d117e4949
die	w7_d117e4952
in	w9_d117e4955
allen	w11_d117e4958
Häfen	w13_d117e4962
ausgerüstet	w1_d117e4967
werden,	w3_d117e4970
indem	w5_d117e4973
die	w7_d117e4976
Vortheile	w9_d117e4979
und	w1_d117e4985
Belohnungen,	w3_d117e4988
welche	w5_d117e4991
der	w7_d117e4994
König	w9_d117e4997
ihnen	w11_d117e5000
zugestanden,	w1_d117e5005
die	w3_d117e5008
Begierde	w5_d117e5011
bey	w7_d117e5014
ihnen	w9_d117e5017
vermeh	w11_d117e5020
ret,	w1_d117e5025
sich	w3_d117e5028
wegen	w5_d117e5031
deren	w7_d117e5034
Prisen	w9_d117e5037
schadloß	w11_d117e5040
zu	w13_d117e5044
halten,	w1_d117e5049
so	w3_d117e5052
die	w5_d117e5055
Engländer	w7_d117e5058
uns	w9_d117e5061
vor	w11_d117e5064
der	w13_d117e5068
Kriegs	w15_d117e5071
erklärung	w1_d117e5077
genommen	w3_d117e5080
haben.	w5_d117e5083
Die	w7_d117e5086
rauhe	w9_d117e5089
Wit	w11_d117e5092
terung	w1_d117e5097
hält	w3_d117e5100
die	w5_d117e5103
Arbeiter	w7_d117e5106
auf	w9_d117e5109
denen	w11_d117e5112
Werften	w13_d117e5116
</p>
<p id="p6_d117e5119">
von	w1_d117e5123
ihrer	w3_d117e5126
Arbeit	w5_d117e5129
nicht	w7_d117e5132
ab,	w9_d117e5135
dann,	w11_d117e5138
je	w13_d117e5142
weiter	w15_d117e5145
st	w17_d117e5148
kommen,	w1_d117e5153
desto	w3_d117e5156
mehr	w5_d117e5159
baares	w7_d117e5162
Geld	w9_d117e5165
empfangen	w11_d117e5168
sie.	w1_d117e5173
Die	w3_d117e5176
Werbung	w5_d117e5179
deren	w7_d117e5182
Trupen	w9_d117e5185
geht	w11_d117e5188
auf	w13_d117e5192
mit	w1_d117e5198
einem	w3_d117e5201
erstaunlichen	w5_d117e5204
Erfolge	w7_d117e5207
von	w9_d117e5210
statten	w11_d117e5213
und	w1_d117e5218
die	w3_d117e5221
Leute	w5_d117e5224
werden	w7_d117e5227
so	w9_d117e5230
bald	w11_d117e5233
sie	w13_d117e5237
zu	w15_d117e5240
ihren	w17_d117e5243
Fahnen	w1_d117e5248
kommen,	w3_d117e5251
bewafnet,	w5_d117e5254
und	w7_d117e5257
gekleidet.	w9_d117e5260
Drey	w1_d117e5265
Monate	w3_d117e5268
müssen	w5_d117e5271
sie	w7_d117e5274
aber	w9_d117e5277
bey	w11_d117e5280
denen	w13_d117e5284
Corps	w15_d117e5287
bleiben,	w1_d117e5293
welche	w3_d117e5296
die	w5_d117e5299
letzte	w7_d117e5302
Ordre	w9_d117e5305
zu	w11_d117e5308
Vermeh	w13_d117e5312
rung	w1_d117e5317
bekommen,	w3_d117e5320
und	w5_d117e5323
in	w7_d117e5326
dieser	w9_d117e5329
Zeit	w11_d117e5332
werden	w13_d117e5336
sie	w1_d117e5341
discipliniret,	w3_d117e5344
und	w5_d117e5347
lernen	w7_d117e5350
das	w9_d117e5353
exerciren.	w11_d117e5356
</p>
<head id="h2_d117e5363">
Paris	w1_d117e5367
16.	w3_d117e5370
Jan.	w5_d117e5373
</head>
<p id="p4_d117e5376">
Am	w1_d117e5380
Montag	w3_d117e5383
verfügten	w5_d117e5386
sich	w7_d117e5389
der	w9_d117e5392
Päpstl	w11_d117e5395
Herr	w1_d117e5400
Nuntius,	w3_d117e5403
die	w5_d117e5406
Ambassadeurs,	w7_d117e5409
Gesan	w9_d117e5412
dte,	w1_d117e5417
Ministres,	w3_d117e5420
und	w5_d117e5423
Residenten	w7_d117e5426
derer	w9_d117e5429
frem	w11_d117e5432
den	w1_d117e5438
Höfen	w3_d117e5441
in	w5_d117e5444
Ceremonie	w7_d117e5447
nach	w9_d117e5450
Versailles.	w11_d117e5453
</p>
<p id="p6_d117e5456">
Sie	w1_d117e5460
wurden	w3_d117e5463
mit	w5_d117e5466
aller	w7_d117e5469
Distinction	w9_d117e5472
in	w11_d117e5475
das	w13_d117e5479
Zimmer,	w1_d117e5484
wo	w3_d117e5487
das	w5_d117e5490
Königl.	w7_d117e5493
Beht	w9_d117e5496
befindlich,	w11_d117e5499
eingeführet.	w1_d117e5504
Die	w3_d117e5507
Leib=gardes	w5_d117e5510
stunden	w7_d117e5513
in	w9_d117e5516
doppelten	w1_d117e5522
Reihen	w3_d117e5525
in	w5_d117e5528
denen	w7_d117e5531
Waffen.	w9_d117e5534
Sie	w11_d117e5537
wurden	w1_d117e5542
gegen	w3_d117e5545
über	w5_d117e5548
das	w7_d117e5551
Königl.	w9_d117e5554
Beht	w11_d117e5557
gefüh	w13_d117e5561
ret,	w1_d117e5566
zu	w3_d117e5569
dessen	w5_d117e5572
beyden	w7_d117e5575
Seiten	w9_d117e5578
die	w11_d117e5581
Königin,	w13_d117e5585
die	w1_d117e5590
Königl.	w3_d117e5593
Familie,	w5_d117e5596
und	w7_d117e5599
die	w9_d117e5602
Prinzen	w11_d117e5605
vom	w13_d117e5609
Geblüt	w1_d117e5615
sich	w3_d117e5618
befanden.	w5_d117e5621
Der	w7_d117e5624
König	w9_d117e5627
redete	w11_d117e5630
die	w13_d117e5634
Ambassadeurs	w1_d117e5639
auf	w3_d117e5642
das	w5_d117e5645
gnädigste	w7_d117e5648
an,	w9_d117e5651
und	w11_d117e5654
gab	w1_d117e5659
ihnen	w3_d117e5662
mit	w5_d117e5665
denen	w7_d117e5668
verbundensten	w9_d117e5671
Aus	w11_d117e5674
drückungen	w1_d117e5679
die	w3_d117e5682
Dankbarkeit	w5_d117e5685
wegen	w7_d117e5688
des	w9_d117e5691
be	w11_d117e5694
sondern	w1_d117e5700
Antheils,	w3_d117e5703
so	w5_d117e5706
ein	w7_d117e5709
jeder	w9_d117e5712
von	w11_d117e5715
ihnen	w13_d117e5719
an	w15_d117e5722
der	w1_d117e5727
beerübten	w3_d117e5730
Begebenheit,	w5_d117e5733
die	w7_d117e5736
Jhm	w9_d117e5739
wider	w11_d117e5742
fahren,	w1_d117e5747
genommen,	w3_d117e5750
zu	w5_d117e5753
erkennen.	w7_d117e5756
Nunmehro	w9_d117e5759
wird	w1_d117e5764
für	w3_d117e5767
den	w5_d117e5770
meuchelmörderischen	w7_d117e5773
Böswicht	w9_d117e5776
alhier	w1_d117e5782
in	w3_d117e5785
der	w5_d117e5788
Conciekgerie	w7_d117e5791
ein	w9_d117e5794
eisernes	w11_d117e5797
Beht	w13_d117e5801
zubereitet,	w1_d117e5806
weilches	w3_d117e5809
auf	w5_d117e5812
solche	w7_d117e5815
Art	w9_d117e5818
verferti	w11_d117e5821
get	w1_d117e5826
wird,	w3_d117e5829
daß	w5_d117e5832
es	w7_d117e5835
Abwechslungs=weis	w9_d117e5838
für	w11_d117e5841
ein	w1_d117e5846
Beht	w3_d117e5849
und	w5_d117e5852
einen	w7_d117e5855
Lehn=stuhl	w9_d117e5858
kan	w11_d117e5861
gebrau	w13_d117e5865
chet	w1_d117e5871
werden,	w3_d117e5874
woran	w5_d117e5877
man	w7_d117e5880
ihn	w9_d117e5883
mit	w11_d117e5886
grossen	w13_d117e5890
ei	w15_d117e5893
sernen	w1_d117e5898
Ketten	w3_d117e5901
an	w5_d117e5904
Händen	w7_d117e5907
und	w9_d117e5910
Füssen,	w11_d117e5913
wie	w13_d117e5917
auch	w1_d117e5922
in	w3_d117e5925
der	w5_d117e5928
Mitte	w7_d117e5931
des	w9_d117e5934
Leibs	w11_d117e5937
anfeßlen	w13_d117e5941
wird.	w15_d117e5944
</p>
<p id="p8_d117e5947">
Se.	w1_d117e5951
Majestät	w3_d117e5954
der	w5_d117e5957
König,	w7_d117e5960
haben	w9_d117e5963
den	w11_d117e5966
Feld	w13_d117e5970
marschallen,	w1_d117e5975
und	w3_d117e5978
Mestre	w5_d117e5981
de	w7_d117e5984
Camp	w9_d117e5987
eines	w11_d117e5990
Teutschen	w1_d117e5995
Cavallerie=regiments,	w3_d117e5998
Prinzen	w5_d117e6001
Lud	w7_d117e6004
wig	w1_d117e6010
von	w3_d117e6013
Würtemberg,	w5_d117e6016
zum	w7_d117e6019
Generalleute	w9_d117e6022
nant	w1_d117e6027
Dero	w3_d117e6030
Armeen,	w5_d117e6033
den	w7_d117e6036
Mestre	w9_d117e6039
de	w11_d117e6042
Camt	w13_d117e6046
eines	w1_d117e6051
Cavallerie=regiments,	w3_d117e6054
Grafen	w5_d117e6057
von	w7_d117e6060
La	w9_d117e6063
meth	w1_d117e6068
aber,	w3_d117e6071
zum	w5_d117e6074
Brigadier	w7_d117e6077
ernannt.	w9_d117e6080
</p>
<p id="p10_d117e6083">
Es	w1_d117e6087
haben	w3_d117e6090
auch	w5_d117e6093
Se.	w7_d117e6096
Majestät,	w9_d117e6099
indem	w11_d117e6102
Die	w13_d117e6106
selbe	w1_d117e6111
wieder	w3_d117e6114
völlig	w5_d117e6117
hergestellet	w7_d117e6120
seynd,	w9_d117e6123
hundert	w11_d117e6126
tausend	w1_d117e6131
Thaler	w3_d117e6134
an	w5_d117e6137
die	w7_d117e6140
Pfarrer	w9_d117e6143
in	w11_d117e6146
der	w13_d117e6150
Stadt	w15_d117e6153
Paris	w1_d117e6159
abschicken	w3_d117e6162
lassen,	w5_d117e6165
um	w7_d117e6168
dieselbe	w9_d117e6171
unter	w11_d117e6174
die	w1_d117e6179
Armen	w3_d117e6182
auszutheilen	w5_d117e6185
</p>
<head id="h4_d117e6193">
Jan.	w1_d117e6197
Livorno	w1_d117e6202
15.	w3_d117e6205
</head>
<p id="p6_d117e6208">
Von	w1_d117e6212
Tunis	w3_d117e6215
hat	w5_d117e6218
man	w7_d117e6221
die	w9_d117e6224
Nachricht	w11_d117e6227
erhal	w13_d117e6231
ten,	w1_d117e6236
daß	w3_d117e6239
der	w5_d117e6242
dasige	w7_d117e6245
neue	w9_d117e6248
Bey	w11_d117e6251
die	w13_d117e6255
Kirche	w15_d117e6258
deren	w1_d117e6263
P.	w3_d117e6266
P.	w5_d117e6269
de	w7_d117e6272
la	w9_d117e6275
Redemtion	w11_d117e6278
ausplündern,	w13_d117e6282
und	w1_d117e6288
diese	w3_d117e6291
Geistliche	w5_d117e6294
ins	w7_d117e6297
Gefängnuß	w9_d117e6300
legen	w11_d117e6303
las	w13_d117e6307
sen.	w1_d117e6312
Ein	w3_d117e6315
gleiches	w5_d117e6318
Schicksal	w7_d117e6321
seye	w9_d117e6324
auch	w11_d117e6327
der	w13_d117e6331
Französischen	w1_d117e6336
Kirche	w3_d117e6339
widerfahren,	w5_d117e6342
und	w7_d117e6345
der	w9_d117e6348
Consul	w1_d117e6353
dieser	w3_d117e6356
Nation	w5_d117e6359
bedrohet	w7_d117e6362
worden,	w9_d117e6365
daß,	w11_d117e6368
wo	w1_d117e6374
er	w3_d117e6377
gewisse	w5_d117e6380
an	w7_d117e6383
ihn	w9_d117e6386
gethane	w11_d117e6389
Vorschläge	w13_d117e6393
nicht	w1_d117e6398
eingehen	w3_d117e6401
würde,	w5_d117e6404
er	w7_d117e6407
auf	w9_d117e6410
das	w11_d117e6413
äusserste	w13_d117e6417
gemartert	w1_d117e6422
werden	w3_d117e6425
solte.	w5_d117e6428
</p>
<head id="h2_d117e6434">
Leiden	w1_d117e6438
11.	w3_d117e6441
Januarii.	w5_d117e6444
</head>
<p id="p4_d117e6447">
Eben	w1_d117e6451
gehet	w3_d117e6454
hier	w5_d117e6457
ein	w7_d117e6460
Bote	w9_d117e6463
an	w11_d117e6466
die	w13_d117e6470
Herren	w15_d117e6473
Staaten	w1_d117e6478
aus	w3_d117e6481
Friestand	w5_d117e6484
durch,	w7_d117e6487
der	w9_d117e6490
die	w11_d117e6493
be	w13_d117e6497
trübte	w1_d117e6502
Nachricht	w3_d117e6505
mitbringet,	w5_d117e6508
daß	w7_d117e6511
daselbst	w9_d117e6514
ein	w1_d117e6520
Schif	w3_d117e6523
auf	w5_d117e6526
der	w7_d117e6529
Küste	w9_d117e6532
im	w11_d117e6535
Eiß	w13_d117e6539
sitze,	w15_d117e6542
wel	w17_d117e6545
ches	w1_d117e6550
einen	w3_d117e6553
Theil	w5_d117e6556
der	w7_d117e6559
Hannöverischen	w9_d117e6562
Trupen	w11_d117e6565
aus	w1_d117e6570
England	w3_d117e6573
inne	w5_d117e6576
hätte.	w7_d117e6579
Dreymal	w9_d117e6582
hät	w11_d117e6585
ten	w1_d117e6590
selbe	w3_d117e6593
schon	w5_d117e6596
Noht=schüsse	w7_d117e6599
gethan;	w9_d117e6602
aber	w11_d117e6605
das	w1_d117e6611
Eiß	w3_d117e6614
wäre	w5_d117e6617
so	w7_d117e6620
falsch,	w9_d117e6623
daß	w11_d117e6626
es	w13_d117e6630
fast	w15_d117e6633
eine	w17_d117e6636
Onmöglichkeit	w1_d117e6641
zu	w3_d117e6644
seyn	w5_d117e6647
scheine,	w7_d117e6650
ihnen	w9_d117e6653
zu	w11_d117e6656
Hülfe	w13_d117e6660
zu	w1_d117e6665
kommen.	w3_d117e6668
</p>
<head id="h2_d117e6674">
Elsaß	w1_d117e6678
18.	w3_d117e6681
Jan.	w5_d117e6684
</head>
<p id="p4_d117e6687">
Die	w1_d117e6691
