<doc id="wr_1760-05-03" attrs="word" year="1760" month="05" day="03" corpus="2">
<head id="h2_d446e3161">
Neu=pork	w1_d446e3165
Cüstrin	w1_d446e3949
10.	w3_d446e3952
April.	w5_d446e3955
</head>
<p id="p4_d446e3958">
Dem	w1_d446e3962
Vernehmen	w3_d446e3965
nach	w5_d446e3968
hat	w7_d446e3971
der	w9_d446e3974
General	w11_d446e3977
Forcade,	w1_d446e3982
welcher	w3_d446e3985
mit	w5_d446e3988
dem	w7_d446e3991
Train	w9_d446e3994
Antillerie,	w11_d446e3997
</p>
<p id="p10_d446e4010">
den	w1_d446e4014
Pontons,	w3_d446e4017
und	w5_d446e4020
verschiedener	w7_d446e4023
Jnfanterie	w9_d446e4026
von	w1_d446e4031
Berlin	w3_d446e4034
nach	w5_d446e4037
Schlesien	w7_d446e4040
abmarschiret	w9_d446e4043
war,	w1_d446e4048
bey	w3_d446e4051
Crossen	w5_d446e4054
den	w7_d446e4057
Befehl	w9_d446e4060
erhalten,	w11_d446e4063
nach	w13_d446e4067
Hinter=pommern	w1_d446e4073
zu	w3_d446e4076
gehen,	w5_d446e4079
wo	w7_d446e4082
die	w9_d446e4085
Russen	w11_d446e4088
eine	w1_d446e4093
Verstärkung	w3_d446e4096
von	w5_d446e4099
8000.	w7_d446e4102
Mann	w9_d446e4105
erhalten	w11_d446e4108
haben	w1_d446e4113
sollen,	w3_d446e4116
und	w5_d446e4119
mit	w7_d446e4122
ihren	w9_d446e4125
Partheyen	w11_d446e4128
schon	w13_d446e4132
wieder	w1_d446e4137
bis	w3_d446e4140
an	w5_d446e4143
die	w7_d446e4146
Neumärkischen	w9_d446e4149
Gränzen	w11_d446e4152
streiffen.	w1_d446e4158
Des	w3_d446e4161
Herzogs	w5_d446e4164
von	w7_d446e4167
Bevern,	w9_d446e4170
Gou	w11_d446e4173
verneurs	w1_d446e4178
zu	w3_d446e4181
Stettin	w5_d446e4184
Durchl.,	w7_d446e4187
haben	w9_d446e4190
ein	w11_d446e4193
ge	w13_d446e4197
schärftes	w1_d446e4202
Patent	w3_d446e4205
ergehen	w5_d446e4208
lassen,	w7_d446e4211
durch	w9_d446e4214
wel	w11_d446e4217
ches	w1_d446e4222
alle	w3_d446e4225
Pommerische	w5_d446e4228
Unterthanen	w7_d446e4231
ihrer	w9_d446e4234
Treue	w1_d446e4240
erinnert,	w3_d446e4243
und	w5_d446e4246
gewarnet	w7_d446e4249
werden,	w9_d446e4252
dem	w11_d446e4255
Feinde	w1_d446e4260
keinen	w3_d446e4263
Vorschub	w5_d446e4266
zu	w7_d446e4269
thun.	w9_d446e4272
</p>
<head id="h2_d446e4278">
Aus	w1_d446e4282
dem	w3_d446e4285
Voigtlande	w5_d446e4288
18.	w7_d446e4291
April.	w9_d446e4294
</head>
<p id="p4_d446e4297">
Gera	w1_d446e4301
ist	w3_d446e4304
nun	w5_d446e4307
von	w7_d446e4310
denen	w9_d446e4313
Preußen	w11_d446e4316
aber	w13_d446e4320
mals	w1_d446e4325
mit	w3_d446e4328
40000.	w5_d446e4331
Reichs=thaler	w7_d446e4334
taxirt,	w9_d446e4337
wovon	w1_d446e4342
den	w3_d446e4345
Tag	w5_d446e4348
vor	w7_d446e4351
den	w9_d446e4354
Feyertagen	w11_d446e4357
20000.	w13_d446e4361
Rthlr.	w1_d446e4367
bezahlet	w3_d446e4370
worden,	w5_d446e4373
worauf	w7_d446e4376
wir	w9_d446e4379
unsere	w11_d446e4382
Geiseln	w1_d446e4387
wieder	w3_d446e4390
bekommen;	w5_d446e4393
das	w7_d446e4396
übrige	w9_d446e4399
muß	w11_d446e4402
noch	w1_d446e4407
bezahlet	w3_d446e4410
werden.	w5_d446e4413
Der	w7_d446e4416
gemeinschaft	w9_d446e4419
liche	w1_d446e4424
Amtmann,	w3_d446e4427
Hof=raht	w5_d446e4430
Freisleben,	w7_d446e4433
be	w9_d446e4436
findet	w1_d446e4442
sich	w3_d446e4445
aber	w5_d446e4448
noch	w7_d446e4451
zu	w9_d446e4454
Leipzig,	w11_d446e4457
bis	w13_d446e4461
die	w15_d446e4464
sämtlichen	w1_d446e4469
Reußischen	w3_d446e4472
Herrn	w5_d446e4475
Grafen	w7_d446e4478
ihre	w9_d446e4481
Forderung	w1_d446e4486
an	w3_d446e4489
Geld	w5_d446e4492
und	w7_d446e4495
Fourage	w9_d446e4498
prästiret	w11_d446e4501
haben.	w1_d446e4506
Den	w3_d446e4509
2.	w5_d446e4512
Feyertag	w7_d446e4515
war	w9_d446e4518
der	w11_d446e4521
Herr	w13_d446e4525
General=major	w1_d446e4531
von	w3_d446e4534
Schenkendorf	w5_d446e4537
selbst	w7_d446e4540
in	w9_d446e4543
Gera,	w1_d446e4548
worauf	w3_d446e4551
er	w5_d446e4554
sich	w7_d446e4557
sogleich	w9_d446e4560
von	w11_d446e4563
Zeitz	w13_d446e4567
nach	w15_d446e4570
Borna	w1_d446e4575
gezogen,	w3_d446e4578
wo	w5_d446e4581
er	w7_d446e4584
sich	w9_d446e4587
verschanzt,	w11_d446e4590
und	w13_d446e4594
haben	w1_d446e4599
deswegen	w3_d446e4602
aus	w5_d446e4605
dem	w7_d446e4608
Amt	w9_d446e4611
Pegau	w11_d446e4614
200.	w13_d446e4618
Mann	w1_d446e4624
sich	w3_d446e4627
dahin	w5_d446e4630
stellen	w7_d446e4633
müssen.	w9_d446e4636
Dieses	w11_d446e4639
Corps	w1_d446e4644
verstärkt	w3_d446e4647
sich	w5_d446e4650
immer	w7_d446e4653
mehr	w9_d446e4656
und	w11_d446e4659
mehr,	w13_d446e4663
und	w1_d446e4668
besteht	w3_d446e4671
aus	w5_d446e4674
auserlesenen	w7_d446e4677
Trupen.	w9_d446e4680
Die	w11_d446e4683
Reichs=trupen	w1_d446e4688
stehen	w3_d446e4691
in	w5_d446e4694
unserer	w7_d446e4697
Nachbar	w9_d446e4700
schaft,	w1_d446e4706
und	w3_d446e4709
wir	w5_d446e4712
haben	w7_d446e4715
alle	w9_d446e4718
Tage	w11_d446e4721
Oesterrei	w13_d446e4725
chische	w1_d446e4730
Patrouillen.	w3_d446e4733
Die	w5_d446e4736
Preußischen	w7_d446e4739
sind	w9_d446e4742
seit	w1_d446e4747
des	w3_d446e4750
Zurückzugs	w5_d446e4753
nicht	w7_d446e4756
mehr	w9_d446e4759
gekommen.	w11_d446e4762
Von	w1_d446e4767
Leipzig	w3_d446e4770
sind	w5_d446e4773
etliche	w7_d446e4776
1000.	w9_d446e4779
Recruten	w11_d446e4782
zur	w1_d446e4788
Armee	w3_d446e4791
abgegangen;	w5_d446e4794
doch	w7_d446e4797
sind	w9_d446e4800
deren	w11_d446e4803
noch	w1_d446e4808
viele	w3_d446e4811
da.	w5_d446e4814
Die	w7_d446e4817
Preußen	w9_d446e4820
haben	w11_d446e4823
bey	w13_d446e4827
und	w1_d446e4832
in	w3_d446e4835
Oschatz	w5_d446e4838
ein	w7_d446e4841
Magazin	w9_d446e4844
errichtet,	w11_d446e4847
der	w13_d446e4851
gleichen	w1_d446e4856
man	w3_d446e4859
noch	w5_d446e4862
nie	w7_d446e4865
soll	w9_d446e4868
gehabt	w11_d446e4871
haben.	w13_d446e4875
</p>
<head id="h2_d446e4882">
Extract=schreiben	w1_d446e4886
aus	w3_d446e4889
Budißin	w5_d446e4892
21.	w1_d446e4897
April.	w3_d446e4900
</head>
<p id="p4_d446e4903">
Glauben	w1_d446e4907
sie	w3_d446e4910
keinesweges,	w5_d446e4913
daß	w7_d446e4916
wir	w9_d446e4919
das	w11_d446e4922
Ungemach	w1_d446e4927
des	w3_d446e4930
Kriegs	w5_d446e4933
nicht	w7_d446e4936
mehr	w9_d446e4939
empfin	w11_d446e4942
den.	w1_d446e4947
Wenn	w3_d446e4950
uns	w5_d446e4953
auch	w7_d446e4956
die	w9_d446e4959
feindliche	w11_d446e4962
Grau	w13_d446e4966
samkeiten	w1_d446e4972
auf	w3_d446e4975
der	w5_d446e4978
Nähe	w7_d446e4981
nicht	w9_d446e4984
mehr	w11_d446e4987
schwer	w13_d446e4991
fallen,	w1_d446e4996
so	w3_d446e4999
fühlen	w5_d446e5002
wir	w7_d446e5005
solche	w9_d446e5008
doch	w11_d446e5011
von	w13_d446e5015
Wei	w15_d446e5018
ten.	w1_d446e5023
Unsere	w3_d446e5026
hiesige	w5_d446e5029
und	w7_d446e5032
andere	w9_d446e5035
Kaufleute	w11_d446e5038
erwarteten	w1_d446e5043
dieser	w3_d446e5046
Täge	w5_d446e5049
ihre	w7_d446e5052
von	w9_d446e5055
Leipzig	w11_d446e5058
ab	w13_d446e5062
gegangenen	w1_d446e5068
Waaren,	w3_d446e5071
statt	w5_d446e5074
derselben	w7_d446e5077
aber	w9_d446e5080
erhielten	w1_d446e5085
sie	w3_d446e5088
die	w5_d446e5091
betrübte	w7_d446e5094
Nachricht,	w9_d446e5097
daß	w11_d446e5100
Unterweges	w1_d446e5105
von	w3_d446e5108
unsern	w5_d446e5111
ungebettenen	w7_d446e5114
Be	w9_d446e5117
schützern	w1_d446e5122
alles	w3_d446e5125
weggenommen	w5_d446e5128
worden.	w7_d446e5131
Die	w9_d446e5134
ses	w1_d446e5140
mag	w3_d446e5143
eine	w5_d446e5146
hohe	w7_d446e5149
Oesterreichische	w9_d446e5152
Gene	w11_d446e5155
ralität	w1_d446e5160
vorausgesehen	w3_d446e5163
haben,	w5_d446e5166
weil	w7_d446e5169
dieselbe	w9_d446e5172
auf	w1_d446e5177
das	w3_d446e5180
schärfeste	w5_d446e5183
verbotten,	w7_d446e5186
daß	w9_d446e5189
bey	w11_d446e5192
der	w13_d446e5196
maligen	w1_d446e5201
Zeltläuften	w3_d446e5204
niemand	w5_d446e5207
die	w7_d446e5210
Leipziger	w9_d446e5213
messe	w1_d446e5219
besuchen	w3_d446e5222
solle.	w5_d446e5225
Nun	w7_d446e5228
ist	w9_d446e5231
man	w11_d446e5234
auch	w13_d446e5238
entschlossen,	w1_d446e5243
Moritzburg	w3_d446e5246
zu	w5_d446e5249
befestigen,	w7_d446e5252
zu	w9_d446e5255
welchem	w1_d446e5260
Behuf	w3_d446e5263
der	w5_d446e5266
Budißiner=creis	w7_d446e5269
allein	w9_d446e5272
alle	w1_d446e5277
5.	w3_d446e5280
Täge	w5_d446e5283
1000.	w7_d446e5286
Mann	w9_d446e5289
zu	w11_d446e5292
stellen	w13_d446e5296
be	w15_d446e5299
fehliget	w1_d446e5305
ist.	w3_d446e5308
Görlitz	w5_d446e5311
haben	w7_d446e5314
die	w9_d446e5317
Preussen	w11_d446e5320
als	w13_d446e5324
ein	w1_d446e5329
ausgeleertes	w3_d446e5332
Nest	w5_d446e5335
verlassen,	w7_d446e5338
dagegen	w9_d446e5341
halten	w1_d446e5346
sie	w3_d446e5349
Lauban	w5_d446e5352
annoch	w7_d446e5355
mit	w9_d446e5358
5.	w11_d446e5361
Bataillon	w13_d446e5365
besetzt,	w1_d446e5370
die	w3_d446e5373
Cavallerie	w5_d446e5376
aber	w7_d446e5379
liget	w9_d446e5382
auf	w11_d446e5385
denen	w13_d446e5389
Dörfern,	w1_d446e5395
und	w3_d446e5398
der	w5_d446e5401
übrige	w7_d446e5404
Theil	w9_d446e5407
des	w11_d446e5410
feind	w13_d446e5414
lichen	w1_d446e5419
Corps	w3_d446e5422
stehet	w5_d446e5425
zu	w7_d446e5428
Naumburg,	w9_d446e5431
am	w11_d446e5434
Kneiß	w13_d446e5438
und	w1_d446e5443
Löwenberg.	w3_d446e5446
Zu	w5_d446e5449
Lauban	w7_d446e5452
verschanzen	w9_d446e5455
sich	w1_d446e5460
die	w3_d446e5463
Feinde,	w5_d446e5466
als	w7_d446e5469
wolten	w9_d446e5472
sie	w11_d446e5475
ewig	w13_d446e5479
da	w15_d446e5482
blei	w17_d446e5485
ben.	w1_d446e5491
Alle	w3_d446e5494
Waldungen	w5_d446e5497
und	w7_d446e5500
Büsche,	w9_d446e5503
son	w11_d446e5506
derlich	w1_d446e5511
des	w3_d446e5514
dasigen	w5_d446e5517
Jungfräulichen	w7_d446e5520
Closters	w9_d446e5523
werden	w1_d446e5528
niedergehauen,	w3_d446e5531
und	w5_d446e5534
theils	w7_d446e5537
Verhau,	w9_d446e5540
theils	w1_d446e5545
Pallisaden	w3_d446e5548
um	w5_d446e5551
die	w7_d446e5554
ganze	w9_d446e5557
Stadt	w11_d446e5560
ge	w13_d446e5564
macht.	w1_d446e5570
Gleichwol	w3_d446e5573
stehet	w5_d446e5576
alles	w7_d446e5579
daselbst	w9_d446e5582
auf	w11_d446e5585
gepackt,	w1_d446e5590
als	w3_d446e5593
wollte	w5_d446e5596
man	w7_d446e5599
stündlich	w9_d446e5602
abziehen.	w11_d446e5605
Zufolge	w1_d446e5610
denen	w3_d446e5613
Nachrichten	w5_d446e5616
aus	w7_d446e5619
Niederschle	w9_d446e5622
sien	w1_d446e5627
seynd	w3_d446e5630
dieser	w5_d446e5633
Tägen	w7_d446e5636
2.	w9_d446e5639
Regimenter	w11_d446e5642
Jr	w13_d446e5646
fanterie,	w1_d446e5652
nebst	w3_d446e5655
2.	w5_d446e5658
Regimentern	w7_d446e5661
Cavallerie	w9_d446e5664
aus	w1_d446e5669
dem	w3_d446e5672
Brandenburgischen	w5_d446e5675
kommen,	w7_d446e5678
bey	w9_d446e5681
Liegnitz	w1_d446e5686
vorbey	w3_d446e5689
nach	w5_d446e5692
Ober=schlesien	w7_d446e5695
mat	w9_d446e5698
schiret,	w1_d446e5703
und	w3_d446e5706
von	w5_d446e5709
Breßlau	w7_d446e5712
verlautet,	w9_d446e5715
daß	w11_d446e5718
das	w1_d446e5724
dasige	w3_d446e5727
Magazin	w5_d446e5730
abermals	w7_d446e5733
nach	w9_d446e5736
Strie	w11_d446e5739
gau	w1_d446e5744
transportiret	w3_d446e5747
werden	w5_d446e5750
solle.	w7_d446e5753
</p>
<head id="h4_d446e5761">
Aus	w1_d446e5765
Hessen	w3_d446e5768
10.	w5_d446e5771
April.	w7_d446e5774
</head>
<p id="p6_d446e5777">
Vorgestern	w1_d446e5781
gieng	w3_d446e5784
von	w5_d446e5787
der	w7_d446e5790
Besatzung	w9_d446e5793
zu	w11_d446e5796
Cassel	w1_d446e5801
ein	w3_d446e5804
Capitan	w5_d446e5807
mit	w7_d446e5810
40.	w9_d446e5813
Mann,	w11_d446e5816
desglei	w13_d446e5820
chen	w1_d446e5825
ein	w3_d446e5828
Leutenant	w5_d446e5831
mit	w7_d446e5834
30.	w9_d446e5837
Husaren	w11_d446e5840
nach	w13_d446e5844
Rinteln,	w1_d446e5850
um	w3_d446e5853
die	w5_d446e5856
in	w7_d446e5859
der	w9_d446e5862
Grafschaft	w11_d446e5865
Schaum	w13_d446e5869
burg	w1_d446e5874
für	w3_d446e5877
die	w5_d446e5880
Heßische	w7_d446e5883
Trupen	w9_d446e5886
ausgenomme	w11_d446e5889
ne	w1_d446e5894
Recruten	w3_d446e5897
in	w5_d446e5900
Empfang	w7_d446e5903
zu	w9_d446e5906
nehmen,	w11_d446e5909
und	w13_d446e5913
hieher	w1_d446e5918
zu	w3_d446e5921
bringen.	w5_d446e5924
Vermittelst	w7_d446e5927
eines	w9_d446e5930
un	w11_d446e5933
term	w1_d446e5939
22sten	w3_d446e5942
des	w5_d446e5945
verwichenen	w7_d446e5948
ergangenen	w9_d446e5951
Regierungs	w1_d446e5956
befehls	w3_d446e5959
sind	w5_d446e5962
die	w7_d446e5965
neue	w9_d446e5968
Preußische,	w11_d446e5971
und	w1_d446e5976
Sächsische	w3_d446e5979
Pistolen	w5_d446e5982
in	w7_d446e5985
hiesigen	w9_d446e5988
Landen	w11_d446e5991
gänzlich	w1_d446e5996
verruffen	w3_d446e5999
worden.	w5_d446e6002
</p>
<head id="h2_d446e6008">
Aus	w1_d446e6012
dem	w3_d446e6015
Königl.	w5_d446e6018
Schwedischen	w7_d446e6021
Haupt=quartier	w1_d446e6026
zu	w3_d446e6029
Greifswald	w5_d446e6032
vom	w1_d446e6037
12.	w3_d446e6040
April.	w5_d446e6043
</head>
<p id="p4_d446e6046">
Da	w1_d446e6050
bey	w3_d446e6053
der	w5_d446e6056
neulich	w7_d446e6059
geschehenen	w9_d446e6062
Aufhe	w11_d446e6065
bung	w1_d446e6070
der	w3_d446e6073
3.	w5_d446e6076
Beamten	w7_d446e6079
aus	w9_d446e6082
denen	w11_d446e6085
an	w13_d446e6089
Preußen	w15_d446e6092
verpfändeten	w1_d446e6097
Mecklenburgischen	w3_d446e6100
Aemtern	w5_d446e6103
keine	w1_d446e6109
andere	w3_d446e6112
Absicht	w5_d446e6115
gewesen,	w7_d446e6118
als	w9_d446e6121
dadurch	w11_d446e6124
die	w13_d446e6128
Hebung	w1_d446e6133
der	w3_d446e6136
Recruten	w5_d446e6139
zu	w7_d446e6142
verhindern,	w9_d446e6145
welche	w11_d446e6148
aus	w1_d446e6153
diesen	w3_d446e6156
Aemtern	w5_d446e6159
aufzubringen,	w7_d446e6162
man	w9_d446e6165
Preus	w11_d446e6168
sischer	w1_d446e6173
Seits	w3_d446e6176
diese	w5_d446e6179
Beamte	w7_d446e6182
hat	w9_d446e6185
zwingen	w11_d446e6188
wol	w13_d446e6192
len,	w1_d446e6198
so	w3_d446e6201
sind	w5_d446e6204
die	w7_d446e6207
Letztere	w9_d446e6210
schon	w11_d446e6213
wieder	w13_d446e6217
losge	w15_d446e6220
lassen,	w1_d446e6225
und	w3_d446e6228
vor	w5_d446e6231
einigen	w7_d446e6234
Tagen	w9_d446e6237
nach	w11_d446e6240
ihren	w13_d446e6244
Aemtern	w1_d446e6249
zuruck	w3_d446e6252
gereiset,	w5_d446e6255
nachdem	w7_d446e6258
sie	w9_d446e6261
sich	w11_d446e6264
allhier	w1_d446e6269
eidlich	w3_d446e6272
reversiret	w5_d446e6275
haben,	w7_d446e6278
sich	w9_d446e6281
so	w11_d446e6284
wenig	w13_d446e6288
mit	w1_d446e6294
Aufbringung	w3_d446e6297
von	w5_d446e6300
Recruten,	w7_d446e6303
als	w9_d446e6306
mit	w11_d446e6309
Ausschreibung	w1_d446e6314
ausserordentlicher	w3_d446e6317
Contribu	w5_d446e6320
tionen	w1_d446e6325
zu	w3_d446e6328
befassen.	w5_d446e6331
Hingegen	w7_d446e6334
bleibet	w9_d446e6337
der	w11_d446e6340
Preußische	w1_d446e6345
Kriegs=raht	w3_d446e6348
Glahn,	w5_d446e6351
und	w7_d446e6354
der	w9_d446e6357
Se	w11_d446e6360
cretair	w1_d446e6366
Vorkampf,	w3_d446e6369
als	w5_d446e6372
Kriegs=gefangene	w7_d446e6375
allhier	w1_d446e6380
zuruck.	w3_d446e6383
</p>
<head id="h2_d446e6389">
Paris	w1_d446e6393
19	w3_d446e6396
April.	w5_d446e6399
</head>
<p id="p4_d446e6402">
Der	w1_d446e6406
Graf	w3_d446e6409
von	w5_d446e6412
Laußnitz	w7_d446e6415
ist	w9_d446e6418
den	w11_d446e6421
14.	w13_d446e6425
von	w15_d446e6428
hier	w17_d446e6431
nach	w1_d446e6436
München	w3_d446e6439
abgereiset,	w5_d446e6442
von	w7_d446e6445
dannen	w9_d446e6448
wird	w11_d446e6451
er	w1_d446e6456
sich	w3_d446e6459
an	w5_d446e6462
die	w7_d446e6465
Spitze	w9_d446e6468
deren	w11_d446e6471
im	w13_d446e6475
Würzburgischen	w15_d446e6478
cantonirenden	w1_d446e6484
Sächsischen	w3_d446e6487
Trupen	w5_d446e6490
begeben.	w7_d446e6493
Der	w1_d446e6498
Herr	w3_d446e6501
Marschall	w5_d446e6504
Broglie,	w7_d446e6507
welcher	w9_d446e6510
den	w11_d446e6513
Kern	w1_d446e6518
der	w3_d446e6521
Armee	w5_d446e6524
von	w7_d446e6527
60000.	w9_d446e6530
Mann	w11_d446e6533
selbst	w13_d446e6537
anführen,	w1_d446e6542
und	w3_d446e6545
sein	w5_d446e6548
Augenmerk	w7_d446e6551
auf	w9_d446e6554
die	w11_d446e6557
Seite	w13_d446e6561
des	w1_d446e6567
Mayns,	w3_d446e6570
und	w5_d446e6573
gegen	w7_d446e6576
Hessen	w9_d446e6579
richten	w11_d446e6582
wird	w13_d446e6586
soll	w1_d446e6591
den	w3_d446e6594
Feld=zug	w5_d446e6597
Anfangs	w7_d446e6600
May,	w9_d446e6603
uner	w11_d446e6606
achtet	w1_d446e6611
dem	w3_d446e6614
Mangel	w5_d446e6617
der	w7_d446e6620
Fourage	w9_d446e6623
eröfnen;	w11_d446e6626
</p>
<p id="p6_d446e6629">
der	w1_d446e6633
Herr	w3_d446e6636
Graf	w5_d446e6639
von	w7_d446e6642
St.	w9_d446e6645
Germaln	w11_d446e6648
hingegen	w13_d446e6652
wird	w1_d446e6657
ein	w3_d446e6660
Corps	w5_d446e6663
von	w7_d446e6666
mehr	w9_d446e6669
als	w11_d446e6672
30000.	w13_d446e6676
Mann	w15_d446e6679
am	w1_d446e6684
Nieder=rhein	w3_d446e6687
commandiren.	w5_d446e6690
</p>
<head id="h2_d446e6696">
Aus	w1_d446e6700
Frankreich	w3_d446e6703
13.	w5_d446e6706
April.	w7_d446e6709
</head>
<p id="p4_d446e6712">
Briefe	w1_d446e6716
von	w3_d446e6719
Marseilles	w5_d446e6722
vom	w7_d446e6725
10.	w9_d446e6728
klagen,	w11_d446e6731
daß	w1_d446e6736
die	w3_d446e6739
See	w5_d446e6742
abermalen	w7_d446e6745
voll	w9_d446e6748
Engländischer	w11_d446e6751
Caper	w1_d446e6756
seye.	w3_d446e6759
Zwey	w5_d446e6762
Schiffe,	w7_d446e6765
eins	w9_d446e6768
von	w11_d446e6771
Seide,	w13_d446e6775
und	w1_d446e6781
das	w3_d446e6784
andere	w5_d446e6787
