<doc id="wr_1759-06-06" attrs="word" year="1759" month="06" day="06" corpus="2">
<head id="h2_d354e3045">
Petersburg	w1_d354e3049
10.	w7_d354e4949
Escadrons.	w9_d354e4952
</p>
<head id="h2_d354e4958">
Lion	w1_d354e4962
20.	w3_d354e4965
May.	w5_d354e4968
</head>
<p id="p4_d354e4971">
Diejenige	w1_d354e4975
Engländische	w3_d354e4978
Flotte,	w5_d354e4981
die	w7_d354e4984
letzt	w9_d354e4987
gedachter=massen	w1_d354e4992
unweit	w3_d354e4995
Marseille	w5_d354e4998
eine	w7_d354e5001
Landung,	w1_d354e5006
und	w3_d354e5009
zwar	w5_d354e5012
eigentlich	w7_d354e5015
auf	w9_d354e5018
der	w11_d354e5021
Rhe	w13_d354e5025
de	w1_d354e5031
von	w3_d354e5034
Eustache,	w5_d354e5037
um	w7_d354e5040
frisches	w9_d354e5043
Wasser	w11_d354e5046
ein	w13_d354e5050
zunehmen,	w1_d354e5055
versuchet,	w3_d354e5058
hat	w5_d354e5061
sich,	w7_d354e5064
nachdeme	w9_d354e5067
die	w1_d354e5072
ausgeschifte	w3_d354e5075
Leute	w5_d354e5078
gar	w7_d354e5081
bald	w9_d354e5084
sich	w11_d354e5087
wieder	w13_d354e5091
einzuschiffen	w1_d354e5096
genöhtiget	w3_d354e5099
worden,	w5_d354e5102
kurz	w7_d354e5105
da	w9_d354e5108
rauf	w1_d354e5114
wieder	w3_d354e5117
aus	w5_d354e5120
dasigem	w7_d354e5123
Gesichte	w9_d354e5126
verloren.	w11_d354e5129
Jndessen	w1_d354e5134
soll	w3_d354e5137
es	w5_d354e5140
denen	w7_d354e5143
Engländern	w9_d354e5146
gelungen	w11_d354e5149
haben,	w1_d354e5154
jenseits	w3_d354e5157
der	w5_d354e5160
Meer=enge	w7_d354e5163
sich	w9_d354e5166
3.	w11_d354e5169
aus	w13_d354e5173
denen	w1_d354e5178
Americanischen	w3_d354e5181
Jnsuln	w5_d354e5184
gekommener	w7_d354e5187
unsriger	w1_d354e5193
Schiffe	w3_d354e5196
zu	w5_d354e5199
bemächtigen,	w7_d354e5202
die	w9_d354e5205
ohne	w11_d354e5208
denen	w1_d354e5213
übrigen	w3_d354e5216
Waaren	w5_d354e5219
wenigstens	w7_d354e5222
2000.	w9_d354e5225
Fässer	w1_d354e5230
Zucker	w3_d354e5233
am	w5_d354e5236
Bord	w7_d354e5239
gehabt	w9_d354e5242
haben.	w11_d354e5245
Das	w13_d354e5249
reicheste	w1_d354e5254
dieser	w3_d354e5257
Schiffen	w5_d354e5260
gehöret	w7_d354e5263
dem	w9_d354e5266
Herrn	w11_d354e5269
Roux	w1_d354e5275
Corse,	w3_d354e5278
welcher	w5_d354e5281
bekanntlich	w7_d354e5284
so	w9_d354e5287
viele	w11_d354e5290
Schiffe	w1_d354e5295
gegen	w3_d354e5298
die	w5_d354e5301
Engländer	w7_d354e5304
ausgerüstet.	w9_d354e5307
</p>
<head id="h2_d354e5313">
Dunkirchen	w1_d354e5317
18.	w3_d354e5320
May.	w5_d354e5323
</head>
<p id="p4_d354e5326">
Der	w1_d354e5330
Herr	w3_d354e5333
von	w5_d354e5336
Chevert,	w7_d354e5339
Generalleute	w9_d354e5342
nant	w1_d354e5347
deren	w3_d354e5350
Königlichen	w5_d354e5353
Armeen,	w7_d354e5356
wird	w9_d354e5359
stund	w11_d354e5362
lich	w1_d354e5367
in	w3_d354e5370
dieser	w5_d354e5373
Festung	w7_d354e5376
erwartet,	w9_d354e5379
um	w11_d354e5382
sich	w13_d354e5386
an	w1_d354e5392
die	w3_d354e5395
Spitze	w5_d354e5398
des	w7_d354e5401
Lagers	w9_d354e5404
zu	w11_d354e5407
stellen,	w13_d354e5411
wel	w15_d354e5414
ches	w1_d354e5419
in	w3_d354e5422
Flandern	w5_d354e5425
zusammen	w7_d354e5428
gezogen	w9_d354e5431
wird.	w11_d354e5434
Die	w1_d354e5439
Arbeit	w3_d354e5442
an	w5_d354e5445
unserem	w7_d354e5448
Hafen,	w9_d354e5451
und	w11_d354e5454
den	w13_d354e5458
selbigen	w1_d354e5463
bedeckenden	w3_d354e5466
Werken	w5_d354e5469
wird	w7_d354e5472
mit	w9_d354e5475
un	w11_d354e5478
ermüdetem	w1_d354e5484
Eifer	w3_d354e5487
fortgesetzt,	w5_d354e5490
und	w7_d354e5493
alle	w9_d354e5496
Jn	w11_d354e5499
genieurs	w1_d354e5504
versichern,	w3_d354e5507
daß	w5_d354e5510
man	w7_d354e5513
höchstens	w9_d354e5516
nicht	w1_d354e5521
mehr	w3_d354e5524
als	w5_d354e5527
6.	w7_d354e5530
bis	w9_d354e5533
7.	w11_d354e5536
Monate	w13_d354e5540
Zeit	w15_d354e5543
nöhtig	w1_d354e5548
haben	w3_d354e5551
würde,	w5_d354e5554
um	w7_d354e5557
den	w9_d354e5560
Hafen	w11_d354e5563
in	w13_d354e5567
den	w1_d354e5573
</p>
<p id="p8_d354e5578">
den	w1_d354e5582
Stand	w3_d354e5585
zu	w5_d354e5588
stellen,	w7_d354e5591
daß	w9_d354e5594
Kriegs=schiffe	w11_d354e5597
von	w1_d354e5602
ersten	w3_d354e5605
Rang	w5_d354e5608
in	w7_d354e5611
denselben	w9_d354e5614
einlauffen	w11_d354e5617
iinten.	w1_d354e5622
Dieses	w3_d354e5625
macht	w5_d354e5628
denen	w7_d354e5631
Einwohnern	w9_d354e5634
liesiger	w1_d354e5640
Stadt,	w3_d354e5643
um	w5_d354e5646
so	w7_d354e5649
viel	w9_d354e5652
grössere	w11_d354e5655
Freud,	w13_d354e5659
als	w1_d354e5664
sie	w3_d354e5667
sich	w5_d354e5670
versichert	w7_d354e5673
halten,	w9_d354e5676
daß	w11_d354e5679
man	w13_d354e5683
so	w15_d354e5686
erstaunliche	w1_d354e5691
Kosten	w3_d354e5694
gewiß	w5_d354e5697
nicht	w7_d354e5700
vergebens	w9_d354e5703
anwende,	w1_d354e5708
und	w3_d354e5711
also	w5_d354e5714
die	w7_d354e5717
Engländer	w9_d354e5720
nicht	w11_d354e5723
leicht	w1_d354e5729
wieder	w3_d354e5732
erleben	w5_d354e5735
werden,	w7_d354e5738
daß	w9_d354e5741
man	w11_d354e5744
diese	w13_d354e5748
Werke	w1_d354e5753
nieder	w3_d354e5756
reiffe.	w5_d354e5759
</p>
<head id="h2_d354e5765">
Auszug	w1_d354e5769
aus	w3_d354e5772
denen	w5_d354e5775
jüngsten	w7_d354e5778
Londner=briefen.	w1_d354e5783
</head>
<p id="p4_d354e5786">
Das	w1_d354e5790
Gerücht,	w3_d354e5793
daß	w5_d354e5796
die	w7_d354e5799
Franzosen	w9_d354e5802
Wil	w11_d354e5805
lens	w1_d354e5810
sind,	w3_d354e5813
eine	w5_d354e5816
Diversion	w7_d354e5819
in	w9_d354e5822
diesem	w11_d354e5825
Kö	w13_d354e5829
die	w1_d354e5834
nigreich	w1_d354e5840
zu	w3_d354e5843
machen,	w5_d354e5846
und	w7_d354e5849
hierzu	w9_d354e5852
grosse	w1_d354e5857
Ausrüstung	w3_d354e5860
zu	w5_d354e5863
Brest	w7_d354e5866
bestimmet	w9_d354e5869
hät	w11_d354e5872
ten,	w1_d354e5877
verbreitet	w3_d354e5880
sich	w5_d354e5883
immer	w7_d354e5886
mehr.	w9_d354e5889
Es	w11_d354e5892
hat	w13_d354e5896
deswegen	w1_d354e5901
der	w3_d354e5904
Hof,	w5_d354e5907
ohne	w7_d354e5910
daß	w9_d354e5913
er	w11_d354e5916
die	w13_d354e5920
übrige	w15_d354e5923
gemachte	w1_d354e5929
Anstalten	w3_d354e5932
geändert,	w5_d354e5935
in	w7_d354e5938
alle	w9_d354e5941
Hä	w11_d354e5944
fen	w1_d354e5949
des	w3_d354e5952
Königreichs	w5_d354e5955
den	w7_d354e5958
Befehl	w9_d354e5961
geschicket,	w11_d354e5964
auf	w1_d354e5969
guter	w3_d354e5972
Hut	w5_d354e5975
zu	w7_d354e5978
seyn.	w9_d354e5981
Die	w11_d354e5984
Trupen,	w13_d354e5988
wel	w15_d354e5991
che	w1_d354e5996
an	w3_d354e5999
denen	w5_d354e6002
Küsten	w7_d354e6005
vertheilet	w9_d354e6008
worden,	w11_d354e6011
sollen	w1_d354e6017
bey	w3_d354e6020
einem	w5_d354e6023
gegebenen	w7_d354e6026
Zeichen	w9_d354e6029
die	w11_d354e6032
Waf	w13_d354e6036
fen	w1_d354e6041
ergreiffen.	w3_d354e6044
Man	w5_d354e6047
hat	w7_d354e6050
einige	w9_d354e6053
Fregaten	w11_d354e6056
ausgeschicket,	w1_d354e6061
welche	w3_d354e6064
auf	w5_d354e6067
die	w7_d354e6070
Bewegung	w9_d354e6073
des	w1_d354e6078
Feindes	w3_d354e6081
Achtung	w5_d354e6084
geben	w7_d354e6087
sollen,	w9_d354e6090
und	w11_d354e6093
man	w1_d354e6099
hat	w3_d354e6102
auch	w5_d354e6105
sonst	w7_d354e6108
alle	w9_d354e6111
nöhtige	w11_d354e6114
Anstalten	w13_d354e6118
gemacht,	w1_d354e6123
um	w3_d354e6126
nicht	w5_d354e6129
überfallen	w7_d354e6132
zu	w9_d354e6135
werden.	w11_d354e6138
unterdessen	w1_d354e6143
werden	w3_d354e6146
zu	w5_d354e6149
Portsmout	w7_d354e6152
und	w9_d354e6155
Spi	w11_d354e6158
thead	w1_d354e6163
alle	w3_d354e6166
Linien=schiffe	w5_d354e6169
versammelt.	w7_d354e6172
Es	w9_d354e6175
sind	w1_d354e6181
auch	w3_d354e6184
60.	w5_d354e6187
Transport=schiffe	w7_d354e6190
in	w9_d354e6193
Bereit	w11_d354e6196
schaft	w1_d354e6201
Trupen	w3_d354e6204
an	w5_d354e6207
Bord	w7_d354e6210
zu	w9_d354e6213
nehmen.	w11_d354e6216
</p>
<head id="h2_d354e6222">
Dresden	w1_d354e6226
24.	w3_d354e6229
May.	w5_d354e6232
</head>
<p id="p4_d354e6235">
Hier	w1_d354e6239
werden	w3_d354e6242
immer	w5_d354e6245
noch	w7_d354e6248
mehrere	w9_d354e6251
Häuser	w11_d354e6254
mt	w1_d354e6259
Feller=fangenden	w3_d354e6262
Sachen	w5_d354e6265
beleget,	w7_d354e6268
auch	w9_d354e6271
iie	w1_d354e6276
das	w3_d354e6279
Waisen=haus	w5_d354e6282
nicht	w7_d354e6285
verschont	w9_d354e6288
geblie	w11_d354e6291
den	w1_d354e6297
Das	w3_d354e6300
Oesterreichische	w5_d354e6303
Corps,	w7_d354e6306
wel	w9_d354e6309
ches	w1_d354e6314
über	w3_d354e6317
Hoyerswerda,	w5_d354e6320
Spremberg,	w7_d354e6323
und	w9_d354e6326
dis	w1_d354e6331
Cotbus	w3_d354e6334
destiret,	w5_d354e6337
soll	w7_d354e6340
an	w9_d354e6343
diesem	w11_d354e6346
Ort	w13_d354e6350
särte	w1_d354e6355
Contributionen	w3_d354e6358
ausgeschrieben	w5_d354e6361
haben;	w7_d354e6364
Nan	w1_d354e6370
sagt	w3_d354e6373
aber,	w5_d354e6376
sie	w7_d354e6379
hätten	w9_d354e6382
schon	w11_d354e6385
wieder	w13_d354e6389
den	w1_d354e6394
Ruck=mnarsch	w3_d354e6397
nach	w5_d354e6400
Böhmen	w7_d354e6403
genommen.	w9_d354e6406
Es	w1_d354e6411
soll	w3_d354e6414
meistentheils	w5_d354e6417
Cavallerie	w7_d354e6420
gewesen	w9_d354e6423
seyn.	w1_d354e6428
Jndessen	w3_d354e6431
ist	w5_d354e6434
der	w7_d354e6437
hiesige	w9_d354e6440
Comman	w11_d354e6443
</p>
<p id="p6_d354e6446">
dant	w1_d354e6450
mit	w3_d354e6453
seiner	w5_d354e6456
Garnison	w7_d354e6459
in	w9_d354e6462
Bereitschaft,	w11_d354e6465
den	w1_d354e6470
Feind	w3_d354e6473
zu	w5_d354e6476
erwarten.	w7_d354e6479
Die	w9_d354e6482
Piquets	w11_d354e6485
zu	w13_d354e6489
Pferde	w1_d354e6494
sind	w3_d354e6497
überall	w5_d354e6500
stark	w7_d354e6503
ausgestellt.	w9_d354e6506
</p>
<head id="h2_d354e6513">
Auszug	w1_d354e6517
eines	w3_d354e6520
Schreibens	w5_d354e6523
aus	w7_d354e6526
Schwerin	w1_d354e6531
von	w3_d354e6534
20.	w5_d354e6537
May.	w7_d354e6540
</head>
<p id="p4_d354e6543">
Wir	w1_d354e6547
seynd	w3_d354e6550
noch	w5_d354e6553
nicht	w7_d354e6556
allem	w9_d354e6559
Ungemach	w11_d354e6562
ent	w13_d354e6566
flohen;	w1_d354e6571
dann	w3_d354e6574
obgleich	w5_d354e6577
die	w7_d354e6580
Jnfanterie	w9_d354e6583
mit	w11_d354e6586
dem	w1_d354e6591
Troß	w3_d354e6594
der	w5_d354e6597
Preussen	w7_d354e6600
aus	w9_d354e6603
dem	w11_d354e6606
Lande	w13_d354e6610
gegan	w15_d354e6613
gen	w1_d354e6619
ist,	w3_d354e6622
so	w5_d354e6625
hat	w7_d354e6628
doch	w9_d354e6631
