<doc id="wr_1760-01-19" attrs="word" year="1760" month="01" day="19" corpus="2">
<head id="h2_d416e2465">
Friedberg	w1_d416e2469
der	w7_d416e2718
Herr	w9_d416e2721
Chevalier	w11_d416e2724
dun	w13_d416e2728
Muy	w1_d416e2733
mit	w3_d416e2736
einem	w5_d416e2739
grossen	w7_d416e2742
Theil	w9_d416e2745
des	w11_d416e2748
Armen	w13_d416e2752
tierischen	w1_d416e2757
Corps	w3_d416e2760
Hachenburg	w5_d416e2763
allschon	w7_d416e2766
errei	w9_d416e2769
chet,	w1_d416e2774
und	w3_d416e2777
auf	w5_d416e2780
der	w7_d416e2783
nämlichen	w9_d416e2786
Seite	w11_d416e2789
der	w13_d416e2793
Ge	w15_d416e2796
neral	w1_d416e2802
Vogue	w3_d416e2805
sich	w5_d416e2808
der	w7_d416e2811
Stadt	w9_d416e2814
Herborn	w11_d416e2817
würk	w13_d416e2821
lich	w1_d416e2826
bemeistert,	w3_d416e2829
und	w5_d416e2832
allda	w7_d416e2835
106.	w9_d416e2838
Mann	w11_d416e2841
zu	w13_d416e2845
Kriegs=gefangenen	w1_d416e2850
gemacht.	w3_d416e2853
Ebenermas	w5_d416e2856
sen	w1_d416e2861
will	w3_d416e2864
mit	w5_d416e2867
Grund	w7_d416e2870
gesagt	w9_d416e2873
werden,	w11_d416e2876
daß	w13_d416e2880
der	w1_d416e2886
zu	w3_d416e2889
Giessen	w5_d416e2892
commandirende	w7_d416e2895
General	w9_d416e2898
du	w11_d416e2901
</p>
<p id="p6_d416e2904">
Blaisel	w1_d416e2908
den	w3_d416e2911
Feind	w5_d416e2914
verfolge,	w7_d416e2917
und	w9_d416e2920
der	w11_d416e2923
Herr	w13_d416e2927
Herzog	w1_d416e2932
von	w3_d416e2935
Würtemberg	w5_d416e2938
bis	w7_d416e2941
nach	w9_d416e2944
Laubach	w11_d416e2947
vorgerücket	w1_d416e2952
seye.	w3_d416e2955
</p>
<head id="h2_d416e2961">
Neapel	w1_d416e2965
4.	w3_d416e2968
Dec.	w5_d416e2971
1759.	w7_d416e2974
</head>
<p id="p4_d416e2977">
Zwey	w1_d416e2981
unserer	w3_d416e2984
Schiffe	w5_d416e2987
sind	w7_d416e2990
vorige	w9_d416e2993
Woche	w11_d416e2996
mit	w1_d416e3001
dem	w3_d416e3004
Ueberrest	w5_d416e3007
der	w7_d416e3010
Equipage	w9_d416e3013
Sr.	w11_d416e3016
Ca	w13_d416e3020
tholischen	w1_d416e3025
Majestät	w3_d416e3028
nach	w5_d416e3031
Barcellona	w7_d416e3034
abge	w9_d416e3037
gangen.	w1_d416e3043
Man	w3_d416e3046
hat	w5_d416e3049
wegen	w7_d416e3052
der	w9_d416e3055
glücklichen	w11_d416e3058
Ueberkunft	w1_d416e3063
der	w3_d416e3066
Königl.	w5_d416e3069
Famille	w7_d416e3072
das	w9_d416e3075
Te	w11_d416e3078
Deum	w13_d416e3082
in	w1_d416e3087
unserer	w3_d416e3090
Haupt=kirche	w5_d416e3093
abgesungen,	w7_d416e3096
wel	w9_d416e3099
chem	w1_d416e3104
der	w3_d416e3107
König	w5_d416e3110
und	w7_d416e3113
das	w9_d416e3116
ganze	w11_d416e3119
Ministerium	w13_d416e3123
beygewohnet.	w1_d416e3129
Mit	w3_d416e3132
einem	w5_d416e3135
durch	w7_d416e3138
den	w9_d416e3141
hie	w11_d416e3144
sigen	w1_d416e3149
Residenten	w3_d416e3152
zu	w5_d416e3155
Constantinopel	w7_d416e3158
abge	w9_d416e3161
fertigten	w1_d416e3166
Renn=schif,	w3_d416e3169
sind	w5_d416e3172
die	w7_d416e3175
Glückwün	w9_d416e3178
schungs=schreiben	w1_d416e3183
an	w3_d416e3186
den	w5_d416e3189
Catholischen	w7_d416e3192
und	w9_d416e3195
unsern	w1_d416e3201
König	w3_d416e3204
über	w5_d416e3207
deren	w7_d416e3210
Thron=besteigung	w9_d416e3213
überbracht	w1_d416e3218
worden.	w3_d416e3221
Endlich	w5_d416e3224
hat	w7_d416e3227
der	w9_d416e3230
Ve	w11_d416e3233
suvius	w1_d416e3238
nach	w3_d416e3241
einem	w5_d416e3244
9.	w7_d416e3247
tägigen	w9_d416e3250
Feuer=speyen	w11_d416e3253
zu	w1_d416e3258
wühten	w3_d416e3261
aufgehöret,	w5_d416e3264
und	w7_d416e3267
gibt	w9_d416e3270
weiter	w11_d416e3273
nichts	w1_d416e3279
als	w3_d416e3282
einen	w5_d416e3285
dicken	w7_d416e3288
Rauch	w9_d416e3291
von	w11_d416e3294
sich.	w13_d416e3298
</p>
<p id="p10_d416e3311">
Ein	w1_d416e3315
Engländisches	w3_d416e3318
Fahrzeug,	w5_d416e3321
welches	w7_d416e3324
da	w9_d416e3327
durch	w1_d416e3332
verhindert	w3_d416e3335
worden,	w5_d416e3338
unsere	w7_d416e3341
Laterne	w9_d416e3344
wahrzunehmen,	w1_d416e3349
hat	w3_d416e3352
Gefahr	w5_d416e3355
gelauffen,	w7_d416e3358
am	w9_d416e3361
Eingang	w1_d416e3367
des	w3_d416e3370
Hafens	w5_d416e3373
zu	w7_d416e3376
scheitern.	w9_d416e3379
Auf	w11_d416e3382
gethane	w1_d416e3387
Noht=schüsse,	w3_d416e3390
jedoch	w5_d416e3393
ist	w7_d416e3396
selbi	w9_d416e3399
gem	w1_d416e3404
so	w3_d416e3407
zeitiger	w5_d416e3410
Beystand	w7_d416e3413
geleistet	w9_d416e3416
worden,	w11_d416e3419
daß	w1_d416e3424
es	w3_d416e3427
unbeschädigt	w5_d416e3430
davon	w7_d416e3433
gekommen;	w9_d416e3436
da	w11_d416e3439
es	w1_d416e3445
aber	w3_d416e3448
zweymal	w5_d416e3451
mit	w7_d416e3454
Algierischen	w9_d416e3457
Seeräu	w11_d416e3460
bern	w1_d416e3465
angefochten,	w3_d416e3468
und	w5_d416e3471
von	w7_d416e3474
denen	w9_d416e3477
Barbarn	w11_d416e3480
visitirt	w1_d416e3485
worden,	w3_d416e3488
von	w5_d416e3491
welchem	w7_d416e3494
man	w9_d416e3497
vermu	w11_d416e3500
tet,	w1_d416e3505
daß	w3_d416e3508
die	w5_d416e3511
Pest	w7_d416e3514
bey	w9_d416e3517
ihnen	w11_d416e3520
sey,	w13_d416e3524
so	w15_d416e3527
hat	w17_d416e3530
man	w1_d416e3536
es	w3_d416e3539
genöhtiget,	w5_d416e3542
die	w7_d416e3545
Quarantaine	w9_d416e3548
zu	w11_d416e3551
halten.	w1_d416e3556
Nach	w3_d416e3559
Aussage	w5_d416e3562
des	w7_d416e3565
Capitains	w9_d416e3568
sind	w11_d416e3571
ihm	w1_d416e3576
8.	w3_d416e3579
Algerische	w5_d416e3582
Febecken	w7_d416e3585
begegnet,	w9_d416e3588
so	w11_d416e3591
auf	w1_d416e3596
unsere	w3_d416e3599
Schiffe	w5_d416e3602
lauren.	w7_d416e3605
</p>
<head id="h2_d416e3611">
Petersburg	w1_d416e3615
7.	w3_d416e3618
Dec.	w5_d416e3621
1759.	w7_d416e3624
</head>
<p id="p4_d416e3627">
Vorgestern	w1_d416e3631
wurde	w3_d416e3634
das	w5_d416e3637
hohe	w7_d416e3640
Namens=fest	w9_d416e3643
Jhrer	w1_d416e3648
Kaiserl.	w3_d416e3651
Hoheit	w5_d416e3654
der	w7_d416e3657
Groß=fürstin,	w9_d416e3660
mit	w1_d416e3665
gewöhnlicher	w3_d416e3668
Solennität	w5_d416e3671
bey	w7_d416e3674
Hofe	w9_d416e3677
be	w11_d416e3680
gangen.	w1_d416e3686
Vormittags	w3_d416e3689
um	w5_d416e3692
11.	w7_d416e3695
Uhr	w9_d416e3698
ver	w11_d416e3701
sammelten	w1_d416e3706
sich	w3_d416e3709
in	w5_d416e3712
denen	w7_d416e3715
Zimmern	w9_d416e3718
Jhrer	w11_d416e3721
Kai	w13_d416e3725
serl.	w1_d416e3730
Hoheit,	w3_d416e3733
die	w5_d416e3736
ausländische	w7_d416e3739
Herren	w9_d416e3742
Mi	w11_d416e3745
nisters	w1_d416e3750
und	w3_d416e3753
alle	w5_d416e3756
vornehme	w7_d416e3759
Standesper	w9_d416e3762
sonen	w1_d416e3768
beyderley	w3_d416e3771
Geschlechts,	w5_d416e3774
und	w7_d416e3777
statteten	w9_d416e3780
Höchst=denenselben	w1_d416e3785
die	w3_d416e3788
unterthänigste	w5_d416e3791
Glück	w7_d416e3794
wünsche	w1_d416e3799
ab,	w3_d416e3802
worauf	w5_d416e3805
in	w7_d416e3808
beyden	w9_d416e3811
Hofca	w11_d416e3814
pellen	w1_d416e3819
der	w3_d416e3822
GOttes=dienst	w5_d416e3825
angieng.	w7_d416e3828
Die	w9_d416e3831
hohe	w1_d416e3837
Gesundheiten	w3_d416e3840
an	w5_d416e3843
Jhro	w7_d416e3846
Kaiserl.	w9_d416e3849
Ma	w11_d416e3852
jestät	w1_d416e3857
Tafel	w3_d416e3860
wurden	w5_d416e3863
unter	w7_d416e3866
Abfeurung	w9_d416e3869
de	w11_d416e3872
ren	w1_d416e3877
Canonen	w3_d416e3880
getrunken.	w5_d416e3883
Abends	w7_d416e3886
war	w9_d416e3889
Bal	w11_d416e3892
und	w1_d416e3897
grosses	w3_d416e3900
Soupee	w5_d416e3903
in	w7_d416e3906
Jhro	w9_d416e3909
Kaiserl.	w11_d416e3912
Ho	w13_d416e3916
heiten	w1_d416e3922
Apartements.	w3_d416e3925
Tages	w5_d416e3928
darauf,	w7_d416e3931
als	w9_d416e3934
den	w1_d416e3939
6.	w3_d416e3942
wurde	w5_d416e3945
der	w7_d416e3948
erfreuliche	w9_d416e3951
Gedächtnuß	w11_d416e3954
tag	w1_d416e3959
der	w3_d416e3962
höchst=beglückten	w5_d416e3965
Thron=besteigung	w7_d416e3968
Jhrer	w1_d416e3973
Kaiserl.	w3_d416e3976
Majestät,	w5_d416e3979
unserer	w7_d416e3982
allerhuld	w9_d416e3985
reichesten	w1_d416e3991
Monarchin	w3_d416e3994
auf	w5_d416e3997
das	w7_d416e4000
feyerlichste	w9_d416e4003
begangen.	w1_d416e4008
Vormittags	w3_d416e4011
um	w5_d416e4014
11.	w7_d416e4017
Uhr	w9_d416e4020
ver	w11_d416e4023
sammelten	w1_d416e4028
sich	w3_d416e4031
alle	w5_d416e4034
Standes=personen	w7_d416e4037
bey	w9_d416e4040
Hofe,	w1_d416e4045
darauf	w3_d416e4048
der	w5_d416e4051
GOttes=dienst	w7_d416e4054
in	w9_d416e4057
denen	w11_d416e4060
Kaiserl.	w1_d416e4066
Hof=capellen	w3_d416e4069
seinen	w5_d416e4072
Anfang	w7_d416e4075
nahm,	w9_d416e4078
bey	w1_d416e4083
dessen	w3_d416e4086
Endigung	w5_d416e4089
die	w7_d416e4092
Canonen	w9_d416e4095
von	w11_d416e4098
der	w13_d416e4102
Festung	w1_d416e4107
und	w3_d416e4110
Admiralität	w5_d416e4113
gelöset	w7_d416e4116
wurden.	w9_d416e4119
Währender	w1_d416e4124
Mittags=tafel	w3_d416e4127
wurden	w5_d416e4130
bey	w7_d416e4133
Aus	w9_d416e4136
</p>
<p id="p6_d416e4139">
bringung	w1_d416e4143
der	w3_d416e4146
Gesundheit	w5_d416e4149
Jhrer	w7_d416e4152
Kaiserl.	w9_d416e4155
Majestät	w1_d416e4160
die	w3_d416e4163
Canonen	w5_d416e4166
von	w7_d416e4169
denen	w9_d416e4172
Admirali	w11_d416e4175
täts=wällen	w1_d416e4180
abgebrannt.	w3_d416e4183
Gegen	w5_d416e4186
Abend	w7_d416e4189
stellten	w1_d416e4195
sich	w3_d416e4198
abermals	w5_d416e4201
sämtliche	w7_d416e4204
inn	w9_d416e4207
und	w11_d416e4210
ausländische	w1_d416e4215
Ministers,	w3_d416e4218
Cavaliers	w5_d416e4221
und	w7_d416e4224
Da	w9_d416e4227
men,	w1_d416e4232
wie	w3_d416e4235
nicht	w5_d416e4238
weniger	w7_d416e4241
die	w9_d416e4244
ganze	w11_d416e4247
Leib	w13_d416e4251
compagnie	w1_d416e4256
mit	w3_d416e4259
ihren	w5_d416e4262
Ober	w7_d416e4265
und	w9_d416e4268
Unterof	w11_d416e4271
ficiers	w1_d416e4277
auch	w3_d416e4280
Gemeinen,	w5_d416e4283
in	w7_d416e4286
ihren	w9_d416e4289
Casquets	w11_d416e4292
und	w1_d416e4297
übriger	w3_d416e4300
Uniform	w5_d416e4303
bey	w7_d416e4306
Hofe	w9_d416e4309
ein.	w11_d416e4312
Um	w13_d416e4316
11.	w1_d416e4321
Uhr	w3_d416e4324
geruheten	w5_d416e4327
Jhre	w7_d416e4330
Kaiserl.	w9_d416e4333
Majestät	w11_d416e4336
sich	w1_d416e4341
nach	w3_d416e4344
der	w5_d416e4347
Gallerie	w7_d416e4350
zu	w9_d416e4353
erheben,	w11_d416e4356
und	w13_d416e4360
die	w15_d416e4363
sämtliche	w1_d416e4369
Leib=compagnie	w3_d416e4372
zum	w5_d416e4375
Hand=kuß	w7_d416e4378
zu	w1_d416e4383
lassen,	w3_d416e4386
worauf	w5_d416e4389
selbige	w7_d416e4392
mit	w9_d416e4395
Jhro	w11_d416e4398
Kaiserl.	w13_d416e4402
Majestät	w1_d416e4407
an	w3_d416e4410
verschiedenen	w5_d416e4413
figurirten	w7_d416e4416
Tafeln	w9_d416e4419
von	w1_d416e4424
mehr	w3_d416e4427
als	w5_d416e4430
300.	w7_d416e4433
Couverts	w9_d416e4436
im	w11_d416e4439
grossen	w13_d416e4443
Saal,	w1_d416e4449
soupirten.	w3_d416e4452
Währender	w5_d416e4455
Tafel	w7_d416e4458
ließ	w9_d416e4461
sich	w1_d416e4466
die	w3_d416e4469
Kaiserl.	w5_d416e4472
Jnstrumental	w7_d416e4475
und	w9_d416e4478
Vocal	w11_d416e4481
music	w1_d416e4486
abwechslend	w3_d416e4489
hören.	w5_d416e4492
Die	w7_d416e4495
hohen	w9_d416e4498
Ge	w11_d416e4501
sundheiten	w1_d416e4506
wurden	w3_d416e4509
unter	w5_d416e4512
Abfeurung	w7_d416e4515
deren	w9_d416e4518
Canonen	w1_d416e4524
von	w3_d416e4527
denen	w5_d416e4530
Admiralitäts=wällen	w7_d416e4533
ausgebracht.	w1_d416e4538
Beyderseits	w3_d416e4541
Kaiserl.	w5_d416e4544
Hohei	w7_d416e4547
ten	w1_d416e4552
geruheten	w3_d416e4555
die	w5_d416e4558
Herren	w7_d416e4561
Ambassadeurs	w9_d416e4564
und	w11_d416e4567
auswärtigen	w1_d416e4572
Gesandten,	w3_d416e4575
wie	w5_d416e4578
auch	w7_d416e4581
die	w9_d416e4584
Da	w11_d416e4587
men	w1_d416e4593
und	w3_d416e4596
Cavaliers	w5_d416e4599
der	w7_d416e4602
ersten	w9_d416e4605
zwey	w11_d416e4608
Classen	w13_d416e4612
zur	w1_d416e4617
Tafel	w3_d416e4620
zu	w5_d416e4623
ziehen.	w7_d416e4626
Des	w9_d416e4629
Nachts	w11_d416e4632
war	w13_d416e4636
die	w15_d416e4639
ganze	w1_d416e4644
Stadt	w3_d416e4647
an	w5_d416e4650
beyden	w7_d416e4653
Tagen	w9_d416e4656
bestens	w11_d416e4659
er	w13_d416e4663
euchtet.	w1_d416e4668
</p>
<head id="h2_d416e4674">
Amsterdam	w1_d416e4678
2.	w3_d416e4681
Januarii.	w5_d416e4684
</head>
<p id="p4_d416e4687">
Das	w1_d416e4691
Königl.	w3_d416e4694
Französische	w5_d416e4697
Ministerium	w7_d416e4700
beschäftigt	w1_d416e4705
sich	w3_d416e4708
nach	w5_d416e4711
einem	w7_d416e4714
Schreiben	w9_d416e4717
aus	w11_d416e4720
Paris	w1_d416e4725
vom	w3_d416e4728
27.	w5_d416e4731
December	w7_d416e4734
mit	w9_d416e4737
Abänderung	w11_d416e4740
verschiedner	w1_d416e4746
Königl.	w3_d416e4749
Edicte,	w5_d416e4752
welche	w7_d416e4755
im	w9_d416e4758
Sept.	w11_d416e4761
des	w1_d416e4766
verwichenen	w3_d416e4769
Jahres	w5_d416e4772
in	w7_d416e4775
dem	w9_d416e4778
Finanzen	w11_d416e4781
Geschäfte	w1_d416e4786
heraus	w3_d416e4789
gekommen.	w5_d416e4792
Die	w7_d416e4795
Wer	w9_d416e4798
bungen	w1_d416e4803
werden	w3_d416e4806
zu	w5_d416e4809
Paris	w7_d416e4812
sehr	w9_d416e4815
stark	w11_d416e4818
betrie	w13_d416e4822
ben,	w1_d416e4828
und	w3_d416e4831
der	w5_d416e4834
Herr	w7_d416e4837
Marschall	w9_d416e4840
von	w11_d416e4843
Sene	w13_d416e4847
terre,	w1_d416e4852
welcher	w3_d416e4855
erst	w5_d416e4858
kürzlich	w7_d416e4861
von	w9_d416e4864
seinen	w11_d416e4867
Gouvernement	w1_d416e4872
von	w3_d416e4875
Rochelle	w5_d416e4878
angelangt,	w7_d416e4881
macht	w1_d416e4886
sich	w3_d416e4889
Hofnung	w5_d416e4892
von	w7_d416e4895
jetzt	w9_d416e4898
an	w11_d416e4901
bis	w13_d416e4905
Ostern,	w15_d416e4908
in	w1_d416e4914
dieser	w3_d416e4917
Haupt=stadt	w5_d416e4920
40000.	w7_d416e4923
Mann	w9_d416e4926
zu	w11_d416e4929
werben.	w1_d416e4934
Dieses	w3_d416e4937
hält	w5_d416e4940
man	w7_d416e4943
um	w9_d416e4946
so	w11_d416e4949
weniger	w13_d416e4953
für	w1_d416e4958
schwer,	w3_d416e4961
weil	w5_d416e4964
viele	w7_d416e4967
Bediente	w9_d416e4970
abgedankt	w11_d416e4973
worden,	w1_d416e4978
und	w3_d416e4981
unter	w5_d416e4984
andern	w7_d416e4987
der	w9_d416e4990
Herr	w11_d416e4993
Her	w13_d416e4997
</p>
<p id="p8_d416e5002">
zog	w1_d416e5006
von	w3_d416e5009
Chevreuse	w5_d416e5012
alleine	w7_d416e5015
25.	w9_d416e5018
ihrer	w11_d416e5021
Dien	w13_d416e5025
ste	w1_d416e5030
entlassen	w3_d416e5033
hat.	w5_d416e5036
Jn	w7_d416e5039
die	w9_d416e5042
Königl.	w11_d416e5045
Münze	w13_d416e5049
kommt	w1_d416e5054
noch	w3_d416e5057
immer	w5_d416e5060
eine	w7_d416e5063
Menge	w9_d416e5066
Silber,	w11_d416e5069
und	w1_d416e5075
gegenwartig	w3_d416e5078
münzet	w5_d416e5081
man	w7_d416e5084
bereits	w9_d416e5087
an	w11_d416e5090
der	w1_d416e5095
12.	w3_d416e5098
Million.	w5_d416e5101
</p>
<head id="h2_d416e5108">
Französisches	w1_d416e5112
Journal	w3_d416e5115
währender	w5_d416e5118
Bloquade	w1_d416e5123
von	w3_d416e5126
Giessen.	w5_d416e5129
</head>
<p id="p4_d416e5132">
Nachdem	w1_d416e5136
der	w3_d416e5139
Prinz	w5_d416e5142
Ferdinand	w7_d416e5145
den	w9_d416e5148
Tag	w11_d416e5151
des	w1_d416e5156
Aufbruchs	w3_d416e5159
der	w5_d416e5162
Französischen	w7_d416e5165
Armee,	w9_d416e5168
nämlich	w1_d416e5173
den	w3_d416e5176
5.	w5_d416e5179
December	w7_d416e5182
durch	w9_d416e5185
seinen	w11_d416e5188
Ad	w13_d416e5192
jutanten,	w1_d416e5198
Herrn	w3_d416e5201
von	w5_d416e5204
Malorty,	w7_d416e5207
Giessen	w9_d416e5210
auffordern	w1_d416e5215
liessen,	w3_d416e5218
und	w5_d416e5221
eine	w7_d416e5224
so	w9_d416e5227
kurze	w11_d416e5230
als	w13_d416e5234
abschlägige	w1_d416e5239
Antwort	w3_d416e5242
erhalten,	w5_d416e5245
so	w7_d416e5248
entdeckte	w9_d416e5251
man	w1_d416e5256
schon	w3_d416e5259
denselben	w5_d416e5262
Abend	w7_d416e5265
gegen	w9_d416e5268
halb	w11_d416e5271
5.	w13_d416e5275
Uhr,	w1_d416e5281
daß	w3_d416e5284
sich	w5_d416e5287
ein	w7_d416e5290
Theil	w9_d416e5293
des	w11_d416e5296
Corps	w13_d416e5300
des	w15_d416e5303
Prinzen	w1_d416e5308
von	w3_d416e5311
Hollstein=gotdorf	w5_d416e5314
von	w7_d416e5317
Stauf	w9_d416e5320
fenberg	w1_d416e5325
gegen	w3_d416e5328
alten	w5_d416e5331
Buseck	w7_d416e5334
genähert.	w9_d416e5337
</p>
<p id="p6_d416e5340">
Den	w1_d416e5344
6.	w3_d416e5347
mit	w5_d416e5350
Anbruch	w7_d416e5353
des	w9_d416e5356
Tags	w11_d416e5359
fiengen	w13_d416e5363
die	w1_d416e5368
feindliche	w3_d416e5371
leichte	w5_d416e5374
Trupen	w7_d416e5377
an,	w9_d416e5380
auf	w11_d416e5383
unsere	w13_d416e5387
zu	w1_d416e5392
feuern.	w3_d416e5395
Dieses	w5_d416e5398
Geknalle	w7_d416e5401
dauerte	w9_d416e5404
bis	w11_d416e5407
2.	w1_d416e5413
oder	w3_d416e5416
3.	w5_d416e5419
Uhr	w7_d416e5422
des	w9_d416e5425
Nachmittags,	w11_d416e5428
und	w13_d416e5432
so	w15_d416e5435
täglich	w1_d416e5440
währender	w3_d416e5443
ganzen	w5_d416e5446
Bloquade.	w7_d416e5449
Die	w9_d416e5452
Garnison	w1_d416e5457
und	w3_d416e5460
Burgerschaft	w5_d416e5463
war	w7_d416e5466
auch	w9_d416e5469
täg	w11_d416e5472
lich	w1_d416e5477
mit	w3_d416e5480
Auf=eisung	w5_d416e5483
der	w7_d416e5486
Gräben	w9_d416e5489
beschäf	w11_d416e5492
tiget,	w1_d416e5498
als	w3_d416e5501
welches	w5_d416e5504
für	w7_d416e5507
einen	w9_d416e5510
überall	w11_d416e5513
offenen	w13_d416e5517
und	w1_d416e5522
nur	w3_d416e5525
mit	w5_d416e5528
aufgeworfener	w7_d416e5531
Erde	w9_d416e5534
verwahr	w11_d416e5537
ter	w1_d416e5542
Platz,	w3_d416e5545
wie	w5_d416e5548
Giessen,	w7_d416e5551
wovon	w9_d416e5554
die	w11_d416e5557
Gräben,	w13_d416e5561
die	w1_d416e5566
einige	w3_d416e5569
Vertheidigung	w5_d416e5572
sind,	w7_d416e5575
unumgän	w9_d416e5578
glich	w1_d416e5584
nöhtig	w3_d416e5587
war.	w5_d416e5590
Schon	w7_d416e5593
um	w9_d416e5596
8.	w11_d416e5599
Uhr	w13_d416e5603
Morgens,	w1_d416e5608
erschien	w3_d416e5611
der	w5_d416e5614
Feind	w7_d416e5617
vor	w9_d416e5620
seinem	w11_d416e5623
Lager	w1_d416e5628
zu	w3_d416e5631
Cleyberg	w5_d416e5634
und	w7_d416e5637
Croffdorf	w9_d416e5640
in	w11_d416e5643
Bataille,	w13_d416e5647
und	w1_d416e5652
rückte	w3_d416e5655
in	w5_d416e5658
verschiedenen	w7_d416e5661
Corps	w9_d416e5664
Cavalle	w11_d416e5667
rie	w1_d416e5673
und	w3_d416e5676
Jnfanterie	w5_d416e5679
mit	w7_d416e5682
der	w9_d416e5685
Artillerie,	w11_d416e5688
theils	w13_d416e5692
von	w1_d416e5697
ihrer	w3_d416e5700
Linken	w5_d416e5703
nach	w7_d416e5706
Lanspach,	w9_d416e5709
theils	w11_d416e5712
von	w13_d416e5716
ihrer	w1_d416e5721
Rechten	w3_d416e5724
nach	w5_d416e5727
Heuchelheim	w7_d416e5730
und	w9_d416e5733
Klein	w11_d416e5736
linnes;	w1_d416e5741
bey	w3_d416e5744
diesem	w5_d416e5747
schiene	w7_d416e5750
die	w9_d416e5753
Artillerie	w11_d416e5756
sehr	w1_d416e5762
zahlreich,	w3_d416e5765
bey	w5_d416e5768
jenem	w7_d416e5771
aber	w9_d416e5774
konnte	w11_d416e5777
man	w13_d416e5781
nur	w1_d416e5786
8.	w3_d416e5789
Stücke	w5_d416e5792
entdecken,	w7_d416e5795
und	w9_d416e5798
auf	w11_d416e5801
diese	w13_d416e5805
Art	w1_d416e5810
wurde	w3_d416e5813
der	w5_d416e5816
Platz	w7_d416e5819
berennet.	w9_d416e5822
</p>
<p id="p8_d416e5825">
Den	w1_d416e5829
7.	w3_d416e5832
um	w5_d416e5835
3.	w7_d416e5838
Uhr	w9_d416e5841
Nachmittags	w11_d416e5844
ward	w13_d416e5848
dem	w1_d416e5853
Herrn	w3_d416e5856
Baron	w5_d416e5859
von	w7_d416e5862
Blaisel	w9_d416e5865
die	w11_d416e5868
aber	w13_d416e5872
malige	w1_d416e5877
Ankunft	w3_d416e5880
eines	w5_d416e5883
Adjutanten	w7_d416e5886
von	w9_d416e5889
des	w11_d416e5892
Prinzen	w1_d416e5898
Ferdinands	w3_d416e5901
Durchleucht	w5_d416e5904
auf	w7_d416e5907
der	w9_d416e5910
</p>
<p id="p10_d416e5913">
steinernen	w1_d416e5917
Lahn=brücke	w3_d416e5920
berichtet;	w5_d416e5923
er	w7_d416e5926
begab	w9_d416e5929
sich	w1_d416e5934
sofort	w3_d416e5937
in	w5_d416e5940
Begleitung	w7_d416e5943
des	w9_d416e5946
2.	w11_d416e5949
Comman	w13_d416e5953
danten,	w1_d416e5958
Herrn	w3_d416e5961
Brigadier	w5_d416e5964
von	w7_d416e5967
Dongermain	w9_d416e5970
dahin,	w1_d416e5976
und	w3_d416e5979
man	w5_d416e5982
offerirte	w7_d416e5985
ihm	w9_d416e5988
vortheilhafte	w11_d416e5991
Bedingungen,	w1_d416e5996
im	w3_d416e5999
Fall	w5_d416e6002
er	w7_d416e6005
den	w9_d416e6008
Platz	w11_d416e6011
über	w13_d416e6015
geben	w1_d416e6020
würde.	w3_d416e6023
Er	w5_d416e6026
erwiderte,	w7_d416e6029
wie	w9_d416e6032
er	w11_d416e6035
be	w13_d416e6039
stellet,	w1_d416e6044
die	w3_d416e6047
Vestung	w5_d416e6050
zu	w7_d416e6053
vertheidigen,	w9_d416e6056
und	w11_d416e6059
suchen	w1_d416e6065
würde,	w3_d416e6068
es	w5_d416e6071
auf	w7_d416e6074
