<doc id="wr_1757-01-12" attrs="word" year="1757" month="01" day="12" corpus="2">
<head id="h2_d108e2817">
Malta	w1_d108e2821
und	w7_d108e5711
in	w9_d108e5714
einem	w11_d108e5717
Theile	w13_d108e5721
der	w15_d108e5724
Stadt	w1_d108e5729
erscholl	w3_d108e5732
bereits	w5_d108e5735
Dero	w7_d108e5738
Tod.	w9_d108e5741
Der	w11_d108e5744
ob	w13_d108e5748
gedachte	w1_d108e5753
Greiß	w3_d108e5756
hat	w5_d108e5759
zur	w7_d108e5762
Belohnung	w9_d108e5765
eine	w11_d108e5768
an	w13_d108e5772
sehnliche	w1_d108e5778
Summe	w3_d108e5781
Geldes,	w5_d108e5784
und	w7_d108e5787
ausser	w9_d108e5790
dieser	w11_d108e5793
noch	w1_d108e5798
eine	w3_d108e5801
Lebens=längliche	w5_d108e5804
Pension	w7_d108e5807
empfangen.	w9_d108e5810
Von	w1_d108e5815
Malta	w3_d108e5818
vernimmt	w5_d108e5821
man,	w7_d108e5824
daß	w9_d108e5827
der	w11_d108e5830
dahin	w13_d108e5834
ge	w15_d108e5837
flüchtete	w1_d108e5842
alte	w3_d108e5845
Bacha	w5_d108e5848
v.	w7_d108e5851
Tunis	w9_d108e5854
die	w11_d108e5857
Heil.	w13_d108e5861
Tauffe	w15_d108e5864
empfangen,	w1_d108e5870
bey	w3_d108e5873
welcher	w5_d108e5876
die	w7_d108e5879
Königin	w9_d108e5882
beyder	w11_d108e5885
Sicilien	w1_d108e5890
durch	w3_d108e5893
eine	w5_d108e5896
Maltesische	w7_d108e5899
Dame	w9_d108e5902
die	w11_d108e5905
Pathen=stelle	w1_d108e5910
vertretten.	w3_d108e5913
</p>
<head id="h4_d108e5929">
Stockholm	w1_d108e5933
19.	w3_d108e5936
Dec.	w5_d108e5939
1756.	w7_d108e5942
</head>
<p id="p6_d108e5945">
Die	w1_d108e5949
Reichs=stände	w3_d108e5952
haben	w5_d108e5955
unter	w7_d108e5958
andern	w9_d108e5961
Schlüssen	w1_d108e5966
auch	w3_d108e5969
folgenden	w5_d108e5972
abgefaßt:	w7_d108e5975
daß	w9_d108e5978
wann	w11_d108e5981
Schweden	w1_d108e5986
unvermutet	w3_d108e5989
seinen	w5_d108e5992
König	w7_d108e5995
durch	w9_d108e5998
den	w1_d108e6004
Tod	w3_d108e6007
verlieren	w5_d108e6010
sollte,	w7_d108e6013
ehe	w9_d108e6016
der	w11_d108e6019
Erb=prinz	w13_d108e6023
aus	w1_d108e6028
der	w3_d108e6031
Minder=jährigkeit	w5_d108e6034
gekommen,	w7_d108e6037
die	w9_d108e6040
Regierung	w1_d108e6045
des	w3_d108e6048
Königreichs	w5_d108e6051
bloß	w7_d108e6054
von	w9_d108e6057
dem	w11_d108e6060
Magistrat	w1_d108e6065
verwaltet	w3_d108e6068
werden	w5_d108e6071
sollte,	w7_d108e6074
ohne	w9_d108e6077
daß	w11_d108e6080
mehrere	w1_d108e6086
Personen,	w3_d108e6089
als	w5_d108e6092
welche	w7_d108e6095
sodann	w9_d108e6098
den	w11_d108e6101
Senat	w1_d108e6106
ausmachen,	w3_d108e6109
Thel	w5_d108e6112
daran	w7_d108e6115
nehmen	w9_d108e6118
von	w1_d108e6123
diesen	w3_d108e6126
sollen	w5_d108e6129
alle	w7_d108e6132
Staatsangelegenhei	w9_d108e6135
ten	w1_d108e6140
besorget	w3_d108e6143
werden,	w5_d108e6146
so	w7_d108e6149
lange	w9_d108e6152
der	w11_d108e6155
Prin	w13_d108e6159
minderjährig	w1_d108e6165
ist.	w3_d108e6168
Weiter	w5_d108e6171
ist	w7_d108e6174
verordnet,	w9_d108e6177
daß	w11_d108e6180
man	w1_d108e6185
genaue	w3_d108e6188
Acht	w5_d108e6191
auf	w7_d108e6194
seine	w9_d108e6197
Erziehung	w11_d108e6200
habe,	w13_d108e6204
unter	w1_d108e6209
der	w3_d108e6212
Anführung	w5_d108e6215
neuer	w7_d108e6218
Gouverneurs,	w9_d108e6221
Hof	w1_d108e6226
und	w3_d108e6229
Lehr=meisters,	w5_d108e6232
die	w7_d108e6235
ihm	w9_d108e6238
gegeben	w11_d108e6241
worden,	w1_d108e6247
daß	w3_d108e6250
man	w5_d108e6253
die	w7_d108e6256
Bündnüsse	w9_d108e6259
Schwedens	w11_d108e6262
mit	w1_d108e6267
freundschaftlich	w3_d108e6270
benachbarten	w5_d108e6273
und	w7_d108e6276
alliir	w9_d108e6279
ten	w1_d108e6284
Mächten	w3_d108e6287
unverbrüchlich	w5_d108e6290
beobachte,	w7_d108e6293
und	w9_d108e6296
erhalte,	w1_d108e6301
und	w3_d108e6304
weil	w5_d108e6307
der	w7_d108e6310
König	w9_d108e6313
von	w11_d108e6316
Frankreich	w13_d108e6320
jederzeit	w1_d108e6326
als	w3_d108e6329
der	w5_d108e6332
älteste	w7_d108e6335
Bunds=genoß	w9_d108e6338
von	w11_d108e6341
Schweden	w1_d108e6346
angesehen	w3_d108e6349
worden,	w5_d108e6352
soll	w7_d108e6355
der	w9_d108e6358
Bund	w11_d108e6361
mit	w1_d108e6366
Sr	w3_d108e6369
Allerchristl.	w5_d108e6372
Majestät	w7_d108e6375
verneuert,	w9_d108e6378
und	w11_d108e6381
die	w1_d108e6386
Tractaten	w3_d108e6389
in	w5_d108e6392
ihrer	w7_d108e6395
Kraft	w9_d108e6398
und	w11_d108e6401
Würkung	w13_d108e6405
erhalten	w1_d108e6411
werden:	w3_d108e6414
und	w5_d108e6417
sollten	w7_d108e6420
die	w9_d108e6423
Umstände	w11_d108e6426
oder	w1_d108e6431
Staats=bedürfnisse	w3_d108e6434
die	w5_d108e6437
Zusammenbe	w7_d108e6440
ruffung	w1_d108e6445
