<doc id="wr_1756-10-02" attrs="word" year="1756" month="10" day="02" corpus="2">
<head id="h2_d79e3406">
Neu=Yorck	w1_d79e3410
haben,	w3_d79e4153
unsere	w5_d79e4156
Trupen	w7_d79e4159
zuerst	w9_d79e4162
anzugreiffen.	w1_d79e4167
Es	w3_d79e4170
ist	w5_d79e4173
aber	w7_d79e4176
unserm	w9_d79e4179
daselbst	w11_d79e4182
commandirenden	w1_d79e4188
General	w3_d79e4191
gelungen,	w5_d79e4194
das	w7_d79e4197
Corpo	w1_d79e4202
von	w3_d79e4205
Paraguai	w5_d79e4208
mit	w7_d79e4211
Verlust	w9_d79e4214
2000.	w11_d79e4217
Mann	w1_d79e4222
in	w3_d79e4225
die	w5_d79e4228
Flucht	w7_d79e4231
zu	w9_d79e4234
schlagen,	w11_d79e4237
indeme	w13_d79e4241
ge	w15_d79e4244
gen	w1_d79e4249
1500.	w3_d79e4252
erschlagen,	w5_d79e4255
und	w7_d79e4258
bey	w9_d79e4261
500.	w11_d79e4264
gefan	w13_d79e4268
gen	w1_d79e4274
worden;	w3_d79e4277
unter	w5_d79e4280
welch	w7_d79e4283
letztern	w9_d79e4286
viele	w11_d79e4289
Rä	w13_d79e4293
dels=führer	w1_d79e4298
sich	w3_d79e4301
befinden	w5_d79e4304
sollen.	w7_d79e4307
Dieses	w9_d79e4310
glükliche	w1_d79e4315
Vorspiel	w3_d79e4318
lässet	w5_d79e4321
uns	w7_d79e4324
hoffen,	w9_d79e4327
daß	w11_d79e4330
dieser	w1_d79e4335
grosse	w3_d79e4338
Strich	w5_d79e4341
Landes	w7_d79e4344
von	w9_d79e4347
so	w11_d79e4350
vielen	w13_d79e4354
100.	w1_d79e4360
tausend	w3_d79e4363
Einwohnern,	w5_d79e4366
welche	w7_d79e4369
grösten	w9_d79e4372
theils	w1_d79e4377
von	w3_d79e4380
Spanien,	w5_d79e4383
oder	w7_d79e4386
vielmehr	w9_d79e4389
Portugal	w11_d79e4392
sich	w1_d79e4397
abgezogen,	w3_d79e4400
nun	w5_d79e4403
bald	w7_d79e4406
unter	w9_d79e4409
die	w11_d79e4412
Spani	w13_d79e4416
sche	w1_d79e4421
Monarchie	w3_d79e4424
gebracht	w5_d79e4427
werden	w7_d79e4430
solle:	w9_d79e4433
um	w11_d79e4436
so	w1_d79e4442
viel	w3_d79e4445
mehr,	w5_d79e4448
da	w7_d79e4451
der	w9_d79e4454
letzthin	w11_d79e4457
abgeschickte	w13_d79e4461
Succurs	w1_d79e4466
mit	w3_d79e4469
dem	w5_d79e4472
neuen	w7_d79e4475
Gouverneur	w9_d79e4478
Ze	w11_d79e4481
vallos	w1_d79e4486
daselbst	w3_d79e4489
bald	w5_d79e4492
eintreffen	w7_d79e4495
wird,	w9_d79e4498
der	w11_d79e4501
schon	w13_d79e4505
im	w1_d79e4510
Monat	w3_d79e4513
April	w5_d79e4516
von	w7_d79e4519
Cadix	w9_d79e4522
unter	w11_d79e4525
Segel	w13_d79e4529
ge	w15_d79e4532
gangen.	w1_d79e4538
</p>
<p id="p12_d79e4542">
Die	w1_d79e4546
Garnison	w3_d79e4549
zu	w5_d79e4552
Gibraltar	w7_d79e4555
ist	w9_d79e4558
seit	w11_d79e4561
einigen	w13_d79e4565
Wochen	w1_d79e4570
mit	w3_d79e4573
3.	w5_d79e4576
Regimentern,	w7_d79e4579
welche	w9_d79e4582
auf	w11_d79e4585
verschiedenen	w1_d79e4590
Kriegs	w3_d79e4593
und	w5_d79e4596
Trausport=schiffen	w7_d79e4599
angekommen,	w1_d79e4605
verstärkt	w3_d79e4608
worden,	w5_d79e4611
so	w7_d79e4614
daß	w9_d79e4617
diese	w11_d79e4620
wichtige	w1_d79e4625
Festung	w3_d79e4628
jetzt	w5_d79e4631
sowol	w7_d79e4634
mit	w9_d79e4637
Trupen	w11_d79e4640
als	w13_d79e4644
andern	w1_d79e4649
Kriegs=nohtwendigkeiten	w3_d79e4652
wol	w5_d79e4655
ver	w7_d79e4658
sehen	w1_d79e4663
ist.	w3_d79e4666
Der	w5_d79e4669
Gonverneur	w7_d79e4672
hat	w9_d79e4675
viele	w11_d79e4678
Privat	w13_d79e4682
personen,	w1_d79e4688
und	w3_d79e4691
darunter	w5_d79e4694
auch	w7_d79e4697
die	w9_d79e4700
fremden	w11_d79e4703
Consuls,	w1_d79e4708
die	w3_d79e4711
Herren	w5_d79e4714
Butler	w7_d79e4717
Link	w9_d79e4720
und	w11_d79e4723
Diun	w13_d79e4727
aus	w1_d79e4732
der	w3_d79e4735
Festung	w5_d79e4738
abziehen	w7_d79e4741
lassen.	w9_d79e4744
Man	w11_d79e4747
er	w13_d79e4751
wartet	w1_d79e4756
daselbst	w3_d79e4759
aus	w5_d79e4762
England	w7_d79e4765
viele	w9_d79e4768
Schif	w11_d79e4771
bauer,	w1_d79e4777
die	w3_d79e4780
Engländischen	w5_d79e4783
Schiffe,	w7_d79e4786
welche	w9_d79e4789
es	w1_d79e4794
jetzt	w3_d79e4797
oder	w5_d79e4800
künftig	w7_d79e4803
nöhtig	w9_d79e4806
haben,	w11_d79e4809
auszubese	w13_d79e4813
sern.	w1_d79e4818
Es	w3_d79e4821
ist	w5_d79e4824
gewiß,	w7_d79e4827
daß	w9_d79e4830
die	w11_d79e4833
Spanischen	w13_d79e4837
</p>
<head id="h2_d79e4844">
St.	w1_d79e4848
Roch	w3_d79e4851
bey	w5_d79e4854
Gibraltar	w7_d79e4857
2.	w9_d79e4860
Sept.	w11_d79e4863
</head>
<p id="p8_d79e4876">
Jngenieurs	w1_d79e4880
eine	w3_d79e4883
starke	w5_d79e4886
Cintadella	w7_d79e4889
an	w9_d79e4892
der	w11_d79e4895
Spitze	w1_d79e4900
von	w3_d79e4903
Ceiita	w5_d79e4906
gerade	w7_d79e4909
gegen	w9_d79e4912
Gibraltar	w11_d79e4915
über	w13_d79e4919
anlegen,	w1_d79e4924
welche	w3_d79e4927
mit	w5_d79e4930
vielem	w7_d79e4933
Geschütze	w9_d79e4936
be	w11_d79e4939
pflantzt	w1_d79e4945
werden	w3_d79e4948
soll.	w5_d79e4951
</p>
<head id="h2_d79e4957">
Lisabon	w1_d79e4961
7.	w3_d79e4964
Sept.	w5_d79e4967
</head>
<p id="p4_d79e4970">
Man	w1_d79e4974
hat	w3_d79e4977
unter	w5_d79e4980
der	w7_d79e4983
Aufsicht	w9_d79e4986
des	w11_d79e4989
Generals	w13_d79e4993
de	w1_d79e4998
Maja,	w3_d79e5001
und	w5_d79e5004
des	w7_d79e5007
Ober=leutenants	w9_d79e5010
Mar	w11_d79e5013
del	w1_d79e5018
ein	w3_d79e5021
groß	w5_d79e5024
Stück	w7_d79e5027
Landes	w9_d79e5030
an	w11_d79e5033
der	w13_d79e5037
Nord=seite	w15_d79e5040
dieser	w1_d79e5046
Stadt	w3_d79e5049
zum	w5_d79e5052
bebauen	w7_d79e5055
abgestochen.	w9_d79e5058
Die	w11_d79e5061
Haupt=strassen	w1_d79e5066
sollen	w3_d79e5069
60.,	w5_d79e5072
die	w7_d79e5075
andern	w9_d79e5078
40.,	w11_d79e5081
und	w1_d79e5086
die	w3_d79e5089
Queer=strassen	w5_d79e5092
30.	w7_d79e5095
Fuß	w9_d79e5098
breit,	w11_d79e5101
die	w13_d79e5105
Häuser	w1_d79e5110
aber	w3_d79e5113
nur	w5_d79e5116
2.	w7_d79e5119
Stock=werk	w9_d79e5122
hoch	w11_d79e5125
wer	w13_d79e5129
den.	w1_d79e5135
Zu	w3_d79e5138
dieser	w5_d79e5141
Arbeit	w7_d79e5144
seynd	w9_d79e5147
viele	w11_d79e5150
Hand	w13_d79e5154
werker,	w1_d79e5159
und	w3_d79e5162
Bauren,	w5_d79e5165
auch	w7_d79e5168
einige	w9_d79e5171
Regimenter	w11_d79e5174
anhero	w1_d79e5179
entboten.	w3_d79e5182
</p>
<head id="h2_d79e5188">
Neapel	w1_d79e5192
7.	w3_d79e5195
Sept.	w5_d79e5198
</head>
<p id="p4_d79e5201">
Es	w1_d79e5205
hat	w3_d79e5208
der	w5_d79e5211
unruhige	w7_d79e5214
feurige	w9_d79e5217
Berg	w11_d79e5220
Vesu	w13_d79e5224
vins	w1_d79e5229
seit	w3_d79e5232
dem	w5_d79e5235
gemeldeten	w7_d79e5238
Unglück,	w9_d79e5241
uns	w11_d79e5244
schon	w13_d79e5248
wieder	w1_d79e5253
in	w3_d79e5256
grosse	w5_d79e5259
Forcht	w7_d79e5262
und	w9_d79e5265
Schrecken	w11_d79e5268
ge	w13_d79e5272
setzet,	w1_d79e5278
und	w3_d79e5281
hiesigen	w5_d79e5284
Hof	w7_d79e5287
nicht	w9_d79e5290
wenig	w11_d79e5293
allarmi	w13_d79e5297
ret:	w1_d79e5302
dann	w3_d79e5305
dieser	w5_d79e5308
erschreckliche	w7_d79e5311
Vulcan	w9_d79e5314
er	w11_d79e5317
schütterte	w1_d79e5322
gestern	w3_d79e5325
durch	w5_d79e5328
seine	w7_d79e5331
innerliche	w9_d79e5334
ent	w11_d79e5337
zündete	w1_d79e5342
Gährung	w3_d79e5345
nicht	w5_d79e5348
allein	w7_d79e5351
hiesige	w9_d79e5354
Gegen	w11_d79e5357
den,	w1_d79e5363
sondern	w3_d79e5366
er	w5_d79e5369
bekame	w7_d79e5372
auch	w9_d79e5375
hierdurch	w11_d79e5378
2.	w13_d79e5382
neue	w1_d79e5387
Oefnungen,	w3_d79e5390
gerad	w5_d79e5393
gegen	w7_d79e5396
dem	w9_d79e5399
Königl.	w11_d79e5402
Lust=ort	w1_d79e5407
von	w3_d79e5410
Portici	w5_d79e5413
über,	w7_d79e5416
daraus	w9_d79e5419
eine	w11_d79e5422
uner	w13_d79e5426
mesliche	w1_d79e5431
Menge	w3_d79e5434
harzigter	w5_d79e5437
und	w7_d79e5440
brennender	w9_d79e5443
Materie	w1_d79e5449
mit	w3_d79e5452
einer	w5_d79e5455
ungemeinen	w7_d79e5458
rasselenden	w9_d79e5461
Wut	w1_d79e5466
ausgeworfen	w3_d79e5469
worden.	w5_d79e5472
Dieses	w7_d79e5475
hat	w9_d79e5478
so	w11_d79e5481
lange	w1_d79e5486
angehalten,	w3_d79e5489
bis	w5_d79e5492
endlich	w7_d79e5495
ein	w9_d79e5498
schneller	w11_d79e5501
Fluß,	w1_d79e5506
wie	w3_d79e5509
aus	w5_d79e5512
einem	w7_d79e5515
Brenn	w9_d79e5518
und	w11_d79e5521
Schmelz	w13_d79e5525
ofen,	w1_d79e5531
sich	w3_d79e5534
daraus	w5_d79e5537
formiret,	w7_d79e5540
und	w9_d79e5543
seinen	w11_d79e5546
Lauf	w13_d79e5550
gegen	w1_d79e5555
gedachtem	w3_d79e5558
Portici	w5_d79e5561
genemmen,	w7_d79e5564
dadurch	w9_d79e5567
das	w1_d79e5572
dasige	w3_d79e5575
so	w5_d79e5578
schöne	w7_d79e5581
Gefild	w9_d79e5584
mit	w11_d79e5587
allen	w13_d79e5591
benach	w15_d79e5594
barten	w1_d79e5599
Feldern	w3_d79e5602
und	w5_d79e5605
Gärten	w7_d79e5608
gleichsam	w9_d79e5611
über	w11_d79e5614
schwemmet	w1_d79e5620
worden;	w3_d79e5623
und	w5_d79e5626
was	w7_d79e5629
dieser	w9_d79e5632
glüende	w11_d79e5635
Bach	w1_d79e5640
angetroffen,	w3_d79e5643
hat	w5_d79e5646
derselbe	w7_d79e5649
mit	w9_d79e5652
einer	w11_d79e5655
un	w13_d79e5659
glaublichen	w1_d79e5664
Geschwindigkeit	w3_d79e5667
fortgerissen,	w5_d79e5670
und	w7_d79e5673
gleichsam	w1_d79e5678
in	w3_d79e5681
seine	w5_d79e5684
Natur	w7_d79e5687
geschmelzt	w9_d79e5690
und	w11_d79e5693
ver	w13_d79e5697
wandelt.	w1_d79e5703
Bey	w3_d79e5706
solchen	w5_d79e5709
gefährlichen	w7_d79e5712
Umstän	w9_d79e5715
den	w1_d79e5720
haben	w3_d79e5723
Se.	w5_d79e5726
Majestäten,	w7_d79e5729
der	w9_d79e5732
König,	w11_d79e5735
und	w1_d79e5740
die	w3_d79e5743
Königin,	w5_d79e5746
sich	w7_d79e5749
entschlossen,	w9_d79e5752
für	w11_d79e5755
dies	w13_d79e5759
mal	w1_d79e5764
die	w3_d79e5767
Herbst=lnstbarkeit	w5_d79e5770
zu	w7_d79e5773
gedachtem	w9_d79e5776
Por	w11_d79e5779
tici	w1_d79e5785
einzustellen.	w3_d79e5788
Durch	w5_d79e5791
die	w7_d79e5794
2.	w9_d79e5797
andere	w11_d79e5800
ge	w13_d79e5804
wöhnliche	w1_d79e5809
Oefnungen	w3_d79e5812
des	w5_d79e5815
Vesuvii,	w7_d79e5818
welche	w9_d79e5821
hier	w1_d79e5826
zu	w3_d79e5829
Lande	w5_d79e5832
nur	w7_d79e5835
die	w9_d79e5838
Nasen=löcher	w11_d79e5841
des	w13_d79e5845
Vul	w15_d79e5848
cons	w1_d79e5853
genannt	w3_d79e5856
werden,	w5_d79e5859
sollen	w7_d79e5862
dermalen	w9_d79e5865
unge	w11_d79e5868
heure	w1_d79e5874
grosse	w3_d79e5877
Stein=felsen	w5_d79e5880
ausgeworfen	w7_d79e5883
wor	w9_d79e5886
den	w1_d79e5891
seyn.	w3_d79e5894
</p>
<head id="h2_d79e5900">
Meiland	w1_d79e5904
14.	w3_d79e5907
Sept.	w5_d79e5910
</head>
<p id="p4_d79e5913">
Gestern	w1_d79e5917
langte	w3_d79e5920
ein	w5_d79e5923
ausserordentlicher	w7_d79e5926
Currier	w9_d79e5929
aus	w1_d79e5934
Wien	w3_d79e5937
mit	w5_d79e5940
Briefschaften	w7_d79e5943
an	w9_d79e5946
den	w11_d79e5949
Herzog	w13_d79e5953
von	w1_d79e5958
Modena,	w3_d79e5961
wie	w5_d79e5964
auch	w7_d79e5967
an	w9_d79e5970
den	w11_d79e5973
Marschall	w13_d79e5977
Graf	w1_d79e5983
von	w3_d79e5986
Linden,	w5_d79e5989
alhier	w7_d79e5992
an;	w9_d79e5995
hierauf	w11_d79e5998
wurde	w13_d79e6002
gleich	w1_d79e6007
heute	w3_d79e6010
ein	w5_d79e6013
Kriegs=raht	w7_d79e6016
gehalten,	w9_d79e6019
worin	w11_d79e6022
nen	w1_d79e6027
die	w3_d79e6030
Vorkehrung	w5_d79e6033
gemachet	w7_d79e6036
worden,	w9_d79e6039
aus	w11_d79e6042
allen	w1_d79e6047
in	w3_d79e6050
Jtalien	w5_d79e6053
befindlichen	w7_d79e6056
Oesterreichischen	w9_d79e6059
Regimentern	w1_d79e6065
ein	w3_d79e6068
Battaillon	w5_d79e6071
zu	w7_d79e6074
ziehen,	w9_d79e6077
und	w11_d79e6080
selbige	w1_d79e6085
nacher	w3_d79e6088
Böhmen	w5_d79e6091
abmarschiren	w7_d79e6094
zu	w9_d79e6097
lassen.	w11_d79e6100
</p>
<head id="h2_d79e6106">
Londen	w1_d79e6110
2.	w3_d79e6113
Sept.	w5_d79e6116
</head>
<p id="p4_d79e6119">
Eines	w1_d79e6123
der	w3_d79e6126
unserer	w5_d79e6129
Jndianischen	w7_d79e6132
Compagnie	w9_d79e6135
gehörigen	w1_d79e6140
Schiffen,	w3_d79e6143
welches	w5_d79e6146
nebst	w7_d79e6149
noch	w9_d79e6152
et	w11_d79e6155
lichen	w1_d79e6160
andern	w3_d79e6163
vorgestern	w5_d79e6166
zu	w7_d79e6169
Spithead	w9_d79e6172
ange	w11_d79e6175
langt,	w1_d79e6181
hat	w3_d79e6184
auf	w5_d79e6187
Rechnung	w7_d79e6190
eines	w9_d79e6193
hiesigen	w11_d79e6196
Jü	w13_d79e6200
dischen	w1_d79e6205
Kaufmanns	w3_d79e6208
einen	w5_d79e6211
Diamant	w7_d79e6214
von	w9_d79e6217
400.	w11_d79e6220
Grau	w1_d79e6225
mitgebracht.	w3_d79e6228
Es	w5_d79e6231
fehlt	w7_d79e6234
nicht	w9_d79e6237
viel,	w11_d79e6240
so	w13_d79e6244
wäre	w1_d79e6249
derselbe	w3_d79e6252
so	w5_d79e6255
groß,	w7_d79e6258
als	w9_d79e6261
des	w11_d79e6264
Hrn.	w13_d79e6268
Pitt	w15_d79e6271
sei	w17_d79e6274
ner,	w1_d79e6280
welcher	w3_d79e6283
für	w5_d79e6286
213000.	w7_d79e6289
Pfund	w9_d79e6292
Sterling	w11_d79e6295
verkauffet	w1_d79e6300
worden.	w3_d79e6303
</p>
<head id="h2_d79e6309">
Londen	w1_d79e6313
9.	w3_d79e6316
Sept.	w5_d79e6319
</head>
<p id="p4_d79e6322">
Diese	w1_d79e6326
Tage	w3_d79e6329
über	w5_d79e6332
ist	w7_d79e6335
ein	w9_d79e6338
Schif	w11_d79e6341
mit	w13_d79e6345
Befeh	w15_d79e6348
len	w1_d79e6353
von	w3_d79e6356
grosser	w5_d79e6359
Wichtigkeit	w7_d79e6362
an	w9_d79e6365
den	w11_d79e6368
Com	w13_d79e6372
mandanten	w1_d79e6377
zu	w3_d79e6380
Gibraltar	w5_d79e6383
abgesergelt.	w7_d79e6386
Der	w9_d79e6389
Hauptmann	w1_d79e6395
dieses	w3_d79e6398
Schiffes	w5_d79e6401
hat	w7_d79e6404
Befehl,	w9_d79e6407
wann	w11_d79e6410
er	w1_d79e6415
seine	w3_d79e6418
Briefe	w5_d79e6421
dem	w7_d79e6424
Gouverneur	w9_d79e6427
überliefert	w11_d79e6430
hat,	w1_d79e6435
sich	w3_d79e6438
zu	w5_d79e6441
der	w7_d79e6444
Flotte	w9_d79e6447
des	w11_d79e6450
Admirals	w13_d79e6454
Haw	w15_d79e6457
ke	w1_d79e6462
zu	w3_d79e6465
begeben,	w5_d79e6468
und	w7_d79e6471
demselben	w9_d79e6474
verschiedene	w11_d79e6477
Verhaltungs=befehle	w1_d79e6483
zu	w3_d79e6486
überbringen.	w5_d79e6489
Es	w7_d79e6492
ist	w1_d79e6497
auch	w3_d79e6500
eine	w5_d79e6503
Battaillon	w7_d79e6506
der	w9_d79e6509
Garde	w11_d79e6512
zu	w13_d79e6516
Fuß	w15_d79e6519
nebst	w1_d79e6524
andern	w3_d79e6527
Regimentern,	w5_d79e6530
und	w7_d79e6533
einer	w9_d79e6536
gros	w11_d79e6539
sen	w1_d79e6544
Menge	w3_d79e6547
Mörser	w5_d79e6550
und	w7_d79e6553
Bomben	w9_d79e6556
eingeschif	w11_d79e6559
fet	w1_d79e6565
worden.	w3_d79e6568
Die	w5_d79e6571
Meinungen	w7_d79e6574
über	w9_d79e6577
die	w11_d79e6580
Ab	w13_d79e6584
sichten	w1_d79e6589
aller	w3_d79e6592
dieser	w5_d79e6595
Anstalten	w7_d79e6598
seynd	w9_d79e6601
getheilet.	w11_d79e6604
Einige	w1_d79e6609
gehen	w3_d79e6612
auf	w5_d79e6615
Corsica;	w7_d79e6618
andere	w9_d79e6621
aber	w11_d79e6624
be	w13_d79e6628
haupten	w1_d79e6633
mit	w3_d79e6636
grösserer	w5_d79e6639
Wahrscheinlichkeit,	w7_d79e6642
daß	w9_d79e6645
man	w1_d79e6651
auf	w3_d79e6654
die	w5_d79e6657
Wieder=eroberung	w7_d79e6660
von	w9_d79e6663
Minor	w11_d79e6666
ca	w1_d79e6671
sein	w3_d79e6674
Augenmerk	w5_d79e6677
richte.	w7_d79e6680
</p>
<p id="p6_d79e6683">
Die	w1_d79e6687
Schiffe,	w3_d79e6690
der	w5_d79e6693
Erschreckliche,	w7_d79e6696
der	w9_d79e6699
Med	w11_d79e6702
way	w1_d79e6707
und	w3_d79e6710
der	w5_d79e6713
Neweastle	w7_d79e6716
sollen	w9_d79e6719
auf	w11_d79e6722
Befehl	w13_d79e6726
des	w1_d79e6731
Hofes	w3_d79e6734
den	w5_d79e6737
Admiral	w7_d79e6740
Boscawen	w9_d79e6743
verstär	w11_d79e6746
ken.	w1_d79e6752
Jetzund	w3_d79e6755
rüstet	w5_d79e6758
man	w7_d79e6761
in	w9_d79e6764
aller	w11_d79e6767
Eil	w13_d79e6771
den	w15_d79e6774
Neptun	w1_d79e6779
von	w3_d79e6782
80.	w5_d79e6785
Stücken,	w7_d79e6788
den	w9_d79e6791
Royalguil	w11_d79e6794
laume	w1_d79e6799
von	w3_d79e6802
100	w5_d79e6805
und	w7_d79e6808
den	w9_d79e6811
Dorsetshire	w11_d79e6814
von	w13_d79e6818
70.	w15_d79e6821
Stücken	w1_d79e6826
aus.	w3_d79e6829
Der	w5_d79e6832
Hauptmann	w7_d79e6835
Hackmann,	w9_d79e6838
welcher	w1_d79e6844
den	w3_d79e6847
Hazard	w5_d79e6850
commandiret,	w7_d79e6853
hat	w9_d79e6856
wie	w11_d79e6859
derum	w1_d79e6864
aufs	w3_d79e6867
neue	w5_d79e6870
ein	w7_d79e6873
Französisches	w9_d79e6876
Schif,	w11_d79e6879
wor	w13_d79e6883
auf	w1_d79e6888
sich	w3_d79e6891
90.	w5_d79e6894
Mann	w7_d79e6897
befunden	w9_d79e6900
haben,	w11_d79e6903
wegge	w13_d79e6907
nommen.	w1_d79e6912
</p>
<p id="p12_d79e6926">
Die	w1_d79e6930
Kosten,	w3_d79e6933
welche	w5_d79e6936
das	w7_d79e6939
Parlament	w9_d79e6942
für	w11_d79e6945
dieses	w1_d79e6950
1756.	w3_d79e6953
Jahr	w5_d79e6956
bewilliget	w7_d79e6959
hat,	w9_d79e6962
belauf	w11_d79e6965
fen	w1_d79e6970
sich	w3_d79e6973
auf	w5_d79e6976
7229117.	w7_d79e6979
Pfunde	w9_d79e6982
Sterling,	w11_d79e6985
4.	w13_d79e6989
Schilling	w1_d79e6995
und	w3_d79e6998
5.	w5_d79e7001
Pfenning,	w7_d79e7004
worunter	w9_d79e7007
seynd	w11_d79e7010
2600000.	w1_d79e7015
Pfund	w3_d79e7018
Sterling	w5_d79e7021
für	w7_d79e7024
die	w9_d79e7027
Unterhal	w11_d79e7030
tung	w1_d79e7035
von	w3_d79e7038
50000.	w5_d79e7041
Sce=leuten;	w7_d79e7044
100000.	w9_d79e7047
Pfunde	w1_d79e7052
für	w3_d79e7055
die	w5_d79e7058
Nothleidenden	w7_d79e7061
in	w9_d79e7064
Portugall;	w11_d79e7067
100000	w1_d79e7073
