<doc id="wr_1760-10-11" attrs="word" year="1760" month="10" day="11" corpus="2">
<head id="h2_d492e3019">
Falda=strom	w1_d492e3023
Nod0.	w1_d492e3368
Memen	w3_d492e3371
zewehel,	w5_d492e3374
welches	w7_d492e3377
denderd	w9_d492e3380
worden,	w1_d492e3385
in	w3_d492e3388
derselben	w5_d492e3391
Nacht	w7_d492e3394
mit	w9_d492e3397
einem	w11_d492e3400
Ar	w13_d492e3404
Mcter,	w1_d492e3409
zen	w3_d492e3412
vert	w5_d492e3415
10.	w7_d492e3418
enaonen	w9_d492e3421
duche	w11_d492e3424
Schee	w13_d492e3428
Naser	w1_d492e3433
ze	w3_d492e3436
waschenn,	w5_d492e3439
in	w7_d492e3442
den	w9_d492e3445
Aerten	w1_d492e3451
un	w3_d492e3454
</p>
<p id="p6_d492e3457">
der	w1_d492e3461
Seile	w3_d492e3464
her	w5_d492e3467
das	w7_d492e3470
etwanige	w9_d492e3473
Eindringen	w11_d492e3476
zu	w13_d492e3480
verwehren.	w1_d492e3485
Dieses	w3_d492e3488
Corps	w5_d492e3491
nahm	w7_d492e3494
seinen	w9_d492e3497
Werg	w1_d492e3502
über	w3_d492e3505
die	w5_d492e3508
Schif=brücke,	w7_d492e3511
welche	w9_d492e3514
bey	w11_d492e3517
der	w1_d492e3523
neuen	w3_d492e3526
Mühle	w5_d492e3529
über	w7_d492e3532
die	w9_d492e3535
Fulda	w11_d492e3538
geschla	w13_d492e3542
gen	w1_d492e3547
ist.	w3_d492e3550
Ohne	w5_d492e3553
besonderer	w7_d492e3556
Erlaubnuß	w9_d492e3559
darf	w11_d492e3562
jetzo	w1_d492e3567
kein	w3_d492e3570
Bauer	w5_d492e3573
durch	w7_d492e3576
das	w9_d492e3579
Französische	w11_d492e3582
La	w13_d492e3586
ger	w1_d492e3591
nach	w3_d492e3594
der	w5_d492e3597
Stadt	w7_d492e3600
Cassel	w9_d492e3603
kommen,	w11_d492e3606
auch	w13_d492e3610
ist	w1_d492e3616
den	w3_d492e3619
dortigen	w5_d492e3622
Bürgern	w7_d492e3625
der	w9_d492e3628
Eintritt	w11_d492e3631
ins	w13_d492e3635
Lager	w1_d492e3640
untersagt.	w3_d492e3643
Ste	w5_d492e3646
därfen	w7_d492e3649
sich	w9_d492e3652
zur	w11_d492e3655
Pas	w13_d492e3659
sage	w1_d492e3664
aus,	w3_d492e3667
und	w5_d492e3670
nach	w7_d492e3673
der	w9_d492e3676
Stadt	w11_d492e3679
nur	w13_d492e3683
des	w15_d492e3686
Möller	w1_d492e3691
und	w3_d492e3694
Alten=neustädter=thors	w5_d492e3697
be	w7_d492e3700
dienen,	w1_d492e3706
indeme	w3_d492e3709
auf	w5_d492e3712
diesen	w7_d492e3715
beyden	w9_d492e3718
Seiten	w11_d492e3721
keine	w1_d492e3726
Völker	w3_d492e3729
campiren.	w5_d492e3732
Das	w7_d492e3735
Gepäcke	w9_d492e3738
der	w11_d492e3741
Armer,	w1_d492e3746
welches	w3_d492e3749
auf	w5_d492e3752
der	w7_d492e3755
grösten	w9_d492e3758
Ebene	w11_d492e3761
bey	w13_d492e3765
Cassel,	w1_d492e3770
der	w3_d492e3773
Forst	w5_d492e3776
genannt,	w7_d492e3779
stund,	w9_d492e3782
ist	w11_d492e3785
von	w13_d492e3789
da	w1_d492e3795
weg,	w3_d492e3798
und	w5_d492e3801
weiter	w7_d492e3804
aufwärts	w9_d492e3807
gebracht	w11_d492e3810
worden.	w1_d492e3815
Hiernächst	w3_d492e3818
hat	w5_d492e3821
die	w7_d492e3824
Helfte	w9_d492e3827
der	w11_d492e3830
Französischen	w1_d492e3835
Bäcker	w3_d492e3838
gestern	w5_d492e3841
Befehl	w7_d492e3844
zum	w9_d492e3847
Abmarsche	w1_d492e3852
bekommen.	w3_d492e3855
Man	w5_d492e3858
weiß	w7_d492e3861
aber	w9_d492e3864
nicht	w1_d492e3870
wohin.	w3_d492e3873
Münden	w5_d492e3876
ist	w7_d492e3879
noch	w9_d492e3882
in	w11_d492e3885
Fra	w13_d492e3889
</p>
<p id="p12_d492e3904">
zösischen	w1_d492e3908
Gewalt.	w3_d492e3911
Das	w5_d492e3914
Xaverische	w7_d492e3917
Corps	w9_d492e3920
campiret	w1_d492e3925
bey	w3_d492e3928
Lutternberge.	w5_d492e3931
</p>
<head id="h2_d492e3937">
Glatz	w1_d492e3941
29.	w3_d492e3944
Sept.	w5_d492e3947
</head>
<p id="p4_d492e3950">
Wann	w1_d492e3954
man	w3_d492e3957
betrachtet,	w5_d492e3960
was	w7_d492e3963
für	w9_d492e3966
Kunst	w11_d492e3969
grif,	w1_d492e3974
falsche	w3_d492e3977
Nachrichten,	w5_d492e3980
und	w7_d492e3983
ungegrün	w9_d492e3986
dete	w1_d492e3991
Anschuldigungen	w3_d492e3994
von	w5_d492e3997
Preußischer	w7_d492e4000
Sei	w9_d492e4003
ten	w1_d492e4009
in	w3_d492e4012
dem	w5_d492e4015
Lauf	w7_d492e4018
des	w9_d492e4021
gegenwärtigen	w11_d492e4024
Kriege	w13_d492e4028
hervorgesuchet,	w1_d492e4033
und	w3_d492e4036
angewendet	w5_d492e4039
worden,	w7_d492e4042
um	w1_d492e4047
bey	w3_d492e4050
dem	w5_d492e4053
Protestantischen	w7_d492e4056
Publico	w9_d492e4059
den	w11_d492e4062
Religions=fanatismum	w1_d492e4067
zu	w3_d492e4070
unterhalten,	w5_d492e4073
und	w7_d492e4076
sich	w1_d492e4082
zu	w3_d492e4085
Nutzen	w5_d492e4088
zu	w7_d492e4091
machen;	w9_d492e4094
so	w11_d492e4097
ist	w13_d492e4101
kein	w15_d492e4104
Wunder,	w17_d492e4107
wann	w1_d492e4112
man	w3_d492e4115
in	w5_d492e4118
der	w7_d492e4121
Berliner=hof=zeitung	w9_d492e4124
vom	w11_d492e4127
18.	w1_d492e4132
Sept.	w3_d492e4135
letzthin	w5_d492e4138
unter	w7_d492e4141
dem	w9_d492e4144
Articul	w11_d492e4147
v.	w13_d492e4151
Breß	w15_d492e4154
lau	w1_d492e4159
liset:	w3_d492e4162
„daß	w5_d492e4165
von	w7_d492e4168
dem	w9_d492e4171
Wienerischen	w11_d492e4174
Hof	w1_d492e4180
sammentlichen	w3_d492e4183
in	w5_d492e4186
der	w7_d492e4189
Grafschaft	w9_d492e4192
Glatz	w11_d492e4195
befindlichen	w1_d492e4200
Protestanten	w3_d492e4203
bereits	w5_d492e4206
die	w7_d492e4209
Andeu	w9_d492e4212
tung	w1_d492e4217
geschehen	w3_d492e4220
seye,	w5_d492e4223
sich	w7_d492e4226
zum	w9_d492e4229
Abzug	w11_d492e4232
aus	w13_d492e4236
der	w1_d492e4241
Gräfschaft	w3_d492e4244
fertig	w5_d492e4247
zu	w7_d492e4250
machen,	w9_d492e4253
und	w11_d492e4256
des	w13_d492e4260
Endes	w1_d492e4266
ihre	w3_d492e4269
habende	w5_d492e4272
liegende	w7_d492e4275
Gründe	w9_d492e4278
zu	w11_d492e4281
veräusseren.	w1_d492e4286
</p>
<p id="p6_d492e4289">
An	w1_d492e4293
dieser	w3_d492e4296
mit	w5_d492e4299
den	w7_d492e4302
gehäßigsten	w9_d492e4305
Anmer	w11_d492e4308
kungen	w1_d492e4313
begleiter	w3_d492e4316
Nachricht	w5_d492e4319
ist	w7_d492e4322
nur	w9_d492e4325
so	w11_d492e4328
viel	w13_d492e4332
wahr,	w1_d492e4337
daß	w3_d492e4340
man	w5_d492e4343
keine	w7_d492e4346
inngeborne	w9_d492e4349
Preußische	w11_d492e4352
und	w1_d492e4358
Brandenburgische,	w3_d492e4361
NB.	w5_d492e4364
alda	w7_d492e4367
Beamte	w9_d492e4370
leiden	w1_d492e4375
wolle,	w3_d492e4378
und	w5_d492e4381
zwar	w7_d492e4384
aus	w9_d492e4387
der	w11_d492e4390
ganz	w13_d492e4394
natür	w15_d492e4397
lichen	w1_d492e4402
Ursach,	w3_d492e4405
weilen	w5_d492e4408
die	w7_d492e4411
Erfahrenheit	w9_d492e4414
ge	w11_d492e4417
lehret,	w1_d492e4422
daß	w3_d492e4425
dergleichen	w5_d492e4428
Subjecta	w7_d492e4431
nichts	w9_d492e4434
an	w11_d492e4437
deres,	w1_d492e4443
als	w3_d492e4446
heimliche	w5_d492e4449
Kundschafter	w7_d492e4452
abgeben,	w9_d492e4455
welche	w1_d492e4460
mit	w3_d492e4463
dem	w5_d492e4466
in	w7_d492e4469
der	w9_d492e4472
Nähe	w11_d492e4475
seyenden	w13_d492e4479
Feind	w15_d492e4482
eine	w1_d492e4487
nicht	w3_d492e4490
wol	w5_d492e4493
zu	w7_d492e4496
verhinderen	w9_d492e4499
mögliche	w11_d492e4502
Cor	w13_d492e4506
respondenz	w1_d492e4511
immerhin	w3_d492e4514
zu	w5_d492e4517
führen	w7_d492e4520
pflegen.	w9_d492e4523
</p>
<p id="p8_d492e4526">
Daß	w1_d492e4530
aber	w3_d492e4533
solche	w5_d492e4536
Abschaffung	w7_d492e4539
nach	w9_d492e4542
dem	w11_d492e4545
ehemalig=Preußischen	w1_d492e4550
Beyspiel	w3_d492e4553
Odio	w5_d492e4556
Reli-	w7_d492e4559
gionis	w1_d492e4564
geschehen,	w3_d492e4567
ist	w5_d492e4570
vollkommen	w7_d492e4573
ungegrün	w9_d492e4576
bet;	w1_d492e4582
indeme	w3_d492e4585
alle	w5_d492e4588
andere	w7_d492e4591
in	w9_d492e4594
erwehnter	w11_d492e4597
Graf	w13_d492e4601
schaft	w1_d492e4606
sich	w3_d492e4609
ruhig	w5_d492e4612
und	w7_d492e4615
gebührlich	w9_d492e4618
verhaltende	w11_d492e4621
Unterthanen	w1_d492e4626
ohne	w3_d492e4629
Unterschied	w5_d492e4632
der	w7_d492e4635
Religion	w9_d492e4638
gedultet	w1_d492e4643
werden.	w3_d492e4646
</p>
<p id="p10_d492e4649">
Was	w1_d492e4653
übrigens	w3_d492e4656
die	w5_d492e4659
beym	w7_d492e4662
Schluß	w9_d492e4665
des	w11_d492e4668
an	w13_d492e4672
gezogenen	w1_d492e4677
Breßlauer=zeitungs=articul	w3_d492e4680
so	w5_d492e4683
hoch	w1_d492e4688
gepriesene	w3_d492e4691
Anrühmung	w5_d492e4694
betrift:	w7_d492e4697
„daß	w9_d492e4700
alle	w1_d492e4706
Catholische	w3_d492e4709
Einwohner	w5_d492e4712
in	w7_d492e4715
samtlichen	w9_d492e4718
Preußischen	w1_d492e4723
Staaten	w3_d492e4726
selbst	w5_d492e4729
bezeugen	w7_d492e4732
müssen,	w9_d492e4735
</p>
<p id="p12_d492e4739">
daß	w1_d492e4743
ihnen	w3_d492e4746
in	w5_d492e4749
ihrem	w7_d492e4752
freyen	w9_d492e4755
Religionsexer	w11_d492e4758
citio	w1_d492e4763
so	w3_d492e4766
wenig	w5_d492e4769
als	w7_d492e4772
sonst	w9_d492e4775
der	w11_d492e4778
geringste	w13_d492e4782
Ein	w15_d492e4785
trag	w1_d492e4790
geschehe,	w3_d492e4793
und	w5_d492e4796
kein	w7_d492e4799
Einwohner	w9_d492e4802
nach	w11_d492e4805
dem	w1_d492e4811
Unterschied	w3_d492e4814
der	w5_d492e4817
Religion,	w7_d492e4820
sondern	w9_d492e4823
nach	w11_d492e4826
Verdiensten	w1_d492e4831
judiciret,	w3_d492e4834
und	w5_d492e4837
darnach	w7_d492e4840
alle	w9_d492e4843
glei	w11_d492e4846
cher	w1_d492e4851
Gerechtsame,	w3_d492e4854
und	w5_d492e4857
gleicher	w7_d492e4860
Vorzüge,	w9_d492e4863
sowol	w1_d492e4868
in	w3_d492e4871
Militari,	w5_d492e4874
als	w7_d492e4877
Civili	w9_d492e4880
sich	w11_d492e4883
zu	w13_d492e4887
er	w15_d492e4890
freuen	w1_d492e4896
hätten;	w3_d492e4899
so	w5_d492e4902
sind	w7_d492e4905
derley	w9_d492e4908
Angebun	w11_d492e4911
gen	w1_d492e4916
nur	w3_d492e4919
schöne	w5_d492e4922
Wort,	w7_d492e4925
die	w9_d492e4928
Facta	w11_d492e4931
aber	w13_d492e4935
ganz	w15_d492e4938
anderster	w1_d492e4943
beschaffen;	w3_d492e4946
Wie	w5_d492e4949
dann	w7_d492e4952
unter	w9_d492e4955
an	w11_d492e4958
deren	w1_d492e4963
die	w3_d492e4966
Preußische	w5_d492e4969
Vertreibung	w7_d492e4972
verschie	w9_d492e4975
dener	w1_d492e4981
Catholischer	w3_d492e4984
Communitäten	w5_d492e4987
aus	w7_d492e4990
de	w9_d492e4993
nen	w1_d492e4998
Schlesischen	w3_d492e5001
Städten	w5_d492e5004
und	w7_d492e5007
Festungen,	w9_d492e5010
insonderheit	w1_d492e5015
deren	w3_d492e5018
Jesuiten	w5_d492e5021
aus	w7_d492e5024
Glatz,	w9_d492e5027
Breß	w11_d492e5030
lau,	w1_d492e5035
Schweidnitz,	w3_d492e5038
und	w5_d492e5041
Neiß	w7_d492e5044
in	w9_d492e5047
ganz	w11_d492e5050
Teutsch	w13_d492e5054
land	w1_d492e5060
eben	w3_d492e5063
so	w5_d492e5066
bekannt	w7_d492e5069
ist,	w9_d492e5072
als	w11_d492e5075
die	w13_d492e5079
Art,	w15_d492e5082
wie	w17_d492e5085
man	w1_d492e5090
in	w3_d492e5093
Schlesien	w5_d492e5096
bishero	w7_d492e5099
beflissen	w9_d492e5102
gewesen,	w11_d492e5105
die	w1_d492e5110
Catholische	w3_d492e5113
Geistlichkeit	w5_d492e5116
durch	w7_d492e5119
Einziehung	w9_d492e5122
ihrer	w1_d492e5127
Zehenden	w3_d492e5130
und	w5_d492e5133
Stoll=einkünften,	w7_d492e5136
oder	w9_d492e5139
durch	w1_d492e5145
Vorenthaltung	w3_d492e5148
ihres	w5_d492e5151
sonstigen	w7_d492e5154
Unter	w9_d492e5157
halts	w1_d492e5162
zu	w3_d492e5165
Verlassung	w5_d492e5168
ihrer	w7_d492e5171
Beneficien	w9_d492e5174
zu	w11_d492e5177
nöh	w13_d492e5181
tigen,	w1_d492e5186
auch	w3_d492e5189
ein	w5_d492e5192
und	w7_d492e5195
andere	w9_d492e5198
Catholische	w11_d492e5201
Pfarr=herren	w1_d492e5206
via	w3_d492e5209
facti	w5_d492e5212
abzusetzen.	w7_d492e5215
Uber	w1_d492e5221
das	w3_d492e5224
seynd	w5_d492e5227
dem	w7_d492e5230
Wiennerischen	w9_d492e5233
Hof	w11_d492e5236
nach	w1_d492e5241
erfolgter	w3_d492e5244
Einnahm	w5_d492e5247
von	w7_d492e5250
Glatz	w9_d492e5253
die	w11_d492e5256
jenige	w13_d492e5260
Jnquisitions=Acta	w1_d492e5265
in	w3_d492e5268
die	w5_d492e5271
Hände	w7_d492e5274
gefallen,	w9_d492e5277
welche	w1_d492e5282
mit	w3_d492e5285
einem	w5_d492e5288
alda	w7_d492e5291
gewesten	w9_d492e5294
Catholischen	w11_d492e5297
Stadt=capellan,	w1_d492e5303
Namens	w3_d492e5306
Andreas	w5_d492e5309
Faulha	w7_d492e5312
ber	w1_d492e5317
abgehalten	w3_d492e5320
worden,	w5_d492e5323
und	w7_d492e5326
ein	w9_d492e5329
unerhortes	w11_d492e5332
Verfahren	w1_d492e5337
dardurch	w3_d492e5340
an	w5_d492e5343
Tag	w7_d492e5346
geben,	w9_d492e5349
daß	w11_d492e5352
die	w13_d492e5356
ser	w1_d492e5361
Capellan	w3_d492e5364
als	w5_d492e5367
ein	w7_d492e5370
förmlicher	w9_d492e5373
Maleficant	w11_d492e5376
unmittelbar	w1_d492e5382
von	w3_d492e5385
dem	w5_d492e5388
König	w7_d492e5391
zum	w9_d492e5394
Galgen	w11_d492e5397
condemniret,	w1_d492e5402
auch	w3_d492e5405
sothaner	w5_d492e5408
denen	w7_d492e5411
Actis	w9_d492e5414
bey	w11_d492e5417
liegender	w1_d492e5422
Königlicher	w3_d492e5425
Befehl	w5_d492e5428
würklich	w7_d492e5431
am	w9_d492e5434
30.	w11_d492e5437
Decembris	w1_d492e5442
1758.	w3_d492e5445
an	w5_d492e5448
ihn	w7_d492e5451
Faulhaber	w9_d492e5454
vollzo	w11_d492e5457
gen	w1_d492e5463
worden	w3_d492e5466
seye,	w5_d492e5469
aus	w7_d492e5472
keiner	w9_d492e5475
anderen	w11_d492e5478
Ursach,	w13_d492e5482
als	w1_d492e5487
weilen	w3_d492e5490
ein	w5_d492e5493
einziger	w7_d492e5496
aufgefangener	w9_d492e5499
Deser	w11_d492e5502
teur,	w1_d492e5507
in	w3_d492e5510
Hofnung	w5_d492e5513
der	w7_d492e5516
Todts=straff	w9_d492e5519
dardurch	w11_d492e5522
zu	w1_d492e5527
entgehen,	w3_d492e5530
wieder	w5_d492e5533
den	w7_d492e5536
ernannten	w9_d492e5539
in	w11_d492e5542
negati	w13_d492e5546
ris	w1_d492e5552
beständig	w3_d492e5555
verbliebenen	w5_d492e5558
Capellan	w7_d492e5561
variando	w9_d492e5564
ausgesaget,	w1_d492e5569
daß	w3_d492e5572
letzterer	w5_d492e5575
ihme	w7_d492e5578
Deserteur	w9_d492e5581
in	w11_d492e5584
der	w1_d492e5589
Beicht	w3_d492e5592
auf	w5_d492e5595
die	w7_d492e5598
Anfrage,	w9_d492e5601
ob	w11_d492e5604
er	w13_d492e5608
bey	w15_d492e5611
Ge	w17_d492e5614
legen	w1_d492e5619
</p>
<p id="p16_d492e5624">
legenheit	w1_d492e5628
vom	w3_d492e5631
Regiment	w5_d492e5634
desertiren	w7_d492e5637
könne?	w9_d492e5640
per	w1_d492e5645
formalia	w3_d492e5648
geantwortet	w5_d492e5651
haben	w7_d492e5654
solle:	w9_d492e5657
daß	w11_d492e5660
solches	w1_d492e5665
wohl	w3_d492e5668
eine	w5_d492e5671
schwere	w7_d492e5674
Sache	w9_d492e5677
seye,	w11_d492e5680
je	w13_d492e5684
doch	w1_d492e5690
wann	w3_d492e5693
es	w5_d492e5696
Gelegenheit	w7_d492e5699
gäbe;	w9_d492e5702
so	w11_d492e5705
hätte	w13_d492e5709
es	w1_d492e5714
nicht	w3_d492e5717
viel	w5_d492e5720
auf	w7_d492e5723
sich	w9_d492e5726
</p>
<head id="h2_d492e5732">
Aus	w1_d492e5736
dem	w3_d492e5739
Haupt=quartier	w5_d492e5742
der	w7_d492e5745
Kö	w9_d492e5748
nigl.	w1_d492e5753
Schwedischen	w3_d492e5756
Armee	w5_d492e5759
zu	w7_d492e5762
Prenzlow	w1_d492e5767
21.	w3_d492e5770
Sept.	w5_d492e5773
</head>
<p id="p4_d492e5776">
Um	w1_d492e5780
von	w3_d492e5783
der	w5_d492e5786
Belagerung	w7_d492e5789
von	w9_d492e5792
Colberg,	w11_d492e5795
und	w1_d492e5800
wie	w3_d492e5803
weit	w5_d492e5806
es	w7_d492e5809
mit	w9_d492e5812
selbiger	w11_d492e5815
gediehen	w13_d492e5819
sey,	w15_d492e5822
eine	w1_d492e5827
zuverläßige	w3_d492e5830
Nachricht	w5_d492e5833
zu	w7_d492e5836
erhalten,	w9_d492e5839
sen	w11_d492e5842
deten	w1_d492e5848
unsers	w3_d492e5851
Herrn	w5_d492e5854
Generals	w7_d492e5857
en	w9_d492e5860
Chef	w11_d492e5863
Ex	w13_d492e5867
cellenz	w1_d492e5872
den	w3_d492e5875
12.	w5_d492e5878
dieses	w7_d492e5881
den	w9_d492e5884
ehedem	w11_d492e5887
in	w13_d492e5891
Ru	w15_d492e5894
ßisch=Kaiserl.	w1_d492e5899
Diensten	w3_d492e5902
gestandenen	w5_d492e5905
Capi	w7_d492e5908
tain	w1_d492e5913
Poppe	w3_d492e5916
von	w5_d492e5919
hier	w7_d492e5922
an	w9_d492e5925
den	w11_d492e5928
die	w13_d492e5932
Belage	w15_d492e5935
rung	w1_d492e5941
commandirenden	w3_d492e5944
Rußisch=kaiserl.	w5_d492e5947
Ad	w7_d492e5950
miral,	w1_d492e5955
Fürsten	w3_d492e5958
Menzikoff,	w5_d492e5961
ab.	w7_d492e5964
Gedachter	w9_d492e5967
Capitain	w1_d492e5972
gieng	w3_d492e5975
von	w5_d492e5978
hier	w7_d492e5981
auf	w9_d492e5984
Swinemünde,	w11_d492e5987
und	w1_d492e5992
von	w3_d492e5995
da	w5_d492e5998
mit	w7_d492e6001
einer	w9_d492e6004
Königl.	w11_d492e6007
Brigantine,	w13_d492e6011
die	w1_d492e6017
der	w3_d492e6020
Capitain=leutenant	w5_d492e6023
Segebrant	w7_d492e6026
com	w9_d492e6029
mandirte,	w1_d492e6034
zu	w3_d492e6037
der	w5_d492e6040
vor	w7_d492e6043
Colberg	w9_d492e6046
ligenden	w11_d492e6049
Es	w13_d492e6053
cadre,	w1_d492e6058
bey	w3_d492e6061
welcher	w5_d492e6064
er	w7_d492e6067
den	w9_d492e6070
16.	w11_d492e6073
angelangen	w13_d492e6077
ist.	w1_d492e6082
Den	w3_d492e6085
17.	w5_d492e6088
hat	w7_d492e6091
er	w9_d492e6094
sich	w11_d492e6097
dort	w13_d492e6101
aufgehalten,	w15_d492e6104
um	w1_d492e6110
sowol	w3_d492e6113
die	w5_d492e6116
damaligen	w7_d492e6119
Belagerungsan	w9_d492e6122
stalten	w1_d492e6127
zu	w3_d492e6130
Wasser	w5_d492e6133
und	w7_d492e6136
zu	w9_d492e6139
Lande	w11_d492e6142
in	w13_d492e6146
Augen	w15_d492e6149
schein	w1_d492e6154
zu	w3_d492e6157
nehmen,	w5_d492e6160
als	w7_d492e6163
auch	w9_d492e6166
von	w11_d492e6169
dem	w13_d492e6173
Vor	w15_d492e6176
vergangenen	w1_d492e6181
genauen	w3_d492e6184
Unterricht	w5_d492e6187
zu	w7_d492e6190
erhalten,	w9_d492e6193
worauf	w1_d492e6199
er	w3_d492e6202
den	w5_d492e6205
18.	w7_d492e6208
früh,	w9_d492e6211
wieder	w11_d492e6214
von	w13_d492e6218
da	w15_d492e6221
ab	w17_d492e6224
gegangen,	w1_d492e6229
und	w3_d492e6232
gestern	w5_d492e6235
Nachmittag	w7_d492e6238
hier	w9_d492e6241
ein	w11_d492e6244
getroffen	w1_d492e6249
ist.	w3_d492e6252
Der	w5_d492e6255
von	w7_d492e6258
ihm	w9_d492e6261
abgestattete	w11_d492e6264
Bericht	w1_d492e6269
bestehet	w3_d492e6272
kürzlich	w5_d492e6275
in	w7_d492e6278
Folgenden	w9_d492e6281
Den	w1_d492e6287
26.	w3_d492e6290
Aug.	w5_d492e6293
ist	w7_d492e6296
die	w9_d492e6299
aus	w11_d492e6302
21.	w13_d492e6306
Schiffen	w15_d492e6309
von	w17_d492e6312
der	w1_d492e6317
Linie	w3_d492e6320
von	w5_d492e6323
60.	w7_d492e6326
bis	w9_d492e6329
100.	w11_d492e6332
Canonen,	w13_d492e6336
wie	w15_d492e6339
auch	w1_d492e6344
3.	w3_d492e6347
Bombardier=gallioten	w5_d492e6350
und	w7_d492e6353
3.	w9_d492e6356
Fre	w11_d492e6359
gatten,	w1_d492e6364
bestehende	w3_d492e6367
Rußisch=kaiserl.	w5_d492e6370
Flotte,	w7_d492e6373
und	w1_d492e6379
den	w3_d492e6382
29.	w5_d492e6385
die	w7_d492e6388
Königlich=schwedische	w9_d492e6391
Es	w11_d492e6394
kadre	w1_d492e6399
von	w3_d492e6402
6.	w5_d492e6405
Linie=schiffen,	w7_d492e6408
und	w9_d492e6411
2.	w11_d492e6414
Fre	w13_d492e6418
gatten,	w1_d492e6423
vor	w3_d492e6426
Colberg	w5_d492e6429
angelanget.	w7_d492e6432
Jene	w9_d492e6435
hat,	w11_d492e6438
ausser	w1_d492e6443
der	w3_d492e6446
Cavallerie	w5_d492e6449
und	w7_d492e6452
den	w9_d492e6455
Cosacken,	w11_d492e6458
die	w13_d492e6462
beyde	w1_d492e6468
zu	w3_d492e6471
Lande	w5_d492e6474
angekommen	w7_d492e6477
sind,	w9_d492e6480
alle	w11_d492e6483
Tru	w13_d492e6487
pen	w1_d492e6492
und	w3_d492e6495
Belagerungs=gerähte	w5_d492e6498
auf	w7_d492e6501
vielen	w9_d492e6504
Transport=schiffen	w1_d492e6509
mit	w3_d492e6512
sich	w5_d492e6515
geführet,	w7_d492e6518
und	w9_d492e6521
gleich	w1_d492e6526
nach	w3_d492e6529
ihrer	w5_d492e6532
Ankunft	w7_d492e6535
8.	w9_d492e6538
bis	w11_d492e6541
9000.	w13_d492e6545
</p>
<p id="p6_d492e6548">
Mann	w1_d492e6552
beparquiret,	w3_d492e6555
die	w5_d492e6558
unter	w7_d492e6561
des	w9_d492e6564
Herrn	w11_d492e6567
Genaral=majors	w1_d492e6572
Demidow	w3_d492e6575
Commando	w5_d492e6578
die	w1_d492e6583
Belagerung	w3_d492e6586
von	w5_d492e6589
der	w7_d492e6592
Land=seite	w9_d492e6595
formi	w11_d492e6598
ren.	w1_d492e6604
Den	w3_d492e6607
28.	w5_d492e6610
hat	w7_d492e6613
das	w9_d492e6616
Bombardement	w11_d492e6619
von	w1_d492e6624
den	w3_d492e6627
3.	w5_d492e6630
Bombardier=gallioten	w7_d492e6633
den	w9_d492e6636
An	w11_d492e6639
fang	w1_d492e6644
genommen.	w3_d492e6647
Auf	w5_d492e6650
