<doc id="wr_1763-01-12" attrs="word" year="1763" month="01" day="12" corpus="2">
<head id="h2_d725e2954">
Mädrd	w1_d725e2958
Kö	w13_d725e3550
nig	w1_d725e3555
hat	w3_d725e3558
die	w5_d725e3561
in	w7_d725e3564
dem	w9_d725e3567
Ministerid	w11_d725e3570
erletzigte	w13_d725e3574
Stellen	w1_d725e3580
noch	w3_d725e3583
nicht	w5_d725e3586
wieder	w7_d725e3589
besetzt.	w9_d725e3592
Man	w11_d725e3595
vermulhet	w1_d725e3600
aber,	w3_d725e3603
daß	w5_d725e3606
es	w7_d725e3609
nächstens	w9_d725e3612
gesche	w11_d725e3615
hen	w1_d725e3620
werde,	w3_d725e3623
und	w5_d725e3626
man	w7_d725e3629
sagt	w9_d725e3632
heute,	w11_d725e3635
daß	w13_d725e3639
die	w15_d725e3642
Stell,	w1_d725e3647
des	w3_d725e3650
Hrn.	w5_d725e3653
Carl	w7_d725e3656
Townthend	w9_d725e3659
wol	w11_d725e3662
dem	w13_d725e3666
Ritter	w1_d725e3672
von	w3_d725e3675
York,	w5_d725e3678
Gefandten	w7_d725e3681
im	w9_d725e3684
Haag,	w11_d725e3687
zu	w13_d725e3691
Theil	w1_d725e3696
werden	w3_d725e3699
dürfte.	w5_d725e3702
Der	w7_d725e3705
Lord	w9_d725e3708
Strange	w11_d725e3711
ist	w1_d725e3716
in	w3_d725e3719
den	w5_d725e3722
geheimen	w7_d725e3725
Raht	w9_d725e3728
aufgenommen,	w11_d725e3731
</p>
<p id="p10_d725e3744">
und	w1_d725e3748
ihm	w3_d725e3751
zugleich	w5_d725e3754
die	w7_d725e3757
Canzler=stelle	w9_d725e3760
des	w11_d725e3763
Her	w13_d725e3767
zogthums	w1_d725e3772
Lancastre	w3_d725e3775
aufgetragen	w5_d725e3778
worden.	w7_d725e3781
Man	w1_d725e3786
behauptet	w3_d725e3789
für	w5_d725e3792
gewiß,	w7_d725e3795
daß	w9_d725e3798
die	w11_d725e3801
zu	w13_d725e3805
Pa	w15_d725e3808
ris	w1_d725e3814
befindliche	w3_d725e3817
Gevollmächtigte	w5_d725e3820
von	w7_d725e3823
Frank	w9_d725e3826
reich,	w1_d725e3831
Spanien,	w3_d725e3834
England,	w5_d725e3837
und	w7_d725e3840
Portugall	w9_d725e3843
das	w1_d725e3848
Project	w3_d725e3851
des	w5_d725e3854
Definitiffriedenstra	w7_d725e3857
etats	w1_d725e3862
an	w3_d725e3865
ihre	w5_d725e3868
resp.	w7_d725e3871
Höfe	w9_d725e3874
überschickt	w11_d725e3877
hätten,	w13_d725e3881
um	w1_d725e3887
nach	w3_d725e3890
Gutbefinden	w5_d725e3893
die	w7_d725e3896
etwa	w9_d725e3899
nöhtige	w11_d725e3902
An	w13_d725e3906
merkungen	w1_d725e3911
oder	w3_d725e3914
Veränderungen	w5_d725e3917
darinnen	w7_d725e3920
zu	w1_d725e3925
überlegen,	w3_d725e3928
und	w5_d725e3931
zu	w7_d725e3934
entwerfen.	w9_d725e3937
Wenig	w11_d725e3940
stens	w1_d725e3945
ist	w3_d725e3948
sicher,	w5_d725e3951
daß	w7_d725e3954
der	w9_d725e3957
Hof	w11_d725e3960
diese	w13_d725e3964
Tage	w15_d725e3967
her	w17_d725e3970
stark	w1_d725e3976
mit	w3_d725e3979
Einrichtung	w5_d725e3982
der	w7_d725e3985
in	w9_d725e3988
diesem	w11_d725e3991
Frie	w13_d725e3995
den	w1_d725e4000
vorkommenden	w3_d725e4003
Verabredungen	w5_d725e4006
beschäf	w7_d725e4009
tigt	w1_d725e4014
gewesen.	w3_d725e4017
Die	w5_d725e4020
heut	w7_d725e4023
aus	w9_d725e4026
Deutschland	w11_d725e4029
und	w1_d725e4034
dem	w3_d725e4037
Haag	w5_d725e4040
eingeloffene	w7_d725e4043
Depeschen	w9_d725e4046
ha	w11_d725e4049
ben	w1_d725e4055
auch	w3_d725e4058
die	w5_d725e4061
Versammlung	w7_d725e4064
eines	w9_d725e4067
ausseror	w11_d725e4070
dentlichen	w1_d725e4075
Staats=rahts	w3_d725e4078
veranlasset.	w5_d725e4081
</p>
<p id="p12_d725e4085">
Man	w1_d725e4089
fährt	w3_d725e4092
mit	w5_d725e4095
Eifer	w7_d725e4098
fort	w9_d725e4101
die	w11_d725e4104
neue	w13_d725e4108
Re	w15_d725e4111
gimenter	w1_d725e4116
zu	w3_d725e4119
reduciren,	w5_d725e4122
und	w7_d725e4125
unter	w9_d725e4128
die	w11_d725e4131
alte	w13_d725e4135
Corps	w1_d725e4140
unterzustecken;	w3_d725e4143
52.	w5_d725e4146
Militzregi	w7_d725e4149
gimenter	w1_d725e4155
sind	w3_d725e4158
bereits	w5_d725e4161
in	w7_d725e4164
ihre	w9_d725e4167
respective	w11_d725e4170
Pro	w13_d725e4174
vinzen	w1_d725e4179
zurück	w3_d725e4182
gesendet,	w5_d725e4185
wo	w7_d725e4188
sie	w9_d725e4191
bey	w11_d725e4194
ihrer	w13_d725e4198
An	w15_d725e4201
kunft	w1_d725e4206
abgedankt	w3_d725e4209
werden	w5_d725e4212
sollen.	w7_d725e4215
Denen	w9_d725e4218
ab	w11_d725e4221
gedankten	w1_d725e4226
Soldaten	w3_d725e4229
und	w5_d725e4232
Matrosen	w7_d725e4235
beschieht	w9_d725e4238
der	w1_d725e4244
Antrag,	w3_d725e4247
ob	w5_d725e4250
sie	w7_d725e4253
sich	w9_d725e4256
in	w11_d725e4259
denen	w13_d725e4263
neuerober	w15_d725e4266
ten	w1_d725e4271
Königl.	w3_d725e4274
Provinzen	w5_d725e4277
in	w7_d725e4280
America	w9_d725e4283
nieder	w11_d725e4286
lassen	w1_d725e4291
wollen,	w3_d725e4294
welchenfalls	w5_d725e4297
man	w7_d725e4300
ihnen	w9_d725e4303
ge	w11_d725e4306
wisse	w1_d725e4311
Ländereyen	w3_d725e4314
anweisen	w5_d725e4317
wird,	w7_d725e4320
durch	w9_d725e4323
de	w11_d725e4326
ren	w1_d725e4332
Anbauung	w3_d725e4335
sie	w5_d725e4338
in	w7_d725e4341
den	w9_d725e4344
Stand	w11_d725e4347
gesetzt	w13_d725e4351
wer	w15_d725e4354
den,	w1_d725e4359
sich	w3_d725e4362
Unterhalt	w5_d725e4365
zu	w7_d725e4368
verschaffen.	w9_d725e4371
Die,	w11_d725e4374
so	w13_d725e4378
lieber	w1_d725e4383
im	w3_d725e4386
Lande	w5_d725e4389
bleiben	w7_d725e4392
wollen,	w9_d725e4395
können	w11_d725e4398
gleich	w13_d725e4402
falls	w1_d725e4407
noch	w3_d725e4410
unbekannte	w5_d725e4413
Plätze	w7_d725e4416
zu	w9_d725e4419
gleichem	w11_d725e4422
Endzweck	w1_d725e4428
angewiesen	w3_d725e4431
bekommen,	w5_d725e4434
und	w7_d725e4437
man	w9_d725e4440
wird	w1_d725e4445
ihnen	w3_d725e4448
alle	w5_d725e4451
Aufmunterungen	w7_d725e4454
machen,	w9_d725e4457
um	w1_d725e4462
ihren	w3_d725e4465
Fleiß	w5_d725e4468
aufzuwecken,	w7_d725e4471
man	w9_d725e4474
erwartet	w11_d725e4477
diese	w1_d725e4482
Woche	w3_d725e4485
auf	w5_d725e4488
der	w7_d725e4491
Themse	w9_d725e4494
verschiedene	w11_d725e4497
Französische	w1_d725e4503
Kauffahrrr,	w3_d725e4506
und	w5_d725e4509
viele	w7_d725e4512
Englän	w9_d725e4515
dische	w1_d725e4520
Schiffe	w3_d725e4523
sind	w5_d725e4526
bereits	w7_d725e4529
nach	w9_d725e4532
Bourdeaux	w11_d725e4535
und	w1_d725e4540
anderen	w3_d725e4543
Französischen	w5_d725e4546
Häfen	w7_d725e4549
ausgelof	w9_d725e4552
fen,	w1_d725e4557
um	w3_d725e4560
Wein	w5_d725e4563
und	w7_d725e4566
Brandwein	w9_d725e4569
einzukauffen.	w11_d725e4572
Der	w1_d725e4578
Schatz,	w3_d725e4581
den	w5_d725e4584
der	w7_d725e4587
Ritter	w9_d725e4590
Pocock	w11_d725e4593
aus	w13_d725e4597
Ha	w15_d725e4600
vana	w1_d725e4605
mitbringen	w3_d725e4608
soll,	w5_d725e4611
wird	w7_d725e4614
auf	w9_d725e4617
zwey	w11_d725e4620
und	w13_d725e4624
</p>
<p id="p14_d725e4627">
zwanzigmal	w1_d725e4631
100000.	w3_d725e4634
Pfund	w5_d725e4637
Sterl.	w7_d725e4640
g	w9_d725e4643
|	w11_d725e4646
|	w13_d725e4650
schätzt.	w1_d725e4655
Seit	w3_d725e4658
8.	w5_d725e4661
Tagen	w7_d725e4664
circuliret	w9_d725e4667
in	w11_d725e4670
ganz	w13_d725e4674
Londen	w1_d725e4679
ein	w3_d725e4682
geschriebenes	w5_d725e4685
Avertissement,	w7_d725e4688
wel	w9_d725e4691
ches	w1_d725e4697
dem	w3_d725e4700
Hrn.	w5_d725e4703
Grafen	w7_d725e4706
Bute	w9_d725e4709
in	w11_d725e4712
der	w13_d725e4716
Gunst	w15_d725e4719
des	w1_d725e4724
Volkes,	w3_d725e4727
bereits	w5_d725e4730
in	w7_d725e4733
dieser	w9_d725e4736
kurzen	w11_d725e4739
Zeit	w13_d725e4743
grossen	w1_d725e4748
Vortheil	w3_d725e4751
verschaft	w5_d725e4754
hat.	w7_d725e4757
Es	w9_d725e4760
heißt	w11_d725e4763
darinn:	w1_d725e4768
„Nachdem	w3_d725e4771
man	w5_d725e4774
allerley	w7_d725e4777
Künste	w9_d725e4780
an	w11_d725e4783
gewand,	w1_d725e4789
das	w3_d725e4792
Volk	w5_d725e4795
zu	w7_d725e4798
bereden,	w9_d725e4801
als	w11_d725e4804
ob	w13_d725e4808
un	w15_d725e4811
ser	w1_d725e4816
gegenwärtiges	w3_d725e4819
Ministerium	w5_d725e4822
an	w7_d725e4825
der	w9_d725e4828
ver	w11_d725e4831
grösserten	w1_d725e4836
Bier=taxe	w3_d725e4839
Schuld	w5_d725e4842
wäre;	w7_d725e4845
so	w9_d725e4848
wird	w11_d725e4851
das	w1_d725e4856
Publicum	w3_d725e4859
ersucht,	w5_d725e4862
sich	w7_d725e4865
zu	w9_d725e4868
erinnern,	w11_d725e4871
daß	w13_d725e4875
diese	w1_d725e4881
Auflage	w3_d725e4884
bereits	w5_d725e4887
unter	w7_d725e4890
dem	w9_d725e4893
vorigen	w11_d725e4896
Ministerio	w1_d725e4901
geschehen,	w3_d725e4904
und	w5_d725e4907
daß	w7_d725e4910
damals	w9_d725e4913
ein	w11_d725e4916
gewisser	w1_d725e4921
edler	w3_d725e4924
Lord	w5_d725e4927
(der	w7_d725e4930
Graf	w9_d725e4933
Bute)	w11_d725e4936
der	w13_d725e4940
al	w15_d725e4943
lererste	w1_d725e4948
gewesen	w3_d725e4951
ist,	w5_d725e4954
der	w7_d725e4957
sich	w9_d725e4960
dieser	w11_d725e4963
Art	w13_d725e4967
Taxe	w15_d725e4970
ausdrücklich	w1_d725e4976
widersetzet	w3_d725e4979
hat.	w5_d725e4982
</p>
<head id="h2_d725e4988">
Rom	w1_d725e4992
den	w3_d725e4995
25.	w5_d725e4998
Dec.	w7_d725e5001
1762.	w9_d725e5004
</head>
<p id="p4_d725e5007">
Montags	w1_d725e5011
Vormittags	w3_d725e5014
hielten	w5_d725e5017
Se.	w7_d725e5020
Päbst	w9_d725e5023
liche	w1_d725e5028
Heiligkeit	w3_d725e5031
heheimes	w5_d725e5034
Consistorium,	w7_d725e5037
wor	w9_d725e5040
inn	w1_d725e5045
die	w3_d725e5048
Bischöfl.	w5_d725e5051
Kirche	w7_d725e5054
von	w9_d725e5057
Münster	w11_d725e5060
dem	w13_d725e5064
Erz=bischoffen	w1_d725e5070
von	w3_d725e5073
Cölln	w5_d725e5076
bestätiget	w7_d725e5079
worden.	w9_d725e5082
Das	w1_d725e5087
Patriarchat	w3_d725e5090
von	w5_d725e5093
Jerusalem	w7_d725e5096
wurde	w9_d725e5099
vor	w11_d725e5102
geschlagen	w1_d725e5107
für	w3_d725e5110
den	w5_d725e5113
Moutig	w7_d725e5116
Lascaris,	w9_d725e5119
das	w11_d725e5122
Erzbistum	w1_d725e5127
von	w3_d725e5130
Adrianopel	w5_d725e5133
für	w7_d725e5136
den	w9_d725e5139
Bischof	w11_d725e5142
von	w1_d725e5148
Lulmone.	w3_d725e5151
</p>
<head id="h2_d725e5157">
Paris	w1_d725e5161
27.	w3_d725e5164
Dec.	w5_d725e5167
1762.	w7_d725e5170
</head>
<p id="p4_d725e5173">
Am	w1_d725e5177
20sten	w3_d725e5180
dieses	w5_d725e5183
hat	w7_d725e5186
der	w9_d725e5189
Duc	w11_d725e5192
de	w13_d725e5196
Bras	w15_d725e5199
lin	w1_d725e5204
in	w3_d725e5207
der	w5_d725e5210
Qualität	w7_d725e5213
eines	w9_d725e5216
Pair	w11_d725e5219
de	w13_d725e5223
France	w15_d725e5226
zum	w1_d725e5231
erstenmal	w3_d725e5234
im	w5_d725e5237
Parlament	w7_d725e5240
Sitz	w9_d725e5243
und	w11_d725e5246
Stim	w13_d725e5250
me	w1_d725e5256
genommen.	w3_d725e5259
Der	w5_d725e5262
Duc	w7_d725e5265
de	w9_d725e5268
Orleans,	w11_d725e5271
Prinz	w1_d725e5276
von	w3_d725e5279
Conde,	w5_d725e5282
Graf	w7_d725e5285
von	w9_d725e5288
Clermont,	w11_d725e5291
Prinz	w1_d725e5296
von	w3_d725e5299
Conty,	w5_d725e5302
und	w7_d725e5305
Graf	w9_d725e5308
de	w11_d725e5311
la	w13_d725e5315
Marche	w15_d725e5318
als	w1_d725e5323
Prinzen	w3_d725e5326
vom	w5_d725e5329
Geblüt,	w7_d725e5332
und	w9_d725e5335
die	w11_d725e5338
mehresten	w13_d725e5342
geistliche	w1_d725e5348
und	w3_d725e5351
weltliche	w5_d725e5354
Pairs	w7_d725e5357
des	w9_d725e5360
König	w11_d725e5363
reichs	w1_d725e5368
waren	w3_d725e5371
bey	w5_d725e5374
seiner	w7_d725e5377
Aufnahme	w9_d725e5380
zugegen.	w11_d725e5383
Franciscus	w1_d725e5388
Dega.	w3_d725e5391
Marquis	w5_d725e5394
de	w7_d725e5397
la	w9_d725e5400
Sall	w11_d725e5403
|	w13_d725e5407
|	w15_d725e5410
Marechall	w1_d725e5415
de	w3_d725e5418
Camp	w5_d725e5421
der	w7_d725e5424
Königl.	w9_d725e5427
Armeen,	w11_d725e5430
ist	w1_d725e5436
den	w3_d725e5439
29.	w5_d725e5442
Nov.	w7_d725e5445
zu	w9_d725e5448
Tonnerre	w11_d725e5451
im	w13_d725e5455
78.	w15_d725e5458
Jahr	w17_d725e5461
seines	w1_d725e5466
Alters	w3_d725e5469
mit	w5_d725e5472
Tod	w7_d725e5475
abgegangen.	w9_d725e5478
Am	w11_d725e5481
22.	w1_d725e5486
dieses	w3_d725e5489
ist	w5_d725e5492
der	w7_d725e5495
Herr	w9_d725e5498
Marschall	w11_d725e5501
Prinz	w13_d725e5505
v.	w15_d725e5508
Soubise	w1_d725e5513
bey	w3_d725e5516
Hof	w5_d725e5519
angelangt,	w7_d725e5522
und	w9_d725e5525
hat	w11_d725e5528
so	w13_d725e5532
fort	w1_d725e5538
bey	w3_d725e5541
Sr.	w5_d725e5544
Majestät	w7_d725e5547
dem	w9_d725e5550
König	w11_d725e5553
und	w13_d725e5557
der	w15_d725e5560
</p>
<p id="p10_d725e5573">
Königl.	w1_d725e5577
Famille	w3_d725e5580
die	w5_d725e5583
Aufwartung	w7_d725e5586
gemacht.	w9_d725e5589
Man	w1_d725e5594
siehet	w3_d725e5597
fast	w5_d725e5600
täglich	w7_d725e5603
Engländische	w9_d725e5606
Stan	w11_d725e5609
des=personen	w1_d725e5614
hier	w3_d725e5617
ankommen,	w5_d725e5620
so	w7_d725e5623
die	w9_d725e5626
we	w11_d725e5629
gen	w1_d725e5635
des	w3_d725e5638
Friedens	w5_d725e5641
bevorstehende	w7_d725e5644
Feyerlich	w9_d725e5647
keiten	w1_d725e5652
in	w3_d725e5655
hiesiger	w5_d725e5658
Haupt=stadt	w7_d725e5661
mit	w9_d725e5664
anzuse	w11_d725e5667
hen	w1_d725e5672
gedenken.	w3_d725e5675
</p>
<head id="h2_d725e5682">
Hamburg	w1_d725e5686
28.	w3_d725e5689
Dec.	w5_d725e5692
1762.	w7_d725e5695
</head>
<p id="p4_d725e5698">
Es	w1_d725e5702
ist	w3_d725e5705
in	w5_d725e5708
verschiedenen	w7_d725e5711
Rahtsversamm	w9_d725e5714
lungen	w1_d725e5719
der	w3_d725e5722
Vorschlag	w5_d725e5725
gethan	w7_d725e5728
worden,	w9_d725e5731
die	w11_d725e5734
Taxe	w1_d725e5739
und	w3_d725e5742
Auflagen	w5_d725e5745
dieser	w7_d725e5748
Stadt	w9_d725e5751
zu	w11_d725e5754
vermeh	w13_d725e5758
ren;	w1_d725e5764
vor	w3_d725e5767
einigen	w5_d725e5770
Tagen	w7_d725e5773
aber	w9_d725e5776
wurde	w11_d725e5779
in	w13_d725e5783
ei	w15_d725e5786
ner	w1_d725e5791
Rahts=versammlung	w3_d725e5794
beschlossen,	w5_d725e5797
diese	w7_d725e5800
Vermehrung	w1_d725e5805
noch	w3_d725e5808
so	w5_d725e5811
lange	w7_d725e5814
aufzuschieben,	w9_d725e5817
bis	w1_d725e5822
man	w3_d725e5825
sehen	w5_d725e5828
würde,	w7_d725e5831
was	w9_d725e5834
vor	w11_d725e5837
eine	w13_d725e5841
Wen	w15_d725e5844
dung	w1_d725e5850
die	w3_d725e5853
Affairen	w5_d725e5856
in	w7_d725e5859
Deutschland	w9_d725e5862
bekom	w11_d725e5865
men	w1_d725e5870
würden.	w3_d725e5873
Es	w5_d725e5876
ist	w7_d725e5879
auch	w9_d725e5882
in	w11_d725e5885
gedachter	w13_d725e5889
Versammlung	w1_d725e5894
beschlossen	w3_d725e5897
worden,	w5_d725e5900
eine	w7_d725e5903
neue	w9_d725e5906
Deputation	w1_d725e5911
an	w3_d725e5914
die	w5_d725e5917
Höfe	w7_d725e5920
von	w9_d725e5923
Versailles	w11_d725e5926
und	w13_d725e5930
Londen	w1_d725e5936
abzuschicken,	w3_d725e5939
wovon	w5_d725e5942
eine	w7_d725e5945
jede	w9_d725e5948
aus	w11_d725e5951
3.	w1_d725e5956
Personen	w3_d725e5959
bestehen	w5_d725e5962
soll,	w7_d725e5965
um	w9_d725e5968
diesen	w11_d725e5971
bey	w13_d725e5975
den	w1_d725e5980
Höfen	w3_d725e5983
wegen	w5_d725e5986
Wiederherstellung	w7_d725e5989
des	w9_d725e5992
Friedens,	w1_d725e5997
Glück	w3_d725e6000
zu	w5_d725e6003
wünschen,	w7_d725e6006
und	w9_d725e6009
den	w11_d725e6012
letz	w13_d725e6016
tern	w1_d725e6022
zu	w3_d725e6025
bitten,	w5_d725e6028
daß	w7_d725e6031
er	w9_d725e6034
es	w11_d725e6037
bey	w13_d725e6041
dem	w15_d725e6044
Hofe	w17_d725e6047
zu	w19_d725e6050
Versailles	w1_d725e6055
vermitteln	w3_d725e6058
möchte,	w5_d725e6061
damit	w7_d725e6064
end	w9_d725e6067
lich	w1_d725e6072
die	w3_d725e6075
Handelschaft	w5_d725e6078
zwischen	w7_d725e6081
den	w9_d725e6084
Untertha	w11_d725e6087
nen	w1_d725e6092
Sr.	w3_d725e6095
Alleschristl.	w5_d725e6098
Majestät,	w7_d725e6101
und	w9_d725e6104
dieser	w11_d725e6107
Stadt	w1_d725e6113
wieder	w3_d725e6116
hergestellet	w5_d725e6119
würde.	w7_d725e6122
</p>
<head id="h2_d725e6128">
Antwerpen	w1_d725e6132
24.	w3_d725e6135
Decemb.	w5_d725e6138
1762.	w7_d725e6141
</head>
<p id="p4_d725e6144">
Am	w1_d725e6148
Mittwoch	w3_d725e6151
kam	w5_d725e6154
der	w7_d725e6157
Generalfeldmar	w9_d725e6160
schall=leutenant	w1_d725e6165
von	w3_d725e6168
Piza	w5_d725e6171
von	w7_d725e6174
Brüssel,	w9_d725e6177
wo	w11_d725e6180
er	w13_d725e6184
die	w1_d725e6189
Befehle	w3_d725e6192
Sr.	w5_d725e6195
Königl.	w7_d725e6198
Hoheit	w9_d725e6201
des	w11_d725e6204
Prinzen	w13_d725e6208
Carl	w1_d725e6214
von	w3_d725e6217
Lothringen	w5_d725e6220
eingeholt,	w7_d725e6223
wieder	w9_d725e6226
zu	w11_d725e6229
rück,	w1_d725e6234
und	w3_d725e6237
gestern	w5_d725e6240
reisete	w7_d725e6243
derselbe	w9_d725e6246
schon	w11_d725e6249
wie	w13_d725e6253
der	w1_d725e6258
nach	w3_d725e6261
Roremunde	w5_d725e6264
ab,	w7_d725e6267
um	w9_d725e6270
daselbst	w11_d725e6273
das	w13_d725e6277
Commando	w1_d725e6282
über	w3_d725e6285
die	w5_d725e6288
sämmtliche	w7_d725e6291
Trupen,	w9_d725e6294
so	w11_d725e6297
der	w1_d725e6303
Kaiserin	w3_d725e6306
Königin	w5_d725e6309
Maj.	w7_d725e6312
dahin	w9_d725e6315
marschiren	w11_d725e6318
lassen,	w1_d725e6323
zu	w3_d725e6326
übernehmen.	w5_d725e6329
Schon	w7_d725e6332
2.	w9_d725e6335
Tage	w11_d725e6338
vor	w13_d725e6342
her	w1_d725e6347
hat	w3_d725e6350
der	w5_d725e6353
Major	w7_d725e6356
Hr.	w9_d725e6359
Mangeot	w11_d725e6362
mit	w13_d725e6366
einem	w15_d725e6369
Bataillon	w1_d725e6374
von	w3_d725e6377
Sachsen=gotha	w5_d725e6380
sich	w7_d725e6383
nach	w9_d725e6386
eben	w11_d725e6389
der	w1_d725e6395
Gegeod	w3_d725e6398
in	w5_d725e6401
den	w7_d725e6404
Marsch	w9_d725e6407
gesetzt,	w11_d725e6410
und	w13_d725e6414
heute	w15_d725e6417
ist	w1_d725e6422
das	w3_d725e6425
aus	w5_d725e6428
Ostende	w7_d725e6431
angelangte	w9_d725e6434
Bataillon	w11_d725e6437
von	w1_d725e6442
Arberg	w3_d725e6445
ebenfalls	w5_d725e6448
dahin	w7_d725e6451
aufgebrochen.	w9_d725e6454
</p>
<head id="h2_d725e6460">
Hameln	w1_d725e6464
23.	w3_d725e6467
Dec.	w5_d725e6470
1762.	w7_d725e6473
</head>
<p id="p4_d725e6476">
Gestern	w1_d725e6480
Abenes	w3_d725e6483
kamen	w5_d725e6486
Se.	w7_d725e6489
Durchl.	w9_d725e6492
der	w11_d725e6495
Erb=prinz	w1_d725e6500
von	w3_d725e6503
Braunschweig	w5_d725e6506
allhier	w7_d725e6509
in	w9_d725e6512
ho	w11_d725e6515
hen	w1_d725e6520
Wolseyn	w3_d725e6523
von	w5_d725e6526
Neuhaus	w7_d725e6529
an,	w9_d725e6532
und	w11_d725e6535
sind	w13_d725e6539
die	w15_d725e6542
sen	w1_d725e6548
Morgen	w3_d725e6551
frühe	w5_d725e6554
über	w7_d725e6557
Hildesheim	w9_d725e6560
nach	w11_d725e6563
Braunschweig	w1_d725e6568
gereiset.	w3_d725e6571
Morgen	w5_d725e6574
gegen	w7_d725e6577
Abend	w1_d725e6582
treffen	w3_d725e6585
auch	w5_d725e6588
des	w7_d725e6591
Herzogs	w9_d725e6594
Ferdinand	w11_d725e6597
