<doc id="wr_1758-06-03" attrs="word" year="1758" month="06" day="03" corpus="2">
<head id="h2_d249e4298">
Hamburg	w1_d249e4302
werden.	w9_d249e5492
Da	w11_d249e5495
dem	w1_d249e5500
Herrn	w3_d249e5503
Herzog	w5_d249e5506
hinterbracht	w7_d249e5509
worden,	w9_d249e5512
daß	w1_d249e5517
die	w3_d249e5520
Hessischen	w5_d249e5523
Bauern	w7_d249e5526
Befehl	w9_d249e5529
hätten,	w11_d249e5532
bey	w1_d249e5538
Erblickung	w3_d249e5541
Französischer	w5_d249e5544
Trupen	w7_d249e5547
die	w9_d249e5550
Sturm=glocke	w1_d249e5555
zu	w3_d249e5558
läuten,	w5_d249e5561
so	w7_d249e5564
hat	w9_d249e5567
derselbe	w11_d249e5570
denen	w13_d249e5574
Gliedern	w1_d249e5579
der	w3_d249e5582
Regierung	w5_d249e5585
von	w7_d249e5588
Hanau	w9_d249e5591
eröfnet	w11_d249e5594
daß	w1_d249e5599
es	w3_d249e5602
ihm	w5_d249e5605
leid	w7_d249e5608
seyn	w9_d249e5611
würde,	w11_d249e5614
wann	w13_d249e5618
er	w15_d249e5621
die	w17_d249e5624
Einwohner	w1_d249e5630
dieser	w3_d249e5633
Dörfer	w5_d249e5636
im	w7_d249e5639
Fall	w9_d249e5642
sie	w11_d249e5645
an	w13_d249e5649
denen	w15_d249e5652
Französischen	w1_d249e5657
Soldaten	w3_d249e5660
Gewalt	w5_d249e5663
ausüben	w7_d249e5666
würden,	w1_d249e5671
mit	w3_d249e5674
dem	w5_d249e5677
Strange	w7_d249e5680
bestraffen	w9_d249e5683
müste.	w11_d249e5686
Sonst	w1_d249e5691
hat	w3_d249e5694
die	w5_d249e5697
Generalität	w7_d249e5700
alle	w9_d249e5703
liederliche	w11_d249e5706
Dirnen,	w1_d249e5712
die	w3_d249e5715
sich	w5_d249e5718
bey	w7_d249e5721
der	w9_d249e5724
Armee	w11_d249e5727
aufgehalten,	w13_d249e5731
entziehen,	w1_d249e5736
und	w3_d249e5739
4.	w5_d249e5742
derselben	w7_d249e5745
auf	w9_d249e5748
dem	w11_d249e5751
Markte	w13_d249e5755
zu	w1_d249e5760
Hanau	w3_d249e5763
Spitz=ruhten	w5_d249e5766
lauffen	w7_d249e5769
lassen.	w9_d249e5772
</p>
<head id="h2_d249e5778">
Petersburg	w1_d249e5782
12.	w3_d249e5785
May.	w5_d249e5788
</head>
<p id="p4_d249e5791">
Alhier	w1_d249e5795
sind	w3_d249e5798
nunmehro	w5_d249e5801
Seine	w7_d249e5804
Königliche	w9_d249e5807
Hoheit	w1_d249e5812
der	w3_d249e5815
Prinz	w5_d249e5818
Carl	w7_d249e5821
angelangt.	w9_d249e5824
Man	w11_d249e5827
er	w13_d249e5831
zeigt	w1_d249e5836
diesem	w3_d249e5839
Prinzen	w5_d249e5842
bey	w7_d249e5845
Hofe	w9_d249e5848
alle	w11_d249e5851
die	w13_d249e5855
Ehre,	w15_d249e5858
wilche	w1_d249e5864
man	w3_d249e5867
der	w5_d249e5870
erhabnen	w7_d249e5873
Geburt	w9_d249e5876
desselben	w11_d249e5879
</p>
<p id="p6_d249e5882">
schuldig	w1_d249e5886
ist,	w3_d249e5889
und	w5_d249e5892
alle	w7_d249e5895
Ministers	w9_d249e5898
bemühen	w11_d249e5901
sich	w13_d249e5905
wechselsweise	w1_d249e5910
demselben	w3_d249e5913
Proben	w5_d249e5916
ihrer	w7_d249e5919
Ehr	w9_d249e5922
erbietung	w1_d249e5927
zu	w3_d249e5930
bezeigen.	w5_d249e5933
</p>
<head id="h2_d249e5940">
München,	w1_d249e5944
den	w3_d249e5947
24.	w5_d249e5950
May.	w7_d249e5953
</head>
<p id="p4_d249e5956">
Vor	w1_d249e5960
gestern	w3_d249e5963
Abends	w5_d249e5966
gegen	w7_d249e5969
7.	w9_d249e5972
Uhr	w11_d249e5975
paßir	w13_d249e5979
ten	w1_d249e5984
Se.	w3_d249e5987
Hoheit,	w5_d249e5990
der	w7_d249e5993
Königl.	w9_d249e5996
Polnisch	w11_d249e5999
und	w13_d249e6003
Chur=sächsische	w1_d249e6008
Prinz	w3_d249e6011
Xaverius,	w5_d249e6014
mit	w7_d249e6017
Dero	w9_d249e6020
Gefolge,	w1_d249e6026
unter	w3_d249e6029
Abfeurung	w5_d249e6032
der	w7_d249e6035
Canonnen	w9_d249e6038
auf	w11_d249e6041
denen	w1_d249e6046
Wällen,	w3_d249e6049
durch	w5_d249e6052
hiesige	w7_d249e6055
Stadt,	w9_d249e6058
und	w11_d249e6061
nahmen	w1_d249e6066
Dero	w3_d249e6069
Absteig=quartier	w5_d249e6072
auf	w7_d249e6075
dem	w9_d249e6078
Chur	w11_d249e6081
fürstl.	w1_d249e6086
Sommer=Palais	w3_d249e6089
Rymphenburg,	w5_d249e6092
all	w7_d249e6095
wo	w1_d249e6101
Höchst=dieselbe	w3_d249e6104
von	w5_d249e6107
beyden	w7_d249e6110
regierenden	w9_d249e6113
Churfürstl.	w1_d249e6118
Durchl.	w3_d249e6121
auf	w5_d249e6124
das	w7_d249e6127
zärtlichste	w9_d249e6130
und	w11_d249e6133
liebreichste	w1_d249e6138
empfangen	w3_d249e6141
und	w5_d249e6144
bewillkommet	w7_d249e6147
worden.	w1_d249e6152
</p>
<head id="h2_d249e6158">
Ostende,	w1_d249e6162
24.	w3_d249e6165
May.	w5_d249e6168
</head>
<p id="p4_d249e6171">
Der	w1_d249e6175
Königl.	w3_d249e6178
Französische	w5_d249e6181
Generalleute	w7_d249e6184
nant,	w1_d249e6189
Graf	w3_d249e6192
von	w5_d249e6195
Mailledois	w7_d249e6198
und	w9_d249e6201
der	w11_d249e6204
Herr	w13_d249e6208
von	w15_d249e6211
Pisa,	w1_d249e6216
General=leutenant	w3_d249e6219
der	w5_d249e6222
Kaiserl	w7_d249e6225
Königl.	w9_d249e6228
Armee,	w1_d249e6234
sind	w3_d249e6237
hier	w5_d249e6240
angekommen,	w7_d249e6243
nachdem	w9_d249e6246
sie	w11_d249e6249
die	w1_d249e6254
See=küste	w3_d249e6257
von	w5_d249e6260
Dünkirchen	w7_d249e6263
bis	w9_d249e6266
hieher	w11_d249e6269
in	w13_d249e6273
Augenschein	w1_d249e6278
genommen	w3_d249e6281
haben.	w5_d249e6284
Beyde	w7_d249e6287
sind	w9_d249e6290
heute	w1_d249e6295
wieder	w3_d249e6298
abgereiset,	w5_d249e6301
um	w7_d249e6304
die	w9_d249e6307
Küste	w11_d249e6310
von	w13_d249e6314
hier	w15_d249e6317
bis	w1_d249e6323
Blankenberg	w3_d249e6326
zu	w5_d249e6329
besichtigen.	w7_d249e6332
So	w9_d249e6335
eben	w11_d249e6338
vernihmt	w1_d249e6343
man,	w3_d249e6346
daß	w5_d249e6349
die	w7_d249e6352
15000.	w9_d249e6355
Mann	w11_d249e6358
Fran	w13_d249e6362
zösischer	w1_d249e6367
Trupen,	w3_d249e6370
welche	w5_d249e6373
unter	w7_d249e6376
dem	w9_d249e6379
Grafen	w11_d249e6382
von	w1_d249e6387
Maillebois	w3_d249e6390
bey	w5_d249e6393
Dünkirchen	w7_d249e6396
campiren	w9_d249e6399
sollen,	w1_d249e6405
in	w3_d249e6408
vollem	w5_d249e6411
Marsch	w7_d249e6414
sind,	w9_d249e6417
um	w11_d249e6420
ihr	w13_d249e6424
Lager	w15_d249e6427
daselbst	w1_d249e6432
aufzuschlagen.	w3_d249e6435
</p>
<head id="h2_d249e6441">
Londen	w1_d249e6445
16.	w3_d249e6448
May.	w5_d249e6451
</head>
<p id="p4_d249e6454">
Auf	w1_d249e6458
der	w3_d249e6461
Jnsul	w5_d249e6464
Wight	w7_d249e6467
wird	w9_d249e6470
die	w11_d249e6473
Anzahl	w13_d249e6477
der	w1_d249e6482
Trupen,	w3_d249e6485
welche	w5_d249e6488
zu	w7_d249e6491
der	w9_d249e6494
grossen	w11_d249e6497
Unterneh	w13_d249e6501
mung	w1_d249e6506
bestimmet	w3_d249e6509
seynd,	w5_d249e6512
immer	w7_d249e6515
stärker.	w9_d249e6518
Es	w11_d249e6521
sollen	w1_d249e6527
dieselben	w3_d249e6530
15000.	w5_d249e6533
Mann	w7_d249e6536
ausmachen,	w9_d249e6539
und	w1_d249e6544
von	w3_d249e6547
dem	w5_d249e6550
Herzog	w7_d249e6553
von	w9_d249e6556
Marlboreugh	w11_d249e6559
com	w13_d249e6563
mandirt	w1_d249e6568
werden,	w3_d249e6571
welchen	w5_d249e6574
Herrn	w7_d249e6577
sehr	w9_d249e6580
viele	w11_d249e6583
von	w1_d249e6588
unsern	w3_d249e6591
Adel	w5_d249e6594
begleiten,	w7_d249e6597
und	w9_d249e6600
der	w11_d249e6603
Cam	w13_d249e6607
pagne	w1_d249e6613
beywohnen	w3_d249e6616
werden.	w5_d249e6619
Der	w7_d249e6622
Admiral	w9_d249e6625
Osborne,	w1_d249e6630
der	w3_d249e6633
zu	w5_d249e6636
Gibraltar	w7_d249e6639
vom	w9_d249e6642
Schlag	w11_d249e6645
ge	w13_d249e6649
rührt	w1_d249e6654
worden,	w3_d249e6657
ist	w5_d249e6660
wieder	w7_d249e6663
besser,	w9_d249e6666
und	w11_d249e6669
com	w13_d249e6673
mandirt	w1_d249e6678
wie	w3_d249e6681
zuvor.	w5_d249e6684
</p>
<head id="h2_d249e6690">
Regenspurg	w1_d249e6694
12.	w3_d249e6697
May.	w5_d249e6700
</head>
<p id="p4_d249e6703">
Es	w1_d249e6707
seynd	w3_d249e6710
hier	w5_d249e6713
wieder	w7_d249e6716
verschiedene	w9_d249e6719
neue	w11_d249e6722
und	w1_d249e6727
merkwürdige	w3_d249e6730
Reichs=hof=rahts=conclusa	w5_d249e6733
bekannt	w1_d249e6738
geworden.	w3_d249e6741
Durch	w5_d249e6744
eines	w7_d249e6747
derselben	w9_d249e6750
vom	w1_d249e6756
16.	w3_d249e6759
Martii	w5_d249e6762
wird	w7_d249e6765
dem	w9_d249e6768
Magistrate	w11_d249e6771
zu	w13_d249e6775
Hamburg	w1_d249e6780
noch	w3_d249e6783
eine	w5_d249e6786
sechs=wöchige	w7_d249e6789
Frist	w9_d249e6792
ver	w11_d249e6795
stattet,	w1_d249e6800
in	w3_d249e6803
welchem	w5_d249e6806
er	w7_d249e6809
das	w9_d249e6812
Hanöverisch	w11_d249e6815
Post=amt	w1_d249e6820
daselbst	w3_d249e6823
abschaffen	w5_d249e6826
solle.	w7_d249e6829
Durch	w9_d249e6832
</p>
<p id="p8_d249e6837">
ein	w1_d249e6841
anders	w3_d249e6844
von	w5_d249e6847
demselben	w7_d249e6850
Dato	w9_d249e6853
aber	w11_d249e6856
dem	w13_d249e6860
Frankferter	w1_d249e6865
Magistrat	w3_d249e6868
ein	w5_d249e6871
ferner	w7_d249e6874
zwey	w9_d249e6877
mo	w11_d249e6880
natlicher	w1_d249e6885
Termin,	w3_d249e6888
um,	w5_d249e6891
wegen	w7_d249e6894
Einstellung	w9_d249e6897
der	w11_d249e6900
disherigen	w1_d249e6906
Hessen=casselischen	w3_d249e6909
Posten	w5_d249e6912
zu	w7_d249e6915
Frank	w9_d249e6918
fort,	w1_d249e6923
vollständige	w3_d249e6926
Gehorsams=leistung	w5_d249e6929
zu	w7_d249e6932
be	w9_d249e6935
weisen.	w1_d249e6940
Vermittelst	w1_d249e6945
eines	w3_d249e6948
dritten,	w5_d249e6951
dieser	w7_d249e6954
Schlüsse	w1_d249e6960
vom	w3_d249e6963
18.	w5_d249e6966
Martii	w7_d249e6969
ist	w9_d249e6972
der	w11_d249e6975
Magistrat	w13_d249e6979
zu	w1_d249e6984
Ulm	w3_d249e6987
abermals	w5_d249e6990
angewiesen	w7_d249e6993
worden,	w9_d249e6996
den	w11_d249e6999
dortigen	w1_d249e7004
Preußischen	w3_d249e7007
Residenten	w5_d249e7010
von	w7_d249e7013
Müllern	w9_d249e7016
auszuschaffen.	w1_d249e7021
</p>
<head id="h2_d249e7027">
Hamburg	w1_d249e7031
19.	w3_d249e7034
May.	w5_d249e7037
</head>
<p id="p4_d249e7040">
Vermög	w1_d249e7044
denen	w3_d249e7047
Nachrichten	w5_d249e7050
aus	w7_d249e7053
Pommern	w9_d249e7056
hat	w1_d249e7061
die	w3_d249e7064
Schwedische	w5_d249e7067
Armee	w7_d249e7070
sich	w9_d249e7073
nunmehro	w11_d249e7076
von	w1_d249e7081
der	w3_d249e7084
Jnsul	w5_d249e7087
Rügen	w7_d249e7090
und	w9_d249e7093
aus	w11_d249e7096
Stralsund	w13_d249e7100
unter	w1_d249e7106
die	w3_d249e7109
Canonen	w5_d249e7112
dieser	w7_d249e7115
Festung	w9_d249e7118
gezogen.	w11_d249e7121
Bey	w1_d249e7126
Greifswalde,	w3_d249e7129
Graischwad,	w5_d249e7132
Ruden	w7_d249e7135
und	w9_d249e7138
Schwinemünde	w1_d249e7143
erscheinen	w3_d249e7146
die	w5_d249e7149
Schwedischen	w7_d249e7152
Galeeren	w1_d249e7157
und	w3_d249e7160
Prahmen	w5_d249e7163
in	w7_d249e7166
grosser	w9_d249e7169
Anzahl,	w11_d249e7172
sie	w13_d249e7176
haben	w1_d249e7182
jedoch	w3_d249e7185
bishero	w5_d249e7188
nichts	w7_d249e7191
unternommen.	w9_d249e7194
Die	w1_d249e7199
Preußische	w3_d249e7202
Armee	w5_d249e7205
verstärket	w7_d249e7208
sich	w9_d249e7211
bestän	w11_d249e7214
dig,	w1_d249e7219
wie	w3_d249e7222
dann	w5_d249e7225
erst	w7_d249e7228
kürzlich	w9_d249e7231
etliche	w11_d249e7234
90.	w13_d249e7238
Wägen	w15_d249e7241
auf	w1_d249e7246
jeden	w3_d249e7249
6.	w5_d249e7252
Mann	w7_d249e7255
Preußische	w9_d249e7258
Reconvales	w11_d249e7261
cirte	w1_d249e7267
aus	w3_d249e7270
dem	w5_d249e7273
Prenzlower	w7_d249e7276
Lazareth,	w9_d249e7279
zur	w11_d249e7282
Ar	w13_d249e7286
mee	w1_d249e7291
abgegangen.	w3_d249e7294
Jn	w5_d249e7297
der	w7_d249e7300
Gegend	w9_d249e7303
von	w11_d249e7306
Grim,	w13_d249e7310
nahe	w1_d249e7315
bey	w3_d249e7318
Franzburg	w5_d249e7321
und	w7_d249e7324
Richtenberg,	w9_d249e7327
sol	w11_d249e7330
ein	w1_d249e7335
Lager	w3_d249e7338
für	w5_d249e7341
15000.	w7_d249e7344
Mann	w9_d249e7347
Preussen	w11_d249e7350
abge	w13_d249e7354
stochen,	w1_d249e7360
und	w3_d249e7363
zu	w5_d249e7366
dessen	w7_d249e7369
Behuf	w9_d249e7372
viel	w11_d249e7375
Proviant	w13_d249e7379
und	w1_d249e7384
Fourage	w3_d249e7387
aus	w5_d249e7390
denen	w7_d249e7393
Magazinen	w9_d249e7396
von	w11_d249e7399
De	w13_d249e7403
min	w1_d249e7408
und	w3_d249e7411
Treptow	w5_d249e7414
dahin	w7_d249e7417
gebracht	w9_d249e7420
werden.	w11_d249e7423
Aus	w1_d249e7428
dem	w3_d249e7431
Passewalkischen	w5_d249e7434
Magazin	w7_d249e7437
hat	w9_d249e7440
man	w11_d249e7443
ungemein	w1_d249e7449
viele	w3_d249e7452
Fourage	w5_d249e7455
und	w7_d249e7458
Provision	w9_d249e7461
nach	w11_d249e7464
Stetin	w1_d249e7469
gebracht	w3_d249e7472
und	w5_d249e7475
man	w7_d249e7478
versichert,	w9_d249e7481
daß	w11_d249e7484
von	w1_d249e7489
Demin	w3_d249e7492
und	w5_d249e7495
Treptow	w7_d249e7498
ein	w9_d249e7501
gleiches	w11_d249e7504
ge	w13_d249e7508
schehen	w1_d249e7513
soll.	w3_d249e7516
</p>
<head id="h2_d249e7522">
Münster	w1_d249e7526
16.	w3_d249e7529
May.	w5_d249e7532
</head>
<p id="p4_d249e7535">
Bey	w1_d249e7539
der	w3_d249e7542
allierten	w5_d249e7545
Armee	w7_d249e7548
ist	w9_d249e7551
noch	w11_d249e7554
keine	w13_d249e7558
Bichtige	w1_d249e7563
Veränderung	w3_d249e7566
vorgefallen.	w5_d249e7569
Der	w7_d249e7572
Prinz	w1_d249e7577
Ferdinand,	w3_d249e7580
besuchet	w5_d249e7583
fast	w7_d249e7586
einen	w9_d249e7589
Tag	w11_d249e7592
um	w13_d249e7596
den	w1_d249e7602
andern	w3_d249e7605
die	w5_d249e7608
Cantonirungs=quartiere,	w7_d249e7611
und	w9_d249e7614
es	w1_d249e7619
heißt,	w3_d249e7622
Se.	w5_d249e7625
Durchl.	w7_d249e7628
wollen	w9_d249e7631
noch	w11_d249e7634
einen	w13_d249e7638
solchen	w1_d249e7643
Besuch	w3_d249e7646
auf	w5_d249e7649
24.	w7_d249e7652
Stunden	w9_d249e7655
im	w11_d249e7658
Um	w13_d249e7662
treise	w1_d249e7667
vornehmen.	w3_d249e7670
Seit	w5_d249e7673
gestern	w7_d249e7676
seynd	w9_d249e7679
auch	w11_d249e7682
des	w1_d249e7688
Prinzeg	w3_d249e7691
von	w5_d249e7694
Holstein=Gottorp	w7_d249e7697
Durchl.	w9_d249e7700
die	w1_d249e7705
Dero	w3_d249e7708
Haupt=quartier	w5_d249e7711
noch	w7_d249e7714
immer	w9_d249e7717
zu	w11_d249e7720
Dulmen	w1_d249e7725
haben,	w3_d249e7728
alhier	w5_d249e7731
anwesend,	w7_d249e7734
und	w9_d249e7737
heute	w11_d249e7740
früh	w1_d249e7745
wohneten	w3_d249e7748
sie	w5_d249e7751
der	w7_d249e7754
Parade	w9_d249e7757
bey.	w11_d249e7760
Am	w13_d249e7764
er	w15_d249e7767
sten	w1_d249e7773
Pfingst=seyertag	w3_d249e7776
rückte	w5_d249e7779
das	w7_d249e7782
Scheiterische	w9_d249e7785
Corps	w1_d249e7790
alhier	w3_d249e7793
ein;	w5_d249e7796
es	w7_d249e7799
wird	w9_d249e7802
selbiges	w11_d249e7805
5	w13_d249e7809
bis	w15_d249e7812
600	w1_d249e7817
Mann	w3_d249e7820
stark	w5_d249e7823
geschätzt,	w7_d249e7826
und	w9_d249e7829
bestehet	w11_d249e7832
aus	w13_d249e7836
kauter	w1_d249e7841
schönen	w3_d249e7844
Leuten.	w5_d249e7847
Dienstags	w7_d249e7850
früh	w9_d249e7853
gieng	w11_d249e7856
</p>
<p id="p6_d249e7859">
es	w1_d249e7863
wieder	w3_d249e7866
von	w5_d249e7869
hier	w7_d249e7872
ab,	w9_d249e7875
ohne	w11_d249e7878
daß	w13_d249e7882
man	w15_d249e7885
weiß	w17_d249e7888
wohin.	w1_d249e7893
Ubrigens	w3_d249e7896
sagt	w5_d249e7899
man,	w7_d249e7902
daß	w9_d249e7905
solchem	w11_d249e7908
bald	w1_d249e7913
