<doc id="wr_1757-01-29" attrs="word" year="1757" month="01" day="29" corpus="2">
<head id="h2_d113e2714">
Tripoli	w1_d113e2718
<p id="p4_d113e3273">
Nach	w1_d113e3277
denen	w3_d113e3280
Begebenbeiten,	w5_d113e3283
welche	w7_d113e3286
man	w9_d113e3289
seit	w1_d113e3294
Trennung	w3_d113e3297
des	w5_d113e3300
letzten	w7_d113e3303
Parlaments	w9_d113e3306
er	w11_d113e3309
fahren,	w1_d113e3314
hat	w3_d113e3317
auch	w5_d113e3320
der	w7_d113e3323
Scharfsichtigste	w9_d113e3326
nie	w11_d113e3329
mals	w1_d113e3335
glauben	w3_d113e3338
können,	w5_d113e3341
daß	w7_d113e3344
eine	w9_d113e3347
solche	w11_d113e3350
Einig	w13_d113e3354
keit,	w1_d113e3359
und	w3_d113e3362
Ordnung	w5_d113e3365
bey	w7_d113e3368
der	w9_d113e3371
gegenwärtigen	w11_d113e3374
Sitzung	w1_d113e3379
herrschen	w3_d113e3382
könnte,	w5_d113e3385
als	w7_d113e3388
würklich	w9_d113e3391
ge	w11_d113e3394
schihet.	w1_d113e3399
Den	w3_d113e3402
22sten	w5_d113e3405
bewilligte	w7_d113e3408
das	w9_d113e3411
Unter	w11_d113e3414
haus	w1_d113e3420
die	w3_d113e3423
Land=taxe,	w5_d113e3426
und	w7_d113e3429
berahtschlagte	w9_d113e3432
sich	w11_d113e3435
über	w1_d113e3440
die	w3_d113e3443
Subsidien.	w5_d113e3446
Es	w7_d113e3449
wurde	w9_d113e3452
beschlossen	w11_d113e3455
49749.	w1_d113e3460
Mann	w3_d113e3463
Land=trupen,	w5_d113e3466
4008.	w7_d113e3469
Jnvali	w9_d113e3472
den	w1_d113e3477
mit	w3_d113e3480
darinnen	w5_d113e3483
begriffen,	w7_d113e3486
zum	w9_d113e3489
Dienste	w11_d113e3492
des	w13_d113e3496
1757sten	w1_d113e3502
Jahres	w3_d113e3505
zu	w5_d113e3508
halten,	w7_d113e3511
zu	w9_d113e3514
deren	w11_d113e3517
Unter	w13_d113e3521
halt	w1_d113e3526
1213746.	w3_d113e3529
Pfund	w5_d113e3532
Sterling,	w7_d113e3535
3.	w9_d113e3538
Schil	w11_d113e3541
ling	w1_d113e3546
9.	w3_d113e3549
Pfennig	w5_d113e3552
bewilliget	w7_d113e3555
wurden.	w9_d113e3558
Ferner	w11_d113e3561
wurden	w1_d113e3566
423963.	w3_d113e3569
Pfund	w5_d113e3572
Sterling	w7_d113e3575
16.	w9_d113e3578
Schil	w11_d113e3581
ling	w1_d113e3587
7.	w3_d113e3590
Pfenning	w5_d113e3593
zum	w7_d113e3596
Unterhalt	w9_d113e3599
der	w11_d113e3602
Besatzung	w13_d113e3606
von	w1_d113e3611
Gibraltar,	w3_d113e3614
und	w5_d113e3617
deren	w7_d113e3620
Trupen	w9_d113e3623
in	w11_d113e3626
Ame	w13_d113e3630
rica	w1_d113e3635
zugestanden.	w3_d113e3638
Für	w5_d113e3641
die	w7_d113e3644
Generalsper	w9_d113e3647
sonen	w1_d113e3652
bewilligte	w3_d113e3655
man	w5_d113e3658
47060.	w7_d113e3661
Pfund	w9_d113e3664
Ster	w11_d113e3667
</p>
<p id="p10_d113e3680">
ling	w1_d113e3684
15.	w3_d113e3687
Schilling	w5_d113e3690
10.	w7_d113e3693
Pfenning;	w9_d113e3696
für	w11_d113e3699
den	w13_d113e3703
Unterhalt	w1_d113e3708
der	w3_d113e3711
Heßischen	w5_d113e3714
Trupen,	w7_d113e3717
deren	w9_d113e3720
an	w11_d113e3723
der	w1_d113e3728
Zahl	w3_d113e3731
6544.	w5_d113e3734
Mann	w7_d113e3737
seynd,	w9_d113e3740
23335.	w11_d113e3743
Pfund	w13_d113e3747
Sterling,	w1_d113e3753
und	w3_d113e3756
für	w5_d113e3759
die	w7_d113e3762
Hannoveraner,	w9_d113e3765
die	w11_d113e3768
8605.	w1_d113e3773
Mann	w3_d113e3776
ausmachen,	w5_d113e3779
33025.	w7_d113e3782
Pfund	w9_d113e3785
Sterling	w1_d113e3790
1.	w3_d113e3793
Schilling	w5_d113e3796
6.	w7_d113e3799
Pfenning.	w9_d113e3802
Die	w11_d113e3805
Subsidien=sache	w1_d113e3810
wurde	w3_d113e3813
bis	w5_d113e3816
den	w7_d113e3819
12.	w9_d113e3822
Jan.	w11_d113e3825
als	w1_d113e3831
bis	w3_d113e3834
dahin	w5_d113e3837
sich	w7_d113e3840
das	w9_d113e3843
Parlament	w11_d113e3846
getrennet	w13_d113e3850
hat,	w1_d113e3855
ausgesetzet.	w3_d113e3858
Man	w5_d113e3861
hat	w7_d113e3864
bereits	w9_d113e3867
Mittel	w11_d113e3870
zur	w1_d113e3875
Hebung	w3_d113e3878
deren	w5_d113e3881
5.	w7_d113e3884
Millionen	w9_d113e3887
gefunden,	w11_d113e3890
deren	w1_d113e3895
man	w3_d113e3898
in	w5_d113e3901
dem	w7_d113e3904
1757sten	w9_d113e3907
Jahre	w11_d113e3910
benöhti	w13_d113e3914
get	w1_d113e3920
ist,	w3_d113e3923
ausser	w5_d113e3926
denen	w7_d113e3929
ordentlichen	w9_d113e3932
Ausgaben.	w11_d113e3935
die	w1_d113e3940
mit	w3_d113e3943
jenen	w5_d113e3946
überhaupt	w7_d113e3949
auf	w9_d113e3952
12.	w11_d113e3955
Millionen	w13_d113e3959
steigen	w1_d113e3964
werden.	w3_d113e3967
Der	w5_d113e3970
Contre=admiral	w7_d113e3973
Coa	w9_d113e3976
tes	w1_d113e3981
ligt	w3_d113e3984
zu	w5_d113e3987
Portsmouth	w7_d113e3990
mit	w9_d113e3993
einer	w11_d113e3996
Escadre	w13_d113e4000
von	w15_d113e4003
Kriegs=schiffen	w1_d113e4009
seegelfertig,	w3_d113e4012
um	w5_d113e4015
den	w7_d113e4018
Admiral	w9_d113e4021
Townshend	w1_d113e4026
zu	w3_d113e4029
Jamaica	w5_d113e4032
abzulösen.	w7_d113e4035
Der	w9_d113e4038
Admiral	w1_d113e4043
Norris,	w3_d113e4046
und	w5_d113e4049
der	w7_d113e4052
Chef	w9_d113e4055
d'Escadre	w11_d113e4058
Holmes,	w1_d113e4063
sollen	w3_d113e4066
eine	w5_d113e4069
andere	w7_d113e4072
ansehnliche	w9_d113e4075
Esca	w11_d113e4078
dre	w1_d113e4084
in	w3_d113e4087
Nord=america,	w5_d113e4090
und	w7_d113e4093
der	w9_d113e4096
Chef	w11_d113e4099
d'Escadre	w13_d113e4103
Stevens	w1_d113e4108
soll	w3_d113e4111
eine	w5_d113e4114
dritte	w7_d113e4117
zur	w9_d113e4120
Convoy	w11_d113e4123
von	w13_d113e4127
18.	w15_d113e4130
Ostindischen	w1_d113e4135
Compagnie=schiffen	w3_d113e4138
comman	w5_d113e4141
diren.	w1_d113e4146
Unsere	w3_d113e4149
Nachrichten	w5_d113e4152
aus	w7_d113e4155
America	w9_d113e4158
lauten	w1_d113e4164
noch	w3_d113e4167
immer	w5_d113e4170
unangenehm.	w7_d113e4173
Die	w9_d113e4176
Jero	w11_d113e4179
quoise=Jndianer,	w1_d113e4184
welche	w3_d113e4187
ihre	w5_d113e4190
Allianz	w7_d113e4193
mit	w9_d113e4196
uns	w1_d113e4201
erst	w3_d113e4204
erneuert	w5_d113e4207
hatten,	w7_d113e4210
haben	w9_d113e4213
uns	w11_d113e4216
betro	w13_d113e4220
gen.	w1_d113e4225
Diese	w3_d113e4228
Elenden,	w5_d113e4231
welche	w7_d113e4234
durch	w9_d113e4237
unsere	w11_d113e4240
Zwistigkeiten	w1_d113e4246
ermuntert	w3_d113e4249
worden,	w5_d113e4252
haben	w7_d113e4255
das	w9_d113e4258
jenige	w1_d113e4263
Fort,	w3_d113e4266
welches	w5_d113e4269
mit	w7_d113e4272
ihrer	w9_d113e4275
Erlaubniß	w11_d113e4278
auf	w1_d113e4283
ihrem	w3_d113e4286
Gebiete	w5_d113e4289
hinter	w7_d113e4292
Virginien	w9_d113e4295
angeleget	w11_d113e4298
ist,	w1_d113e4303
überrumpelt.	w3_d113e4306
Der	w5_d113e4309
Obriste	w7_d113e4312
Washinge	w9_d113e4315
ton	w1_d113e4321
ist	w3_d113e4324
daher	w5_d113e4327
im	w7_d113e4330
Marsch,	w9_d113e4333
sie	w11_d113e4336
zu	w13_d113e4340
straffen,	w15_d113e4343
und	w1_d113e4348
wir	w3_d113e4351
müssen	w5_d113e4354
erwarten,	w7_d113e4357
ob	w9_d113e4360
er	w11_d113e4363
seine	w13_d113e4367
Ab	w15_d113e4370
sicht	w1_d113e4375
erreichet.	w3_d113e4378
Briefe	w5_d113e4381
aus	w7_d113e4384
dem	w9_d113e4387
Lager	w11_d113e4390
bey	w13_d113e4394
Lake=george	w1_d113e4399
unterm	w3_d113e4402
8ten	w5_d113e4405
October	w7_d113e4408
melden	w9_d113e4411
daß	w1_d113e4417
die	w3_d113e4420
Französische	w5_d113e4423
Armee,	w7_d113e4426
welche	w9_d113e4429
12000.	w11_d113e4432
Mann	w1_d113e4437
sowol	w3_d113e4440
regulairer	w5_d113e4443
Trupen,	w7_d113e4446
als	w9_d113e4449
Jndia	w11_d113e4452
ner	w1_d113e4457
und	w3_d113e4460
Canadier,	w5_d113e4463
stark	w7_d113e4466
ist,	w9_d113e4469
bis	w11_d113e4472
gegen	w13_d113e4476
Ty	w15_d113e4479
conderago	w1_d113e4484
mit	w3_d113e4487
ihrer	w5_d113e4490
ganzen	w7_d113e4493
Artillerie	w9_d113e4496
an	w11_d113e4499
gerucket	w1_d113e4505
sey,	w3_d113e4508
und	w5_d113e4511
daß	w7_d113e4514
der	w9_d113e4517
Marquis	w11_d113e4520
von	w13_d113e4524
Montclam	w1_d113e4529
Anstalten	w3_d113e4532
mache,	w5_d113e4535
den	w7_d113e4538
Grafen	w9_d113e4541
von	w1_d113e4546
Loudon	w3_d113e4549
anzugreiffen,	w5_d113e4552
sich	w7_d113e4555
des	w9_d113e4558
Forts	w11_d113e4561
Eduard	w1_d113e4566
zu	w3_d113e4569
bemächtigen,	w5_d113e4572
und	w7_d113e4575
seine	w9_d113e4578
Progre	w11_d113e4581
sen	w1_d113e4587
bis	w3_d113e4590
Albanien	w5_d113e4593
zu	w7_d113e4596
erweitern.	w9_d113e4599
Jndessen	w11_d113e4602
wer	w13_d113e4606
den	w1_d113e4611
hier	w3_d113e4614
die	w5_d113e4617
ernstlichsten	w7_d113e4620
Anstalten	w9_d113e4623
gemacht	w11_d113e4626
den	w1_d113e4631
Krieg	w3_d113e4634
sowol	w5_d113e4637
in	w7_d113e4640
Europa,	w9_d113e4643
als	w11_d113e4646
America	w13_d113e4650
mit	w1_d113e4655
Nachdruck	w3_d113e4658
gegen	w5_d113e4661
Frankreich	w7_d113e4664
fortzusetzen.	w9_d113e4667
Die	w1_d113e4673
regulirten	w3_d113e4676
Trupen,	w5_d113e4679
welche	w7_d113e4682
sich	w9_d113e4685
gegen	w11_d113e4688
wärtig	w1_d113e4693
in	w3_d113e4696
Groß	w5_d113e4699
brittannien,	w7_d113e4702
und	w9_d113e4705
Jrrland	w11_d113e4708
befinden,	w1_d113e4713
belauffen	w3_d113e4716
sich	w5_d113e4719
würklich	w7_d113e4722
auf	w9_d113e4725
80000.	w11_d113e4728
Mann.	w1_d113e4733
</p>
<head id="h2_d113e4739">
Toulon	w1_d113e4743
2.	w3_d113e4746
Januarii.	w5_d113e4749
</head>
<p id="p4_d113e4752">
Der	w1_d113e4756
Capitain	w3_d113e4759
Fabre	w5_d113e4762
de	w7_d113e4765
la	w9_d113e4768
Seine,	w11_d113e4771
Com	w13_d113e4775
mandant	w1_d113e4780
einer	w3_d113e4783
kleinen	w5_d113e4786
zum	w7_d113e4789
kreutzen	w9_d113e4792
ausge	w11_d113e4795
rüsteten	w1_d113e4800
Barque,	w3_d113e4803
hat	w5_d113e4806
unter	w7_d113e4809
denen	w9_d113e4812
Kanonen	w11_d113e4815
von	w1_d113e4821
Giberaltar	w3_d113e4824
2.	w5_d113e4827
Engländische	w7_d113e4830
Fahrzeuge	w9_d113e4833
weggenommen,	w1_d113e4838
und	w3_d113e4841
dieselbe	w5_d113e4844
nach	w7_d113e4847
Ceuta,	w9_d113e4850
in	w11_d113e4853
Africa,	w1_d113e4858
geführet.	w3_d113e4861
Die	w5_d113e4864
Engländer	w7_d113e4867
haben	w9_d113e4870
so	w11_d113e4873
gleich	w1_d113e4878
2.	w3_d113e4881
wol	w5_d113e4884
armirte	w7_d113e4887
Chalupen	w9_d113e4890
dahin	w11_d113e4893
geschi	w13_d113e4897
cket,	w1_d113e4903
dieselbe	w3_d113e4906
wieder	w5_d113e4909
weg	w7_d113e4912
zu	w9_d113e4915
nehmen;	w11_d113e4918
da	w13_d113e4922
aber	w15_d113e4925
die	w1_d113e4930
Barque	w3_d113e4933
von	w5_d113e4936
dem	w7_d113e4939
Fort	w9_d113e4942
secundirt	w11_d113e4945
worden,	w13_d113e4949
sol	w1_d113e4954
seynd	w3_d113e4957
sie	w5_d113e4960
genöhtiget	w7_d113e4963
gewesen,	w9_d113e4966
sich	w11_d113e4969
wieder	w13_d113e4973
hinweg	w1_d113e4978
zu	w3_d113e4981
begeben.	w5_d113e4984
Sie	w7_d113e4987
thaten	w9_d113e4990
darauf	w11_d113e4993
ei	w13_d113e4997
nen	w1_d113e5003
zweyten	w3_d113e5006
Versuch	w5_d113e5009
mit	w7_d113e5012
einer	w9_d113e5015
grösseren	w11_d113e5018
An	w13_d113e5022
zahl	w1_d113e5027
Chalupen	w3_d113e5030
und	w5_d113e5033
erreichten	w7_d113e5036
ihren	w9_d113e5039
Zweck,	w11_d113e5042
die	w1_d113e5047
beyde	w3_d113e5050
Fahrzeuge	w5_d113e5053
wegzunehmen,	w7_d113e5056
und	w9_d113e5059
nach	w11_d113e5062
Gibraltar	w1_d113e5067
zuruck	w3_d113e5070
zu	w5_d113e5073
bringen.	w7_d113e5076
Man	w9_d113e5079
glaubt	w11_d113e5082
nicht,	w1_d113e5088
daß	w3_d113e5091
dieses	w5_d113e5094
Verfahren	w7_d113e5097
derer	w9_d113e5100
Englän	w11_d113e5103
der	w1_d113e5108
bey	w3_d113e5111
dem	w5_d113e5114
Hof	w7_d113e5117
zu	w9_d113e5120
Madrid	w11_d113e5123
werde	w13_d113e5127
gut	w15_d113e5130
ge	w17_d113e5133
heissen	w1_d113e5138
werden	w3_d113e5141
</p>
<head id="h2_d113e5148">
Paris	w1_d113e5152
9.	w3_d113e5155
Januarii.	w5_d113e5158
</head>
<p id="p4_d113e5161">
Dermalen	w1_d113e5165
seynd	w3_d113e5168
es	w5_d113e5171
nicht	w7_d113e5174
die	w9_d113e5177
Troublen	w11_d113e5180
zwi	w13_d113e5184
schen	w1_d113e5189
der	w3_d113e5192
Geistlichkeit	w5_d113e5195
und	w7_d113e5198
Parlamenten,	w9_d113e5201
so	w11_d113e5204
die	w1_d113e5209
Gemüter	w3_d113e5212
des	w5_d113e5215
gesamten	w7_d113e5218
Volks	w9_d113e5221
bekümmern,	w11_d113e5224
und	w1_d113e5230
in	w3_d113e5233
die	w5_d113e5236
lebhafteste	w7_d113e5239
Bestürzung	w9_d113e5242
gesetzt	w11_d113e5245
ha	w13_d113e5249
ben,	w1_d113e5254
sondern	w3_d113e5257
es	w5_d113e5260
ist	w7_d113e5263
die	w9_d113e5266
über	w11_d113e5269
alle	w13_d113e5273
Menschlichkeit	w15_d113e5276
entsetzliche	w1_d113e5281
That,	w3_d113e5284
so,	w5_d113e5287
wie	w7_d113e5290
schon	w9_d113e5293
gemeldt,	w11_d113e5296
an	w13_d113e5300
dem	w15_d113e5303
König	w1_d113e5308
verübt	w3_d113e5311
worden.	w5_d113e5314
Wie	w7_d113e5317
Se.	w9_d113e5320
Majestät	w11_d113e5323
innen	w1_d113e5329
wurden,	w3_d113e5332
daß	w5_d113e5335
sie	w7_d113e5338
gestochen	w9_d113e5341
seyen,	w11_d113e5344
haben	w13_d113e5348
sie	w1_d113e5353
sogleich	w3_d113e5356
geruffen,	w5_d113e5359
daß	w7_d113e5362
man	w9_d113e5365
den	w11_d113e5368
Dauphin,	w13_d113e5372
der	w1_d113e5377
Se.	w3_d113e5380
Majestät	w5_d113e5383
vergesellschaftete,	w7_d113e5386
erhalten	w9_d113e5389
solte.	w1_d113e5394
Man	w3_d113e5397
hat	w5_d113e5400
augenblicklich	w7_d113e5403
den	w9_d113e5406
Bößwicht	w11_d113e5409
beym	w1_d113e5415
Kopf	w3_d113e5418
gefaßt,	w5_d113e5421
Se.	w7_d113e5424
Majestät	w9_d113e5427
aber	w11_d113e5430
ha	w13_d113e5434
ben	w1_d113e5439
befohlen,	w3_d113e5442
man	w5_d113e5445
sollte	w7_d113e5448
ihn	w9_d113e5451
nicht	w11_d113e5454
ums	w13_d113e5458
Le	w15_d113e5461
ben	w1_d113e5466
bringen.	w3_d113e5469
Man	w5_d113e5472
hat	w7_d113e5475
Se.	w9_d113e5478
Majestät	w11_d113e5481
als	w13_d113e5485
bald	w1_d113e5490
zu	w3_d113e5493
Beht	w5_d113e5496
gebracht,	w7_d113e5499
alwo	w9_d113e5502
Sie	w11_d113e5505
gebeichtet,	w13_d113e5509
und	w1_d113e5515
die	w3_d113e5518
letzte	w5_d113e5521
H.	w7_d113e5524
heilige	w9_d113e5527
Sacramenten	w11_d113e5530
em	w13_d113e5534
prangen.	w1_d113e5539
Man	w3_d113e5542
hat	w5_d113e5545
bey	w7_d113e5548
dem	w9_d113e5551
Bößwicht	w11_d113e5554
das	w13_d113e5558
Brod=messer	w1_d113e5563
angetroffen;	w3_d113e5566
er	w5_d113e5569
gestehet	w7_d113e5572
die	w9_d113e5575
That	w11_d113e5578
und	w1_d113e5583
sagt,	w3_d113e5586
wol	w5_d113e5589
zu	w7_d113e5592
wissen,	w9_d113e5595
daß	w11_d113e5598
er	w13_d113e5602
die	w15_d113e5605
erschreck	w17_d113e5608
lichste	w1_d113e5614
Ubel=that	w3_d113e5617
unternommen	w5_d113e5620
habe,	w7_d113e5623
mar	w9_d113e5626
sollte	w1_d113e5631
den	w3_d113e5634
Dauphin	w5_d113e5637
wol	w7_d113e5640
in	w9_d113e5643
Acht	w11_d113e5646
nehmen,	w13_d113e5650
weil	w15_d113e5653
noch	w1_d113e5658
mehr	w3_d113e5661
als	w5_d113e5664
30.	w7_d113e5667
andere	w9_d113e5670
wären,	w11_d113e5673
so	w13_d113e5677
der	w15_d113e5680
gleichen	w1_d113e5685
zu	w3_d113e5688
unternehmen	w5_d113e5691
stünden;	w7_d113e5694
man	w9_d113e5697
hat	w11_d113e5700
den	w1_d113e5706
Bößwicht	w3_d113e5709
auf	w5_d113e5712
die	w7_d113e5715
Folter	w9_d113e5718
gebracht,	w11_d113e5721
mit	w1_d113e5726
unter	w3_d113e5729
die	w5_d113e5732
Fuß=sohlen	w7_d113e5735
gelegtem	w9_d113e5738
Feuer,	w11_d113e5741
allein	w1_d113e5746
er	w3_d113e5749
hat	w5_d113e5752
erkläret,	w7_d113e5755
daß	w9_d113e5758
er	w11_d113e5761
nichtes	w13_d113e5765
mehrers	w15_d113e5768
als	w1_d113e5773
obiges	w3_d113e5776
bekennen	w5_d113e5779
würde,	w7_d113e5782
was	w9_d113e5785
man	w11_d113e5788
ihm	w13_d113e5792
auch	w1_d113e5798
für	w3_d113e5801
Pein	w5_d113e5804
anthun	w7_d113e5807
möchte.	w9_d113e5810
Diesen	w11_d113e5813
an	w13_d113e5817
Händ	w1_d113e5822
und	w3_d113e5825
Füssen	w5_d113e5828
geschlossenen	w7_d113e5831
Mörder	w9_d113e5834
wol	w11_d113e5837
zu	w1_d113e5842
verwahren,	w3_d113e5845
wird	w5_d113e5848
die	w7_d113e5851
äusserste	w9_d113e5854
Sorge	w11_d113e5857
ge	w13_d113e5861
</p>
<p id="p10_d113e5874">
dewer	w1_d113e5878
</p>
<p id="p12_d113e5882">
tragen,	w1_d113e5886
derselbe	w3_d113e5889
hat	w5_d113e5892
seinen	w7_d113e5895
Namen	w9_d113e5898
angegeben	w11_d113e5901
Damien,	w1_d113e5906
und	w3_d113e5909
von	w5_d113e5912
Arras	w7_d113e5915
gebürtig	w9_d113e5918
zu	w11_d113e5921
seyn.	w13_d113e5925
Jmmittelst	w1_d113e5930
hatte	w3_d113e5933
die	w5_d113e5936
odere	w7_d113e5939
Vorsicht	w9_d113e5942
zugelas	w11_d113e5945
fen,	w1_d113e5951
daß	w3_d113e5954
der	w5_d113e5957
König	w7_d113e5960
diesen	w9_d113e5963
Tag,	w11_d113e5966
über	w13_d113e5970
seine	w15_d113e5973
gewöhnliche	w1_d113e5978
Kleidung,	w3_d113e5981
einen	w5_d113e5984
grossen	w7_d113e5987
samme	w9_d113e5990
tenen	w1_d113e5995
Uberrock	w3_d113e5998
gehabt,	w5_d113e6001
ohne	w7_d113e6004
welchen	w9_d113e6007
es	w11_d113e6010
wahr	w13_d113e6014
scheinlich	w1_d113e6019
ist,	w3_d113e6022
daß	w5_d113e6025
diese	w7_d113e6028
höllische	w9_d113e6031
Hand	w11_d113e6034
die	w13_d113e6038
Täge	w1_d113e6044
eines	w3_d113e6047
Prinzens	w5_d113e6050
geendiget	w7_d113e6053
haben	w9_d113e6056
würde,	w11_d113e6059
welchen	w1_d113e6064
die	w3_d113e6067
Liebe	w5_d113e6070
seiner	w7_d113e6073
Völker	w9_d113e6076
den	w11_d113e6079
glorwür	w13_d113e6083
digen	w1_d113e6088
Titul	w3_d113e6091
des	w5_d113e6094
wolgeliebten	w7_d113e6097
Ludwigs	w9_d113e6100
er	w11_d113e6103
worben.	w1_d113e6108
</p>
<p id="p14_d113e6111">
Jm	w1_d113e6115
letzt=verwichenen	w3_d113e6118
Jahr	w5_d113e6121
seynd	w7_d113e6124
alhier	w9_d113e6127
20021.	w1_d113e6132
Personen	w3_d113e6135
verstorben,	w5_d113e6138
19412.	w7_d113e6141
Kinder	w9_d113e6144
getauft,	w1_d113e6149
4501.	w3_d113e6152
Paar	w5_d113e6155
copuliret,	w7_d113e6158
und	w9_d113e6161
4273.	w11_d113e6164
ausgesetzte	w1_d113e6170
Kinder,	w3_d113e6173
mithin	w5_d113e6176
42.	w7_d113e6179
mehr,	w9_d113e6182
als	w11_d113e6185
das	w1_d113e6190
vorige	w3_d113e6193
Jahr	w5_d113e6196
gefunden	w7_d113e6199
worden.	w9_d113e6202
Unter	w11_d113e6205
denen	w1_d113e6210
Verstorbenen	w3_d113e6213
befinden	w5_d113e6216
sich	w7_d113e6219
280.	w9_d113e6222
Perso	w11_d113e6225
nen	w1_d113e6230
die	w3_d113e6233
70.	w5_d113e6236
bis	w7_d113e6239
80.	w9_d113e6242
Jahr,	w11_d113e6245
283.	w13_d113e6249
die	w15_d113e6252
80.	w17_d113e6255
bis	w19_d113e6258
90.	w1_d113e6264
Jahr,	w3_d113e6267
61.	w5_d113e6270
die	w7_d113e6273
90.	w9_d113e6276
bis	w11_d113e6279
100.	w13_d113e6283
Jahr,	w15_d113e6286
und	w17_d113e6289
7.	w1_d113e6294
die	w3_d113e6297
100.	w5_d113e6300
bis	w7_d113e6303
107.	w9_d113e6306
Jahr	w11_d113e6309
alt	w13_d113e6313
worden	w15_d113e6316
seynd.	w1_d113e6321
</p>
<head id="h2_d113e6327">
Koppenhagen	w1_d113e6331
2.	w3_d113e6334
Januarii.	w5_d113e6337
</head>
<p id="p4_d113e6340">
Jm	w1_d113e6344
abgewichenen	w3_d113e6347
