<doc id="edoc_wd_1776-12-18" attrs="word" year="1776" month="12" day="18" corpus="1">
<head id="hl1">
Madrid	w38
Majestät	w505
kostbaren	w506
Le=benstäge	w507
<g/>
=
<g/>
,
zu	w510
beschäftigen	w511
<g/>
.
</p>
<p id="p14">
Die	w513
durch	w514
den	w515
D	w516
<g/>
.
Emmanuel	w518
de	w519
Roda	w520
ergangene	w521
Antwort	w522
des	w523
Königes	w524
<g/>
,
ist	w526
be=reits	w527
<g/>
=
unserem	w529
letzten	w530
Zeitungsblatte	w531
ein=verleibet	w532
<g/>
=
gewesen	w534
<g/>
.
</p>
<head id="hl2">
England	w536
den	w537
10	w538
<g/>
.
Winterm	w540
<g/>
.
</head>
<p id="p15">
Es	w542
sind	w543
eine	w544
Menge	w545
Berichte	w546
von	w547
der	w548
Niederlage	w549
der	w550
großen	w551
Amerikanischen	w552
Armee	w553
unter	w554
dem	w555
Generale	w556
Washington	w557
<g/>
,
und	w559
von	w560
der	w561
Eroberung	w562
seines	w563
verschanzt=ten	w564
<g/>
=
Lagers	w566
zu	w567
Kings	w568
<g/>
=
Bridge	w570
vorhanden	w571
<g/>
,
die	w573
sich	w574
einander	w575
so	w576
widersprechen	w577
<g/>
,
daß	w579
man	w580
sie	w581
vor	w582
der	w583
Hand	w584
für	w585
voreilig	w586
an=sehen	w587
<g/>
=
muß	w589
<g/>
,
bis	w591
der	w592
Hof	w593
durch	w594
die	w595
Be=kanntmachung	w596
<g/>
=
anderweiterer	w598
Depeschen	w599
dieselbe	w600
bestättigt	w601
<g/>
.
Bald	w603
heißt	w604
es	w605
<g/>
,
ein	w607
Privatmann	w608
zu	w609
Edimburg	w610
habe	w611
aus	w612
der	w613
zweyten	w614
Hand	w615
die	w616
Nachricht	w617
erhalten	w618
<g/>
,
es	w620
hätten	w621
5	w622
zu	w623
Korke	w624
in	w625
Jrland	w626
ange=kommene	w627
<g/>
=
Transportschiffe	w629
versichert	w630
<g/>
,
daß	w632
der	w633
General	w634
Howe	w635
<g/>
,
da	w637
er	w638
den	w639
rechten	w640
Flügel	w641
der	w642
Rebellen	w643
ohne	w644
Vertheidigung	w645
angetroffen	w646
<g/>
,
denselben	w648
angegriffen	w649
<g/>
,
5000	w651
Gefangene	w652
gemacht	w653
<g/>
,
und	w655
den	w656
Rest	w657
der	w658
Armee	w659
in	w660
die	w661
Flucht	w662
geschlagen	w663
hätte	w664
<g/>
.
Bald	w666
setzt	w667
ein	w668
Brief	w669
aus	w670
Waterford	w671
die=sen	w672
<g/>
=
Umständen	w674
noch	w675
hinzu	w676
<g/>
,
der	w678
General	w679
Washington	w680
sey	w681
unter	w682
den	w683
Gefangenen	w684
<g/>
.
Hier	w686
kömmt	w687
wieder	w688
ein	w689
anderer	w690
Brief	w691
<g/>
,
welcher	w693
den	w694
Verlust	w695
der	w696
Amerikaner	w697
auf	w698
8000	w699
Mann	w700
<g/>
,
jenen	w702
der	w703
königl	w704
<g/>
.
Truppen	w706
aber	w707
nur	w708
auf	w709
300	w710
anschlägt	w711
<g/>
.
Noch	w713
ein	w714
anderer	w715
erhöhet	w716
den	w717
Verlust	w718
des	w719
Gene=rals	w720
<g/>
=
Howe	w722
auf	w723
1500	w724
Mann	w725
<g/>
,
und	w727
läßt	w728
besorgen	w729
<g/>
,
der	w731
General	w732
Howe	w733
sey	w734
selbst	w735
unter	w736
den	w737
Todten	w738
<g/>
.
Endlich	w740
wendet	w741
ein	w742
anderer	w743
die	w744
ganze	w745
Sache	w746
um	w747
<g/>
,
spricht	w749
dem	w750
Washington	w751
den	w752
Vortheil	w753
zu	w754
<g/>
,
und	w756
setzt	w757
den	w758
Verlust	w759
der	w760
königl	w761
<g/>
.
Armee	w763
auf	w764
einige	w765
tausend	w766
Mann	w767
an	w768
<g/>
.
Vielleicht	w770
ist	w771
zuletzt	w772
an	w773
der	w774
Sache	w775
gar	w776
nichts	w777
<g/>
.
</p>
<p id="p16">
Die	w779
Rebellen	w780
haben	w781
auf	w782
dem	w783
Landsee	w784
Champlain	w785
meisterlich	w786
gekämpfet	w787
<g/>
,
aber	w789
doch	w790
unterliegen	w791
müssen	w792
<g/>
.
Gegen	w794
ihre	w795
15	w796
Schiffe	w797
waren	w798
der	w799
unsrigen	w800
33	w801
<g/>
,
alle	w803
mit	w804
schwerer	w805
und	w806
leichter	w807
Artillerie	w808
wohl	w809
</p>
<p id="p17">
ausgerüstet	w810
<g/>
.
Jhre	w812
Absicht	w813
<g/>
,
auf	w815
derer=glücklichen	w816
<g/>
=
Ausschlag	w818
sie	w819
sich	w820
am	w821
meisten	w822
verließen	w823
<g/>
,
gieng	w825
dahin	w826
<g/>
,
unsre	w828
Flotte	w829
von	w830
hinten	w831
anzugreifen	w832
<g/>
,
sobald	w834
der	w835
Vor=trab	w836
<g/>
=
voraus	w838
gewesen	w839
wäre	w840
<g/>
.
So	w842
ver=stekt	w843
<g/>
=
sie	w845
sich	w846
nun	w847
in	w848
einer	w849
Art	w850
von	w851
Hin=terhalte	w852
<g/>
=
an	w854
der	w855
sogenannten	w856
Pointe	w857
hiel=ten	w858
<g/>
=
<g/>
,
so	w861
glücklich	w862
wurden	w863
sie	w864
von	w865
einigen	w866
unsrer	w867
Leute	w868
an	w869
Bord	w870
eines	w871
von	w872
den	w873
Schiffen	w874
entdecket	w875
<g/>
.
Jhr	w877
Anführer	w878
oder	w879
Admiral	w880
<g/>
,
Herr	w882
Arnold	w883
<g/>
,
schlug	w885
sich	w886
mit	w887
fünf	w888
Gondelen	w889
und	w890
seiner	w891
Galeere	w892
nach	w893
der	w894
Küste	w895
<g/>
,
die	w897
er	w898
alle	w899
<g/>
,
nachdem	w901
das	w902
Volk	w903
davon	w904
war	w905
<g/>
,
in	w907
die	w908
Luft	w909
sprengen	w910
ließ	w911
<g/>
.
Wir	w913
haben	w914
nur	w915
40	w916
<g/>
.
Mann	w918
zwischen	w919
Tod=ten	w920
<g/>
=
und	w922
Verwundeten	w923
verlohren	w924
<g/>
;
der	w926
Verlust	w927
der	w928
Rebellen	w929
muß	w930
aber	w931
beträcht=lich	w932
<g/>
=
seyn	w934
<g/>
.
</p>
<head id="hl3">
Londen	w936
den	w937
29	w938
<g/>
.
Wintermonat	w940
<g/>
.
</head>
<p id="p18">
Jn	w942
diesen	w943
Tagen	w944
erhielt	w945
der	w946
Hof	w947
sehr	w948
wichtige	w949
Nachrichten	w950
von	w951
den	w952
königl	w953
<g/>
.
Mi=nistern	w955
<g/>
=
an	w957
den	w958
Höfen	w959
zu	w960
Versailles	w961
und	w962
Madrid	w963
<g/>
.
Mit	w965
denselben	w966
hat	w967
man	w968
eine	w969
Ereigniß	w970
zu	w971
vernehmen	w972
<g/>
,
die	w974
für	w975
die	w976
Bey=behaltung	w977
<g/>
=
der	w979
allgemeinen	w980
Ruhe	w981
Euro=pens	w982
<g/>
=
sehr	w984
günstig	w985
angesehen	w986
wird	w987
<g/>
.
Es	w989
ist	w990
nämlich	w991
die	w992
Entlaßung	w993
des	w994
ersten	w995
Spa=nischen	w996
<g/>
=
Ministers	w998
<g/>
,
Marchese	w1000
Grimaldi	w1001
und	w1002
des	w1003
ersten	w1004
Sicilianischen	w1005
Ministers	w1006
<g/>
,
Marchese	w1008
Tanucci	w1009
<g/>
.
Der	w1011
Katholischer	w1012
Kö=nig	w1013
<g/>
=
hat	w1015
dermalen	w1016
Ministere	w1017
von	w1018
fried=samen	w1019
<g/>
=
Gesinnungen	w1021
erwählet	w1022
<g/>
.
Dieser	w1024
Wechsel	w1025
in	w1026
dem	w1027
Spanischen	w1028
Ministerium	w1029
wird	w1030
der	w1031
Verwendung	w1032
des	w1033
Allerchristlich=sten	w1034
<g/>
=
Königs	w1036
zugeschrieben	w1037
<g/>
,
und	w1039
man	w1040
vermuthet	w1041
<g/>
,
es	w1043
werde	w1044
ehestens	w1045
eine	w1046
Aus=gleichung	w1047
<g/>
=
zwischen	w1049
Spanien	w1050
und	w1051
Portu=gal	w1052
<g/>
=
hierauf	w1054
erfolgen	w1055
<g/>
,
welches	w1057
sich	w1058
um	w1059
so	w1060
sehnlicher	w1061
wünschen	w1062
läßt	w1063
<g/>
,
weil	w1065
da=durch	w1066
<g/>
=
vier	w1068
Mächte	w1069
Europens	w1070
vor	w1071
dem	w1072
Gräuel	w1073
eines	w1074
verderblichen	w1075
Krieges	w1076
be=wahret	w1077
<g/>
=
würden	w1079
<g/>
.
Bey	w1081
dieser	w1082
hoffnungs=vollen	w1083
<g/>
=
Lage	w1085
der	w1086
Sachen	w1087
setzen	w1088
unsere	w1089
Politiken	w1090
die	w1091
bisherige	w1092
Besorgligkeit	w1093
ei=nes	w1094
<g/>
=
Bruches	w1096
zwischen	w1097
Frankreich	w1098
und	w1099
Eng=land	w1100
<g/>
=
auf	w1102
eine	w1103
kurze	w1104
Zeit	w1105
<g/>
,
und	w1107
zwar	w1108
nicht	w1109
weiter	w1110
<g/>
,
als	w1112
auf	w1113
das	w1114
Fruhjahr	w1115
1778	w1116
<g/>
.
hinaus	w1118
<g/>
.
Nichts	w1120
destoweniger	w1121
siehet	w1122
man	w1123
<g/>
,
daß	w1125
die	w1126
Rüstungen	w1127
in	w1128
den	w1129
Hafen	w1130
des	w1131
</p>
<p id="p19">
Königreichs	w1132
noch	w1133
immer	w1134
eifrigst	w1135
betrie=ben	w1136
<g/>
=
werden	w1138
<g/>
.
</p>
<p id="p20">
Ueber	w1140
Jrland	w1141
sind	w1142
auch	w1143
unterschiedliche	w1144
Briefe	w1145
eingegangen	w1146
<g/>
,
die	w1148
eines	w1149
sehr	w1150
blu=tigen	w1151
<g/>
=
Treffens	w1153
zwischen	w1154
der	w1155
königl	w1156
<g/>
.
Armee	w1158
und	w1159
dem	w1160
Heere	w1161
der	w1162
Amerikaner	w1163
unweit	w1164
Newyork	w1165
gedenken	w1166
<g/>
,
und	w1168
mit	w1169
Umständen	w1170
verbaaret	w1171
sind	w1172
<g/>
,
welche	w1174
zwar	w1175
dem	w1176
Ge=nerale	w1177
<g/>
=
Howe	w1179
einen	w1180
vollständigen	w1181
Sieg	w1182
zusprechen	w1183
<g/>
,
aber	w1185
auch	w1186
einfließen	w1187
lassen	w1188
<g/>
,
daß	w1190
bey	w1191
diesem	w1192
Vorfalle	w1193
viel	w1194
Menschen=blut	w1195
<g/>
=
vergossen	w1197
worden	w1198
sey	w1199
<g/>
.
So	w1201
lange	w1202
indessen	w1203
der	w1204
Hof	w1205
keine	w1206
Umstände	w1207
von	w1208
dem	w1209
Generale	w1210
Howe	w1211
selbst	w1212
erhalten	w1213
hat	w1214
<g/>
,
muß	w1216
der	w1217
Sache	w1218
nicht	w1219
so	w1220
schlechterdings	w1221
Glau=be	w1222
<g/>
=
beygemeßen	w1224
werden	w1225
<g/>
.
</p>
<p id="p21">
Man	w1227
ist	w1228
noch	w1229
immer	w1230
der	w1231
Meinung	w1232
<g/>
,
daß	w1234
die	w1235
Angelegenheiten	w1236
der	w1237
Ostindischen	w1238
Handlungsgesellschaft	w1239
bey	w1240
der	w1241
gegenwär=tigen	w1242
<g/>
=
Parlamentssitzung	w1244
von	w1245
neuem	w1246
zur	w1247
Sprache	w1248
kommen	w1249
<g/>
,
und	w1251
in	w1252
der	w1253
Verwal=tung	w1254
<g/>
=
ihrer	w1256
Geschäfte	w1257
einige	w1258
fernere	w1259
Ein=richtungen	w1260
<g/>
=
werden	w1262
getroffen	w1263
werden	w1264
<g/>
.
Sie	w1266
sind	w1267
dermalen	w1268
in	w1269
einem	w1270
sehr	w1271
blühenden	w1272
Zustande	w1273
<g/>
.
Das	w1275
Anlehen	w1276
von	w1277
1	w1278
Milion	w1279
400	w1280
tausend	w1281
Pf	w1282
<g/>
.
Sterl	w1284
<g/>
.
so	w1286
die	w1287
Regierung	w1288
der	w1289
Compagnie	w1290
im	w1291
Jahre	w1292
1773	w1293
<g/>
.
vor=schoß	w1295
<g/>
=
ist	w1297
wieder	w1298
abgetragen	w1299
<g/>
.
Jhr	w1301
Ab=satz	w1302
<g/>
=
im	w1304
Januar	w1305
<g/>
.
1776	w1307
<g/>
.
in	w1309
Bengala	w1310
be=trug	w1311
<g/>
=
5	w1313
Millionen	w1314
746	w1315
tausend	w1316
782	w1317
Rou=pies	w1318
<g/>
=
<g/>
(
eine	w1321
Jndianische	w1322
Münze	w1323
von	w1324
un=gefehr	w1325
<g/>
=
27	w1327
Stübern	w1328
<g/>
)
und	w1330
es	w1331
blieben	w1332
ihr	w1333
4	w1334
Millionen	w1335
577	w1336
tausend	w1337
803	w1338
Roupies	w1339
in	w1340
Kaßa	w1341
<g/>
,
ohne	w1343
den	w1344
Betrag	w1345
von	w1346
den	w1347
dies=jährigen	w1348
<g/>
=
Produkten	w1350
<g/>
,
auch	w1352
die	w1353
unermeß=liche	w1354
<g/>
=
Menge	w1356
Waaren	w1357
<g/>
,
welche	w1359
sie	w1360
wirk=lich	w1361
<g/>
=
in	w1363
den	w1364
Magazinen	w1365
hat	w1366
<g/>
.
Es	w1368
ist	w1369
mehr	w1370
als	w1371
wahrscheinlich	w1372
<g/>
,
daß	w1374
die	w1375
Regierung	w1376
die	w1377
Asiatische	w1378
Handlung	w1379
für	w1380
die	w1381
ganze	w1382
Nation	w1383
frey	w1384
und	w1385
allgemein	w1386
machen	w1387
<g/>
,
und	w1389
die	w1390
Provinzen	w1391
von	w1392
Bengala	w1393
<g/>
,
Bahar	w1395
und	w1396
Orixa	w1397
<g/>
,
imgleichen	w1399
das	w1400
übrige	w1401
Gebiet	w1402
<g/>
,
so	w1404
die	w1405
Ostindische	w1406
Handlungsgesellschaft	w1407
in	w1408
dem	w1409
Jndostan	w1410
an	w1411
sich	w1412
gebracht	w1413
hat	w1414
<g/>
,
und	w1416
welche	w1417
<g/>
,
nach	w1419
allem	w1420
Abzuge	w1421
<g/>
,
jähr=lich	w1423
<g/>
=
netto	w1425
1	w1426
Million	w1427
500	w1428
tausend	w1429
Pf	w1430
<g/>
.
Sterl	w1432
<g/>
.
auswerfen	w1434
<g/>
,
unter	w1436
die	w1437
Oberherr=schaft	w1438
<g/>
=
der	w1440
Krone	w1441
bringen	w1442
werde	w1443
<g/>
.
</p>
<p id="p22">
Gestern	w1445
hielten	w1446
die	w1447
vornehmsten	w1448
westin westindischen	w1449
<g/>
=
</p>
<p id="p23">
dischen	w1451
Handelsleute	w1452
eine	w1453
Versammlung	w1454
<g/>
,
um	w1456
die	w1457
Miethe	w1458
der	w1459
Schiffe	w1460
zu	w1461
bestimmen	w1462
<g/>
,
welche	w1464
während	w1465
des	w1466
gegenwärtigen	w1467
Krie=ges	w1468
<g/>
=
bey	w1470
der	w1471
Handlung	w1472
gebraucht	w1473
wer=den	w1474
<g/>
=
sollen	w1476
<g/>
.
Nachdem	w1478
diese	w1479
Sache	w1480
berich=tiget	w1481
<g/>
=
war	w1483
<g/>
,
wurde	w1485
in	w1486
Vorschlag	w1487
gebracht	w1488
<g/>
,
man	w1490
möchte	w1491
bey	w1492
dem	w1493
Könige	w1494
um	w1495
Rep=ressallienbriefe	w1496
<g/>
=
bittlich	w1498
ansuchen	w1499
<g/>
,
um	w1501
die	w1502
Amerikanischen	w1503
Kaper	w1504
anzugreifen	w1505
<g/>
.
Es	w1507
wurde	w1508
aber	w1509
bemerket	w1510
<g/>
,
daß	w1512
ein	w1513
so	w1514
wich=tiger	w1515
<g/>
=
Punkt	w1517
reiflich	w1518
erwogen	w1519
werden	w1520
<g/>
,
und	w1522
man	w1523
sich	w1524
nicht	w1525
so	w1526
unbedachtsam	w1527
über=eilen	w1528
<g/>
=
müßte	w1530
<g/>
,
die	w1532
starken	w1533
Verbindlichkei=ten	w1534
<g/>
=
<g/>
,
welche	w1537
die	w1538
Natur	w1539
zwischen	w1540
Nord=amerika	w1541
<g/>
=
und	w1543
den	w1544
westindischen	w1545
Jnsuln	w1546
angelegt	w1547
hat	w1548
<g/>
,
seyn	w1550
einer	w1551
Seits	w1552
zu	w1553
über=denken	w1554
<g/>
=
<g/>
,
und	w1557
anderer	w1558
Seits	w1559
müßten	w1560
sie	w1561
<g/>
,
als	w1563
Handelsleute	w1564
und	w1565
Pflänzer	w1566
<g/>
,
sich	w1568
nach	w1569
der	w1570
sanften	w1571
Rückkehre	w1572
des	w1573
Friedens	w1574
se=hen	w1575
<g/>
=
<g/>
,
und	w1578
alles	w1579
vermeiden	w1580
<g/>
,
so	w1582
die	w1583
Ge=müther	w1584
<g/>
=
noch	w1586
mehr	w1587
aufbringen	w1588
könnte	w1589
<g/>
.
Diese	w1591
Betrachtungen	w1592
gewannen	w1593
die	w1594
Ober=hand	w1595
<g/>
=
<g/>
,
und	w1598
der	w1599
Vortrag	w1600
ward	w1601
verwor=fen	w1602
<g/>
=
<g/>
.
</p>
<head id="hl4">
Parlaments	w1605
<g/>
=
Sachen	w1607
<g/>
.
</head>
<p id="p24">
Am	w1609
26	w1610
<g/>
.
nahm	w1612
das	w1613
Unterhaus	w1614
die	w1615
Ta=ges	w1616
<g/>
=
vorher	w1618
beliebten	w1619
Entschließunngen	w1620
wieder	w1621
vor	w1622
<g/>
,
und	w1624
genehmigte	w1625
dieselben	w1626
<g/>
.
Demnächst	w1628
wurde	w1629
die	w1630
Bill	w1631
<g/>
,
betreffend	w1633
das	w1634
Malz	w1635
und	w1636
die	w1637
Strafe	w1638
der	w1639
Desertion	w1640
<g/>
,
zum	w1642
dritten	w1643
Male	w1644
verlesen	w1645
<g/>
.
Das	w1647
Ober=haus	w1648
<g/>
=
beschäftigte	w1650
sich	w1651
mit	w1652
besagten	w1653
Bills	w1654
<g/>
.
Am	w1656
27	w1657
<g/>
.
beschlossen	w1659
die	w1660
Gemeinen	w1661
im	w1662
Aus=schuße	w1663
<g/>
=
über	w1665
die	w1666
Subsidien	w1667
<g/>
,
daß	w1669
1	w1670
Mil=lion	w1671
<g/>
=
Pf	w1673
<g/>
.
Sterl	w1675
<g/>
.
bewilligt	w1677
werden	w1678
sollte	w1679
<g/>
,
um	w1681
gleiche	w1682
Summe	w1683
<g/>
,
welche	w1685
dem	w1686
Köni=ge	w1687
<g/>
=
bey	w1689
der	w1690
letzten	w1691
Parlament	w1692
<g/>
=
Sitzung	w1694
zugestanden	w1695
worden	w1696
<g/>
,
abzutragen	w1698
<g/>
.
Das	w1700
Haus	w1701
bestellte	w1702
sich	w1703
sodann	w1704
<g/>
,
auf	w1706
den	w1707
2	w1708
<g/>
.
December	w1710
<g/>
.
</p>
<head id="hl5">
Triest	w1712
den	w1713
9	w1714
<g/>
.
Christmon	w1716
<g/>
.
</head>
<p id="p25">
Unser	w1718
Statthalter	w1719
<g/>
,
Herr	w1721
Graf	w1722
v	w1723
<g/>
.
Zin=zendorf	w1725
<g/>
=
hat	w1727
nebst	w1728
dem	w1729
Freyherrn	w1730
v	w1731
<g/>
.
Thu=gut	w1733
<g/>
=
öftere	w1735
Berathschlagungen	w1736
mit	w1737
den	w1738
vor=nehmsten	w1739
<g/>
=
Handelsleuten	w1741
der	w1742
hiesigen	w1743
Bör=se	w1744
<g/>
=
über	w1746
die	w1747
Mittel	w1748
gepflogen	w1749
<g/>
,
wie	w1751
die	w1752
Eng=ländische	w1753
<g/>
=
Handlung	w1755
in	w1756
der	w1757
Levante	w1758
aus=gebreitet	w1759
<g/>
=
<g/>
,
und	w1762
die	w1763
Einkünfte	w1764
der	w1765
Oester=reichischen	w1766
<g/>
=
Konsuls	w1768
in	w1769
dem	w1770
türkischen	w1771
Ge Gebiete	w1772
<g/>
=
</p>
<p id="p26">
biete	w1774
verbessert	w1775
werden	w1776
könnten	w1777
<g/>
.
Am	w1779
9	w1780
<g/>
.
dieses	w1782
ist	w1783
letztbesagter	w1784
Freyherr	w1785
von	w1786
Thu=gut	w1787
<g/>
=
über	w1789
Fiume	w1790
nach	w1791
Wien	w1792
abgegangen	w1793
<g/>
.
</p>
<p id="p27">
Freytags	w1795
kam	w1796
der	w1797
Prinz	w1798
von	w1799
Waldek	w1800
aus	w1801
Venedig	w1802
hier	w1803
an	w1804
<g/>
,
trat	w1806
aber	w1807
gleich	w1808
des	w1809
folgenden	w1810
Tages	w1811
die	w1812
Reise	w1813
über	w1814
Laybach	w1815
zu	w1816
seinen	w1817
Regiment	w1818
an	w1819
<g/>
.
</p>
<head id="hl6">
Paris	w1821
den	w1822
2	w1823
<g/>
.
Christmon	w1825
</head>
<p id="p28">
Der	w1826
mit	w1827
königl	w1828
<g/>
.
Erlaubniß	w1830
zu	w1831
Be=sorgung	w1832
<g/>
=
seiner	w1834
Privatangelegenheiten	w1835
heut	w1836
aus	w1837
Schweden	w1838
