<doc id="wr_1761-10-10" attrs="word" year="1761" month="10" day="10" corpus="2">
<head id="h2_d594e3279">
Schwedischer	w1_d594e3283
einem	w7_d594e4093
Ba	w9_d594e4096
</p>
<p id="p12_d594e4110">
taillon	w1_d594e4114
occupiren,	w3_d594e4117
er	w5_d594e4120
selbst	w7_d594e4123
aber	w9_d594e4126
setzte	w11_d594e4129
sich	w13_d594e4133
bey	w1_d594e4138
Ferdinandshof.	w3_d594e4141
Den	w5_d594e4144
18.	w7_d594e4147
des	w9_d594e4150
Mor	w11_d594e4153
gens	w1_d594e4158
wurde	w3_d594e4161
Rothemühlen	w5_d594e4164
von	w7_d594e4167
dem	w9_d594e4170
Feinde	w11_d594e4173
attaquirt.	w1_d594e4179
Der	w3_d594e4182
Major	w5_d594e4185
Sprengtsport	w7_d594e4188
setzte	w9_d594e4191
sich	w1_d594e4196
zwar	w3_d594e4199
gleich	w5_d594e4202
in	w7_d594e4205
Marsch	w9_d594e4208
dahin.	w11_d594e4211
Allein,	w13_d594e4215
bey	w1_d594e4220
seiner	w3_d594e4223
Ankunft	w5_d594e4226
war	w7_d594e4229
der	w9_d594e4232
Feind	w11_d594e4235
schon	w13_d594e4239
vom	w1_d594e4244
Skaraborgischen	w3_d594e4247
Bataillon,	w5_d594e4250
unter	w7_d594e4253
Ca	w9_d594e4256
pitain	w1_d594e4262
de	w3_d594e4265
la	w5_d594e4268
Valls	w7_d594e4271
Befehl	w9_d594e4274
mit	w11_d594e4277
grossem	w13_d594e4281
Ver	w15_d594e4284
lust	w1_d594e4289
zurück	w3_d594e4292
geschlagen.	w5_d594e4295
Unser	w7_d594e4298
Frey=corps	w9_d594e4301
folgte	w1_d594e4306
darauf	w3_d594e4309
dem	w5_d594e4312
Feinde	w7_d594e4315
auf	w9_d594e4318
dem	w11_d594e4321
Fuß	w13_d594e4325
nach	w15_d594e4328
Die	w1_d594e4333
Attaque	w3_d594e4336
wurde	w5_d594e4339
von	w7_d594e4342
dem	w9_d594e4345
Feind,	w11_d594e4348
wel	w13_d594e4352
cher	w1_d594e4358
sich	w3_d594e4361
nicht	w5_d594e4364
weit	w7_d594e4367
von	w9_d594e4370
Neuensund	w11_d594e4373
bey	w13_d594e4377
ei	w15_d594e4380
nem	w1_d594e4385
Walde	w3_d594e4388
postirt	w5_d594e4391
hatte,	w7_d594e4394
mit	w9_d594e4397
solcher	w11_d594e4400
Hef	w13_d594e4404
tigkeit	w1_d594e4409
angegriffen,	w3_d594e4412
daß	w5_d594e4415
3.	w7_d594e4418
von	w9_d594e4421
unseren	w11_d594e4424
Frey=compagnien,	w1_d594e4429
welche	w3_d594e4432
das	w5_d594e4435
gröste	w7_d594e4438
Feuer	w9_d594e4441
ausstehen	w1_d594e4447
musten,	w3_d594e4450
sich	w5_d594e4453
zurück	w7_d594e4456
zu	w9_d594e4459
ziehen,	w11_d594e4462
und	w1_d594e4467
weil	w3_d594e4470
alle	w5_d594e4473
Pferde,	w7_d594e4476
die	w9_d594e4479
Canoniers	w11_d594e4482
und	w13_d594e4486
die	w1_d594e4491
Officiers	w3_d594e4494
selbst	w5_d594e4497
theils	w7_d594e4500
bleßirt,	w9_d594e4503
theils	w11_d594e4506
todt	w13_d594e4510
geschossen	w1_d594e4515
waren,	w3_d594e4518
ihre	w5_d594e4521
drey	w7_d594e4524
Partien	w9_d594e4527
Ca	w11_d594e4530
nonen	w1_d594e4536
im	w3_d594e4539
Stiche	w5_d594e4542
zu	w7_d594e4545
lassen	w9_d594e4548
genöhtiget	w11_d594e4551
wur	w13_d594e4555
den.	w1_d594e4560
Kaum	w3_d594e4563
hatten	w5_d594e4566
sich	w7_d594e4569
aber	w9_d594e4572
unsere	w11_d594e4575
Gre	w13_d594e4579
nadiers	w1_d594e4584
in	w3_d594e4587
Ordnung	w5_d594e4590
gestellet,	w7_d594e4593
als	w9_d594e4596
sie	w11_d594e4599
auf	w13_d594e4603
den	w1_d594e4608
Feind	w3_d594e4611
los	w5_d594e4614
eilten,	w7_d594e4617
wie	w9_d594e4620
sie	w11_d594e4623
ihm	w13_d594e4627
auf	w15_d594e4630
20,	w17_d594e4633
Schritte	w1_d594e4639
nahe	w3_d594e4642
waren,	w5_d594e4645
eine	w7_d594e4648
Salve	w9_d594e4651
auf	w11_d594e4654
ihn	w13_d594e4658
gaben,	w1_d594e4663
und	w3_d594e4666
ihn	w5_d594e4669
darauf	w7_d594e4672
mit	w9_d594e4675
gefälltem	w11_d594e4678
Ba	w13_d594e4682
jonette	w1_d594e4687
über	w3_d594e4690
den	w5_d594e4693
Hauffen	w7_d594e4696
warfen.	w9_d594e4699
Unsere	w11_d594e4702
Cavallerie,	w1_d594e4707
welche	w3_d594e4710
während	w5_d594e4713
dieser	w7_d594e4716
Zeit	w9_d594e4719
die	w11_d594e4722
Bellingischen	w1_d594e4728
Hussaren	w3_d594e4731
im	w5_d594e4734
Respect	w7_d594e4737
gehal	w9_d594e4740
ten	w1_d594e4745
hatte,	w3_d594e4748
rückte	w5_d594e4751
hierauf	w7_d594e4754
an,	w9_d594e4757
und	w11_d594e4760
verfolgte	w13_d594e4764
des	w1_d594e4769
Feindes	w3_d594e4772
Jnfanterie	w5_d594e4775
bis	w7_d594e4778
in	w9_d594e4781
den	w11_d594e4784
Wald,	w13_d594e4788
machte	w1_d594e4793
noch	w3_d594e4796
viele	w5_d594e4799
Gefangene,	w7_d594e4802
und	w9_d594e4805
nahm	w11_d594e4808
dem	w1_d594e4814
Feinde	w3_d594e4817
unsere	w5_d594e4820
beyden	w7_d594e4823
im	w9_d594e4826
Anfange	w11_d594e4829
ver	w13_d594e4833
lorne	w1_d594e4838
Partien	w3_d594e4841
Canonen	w5_d594e4844
wieder	w7_d594e4847
ab.	w9_d594e4850
Der	w11_d594e4853
Feind,	w1_d594e4858
salvirte	w3_d594e4861
sich	w5_d594e4864
unter	w7_d594e4867
Begünstigung	w9_d594e4870
der	w1_d594e4875
einbrechenden	w3_d594e4878
Nacht,	w5_d594e4881
und	w7_d594e4884
des	w9_d594e4887
ganzen	w11_d594e4890
Bellingischen	w1_d594e4896
Hussaren=regiments,	w3_d594e4899
in	w5_d594e4902
den	w7_d594e4905
Wald.	w1_d594e4910
Dieses	w3_d594e4913
rettete	w5_d594e4916
ihn	w7_d594e4919
von	w9_d594e4922
seinem	w11_d594e4925
sonst	w13_d594e4929
unvermeidlichen	w1_d594e4934
totalen	w3_d594e4937
Untergange.	w5_d594e4940
An	w7_d594e4943
Todten	w1_d594e4948
auf	w3_d594e4951
der	w5_d594e4954
feindlichen	w7_d594e4957
Seite	w9_d594e4960
rechnete	w11_d594e4963
man	w1_d594e4969
über	w3_d594e4972
150.	w5_d594e4975
Gemeine,	w7_d594e4978
und	w9_d594e4981
2.	w11_d594e4984
Officiers	w13_d594e4988
auf	w1_d594e4993
dem	w3_d594e4996
Platze;	w5_d594e4999
9.	w7_d594e5002
Officiers,	w9_d594e5005
und	w11_d594e5008
300.	w13_d594e5012
Mann	w1_d594e5017
frische,	w3_d594e5020
ausser	w5_d594e5023
einige	w7_d594e5026
80.	w9_d594e5029
Bleßirte	w11_d594e5032
haben	w1_d594e5037
wir	w3_d594e5040
gefangen	w5_d594e5043
genommen.	w7_d594e5046
Der	w9_d594e5049
grö	w11_d594e5052
</p>
<p id="p14_d594e5055">
ste	w1_d594e5059
Theil	w3_d594e5062
davon	w5_d594e5065
sind	w7_d594e5068
Grenadiers.	w9_d594e5071
Unser	w11_d594e5074
Verlust	w1_d594e5079
ist	w3_d594e5082
von	w5_d594e5085
gar	w7_d594e5088
geringer	w9_d594e5091
Bedeutung.	w11_d594e5094
Drey	w1_d594e5099
Officiers,	w3_d594e5102
und	w5_d594e5105
beynahe	w7_d594e5108
10.	w9_d594e5111
Mann	w11_d594e5114
sind	w1_d594e5120
bleßirt	w3_d594e5123
und	w5_d594e5126
todt.	w7_d594e5129
Der	w9_d594e5132
Feind	w11_d594e5135
hatte	w13_d594e5139
in	w15_d594e5142
dieser	w1_d594e5147
Affaire	w3_d594e5150
2.	w5_d594e5153
Bataillon	w7_d594e5156
Grenadiers,	w9_d594e5159
2.	w11_d594e5162
Bataillons	w1_d594e5167
vom	w3_d594e5170
Nordischen	w5_d594e5173
Regiment,	w7_d594e5176
2.	w9_d594e5179
Frey=compagnien,	w1_d594e5184
und	w3_d594e5187
alle	w5_d594e5190
Bellingische	w7_d594e5193
und	w1_d594e5199
Siettinische	w3_d594e5202
Hussaren,	w5_d594e5205
in	w7_d594e5208
allem	w9_d594e5211
4000.	w11_d594e5214
Mann;	w1_d594e5219
wohingegen	w3_d594e5222
wir	w5_d594e5225
kaum	w7_d594e5228
2000.	w9_d594e5231
hat	w11_d594e5234
ten.	w1_d594e5239
Des	w3_d594e5242
General	w5_d594e5245
Lybeckers	w7_d594e5248
Corps	w9_d594e5251
ist	w11_d594e5254
nun	w1_d594e5259
zu	w3_d594e5262
dem	w5_d594e5265
Sprengtsportischen	w7_d594e5268
gestossen.	w9_d594e5271
Beyde	w1_d594e5277
Detaschements	w3_d594e5280
verfolgten	w5_d594e5283
den	w7_d594e5286
Feind,	w9_d594e5289
welcher	w1_d594e5294
sich	w3_d594e5297
nach	w5_d594e5300
der	w7_d594e5303
Straßburgischen	w9_d594e5306
Seite	w11_d594e5309
gezogen	w1_d594e5314
hatte.	w3_d594e5317
</p>
<head id="h2_d594e5323">
Langensalza	w1_d594e5327
30.	w3_d594e5330
Septemb.	w5_d594e5333
</head>
<p id="p4_d594e5336">
Die	w1_d594e5340
Operationes	w3_d594e5343
deren	w5_d594e5346
Franzosen	w7_d594e5349
gehen	w9_d594e5352
im	w1_d594e5357
Hannöverischen	w3_d594e5360
bisdato	w5_d594e5363
noch	w7_d594e5366
immer	w9_d594e5369
sehr	w11_d594e5372
gut,	w1_d594e5377
vor	w3_d594e5380
3.	w5_d594e5383
Tagen	w7_d594e5386
ist	w9_d594e5389
das	w11_d594e5392
Schloß	w13_d594e5396
Scharz	w15_d594e5399
fels	w1_d594e5405
nach	w3_d594e5408
einem	w5_d594e5411
6=tägigen	w7_d594e5414
Bombardement	w9_d594e5417
an	w1_d594e5422
dieselben	w3_d594e5425
übergangen,	w5_d594e5428
und	w7_d594e5431
sie	w9_d594e5434
haben	w11_d594e5437
450.	w13_d594e5441
Mann	w1_d594e5446
nebst	w3_d594e5449
verschiedenen	w5_d594e5452
Canons	w7_d594e5455
und	w9_d594e5458
an	w11_d594e5461
derem	w1_d594e5466
Kriegs=vorrat	w3_d594e5469
darinnen	w5_d594e5472
gefunden,	w7_d594e5475
und	w1_d594e5481
erstere	w3_d594e5484
zu	w5_d594e5487
Kriegs=gefangene	w7_d594e5490
gemacht.	w9_d594e5493
Es	w1_d594e5498
gehet	w3_d594e5501
nunmehro	w5_d594e5504
über	w7_d594e5507
Wolfenbüttel	w9_d594e5510
her,	w11_d594e5513
welches	w1_d594e5518
auch	w3_d594e5521
bereits	w5_d594e5524
seit	w7_d594e5527
einigen	w9_d594e5530
Tagen	w11_d594e5533
be	w13_d594e5537
schossen	w1_d594e5542
wird.	w3_d594e5545
Die	w5_d594e5548
Armee	w7_d594e5551
Sr.	w9_d594e5554
Königl	w11_d594e5557
Hoheit	w1_d594e5563
des	w3_d594e5566
Prinz	w5_d594e5569
Xavier	w7_d594e5572
ruckt	w9_d594e5575
immer	w11_d594e5578
na	w13_d594e5582
her	w1_d594e5587
gegen	w3_d594e5590
Hanover.	w5_d594e5593
Jnzwischen	w7_d594e5596
machte	w9_d594e5599
abermal	w1_d594e5604
der	w3_d594e5607
Prinz	w5_d594e5610
Ferdinand	w7_d594e5613
bedenkliche	w9_d594e5616
Bewegungen,	w1_d594e5621
und	w3_d594e5624
hat	w5_d594e5627
sich	w7_d594e5630
der	w9_d594e5633
Erb=prinz	w11_d594e5636
von	w1_d594e5642
Braunschweig	w3_d594e5645
in	w5_d594e5648
der	w7_d594e5651
Gegend	w9_d594e5654
Buna	w11_d594e5657
hinwiederum	w1_d594e5662
mit	w3_d594e5665
der	w5_d594e5668
Haupt=armee	w7_d594e5671
vereinigl.	w9_d594e5674
Hamm	w1_d594e5679
wird	w3_d594e5682
indessen	w5_d594e5685
von	w7_d594e5688
einem	w9_d594e5691
Corps	w11_d594e5694
der	w13_d594e5698
Soubisischen	w1_d594e5703
Armee	w3_d594e5706
stark	w5_d594e5709
beschossen.	w7_d594e5712
Der	w9_d594e5715
Marschall	w1_d594e5721
Duc	w3_d594e5724
de	w5_d594e5727
Broglio	w7_d594e5730
hat	w9_d594e5733
sein	w11_d594e5736
Haupt	w13_d594e5740
quartier	w1_d594e5745
wiederum	w3_d594e5748
in	w5_d594e5751
Cassel,	w7_d594e5754
dessen	w9_d594e5757
Armee	w11_d594e5760
extendirt	w1_d594e5765
sich	w3_d594e5768
bis	w5_d594e5771
in	w7_d594e5774
die	w9_d594e5777
Gegend	w11_d594e5780
Eimbeck,	w13_d594e5784
der	w1_d594e5789
Graf	w3_d594e5792
von	w5_d594e5795
Stainville	w7_d594e5798
aber	w9_d594e5801
stehet	w11_d594e5804
in	w13_d594e5808
ei	w15_d594e5811
nem	w1_d594e5817
stark	w3_d594e5820
verschanzten	w5_d594e5823
Lager	w7_d594e5826
bey	w9_d594e5829
Cassel.	w11_d594e5832
Der	w1_d594e5837
Mylord	w3_d594e5840
Grauby	w5_d594e5843
hingegen	w7_d594e5846
hat	w9_d594e5849
sich	w11_d594e5852
wie	w13_d594e5856
der	w1_d594e5861
bis	w3_d594e5864
an	w5_d594e5867
den	w7_d594e5870
Winterkasten	w9_d594e5873
genähert,	w11_d594e5876
und	w13_d594e5880
man	w1_d594e5885
glaubt	w3_d594e5888
nun	w5_d594e5891
zuversichtig,	w7_d594e5894
daß	w9_d594e5897
es	w11_d594e5900
noch	w13_d594e5904
in	w15_d594e5907
die	w1_d594e5913
</p>
<p id="p8_d594e5918">
diesen	w1_d594e5922
Gegenden	w3_d594e5925
zur	w5_d594e5928
Bataille	w7_d594e5931
kommen	w9_d594e5934
dörfte.	w11_d594e5937
Gestern	w1_d594e5942
ist	w3_d594e5945
Mons.	w5_d594e5948
Grand=maison	w7_d594e5951
alhier	w9_d594e5954
ein	w11_d594e5957
gerückt,	w1_d594e5962
und	w3_d594e5965
läßt	w5_d594e5968
abermals	w7_d594e5971
viele	w9_d594e5974
Wagens	w11_d594e5977
im	w1_d594e5983
Thüringischen	w3_d594e5986
zusammentreiben.	w5_d594e5989
Aus	w1_d594e5994
dem	w3_d594e5997
Feld	w5_d594e6000
lager	w7_d594e6003
des	w9_d594e6006
Hrn	w11_d594e6009
Mar	w13_d594e6013
</p>
<head id="h2_d594e6019">
schalls	w1_d594e6023
Prinzen	w3_d594e6026
von	w5_d594e6029
Soubise,	w7_d594e6032
bey	w9_d594e6035
Coesfeld	w1_d594e6040
vom	w3_d594e6043
26.	w5_d594e6046
Sept.	w7_d594e6049
</head>
<p id="p4_d594e6052">
Heute	w1_d594e6056
wurden	w3_d594e6059
14.	w5_d594e6062
schwere	w7_d594e6065
Stücke	w9_d594e6068
nach	w11_d594e6071
Rhenen,	w1_d594e6076
zu	w3_d594e6079
dem	w5_d594e6082
Corps	w7_d594e6085
des	w9_d594e6088
Hrn.	w11_d594e6091
General	w13_d594e6095
leutenants,	w1_d594e6100
Marquis	w3_d594e6103
von	w5_d594e6106
Voyer,	w7_d594e6109
abgeführet.	w9_d594e6112
das	w1_d594e6118
Schloß	w3_d594e6121
Meppen	w5_d594e6124
soll	w7_d594e6127
angegriffen	w9_d594e6130
wer	w11_d594e6133
den,	w1_d594e6138
in	w3_d594e6141
welchem	w5_d594e6144
400.	w7_d594e6147
Mann	w9_d594e6150
nebst	w11_d594e6153
22.	w13_d594e6157
Stück=geschütze	w1_d594e6162
seyn	w3_d594e6165
sollen.	w5_d594e6168
Eine	w7_d594e6171
Brigade	w9_d594e6174
von	w1_d594e6179
der	w3_d594e6182
Reserve	w5_d594e6185
des	w7_d594e6188
Prinz	w9_d594e6191
von	w11_d594e6194
Conde	w13_d594e6198
wird	w15_d594e6201
den	w1_d594e6207
Herrn	w3_d594e6210
von	w5_d594e6213
Voyer	w7_d594e6216
vermutlich	w9_d594e6219
verstärken.	w11_d594e6222
</p>
<head id="h2_d594e6228">
Aus	w1_d594e6232
Hessen	w3_d594e6235
vom	w5_d594e6238
25.	w7_d594e6241
Sept.	w9_d594e6244
</head>
<p id="p4_d594e6247">
Nach	w1_d594e6251
einer	w3_d594e6254
Belagerung	w5_d594e6257
von	w7_d594e6260
8.	w9_d594e6263
Tägen,	w11_d594e6266
er	w13_d594e6270
gab	w1_d594e6275
sich	w3_d594e6278
das	w5_d594e6281
Schloß	w7_d594e6284
von	w9_d594e6287
Scheerfeld	w11_d594e6290
an	w13_d594e6294
den	w15_d594e6297
Hrn.	w1_d594e6302
von	w3_d594e6305
Vaubecourt;	w5_d594e6308
man	w7_d594e6311
fande	w9_d594e6314
daselbst	w11_d594e6317
2.	w1_d594e6323
Compagnien	w3_d594e6326
Jnvaliden,	w5_d594e6329
2.	w7_d594e6332
Compagnien	w9_d594e6335
Land=soldaten,	w1_d594e6340
und	w3_d594e6343
2.	w5_d594e6346
Jäger=compagnien;	w7_d594e6349
zusammen	w1_d594e6354
300	w3_d594e6357
und	w5_d594e6360
etliche	w7_d594e6363
Mann,	w9_d594e6366
nebst	w11_d594e6369
12.	w13_d594e6373
eisenen	w1_d594e6378
Stücken.	w3_d594e6381
</p>
<p id="p6_d594e6384">
Kaum	w1_d594e6388
ware	w3_d594e6391
das	w5_d594e6394
Schloß	w7_d594e6397
erobert,	w9_d594e6400
so	w11_d594e6403
wur	w13_d594e6407
den	w1_d594e6412
die	w3_d594e6415
Minirer	w5_d594e6418
abgeschicket,	w7_d594e6421
um	w9_d594e6424
es	w11_d594e6427
in	w13_d594e6431
die	w15_d594e6434
Luft	w1_d594e6439
zu	w3_d594e6442
sprengen.	w5_d594e6445
Der	w7_d594e6448
Herr	w9_d594e6451
Marschall,	w11_d594e6454
Herzog	w1_d594e6460
von	w3_d594e6463
Broglie,	w5_d594e6466
ist	w7_d594e6469
noch	w9_d594e6472
zu	w11_d594e6475
Cassel;	w13_d594e6479
sein	w15_d594e6482
Haupt=quartier	w1_d594e6487
aber	w3_d594e6490
wurde	w5_d594e6493
von	w7_d594e6496
Arzt	w9_d594e6499
nach	w11_d594e6502
Hardegsen	w1_d594e6507
verlegt.	w3_d594e6510
Man	w5_d594e6513
spricht,	w7_d594e6516
der	w9_d594e6519
Herr	w11_d594e6522
Marschall	w1_d594e6527
werde	w3_d594e6530
bald	w5_d594e6533
dahin	w7_d594e6536
abgehen.	w9_d594e6539
Der	w11_d594e6542
Herr	w1_d594e6548
Graf	w3_d594e6551
von	w5_d594e6554
der	w7_d594e6557
Lausitz	w9_d594e6560
war	w11_d594e6563
nicht	w13_d594e6567
zu	w15_d594e6570
Gan	w17_d594e6573
dersheim.	w1_d594e6578
Der	w3_d594e6581
Freyherr	w5_d594e6584
von	w7_d594e6587
Closen	w9_d594e6590
kam	w11_d594e6593
von	w1_d594e6598
seiner	w3_d594e6601
Unternehmung	w5_d594e6604
nach	w7_d594e6607
Goslar	w9_d594e6610
wie	w11_d594e6613
der	w1_d594e6618
zurück.	w3_d594e6621
Der	w5_d594e6624
Prinz	w7_d594e6627
Ferdinand	w9_d594e6630
von	w11_d594e6633
Braunschweig	w1_d594e6639
stehet	w3_d594e6642
noch	w5_d594e6645
bey	w7_d594e6648
Cassel	w9_d594e6651
in	w11_d594e6654
sei	w13_d594e6658
nem	w1_d594e6663
vorigen,	w3_d594e6666
nun	w5_d594e6669
aber	w7_d594e6672
stark	w9_d594e6675
verschanzten	w11_d594e6678
Lager,	w1_d594e6683
den	w3_d594e6686
Franzosen	w5_d594e6689
im	w7_d594e6692
Gesichte.	w9_d594e6695
Das	w11_d594e6698
Französische	w1_d594e6703
Kriegs=heer	w3_d594e6706
ist	w5_d594e6709
von	w7_d594e6712
der	w9_d594e6715
Wer	w11_d594e6718
ra	w1_d594e6724
bis	w3_d594e6727
Eimbeck	w5_d594e6730
dergestalt	w7_d594e6733
gelagert,	w9_d594e6736
daß	w11_d594e6739
jedes	w13_d594e6743
Corps	w1_d594e6748
dem	w3_d594e6751
andern	w5_d594e6754
die	w7_d594e6757
Hände	w9_d594e6760
bieten	w11_d594e6763
kan	w13_d594e6767
Der	w1_d594e6772
Herr	w3_d594e6775
Erb	w5_d594e6778
prinz	w7_d594e6781
von	w9_d594e6784
Braunschweig	w11_d594e6787
zo	w13_d594e6791
ge	w1_d594e6796
sich	w3_d594e6799
von	w5_d594e6802
Hof	w7_d594e6805
zurück;	w9_d594e6808
ungewiß	w11_d594e6811
aber	w13_d594e6815
ist	w15_d594e6818
es,	w1_d594e6824
wo	w3_d594e6827
er	w5_d594e6830
nun	w7_d594e6833
stehet,	w9_d594e6836
und	w11_d594e6839
ob	w13_d594e6843
er	w15_d594e6846
nicht	w17_d594e6849
sie	w19_d594e6852
</p>
<head id="h2_d594e6859">
genähert	w1_d594e6863
habe.	w3_d594e6866
Fortsetzung	w1_d594e6871
des	w3_d594e6874
Journals	w5_d594e6877
der	w7_d594e6880
Kö	w9_d594e6883
nigl.	w1_d594e6888
Französischen	w3_d594e6891
Armee	w5_d594e6894
unter	w7_d594e6897
dem	w1_d594e6903
Herrn	w3_d594e6906
Prinzen	w5_d594e6909
von	w7_d594e6912
Soubise	w9_d594e6915
vom	w1_d594e6920
22.	w3_d594e6923
