<doc id="wr_1757-07-27" attrs="word" year="1757" month="07" day="27" corpus="2">
<head id="h2_d164e3680">
London	w4_d164e3683
Herr	w3_d164e6406
d'Armentieres	w5_d164e6409
ist	w7_d164e6412
mit	w9_d164e6415
seinem	w11_d164e6418
Corps	w1_d164e6423
d	w3_d164e6426
Reserve	w5_d164e6429
nach	w7_d164e6432
Forstenberg	w9_d164e6435
zurücke	w11_d164e6438
in	w1_d164e6443
sein	w3_d164e6446
dasiges	w5_d164e6449
Lager	w7_d164e6452
eingeruckt;	w9_d164e6455
und	w11_d164e6458
der	w13_d164e6462
Herr	w1_d164e6468
Feld=marschall	w3_d164e6471
dEtrees	w5_d164e6474
hat	w7_d164e6477
allhier	w9_d164e6480
mit	w1_d164e6485
denen	w3_d164e6488
Corps	w5_d164e6491
deren	w7_d164e6494
Herren	w9_d164e6497
Souvry,	w11_d164e6500
und	w13_d164e6504
Chevert	w1_d164e6509
und	w3_d164e6512
mit	w5_d164e6515
einem	w7_d164e6518
Theil	w9_d164e6521
von	w11_d164e6524
dem	w13_d164e6528
Corps	w15_d164e6531
des	w1_d164e6536
Herrn	w3_d164e6539
Herzogs	w5_d164e6542
von	w7_d164e6545
Orleans,	w9_d164e6548
den	w11_d164e6551
Ueber	w13_d164e6555
rest	w1_d164e6561
von	w3_d164e6564
seiner	w5_d164e6567
Armee	w7_d164e6570
erwartet,	w9_d164e6573
welcher	w11_d164e6576
heute	w13_d164e6580
anlanget;	w1_d164e6585
und	w3_d164e6588
er	w5_d164e6591
hat	w7_d164e6594
zwey	w9_d164e6597
neue	w11_d164e6600
Brücken	w13_d164e6604
von	w1_d164e6609
Pontons	w3_d164e6612
bey	w5_d164e6615
Tonnenburg	w7_d164e6618
schlagen	w9_d164e6621
lassen.	w11_d164e6624
</p>
<p id="p18_d164e6627">
Auf	w1_d164e6631
die	w3_d164e6634
Nachrichten,	w5_d164e6637
welche	w7_d164e6640
der	w9_d164e6643
Herr	w11_d164e6646
Feld=marschall	w1_d164e6651
von	w3_d164e6654
denen	w5_d164e6657
Vorkehrungen	w7_d164e6660
zu	w9_d164e6663
Cassel	w1_d164e6668
erhalten,	w3_d164e6671
hat	w5_d164e6674
er	w7_d164e6677
für	w9_d164e6680
gut	w11_d164e6683
befunden,	w13_d164e6687
mit	w1_d164e6693
dem	w3_d164e6696
Marsch	w5_d164e6699
des	w7_d164e6702
Herrn	w9_d164e6705
Herzogs	w11_d164e6708
von	w13_d164e6712
Orleans,	w1_d164e6717
welcher	w3_d164e6720
mit	w5_d164e6723
28.	w7_d164e6726
Battaillons	w9_d164e6729
und	w11_d164e6732
32.	w1_d164e6737
Escadrons	w3_d164e6740
allschon	w5_d164e6743
den	w7_d164e6746
Weeg	w9_d164e6749
nacher	w11_d164e6752
Hessen	w1_d164e6757
angetretten	w3_d164e6760
hatten,	w5_d164e6763
innen	w7_d164e6766
halten	w9_d164e6769
zu	w11_d164e6772
lassen;	w1_d164e6778
und	w3_d164e6781
dieser	w5_d164e6784
Prinz	w7_d164e6787
bliebe	w9_d164e6790
bey	w11_d164e6793
der	w13_d164e6797
Ar	w15_d164e6800
mee,	w1_d164e6805
dahingegen	w3_d164e6808
wurde	w5_d164e6811
der	w7_d164e6814
Herr	w9_d164e6817
de	w11_d164e6820
Conta	w13_d164e6824
des	w1_d164e6829
mit	w3_d164e6832
4.	w5_d164e6835
Brigaden	w7_d164e6838
Jnfanterie,	w9_d164e6841
und	w11_d164e6844
20.	w13_d164e6848
Escadrons	w1_d164e6853
nacher	w3_d164e6856
Cassel	w5_d164e6859
abgeschickt.	w7_d164e6862
</p>
<p id="p20_d164e6865">
Der	w1_d164e6869
Herr	w3_d164e6872
Feld=marschall	w5_d164e6875
Pereuse,	w7_d164e6878
wel	w9_d164e6881
cher	w1_d164e6886
mit	w3_d164e6889
einer	w5_d164e6892
Brigade	w7_d164e6895
Jnfanterie,	w9_d164e6898
und	w11_d164e6901
ei	w13_d164e6905
ner	w1_d164e6910
deto	w3_d164e6913
Cavallerie	w5_d164e6916
von	w7_d164e6919
diesem	w9_d164e6922
Detasche	w11_d164e6925
ment	w1_d164e6931
nacher	w3_d164e6934
Minden	w5_d164e6937
sich	w7_d164e6940
begeben	w9_d164e6943
hatte,	w11_d164e6946
schick	w13_d164e6950
te	w1_d164e6955
gestern	w3_d164e6958
durch	w5_d164e6961
einen	w7_d164e6964
Currier	w9_d164e6967
dem	w11_d164e6970
comman	w13_d164e6974
direnden	w1_d164e6979
Herrn	w3_d164e6982
Feld	w5_d164e6985
marschall	w7_d164e6988
die	w9_d164e6991
Nachricht	w11_d164e6994
ein,	w1_d164e6999
daß	w3_d164e7002
dieser	w5_d164e7005
Platz	w7_d164e7008
eingenommen,	w9_d164e7011
und	w11_d164e7014
die	w1_d164e7020
darinnen	w3_d164e7023
sich	w5_d164e7026
befundene	w7_d164e7029
Hannöverische	w9_d164e7032
Besatzung,	w1_d164e7037
so	w3_d164e7040
in	w5_d164e7043
300.	w7_d164e7046
Mann	w9_d164e7049
bestanden,	w11_d164e7052
zu	w13_d164e7056
Kriegs=gefangenen	w1_d164e7061
gemacht	w3_d164e7064
worden	w5_d164e7067
wäre.	w7_d164e7070
</p>
<p id="p22_d164e7073">
Der	w1_d164e7077
Herr	w3_d164e7080
de	w5_d164e7083
Contades	w7_d164e7086
sendet	w9_d164e7089
diesen	w11_d164e7092
Au	w13_d164e7096
genblick	w1_d164e7101
den	w3_d164e7104
Bericht	w5_d164e7107
von	w7_d164e7110
Warperg	w9_d164e7113
ein,	w11_d164e7116
daß	w13_d164e7120
</p>
<p id="p26_d164e7126">
der	w1_d164e7130
Obriste	w3_d164e7133
Stall=meister	w5_d164e7136
des	w7_d164e7139
Land=grafens	w9_d164e7142
von	w1_d164e7147
Hessen	w3_d164e7150
bey	w5_d164e7153
ihme	w7_d164e7156
sich	w9_d164e7159
eingefunden,	w11_d164e7162
und	w13_d164e7166
ihme	w1_d164e7171
von	w3_d164e7174
der	w5_d164e7177
Unterwerfung	w7_d164e7180
des	w9_d164e7183
Landes	w11_d164e7186
und	w13_d164e7190
von	w1_d164e7196
verschiedenen	w3_d164e7199
Vorkehrungen,	w5_d164e7202
womit	w7_d164e7205
der	w9_d164e7208
Land=graf	w1_d164e7213
der	w3_d164e7216
Französischen	w5_d164e7219
Armee	w7_d164e7222
allen	w9_d164e7225
er	w11_d164e7228
forderlichen	w1_d164e7233
Vorschub	w3_d164e7236
nach	w5_d164e7239
denen	w7_d164e7242
Kräften	w9_d164e7245
seines	w1_d164e7250
Landes	w3_d164e7253
zu	w5_d164e7256
procuriren	w7_d164e7259
bereit	w9_d164e7262
wäre)	w11_d164e7265
die	w13_d164e7269
kräftigste	w1_d164e7275
Versicherungen	w3_d164e7278
gegeben	w5_d164e7281
hätte.	w7_d164e7284
Der	w9_d164e7287
Herr	w1_d164e7292
de	w3_d164e7295
Contades	w5_d164e7298
hat	w7_d164e7301
auch	w9_d164e7304
zur	w11_d164e7307
Sicherheit	w13_d164e7311
diesfälliger	w1_d164e7316
Convention	w3_d164e7319
bereits	w5_d164e7322
einige	w7_d164e7325
Geiseln	w9_d164e7328
erhalten,	w1_d164e7333
und	w3_d164e7336
unsere	w5_d164e7339
Trupen	w7_d164e7342
seynd	w9_d164e7345
nunmehro	w11_d164e7348
in	w1_d164e7354
vollem	w3_d164e7357
Marsch,	w5_d164e7360
um	w7_d164e7363
Cassel	w9_d164e7366
zu	w11_d164e7369
besetzen.	w13_d164e7373
</p>
<head id="h2_d164e7380">
Holzminden	w1_d164e7384
16.	w3_d164e7387
Julii.	w5_d164e7390
</head>
<p id="p4_d164e7393">
Heute	w1_d164e7397
ist	w3_d164e7400
das	w5_d164e7403
Königl.	w7_d164e7406
Französische	w9_d164e7409
Haupt	w11_d164e7412
quartier	w1_d164e7417
alhier,	w3_d164e7420
und	w5_d164e7423
da	w7_d164e7426
min	w9_d164e7429
die	w11_d164e7432
sämtliche	w13_d164e7436
Armee	w1_d164e7441
über	w3_d164e7444
die	w5_d164e7447
