<doc id="wr_1759-01-10" attrs="word" year="1759" month="01" day="10" corpus="2">
<head id="h2_d312e2914">
Culmbach	w1_d312e2918
Preußen	w1_d312e4281
sich	w3_d312e4284
anhero	w5_d312e4287
begeben	w7_d312e4290
müssen,	w9_d312e4293
sind	w11_d312e4296
heute	w1_d312e4301
Nachmittag	w3_d312e4304
der	w5_d312e4307
Ober=hof=meister	w7_d312e4310
des	w1_d312e4315
Chur=prinzen,	w3_d312e4318
der	w5_d312e4321
Herr	w7_d312e4324
Graf	w9_d312e4327
von	w11_d312e4330
Wa	w13_d312e4334
ckerbart,	w1_d312e4339
und	w3_d312e4342
der	w5_d312e4345
Herr	w7_d312e4348
geheime	w9_d312e4351
Raht,	w11_d312e4354
Graf	w13_d312e4358
von	w1_d312e4364
Rex,	w3_d312e4367
bereits	w5_d312e4370
hier	w7_d312e4373
eingetroffen.	w9_d312e4376
Zum	w11_d312e4379
bevorstehenden	w1_d312e4384
2.	w3_d312e4387
Januarii,	w5_d312e4390
als	w7_d312e4393
der	w9_d312e4396
Jnve	w11_d312e4399
stitur	w1_d312e4404
Sr.	w3_d312e4407
Königl.	w5_d312e4410
Hoheit,	w7_d312e4413
des	w9_d312e4416
Herzogs	w11_d312e4419
von	w13_d312e4423
Curland,	w1_d312e4428
werden	w3_d312e4431
bereits	w5_d312e4434
starke	w7_d312e4437
Veranstal	w9_d312e4440
tungen	w1_d312e4446
gemacht.	w3_d312e4449
Unter	w5_d312e4452
andern	w7_d312e4455
wird	w9_d312e4458
an	w11_d312e4461
einem	w1_d312e4466
Feuer=werke	w3_d312e4469
stark	w5_d312e4472
gearbeitet,	w7_d312e4475
und	w9_d312e4478
der	w11_d312e4481
Woywode	w1_d312e4486
von	w3_d312e4489
Lublin,	w5_d312e4492
Fürst	w7_d312e4495
Lubomirsky,	w9_d312e4498
wird	w1_d312e4503
dabey	w3_d312e4506
seinen	w5_d312e4509
ganzen	w7_d312e4512
Pallast	w9_d312e4515
illumini	w11_d312e4518
ren	w1_d312e4524
lassen.	w3_d312e4527
Am	w5_d312e4530
Dienstage	w7_d312e4533
früh	w9_d312e4536
ist	w11_d312e4539
die	w13_d312e4543
Equi	w15_d312e4546
page	w1_d312e4551
Sr.	w3_d312e4554
Königl.	w5_d312e4557
Hoheit,	w7_d312e4560
des	w9_d312e4563
Herzogs	w11_d312e4566
von	w13_d312e4570
Curland,	w1_d312e4575
bereits	w3_d312e4578
von	w5_d312e4581
hier	w7_d312e4584
nach	w9_d312e4587
Mietau	w11_d312e4590
auf	w13_d312e4594
gebrochen.	w1_d312e4599
</p>
<head id="h2_d312e4605">
Aus	w1_d312e4609
Thüringen	w3_d312e4612
28.	w5_d312e4615
Dec.	w7_d312e4618
1758.	w9_d312e4621
</head>
<p id="p4_d312e4624">
Jn	w1_d312e4628
verschiedenen	w3_d312e4631
Orten	w5_d312e4634
dieser	w7_d312e4637
Gegend,	w9_d312e4640
als	w1_d312e4645
Beichtlingen,	w3_d312e4648
Battgendorf,	w5_d312e4651
Cölleda,	w7_d312e4654
Neuhaus	w1_d312e4659
und	w3_d312e4662
Grossen=monra	w5_d312e4665
sind	w7_d312e4668
am	w9_d312e4671
23.	w11_d312e4674
dieses	w1_d312e4680
Königlich=Preußische	w3_d312e4683
Trupen,	w5_d312e4686
so	w7_d312e4689
in	w9_d312e4692
Cavallerie	w1_d312e4697
bestanden,	w3_d312e4700
einige	w5_d312e4703
100.	w7_d312e4706
Mann	w9_d312e4709
stark	w1_d312e4714
in	w3_d312e4717
manchem	w5_d312e4720
Orte	w7_d312e4723
eingerückt.	w9_d312e4726
Jn	w11_d312e4729
Er	w13_d312e4733
furt	w1_d312e4738
hat	w3_d312e4741
man	w5_d312e4744
wegen	w7_d312e4747
der	w9_d312e4750
obigen	w11_d312e4753
Trupenan	w13_d312e4757
rückung	w1_d312e4763
den	w3_d312e4766
25.	w5_d312e4769
dieses	w7_d312e4772
den	w9_d312e4775
ganzen	w11_d312e4778
Tag	w13_d312e4782
das	w15_d312e4785
Kempfer=thor	w1_d312e4790
verschlossen	w3_d312e4793
gehalten,	w5_d312e4796
vor	w7_d312e4799
hero	w1_d312e4804
aber	w3_d312e4807
solches	w5_d312e4810
stark	w7_d312e4813
mit	w9_d312e4816
Canonen	w11_d312e4819
besetzt.	w13_d312e4823
</p>
<head id="h2_d312e4830">
Gotha	w1_d312e4834
29.	w3_d312e4837
December	w5_d312e4840
1758.	w7_d312e4843
</head>
<p id="p4_d312e4846">
Am	w1_d312e4850
26.	w3_d312e4853
zu	w5_d312e4856
Mittag	w7_d312e4859
sind	w9_d312e4862
in	w11_d312e4865
Langensalze	w13_d312e4869
600.	w1_d312e4874
Königlich=Preußische	w3_d312e4877
Küraßiers	w5_d312e4880
ein	w7_d312e4883
gerückt,	w1_d312e4888
und	w3_d312e4891
in	w5_d312e4894
Schleitz	w7_d312e4897
und	w9_d312e4900
Weyda	w11_d312e4903
stehen	w13_d312e4907
gleichfals	w1_d312e4913
Königlich=Preußische	w3_d312e4916
Trupen.	w5_d312e4919
Die	w7_d312e4922
Kaiserliche	w1_d312e4927
und	w3_d312e4930
Reichs=trupen	w5_d312e4933
aber	w7_d312e4936
halten	w9_d312e4939
noch	w1_d312e4944
Lautenberg,	w3_d312e4947
Saalburg	w5_d312e4950
und	w7_d312e4953
jene	w9_d312e4956
Ge	w11_d312e4959
gend	w1_d312e4964
besetzt.	w3_d312e4967
Jn	w1_d312e4973
der	w3_d312e4976
abgewichenen	w5_d312e4979
Don	w7_d312e4982
nerstags=nacht	w1_d312e4987
ist	w3_d312e4990
die	w5_d312e4993
Berg=stadt	w7_d312e4996
Jlmenau,	w9_d312e4999
</p>
<p id="p10_d312e5012">
welche	w1_d312e5016
vor	w3_d312e5019
6.	w5_d312e5022
Jahren	w7_d312e5025
fast	w9_d312e5028
gänzlich	w11_d312e5031
in	w13_d312e5035
die	w15_d312e5038
Asche	w1_d312e5043
geleget	w3_d312e5046
wurde,	w5_d312e5049
mit	w7_d312e5052
einem	w9_d312e5055
schweren	w11_d312e5058
Brand	w1_d312e5063
von	w3_d312e5066
neuem	w5_d312e5069
heimgesucht	w7_d312e5072
worden.	w9_d312e5075
</p>
<head id="h2_d312e5081">
Extract=schreiben	w1_d312e5085
von	w3_d312e5088
Barmins	w5_d312e5091
kurim	w1_d312e5096
7.	w3_d312e5099
Dec.	w5_d312e5102
1758.	w7_d312e5105
</head>
<p id="p4_d312e5108">
Jch	w1_d312e5112
muß	w3_d312e5115
ihnen	w5_d312e5118
noch	w7_d312e5121
Nachricht	w9_d312e5124
geben,	w11_d312e5127
wie	w1_d312e5132
mirs	w3_d312e5135
seit	w5_d312e5138
der	w7_d312e5141
Ruck=kehr	w9_d312e5144
der	w11_d312e5147
Russen	w13_d312e5151
ge	w15_d312e5154
gangen.	w1_d312e5159
Die	w1_d312e5165
Menge	w3_d312e5168
ihrer	w5_d312e5171
Bagage	w7_d312e5174
und	w9_d312e5177
die	w1_d312e5182
grosse	w3_d312e5185
Anzahl	w5_d312e5188
ihrer	w7_d312e5191
Cosacken	w9_d312e5194
werden	w11_d312e5197
uns	w1_d312e5202
ihre	w3_d312e5205
Gegenwart	w5_d312e5208
noch	w7_d312e5211
lang	w9_d312e5214
erinnerlich	w11_d312e5217
machen.	w1_d312e5222
Jhr	w3_d312e5225
Lager	w5_d312e5228
hat	w7_d312e5231
dreymal	w9_d312e5234
auf	w11_d312e5237
eine	w13_d312e5241
halbe	w1_d312e5247
Stunde	w3_d312e5250
an	w5_d312e5253
meinem	w7_d312e5256
Hause	w9_d312e5259
gestanden.	w11_d312e5262
Jhre	w1_d312e5267
Officiers	w3_d312e5270
sind	w5_d312e5273
die	w7_d312e5276
edelst	w9_d312e5279
und	w11_d312e5282
groß	w13_d312e5286
mütigste	w1_d312e5291
Seelen.	w3_d312e5294
Sieben	w5_d312e5297
Hussaren	w7_d312e5300
raub	w9_d312e5303
ten	w1_d312e5308
mir	w3_d312e5311
das	w5_d312e5314
beste	w7_d312e5317
Pferd	w9_d312e5320
aus	w11_d312e5323
dem	w13_d312e5327
Stall.	w15_d312e5330
Jch	w1_d312e5336
schrieb	w3_d312e5339
es	w5_d312e5342
dem	w7_d312e5345
Herrn	w9_d312e5348
Major	w11_d312e5351
Volkner,	w13_d312e5355
den	w1_d312e5360
ich	w3_d312e5363
die	w5_d312e5366
Tage	w7_d312e5369
meines	w9_d312e5372
Lebens	w11_d312e5375
nur	w13_d312e5379
eine	w15_d312e5382
viertel	w1_d312e5387
Stunde	w3_d312e5390
gesprochen	w5_d312e5393
hatte.	w7_d312e5396
Er	w9_d312e5399
schikte	w11_d312e5402
sogleich	w1_d312e5407
das	w3_d312e5410
Meinige	w5_d312e5413
zurück,	w7_d312e5416
und	w9_d312e5419
ließ	w11_d312e5422
die	w13_d312e5426
Schuldigen	w1_d312e5432
rechtschaffen	w3_d312e5435
züchtigen.	w5_d312e5438
Jch	w7_d312e5441
wolte	w1_d312e5446
ihm	w3_d312e5449
nachhero	w5_d312e5452
eine	w7_d312e5455
Erkanntlichkeit	w9_d312e5458
ma	w11_d312e5461
chen;	w1_d312e5466
er	w3_d312e5469
aber	w5_d312e5472
nahm	w7_d312e5475
nichts	w9_d312e5478
an,	w11_d312e5481
und	w13_d312e5485
sagter	w15_d312e5488
ich	w1_d312e5493
solle	w3_d312e5496
nur	w5_d312e5499
für	w7_d312e5502
ihn	w9_d312e5505
betten.	w11_d312e5508
Neulich	w13_d312e5512
hat	w15_d312e5515
ten	w1_d312e5521
wir	w3_d312e5524
hier	w5_d312e5527
2.	w7_d312e5530
Regimenter	w9_d312e5533
Küraßiers.	w11_d312e5536
Man	w1_d312e5541
stahl	w3_d312e5544
mir	w5_d312e5547
des	w7_d312e5550
Nachts	w9_d312e5553
meine	w11_d312e5556
Kuh,	w13_d312e5560
und	w1_d312e5565
schlachtete	w3_d312e5568
sie.	w5_d312e5571
Jch	w7_d312e5574
klagte	w9_d312e5577
es	w11_d312e5580
dem	w13_d312e5584
Bri	w15_d312e5587
gadier;	w1_d312e5592
dieser	w3_d312e5595
stellte	w5_d312e5598
die	w7_d312e5601
genaueste	w9_d312e5604
Nachfra	w11_d312e5607
ge	w1_d312e5613
an,	w3_d312e5616
und	w5_d312e5619
liesse	w7_d312e5622
mir	w9_d312e5625
meinen	w11_d312e5628
Schaden	w13_d312e5632
er	w15_d312e5635
setzen.	w1_d312e5640
Ein	w3_d312e5643
Rußischer	w5_d312e5646
Prinz,	w7_d312e5649
von	w9_d312e5652
einem	w11_d312e5655
der	w1_d312e5660
erstern	w3_d312e5663
Häuser,	w5_d312e5666
der	w7_d312e5669
sehr	w9_d312e5672
wol	w11_d312e5675
Fran	w13_d312e5679
zösisch,	w1_d312e5684
aber	w3_d312e5687
wenig	w5_d312e5690
Teutsch	w7_d312e5693
spricht,	w9_d312e5696
kam	w11_d312e5699
zu	w1_d312e5705
mir	w3_d312e5708
zu	w5_d312e5711
logiren,	w7_d312e5714
und	w9_d312e5717
fragte	w11_d312e5720
mich	w13_d312e5724
alle	w15_d312e5727
Morgen,	w1_d312e5732
ob	w3_d312e5735
mir	w5_d312e5738
nichts	w7_d312e5741
widriges	w9_d312e5744
die	w11_d312e5747
Nacht	w13_d312e5751
über	w1_d312e5756
begegnet	w3_d312e5759
seye.	w5_d312e5762
Er	w7_d312e5765
stellte	w9_d312e5768
Salvegar	w11_d312e5771
den	w1_d312e5776
auf	w3_d312e5779
allen	w5_d312e5782
Seiten	w7_d312e5785
aus;	w9_d312e5788
ja	w11_d312e5791
er	w13_d312e5795
war	w15_d312e5798
so	w17_d312e5801
groß=mütig,	w1_d312e5807
und	w3_d312e5810
wolte	w5_d312e5813
alles	w7_d312e5816
bezahlen,	w9_d312e5819
was	w11_d312e5822
man	w1_d312e5827
umsonst	w3_d312e5830
zu	w5_d312e5833
geben	w7_d312e5836
schuldig	w9_d312e5839
ist.	w11_d312e5842
Kan	w13_d312e5846
man	w1_d312e5851
etwas	w3_d312e5854
Huldreichers	w5_d312e5857
von	w7_d312e5860
einem	w9_d312e5863
Feind	w11_d312e5866
erwarten,	w1_d312e5871
und	w3_d312e5874
sollte	w5_d312e5877
mich	w7_d312e5880
die	w9_d312e5883
Erkanntlich	w11_d312e5886
keit	w1_d312e5892
nicht	w3_d312e5895
antreiben;	w5_d312e5898
solches	w7_d312e5901
offentlich	w9_d312e5904
zu	w11_d312e5907
be	w13_d312e5911
kennen.	w1_d312e5916
Jch	w3_d312e5919
verharre	w5_d312e5922
rc.	w7_d312e5925
</p>
<head id="h2_d312e5931">
Madrid	w1_d312e5935
10.	w3_d312e5938
Dec.	w5_d312e5941
1758.	w7_d312e5944
</head>
<p id="p4_d312e5947">
Die	w1_d312e5951
Nachrichten	w3_d312e5954
von	w5_d312e5957
Villa	w7_d312e5960
Viciosa	w9_d312e5963
ge	w11_d312e5966
ben	w1_d312e5971
uns	w3_d312e5974
von	w5_d312e5977
dem	w7_d312e5980
Zustand	w9_d312e5983
des	w11_d312e5986
König	w13_d312e5990
noch	w15_d312e5993
keine	w1_d312e5998
recht	w3_d312e6001
versicherte	w5_d312e6004
Hofnung.	w7_d312e6007
Bald	w9_d312e6010
heist	w11_d312e6013
es,	w1_d312e6019
Se.	w3_d312e6022
Majestät	w5_d312e6025
befinden	w7_d312e6028
sich	w9_d312e6031
besser,	w11_d312e6034
aber	w1_d312e6039
doch	w3_d312e6042
mit	w5_d312e6045
so	w7_d312e6048
mißlichen	w9_d312e6051
Umständen,	w11_d312e6054
daß	w13_d312e6058
man	w1_d312e6063
nicht	w3_d312e6066
recht	w5_d312e6069
darauf	w7_d312e6072
fussen	w9_d312e6075
kan;	w11_d312e6078
bald	w13_d312e6082
heist	w1_d312e6087
es	w3_d312e6090
wieder,	w5_d312e6093
es	w7_d312e6096
seye	w9_d312e6099
schlimmer	w11_d312e6102
wor	w13_d312e6106
den;	w1_d312e6112
so,	w3_d312e6115
daß	w5_d312e6118
getreuen	w7_d312e6121
Unterthanen,	w9_d312e6124
die	w11_d312e6127
ih	w13_d312e6131
ren	w1_d312e6136
Monarchen	w3_d312e6139
lieben,	w5_d312e6142
nichts	w7_d312e6145
übrig	w9_d312e6148
blei	w11_d312e6151
bet,	w1_d312e6156
als	w3_d312e6159
sich	w5_d312e6162
zu	w7_d312e6165
GOtt	w9_d312e6168
zu	w11_d312e6171
wenden,	w13_d312e6175
und	w15_d312e6178
Hülfe	w1_d312e6183
bey	w3_d312e6186
dem	w5_d312e6189
zu	w7_d312e6192
suchen,	w9_d312e6195
wo	w11_d312e6198
allein	w13_d312e6202
Hülfe	w15_d312e6205
ist.	w1_d312e6211
Zu	w3_d312e6214
diesem	w5_d312e6217
Ende	w7_d312e6220
sind	w9_d312e6223
bereits	w11_d312e6226
am	w13_d312e6230
30.	w15_d312e6233
vorigen	w1_d312e6238
Monats	w3_d312e6241
offentliche	w5_d312e6244
Gebette	w7_d312e6247
in	w9_d312e6250
allen	w11_d312e6253
Kirchen	w1_d312e6258
dieser	w3_d312e6261
Stadt	w5_d312e6264
angegangen,	w7_d312e6267
welche	w9_d312e6270
auch	w1_d312e6275
in	w3_d312e6278
allen	w5_d312e6281
Städten	w7_d312e6284
des	w9_d312e6287
Reichs	w11_d312e6290
fortge	w13_d312e6294
setzet	w1_d312e6300
werden.	w3_d312e6303
Alle	w5_d312e6306
Tribunalien	w7_d312e6309
der	w9_d312e6312
Justitz,	w11_d312e6315
und	w1_d312e6320
alle	w3_d312e6323
Bruderschaften	w5_d312e6326
haben	w7_d312e6329
schon	w9_d312e6332
angefan	w11_d312e6335
gen,	w1_d312e6340
sich	w3_d312e6343
in	w5_d312e6346
Proceßion	w7_d312e6349
in	w9_d312e6352
diese	w11_d312e6355
Kirchen	w13_d312e6359
zu	w15_d312e6362
erheben,	w1_d312e6367
und	w3_d312e6370
werden	w5_d312e6373
sich	w7_d312e6376
auch	w9_d312e6379
ferner	w11_d312e6382
da	w13_d312e6386
hin	w1_d312e6392
begeben,	w3_d312e6395
um	w5_d312e6398
in	w7_d312e6401
der	w9_d312e6404
Gemeinschaft	w11_d312e6407
ei	w13_d312e6411
nes	w1_d312e6416
unzahlbaren	w3_d312e6419
Volks,	w5_d312e6422
welches	w7_d312e6425
sich	w9_d312e6428
täg	w11_d312e6431
lich	w1_d312e6436
versammelt,	w3_d312e6439
für	w5_d312e6442
die	w7_d312e6445
Herstellung	w9_d312e6448
und	w11_d312e6451
Gesundheit	w1_d312e6456
ihres	w3_d312e6459
Königs	w5_d312e6462
und	w7_d312e6465
Herrn	w9_d312e6468
an	w11_d312e6471
dächtigst	w1_d312e6477
zu	w3_d312e6480
betten.	w5_d312e6483
</p>
<head id="h2_d312e6489">
Königsaal	w1_d312e6493
28.	w3_d312e6496
Dec.	w5_d312e6499
1758.	w7_d312e6502
</head>
<p id="p4_d312e6505">
Nachdem	w1_d312e6509
Se.	w3_d312e6512
Excellenz,	w5_d312e6515
Herr	w7_d312e6518
General	w9_d312e6521
feld=zeug=meister,	w1_d312e6526
Baron	w3_d312e6529
von	w5_d312e6532
