<doc id="edoc_wd_1777-06-07" attrs="word" year="1777" month="06" day="07" corpus="1">
<head id="hl1">
Madrid	w42
sich	w356
mit	w357
ihm	w358
eine	w359
Viertelstunde	w360
lang	w361
<g/>
,
und	w363
geru=hete	w364
<g/>
=
ihm	w366
zu	w367
sagen	w368
<g/>
,
daß	w370
sie	w371
ihn	w372
öfters	w373
zu	w374
sich	w375
berufen	w376
lassen	w377
würde	w378
<g/>
.
Unter	w380
den	w381
losgelassenen	w382
Ordensmännern	w383
befanden	w384
sich	w385
zwey	w386
ganze	w387
20	w388
Jahre	w389
hindurch	w390
ein=gesperrte	w391
<g/>
=
Kapuziner	w393
<g/>
,
einer	w395
aus	w396
Nizza	w397
in	w398
der	w399
Provence	w400
<g/>
,
der	w402
andere	w403
aus	w404
der	w405
Land=schaft	w406
<g/>
=
Umbrien	w408
gebürtig	w409
<g/>
.
Sie	w411
hatten	w412
sich	w413
eben	w414
beym	w415
Anfange	w416
des	w417
Trauerspiels	w418
<g/>
,
so	w420
Pombal	w421
mit	w422
den	w423
gewesenen	w424
Jesuiten	w425
vorhatte	w426
<g/>
,
an	w428
diese	w429
Geistlichen	w430
gewendet	w431
<g/>
,
um	w433
eine	w434
von	w435
ihnen	w436
bey	w437
Hofe	w438
eingereichte	w439
Bittschrift	w440
durch	w441
Unterstützung	w442
derselben	w443
in	w444
gedeiliche	w445
Wege	w446
einzuleiten	w447
<g/>
.
Dieses	w449
ward	w450
von	w451
dem	w452
Despoten	w453
Carvalho	w454
als	w455
ein	w456
Verbrechen	w457
seines	w458
beleidigten	w459
Anse=hens	w460
<g/>
=
betrachtet	w462
<g/>
,
und	w464
abgestraft	w465
<g/>
.
Er	w467
hatte	w468
die	w469
Kirche	w470
der	w471
Väter	w472
Philippiner	w473
<g/>
,
die	w475
er	w476
haßte	w477
<g/>
,
und	w479
sie	w480
die	w481
Quintessenz	w482
der	w483
Jesuiten	w484
zu	w485
nennen	w486
pflegte	w487
<g/>
,
zusper=ren	w489
<g/>
=
lassen	w491
<g/>
;
aber	w493
die	w494
Monarchinn	w495
erkann=te	w496
<g/>
=
ihre	w498
Unschuld	w499
<g/>
,
und	w501
ihre	w502
Kirche	w503
steht	w504
nun	w505
wieder	w506
offen	w507
<g/>
.
Endlich	w509
hoffet	w510
man	w511
die	w512
ausschließende	w513
Gesellschaft	w514
<g/>
,
die	w516
in	w517
der	w518
Stadt	w519
O	w520
<g/>
=
Porto	w522
mit	w523
den	w524
Weinen	w525
vom	w526
Ober	w527
<g/>
=
Duero	w529
handelte	w530
<g/>
,
bald	w532
aufgehoben	w533
zu	w534
sehen	w535
<g/>
.
Der	w537
Hof	w538
läßt	w539
ihre	w540
Rechnun=gen	w541
<g/>
=
untersuchen	w543
<g/>
,
und	w545
will	w546
alle	w547
Jnteres=senten	w548
<g/>
=
schadlos	w550
halten	w551
<g/>
.
</p>
<p id="p9">
Ein	w553
aus	w554
Fernambuc	w555
abgesegletes	w556
Fahr=zeug	w557
<g/>
=
ist	w559
am	w560
15	w561
<g/>
.
April	w563
im	w564
Tagusstrohme	w565
eingelaufen	w566
<g/>
.
Laut	w568
seinen	w569
mitgebrachten	w570
Briefschaften	w571
befindet	w572
sich	w573
die	w574
Allerheili Allerheiligenbay	w575
<g/>
=
</p>
<p id="p10">
genbay	w577
in	w578
einem	w579
solchen	w580
Vertheidigungs=stande	w581
<g/>
=
<g/>
,
daß	w584
man	w585
daselbst	w586
einem	w587
feindlichen	w588
Angriffe	w589
getrost	w590
die	w591
Stirn	w592
bieten	w593
kann	w594
<g/>
.
</p>
<head id="hl2">
Londen	w596
<g/>
,
den	w598
20	w599
<g/>
.
May	w601
<g/>
.
</head>
<p id="p11">
Man	w603
sieht	w604
hier	w605
einen	w606
Brief	w607
aus	w608
Ja=maica	w609
<g/>
=
<g/>
,
nach	w612
dessen	w613
Jnnhalt	w614
das	w615
Schifs=volk	w616
<g/>
=
von	w618
einem	w619
amerikanischen	w620
Schiffe	w621
<g/>
,
Rori	w623
<g/>
=
Tori	w625
<g/>
,
an	w627
dem	w628
östlichen	w629
Theile	w630
be=sagter	w631
<g/>
=
Jnsel	w633
ausgesetzt	w634
<g/>
,
und	w636
eine	w637
Men=ge	w638
<g/>
=
Viehes	w640
und	w641
Mundvorraths	w642
aus	w643
ei=ner	w644
<g/>
=
Pflanzung	w646
mitgenommen	w647
hat	w648
<g/>
.
Der	w650
Kaper	w651
giebt	w652
es	w653
eine	w654
erstaunliche	w655
Menge	w656
<g/>
,
die	w658
in	w659
allen	w660
Gewässern	w661
zum	w662
Vorschein	w663
kommen	w664
<g/>
.
Die	w666
Berichte	w667
aus	w668
Jrland	w669
füh=ren	w670
<g/>
=
deshalb	w672
häufige	w673
Klagen	w674
<g/>
,
und	w676
mel=den	w677
<g/>
=
<g/>
,
daß	w680
gleichsam	w681
im	w682
Angesichte	w683
der	w684
Hafen	w685
des	w686
Königreichs	w687
Schiffe	w688
aufge=bracht	w689
<g/>
=
worden	w691
sind	w692
<g/>
.
Es	w694
bestättigt	w695
sich	w696
auch	w697
<g/>
,
daß	w699
5	w700
dergleichen	w701
Kaper	w702
auf	w703
der	w704
Seehöhe	w705
von	w706
Corke	w707
und	w708
Kinsale	w709
kreu=zen	w710
<g/>
=
<g/>
.
Dagegen	w713
hat	w714
die	w715
Regierung	w716
das	w717
Vergnügen	w718
<g/>
,
zu	w720
vernehmen	w721
<g/>
,
daß	w723
nach	w724
den	w725
Hafen	w726
Frankreichs	w727
der	w728
Befehl	w729
ge=fertigt	w730
<g/>
=
worden	w732
sey	w733
<g/>
,
alle	w735
für	w736
die	w737
britti=schen	w738
<g/>
=
Kolonien	w740
befrachtete	w741
Nationalschif=fe	w742
<g/>
=
daselbst	w744
anzuhalten	w745
<g/>
.
Solchemnach	w747
sey	w748
das	w749
Schif	w750
<g/>
,
la	w752
Miguonne	w753
<g/>
,
von	w755
500	w756
Ton=nen	w757
<g/>
=
<g/>
,
welches	w760
verschiedene	w761
Officiere	w762
<g/>
,
auch	w764
Kriegsmunition	w765
an	w766
seinem	w767
Borde	w768
hatte	w769
<g/>
,
und	w771
von	w772
Havre	w773
de	w774
Grace	w775
nach	w776
Südka=rolina	w777
<g/>
=
abgehen	w779
wollte	w780
<g/>
,
in	w782
dem	w783
Hafen	w784
Morlaix	w785
<g/>
,
wo	w787
es	w788
den	w789
Anker	w790
geworfen	w791
hatte	w792
<g/>
,
in	w794
Abschlag	w795
gelegt	w796
worden	w797
<g/>
.
</p>
<p id="p12">
Am	w799
16	w800
<g/>
.
erhielten	w802
12	w803
öffentliche	w804
und	w805
35	w806
Privatbills	w807
in	w808
dem	w809
Oberhause	w810
durch	w811
eine	w812
königliche	w813
Kommißion	w814
die	w815
Einwilligung	w816
Sr	w817
<g/>
.
Majestät	w819
<g/>
.
Nachdem	w821
das	w822
Unterhaus	w823
verschiedene	w824
auf	w825
gewisse	w826
Zeitfrist	w827
dauern=de	w828
<g/>
=
und	w830
ihrer	w831
Endschaft	w832
nahe	w833
kommende	w834
Gesetze	w835
zu	w836
erneuern	w837
beliebt	w838
<g/>
,
ward	w840
im	w841
Ausschusse	w842
beschlossen	w843
<g/>
,
1	w845
Million	w846
Pfund	w847
Sterling	w848
zur	w849
Abführung	w850
eines	w851
Theiles	w852
von	w853
den	w854
Schulden	w855
des	w856
Seestaats	w857
<g/>
,
und	w859
4000	w860
Pfund	w861
zum	w862
Unterhalte	w863
der	w864
ver=führten	w865
<g/>
=
Matrosen	w867
in	w868
dem	w869
Spitale	w870
zu	w871
Greenwich	w872
einzuwilligen	w873
<g/>
.
Der	w875
Kammer	w876
wurde	w877
auch	w878
von	w879
Seiten	w880
der	w881
ostindischen	w882
Kompagnie	w883
der	w884
ganze	w885
Verlauf	w886
der	w887
Sa=chen	w888
<g/>
=
zu	w890
Madras	w891
vorgelegt	w892
<g/>
.
Hierauf	w894
ver verfügte	w895
<g/>
=
</p>
<p id="p13">
fügte	w897
das	w898
Haus	w899
<g/>
,
daß	w901
die	w902
afrikanische	w903
Handlungsgesellschaft	w904
mit	w905
ihren	w906
Rech=nungen	w907
<g/>
=
und	w909
dem	w910
Zustande	w911
ihrer	w912
Hand=lung	w913
<g/>
=
auch	w915
einkommen	w916
sollte	w917
<g/>
.
</p>
<head id="hl3">
Londen	w919
<g/>
,
den	w921
23	w922
<g/>
.
May	w924
<g/>
.
</head>
<p id="p14">
Vorgestern	w926
ward	w927
<g/>
,
in	w929
Gegenwart	w930
des	w931
Königs	w932
<g/>
,
ein	w934
großer	w935
Staatsrath	w936
zu	w937
St	w938
<g/>
.
James	w940
gehalten	w941
<g/>
.
Der	w943
Handel	w944
in	w945
Ame=rika	w946
<g/>
=
ist	w948
sonder	w949
Zweifel	w950
auch	w951
darinn	w952
ge=dacht	w953
<g/>
=
worden	w955
<g/>
.
Jn	w957
betreff	w958
der	w959
Aussöh=nungsvorschläge	w960
<g/>
=
heißt	w962
es	w963
dermalen	w964
<g/>
,
sie	w966
seyn	w967
nicht	w968
so	w969
beschaffen	w970
<g/>
,
daß	w972
sie	w973
ohne	w974
ei=ne	w975
<g/>
=
wesentliche	w977
Mäßigung	w978
angenommen	w979
werden	w980
könnten	w981
<g/>
,
obgleich	w983
beyde	w984
Theile	w985
diesem	w986
kostspieligen	w987
Kriege	w988
gerne	w989
ein	w990
En=de	w991
<g/>
=
machten	w993
<g/>
.
Was	w995
unsere	w996
Nouvellisten	w997
heute	w998
versicheren	w999
<g/>
,
geben	w1001
sie	w1002
am	w1003
folgen=den	w1004
<g/>
=
Tage	w1006
für	w1007
grundloß	w1008
an	w1009
<g/>
.
So	w1011
verhält	w1012
es	w1013
sich	w1014
mit	w1015
einem	w1016
angegebenen	w1017
Vortheile	w1018
der	w1019
Amerikaner	w1020
über	w1021
die	w1022
königl	w1023
<g/>
.
Truppen	w1025
bey	w1026
Amboy	w1027
<g/>
,
wobey	w1029
letztere	w1030
500	w1031
Mann	w1032
einge=büßt	w1033
<g/>
=
hätten	w1035
<g/>
,
und	w1037
diese	w1038
Sage	w1039
soll	w1040
nun	w1041
durchaus	w1042
unächt	w1043
seyn	w1044
<g/>
.
Neuere	w1046
Berichte	w1047
melden	w1048
<g/>
,
die	w1050
königl	w1051
<g/>
.
Armee	w1053
würde	w1054
New=york	w1055
<g/>
=
erst	w1057
gegen	w1058
die	w1059
Hälfte	w1060
May	w1061
verlassen	w1062
<g/>
,
und	w1064
durch	w1065
Jersey	w1066
bis	w1067
Philadelphia	w1068
vor=dringen	w1069
<g/>
=
<g/>
.
Dagegen	w1072
versicheren	w1073
die	w1074
Ame=rikaner	w1075
<g/>
=
<g/>
,
das	w1078
Washingtonsche	w1079
Heer	w1080
wach=se	w1081
<g/>
=
täglich	w1083
an	w1084
<g/>
,
und	w1086
habe	w1087
eine	w1088
vortheil=hafte	w1089
<g/>
=
Stellung	w1091
genommen	w1092
<g/>
,
um	w1094
unsern	w1095
Truppen	w1096
den	w1097
Uebergang	w1098
über	w1099
den	w1100
Dela=warefluß	w1101
<g/>
=
zu	w1103
verlegen	w1104
<g/>
,
zugleich	w1106
aber	w1107
die	w1108
Stadt	w1109
Philadelphia	w1110
zu	w1111
decken	w1112
<g/>
.
Nach	w1114
ih=rer	w1115
<g/>
=
Aussage	w1117
<g/>
,
ist	w1119
auch	w1120
Boston	w1121
zur	w1122
See=seite	w1123
<g/>
=
in	w1125
einen	w1126
fast	w1127
unüberwindlichen	w1128
Stand	w1129
gesetzt	w1130
<g/>
,
und	w1132
die	w1133
Zahl	w1134
ihrer	w1135
Kaper	w1136
ansehn=lich	w1137
<g/>
=
vermehrt	w1139
worden	w1140
<g/>
.
Unterdessen	w1142
schmeichlen	w1143
sich	w1144
unsere	w1145
Leute	w1146
sowohl	w1147
hier	w1148
Lands	w1149
<g/>
,
als	w1151
in	w1152
Amerika	w1153
<g/>
,
mit	w1155
dem	w1156
heu=rigen	w1157
<g/>
=
Feldzuge	w1159
werde	w1160
der	w1161
Krieg	w1162
zwischen	w1163
dem	w1164
Mutterreiche	w1165
und	w1166
den	w1167
Kolonien	w1168
zur	w1169
Endschaft	w1170
gedeihen	w1171
<g/>
.
Damit	w1173
es	w1174
auch	w1175
der	w1176
königl	w1177
<g/>
.
Armee	w1179
in	w1180
besagtem	w1181
Welttheile	w1182
nicht	w1183
an	w1184
Lebensvorrath	w1185
gebrechen	w1186
möge	w1187
<g/>
,
so	w1189
hat	w1190
die	w1191
Regierung	w1192
den	w1193
Befehl	w1194
nach	w1195
Jrland	w1196
gefertigt	w1197
<g/>
,
so	w1199
viel	w1200
Mundvorrath	w1201
in	w1202
Bereitschaft	w1203
zu	w1204
setzen	w1205
<g/>
,
daß	w1207
20	w1208
Trans=portschiffe	w1209
<g/>
=
damit	w1211
befrachtet	w1212
werden	w1213
<g/>
,
und	w1215
sofort	w1216
nach	w1217
Newyork	w1218
abgehen	w1219
können	w1220
<g/>
.
</p>
<p id="p15">
Was	w1222
künftig	w1223
von	w1224
Schiffen	w1225
<g/>
,
die	w1227
nach	w1228
Amerika	w1229
bestimmt	w1230
sind	w1231
<g/>
,
durch	w1233
den	w1234
Brit=tischen	w1235
<g/>
=
Kanal	w1237
will	w1238
<g/>
,
muß	w1240
vor	w1241
dem	w1242
Kries=schiffe	w1243
<g/>
=
<g/>
,
der	w1246
Ueberwindliche	w1247
<g/>
,
welchem	w1249
die	w1250
Kreuzstation	w1251
in	w1252
den	w1253
Dünen	w1254
angewiesen	w1255
worden	w1256
<g/>
,
die	w1258
Musterung	w1259
paßiren	w1260
<g/>
,
um	w1262
zu	w1263
sehen	w1264
<g/>
,
ob	w1266
sie	w1267
Kriegsmunition	w1268
dahin	w1269
ab=führen	w1270
<g/>
=
<g/>
.
Diese	w1273
Seestrasse	w1274
scheint	w1275
also	w1276
für	w1277
völlig	w1278
verlegt	w1279
zu	w1280
seyn	w1281
<g/>
.
</p>
<p id="p16">
Am	w1283
21	w1284
<g/>
.
ward	w1286
dem	w1287
Unterhause	w1288
durch	w1289
Lord	w1290
<g/>
=
North	w1292
eine	w1293
Botschaft	w1294
von	w1295
dem	w1296
Könige	w1297
in	w1298
folgenden	w1299
Ausdrücken	w1300
vorgelegt	w1301
<g/>
:
<g/>
“
Jn=dem	w1304
<g/>
=
der	w1306
König	w1307
sich	w1308
auf	w1309
den	w1310
Eifer	w1311
seiner	w1312
getreuen	w1313
Gemeinen	w1314
verläßt	w1315
<g/>
,
und	w1317
erwä=get	w1318
<g/>
=
<g/>
,
daß	w1321
während	w1322
den	w1323
Unruhen	w1324
in	w1325
Nord=amerika	w1326
<g/>
=
Ereigniße	w1328
entstehen	w1329
könnten	w1330
<g/>
,
die	w1332
von	w1333
äußerster	w1334
Wichtigkeit	w1335
wären	w1336
<g/>
,
so	w1338
er=suchen	w1339
<g/>
=
Se	w1341
<g/>
.
Majestät	w1343
die	w1344
Kammer	w1345
<g/>
,
sie	w1347
wolle	w1348
Höchstdieselbe	w1349
in	w1350
Stand	w1351
setzen	w1352
<g/>
,
einer	w1354
Seits	w1355
den	w1356
außerordentlichen	w1357
Auf=wand	w1358
<g/>
=
<g/>
,
der	w1361
für	w1362
gewisse	w1363
Kriegsdienste	w1364
wäh=rend	w1365
<g/>
=
des	w1367
Jahres	w1368
1777	w1369
darzu	w1370
gegangen	w1371
<g/>
,
oder	w1373
sich	w1374
noch	w1375
ereignen	w1376
wird	w1377
<g/>
,
zu	w1379
bestrei=ten	w1380
<g/>
=
<g/>
,
und	w1383
anderer	w1384
Seits	w1385
die	w1386
Kosten	w1387
bey=zubringen	w1388
<g/>
=
<g/>
,
um	w1391
die	w1392
mangelhaften	w1393
Geld=münzen	w1394
<g/>
=
umzuprägen	w1396
<g/>
.
Diese	w1398
Bottschaft	w1399
ward	w1400
am	w1401
22	w1402
<g/>
.
von	w1404
dem	w1405
Hause	w1406
im	w1407
Aus=schuße	w1408
<g/>
=
erwogen	w1410
<g/>
,
und	w1412
beliebt	w1413
<g/>
,
daß	w1415
man	w1416
dem	w1417
Könige	w1418
eine	w1419
Million	w1420
Pf	w1421
<g/>
.
Sterl	w1423
<g/>
.
ein=willigen	w1425
<g/>
=
würde	w1427
<g/>
,
um	w1429
diesen	w1430
außerordent=lichen	w1431
<g/>
=
Aufwand	w1433
sowohl	w1434
für	w1435
Kriegsdien=ste	w1436
<g/>
=
<g/>
,
als	w1439
die	w1440
Umprägung	w1441
der	w1442
mangelhaf=ten	w1443
<g/>
=
Geldmünzen	w1445
zu	w1446
bestreiten	w1447
<g/>
.
Alsdann	w1449
ward	w1450
die	w1451
Tages	w1452
vorher	w1453
getroffene	w1454
Ent=schliessung	w1455
<g/>
=
genehmigt	w1457
<g/>
,
5000	w1459
Pf	w1460
<g/>
.
Sterl	w1462
<g/>
.
denjenigen	w1464
<g/>
,
welche	w1466
neue	w1467
Entdeckungen	w1468
über	w1469
die	w1470
Seelänge	w1471
<g/>
,
nach	w1473
bewährten	w1474
Er=fahrungen	w1475
<g/>
=
<g/>
,
machen	w1478
würden	w1479
<g/>
,
auszuwer=fen	w1481
<g/>
=
<g/>
.
Hernächst	w1484
untersuchte	w1485
die	w1486
Kammer	w1487
im	w1488
Ausschuße	w1489
die	w1490
von	w1491
der	w1492
Ostindischen	w1493
Handlungsgesellschaft	w1494
über	w1495
die	w1496
Lage	w1497
ihrer	w1498
Sachen	w1499
vorgelegten	w1500
Briefschaften	w1501
<g/>
.
Die	w1503
Wortwechsel	w1504
hierüber	w1505
dauerten	w1506
bis	w1507
Mit=ternacht	w1508
<g/>
=
<g/>
,
da	w1511
endlich	w1512
mit	w1513
einer	w1514
Mehrheit	w1515
von	w1516
90	w1517
wider	w1518
67	w1519
Stimmen	w1520
ausgemacht	w1521
wurde	w1522
<g/>
,
diese	w1524
Angelegenheit	w1525
dermalen	w1526
weiter	w1527
auszusetzen	w1528
<g/>
.
</p>
<p id="p17">
Man	w1530
sagt	w1531
uns	w1532
<g/>
,
der	w1534
königl	w1535
<g/>
.
Französi=sche	w1537
<g/>
=
Hof	w1539
habe	w1540
befohlen	w1541
<g/>
,
daß	w1543
das	w1544
Schiff	w1545
<g/>
,
</p>
<p id="p18">
der	w1547
St	w1548
<g/>
.
Joseph	w1550
<g/>
,
so	w1552
der	w1553
Kaper	w1554
Kunning=ham	w1555
<g/>
=
auf	w1557
der	w1558
Seehöhe	w1559
von	w1560
Ostende	w1561
aufgebracht	w1562
hatte	w1563
<g/>
,
dem	w1565
Kapitain	w1566
Kelly	w1567
wieder	w1568
ausgeliefert	w1569
werden	w1570
soll	w1571
<g/>
.
Sol=chemnach	w1573
<g/>
=
wird	w1575
er	w1576
sofort	w1577
seine	w1578
Fahrt	w1579
wei=ter	w1580
<g/>
=
nach	w1582
Hamburg	w1583
vornehmen	w1584
<g/>
.
So	w1586
ist	w1587
auch	w1588
am	w1589
21	w1590
<g/>
.
der	w1592
Kapitain	w1593
von	w1594
dem	w1595
auf=gebrachten	w1596
<g/>
=
Packetboote	w1598
von	w1599
hier	w1600
nach	w1601
Dünkirchen	w1602
abgegangen	w1603
<g/>
,
um	w1605
sein	w1606
Schiff	w1607
wieder	w1608
zu	w1609
erhalten	w1610
<g/>
.
Man	w1612
will	w1613
<g/>
,
das	w1615
Ka=perschiff	w1616
<g/>
=
werde	w1618
verkauft	w1619
werden	w1620
<g/>
,
um	w1622
die	w1623
wegen	w1624
besagter	w1625
beyden	w1626
Beuten	w1627
ge=machten	w1628
<g/>
=
Unkosten	w1630
zu	w1631
bestreiten	w1632
<g/>
.
</p>
<head id="hl4">
Boston	w1634
<g/>
,
den	w1636
31	w1637
<g/>
.
März	w1639
<g/>
.
</head>
<p id="p19">
Mit	w1641
einem	w1642
von	w1643
Karlstown	w1644
angekom=menen	w1645
<g/>
=
Schiffe	w1647
haben	w1648
wir	w1649
zu	w1650
vernehmen	w1651
<g/>
,
daß	w1653
die	w1654
Schanze	w1655
Mar	w1656
<g/>
=
Kintosh	w1658
zu	w1659
Stilla	w1660
<g/>
,
welche	w1662
in	w1663
die	w1664
Hände	w1665
der	w1666
Royalisten	w1667
ge=kommen	w1668
<g/>
=
war	w1670
<g/>
,
wieder	w1672
von	w1673
den	w1674
unsrigen	w1675
erobert	w1676
worden	w1677
ist	w1678
<g/>
.
Einer	w1680
unserer	w1681
Frey=beuter	w1682
<g/>
=
hat	w1684
zwey	w1685
Schiffe	w1686
<g/>
,
deren	w1688
eines	w1689
auf	w1690
der	w1691
Fahrt	w1692
aus	w1693
England	w1694
nach	w1695
Westin=dien	w1696
<g/>
=
begriffen	w1698
<g/>
,
das	w1700
andere	w1701
mit	w1702
Mund=vorrath	w1703
<g/>
=
nach	w1705
Neuyork	w1706
bestimmt	w1707
war	w1708
<g/>
,
aufgebracht	w1710
<g/>
,
und	w1712
nach	w1713
Karlstown	w1714
gefüh=ret	w1715
<g/>
=
<g/>
.
Das	w1718
hier	w1719
ausgerüstete	w1720
Kaperschiff	w1721
<g/>
,
die	w1723
Zufriedenheit	w1724
<g/>
,
Kapitain	w1726
Stevens	w1727
<g/>
,
hat	w1729
vor	w1730
14	w1731
Tagen	w1732
eine	w1733
Brigantine	w1734
mit	w1735
900	w1736
Fäßern	w1737
Salz	w1738
erbeutet	w1739
<g/>
,
und	w1741
in	w1742
Si=cherheit	w1743
<g/>
=
gebracht	w1745
<g/>
.
Richard	w1747
Stogdon	w1748
<g/>
,
der	w1750
Bösewicht	w1751
<g/>
,
welcher	w1753
den	w1754
General	w1755
Lee	w1756
verrathen	w1757
hat	w1758
<g/>
,
ist	w1760
mit	w1761
56	w1762
Toris	w1763
auf	w1764
der	w1765
östlichen	w1766
Seite	w1767
von	w1768
Braunschweig	w1769
ertap=pet	w1770
<g/>
=
<g/>
,
und	w1773
am	w1774
19	w1775
<g/>
.
Febr	w1777
<g/>
.
nach	w1779
Trenton	w1780
ge=liefert	w1781
<g/>
=
worden	w1783
<g/>
.
Auch	w1785
den	w1786
Kapitain	w1787
<g/>
,
Sa=muel	w1789
<g/>
=
Hayden	w1791
<g/>
,
und	w1793
den	w1794
Lieutenant	w1795
Ka=meron	w1796
<g/>
=
von	w1798
71	w1799
<g/>
.
englischen	w1801
Regimente	w1802
ha=ben	w1803
<g/>
=
unsere	w1805
Leute	w1806
mit	w1807
13	w1808
Toris	w1809
nach	w1810
Mo=ristown	w1811
<g/>
=
in	w1813
Gefangenschaft	w1814
gebracht	w1815
<g/>
.
Herr	w1817
Hayden	w1818
ist	w1819
aus	w1820
hiesiger	w1821
Stadt	w1822
ge=bürtig	w1823
<g/>
=
<g/>
.
</p>
<p id="p20">
Mit	w1826
Ueberläufern	w1827
hat	w1828
man	w1829
zu	w1830
verneh=men	w1831
<g/>
=
<g/>
,
daß	w1834
es	w1835
der	w1836
in	w1837
und	w1838
um	w1839
Amboy	w1840
und	w1841
Braunschweig	w1842
stehenden	w1843
königl	w1844
<g/>
.
Armee	w1846
durchaus	w1847
an	w1848
frischen	w1849
Lebensmitteln	w1850
