<doc id="wr_1758-03-22" attrs="word" year="1758" month="03" day="22" corpus="2">
<head id="h2_d228e3161">
Aleppo	w1_d228e3165
von	w5_d228e4401
Neustadt	w7_d228e4404
am	w9_d228e4407
Rübenberge	w11_d228e4410
an,	w1_d228e4415
welche	w3_d228e4418
von	w5_d228e4421
da	w7_d228e4424
nach	w9_d228e4427
Springe	w11_d228e4430
giengen,	w13_d228e4434
um	w1_d228e4440
die	w3_d228e4443
nach	w5_d228e4446
Hammeln	w7_d228e4449
gehende	w9_d228e4452
Französische	w11_d228e4455
Bagage	w1_d228e4460
und	w3_d228e4463
Canonen	w5_d228e4466
einzuholen.	w7_d228e4469
Die	w9_d228e4472
Ha	w11_d228e4475
növerische	w1_d228e4480
Jäger	w3_d228e4483
und	w5_d228e4486
Hussaren	w7_d228e4489
streiffen	w9_d228e4492
zu	w11_d228e4495
Stadthagen	w1_d228e4500
an	w3_d228e4503
der	w5_d228e4506
Seite	w7_d228e4509
des	w9_d228e4512
Waldes.	w11_d228e4515
Den	w13_d228e4519
2.	w1_d228e4525
dieses	w3_d228e4528
kam	w5_d228e4531
das	w7_d228e4534
Scheiterische	w9_d228e4537
Jnfanterie	w11_d228e4540
Regiment	w1_d228e4545
von	w3_d228e4548
Nienburg	w5_d228e4551
an,	w7_d228e4554
und	w9_d228e4557
brach	w11_d228e4560
den	w13_d228e4564
4.	w1_d228e4569
wieder	w3_d228e4572
auf,	w5_d228e4575
ohne	w7_d228e4578
daß	w9_d228e4581
man	w11_d228e4584
noch	w13_d228e4588
dessen	w15_d228e4591
Route	w1_d228e4596
weiß.	w3_d228e4599
Die	w5_d228e4602
Wege	w7_d228e4605
sind	w9_d228e4608
indessen	w11_d228e4611
sehr	w13_d228e4615
schlecht,	w1_d228e4621
die	w3_d228e4624
Canonen	w5_d228e4627
bleiben	w7_d228e4630
stecken,	w9_d228e4633
und	w11_d228e4636
die	w13_d228e4640
Bauern	w1_d228e4645
lassen,	w3_d228e4648
wann	w5_d228e4651
sie	w7_d228e4654
die	w9_d228e4657
Gelegenheit	w11_d228e4660
ersehen,	w1_d228e4665
die	w3_d228e4668
Wägen	w5_d228e4671
im	w7_d228e4674
Stich,	w9_d228e4677
und	w11_d228e4680
eilen	w13_d228e4684
mit	w1_d228e4689
denen	w3_d228e4692
Pferden	w5_d228e4695
davon,	w7_d228e4698
bey	w9_d228e4701
welcher	w11_d228e4704
Flucht	w13_d228e4708
aber	w1_d228e4714
mancher	w3_d228e4717
vom	w5_d228e4720
Pferde	w7_d228e4723
geschossen	w9_d228e4726
wird.	w11_d228e4729
Die	w1_d228e4734
Französische	w3_d228e4737
Regimenter,	w5_d228e4740
welche	w7_d228e4743
im	w9_d228e4746
Cle	w11_d228e4749
vischen	w1_d228e4754
zu	w3_d228e4757
Rüremonde	w5_d228e4760
und	w7_d228e4763
in	w9_d228e4766
Cöln	w11_d228e4769
gelegen	w13_d228e4773
ziehen	w1_d228e4778
sich	w3_d228e4781
nun	w5_d228e4784
alle	w7_d228e4787
nach	w9_d228e4790
dem	w11_d228e4793
Paderbornischen.	w13_d228e4797
Die	w1_d228e4803
im	w3_d228e4806
Münsterischen	w5_d228e4809
vertheilt	w7_d228e4812
gelegene	w9_d228e4815
Trin	w11_d228e4818
pen	w1_d228e4823
gehen	w3_d228e4826
nach	w5_d228e4829
Osnabrück,	w7_d228e4832
und	w9_d228e4835
bey	w11_d228e4838
Allen	w13_d228e4842
dorf	w1_d228e4847
und	w3_d228e4850
Wizenhausen,	w5_d228e4853
unweit	w7_d228e4856
Heiligenstadt	w9_d228e4859
sind	w1_d228e4864
den	w3_d228e4867
1.	w5_d228e4870
dieses	w7_d228e4873
bey	w9_d228e4876
7000.	w11_d228e4879
Mann	w13_d228e4883
Franzo	w15_d228e4886
sen	w1_d228e4892
die	w3_d228e4895
Werra	w5_d228e4898
paßirt,	w7_d228e4901
von	w9_d228e4904
da	w11_d228e4907
sie	w13_d228e4911
sich	w15_d228e4914
nach	w17_d228e4917
Cassel	w1_d228e4922
begeben	w3_d228e4925
werden.	w5_d228e4928
</p>
<head id="h2_d228e4934">
Erfurt	w1_d228e4938
12.	w3_d228e4941
Martii.	w5_d228e4944
</head>
<p id="p4_d228e4947">
Jm	w1_d228e4951
Heßischen	w3_d228e4954
ziehen	w5_d228e4957
sich	w7_d228e4960
die	w9_d228e4963
Französische	w11_d228e4966
Trupen	w1_d228e4971
näher	w3_d228e4974
zusammen.	w5_d228e4977
Caßel	w7_d228e4980
ist	w9_d228e4983
stark	w11_d228e4986
be	w13_d228e4990
festiget,	w1_d228e4995
und	w3_d228e4998
um	w5_d228e5001
die	w7_d228e5004
Streiffereyen	w9_d228e5007
der	w11_d228e5010
Preut	w13_d228e5014
sischen	w1_d228e5020
Hussaren	w3_d228e5023
zu	w5_d228e5026
verhüten,	w7_d228e5029
sind	w9_d228e5032
bis	w11_d228e5035
gegen	w13_d228e5039
Münden	w1_d228e5044
starke	w3_d228e5047
Corps	w5_d228e5050
und	w7_d228e5053
Piquets	w9_d228e5056
ausgestel	w11_d228e5059
let.	w1_d228e5064
Die	w3_d228e5067
Judenschaft	w5_d228e5070
dieser	w7_d228e5073
Stadt	w9_d228e5076
hat	w11_d228e5079
un	w13_d228e5083
längst	w1_d228e5088
binnen	w3_d228e5091
24.	w5_d228e5094
Stunden	w7_d228e5097
100000	w9_d228e5100
Rthlr.	w11_d228e5103
bezahlen	w1_d228e5109
müssen.	w3_d228e5112
Marburg	w5_d228e5115
wird	w7_d228e5118
gleichfalls	w9_d228e5121
stark	w1_d228e5126
befestiget.	w3_d228e5129
Von	w5_d228e5132
Fulda	w7_d228e5135
kamen	w9_d228e5138
den	w11_d228e5141
7ten	w13_d228e5145
36.	w1_d228e5150
mit	w3_d228e5153
Bagage	w5_d228e5156
beladne	w7_d228e5159
Wägen	w9_d228e5162
an,	w11_d228e5165
und	w13_d228e5169
seit	w1_d228e5174
den	w3_d228e5177
5.	w5_d228e5180
musten	w7_d228e5183
wiederum	w9_d228e5186
400.	w11_d228e5189
Land=leute	w13_d228e5193
an	w1_d228e5199
Fortificirung	w3_d228e5202
der	w5_d228e5205
Citadelle	w7_d228e5208
arbeiten.	w9_d228e5211
Der	w11_d228e5214
meiste	w1_d228e5219
Vorrat	w3_d228e5222
an	w5_d228e5225
Mehl	w7_d228e5228
und	w9_d228e5231
andern	w11_d228e5234
Lehens	w13_d228e5238
mitteln	w1_d228e5243
wird	w3_d228e5246
auf	w5_d228e5249
dasselbe	w7_d228e5252
gebracht,	w9_d228e5255
es	w11_d228e5258
hat	w13_d228e5262
alles	w1_d228e5267
Ansehen,	w3_d228e5270
daß	w5_d228e5273
man	w7_d228e5276
sich	w9_d228e5279
Französischer	w11_d228e5282
Seits	w1_d228e5288
auf	w3_d228e5291
alle	w5_d228e5294
Fälle	w7_d228e5297
zur	w9_d228e5300
Defension	w11_d228e5303
gefast	w13_d228e5307
</p>
<p id="p6_d228e5310">
machen	w1_d228e5314
wolle.	w3_d228e5317
Die	w5_d228e5320
Kranken	w7_d228e5323
aus	w9_d228e5326
dem	w11_d228e5329
Fuldi	w13_d228e5333
schen	w1_d228e5338
kommen	w3_d228e5341
in	w5_d228e5344
das	w7_d228e5347
dasige	w9_d228e5350
Lazareth,	w11_d228e5353
und	w13_d228e5357
von	w1_d228e5362
Caßel	w3_d228e5365
paßiren	w5_d228e5368
täglich	w7_d228e5371
viele	w9_d228e5374
Bagagewä	w11_d228e5377
gen	w1_d228e5383
durch	w3_d228e5386
Marburg.	w5_d228e5389
</p>
<head id="h2_d228e5396">
Schwerin	w1_d228e5400
2.	w3_d228e5403
Martii.	w5_d228e5406
</head>
<p id="p4_d228e5409">
Erst	w1_d228e5413
den	w3_d228e5416
25.	w5_d228e5419
vorigen	w7_d228e5422
Monats	w9_d228e5425
geschahe	w11_d228e5428
von	w13_d228e5432
denen	w1_d228e5437
Preußen	w3_d228e5440
die	w5_d228e5443
Aufforderung	w7_d228e5446
dieser	w9_d228e5449
Stadt,	w11_d228e5452
alleine	w1_d228e5457
der	w3_d228e5460
Commandant	w5_d228e5463
antwortete,	w7_d228e5466
daß	w9_d228e5469
de.	w1_d228e5475
Durchl.	w3_d228e5478
der	w5_d228e5481
Herzog	w7_d228e5484
mit	w9_d228e5487
der	w11_d228e5490
Crone	w13_d228e5494
Preus	w15_d228e5497
sen	w1_d228e5502
nicht	w3_d228e5505
im	w5_d228e5508
Kriege	w7_d228e5511
verwickelt	w9_d228e5514
wären,	w11_d228e5517
und	w13_d228e5521
daß	w1_d228e5526
er	w3_d228e5529
Ordre	w5_d228e5532
habe,	w7_d228e5535
im	w9_d228e5538
Fall	w11_d228e5541
man	w13_d228e5545
ja	w15_d228e5548
die	w17_d228e5551
Stadt	w1_d228e5556
occupiren	w3_d228e5559
wolle,	w5_d228e5562
sich	w7_d228e5565
bis	w9_d228e5568
auf	w11_d228e5571
den	w13_d228e5575
letz	w15_d228e5578
ten	w1_d228e5584
Mann	w3_d228e5587
zu	w5_d228e5590
wehren.	w7_d228e5593
Seit	w9_d228e5596
dieser	w11_d228e5599
Auffor	w13_d228e5603
derung	w1_d228e5608
hat	w3_d228e5611
man	w5_d228e5614
allen	w7_d228e5617
Bürgern	w9_d228e5620
angesagt,	w11_d228e5623
daß	w1_d228e5628
sie	w3_d228e5631
sich	w5_d228e5634
sobald	w7_d228e5637
die	w9_d228e5640
Trommel	w11_d228e5643
gerühret	w13_d228e5647
wird,	w15_d228e5650
mit	w1_d228e5655
ihren	w3_d228e5658
Leuten	w5_d228e5661
stille	w7_d228e5664
in	w9_d228e5667
denen	w11_d228e5670
Häusern	w13_d228e5674
hal	w15_d228e5677
ten,	w1_d228e5683
und	w3_d228e5686
nicht	w5_d228e5689
auf	w7_d228e5692
der	w9_d228e5695
Strasse	w11_d228e5698
erscheinen	w13_d228e5702
sollten.	w1_d228e5707
</p>
<head id="h2_d228e5713">
Grodno	w1_d228e5717
3.	w3_d228e5720
Martii.	w5_d228e5723
</head>
<p id="p4_d228e5726">
Den	w1_d228e5730
26.	w3_d228e5733
Februarii	w5_d228e5736
sind	w7_d228e5739
5000.	w9_d228e5742
Mann	w11_d228e5745
Rus	w13_d228e5749
sen	w1_d228e5754
nach	w3_d228e5757
der	w5_d228e5760
Marienwerderischen	w7_d228e5763
Gegend	w9_d228e5766
dem	w11_d228e5769
Weichselstrom	w1_d228e5774
näher	w3_d228e5777
gerückt.	w5_d228e5780
Eben	w7_d228e5783
so	w9_d228e5786
viele	w11_d228e5789
traffen	w1_d228e5795
im	w3_d228e5798
Elbingischen	w5_d228e5801
ein,	w7_d228e5804
und	w9_d228e5807
daselbst	w11_d228e5810
er	w13_d228e5814
wartet	w1_d228e5819
man	w3_d228e5822
auch	w5_d228e5825
den	w7_d228e5828
Herrn	w9_d228e5831
General	w11_d228e5834
Feld	w13_d228e5838
marschall	w1_d228e5843
von	w3_d228e5846
Fermer,	w5_d228e5849
da	w7_d228e5852
hingegen	w9_d228e5855
der	w11_d228e5858
Ge	w13_d228e5862
neral	w1_d228e5867
von	w3_d228e5870
Stein,	w5_d228e5873
am	w7_d228e5876
obigen	w9_d228e5879
Orte	w11_d228e5882
verbleibt.	w13_d228e5886
Die	w1_d228e5892
Commandi	w3_d228e5895
gehen	w5_d228e5898
stärker	w7_d228e5901
und	w9_d228e5904
häuffiger	w11_d228e5907
in	w1_d228e5912
Pohlen	w3_d228e5915
herein,	w5_d228e5918
um	w7_d228e5921
die	w9_d228e5924
längs	w11_d228e5927
denen	w13_d228e5931
Cassu	w15_d228e5934
bischen	w1_d228e5939
Gränzen	w3_d228e5942
in	w5_d228e5945
Pommern	w7_d228e5948
gelegene	w9_d228e5951
Orte	w11_d228e5954
zu	w1_d228e5959
recognosciren,	w3_d228e5962
welche	w5_d228e5965
durch	w7_d228e5968
verschiedene	w9_d228e5971
Detaschementer	w1_d228e5977
Preußischer	w3_d228e5980
Jnfanterie	w5_d228e5983
und	w7_d228e5986
Cavallerie	w1_d228e5991
besetzt	w3_d228e5994
worden	w5_d228e5997
seynd.	w7_d228e6000
</p>
<head id="h2_d228e6006">
Paderborn	w1_d228e6010
13.	w3_d228e6013
Martii.	w5_d228e6016
</head>
<p id="p4_d228e6019">
Die	w1_d228e6023
Französischen	w3_d228e6026
Trupen	w5_d228e6029
haben	w7_d228e6032
nunmehro	w9_d228e6035
in	w1_d228e6040
der	w3_d228e6043
Gegend	w5_d228e6046
von	w7_d228e6049
Hammeln	w9_d228e6052
eine	w11_d228e6055
ihnen	w13_d228e6059
sehr	w15_d228e6062
favorable	w1_d228e6067
Position	w3_d228e6070
erwehlt.	w5_d228e6073
Diese	w7_d228e6076
Festung	w9_d228e6079
selbst	w1_d228e6085
ist	w3_d228e6088
mit	w5_d228e6091
einer	w7_d228e6094
ansehnlichen	w9_d228e6097
Garnison	w11_d228e6100
ver	w13_d228e6104
sehen,	w1_d228e6109
und	w3_d228e6112
man	w5_d228e6115
versichert	w7_d228e6118
noch	w9_d228e6121
immer,	w11_d228e6124
daß	w13_d228e6128
alda	w1_d228e6133
das	w3_d228e6136
Haupt=quartier	w5_d228e6139
des	w7_d228e6142
Herrn	w9_d228e6145
Grafens	w11_d228e6148
von	w1_d228e6153
Clermont	w3_d228e6156
seyn	w5_d228e6159
werde.	w7_d228e6162
Die	w9_d228e6165
meisten	w11_d228e6168
Re	w13_d228e6172
gimenter	w1_d228e6178
ziehen	w3_d228e6181
sich	w5_d228e6184
indessen	w7_d228e6187
in	w9_d228e6190
hiesige	w11_d228e6193
Gegen	w13_d228e6197
den,	w1_d228e6202
und	w3_d228e6205
man	w5_d228e6208
vermutet,	w7_d228e6211
daß	w9_d228e6214
sie	w11_d228e6217
bey	w13_d228e6221
Osna	w15_d228e6224
brück	w1_d228e6229
sich	w3_d228e6232
mit	w5_d228e6235
denen	w7_d228e6238
Trupen	w9_d228e6241
des	w11_d228e6244
Grafens	w13_d228e6248
von	w15_d228e6251
St.	w1_d228e6256
Germain	w3_d228e6259
vereinigen,	w5_d228e6262
und	w7_d228e6265
die	w9_d228e6268
Annähe	w11_d228e6271
rung	w1_d228e6277
der	w3_d228e6280
Hanoveraner	w5_d228e6283
erwarten	w7_d228e6286
werden.	w9_d228e6289
Alle	w11_d228e6292
Nachrichten	w1_d228e6297
aus	w3_d228e6300
Münster	w5_d228e6303
sowol,	w7_d228e6306
als	w9_d228e6309
Osna	w11_d228e6312
brück,	w1_d228e6317
laute	w3_d228e6320
von	w5_d228e6323
einer	w7_d228e6326
bevorstehenden	w9_d228e6329
Bataille.	w11_d228e6332
Sie	w1_d228e6337
melden,	w3_d228e6340
daß	w5_d228e6343
die	w7_d228e6346
Hanöverische	w9_d228e6349
Armee	w11_d228e6352
unter	w1_d228e6358
dem	w3_d228e6361
Prinzen	w5_d228e6364
Ferdinand	w7_d228e6367
schon	w9_d228e6370
den	w11_d228e6373
2.	w13_d228e6377
aus	w1_d228e6382
der	w3_d228e6385
Gegend	w5_d228e6388
von	w7_d228e6391
Bremen	w9_d228e6394
sich	w11_d228e6397
gegen	w13_d228e6401
Diep	w15_d228e6404
</p>
<p id="p10_d228e6417">
holt	w1_d228e6421
im	w3_d228e6424
Hoyaischen	w5_d228e6427
gewendet,	w7_d228e6430
und	w9_d228e6433
daß	w11_d228e6436
sie	w13_d228e6440
gegen	w1_d228e6445
die	w3_d228e6448
Französische	w5_d228e6451
im	w7_d228e6454
Anmarsch	w9_d228e6457
seye.	w11_d228e6460
Das	w1_d228e6465
Corpo,	w3_d228e6468
welches	w5_d228e6471
der	w7_d228e6474
Herr	w9_d228e6477
Graf	w11_d228e6480
von	w13_d228e6484
Clermont	w1_d228e6490
bey	w3_d228e6493
Hammeln	w5_d228e6496
postiret,	w7_d228e6499
dienet	w9_d228e6502
vor	w11_d228e6505
nämlich	w1_d228e6510
zur	w3_d228e6513
Bedeckung	w5_d228e6516
des	w7_d228e6519
Marsches	w9_d228e6522
der	w11_d228e6525
Re	w13_d228e6529
gimenter.	w1_d228e6534
Man	w3_d228e6537
schätzt	w5_d228e6540
dasselbe	w7_d228e6543
auf	w9_d228e6546
1200.	w11_d228e6549
Mann,	w1_d228e6554
und	w3_d228e6557
ein	w5_d228e6560
Theil	w7_d228e6563
desselben	w9_d228e6566
wird	w11_d228e6569
nebst	w13_d228e6573
denen	w1_d228e6579
Regimentern,	w3_d228e6582
welche	w5_d228e6585
bey	w7_d228e6588
Lipstadt	w9_d228e6591
ge	w11_d228e6594
standen,	w1_d228e6599
iu	w3_d228e6602
kurzem	w5_d228e6605
gleichfalls	w7_d228e6608
gegen	w9_d228e6611
Osna	w11_d228e6614
brück	w1_d228e6619
aufbrechen.	w3_d228e6622
</p>
<head id="h2_d228e6628">
Bremen	w1_d228e6632
10.	w3_d228e6635
Martii.	w5_d228e6638
</head>
<p id="p4_d228e6641">
Von	w1_d228e6645
hier	w3_d228e6648
sind	w5_d228e6651
den	w7_d228e6654
3.	w9_d228e6657
die	w11_d228e6660
unlängst	w13_d228e6664
einge	w15_d228e6667
rückten	w1_d228e6672
Hanoveraner	w3_d228e6675
bis	w5_d228e6678
auf	w7_d228e6681
2.	w9_d228e6684
Regimenter	w11_d228e6687
wieder	w1_d228e6692
abmarschiert.	w3_d228e6695
Sie	w5_d228e6698
nahmen	w7_d228e6701
den	w9_d228e6704
Weeg	w11_d228e6707
/	w13_d228e6711
welchen	w1_d228e6717
die	w3_d228e6720
Französische	w5_d228e6723
Trupen	w7_d228e6726
genommen	w9_d228e6729
haben,	w1_d228e6734
nämlich	w3_d228e6737
auf	w5_d228e6740
Wildshusen,	w7_d228e6743
Vecht	w9_d228e6746
und	w1_d228e6751
von	w3_d228e6754
da	w5_d228e6757
gegen	w7_d228e6760
Diepholt	w9_d228e6763
/	w11_d228e6766
um	w13_d228e6770
sich	w15_d228e6773
mit	w17_d228e6776
ih	w19_d228e6779
rer	w1_d228e6784
Haupt=armee	w3_d228e6787
zu	w5_d228e6790
vereinigen.	w7_d228e6793
</p>
<head id="h2_d228e6799">
Königsberg	w1_d228e6803
28.	w3_d228e6806
Februarii.	w5_d228e6809
</head>
<p id="p4_d228e6812">
Den	w1_d228e6816
14.	w3_d228e6819
wurde	w5_d228e6822
das	w7_d228e6825
