<doc id="edoc_wd_1772-05-20" attrs="word" year="1772" month="05" day="20" corpus="1">
<head id="hl1">
Stockholm	w29
Sicherheiten	w1001
wirksam	w1002
gemacht	w1003
würden	w1004
<g/>
,
ꝛc	w1006
<g/>
.
<g/>
„
Die	w1009
Meinungen	w1010
waren	w1011
hierüber	w1012
ge=theilt	w1013
<g/>
=
<g/>
;
da	w1016
aber	w1017
der	w1018
Vortrag	w1019
den	w1020
Stimmen	w1021
</p>
<p id="p15">
ausgesetzt	w1022
wurde	w1023
<g/>
,
so	w1025
äußerten	w1026
sich	w1027
20	w1028
für	w1029
<g/>
,
hingegen	w1031
19	w1032
wider	w1033
denselben	w1034
<g/>
,
und	w1036
hierauf	w1037
erfolgte	w1038
die	w1039
Verfügung	w1040
<g/>
,
die	w1042
Sache	w1043
am	w1044
fol=genden	w1045
<g/>
=
Tage	w1047
vorzunehmen	w1048
<g/>
.
Dies	w1050
geschah	w1051
am	w1052
29	w1053
<g/>
;
allein	w1055
<g/>
,
nach	w1057
langem	w1058
Wortstreit	w1059
setzte	w1060
man	w1061
den	w1062
Stimmen	w1063
aus	w1064
<g/>
,
ob	w1066
die	w1067
Kam=mer	w1068
<g/>
=
mit	w1070
ihrem	w1071
Ausschusse	w1072
diesem	w1073
Schlusse	w1074
beyträte	w1075
<g/>
?
29	w1077
erklärten	w1078
sich	w1079
für	w1080
die	w1081
Sache	w1082
<g/>
,
hingegen	w1084
36	w1085
darwider	w1086
<g/>
,
so	w1088
<g/>
,
daß	w1090
sie	w1091
für	w1092
itzo	w1093
verworfen	w1094
ist	w1095
<g/>
.
Sonst	w1097
hat	w1098
das	w1099
Haus	w1100
am	w1101
28	w1102
<g/>
.
sich	w1104
mit	w1105
Subsidiensachen	w1106
beschäftigt	w1107
<g/>
.
</p>
<p id="p16">
Vorgestern	w1109
ist	w1110
von	w1111
des	w1112
Königs	w1113
Botschafter	w1114
zu	w1115
Madrid	w1116
<g/>
,
Grafen	w1118
von	w1119
Grantham	w1120
<g/>
,
ein	w1122
Courier	w1123
mit	w1124
wichtigen	w1125
Depeschen	w1126
angekom=men	w1127
<g/>
=
<g/>
.
Diese	w1130
so	w1131
wohl	w1132
als	w1133
andere	w1134
von	w1135
dem	w1136
Botschafter	w1137
an	w1138
dem	w1139
Versaillischen	w1140
Hofe	w1141
<g/>
,
Gra=fen	w1143
<g/>
=
von	w1145
Harcourt	w1146
haben	w1147
verschiedene	w1148
Staats=unterredungen	w1149
<g/>
=
unseren	w1151
Ministern	w1152
veranlasset	w1153
<g/>
.
</p>
<p id="p17">
Die	w1155
Privatschreiben	w1156
aus	w1157
Madras	w1158
vom	w1159
8	w1160
<g/>
.
verwichenen	w1162
Octob	w1163
<g/>
.
melden	w1165
Folgendes	w1166
<g/>
:
Nach=dem	w1168
<g/>
=
man	w1170
von	w1171
neuem	w1172
die	w1173
Eroberung	w1174
von	w1175
Tan=joure	w1176
<g/>
=
in	w1178
Bedacht	w1179
genommen	w1180
<g/>
,
so	w1182
brach	w1183
die	w1184
englländische	w1185
Armee	w1186
am	w1187
11ten	w1188
Sept	w1189
<g/>
.
gegen	w1191
die	w1192
Hauptstadt	w1193
gleiches	w1194
Namens	w1195
auf	w1196
<g/>
.
Am	w1198
18ten	w1199
wurden	w1200
die	w1201
Laufgraben	w1202
vor	w1203
der	w1204
be=trächtlichen	w1205
<g/>
=
Schanze	w1207
Bellum	w1208
<g/>
,
welche	w1210
7	w1211
<g/>
.
Mei=len	w1213
<g/>
=
von	w1215
Tanjoure	w1216
gelegen	w1217
ist	w1218
<g/>
,
eröffnet	w1220
<g/>
.
Die	w1222
Feinde	w1223
verließen	w1224
selbige	w1225
in	w1226
der	w1227
Nacht	w1228
vom	w1229
20sten	w1230
<g/>
,
und	w1232
unsere	w1233
Truppen	w1234
nahmen	w1235
sie	w1236
am	w1237
21sten	w1238
<g/>
,
Morgens	w1240
ein	w1241
<g/>
.
Bey	w1243
Abgang	w1244
dieses	w1245
Briefes	w1246
vernimmt	w1247
man	w1248
<g/>
,
daß	w1250
unsere	w1251
Truppen	w1252
500	w1253
<g/>
.
Schritte	w1255
von	w1256
Tanjoure	w1257
Stückbette	w1258
an=gelegt	w1259
<g/>
=
haben	w1261
<g/>
,
und	w1263
Anstalt	w1264
machten	w1265
<g/>
,
den	w1267
Ort	w1268
zu	w1269
beschießen	w1270
<g/>
.
</p>
<p id="p18">
Die	w1272
Ostindische	w1273
Handlungsgesellschaft	w1274
hat	w1275
verfüget	w1276
<g/>
,
3000	w1278
<g/>
.
Mann	w1280
Recrouten	w1281
in	w1282
den	w1283
dreyen	w1284
Königreichen	w1285
zu	w1286
werben	w1287
<g/>
,
um	w1289
dieselbe	w1290
gegen	w1291
Ende	w1292
dieses	w1293
Jahres	w1294
nach	w1295
ihren	w1296
Besi=zungen	w1297
<g/>
=
in	w1299
Jndien	w1300
zu	w1301
senden	w1302
<g/>
.
</p>
<head id="hl4">
Marseille	w1304
<g/>
,
den	w1306
26	w1307
<g/>
.
April	w1309
<g/>
.
</head>
<p id="p19">
Die	w1311
hiesige	w1312
Kommercienkammer	w1313
hat	w1314
allen	w1315
Kaufleuten	w1316
unsrer	w1317
Stadt	w1318
bekannt	w1319
machen	w1320
las=sen	w1321
<g/>
=
<g/>
,
daß	w1324
die	w1325
Fregatte	w1326
Athalante	w1327
und	w1328
die	w1329
Cor=vette	w1330
<g/>
=
la	w1332
Fleche	w1333
<g/>
,
die	w1335
zur	w1336
Beschützung	w1337
unsrer	w1338
Schiffahrt	w1339
in	w1340
dem	w1341
levantischen	w1342
Gewässer	w1343
be=stimmet	w1344
<g/>
=
sind	w1346
<g/>
,
bereit	w1348
liegen	w1349
<g/>
,
alle	w1351
Schiffe	w1352
die	w1353
nur	w1354
immer	w1355
dieser	w1356
Gelegenheit	w1357
sich	w1358
zu	w1359
Nu=tzen	w1360
<g/>
=
machen	w1362
wollen	w1363
<g/>
,
auf	w1365
ihren	w1366
Reisen	w1367
zu	w1368
be=gleiten	w1369
<g/>
=
<g/>
.
Sie	w1372
sollen	w1373
in	w1374
künftiger	w1375
Woche	w1376
aus=laufen	w1377
<g/>
=
<g/>
.
</p>
<p id="p20">
Nach	w1380
einigen	w1381
sehr	w1382
heitern	w1383
<g/>
,
und	w1385
warmen	w1386
Tagen	w1387
hat	w1388
eine	w1389
gählings	w1390
eingefallene	w1391
unge=wöhnliche	w1392
<g/>
=
Kälte	w1394
unter	w1395
Begleitung	w1396
eines	w1397
hef=tigen	w1398
<g/>
=
Nordwindes	w1400
<g/>
,
einen	w1402
großen	w1403
Theil	w1404
un=srer	w1405
<g/>
=
angehoften	w1407
Erndte	w1408
verwüstet	w1409
<g/>
.
Der	w1411
Rog=gen	w1412
<g/>
=
ist	w1414
ganz	w1415
hin	w1416
<g/>
,
und	w1418
die	w1419
Obstgärten	w1420
<g/>
,
so	w1422
<g/>
,
wie	w1424
der	w1425
Weinstock	w1426
haben	w1427
viel	w1428
gelitten	w1429
<g/>
.
Es	w1431
ist	w1432
nun	w1433
schon	w1434
das	w1435
4te	w1436
Jahr	w1437
<g/>
,
daß	w1439
wir	w1440
um	w1441
diese	w1442
Zeit	w1443
eine	w1444
solche	w1445
unmäßige	w1446
Witterung	w1447
auszustehen	w1448
hatten	w1449
<g/>
.
</p>
<p id="p21">
Aus	w1451
Nismes	w1452
schreibt	w1453
man	w1454
<g/>
,
daß	w1456
um	w1457
die	w1458
nämliche	w1459
Zeit	w1460
ein	w1461
mit	w1462
Hagel	w1463
<g/>
,
und	w1465
Frost	w1466
ver=mischtes	w1467
<g/>
=
Ungewitter	w1469
ebenfalls	w1470
vielen	w1471
Schaden	w1472
angerichtet	w1473
habe	w1474
<g/>
.
</p>
<p id="p22">
Auf	w1476
einem	w1477
einzelen	w1478
Felsen	w1479
<g/>
,
an	w1481
der	w1482
Spitze	w1483
des	w1484
Gebietes	w1485
von	w1486
Aix	w1487
<g/>
,
an	w1489
einem	w1490
Orte	w1491
gele=gen	w1492
<g/>
=
<g/>
,
der	w1495
nach	w1496
der	w1497
provenzalischen	w1498
Mundart	w1499
Lou	w1500
Castral	w1501
<g/>
,
oder	w1503
Lou	w1504
Castellar	w1505
<g/>
,
welches	w1507
mit	w1508
dem	w1509
lateinischen	w1510
Worte	w1511
Castra	w1512
überein=stimmet	w1513
<g/>
=
<g/>
,
genannt	w1516
wird	w1517
<g/>
,
hat	w1519
man	w1520
ein	w1521
befe=stigtes	w1522
<g/>
=
Lager	w1524
entdecket	w1525
<g/>
.
Die	w1527
Bollwerke	w1528
<g/>
,
wo=mit	w1530
<g/>
=
selbes	w1532
umgeben	w1533
<g/>
,
scheinen	w1535
von	w1536
den	w1537
alten	w1538
Römern	w1539
<g/>
,
und	w1541
zwar	w1542
aller	w1543
Muthmassung	w1544
nach	w1545
von	w1546
dem	w1547
Marius	w1548
aufgeführet	w1549
zu	w1550
seyn	w1551
<g/>
.
</p>
<head id="hl5">
Venedig	w1553
<g/>
,
den	w1555
4	w1556
<g/>
.
May	w1558
<g/>
.
</head>
<p id="p23">
Unsere	w1560
weise	w1561
<g/>
,
und	w1563
auf	w1564
die	w1565
Glückseligkeit	w1566
ihrer	w1567
Unterthanen	w1568
stäts	w1569
unermüdet	w1570
bedachte	w1571
Regierung	w1572
hat	w1573
durch	w1574
viele	w1575
in	w1576
der	w1577
Stadt	w1578
al=lenthalben	w1579
<g/>
=
angeschlagene	w1581
gedruckte	w1582
Zetteln	w1583
<g/>
,
von	w1585
Seiten	w1586
der	w1587
Sänitätskommißion	w1588
bekannt	w1589
machen	w1590
lassen	w1591
<g/>
,
daß	w1593
den	w1594
1ten	w1595
May	w1596
in	w1597
dem	w1598
sogenannten	w1599
Spittal	w1600
der	w1601
Mendicanten	w1602
mit	w1603
Einimpfung	w1604
der	w1605
Blattern	w1606
an	w1607
60	w1608
<g/>
.
Kindern	w1610
<g/>
,
worunter	w1612
sogar	w1613
Säuglinge	w1614
sich	w1615
befinden	w1616
sol=len	w1617
<g/>
=
<g/>
,
der	w1620
Anfang	w1621
gemacht	w1622
<g/>
,
und	w1624
daselbst	w1625
auf	w1626
öffentliche	w1627
Kosten	w1628
die	w1629
ganze	w1630
Zeit	w1631
dieser	w1632
Chur	w1633
hindurch	w1634
mit	w1635
väterlicher	w1636
Sorgfalt	w1637
behandlet	w1638
werden	w1639
sollen	w1640
<g/>
.
Diesem	w1642
zufolge	w1643
ist	w1644
nun	w1645
auch	w1646
wie	w1647
in	w1648
vorigen	w1649
Jahren	w1650
dieses	w1651
schöne	w1652
Werk	w1653
der	w1654
Menschenliebe	w1655
pünktlich	w1656
nach	w1657
der	w1658
Vorschrift	w1659
<g/>
,
blos	w1661
zu	w1662
dem	w1663
Ende	w1664
vollzogen	w1665
worden	w1666
<g/>
,
um	w1668
diese	w1669
heilsame	w1670
<g/>
,
und	w1672
der	w1673
Aufnahm	w1674
der	w1675
Be=völlkerung	w1676
<g/>
=
höchst	w1678
vortheilhafte	w1679
Chur	w1680
in	w1681
den	w1682
ve=netianischen	w1683
<g/>
=
Staaten	w1685
immer	w1686
mehr	w1687
<g/>
,
und	w1689
mehr	w1690
zu	w1691
verbreiten	w1692
<g/>
,
und	w1694
zur	w1695
erwünschten	w1696
allgemei=nen	w1697
<g/>
=
Aufnahme	w1699
zu	w1700
bringen	w1701
</p>
<p id="p24">
Den	w1702
letzten	w1703
des	w1704
abgewichenen	w1705
Monats	w1706
ist	w1707
endlich	w1708
der	w1709
edle	w1710
Herr	w1711
Johann	w1712
Mogenigo	w1713
mit	w1714
einhelligen	w1715
Stimmen	w1716
zum	w1717
venetianischen	w1718
Bott=schafter	w1719
<g/>
=
an	w1721
dem	w1722
königl	w1723
<g/>
.
französischen	w1725
Hofe	w1726
ererwählet	w1727
<g/>
=
</p>
<p id="p25">
wählet	w1729
worden	w1730
<g/>
;
weswegen	w1732
dieser	w1733
Herr	w1734
sei=nen	w1735
<g/>
=
<g/>
,
in	w1738
eben	w1739
dieser	w1740
Eigenschaft	w1741
nunmehr	w1742
da=selbst	w1743
<g/>
=
stehenden	w1745
ältern	w1746
Bruder	w1747
in	w1748
einem	w1749
nicht	w1750
minder	w1751
glänzenden	w1752
Staat	w1753
<g/>
,
demnächst	w1755
ablö=sen	w1756
<g/>
=
wird	w1758
<g/>
.
</p>
<p id="p26">
Die	w1760
üble	w1761
Witterung	w1762
<g/>
,
dauert	w1764
hier	w1765
zu	w1766
Lande	w1767
noch	w1768
immer	w1769
fort	w1770
<g/>
,
und	w1772
man	w1773
befürchtet	w1774
nicht	w1775
ohne	w1776
Grund	w1777
<g/>
,
daß	w1779
durch	w1780
die	w1781
daraus	w1782
entstan=denen	w1783
<g/>
=
Beschädigungen	w1785
in	w1786
verschiedenen	w1787
Pro=vinzen	w1788
<g/>
=
des	w1790
Staats	w1791
die	w1792
heurigen	w1793
Erndten	w1794
<g/>
,
und	w1796
besonders	w1797
jene	w1798
des	w1799
Korns	w1800
<g/>
,
ungemein	w1802
schmal	w1803
ausfallen	w1804
dürften	w1805
<g/>
.
</p>
<p id="p27">
Das	w1807
Polesinische	w1808
<g/>
,
woraus	w1810
die	w1811
hiesige	w1812
Haupt=stadt	w1813
<g/>
=
jederzeit	w1815
den	w1816
größten	w1817
Theil	w1818
ihrer	w1819
Nah=rungsmittel	w1820
<g/>
=
gezogen	w1822
hat	w1823
<g/>
,
ist	w1825
meistentheils	w1826
<g/>
,
und	w1828
besonders	w1829
an	w1830
tiefer	w1831
gelegenen	w1832
Orten	w1833
<g/>
,
un=ter	w1835
<g/>
=
Wasser	w1837
gesetzet	w1838
<g/>
,
und	w1840
die	w1841
