<doc id="wr_1758-01-11" attrs="word" year="1758" month="01" day="11" corpus="2">
<head id="h2_d209e2714">
Paderborn,	w1_d209e2718
noch	w3_d209e3799
beständig	w5_d209e3802
die	w7_d209e3805
Winter=quartiere	w9_d209e3808
der	w1_d209e3814
Reichs=armee	w3_d209e3817
im	w5_d209e3820
Vogtländischen	w7_d209e3823
und	w9_d209e3826
Bareuthischen	w1_d209e3831
allarmiret.	w3_d209e3834
Jn	w5_d209e3837
Graitz	w7_d209e3840
kam	w9_d209e3843
es	w11_d209e3846
den	w1_d209e3851
18.	w3_d209e3854
Decemb.	w5_d209e3857
zu	w7_d209e3860
einem	w9_d209e3863
hitzigen	w11_d209e3866
Gefechte.	w13_d209e3870
Diese	w1_d209e3875
Stadt	w3_d209e3878
verweigerte,	w5_d209e3881
die	w7_d209e3884
ihr	w9_d209e3887
nach	w11_d209e3890
dem	w13_d209e3894
Erzgebürgischen	w1_d209e3900
zu	w3_d209e3903
liefernde	w5_d209e3906
Contribution.	w7_d209e3909
Es	w1_d209e3914
kam	w3_d209e3917
demnach	w5_d209e3920
ein	w7_d209e3923
Corpo	w9_d209e3926
Preußischer	w11_d209e3929
Hus.	w13_d209e3933
saren	w1_d209e3938
auf	w3_d209e3941
Execution	w5_d209e3944
dahin;	w7_d209e3947
alleine	w9_d209e3950
da	w11_d209e3953
sie	w13_d209e3957
nicht	w1_d209e3962
eingelassen	w3_d209e3965
wurden,	w5_d209e3968
so	w7_d209e3971
brauchten	w9_d209e3974
sie	w11_d209e3977
Gewalt,	w1_d209e3983
feuerten	w3_d209e3986
auf	w5_d209e3989
die	w7_d209e3992
sich	w9_d209e3995
widersetzende	w11_d209e3998
Bürgerschaft,	w1_d209e4003
welche	w3_d209e4006
von	w5_d209e4009
60.	w7_d209e4012
K.	w9_d209e4015
K.	w11_d209e4018
Hussaren	w13_d209e4022
unterstützt	w1_d209e4027
wurde,	w3_d209e4030
und	w5_d209e4033
musten	w7_d209e4036
sich	w9_d209e4039
dar	w11_d209e4042
auf	w1_d209e4047
wieder	w3_d209e4050
retiriren.	w5_d209e4053
Jndessen	w7_d209e4056
heist	w9_d209e4059
es,	w11_d209e4062
daß	w1_d209e4068
der	w3_d209e4071
Herr	w5_d209e4074
Feld=marschall	w7_d209e4077
Keith	w9_d209e4080
ein	w11_d209e4083
stär	w13_d209e4087
keres	w1_d209e4092
Corpo	w3_d209e4095
dahin	w5_d209e4098
abgeschickt,	w7_d209e4101
welches	w9_d209e4104
den	w11_d209e4107
23.	w1_d209e4112
ankommen	w3_d209e4115
sollen.	w5_d209e4118
</p>
<head id="h2_d209e4124">
Neapel	w1_d209e4128
23.	w3_d209e4131
Dec.	w5_d209e4134
1757.	w7_d209e4137
</head>
<p id="p4_d209e4140">
Wegen	w1_d209e4144
des	w3_d209e4147
Absterbens	w5_d209e4150
der	w7_d209e4153
Königin	w9_d209e4156
in	w11_d209e4159
Poh	w13_d209e4163
len	w1_d209e4168
Majestät	w3_d209e4171
hat	w5_d209e4174
der	w7_d209e4177
Hof	w9_d209e4180
die	w11_d209e4183
Trauer	w13_d209e4187
ange	w15_d209e4190
zogen,	w1_d209e4195
und	w3_d209e4198
alle	w5_d209e4201
Theatra	w7_d209e4204
verschlossen,	w9_d209e4207
dahero	w11_d209e4210
eine	w1_d209e4216
ganze	w3_d209e4219
Gesellschaft	w5_d209e4222
Schauspieler	w7_d209e4225
von	w9_d209e4228
hier	w11_d209e4231
weg	w1_d209e4236
und	w3_d209e4239
nach	w5_d209e4242
Rom	w7_d209e4245
gegangen	w9_d209e4248
ist.	w11_d209e4251
Die	w13_d209e4255
al	w15_d209e4258
hier	w1_d209e4263
residirende	w3_d209e4266
auswärtige	w5_d209e4269
Minister	w7_d209e4272
confe	w9_d209e4275
riren	w1_d209e4280
sehr	w3_d209e4283
oft	w5_d209e4286
mit	w7_d209e4289
unsern	w9_d209e4292
Königl.	w11_d209e4295
Ministern,	w13_d209e4299
auch	w1_d209e4305
wird	w3_d209e4308
in	w5_d209e4311
höchster	w7_d209e4314
Gegenwart	w9_d209e4317
Sr.	w11_d209e4320
Maje	w13_d209e4324
stät	w1_d209e4329
vielfältig	w3_d209e4332
Staats=raht	w5_d209e4335
gehalten,	w7_d209e4338
ohne	w9_d209e4341
daß	w1_d209e4346
man	w3_d209e4349
erfahren	w5_d209e4352
kan,	w7_d209e4355
was	w9_d209e4358
darinnen	w11_d209e4361
vor	w13_d209e4365
geht	w1_d209e4370
und	w3_d209e4373
beschlossen	w5_d209e4376
wird.	w7_d209e4379
Jndessen	w9_d209e4382
haben	w11_d209e4385
die	w1_d209e4391
abwesende	w3_d209e4394
Officiers	w5_d209e4397
Ordre	w7_d209e4400
erhalten,	w9_d209e4403
bin	w11_d209e4406
nen	w1_d209e4411
einer	w3_d209e4414
Monat=frist	w5_d209e4417
bey	w7_d209e4420
ihren	w9_d209e4423
respective	w11_d209e4426
Regimentern,	w1_d209e4431
welche	w3_d209e4434
in	w5_d209e4437
balden	w7_d209e4440
gar	w9_d209e4443
comple	w11_d209e4446
tirt	w1_d209e4451
seyn	w3_d209e4454
werden,	w5_d209e4457
sich	w7_d209e4460
wiederum	w9_d209e4463
einzufin	w11_d209e4466
den.	w1_d209e4472
</p>
<head id="h2_d209e4478">
Lüneburg	w1_d209e4482
24.	w3_d209e4485
Dec.	w5_d209e4488
1757	w7_d209e4491
</head>
<p id="p4_d209e4494">
Witterung	w1_d209e4498
ist,	w3_d209e4501
so	w5_d209e4504
seynd	w7_d209e4507
So	w1_d209e4512
streng	w3_d209e4515
die	w5_d209e4518
doch	w1_d209e4523
unsere	w3_d209e4526
Trupen	w5_d209e4529
allenthalben	w7_d209e4532
sehr	w9_d209e4535
guten	w11_d209e4538
Muts.	w1_d209e4544
Sie	w3_d209e4547
campiren	w5_d209e4550
unter	w7_d209e4553
Hütten.	w9_d209e4556
Das	w11_d209e4559
Haupt=quartier	w1_d209e4564
war	w3_d209e4567
gestern	w5_d209e4570
Abends	w7_d209e4573
noch	w9_d209e4576
bey	w11_d209e4579
Altenhagen.	w1_d209e4584
Man	w3_d209e4587
hat	w5_d209e4590
bey	w7_d209e4593
diesen	w9_d209e4596
Trupen	w11_d209e4599
einen	w1_d209e4604
Spion	w3_d209e4607
ertapet,	w5_d209e4610
den	w7_d209e4613
man	w9_d209e4616
hieher	w11_d209e4619
brin	w13_d209e4623
gen	w1_d209e4629
wird.	w3_d209e4632
Man	w5_d209e4635
erwartet	w7_d209e4638
ihn	w9_d209e4641
morgen.	w11_d209e4644
Zu	w13_d209e4648
folge	w1_d209e4653
der	w3_d209e4656
mündlichen	w5_d209e4659
Erzehlung	w7_d209e4662
eines	w9_d209e4665
Heßl	w11_d209e4668
schen	w1_d209e4673
Officiers,	w3_d209e4676
welcher	w5_d209e4679
seinen	w7_d209e4682
Posten	w9_d209e4685
mit	w11_d209e4688
von	w13_d209e4692
Harburg	w1_d209e4697
hat,	w3_d209e4700
ist	w5_d209e4703
von	w7_d209e4706
dem	w9_d209e4709
Herrn	w11_d209e4712
General	w13_d209e4716
von	w1_d209e4722
Hardenberg	w3_d209e4725
abermals	w5_d209e4728
ein	w7_d209e4731
Trompeter	w9_d209e4734
in	w1_d209e4739
das	w3_d209e4742
Schliß	w5_d209e4745
geschickt	w7_d209e4748
worden,	w9_d209e4751
dasselbe	w11_d209e4754
auf	w13_d209e4758
zufordern.	w1_d209e4763
Man	w3_d209e4766
hat	w5_d209e4769
ihm	w7_d209e4772
aber	w9_d209e4775
eine	w11_d209e4778
abschläg	w13_d209e4782
liche	w1_d209e4787
Antwort	w3_d209e4790
ertheilet.	w5_d209e4793
Bis	w7_d209e4796
morgen	w9_d209e4799
wird	w11_d209e4802
</p>
<p id="p6_d209e4805">
sich	w1_d209e4809
der	w3_d209e4812
Herr	w5_d209e4815
von	w7_d209e4818
Perreuse	w9_d209e4821
noch	w11_d209e4824
bedenken	w13_d209e4828
kön	w15_d209e4831
nen.	w1_d209e4836
Hernach	w3_d209e4839
ist	w5_d209e4842
nichts	w7_d209e4845
mehr	w9_d209e4848
für	w11_d209e4851
ihn	w13_d209e4855
zu	w15_d209e4858
hof	w17_d209e4861
fen.	w1_d209e4866
Die	w3_d209e4869
Batterien	w5_d209e4872
seynd	w7_d209e4875
fertig,	w9_d209e4878
morgen	w11_d209e4881
dergestalt	w1_d209e4887
zu	w3_d209e4890
bombardiren,	w5_d209e4893
daß	w7_d209e4896
man	w9_d209e4899
näch	w11_d209e4902
stens	w1_d209e4907
da,	w3_d209e4910
wo	w5_d209e4913
nun	w7_d209e4916
das	w9_d209e4919
Schloß	w11_d209e4922
stehet,	w13_d209e4926
eine	w15_d209e4929
Ebene	w1_d209e4934
erblicken	w3_d209e4937
dörfte.	w5_d209e4940
Auf	w7_d209e4943
der	w9_d209e4946
Wasser=seite	w11_d209e4949
wird	w1_d209e4954
auch	w3_d209e4957
nicht	w5_d209e4960
davon	w7_d209e4963
zu	w9_d209e4966
kommen	w11_d209e4969
seyn,	w13_d209e4973
weil	w15_d209e4976
daselbst	w1_d209e4982
alle	w3_d209e4985
Abgänge	w5_d209e4988
besetzt	w7_d209e4991
seynd.	w9_d209e4994
</p>
<head id="h2_d209e5001">
Danzig	w1_d209e5005
26.	w3_d209e5008
Dec.	w5_d209e5011
1757.	w7_d209e5014
</head>
<p id="p4_d209e5017">
Denen	w1_d209e5021
neuesten	w3_d209e5024
Nachrichten	w5_d209e5027
aus	w7_d209e5030
Pommern	w9_d209e5033
zu	w1_d209e5038
folge,	w3_d209e5041
stehet	w5_d209e5044
die	w7_d209e5047
Preußische	w9_d209e5050
Armee	w11_d209e5053
seit	w13_d209e5057
den	w15_d209e5060
20.	w1_d209e5065
Dec.	w3_d209e5068
bey	w5_d209e5071
Ferdinands=hof,	w7_d209e5074
dem	w9_d209e5077
ehrma	w11_d209e5080
ligen	w1_d209e5086
Schwedischen	w3_d209e5089
Haupt=quartier.	w5_d209e5092
Die	w7_d209e5095
Bewegungen	w1_d209e5100
welche	w3_d209e5103
sie	w5_d209e5106
macht,	w7_d209e5109
zielen	w9_d209e5112
vornäm	w11_d209e5115
lich	w1_d209e5120
auf	w3_d209e5123
die	w5_d209e5126
Belagerung	w7_d209e5129
von	w9_d209e5132
Anclam,	w11_d209e5135
in	w13_d209e5139
welcher	w1_d209e5144
Gegend	w3_d209e5147
sich	w5_d209e5150
auch	w7_d209e5153
die	w9_d209e5156
Schwedische	w11_d209e5159
Armee	w1_d209e5165
befindet,	w3_d209e5168
die	w5_d209e5171
Vorstädte	w7_d209e5174
dieser	w9_d209e5177
Stadt	w11_d209e5180
seynd	w1_d209e5185
gänzlich	w3_d209e5188
rasirt,	w5_d209e5191
die	w7_d209e5194
Brücken	w9_d209e5197
über	w11_d209e5200
die	w13_d209e5204
Warnow	w1_d209e5209
abgeworfen,	w3_d209e5212
und	w5_d209e5215
beyde	w7_d209e5218
Armeen	w9_d209e5221
ste	w11_d209e5224
hen	w1_d209e5229
keine	w3_d209e5232
4.	w5_d209e5235
Meilen	w7_d209e5238
von	w9_d209e5241
einander.	w11_d209e5244
</p>
<head id="h2_d209e5250">
Warschau	w1_d209e5254
15.	w3_d209e5257
Dec.	w5_d209e5260
1757.	w7_d209e5263
</head>
<p id="p4_d209e5266">
Gestern	w1_d209e5270
kamen	w3_d209e5273
unsere	w5_d209e5276
beyde	w7_d209e5279
Prinzen,	w9_d209e5282
Xaver	w11_d209e5285
und	w1_d209e5290
Carl	w3_d209e5293
Königl.	w5_d209e5296
Hoheiten,	w7_d209e5299
zur	w9_d209e5302
Freude	w11_d209e5305
des	w13_d209e5309
ganzen	w1_d209e5314
Hofes,	w3_d209e5317
alhier	w5_d209e5320
an,	w7_d209e5323
</p>
<head id="h2_d209e5329">
Niederselbe	w1_d209e5333
27.	w3_d209e5336
Der.	w5_d209e5339
1757.	w7_d209e5342
</head>
<p id="p4_d209e5345">
Bis	w1_d209e5349
diesen	w3_d209e5352
Morgen	w5_d209e5355
nach	w7_d209e5358
10.	w9_d209e5361
Uhr	w11_d209e5364
hat	w13_d209e5368
die	w15_d209e5371
Canonade	w1_d209e5376
auf	w3_d209e5379
das	w5_d209e5382
Schloß	w7_d209e5385
Harburg	w9_d209e5388
sehr	w11_d209e5391
heftig	w1_d209e5396
angehalten.	w3_d209e5399
Allein,	w5_d209e5402
hernach	w7_d209e5405
ist	w9_d209e5408
eine	w11_d209e5411
allgemeine	w1_d209e5417
Stille	w3_d209e5420
bemerket	w5_d209e5423
worden:	w7_d209e5426
und	w9_d209e5429
man	w11_d209e5432
hat	w1_d209e5437
diesen	w3_d209e5440
Nachmittag	w5_d209e5443
erfahren,	w7_d209e5446
daß	w9_d209e5449
der	w11_d209e5452
Hr.	w13_d209e5456
von	w1_d209e5461
Perreuse	w3_d209e5464
gegen	w5_d209e5467
11.	w7_d209e5470
Uhr	w9_d209e5473
die	w11_d209e5476
Chamad	w13_d209e5480
ha	w15_d209e5483
be	w1_d209e5488
schlagen	w3_d209e5491
lassen.	w5_d209e5494
Wegen	w7_d209e5497
des	w9_d209e5500
starken	w11_d209e5503
Eis	w13_d209e5507
gangs	w1_d209e5513
in	w3_d209e5516
der	w5_d209e5519
Elbe	w7_d209e5522
gehen	w9_d209e5525
die	w11_d209e5528
Nachrichten	w13_d209e5532
et	w15_d209e5535
was	w1_d209e5540
langsam	w3_d209e5543
ein;	w5_d209e5546
daher	w7_d209e5549
man	w9_d209e5552
vor	w11_d209e5555
dem	w13_d209e5559
Thor	w15_d209e5562
schlusse	w1_d209e5567
noch	w3_d209e5570
keine	w5_d209e5573
nähere	w7_d209e5576
Particularia	w9_d209e5579
hat	w11_d209e5582
erfahren	w1_d209e5587
können,	w3_d209e5590
Nur	w5_d209e5593
heist	w7_d209e5596
es,	w9_d209e5599
daß	w11_d209e5602
die	w13_d209e5606
Be	w15_d209e5609
satzung	w1_d209e5615
diesen	w3_d209e5618
Morgen	w5_d209e5621
den	w7_d209e5624
Schloß=graben	w9_d209e5627
hätte	w1_d209e5632
aufeisen	w3_d209e5635
wollen,	w5_d209e5638
bey	w7_d209e5641
welcher	w9_d209e5644
Arbeit	w11_d209e5647
sie	w13_d209e5651
einen	w1_d209e5656
sehr	w3_d209e5659
hitzigen	w5_d209e5662
Anfall	w7_d209e5665
von	w9_d209e5668
denen	w11_d209e5671
Hannove	w13_d209e5675
ranern	w1_d209e5680
hätten	w3_d209e5683
ausstehen	w5_d209e5686
müssen	w7_d209e5689
</p>
<head id="h2_d209e5695">
Lubeck,	w1_d209e5699
25.	w3_d209e5702
Decemb.	w5_d209e5705
1757.	w7_d209e5708
</head>
<p id="p4_d209e5711">
Gestern	w1_d209e5715
Abend	w3_d209e5718
langten	w5_d209e5721
Se.	w7_d209e5724
Durchleucht,	w9_d209e5727
der	w1_d209e5732
regierende	w3_d209e5735
Herzog	w5_d209e5738
von	w7_d209e5741
Mecklenburg,	w9_d209e5744
nebst	w11_d209e5747
Dero	w1_d209e5752
Frau	w3_d209e5755
Gemahlin	w5_d209e5758
und	w7_d209e5761
Dero	w9_d209e5764
geheimen	w11_d209e5767
Räthen,	w1_d209e5773
alhier	w3_d209e5776
unvermutet	w5_d209e5779
an,	w7_d209e5782
und	w9_d209e5785
über	w11_d209e5788
morgen	w1_d209e5793
wird	w3_d209e5796
auch	w5_d209e5799
der	w7_d209e5802
Prinz	w9_d209e5805
Ludewig	w11_d209e5808
mit	w13_d209e5812
seiner	w1_d209e5817
Gemahlin	w3_d209e5820
erwartet.	w5_d209e5823
Die	w7_d209e5826
Ursache	w9_d209e5829
die	w11_d209e5832
ser	w1_d209e5837
unverhofften	w3_d209e5840
hohen	w5_d209e5843
Ankunft	w7_d209e5846
sollen,	w9_d209e5849
dem	w11_d209e5852
Vernehmen	w1_d209e5858
nach,	w3_d209e5861
die	w5_d209e5864
in	w7_d209e5867
das	w9_d209e5870
Mecklenburgi	w11_d209e5873
sche	w1_d209e5878
eingerückte	w3_d209e5881
Preußische	w5_d209e5884
Hussaren	w7_d209e5887
seyn.	w9_d209e5890
</p>
<p id="p10_d209e5903">
Die	w1_d209e5907
Königl.	w3_d209e5910
Escadre	w5_d209e5913
unterm	w7_d209e5916
Commando	w9_d209e5919
des	w1_d209e5924
Grafen	w3_d209e5927
Dubois	w5_d209e5930
de	w7_d209e5933
la	w9_d209e5936
Mothe,	w11_d209e5939
kam	w13_d209e5943
am	w15_d209e5946
23sten	w1_d209e5951
des	w3_d209e5954
abgewichenen	w5_d209e5957
Monats	w7_d209e5960
mit	w9_d209e5963
16.	w11_d209e5966
Schiffen	w1_d209e5972
von	w3_d209e5975
der	w5_d209e5978
Linie	w7_d209e5981
und	w9_d209e5984
dem	w11_d209e5987
Hospital	w13_d209e5991
schiffe	w1_d209e5996
auf	w3_d209e5999
hiesiger	w5_d209e6002
Rheede	w7_d209e6005
an.	w9_d209e6008
Den	w11_d209e6011
30sten	w13_d209e6015
October	w1_d209e6020
hatte	w3_d209e6023
sie	w5_d209e6026
von	w7_d209e6029
Loutsburg	w9_d209e6032
abgestossen;	w11_d209e6035
ihre	w1_d209e6040
Bestimmung	w3_d209e6043
war	w5_d209e6046
gewesen,	w7_d209e6049
die	w9_d209e6052
Englän	w11_d209e6055
der	w1_d209e6061
zu	w3_d209e6064
hindern,	w5_d209e6067
daß	w7_d209e6070
sie	w9_d209e6073
nicht	w11_d209e6076
ihre	w13_d209e6080
Anschläg	w15_d209e6083
auf	w1_d209e6088
Lauisburg	w3_d209e6091
und	w5_d209e6094
Quebeck	w7_d209e6097
ausführeten,	w9_d209e6100
als	w1_d209e6105
wozu	w3_d209e6108
sie	w5_d209e6111
so	w7_d209e6114
grosse	w9_d209e6117
Anstalten	w11_d209e6120
vorgekehrt.	w13_d209e6124
Obgedachter	w1_d209e6129
Herr	w3_d209e6132
Graf	w5_d209e6135
erfuhr	w7_d209e6138
bey	w9_d209e6141
Zeiten,	w11_d209e6144
daß	w1_d209e6150
sich	w3_d209e6153
der	w5_d209e6156
Graf	w7_d209e6159
von	w9_d209e6162
Loudon	w11_d209e6165
von	w13_d209e6169
Neu=yorck	w15_d209e6172
nach	w1_d209e6177
Hallisax	w3_d209e6180
begeben;	w5_d209e6183
daß	w7_d209e6186
allda	w9_d209e6189
die	w11_d209e6192
Flotte	w13_d209e6196
des	w1_d209e6201
Admirals	w3_d209e6204
Holbourne	w5_d209e6207
nebst	w7_d209e6210
verschiedenen	w9_d209e6213
Regimentern	w1_d209e6218
regulirter	w3_d209e6221
Trupen,	w5_d209e6224
einem	w7_d209e6227
ansehn	w9_d209e6230
lichen	w1_d209e6236
Zuge	w3_d209e6239
Artillerie	w5_d209e6242
und	w7_d209e6245
allen	w9_d209e6248
Nothwendig	w11_d209e6251
keiten	w1_d209e6256
zu	w3_d209e6259
einer	w5_d209e6262
wichtigen	w7_d209e6265
Unternehmung	w9_d209e6268
zu	w11_d209e6271
ihm	w13_d209e6275
gestossen,	w1_d209e6280
ausser	w3_d209e6283
einem	w5_d209e6286
Corps	w7_d209e6289
von	w9_d209e6292
10000.	w11_d209e6295
Mann,	w1_d209e6300
welche	w3_d209e6303
der	w5_d209e6306
Herr	w7_d209e6309
Graf	w9_d209e6312
bereits	w11_d209e6315
allda	w13_d209e6319
versammelt	w1_d209e6325
gehabt.	w3_d209e6328
Den	w5_d209e6331
19den	w7_d209e6334
Augusti	w9_d209e6337
