<doc id="wr_1758-01-21" attrs="word" year="1758" month="01" day="21" corpus="2">
<head id="h2_d212e3556">
Lüneburg,	w1_d212e3560
Kriegs=schiffe	w3_d212e4493
nach	w5_d212e4496
dene	w7_d212e4499
Küsten	w9_d212e4502
von	w11_d212e4505
Schott	w13_d212e4509
land	w1_d212e4514
abgeschicket,	w3_d212e4517
um	w5_d212e4520
verschiedene	w7_d212e4523
Franzö	w9_d212e4526
</p>
<p id="p10_d212e4539">
sische	w1_d212e4543
Caper,	w3_d212e4546
so	w5_d212e4549
allda	w7_d212e4552
creutzen,	w9_d212e4555
zu	w11_d212e4558
verkreiben.	w13_d212e4562
Es	w1_d212e4567
ist	w3_d212e4570
die	w5_d212e4573
Ordre	w7_d212e4576
ergangen,	w9_d212e4579
die	w11_d212e4582
Regimenter	w13_d212e4586
Gardes	w1_d212e4591
zu	w3_d212e4594
Fuß	w5_d212e4597
aufs	w7_d212e4600
schleunigste	w9_d212e4603
zu	w11_d212e4606
comple	w13_d212e4610
tiren.	w1_d212e4616
Zufolg	w3_d212e4619
einem	w5_d212e4622
Brief	w7_d212e4625
von	w9_d212e4628
Livorno,	w11_d212e4631
solle	w1_d212e4636
das	w3_d212e4639
Kriegs=schif,	w5_d212e4642
der	w7_d212e4645
Hamptoncourt,	w9_d212e4648
in	w1_d212e4653
der	w3_d212e4656
Mitteländischen	w5_d212e4659
See	w7_d212e4662
mit	w9_d212e4665
allem,	w11_d212e4668
was	w13_d212e4672
durauf	w1_d212e4677
gewesen,	w3_d212e4680
verunglückt	w5_d212e4683
seyn.	w7_d212e4686
Das	w9_d212e4689
Unterhaus	w1_d212e4695
hat	w3_d212e4698
in	w5_d212e4701
einer	w7_d212e4704
Committe	w9_d212e4707
beschlos	w11_d212e4710
sen,	w1_d212e4715
53777.	w3_d212e4718
Mann	w5_d212e4721
zu	w7_d212e4724
dem	w9_d212e4727
Land=dienst	w11_d212e4730
wäh	w13_d212e4734
rend	w1_d212e4739
gegenwärtig	w3_d212e4742
eingehenden	w5_d212e4745
1758sten	w7_d212e4748
Jahr	w9_d212e4751
zu	w1_d212e4756
gebrauchen,	w3_d212e4759
die	w5_d212e4762
Jnvaliden	w7_d212e4765
und	w9_d212e4768
Garniso	w11_d212e4771
nen	w1_d212e4777
darunter	w3_d212e4780
begriffen,	w5_d212e4783
und	w7_d212e4786
zum	w9_d212e4789
Unterhalt	w11_d212e4792
dieser	w1_d212e4797
Trupen	w3_d212e4800
1253568.	w5_d212e4803
Pfund	w7_d212e4806
Sterling	w9_d212e4809
zu	w11_d212e4812
zustehen.	w1_d212e4817
Die	w3_d212e4820
Regierung	w5_d212e4823
hat	w7_d212e4826
Ordre	w9_d212e4829
gegeben,	w11_d212e4832
fördersamst	w1_d212e4837
8.	w3_d212e4840
Kriegs=schiffe	w5_d212e4843
von	w7_d212e4846
der	w9_d212e4849
Linie	w11_d212e4852
auszurüsten,	w1_d212e4858
welche	w3_d212e4861
gewiedmet	w5_d212e4864
seynd,	w7_d212e4867
dieje	w9_d212e4870
nige,	w1_d212e4875
so	w3_d212e4878
die	w5_d212e4881
Admiralen	w7_d212e4884
Pocock	w9_d212e4887
und	w11_d212e4890
Watson	w13_d212e4894
in	w1_d212e4899
denen	w3_d212e4902
West=Jndien	w5_d212e4905
unter	w7_d212e4908
ihrem	w9_d212e4911
Commando	w11_d212e4914
haben,	w1_d212e4919
abzulösen	w3_d212e4922
</p>
<p id="p12_d212e4926">
Vor	w1_d212e4930
einigen	w3_d212e4933
Tagen	w5_d212e4936
war	w7_d212e4939
zu	w9_d212e4942
Landcaster	w11_d212e4945
ein	w13_d212e4949
Aufstand	w1_d212e4954
wegen	w3_d212e4957
der	w5_d212e4960
Theurung	w7_d212e4963
des	w9_d212e4966
Brods.	w11_d212e4969
Die	w1_d212e4974
Unruhe	w3_d212e4977
war	w5_d212e4980
so	w7_d212e4983
groß,	w9_d212e4986
daß	w11_d212e4989
die	w13_d212e4993
herumli	w15_d212e4996
gende	w1_d212e5002
Soldaten	w3_d212e5005
zu	w5_d212e5008
Hülfe	w7_d212e5011
eilen	w9_d212e5014
musten,	w11_d212e5017
und	w13_d212e5021
es	w1_d212e5026
sind	w3_d212e5029
12.	w5_d212e5032
Personen	w7_d212e5035
dabey	w9_d212e5038
erschossen	w11_d212e5041
wor	w13_d212e5045
den.	w1_d212e5050
</p>
<p id="p14_d212e5053">
Briefe	w1_d212e5057
von	w3_d212e5060
Gibraltar	w5_d212e5063
melden,	w7_d212e5066
daß	w9_d212e5069
der	w11_d212e5072
Ab	w13_d212e5076
miral	w1_d212e5081
Osborne	w3_d212e5084
auf	w5_d212e5087
die	w7_d212e5090
erhaltene	w9_d212e5093
Nachricht,	w11_d212e5096
daß	w1_d212e5101
verschiedene	w3_d212e5104
Französische	w5_d212e5107
Kriegs=schiffe	w7_d212e5110
von	w1_d212e5116
Toulon	w3_d212e5119
ausgeloffen	w5_d212e5122
wären,	w7_d212e5125
sogleich	w9_d212e5128
seine	w11_d212e5131
aus	w1_d212e5136
13.	w3_d212e5139
Schiffen	w5_d212e5142
bestehende	w7_d212e5145
Flotte	w9_d212e5148
in	w11_d212e5151
2.	w13_d212e5155
Divi	w15_d212e5158
sionen	w1_d212e5163
getheilet	w3_d212e5166
habe,	w5_d212e5169
um	w7_d212e5172
ihnen	w9_d212e5175
den	w11_d212e5178
Weg	w13_d212e5182
zu	w15_d212e5185
sperren.	w1_d212e5190
Es	w3_d212e5193
ist	w5_d212e5196
unrichtig,	w7_d212e5199
daß	w9_d212e5202
der	w11_d212e5205
König	w13_d212e5209
dem	w1_d212e5215
Ritter	w3_d212e5218
Ligonier	w5_d212e5221
den	w7_d212e5224
Titul	w9_d212e5227
als	w11_d212e5230
Lord	w13_d212e5234
Sal	w15_d212e5237
vage	w1_d212e5242
beygeleget	w3_d212e5245
habe;	w5_d212e5248
sondern	w7_d212e5251
Se.	w9_d212e5254
Majestät	w11_d212e5257
haben	w1_d212e5262
ihm	w3_d212e5265
bey	w5_d212e5268
Verleihung	w7_d212e5271
der	w9_d212e5274
Pairs=würde	w11_d212e5277
den	w1_d212e5282
Namen	w3_d212e5285
und	w5_d212e5288
den	w7_d212e5291
Titul	w9_d212e5294
als	w11_d212e5297
Vicomte	w13_d212e5301
Li	w15_d212e5304
gonier	w1_d212e5310
von	w3_d212e5313
Ennerskillen	w5_d212e5316
in	w7_d212e5319
dem	w9_d212e5322
Königreiche	w11_d212e5325
Jrrland	w1_d212e5330
gegeben.	w3_d212e5333
</p>
<head id="h2_d212e5339">
Haag,	w1_d212e5343
2.	w3_d212e5346
Januarii.	w5_d212e5349
</head>
<p id="p4_d212e5352">
Unsere	w1_d212e5356
Juden	w3_d212e5359
haben	w5_d212e5362
so	w7_d212e5365
viele	w9_d212e5368
Bewegungen	w11_d212e5371
gemacht,	w1_d212e5376
und	w3_d212e5379
so	w5_d212e5382
viele	w7_d212e5385
Bittschriften	w9_d212e5388
überrei	w11_d212e5391
chet,	w1_d212e5396
wegen	w3_d212e5399
der	w5_d212e5402
zu	w7_d212e5405
Osnabrük	w9_d212e5408
geschehenen	w11_d212e5411
Geld=wegnahme,	w1_d212e5417
daß	w3_d212e5420
Jhre	w5_d212e5423
Hochmögenden	w7_d212e5426
den	w1_d212e5431
22.	w3_d212e5434
abgewichenen	w5_d212e5437
Monats	w7_d212e5440
folgenden	w9_d212e5443
Ent	w11_d212e5446
schlus	w1_d212e5451
fasseten.	w3_d212e5454
</p>
<p id="p6_d212e5457">
Es	w1_d212e5461
ist	w3_d212e5464
für	w5_d212e5467
gut	w7_d212e5470
befunden	w9_d212e5473
und	w11_d212e5476
beschlossen	w13_d212e5480
wor	w15_d212e5483
ben,	w1_d212e5488
daß	w3_d212e5491
eine	w5_d212e5494
Copie	w7_d212e5497
von	w9_d212e5500
der	w11_d212e5503
Bittschrift	w13_d212e5507
und	w15_d212e5510
Declaration,	w1_d212e5515
so	w3_d212e5518
derselben	w5_d212e5521
zum	w7_d212e5524
Beweis	w9_d212e5527
ange	w11_d212e5530
füget	w1_d212e5536
ist,	w3_d212e5539
daß	w5_d212e5542
das	w7_d212e5545
Geldneutralen	w9_d212e5548
Kaufleuten	w11_d212e5551
</p>
<p id="p8_d212e5554">
zugehöre,	w1_d212e5558
dem	w3_d212e5561
Herrn	w5_d212e5564
von	w7_d212e5567
Lestevenon	w9_d212e5570
von	w11_d212e5573
Ber	w13_d212e5577
kenrode,	w1_d212e5582
Ambassadeur	w3_d212e5585
Jhrer	w5_d212e5588
Hochmögenden	w7_d212e5591
an	w1_d212e5596
dem	w3_d212e5599
Französischen	w5_d212e5602
Hofe,	w7_d212e5605
übersendet,	w9_d212e5608
und	w11_d212e5611
zugleich	w1_d212e5617
demselben	w3_d212e5620
anbefohlen	w5_d212e5623
werde,	w7_d212e5626
auf	w9_d212e5629
die	w11_d212e5632
ernstlichste	w1_d212e5637
Weise,	w3_d212e5640
und	w5_d212e5643
auf	w7_d212e5646
die	w9_d212e5649
in	w11_d212e5652
gemeldter	w13_d212e5656
Bittschrift	w1_d212e5661
enthaltene	w3_d212e5664
Gründe,	w5_d212e5667
dergestalten,	w7_d212e5670
und	w1_d212e5675
alda	w3_d212e5678
wo	w5_d212e5681
es	w7_d212e5684
am	w9_d212e5687
nützlichsten	w11_d212e5690
ist,	w13_d212e5694
Vorstel	w15_d212e5697
lung	w1_d212e5703
zu	w3_d212e5706
thun	w5_d212e5709
wegen	w7_d212e5712
der	w9_d212e5715
äussersten	w11_d212e5718
Verlegen	w13_d212e5722
heit,	w1_d212e5727
worinn	w3_d212e5730
sich	w5_d212e5733
die	w7_d212e5736
Supplicirende,	w9_d212e5739
sowol	w11_d212e5742
als	w1_d212e5747
die	w3_d212e5750
dabey	w5_d212e5753
interessirte	w7_d212e5756
Kaufleute	w9_d212e5759
durch	w11_d212e5762
die	w13_d212e5766
Wegnahme	w1_d212e5771
einer	w3_d212e5774
so	w5_d212e5777
wichtigen	w7_d212e5780
Summa	w9_d212e5783
Gel	w11_d212e5786
des	w1_d212e5792
befinden,	w3_d212e5795
wie	w5_d212e5798
auch	w7_d212e5801
des	w9_d212e5804
grossen	w11_d212e5807
und	w13_d212e5811
äus	w15_d212e5814
sersten	w1_d212e5819
Schadens	w3_d212e5822
und	w5_d212e5825
Nachtheils,	w7_d212e5828
welcher	w9_d212e5831
nicht	w1_d212e5836
allein	w3_d212e5839
zu	w5_d212e5842
ihrem	w7_d212e5845
gänzlichen	w9_d212e5848
Ruin	w11_d212e5851
daraus	w13_d212e5855
etwachset,	w1_d212e5860
sondern	w3_d212e5863
auch	w5_d212e5866
durch	w7_d212e5869
die	w9_d212e5872
Einschrän	w11_d212e5875
kung	w1_d212e5881
des	w3_d212e5884
Commercii	w5_d212e5887
überhaupts	w7_d212e5890
in	w9_d212e5893
dem	w11_d212e5896
Fall,	w13_d212e5900
da	w1_d212e5905
man	w3_d212e5908
nicht	w5_d212e5911
schleunig	w7_d212e5914
demselben	w9_d212e5917
abhelfliche	w11_d212e5920
Masse	w1_d212e5925
setzet,	w3_d212e5928
und	w5_d212e5931
folglich	w7_d212e5934
mit	w9_d212e5937
allem	w11_d212e5940
mögli	w13_d212e5944
chen	w1_d212e5949
Anhalten	w3_d212e5952
zu	w5_d212e5955
fordern,	w7_d212e5958
und	w9_d212e5961
zu	w11_d212e5964
begehren,	w13_d212e5968
auch	w1_d212e5974
die	w3_d212e5977
kräftigste	w5_d212e5980
Bemühungen	w7_d212e5983
dahin	w9_d212e5986
anzu	w11_d212e5989
wenden,	w1_d212e5994
daß	w3_d212e5997
man	w5_d212e6000
alsobald	w7_d212e6003
und	w9_d212e6006
unverzüglich	w11_d212e6009
von	w1_d212e6014
Seite	w3_d212e6017
Sr.	w5_d212e6020
Majestät	w7_d212e6023
des	w9_d212e6026
Königs	w11_d212e6029
von	w13_d212e6033
Frankreich	w1_d212e6038
die	w3_d212e6041
gemessenste	w5_d212e6044
Befehle	w7_d212e6047
ertheile,	w9_d212e6050
damit	w1_d212e6056
die	w3_d212e6059
Fässer,	w5_d212e6062
Cassen,	w7_d212e6065
und	w9_d212e6068
Coffres	w11_d212e6071
mit	w13_d212e6075
Geld	w1_d212e6080
unmittelbar	w3_d212e6083
in	w5_d212e6086
das	w7_d212e6089
Haus	w9_d212e6092
des	w11_d212e6095
Postmei	w13_d212e6099
sters	w1_d212e6104
zu	w3_d212e6107
Osnabrück	w5_d212e6110
zurükgebracht,	w7_d212e6113
oder	w9_d212e6116
aber	w11_d212e6119
in	w1_d212e6124
dieses	w3_d212e6127
Land	w5_d212e6130
zurück	w7_d212e6133
gesendet	w9_d212e6136
werden,	w11_d212e6139
auch	w13_d212e6143
daß	w1_d212e6149
von	w3_d212e6152
Sr.	w5_d212e6155
Majestät	w7_d212e6158
die	w9_d212e6161
nöhtigen	w11_d212e6164
Veran	w13_d212e6168
staltungen	w1_d212e6173
getroffen	w3_d212e6176
werden,	w5_d212e6179
damit	w7_d212e6182
künftig	w9_d212e6185
hin	w1_d212e6190
dergleichen	w3_d212e6193
unanständigen	w5_d212e6196
Behandlungen	w7_d212e6199
vorgebeuget	w1_d212e6204
werde.	w3_d212e6207
Und	w5_d212e6210
soll	w7_d212e6213
der	w9_d212e6216
Extract	w11_d212e6219
die	w13_d212e6223
ser	w1_d212e6229
Entschliessung	w3_d212e6232
Jhrer	w5_d212e6235
Hochmögenden	w7_d212e6238
zusamt	w9_d212e6241
der	w1_d212e6246
Copie,	w3_d212e6249
oben	w5_d212e6252
gemeldeter	w7_d212e6255
Bittschriften,	w9_d212e6258
und	w11_d212e6261
Declaration	w1_d212e6266
durch	w3_d212e6269
den	w5_d212e6272
Agent	w7_d212e6275
Byemont	w9_d212e6278
dem	w11_d212e6281
Herrn	w1_d212e6286
Grafen	w3_d212e6289
von	w5_d212e6292
Afry,	w7_d212e6295
bevollmächtigten	w9_d212e6298
Französischen	w1_d212e6304
Ministern	w3_d212e6307
zugestellet	w5_d212e6310
werden,	w7_d212e6313
mit	w1_d212e6318
freundlich	w3_d212e6321
und	w5_d212e6324
dienstlicher	w7_d212e6327
Bitte,	w9_d212e6330
daß	w11_d212e6333
er	w1_d212e6338
geruhen	w3_d212e6341
möge,	w5_d212e6344
die	w7_d212e6347
Vorstellungen,	w9_d212e6350
so	w11_d212e6353
die	w13_d212e6357
serhalben	w1_d212e6362
sowol	w3_d212e6365
an	w5_d212e6368
seinem	w7_d212e6371
Hofe	w9_d212e6374
als	w11_d212e6377
bey	w13_d212e6381
dem	w1_d212e6387
Herrn	w3_d212e6390
Marschall	w5_d212e6393
von	w7_d212e6396
Rich	w9_d212e6399
lieu	w11_d212e6402
gemacht	w13_d212e6406
werden	w1_d212e6411
sollen,	w3_d212e6414
durch	w5_d212e6417
seine	w7_d212e6420
gute	w9_d212e6423
Bemühungen	w11_d212e6426
nachdrüklich	w1_d212e6431
zu	w3_d212e6434
unterstützen,	w5_d212e6437
und	w7_d212e6440
indessen	w9_d212e6443
an	w11_d212e6446
den	w1_d212e6451
Comissarium	w3_d212e6454
Beauregard	w5_d212e6457
von	w7_d212e6460
Belleisle	w9_d212e6463
zu	w1_d212e6469
Osnabrück	w3_d212e6472
zu	w5_d212e6475
schreiben,	w7_d212e6478
daß	w9_d212e6481
er	w11_d212e6484
gemeldetes	w13_d212e6488
Geld	w1_d212e6493
nicht	w3_d212e6496
weiters	w5_d212e6499
bringen	w7_d212e6502
lasse.	w9_d212e6505
</p>
<head id="h2_d212e6511">
Danzig	w1_d212e6515
2.	w3_d212e6518
Jan.	w5_d212e6521
</head>
<p id="p4_d212e6524">
Aus	w1_d212e6528
Pommern	w3_d212e6531
lauten	w5_d212e6534
die	w7_d212e6537
neuesten	w9_d212e6540
Nach	w11_d212e6543
richten	w1_d212e6548
sehr	w3_d212e6551
kriegerisch.	w5_d212e6554
Die	w7_d212e6557
Schwedischen	w9_d212e6560
Trupen	w1_d212e6565
verliessen	w3_d212e6568
den	w5_d212e6571
26.	w7_d212e6574
Dec.	w9_d212e6577
Schwine	w11_d212e6580
</p>
<p id="p10_d212e6593">
münde,	w1_d212e6597
und	w3_d212e6600
zogen	w5_d212e6603
sich	w7_d212e6606
zurücke	w9_d212e6609
hinter	w11_d212e6612
Anclam.	w13_d212e6616
Den	w1_d212e6621
31.	w3_d212e6624
giengen	w5_d212e6627
die	w7_d212e6630
Preussen	w9_d212e6633
über	w11_d212e6636
die	w13_d212e6640
Peene,	w15_d212e6643
und	w1_d212e6648
näherten	w3_d212e6651
sich	w5_d212e6654
der	w7_d212e6657
Stadt	w9_d212e6660
Demmin	w11_d212e6663
von	w13_d212e6667
allen	w1_d212e6673
Seiten.	w3_d212e6676
Sie	w5_d212e6679
forderten	w7_d212e6682
den	w9_d212e6685
Comman	w11_d212e6688
danten	w1_d212e6693
zur	w3_d212e6696
Ubergabe	w5_d212e6699
auf,	w7_d212e6702
alleine	w9_d212e6705
er	w11_d212e6708
schlug	w13_d212e6712
dieselbe	w1_d212e6717
ab,	w3_d212e6720
und	w5_d212e6723
ließ	w7_d212e6726
aus	w9_d212e6729
allen	w11_d212e6732
Canonen	w13_d212e6736
feuern.	w1_d212e6741
Die	w3_d212e6744
Preussen,	w5_d212e6747
welche	w7_d212e6750
kein	w9_d212e6753
schweres	w11_d212e6756
Geschütz	w1_d212e6762
hatten,	w3_d212e6765
musten	w5_d212e6768
sich	w7_d212e6771
auf	w9_d212e6774
die	w11_d212e6777
Dör	w13_d212e6781
fer	w1_d212e6786
ziehen,	w3_d212e6789
und	w5_d212e6792
erst	w7_d212e6795
die	w9_d212e6798
Canonen	w11_d212e6801
von	w13_d212e6805
dem	w15_d212e6808
Corps	w1_d212e6813
welches	w3_d212e6816
vor	w5_d212e6819
Anclam	w7_d212e6822
stehet,	w9_d212e6825
erwarten.	w11_d212e6828
Den	w1_d212e6833
1.	w3_d212e6836
verließ	w5_d212e6839
die	w7_d212e6842
Schwedische	w9_d212e6845
Garnison	w11_d212e6848
Anclam.	w1_d212e6854
Sie	w3_d212e6857
erfuhr,	w5_d212e6860
daß	w7_d212e6863
die	w9_d212e6866
Preussen	w11_d212e6869
die	w13_d212e6873
Peene	w1_d212e6878
paßirt	w3_d212e6881
wären,	w5_d212e6884
und	w7_d212e6887
hatte	w9_d212e6890
also	w11_d212e6893
zu	w13_d212e6897
be	w15_d212e6900
förchten	w1_d212e6905
im	w3_d212e6908
Rücken	w5_d212e6911
angegriffen	w7_d212e6914
zu	w9_d212e6917
werden.	w11_d212e6920
Man	w1_d212e6925
ließ	w3_d212e6928
indessen	w5_d212e6931
170.	w7_d212e6934
Mann	w9_d212e6937
zurücke,	w11_d212e6940
wel	w13_d212e6944
che	w1_d212e6950
aber	w3_d212e6953
zu	w5_d212e6956
Kriegs=gefangene	w7_d212e6959
gemacht	w9_d212e6962
werden.	w11_d212e6965
Die	w1_d212e6970
Garnison	w3_d212e6973
von	w5_d212e6976
Demmin,	w7_d212e6979
welche	w9_d212e6982
aus	w11_d212e6985
3000.	w1_d212e6990
Mann	w3_d212e6993
bestehet,	w5_d212e6996
hat	w7_d212e6999
sich	w9_d212e7002
auf	w11_d212e7005
gleiche	w13_d212e7009
Weise	w1_d212e7014
weg	w3_d212e7017
begeben	w5_d212e7020
wollen;	w7_d212e7023
alleine	w9_d212e7026
sie	w11_d212e7029
wurde	w13_d212e7033
gezwungen,	w1_d212e7039
sich	w3_d212e7042
wieder	w5_d212e7045
in	w7_d212e7048
die	w9_d212e7051
Festung	w11_d212e7054
zu	w13_d212e7058
zie	w15_d212e7061
hen,	w1_d212e7066
weil	w3_d212e7069
sich	w5_d212e7072
ein	w7_d212e7075
Preußisches	w9_d212e7078
Corpo	w11_d212e7081
von	w13_d212e7085
8000.	w1_d212e7090
Mann	w3_d212e7093
ihr	w5_d212e7096
entgegen	w7_d212e7099
setzte.	w9_d212e7102
</p>
<head id="h2_d212e7109">
Paris	w1_d212e7113
2.	w3_d212e7116
Jan.	w5_d212e7119
</head>
<p id="p4_d212e7122">
Der	w1_d212e7126
König	w3_d212e7129
hat	w5_d212e7132
von	w7_d212e7135
denen	w9_d212e7138
Rußisch=kaiserl.	w11_d212e7141
und	w1_d212e7146
Königl.	w3_d212e7149
Schwedischen	w5_d212e7152
Höfen	w7_d212e7155
die	w9_d212e7158
stärk	w11_d212e7161
sten	w1_d212e7166
Versicherungen	w3_d212e7169
erhalten,	w5_d212e7172
daß	w7_d212e7175
