<doc id="wr_1760-09-17" attrs="word" year="1760" month="09" day="17" corpus="2">
<head id="h2_d485e2492">
Neu=york	w1_d485e2496
hingegen,	w9_d485e3558
sowol	w11_d485e3561
von	w13_d485e3565
der	w1_d485e3570
obern	w3_d485e3573
als	w5_d485e3576
untern	w7_d485e3579
Nation,	w9_d485e3582
haben	w11_d485e3585
sich	w13_d485e3589
zum	w1_d485e3594
Zweck	w3_d485e3597
gelegt,	w5_d485e3600
und	w7_d485e3603
ihre	w9_d485e3606
Haupt=leute	w11_d485e3609
haben	w1_d485e3615
den	w3_d485e3618
Engländischen	w5_d485e3621
Gouverneur	w7_d485e3624
in	w9_d485e3627
Georgien,	w1_d485e3632
Herrn	w3_d485e3635
Ellis,	w5_d485e3638
feyerlich	w7_d485e3641
ersuchet,	w9_d485e3644
das	w1_d485e3649
Vergangene	w3_d485e3652
zu	w5_d485e3655
vergessen,	w7_d485e3658
und	w9_d485e3661
in	w11_d485e3664
Freund	w13_d485e3668
schaft	w1_d485e3673
mit	w3_d485e3676
ihnen	w5_d485e3679
zu	w7_d485e3682
tretten.	w9_d485e3685
Man	w11_d485e3688
lieset	w13_d485e3692
in	w15_d485e3695
ihrer	w1_d485e3701
Anrede	w3_d485e3704
unter	w5_d485e3707
andern	w7_d485e3710
folgende	w9_d485e3713
Aus	w11_d485e3716
drücke:	w1_d485e3721
„Ungeachtet	w3_d485e3724
unsere	w5_d485e3727
alten	w7_d485e3730
verstän	w9_d485e3733
digen	w1_d485e3738
Leute	w3_d485e3741
nun	w5_d485e3744
todt	w7_d485e3747
sind,	w9_d485e3750
so	w11_d485e3753
haben	w13_d485e3757
wir,	w15_d485e3760
die	w1_d485e3765
wir	w3_d485e3768
nicht	w5_d485e3771
so	w7_d485e3774
weise	w9_d485e3777
sind,	w11_d485e3780
uns	w13_d485e3784
doch	w15_d485e3787
allhier	w17_d485e3790
versammelt,	w1_d485e3796
Ruhe	w3_d485e3799
und	w5_d485e3802
Friede	w7_d485e3805
mit	w9_d485e3808
den	w11_d485e3811
En	w13_d485e3815
gländern	w1_d485e3820
zu	w3_d485e3823
begehren.	w5_d485e3826
Es	w7_d485e3829
soll	w9_d485e3832
nichts	w11_d485e3835
ver	w13_d485e3839
mögend	w1_d485e3844
seyn,	w3_d485e3847
uns	w5_d485e3850
euch	w7_d485e3853
zu	w9_d485e3856
widersetzen,	w11_d485e3859
so	w13_d485e3863
lange	w1_d485e3868
als	w3_d485e3871
die	w5_d485e3874
Sonne	w7_d485e3877
scheinet,	w9_d485e3880
und	w11_d485e3883
der	w13_d485e3887
Herr	w15_d485e3890
unsers	w1_d485e3896
Athems	w3_d485e3899
über	w5_d485e3902
uns	w7_d485e3905
ist.	w9_d485e3908
Unsere	w11_d485e3911
Haupt=leute	w1_d485e3916
haben	w3_d485e3919
keine	w5_d485e3922
Hand	w7_d485e3925
bey	w9_d485e3928
den	w11_d485e3931
ge	w13_d485e3935
habt,	w1_d485e3940
was	w3_d485e3943
einige	w5_d485e3946
unserer	w7_d485e3949
jungen	w9_d485e3952
Unsinnigen	w11_d485e3955
gethan	w1_d485e3960
haben,	w3_d485e3963
und	w5_d485e3966
ihr	w7_d485e3969
werdet	w9_d485e3972
nicht	w11_d485e3975
um	w13_d485e3979
ei	w15_d485e3982
niger	w1_d485e3988
wenigen	w3_d485e3991
Rasenden	w5_d485e3994
unsere	w7_d485e3997
ganze	w9_d485e4000
Na	w11_d485e4003
tion	w1_d485e4008
verwerfen	w3_d485e4011
rc.	w5_d485e4014
Verfolg	w1_d485e4019
von	w3_d485e4022
der	w5_d485e4025
Königl.	w7_d485e4028
Französi	w9_d485e4031
</p>
<head id="h2_d485e4037">
schen	w1_d485e4041
Armee	w3_d485e4044
unter	w5_d485e4047
dem	w7_d485e4050
Hrn.	w9_d485e4053
Mar	w11_d485e4056
schall	w1_d485e4061
Herzogen	w3_d485e4064
von	w5_d485e4067
Broglie	w7_d485e4070
vom	w1_d485e4075
27.	w3_d485e4078
bis	w5_d485e4081
3.	w7_d485e4084
Sept.	w9_d485e4087
</head>
<p id="p4_d485e4090">
Die	w1_d485e4094
letzteren	w3_d485e4097
Täge	w5_d485e4100
des	w7_d485e4103
August=monats	w9_d485e4106
waren	w1_d485e4111
in	w3_d485e4114
keinerley	w5_d485e4117
Stück	w7_d485e4120
merkwürdig,	w9_d485e4123
we	w11_d485e4126
der	w1_d485e4131
bey	w3_d485e4134
uns	w5_d485e4137
noch	w7_d485e4140
den	w9_d485e4143
Reserven	w11_d485e4146
gienge	w13_d485e4150
in	w15_d485e4153
der	w1_d485e4159
Stellung	w3_d485e4162
eine	w5_d485e4165
Veränderung	w7_d485e4168
vor;	w9_d485e4171
auch	w11_d485e4174
die	w1_d485e4179
Feinde	w3_d485e4182
verblieben	w5_d485e4185
in	w7_d485e4188
ihrer	w9_d485e4191
Position,	w11_d485e4194
seitdeme	w1_d485e4199
sie	w3_d485e4202
ihr	w5_d485e4205
Lager	w7_d485e4208
bey	w9_d485e4211
Brüne	w11_d485e4214
verlassen,	w13_d485e4218
und	w1_d485e4223
auf	w3_d485e4226
die	w5_d485e4229
Höhen	w7_d485e4232
bey	w9_d485e4235
Warburg	w11_d485e4238
geschla	w13_d485e4242
gen	w1_d485e4248
haben.	w3_d485e4251
Den	w5_d485e4254
2.	w7_d485e4257
wurde	w9_d485e4260
eine	w11_d485e4263
General	w13_d485e4267
</p>
<p id="p6_d485e4270">
fouragirung	w1_d485e4274
einen	w3_d485e4277
Stuck=schuß	w5_d485e4280
weit	w7_d485e4283
von	w9_d485e4286
dem	w1_d485e4291
feindlichen	w3_d485e4294
Lager	w5_d485e4297
vollbracht;	w7_d485e4300
Se	w9_d485e4303
Kö	w11_d485e4306
nigl.	w1_d485e4311
Hoheit	w3_d485e4314
der	w5_d485e4317
Prinz	w7_d485e4320
von	w9_d485e4323
Conde	w11_d485e4326
führte	w13_d485e4330
solche	w1_d485e4336
mit	w3_d485e4339
den	w5_d485e4342
Grenadiers	w7_d485e4345
und	w9_d485e4348
Jägerba	w11_d485e4351
taillons	w1_d485e4356
aus,	w3_d485e4359
und	w5_d485e4362
ware	w7_d485e4365
mit	w9_d485e4368
24.	w11_d485e4371
Compa	w13_d485e4375
gnien	w1_d485e4380
Grenadiers	w3_d485e4383
von	w5_d485e4386
Frankreich,	w7_d485e4389
nebst	w9_d485e4392
den	w1_d485e4397
Königl.	w3_d485e4400
Grenadiers,	w5_d485e4403
800.	w7_d485e4406
Reitern,	w9_d485e4409
800.	w1_d485e4415
leichten	w3_d485e4418
Reitern,	w5_d485e4421
und	w7_d485e4424
600.	w9_d485e4427
Mann	w11_d485e4430
Pi	w13_d485e4434
queter	w1_d485e4439
zu	w3_d485e4442
Fuß	w5_d485e4445
unterstützet.	w7_d485e4448
Der	w9_d485e4451
rechte	w11_d485e4454
Flü	w13_d485e4458
gel	w1_d485e4463
des	w3_d485e4466
Fourage=zugs	w5_d485e4469
stunde	w7_d485e4472
an	w9_d485e4475
der	w11_d485e4478
Spitze	w13_d485e4482
des	w1_d485e4487
Waldes	w3_d485e4490
unter	w5_d485e4493
Büne,	w7_d485e4496
der	w9_d485e4499
linke	w11_d485e4502
aber	w13_d485e4506
stieß	w1_d485e4512
auf	w3_d485e4515
die	w5_d485e4518
Eingänge	w7_d485e4521
von	w9_d485e4524
Liebenau,	w11_d485e4527
und	w13_d485e4531
bedeckte	w1_d485e4536
die	w3_d485e4539
Weege	w5_d485e4542
von	w7_d485e4545
Nieder=meissen.	w9_d485e4548
Die	w1_d485e4553
Feinde	w3_d485e4556
machten	w5_d485e4559
gegen	w7_d485e4562
den	w9_d485e4565
rechten	w11_d485e4568
Flü	w13_d485e4572
gel	w1_d485e4577
gar	w3_d485e4580
keine	w5_d485e4583
Bewegung,	w7_d485e4586
um	w9_d485e4589
2.	w11_d485e4592
Uhr	w13_d485e4596
Nach	w15_d485e4599
mittags	w1_d485e4605
aber	w3_d485e4608
ruckten	w5_d485e4611
aus	w7_d485e4614
dem	w9_d485e4617
Walde	w11_d485e4620
un	w13_d485e4624
ter	w1_d485e4629
Geismar	w3_d485e4632
800.	w5_d485e4635
Reiter	w7_d485e4638
nebst	w9_d485e4641
vielem	w11_d485e4644
Fuß	w13_d485e4648
volk	w1_d485e4653
und	w3_d485e4656
Canonen	w5_d485e4659
gegen	w7_d485e4662
uns	w9_d485e4665
in	w11_d485e4668
die	w13_d485e4672
Ebene	w15_d485e4675
in	w1_d485e4680
der	w3_d485e4683
schönsten	w5_d485e4686
Ordnung	w7_d485e4689
an.	w9_d485e4692
Der	w11_d485e4695
Herr	w13_d485e4699
Graf	w1_d485e4705
von	w3_d485e4708
Schomberg	w5_d485e4711
setzte	w7_d485e4714
sich	w9_d485e4717
gegen	w11_d485e4720
sel	w13_d485e4724
bige	w1_d485e4729
mit	w3_d485e4732
dem	w5_d485e4735
Herrn	w7_d485e4738
Ritter	w9_d485e4741
Jaucourt	w11_d485e4744
in	w13_d485e4748
Mar	w15_d485e4751
sche,	w1_d485e4756
und	w3_d485e4759
nöhtigte	w5_d485e4762
sie	w7_d485e4765
zum	w9_d485e4768
Rückzug	w11_d485e4771
bis	w13_d485e4775
nach	w15_d485e4778
dem	w1_d485e4783
Wald,	w3_d485e4786
woher	w5_d485e4789
sie	w7_d485e4792
kamen.	w9_d485e4795
Einige	w11_d485e4798
zu	w13_d485e4802
rechter	w1_d485e4808
Zeit	w3_d485e4811
angebrachte	w5_d485e4814
Canonen=schusse	w7_d485e4817
thaten	w1_d485e4822
hier	w3_d485e4825
vortrefliche	w5_d485e4828
Würkung.	w7_d485e4831
Die	w9_d485e4834
Vor=wachten	w1_d485e4839
scharmutzirten	w3_d485e4842
den	w5_d485e4845
übrigen	w7_d485e4848
Tag	w1_d485e4853
mit	w3_d485e4856
einander,	w5_d485e4859
und	w7_d485e4862
der	w9_d485e4865
Feind	w11_d485e4868
hinderte	w13_d485e4872
uns	w1_d485e4878
nicht	w3_d485e4881
im	w5_d485e4884
mindesten	w7_d485e4887
die	w9_d485e4890
Generalfoura	w11_d485e4893
girung	w1_d485e4898
glücklich	w3_d485e4901
zu	w5_d485e4904
vollbringen.	w7_d485e4907
</p>
<head id="h2_d485e4913">
Jmmenhausen	w1_d485e4917
6.	w3_d485e4920
Sept.	w5_d485e4923
</head>
<p id="p4_d485e4926">
Den	w1_d485e4930
2.	w3_d485e4933
dieses	w5_d485e4936
giengen	w7_d485e4939
der	w9_d485e4942
Herr	w11_d485e4945
Mar	w13_d485e4949
schall	w1_d485e4954
durch	w3_d485e4957
Cassel	w5_d485e4960
zu	w7_d485e4963
der	w9_d485e4966
Reserve	w11_d485e4969
des	w13_d485e4973
Herrn	w15_d485e4976
Grafens	w1_d485e4981
von	w3_d485e4984
der	w5_d485e4987
Lausitz;	w7_d485e4990
heute	w9_d485e4993
früh	w11_d485e4996
kamen	w13_d485e5000
sie	w1_d485e5006
wieder	w3_d485e5009
zurück.	w5_d485e5012
Gesternkbrachte	w7_d485e5015
man	w9_d485e5018
zu	w11_d485e5021
Cassel	w1_d485e5026
die	w3_d485e5029
Quartiere	w5_d485e5032
für	w7_d485e5035
das	w9_d485e5038
Hauptquar	w11_d485e5041
tier	w1_d485e5046
des	w3_d485e5049
du	w5_d485e5052
Muyschen	w7_d485e5055
Corps	w9_d485e5058
in	w11_d485e5061
Ordnung;	w13_d485e5065
man	w1_d485e5070
vermutet	w3_d485e5073
also,	w5_d485e5076
daß	w7_d485e5079
diese	w9_d485e5082
Reserve	w11_d485e5085
bals	w13_d485e5089
das	w1_d485e5095
verschanzte	w3_d485e5098
Lager	w5_d485e5101
bey	w7_d485e5104
Cassel	w9_d485e5107
besetzen	w11_d485e5110
werde.	w1_d485e5115
Die	w3_d485e5118
Brigade	w5_d485e5121
von	w7_d485e5124
Vaubecourt,	w9_d485e5127
die	w11_d485e5130
seit	w1_d485e5135
dem	w3_d485e5138
1.	w5_d485e5141
hier	w7_d485e5144
stehet,	w9_d485e5147
arbeitet	w11_d485e5150
mit	w13_d485e5154
allem	w15_d485e5157
Eiser	w1_d485e5162
an	w3_d485e5165
denen	w5_d485e5168
Schanzen	w7_d485e5171
der	w9_d485e5174
Neustadt.	w11_d485e5177
Vorgestern	w1_d485e5183
langte	w3_d485e5186
der	w5_d485e5189
Herr	w7_d485e5192
Marschall	w9_d485e5195
</p>
<p id="p10_d485e5208">
wiederum	w1_d485e5212
in	w3_d485e5215
alhiesigem	w5_d485e5218
Haupt=quartier	w7_d485e5221
an	w9_d485e5224
Gestern	w1_d485e5229
ware	w3_d485e5232
eine	w5_d485e5235
Fouragirung	w7_d485e5238
in	w9_d485e5241
den	w11_d485e5244
Ge	w13_d485e5248
genden	w1_d485e5253
Geismar	w3_d485e5256
und	w5_d485e5259
Humme	w7_d485e5262
bestimmt,	w9_d485e5265
da	w11_d485e5268
aber	w1_d485e5274
die	w3_d485e5277
Feinde	w5_d485e5280
solche	w7_d485e5283
Absicht	w9_d485e5286
vermuteten,	w11_d485e5289
so	w1_d485e5294
gienge	w3_d485e5297
ein	w5_d485e5300
Corps	w7_d485e5303
von	w9_d485e5306
etwann	w11_d485e5309
12000.	w13_d485e5313
Mann	w1_d485e5318
über	w3_d485e5321
die	w5_d485e5324
Dimel,	w7_d485e5327
und	w9_d485e5330
besetzte	w11_d485e5333
die	w13_d485e5337
Wal	w15_d485e5340
dungen	w1_d485e5345
und	w3_d485e5348
die	w5_d485e5351
Anhöhen	w7_d485e5354
von	w9_d485e5357
diesen	w11_d485e5360
Ort	w13_d485e5364
schaften,	w1_d485e5370
und	w3_d485e5373
vermüßigte	w5_d485e5376
uns	w7_d485e5379
folglich	w9_d485e5382
an	w11_d485e5385
detswo	w1_d485e5390
die	w3_d485e5393
Fouragirung	w5_d485e5396
vorzunehmen;	w7_d485e5399
übri	w9_d485e5402
gens	w1_d485e5407
ist	w3_d485e5410
noch	w5_d485e5413
alles	w7_d485e5416
in	w9_d485e5419
voriger	w11_d485e5422
Stellung.	w13_d485e5426
</p>
<p id="p12_d485e5430">
Aus	w1_d485e5434
Hinterpommern	w3_d485e5437
28.	w5_d485e5440
Aug.	w7_d485e5443
Die	w1_d485e5448
Russen	w3_d485e5451
sind	w5_d485e5454
nun	w7_d485e5457
auf	w9_d485e5460
einmal	w11_d485e5463
vor	w13_d485e5467
Col	w15_d485e5470
berg	w1_d485e5475
erschienen,	w3_d485e5478
und	w5_d485e5481
haben	w7_d485e5484
mit	w9_d485e5487
einem	w11_d485e5490
Corps	w13_d485e5494
vom	w1_d485e5500
5.	w3_d485e5503
bis	w5_d485e5506
6000.	w7_d485e5509
Mann	w9_d485e5512
die	w11_d485e5515
Belagerung	w13_d485e5519
dieser	w1_d485e5524
Stadt	w3_d485e5527
zu	w5_d485e5530
Lande	w7_d485e5533
vorgenommen,	w9_d485e5536
so	w11_d485e5539
wie	w1_d485e5544
solche	w3_d485e5547
auch	w5_d485e5550
durch	w7_d485e5553
die	w9_d485e5556
vereinigte	w11_d485e5559
Rußi	w13_d485e5563
sche	w1_d485e5568
und	w3_d485e5571
Schwedische	w5_d485e5574
Flotte	w7_d485e5577
von	w9_d485e5580
der	w11_d485e5583
Wasser	w13_d485e5587
seite	w1_d485e5593
geschiehet.	w3_d485e5596
Der	w5_d485e5599
dortige	w7_d485e5602
Commandant,	w9_d485e5605
der	w1_d485e5610
Genenaral=major	w3_d485e5613
von	w5_d485e5616
Heyden,	w7_d485e5619
welcher	w9_d485e5622
schon	w1_d485e5627
bey	w3_d485e5630
der	w5_d485e5633
letzten	w7_d485e5636
Belagerung	w9_d485e5639
als	w11_d485e5642
Major	w13_d485e5646
die	w1_d485e5651
Befehl	w3_d485e5654
haberschaft	w5_d485e5657
in	w7_d485e5660
dem	w9_d485e5663
Platze	w11_d485e5666
führte	w13_d485e5670
und	w1_d485e5676
denselben	w3_d485e5679
bekanntlich	w5_d485e5682
mit	w7_d485e5685
so	w9_d485e5688
vielem	w11_d485e5691
Rühme	w1_d485e5696
behauptete,	w3_d485e5699
hat	w5_d485e5702
diesmal	w7_d485e5705
zu	w9_d485e5708
einer	w11_d485e5711
nicht	w1_d485e5716
minder	w3_d485e5719
stattlichen	w5_d485e5722
Gegenwehr	w7_d485e5725
alle	w9_d485e5728
An	w11_d485e5731
stalten	w1_d485e5736
vorgekehrt.	w3_d485e5739
Die	w5_d485e5742
Schweden	w7_d485e5745
stehen	w9_d485e5748
noch	w1_d485e5754
in	w3_d485e5757
der	w5_d485e5760
Gegend	w7_d485e5763
von	w9_d485e5766
Pasewalk.	w11_d485e5769
Am	w13_d485e5773
2/.	w1_d485e5778
des	w3_d485e5781
vorigen	w5_d485e5784
Monats	w7_d485e5787
ist	w9_d485e5790
an	w11_d485e5793
der	w13_d485e5797
Meck	w15_d485e5800
lenburgischen	w1_d485e5805
Gränze	w3_d485e5808
ein	w5_d485e5811
Scharmützel	w7_d485e5814
vor	w9_d485e5817
gefallen,	w1_d485e5822
wobey	w3_d485e5825
die	w5_d485e5828
Preußische=trupen	w7_d485e5831
durch	w9_d485e5834
die	w1_d485e5840
Schweden	w3_d485e5843
mit	w5_d485e5846
einigem	w7_d485e5849
Verluste	w9_d485e5852
aus	w11_d485e5855
einem	w1_d485e5860
Passe	w3_d485e5863
vertrieben	w5_d485e5866
worden.	w7_d485e5869
</p>
<head id="h2_d485e5876">
Salzburg	w1_d485e5880
9.	w3_d485e5883
Sept.	w5_d485e5886
</head>
<p id="p4_d485e5889">
Den	w1_d485e5893
7.	w3_d485e5896
dies	w5_d485e5899
hat	w7_d485e5902
der	w9_d485e5905
junge	w11_d485e5908
Reichs=graf	w13_d485e5912
Binceltius	w1_d485e5917
von	w3_d485e5920
Schrattenbach,	w5_d485e5923
aus	w7_d485e5926
dem	w9_d485e5929
Noch=adelichen	w1_d485e5934
Theresianischen	w3_d485e5937
Collegio	w5_d485e5940
zu	w7_d485e5943
Wien,	w1_d485e5949
Logices,	w3_d485e5952
Methaphysices	w5_d485e5955
und	w7_d485e5958
Ma-	w9_d485e5961
relebs	w1_d485e5966
Auditor	w3_d485e5969
in	w5_d485e5972
dem	w7_d485e5975
sogenannten	w9_d485e5978
Kaiser	w11_d485e5981
saal	w1_d485e5986
der	w3_d485e5989
Hochfürstl.	w5_d485e5992
Residenz,	w7_d485e5995
und	w9_d485e5998
zwar	w11_d485e6001
in	w1_d485e6006
döchster	w3_d485e6009
Gegenwar	w5_d485e6012
Sr.	w7_d485e6015
Hochfürstlichen	w9_d485e6018
Gnaden	w1_d485e6024
unseres	w3_d485e6027
gnädigsten	w5_d485e6030
Landes=fürsten	w7_d485e6033
der	w1_d485e6038
rc.	w3_d485e6041
wie	w5_d485e6044
auch	w7_d485e6047
in	w9_d485e6050
Beyseyn	w11_d485e6053
des	w13_d485e6057
alhiesigen	w15_d485e6060
hoch=berühmt=Hoch=würdigen	w1_d485e6065
hohen	w3_d485e6068
Dom	w5_d485e6071
kapitel,	w1_d485e6076
und	w3_d485e6079
ganzer	w5_d485e6082
Hof=staat,	w7_d485e6085
desglei	w9_d485e6088
</p>
<p id="p6_d485e6091">
chen	w1_d485e6095
in	w3_d485e6098
Anwesenheit	w5_d485e6101
alhiesig	w7_d485e6104
Hoch=fürstl.	w9_d485e6107
Welt	w1_d485e6112
berühmten	w3_d485e6115
Universität,	w5_d485e6118
Theses	w7_d485e6121
ex	w9_d485e6124
Ma-	w11_d485e6127
thesi,	w1_d485e6132
und	w3_d485e6135
zwar	w5_d485e6138
aus	w7_d485e6141
der	w9_d485e6144
Geometria	w11_d485e6147
sublimi	w13_d485e6151
ori,	w1_d485e6157
Mechanica,	w3_d485e6160
