<doc id="wr_1757-04-30" attrs="word" year="1757" month="04" day="30" corpus="2">
<head id="h2_d139e3473">
Philadelphia	w1_d139e3477
haben,	w3_d139e4174
und	w5_d139e4177
die	w7_d139e4180
in	w9_d139e4183
der	w11_d139e4186
Mitte	w13_d139e4190
des	w15_d139e4193
Febr.	w1_d139e4198
angelangt	w3_d139e4201
sind,	w5_d139e4204
sollen	w7_d139e4207
gebrauchet	w9_d139e4210
wer	w11_d139e4213
den.	w1_d139e4218
Seit	w3_d139e4221
dem	w5_d139e4224
Anfang	w7_d139e4227
des	w9_d139e4230
gegenwärtigen	w11_d139e4233
Kriegs,	w1_d139e4238
haben	w3_d139e4241
wir	w5_d139e4244
25.	w7_d139e4247
Frey=beuter	w9_d139e4250
ausgerü	w11_d139e4253
stet,	w1_d139e4259
worunter	w3_d139e4262
zwey	w5_d139e4265
von	w7_d139e4268
20.	w9_d139e4271
Canonen	w11_d139e4274
be	w13_d139e4278
findlich	w1_d139e4283
sind.	w3_d139e4286
Aus	w5_d139e4289
einer	w7_d139e4292
angestellten	w9_d139e4295
Gegen	w11_d139e4298
einanderhaltung,	w1_d139e4303
der	w3_d139e4306
auf	w5_d139e4309
ihre	w7_d139e4312
Ausrüstung	w9_d139e4315
gewandten	w1_d139e4320
Kosten,	w3_d139e4323
und	w5_d139e4326
des	w7_d139e4329
Ertrags	w9_d139e4332
ihrer	w11_d139e4335
gemachten	w1_d139e4341
Prisen,	w3_d139e4344
bleibt	w5_d139e4347
uns	w7_d139e4350
noch	w9_d139e4353
20000.	w11_d139e4356
Pfund	w1_d139e4361
baar	w3_d139e4364
Geld	w5_d139e4367
übrig,	w7_d139e4370
ungerechnet	w9_d139e4373
derjeni	w11_d139e4376
gen	w1_d139e4381
Prisen,	w3_d139e4384
die	w5_d139e4387
nach	w7_d139e4390
West=indien	w9_d139e4393
geschicket	w11_d139e4396
worden	w1_d139e4401
sind	w3_d139e4404
</p>
<head id="h2_d139e4410">
Dusseldorf	w1_d139e4414
den	w3_d139e4417
14.	w5_d139e4420
April.	w7_d139e4423
</head>
<p id="p4_d139e4426">
Am	w1_d139e4430
verwichnen	w3_d139e4433
Dienstag	w5_d139e4436
ist	w7_d139e4439
die	w9_d139e4442
Mühlhei	w11_d139e4445
mer	w1_d139e4450
Schif=brücke	w3_d139e4453
vor	w5_d139e4456
dieser	w7_d139e4459
Stadt	w9_d139e4462
vorbey,	w11_d139e4465
den	w1_d139e4470
Rhein	w3_d139e4473
herunter,	w5_d139e4476
auf	w7_d139e4479
Kaiserswert	w9_d139e4482
gefüh	w11_d139e4485
ret	w1_d139e4491
worden,	w3_d139e4494
dero	w5_d139e4497
sich	w7_d139e4500
die	w9_d139e4503
Franzosen	w11_d139e4506
bedienen	w13_d139e4510
</p>
<p id="p10_d139e4523">
werden.	w1_d139e4527
Seit	w3_d139e4530
den	w5_d139e4533
8.	w7_d139e4536
dieses	w9_d139e4539
ist	w11_d139e4542
Geldern	w13_d139e4546
durch	w15_d139e4549
5.	w1_d139e4554
Battaillons	w3_d139e4557
eingeschlossen,	w5_d139e4560
der	w7_d139e4563
Herr	w9_d139e4566
Gra	w11_d139e4569
von	w1_d139e4574
Maillebois	w3_d139e4577
wird	w5_d139e4580
vor	w7_d139e4583
dieser	w9_d139e4586
Festung	w11_d139e4589
das	w13_d139e4593
Commando	w1_d139e4599
führen.	w3_d139e4602
Es	w5_d139e4605
geschahe	w7_d139e4608
den	w9_d139e4611
10ten	w11_d139e4614
dieses,	w1_d139e4619
als	w3_d139e4622
viele	w5_d139e4625
Fuhren	w7_d139e4628
mit	w9_d139e4631
Hacken,	w11_d139e4634
Schip	w13_d139e4638
pen	w1_d139e4643
und	w3_d139e4646
andern	w5_d139e4649
Gerätschaften,	w7_d139e4652
welche	w9_d139e4655
zu	w11_d139e4658
einer	w1_d139e4663
Belagerung	w3_d139e4666
nöhtig	w5_d139e4669
sind,	w7_d139e4672
vor	w9_d139e4675
Kaisers	w11_d139e4678
wert	w1_d139e4684
vorbey	w3_d139e4687
paßirten.	w5_d139e4690
</p>
<head id="h2_d139e4696">
Hannover	w1_d139e4700
12.	w3_d139e4703
April.	w5_d139e4706
</head>
<p id="p4_d139e4709">
Von	w1_d139e4713
unsern	w3_d139e4716
Trupen	w5_d139e4719
sind	w7_d139e4722
bereits	w9_d139e4725
einige	w11_d139e4728
Cavalleriet	w1_d139e4733
und	w3_d139e4736
Jnfanterie=regimenter	w5_d139e4739
bey	w7_d139e4742
Hameln	w1_d139e4747
angelangel.	w3_d139e4750
Es	w5_d139e4753
werden	w7_d139e4756
sich	w9_d139e4759
davon	w11_d139e4762
nur	w1_d139e4768
6.	w3_d139e4771
Battaillons	w5_d139e4774
und	w7_d139e4777
8	w9_d139e4780
Escadrons	w11_d139e4783
im	w13_d139e4787
La	w15_d139e4790
ger	w1_d139e4795
bey	w3_d139e4798
Nieburg	w5_d139e4801
in	w7_d139e4804
ein	w9_d139e4807
Corpo	w11_d139e4810
versammeln,	w13_d139e4814
und	w15_d139e4817
die	w1_d139e4822
übrigen	w3_d139e4825
ins	w5_d139e4828
Lager	w7_d139e4831
bey	w9_d139e4834
Hameln	w11_d139e4837
einrücken.	w13_d139e4841
Der	w1_d139e4846
Hr.	w3_d139e4849
General=leutenant	w5_d139e4852
von	w7_d139e4855
Spörken,	w9_d139e4858
wel	w11_d139e4861
cher	w1_d139e4867
am	w3_d139e4870
3.	w5_d139e4873
dieses	w7_d139e4876
nach	w9_d139e4879
Braunschweig	w11_d139e4882
abge	w13_d139e4886
gangen,	w1_d139e4891
hat	w3_d139e4894
allda	w5_d139e4897
die	w7_d139e4900
Herzogl.	w9_d139e4903
Trupen	w11_d139e4906
in	w13_d139e4910
Empfang	w1_d139e4915
und	w3_d139e4918
in	w5_d139e4921
Eid	w7_d139e4924
genommen.	w9_d139e4927
Er	w11_d139e4930
wird	w13_d139e4934
daher	w1_d139e4939
den	w3_d139e4942
Aufbruch	w5_d139e4945
derselben	w7_d139e4948
so	w9_d139e4951
bald,	w11_d139e4954
als	w13_d139e4958
möglich,	w1_d139e4964
beschleunigen,	w3_d139e4967
und	w5_d139e4970
ihre	w7_d139e4973
Marsch	w9_d139e4976
route	w1_d139e4981
einrichten.	w3_d139e4984
Diese	w5_d139e4987
Trupen	w7_d139e4990
bestehen	w9_d139e4993
aus	w1_d139e4998
6000.	w3_d139e5001
Mann,	w5_d139e5004
und	w7_d139e5007
der	w9_d139e5010
Herr	w11_d139e5013
Erbprin	w13_d139e5017
von	w1_d139e5022
Braunschweig	w3_d139e5025
wird	w5_d139e5028
Dero	w7_d139e5031
Regiment	w9_d139e5034
be	w11_d139e5037
gleiten.	w1_d139e5043
Der	w3_d139e5046
nach	w5_d139e5049
Cassel	w7_d139e5052
wiederum	w9_d139e5055
abgegan	w11_d139e5058
gene	w1_d139e5063
Engländische	w3_d139e5066
Oberste	w5_d139e5069
Armhürst	w7_d139e5072
hat	w9_d139e5075
auch	w11_d139e5078
die	w1_d139e5083
noch	w3_d139e5086
in	w5_d139e5089
Engländischem	w7_d139e5092
Sold	w9_d139e5095
stehende	w11_d139e5098
8.	w13_d139e5102
Battaillons	w1_d139e5107
Hessen	w3_d139e5110
übernommen,	w5_d139e5113
und	w7_d139e5116
die	w9_d139e5119
8	w11_d139e5122
Battaillons,	w1_d139e5128
welche	w3_d139e5131
ein	w5_d139e5134
widriger	w7_d139e5137
Wind	w9_d139e5140
bisher	w11_d139e5143
in	w1_d139e5148
Engeland	w3_d139e5151
aufgehalten	w5_d139e5154
hat,	w7_d139e5157
werden	w9_d139e5160
täglich	w11_d139e5163
auf	w1_d139e5168
der	w3_d139e5171
Elbe	w5_d139e5174
mir	w7_d139e5177
Verlangen	w9_d139e5180
erwartet.	w11_d139e5183
Die	w13_d139e5187
Heßischen	w1_d139e5192
Trupen,	w3_d139e5195
welche	w5_d139e5198
zur	w7_d139e5201
Observations	w9_d139e5204
armee	w1_d139e5210
stossen	w3_d139e5213
werden,	w5_d139e5216
bestehen	w7_d139e5219
überhaupt	w9_d139e5222
in	w11_d139e5225
12000.	w1_d139e5230
Mann	w3_d139e5233
Jnfanterie,	w5_d139e5236
einem	w7_d139e5239
Regimente	w9_d139e5242
Dragoner,	w1_d139e5247
und	w3_d139e5250
hundert	w5_d139e5253
Hussaren.	w7_d139e5256
Der	w9_d139e5259
Oberste	w1_d139e5264
von	w3_d139e5267
Knesebeck	w5_d139e5270
hat	w7_d139e5273
gleichfalls	w9_d139e5276
in	w11_d139e5279
denen	w13_d139e5283
letztern	w1_d139e5289
Tagen	w3_d139e5292
ein	w5_d139e5295
Gräflich	w7_d139e5298
Bückeburgisches	w9_d139e5301
Battaillon,	w1_d139e5306
und	w3_d139e5309
hundert	w5_d139e5312
Carabiniers	w7_d139e5315
zu	w9_d139e5318
Pferde,	w1_d139e5323
nebst	w3_d139e5326
einem	w5_d139e5329
Jäger=corpo	w7_d139e5332
von	w9_d139e5335
50.	w11_d139e5338
Mann,	w1_d139e5343
übernommen.	w3_d139e5346
</p>
<p id="p6_d139e5349">
Die	w1_d139e5353
unlängst	w3_d139e5356
aus	w5_d139e5359
dem	w7_d139e5362
Clevischen	w9_d139e5365
in	w11_d139e5368
die	w13_d139e5372
Grafschaft	w1_d139e5377
Ravensberg	w3_d139e5380
marschirte	w5_d139e5383
Königl.	w7_d139e5386
Preußische	w1_d139e5391
6.	w3_d139e5394
Battaillons	w5_d139e5397
haben	w7_d139e5400
sich	w9_d139e5403
zum	w11_d139e5406
Theil	w1_d139e5412
in	w3_d139e5415
die	w5_d139e5418
Stadt	w7_d139e5421
und	w9_d139e5424
das	w11_d139e5427
Schloß	w13_d139e5431
Ritt	w15_d139e5434
berg	w1_d139e5439
begeben.	w3_d139e5442
Nach	w5_d139e5445
zuverläßigen	w7_d139e5448
Berichten	w9_d139e5451
hat	w11_d139e5454
die	w1_d139e5459
Helfte	w3_d139e5462
der	w5_d139e5465
Französischen	w7_d139e5468
Armee	w9_d139e5471
bis	w11_d139e5474
zur	w13_d139e5478
Ankunft	w1_d139e5483
der	w3_d139e5486
übrigen	w5_d139e5489
auf	w7_d139e5492
der	w9_d139e5495
Heide	w11_d139e5498
bey	w13_d139e5502
Neiß	w15_d139e5505
sich	w1_d139e5511
gelagert.	w3_d139e5514
Zu	w5_d139e5517
Münster	w7_d139e5520
wird	w9_d139e5523
für	w11_d139e5526
diese	w13_d139e5530
Armee	w1_d139e5535
ein	w3_d139e5538
Magatzin	w5_d139e5541
angeleget,	w7_d139e5544
und	w9_d139e5547
dieser	w11_d139e5550
Ort	w1_d139e5555
mit	w3_d139e5558
allem	w5_d139e5561
Fleisse	w7_d139e5564
befestiget.	w9_d139e5567
</p>
<head id="h2_d139e5574">
Bayreuth	w1_d139e5578
den	w3_d139e5581
13.	w5_d139e5584
April.	w7_d139e5587
</head>
<p id="p4_d139e5590">
Sogleich	w1_d139e5594
vernihmt	w3_d139e5597
man,	w5_d139e5600
daß	w7_d139e5603
das	w9_d139e5606
Corpo,	w11_d139e5609
welches	w1_d139e5614
der	w3_d139e5617
Prinz	w5_d139e5620
Mauritz	w7_d139e5623
von	w9_d139e5626
Anhalt=dessau	w11_d139e5629
commandiret,	w1_d139e5634
sich	w3_d139e5637
der	w5_d139e5640
Gegend	w7_d139e5643
Hof	w9_d139e5646
genähert	w11_d139e5649
habe.	w1_d139e5655
Gestern	w3_d139e5658
ist	w5_d139e5661
der	w7_d139e5664
Prinz	w9_d139e5667
Mauritz	w11_d139e5670
von	w13_d139e5674
Anhalt=dessau	w1_d139e5679
mit	w3_d139e5682
der	w5_d139e5685
Avant=garde	w7_d139e5688
bey	w9_d139e5691
Oeitz	w11_d139e5694
nitz	w1_d139e5699
vorgerücket;	w3_d139e5702
die	w5_d139e5705
Wege	w7_d139e5708
nach	w9_d139e5711
Eger	w11_d139e5714
seyn	w13_d139e5718
recognosciret	w1_d139e5723
worden:	w3_d139e5726
heut	w5_d139e5729
ist	w7_d139e5732
Rast=tag.	w9_d139e5735
Die	w11_d139e5738
ses	w1_d139e5744
Corpo	w3_d139e5747
soll	w5_d139e5750
in	w7_d139e5753
etlichen	w9_d139e5756
20000.	w11_d139e5759
Mann	w13_d139e5763
be	w15_d139e5766
stehen.	w1_d139e5771
</p>
<head id="h2_d139e5777">
Düsseldorf	w1_d139e5781
18.	w3_d139e5784
April.	w5_d139e5787
</head>
<p id="p4_d139e5790">
Das	w1_d139e5794
Französische	w3_d139e5797
Haupt=quartier	w5_d139e5800
ist	w7_d139e5803
nach	w9_d139e5806
Wesel	w1_d139e5811
versetzt	w3_d139e5814
worden,	w5_d139e5817
wo	w7_d139e5820
der	w9_d139e5823
Graf	w11_d139e5826
von	w13_d139e5830
St.	w1_d139e5835
Germain	w3_d139e5838
General=leutenant	w5_d139e5841
comman	w7_d139e5844
diret.	w1_d139e5850
Dieser	w3_d139e5853
Platz	w5_d139e5856
ist	w7_d139e5859
nicht	w9_d139e5862
niedergerissen,	w11_d139e5865
wie	w1_d139e5870
man	w3_d139e5873
gesagt	w5_d139e5876
hat,	w7_d139e5879
die	w9_d139e5882
Citadelle	w11_d139e5885
und	w13_d139e5889
die	w15_d139e5892
Stadt	w1_d139e5897
seynd	w3_d139e5900
noch	w5_d139e5903
im	w7_d139e5906
völligen	w9_d139e5909
Stande.	w11_d139e5912
Nur	w13_d139e5916
einige	w1_d139e5921
Aussen=werker	w3_d139e5924
seynd	w5_d139e5927
gesprenget.	w7_d139e5930
Die	w9_d139e5933
Einwohner	w1_d139e5939
seynd	w3_d139e5942
frohe,	w5_d139e5945
daß	w7_d139e5948
sie	w9_d139e5951
die	w11_d139e5954
Franzo	w13_d139e5958
sen	w1_d139e5963
bey	w3_d139e5966
sich	w5_d139e5969
haben,	w7_d139e5972
man	w9_d139e5975
handelt	w11_d139e5978
mit	w13_d139e5982
selbigen	w15_d139e5985
als	w1_d139e5990
mit	w3_d139e5993
Freunden.	w5_d139e5996
Der	w7_d139e5999
Graf	w9_d139e6002
von	w11_d139e6005
Lerges	w13_d139e6009
General=leutenant	w1_d139e6014
commandiret	w3_d139e6017
zu	w5_d139e6020
Cleve.	w7_d139e6023
Die	w1_d139e6029
Stadt	w3_d139e6032
Geldern	w5_d139e6035
ist	w7_d139e6038
bloquiret,	w9_d139e6041
in	w11_d139e6044
welcher	w13_d139e6048
Festung	w1_d139e6053
die	w3_d139e6056
Preußische	w5_d139e6059
Garnison	w7_d139e6062
750.	w9_d139e6065
Mann	w11_d139e6068
stark	w1_d139e6073
ist,	w3_d139e6076
unter	w5_d139e6079
denen	w7_d139e6082
die	w9_d139e6085
Halbscheid	w11_d139e6088
Fran	w13_d139e6092
zösische	w1_d139e6097
und	w3_d139e6100
Oesterreichische	w5_d139e6103
Deserteurs	w7_d139e6106
seynd.	w9_d139e6109
Die	w1_d139e6115
Gegenden	w3_d139e6118
dieser	w5_d139e6121
Stadt	w7_d139e6124
seynd	w9_d139e6127
von	w11_d139e6130
allen	w13_d139e6134
Seiten	w1_d139e6139
unter	w3_d139e6142
Wasser	w5_d139e6145
gesetzt.	w7_d139e6148
Man	w9_d139e6151
machet	w11_d139e6154
würklich	w1_d139e6159
Anstalten	w3_d139e6162
das	w5_d139e6165
Wasser	w7_d139e6168
ablauffen	w9_d139e6171
zu	w11_d139e6174
lassen,	w1_d139e6179
demnach	w3_d139e6182
wird	w5_d139e6185
die	w7_d139e6188
Stadt	w9_d139e6191
bombardi	w11_d139e6194
ret,	w1_d139e6200
oder	w3_d139e6203
beschossen	w5_d139e6206
werden	w7_d139e6209
</p>
<head id="h2_d139e6215">
Rüremond	w1_d139e6219
16.	w3_d139e6222
April.	w5_d139e6225
</head>
<p id="p4_d139e6228">
Der	w1_d139e6232
Graf	w3_d139e6235
von	w5_d139e6238
Maillebois	w7_d139e6241
marschieret	w9_d139e6244
am	w11_d139e6247
Haupt	w1_d139e6252
eines	w3_d139e6255
guten	w5_d139e6258
Corpo	w7_d139e6261
Trupen,	w9_d139e6264
um	w11_d139e6267
die	w13_d139e6271
Preussen	w1_d139e6276
von	w3_d139e6279
Rittberg	w5_d139e6282
zu	w7_d139e6285
delogiren,	w9_d139e6288
welche	w11_d139e6291
wider	w1_d139e6297
diesen	w3_d139e6300
Ort	w5_d139e6303
sehr	w7_d139e6306
hart	w9_d139e6309
verfahren	w11_d139e6312
haben.	w13_d139e6316
Die	w1_d139e6321
Pontons	w3_d139e6324
von	w5_d139e6327
unsern	w7_d139e6330
eigenen	w9_d139e6333
Trupen	w11_d139e6336
wer	w13_d139e6340
den	w1_d139e6345
Morgen	w3_d139e6348
mit	w5_d139e6351
500.	w7_d139e6354
Pferden	w9_d139e6357
von	w11_d139e6360
Stockem	w13_d139e6364
hieher	w1_d139e6369
gebracht	w3_d139e6372
werden.	w5_d139e6375
Von	w7_d139e6378
Preußisch	w9_d139e6381
Gelder=land	w1_d139e6387
werden	w3_d139e6390
500.	w5_d139e6393
tausend	w7_d139e6396
Rationes	w9_d139e6399
gefordert.	w1_d139e6404
Der	w3_d139e6407
Graf	w5_d139e6410
von	w7_d139e6413
Cosac,	w9_d139e6416
ist	w11_d139e6419
gestern	w13_d139e6423
von	w1_d139e6428
Sittard	w3_d139e6431
hier	w5_d139e6434
angekommen,	w7_d139e6437
und	w9_d139e6440
diesen	w11_d139e6443
Mor	w13_d139e6447
gen	w1_d139e6452
nach	w3_d139e6455
Preußisch=geldern	w5_d139e6458
abgereiset.	w7_d139e6461
Zwey	w9_d139e6464
Escadrons	w1_d139e6470
des	w3_d139e6473
Regiments	w5_d139e6476
von	w7_d139e6479
Saluces	w9_d139e6482
ka	w11_d139e6485
men	w1_d139e6490
gestern	w3_d139e6493
zu	w5_d139e6496
Daelenbrück	w7_d139e6499
an,	w9_d139e6502
und	w11_d139e6505
mar	w13_d139e6509
schiereten	w1_d139e6514
anheute	w3_d139e6517
nach	w5_d139e6520
Lalirchen,	w7_d139e6523
demnach	w9_d139e6526
werden	w1_d139e6531
dieselbe	w3_d139e6534
nach	w5_d139e6537
Walbeck	w7_d139e6540
in	w9_d139e6543
Preußisch	w11_d139e6546
geldern	w1_d139e6552
und	w3_d139e6555
sofort	w5_d139e6558
nach	w7_d139e6561
Udem	w9_d139e6564
vorrücken.	w11_d139e6567
</p>
<head id="h4_d139e6583">
Straßburg	w1_d139e6587
12.	w3_d139e6590
April.	w5_d139e6593
</head>
<p id="p6_d139e6596">
Unsere	w1_d139e6600
ganze	w3_d139e6603
Garnison	w5_d139e6606
soll	w7_d139e6609
aus	w9_d139e6612
hiesiger	w11_d139e6615
Stadt	w1_d139e6620
ausrücken,	w3_d139e6623
und	w5_d139e6626
wird	w7_d139e6629
nur	w9_d139e6632
allein	w11_d139e6635
die	w13_d139e6639
Militz	w1_d139e6644
hier	w3_d139e6647
in	w5_d139e6650
Besatzung	w7_d139e6653
verbleiben.	w9_d139e6656
Das	w11_d139e6659
Regiment	w1_d139e6665
von	w3_d139e6668
Montbeißier	w5_d139e6671
ist	w7_d139e6674
diesen	w9_d139e6677
Mor	w11_d139e6680
gen	w1_d139e6685
mit	w3_d139e6688
seinen	w5_d139e6691
2.	w7_d139e6694
Feld=stucken	w9_d139e6697
ausgerucket.	w11_d139e6700
Ubermorgen	w1_d139e6705
wird	w3_d139e6708
das	w5_d139e6711
Regiment	w7_d139e6714
d'Alsace	w9_d139e6717
nachfolgen.	w1_d139e6722
</p>
<head id="h2_d139e6728">
Metz	w1_d139e6732
14.	w3_d139e6735
April.	w5_d139e6738
</head>
<p id="p4_d139e6741">
Der	w1_d139e6745
für	w3_d139e6748
die	w5_d139e6751
Armee	w7_d139e6754
des	w9_d139e6757
Marschalls	w11_d139e6760
von	w13_d139e6764
Frankreich	w1_d139e6769
Hrn.	w3_d139e6772
d'Etrees	w5_d139e6775
bestimmte	w7_d139e6778
Zug	w9_d139e6781
schwerer	w1_d139e6786
Artillerie	w3_d139e6789
(so	w5_d139e6792
für	w7_d139e6795
die	w9_d139e6798
Belägerungen	w11_d139e6801
zu	w1_d139e6807
gebrauchen,	w3_d139e6810
und	w5_d139e6813
aus	w7_d139e6816
dem	w9_d139e6819
Zeug=haus	w11_d139e6822
die	w13_d139e6826
ser	w1_d139e6831
Stadt	w3_d139e6834
genommen	w5_d139e6837
worden,)	w7_d139e6840
bestehet	w9_d139e6843
in	w11_d139e6846
130.	w1_d139e6851
24.	w3_d139e6854
pfündige	w5_d139e6857
Kugel	w7_d139e6860
schiessenden	w9_d139e6863
Ca	w11_d139e6866
nonen,	w1_d139e6871
in	w3_d139e6874
50.	w5_d139e6877
Mörsern	w7_d139e6880
von	w9_d139e6883
ausserordentlicher	w11_d139e6886
grösse,	w1_d139e6892
und	w3_d139e6895
in	w5_d139e6898
70.	w7_d139e6901
ordinairen	w9_d139e6904
Mörsern.	w11_d139e6907
Die	w13_d139e6911
Säcke	w1_d139e6916
mit	w3_d139e6919
Erde,	w5_d139e6922
die	w7_d139e6925
Kugeln,	w9_d139e6928
Bomben,	w11_d139e6931
das	w13_d139e6935
zur	w1_d139e6940
Artillerie	w3_d139e6943
gehörige	w5_d139e6946
Werck=zeug,	w7_d139e6949
Pulfer,	w9_d139e6952
und	w1_d139e6957
alles	w3_d139e6960
zu	w5_d139e6963
denen	w7_d139e6966
Belägerungen	w9_d139e6969
erforder	w11_d139e6972
liche	w1_d139e6978
wird	w3_d139e6981
auf	w5_d139e6984
Schiffe	w7_d139e6987
geladen.	w9_d139e6990
25.	w11_d139e6993
Schiffe	w13_d139e6997
seynd	w1_d139e7002
schon	w3_d139e7005
voraus	w5_d139e7008
abgefahren,	w7_d139e7011
und	w9_d139e7014
die	w11_d139e7017
an	w13_d139e7021
dere	w1_d139e7026
werden	w3_d139e7029
nacheinander	w5_d139e7032
folgen,	w7_d139e7035
so,	w9_d139e7038
daß	w11_d139e7041
alle	w1_d139e7046
Artillerie	w3_d139e7049
den	w5_d139e7052
25.	w7_d139e7055
beynahe	w9_d139e7058
zu	w11_d139e7061
Düsseldorf	w13_d139e7065
eintreffen	w1_d139e7071
wird,	w3_d139e7074
um	w5_d139e7077
welche	w7_d139e7080
Zeit	w9_d139e7083
die	w11_d139e7086
Pferde	w13_d139e7090
für	w1_d139e7095
die	w3_d139e7098
Artillerie	w5_d139e7101
auch	w7_d139e7104
in	w9_d139e7107
