<doc id="wr_1757-08-13" attrs="word" year="1757" month="08" day="13" corpus="2">
<head id="h2_d169e3058">
Ragusa,	w1_d169e3062
Ober=rheinischen	w7_d169e4139
Kreises	w1_d169e4144
ist	w3_d169e4147
endlich	w5_d169e4150
auch	w7_d169e4153
zur	w9_d169e4156
Reichs=armee	w11_d169e4159
welche	w1_d169e4164
noch	w3_d169e4167
immer	w5_d169e4170
zwischen	w7_d169e4173
Fürt	w9_d169e4176
und	w11_d169e4179
Far	w13_d169e4183
renbach	w1_d169e4189
campirt,	w3_d169e4192
gestossen	w5_d169e4195
Es	w7_d169e4198
bestehet	w9_d169e4201
sol	w11_d169e4204
ches	w1_d169e4209
aus	w3_d169e4212
lauter	w5_d169e4215
auserlösener	w7_d169e4218
Mannschaft.	w9_d169e4221
Die	w1_d169e4226
Völker	w3_d169e4229
des	w5_d169e4232
Chur=bayrischen	w7_d169e4235
Kreises	w9_d169e4238
sind	w1_d169e4243
ebenfalls	w3_d169e4246
auf	w5_d169e4249
dem	w7_d169e4252
Marsch,	w9_d169e4255
und	w11_d169e4258
wer	w13_d169e4262
den	w1_d169e4268
nächstens	w3_d169e4271
erwartet.	w5_d169e4274
</p>
<head id="h2_d169e4281">
Marburg	w1_d169e4285
1.	w3_d169e4288
Augusti.	w5_d169e4291
</head>
<p id="p4_d169e4294">
Der	w1_d169e4298
Marquis	w3_d169e4301
von	w5_d169e4304
Contades	w7_d169e4307
hat	w9_d169e4310
der	w11_d169e4313
Re	w13_d169e4317
gierung	w1_d169e4322
zu	w3_d169e4325
Cassel	w5_d169e4328
den	w7_d169e4331
Durch=marsch	w9_d169e4334
eines	w11_d169e4337
Corps	w1_d169e4342
Trupen	w3_d169e4345
durch	w5_d169e4348
die	w7_d169e4351
Heßischen	w9_d169e4354
Lande	w11_d169e4357
nach	w13_d169e4361
Thüringen	w1_d169e4367
notificire.	w3_d169e4370
Den	w5_d169e4373
4.	w7_d169e4376
sollte	w9_d169e4379
das	w11_d169e4382
Regiment	w1_d169e4387
de	w3_d169e4390
Vastan,	w5_d169e4393
welches	w7_d169e4396
in	w9_d169e4399
besagter	w11_d169e4402
Stadt	w1_d169e4407
Marburg	w3_d169e4410
ligt,	w5_d169e4413
aufbrechen,	w7_d169e4416
und	w9_d169e4419
dem	w11_d169e4422
Vernehmen	w1_d169e4427
nach	w3_d169e4430
gegen	w5_d169e4433
das	w7_d169e4436
Brandenburgische	w9_d169e4439
vorrückent.	w1_d169e4445
Es	w3_d169e4448
wird	w5_d169e4451
auch	w7_d169e4454
der	w9_d169e4457
Herzo	w11_d169e4460
von	w1_d169e4465
Richelieu	w3_d169e4468
ehestens	w5_d169e4471
erwartet.	w7_d169e4474
</p>
<head id="h2_d169e4480">
Regenspurg	w1_d169e4484
2.	w3_d169e4487
August.	w5_d169e4490
</head>
<p id="p4_d169e4493">
Der	w1_d169e4497
Chur=sächsische	w3_d169e4500
Herr	w5_d169e4503
Gesandte	w7_d169e4506
ließ	w9_d169e4509
vor	w1_d169e4514
etlichen	w3_d169e4517
Tagen	w5_d169e4520
ein	w7_d169e4523
von	w9_d169e4526
ihm	w11_d169e4529
unterm	w13_d169e4533
23.	w15_d169e4536
Julius	w1_d169e4541
unterzeichnetes	w3_d169e4544
und	w5_d169e4547
mit	w7_d169e4550
28.	w9_d169e4553
Beyla	w11_d169e4556
gen	w1_d169e4562
versehenes	w3_d169e4565
Promemoria	w5_d169e4568
ad	w7_d169e4571
ædes	w9_d169e4574
Le	w11_d169e4577
gatorum	w1_d169e4582
distribuiren,	w3_d169e4585
welches	w5_d169e4588
lauter	w7_d169e4591
Be	w9_d169e4594
schwerden	w1_d169e4599
wider	w3_d169e4602
Preussen	w5_d169e4605
in	w7_d169e4608
sich	w9_d169e4611
enthält.	w11_d169e4614
Das	w1_d169e4619
meiste	w3_d169e4622
davon	w5_d169e4625
ist	w7_d169e4628
bereits	w9_d169e4631
auf	w11_d169e4634
offentlichen	w13_d169e4638
Reichs=tag	w1_d169e4644
oder	w3_d169e4647
aus	w5_d169e4650
andern	w7_d169e4653
Nachrichten	w9_d169e4656
be	w11_d169e4659
kannt;	w1_d169e4664
doch	w3_d169e4667
scheinet	w5_d169e4670
uns	w7_d169e4673
diese	w9_d169e4676
Klage	w11_d169e4679
von	w13_d169e4683
äusserster	w1_d169e4688
Wichtigkeit	w3_d169e4691
zu	w5_d169e4694
seyn,	w7_d169e4697
wann	w9_d169e4700
unter	w11_d169e4703
andern	w1_d169e4708
gesagt	w3_d169e4711
wird,	w5_d169e4714
daß	w7_d169e4717
zu	w9_d169e4720
Dresden	w11_d169e4723
und	w13_d169e4727
Leipzig	w1_d169e4733
durch	w3_d169e4736
einen	w5_d169e4739
von	w7_d169e4742
des	w9_d169e4745
Königs	w11_d169e4748
in	w13_d169e4752
Preus	w15_d169e4755
sen	w1_d169e4760
Majestät,	w3_d169e4763
daselbst	w5_d169e4766
Reichs=satzungs	w7_d169e4769
wi	w9_d169e4772
drig	w1_d169e4777
eingestellten	w3_d169e4780
jüdischen	w5_d169e4783
Pachter,	w7_d169e4786
Ephra	w9_d169e4789
im	w1_d169e4794
genannt,	w3_d169e4797
mit	w5_d169e4800
Ausmünzung	w7_d169e4803
geringhaltig	w9_d169e4806
ster	w1_d169e4812
Münz=sorten	w3_d169e4815
unter	w5_d169e4818
Gebrauch	w7_d169e4821
derer	w9_d169e4824
mit	w11_d169e4827
Gewalt	w1_d169e4832
an	w3_d169e4835
sich	w5_d169e4838
genommenen	w7_d169e4841
Chursächsi	w9_d169e4844
schen	w1_d169e4849
Präg=stöcken	w3_d169e4852
Tag	w5_d169e4855
und	w7_d169e4858
Nacht	w9_d169e4861
fortge	w11_d169e4864
fahren	w1_d169e4869
würde;	w3_d169e4872
und	w5_d169e4875
damit	w7_d169e4878
jene	w9_d169e4881
desto	w11_d169e4884
stärker	w13_d169e4888
getrieben,	w1_d169e4894
das	w3_d169e4897
Land	w5_d169e4900
aber	w7_d169e4903
desto	w9_d169e4906
mehr	w11_d169e4909
mit	w13_d169e4913
un	w15_d169e4916
tauglichem	w1_d169e4921
Gelde,	w3_d169e4924
unter	w5_d169e4927
Einbuße	w7_d169e4930
vieler	w9_d169e4933
Tonnen	w1_d169e4938
Goldes	w3_d169e4941
überschwemmet	w5_d169e4944
werden	w7_d169e4947
kön	w9_d169e4950
ne,	w1_d169e4955
hätte	w3_d169e4958
besagter	w5_d169e4961
Jud	w7_d169e4964
von	w9_d169e4967
dem	w11_d169e4970
Preußi	w13_d169e4974
schen	w1_d169e4980
Directorio	w3_d169e4983
zu	w5_d169e4986
Torgau	w7_d169e4989
nicht	w9_d169e4992
nur	w11_d169e4995
Edicte,	w13_d169e4999
wegen	w1_d169e5004
des	w3_d169e5007
von	w5_d169e5010
allen	w7_d169e5013
Orten	w9_d169e5016
in	w11_d169e5019
die	w13_d169e5023
Münze	w15_d169e5026
ein	w17_d169e5029
zulieferenden	w1_d169e5034
Geldes,	w3_d169e5037
Silbers	w5_d169e5040
und	w7_d169e5043
Kupfers,	w9_d169e5046
sondern	w1_d169e5051
auch	w3_d169e5054
besondere	w5_d169e5057
Befehle	w7_d169e5060
ausgewürket	w9_d169e5063
daß	w1_d169e5069
ihm	w3_d169e5072
die	w5_d169e5075
zu	w7_d169e5078
Leipzig	w9_d169e5081
eingehende	w11_d169e5084
Steuer	w13_d169e5088
</p>
<p id="p6_d169e5091">
gelder,	w1_d169e5095
gegen	w3_d169e5098
Quittung	w5_d169e5101
abzufolgen	w7_d169e5104
seyen	w9_d169e5107
mithin	w1_d169e5112
derselbe	w3_d169e5115
allein	w5_d169e5118
daher	w7_d169e5121
schon	w9_d169e5124
viele	w11_d169e5127
1009.	w13_d169e5131
Thaler	w1_d169e5136
aus	w3_d169e5139
der	w5_d169e5142
Steuer=casse	w7_d169e5145
zu	w9_d169e5148
seiner	w11_d169e5151
Müng	w13_d169e5155
gewinne,	w1_d169e5161
allwo	w3_d169e5164
sie	w5_d169e5167
eingeschmolzen	w7_d169e5170
und	w9_d169e5173
in	w11_d169e5176
schlechterem	w1_d169e5181
neuen	w3_d169e5184
Gelde	w5_d169e5187
mit	w7_d169e5190
einem	w9_d169e5193
gege	w11_d169e5196
die	w1_d169e5201
vorherige	w3_d169e5204
Chur=sächsische	w5_d169e5207
Ausmünzn	w7_d169e5210
bey	w1_d169e5215
einzelnen	w3_d169e5218
Groschen	w5_d169e5221
zu	w7_d169e5224
19.	w9_d169e5227
Thaler,	w11_d169e5230
bey	w13_d169e5234
dem	w15_d169e5237
8.	w1_d169e5243
Groschen=stücken	w3_d169e5246
aber	w5_d169e5249
zu	w7_d169e5252
24.	w9_d169e5255
Thaler	w11_d169e5258
veon	w13_d169e5262
Cento	w1_d169e5267
für	w3_d169e5270
das	w5_d169e5273
Publicum	w7_d169e5276
betragenden	w9_d169e5279
Vr	w11_d169e5282
luste	w1_d169e5287
ausgemünzet	w3_d169e5290
würden,	w5_d169e5293
als	w7_d169e5296
wesfalls	w9_d169e5299
die	w11_d169e5302
Probe	w1_d169e5307
täglich	w3_d169e5310
allhier	w5_d169e5313
selbst	w7_d169e5316
in	w9_d169e5319
Comitiis	w11_d169e5322
dur	w13_d169e5326
unpartheyische	w1_d169e5332
Münz=wardeine	w3_d169e5335
angestellt	w5_d169e5338
werden	w1_d169e5343
könnte.	w3_d169e5346
</p>
<p id="p8_d169e5349">
Am	w1_d169e5353
verwichenen	w3_d169e5356
Montag	w5_d169e5359
langte	w7_d169e5362
bey	w9_d169e5365
Cay	w11_d169e5368
persdorf,	w1_d169e5373
eine	w3_d169e5376
Stunde	w5_d169e5379
von	w7_d169e5382
hier,	w9_d169e5385
das	w11_d169e5388
Pas	w13_d169e5392
sauische	w1_d169e5397
Kreis=contingent	w3_d169e5400
an.	w5_d169e5403
Am	w7_d169e5406
Mitt	w9_d169e5409
wochen	w1_d169e5415
tratt	w3_d169e5418
selbiges	w5_d169e5421
sowol	w7_d169e5424
als	w9_d169e5427
das	w11_d169e5430
Contin	w13_d169e5434
gent	w1_d169e5439
der	w3_d169e5442
hiesigen	w5_d169e5445
Stadt	w7_d169e5448
den	w9_d169e5451
Marsch	w11_d169e5454
nach	w13_d169e5458
Neumark	w1_d169e5463
an,	w3_d169e5466
wo	w5_d169e5469
sich	w7_d169e5472
sämmtliche	w9_d169e5475
Trupen	w11_d169e5478
des	w13_d169e5482
Bayrischen	w1_d169e5487
Kreises	w3_d169e5490
sammlen,	w5_d169e5493
und	w7_d169e5496
unver	w9_d169e5499
weilt	w1_d169e5505
zur	w3_d169e5508
Reichs=armee	w5_d169e5511
stossen	w7_d169e5514
werden.	w9_d169e5517
</p>
<head id="h2_d169e5523">
Auszug	w1_d169e5527
eines	w3_d169e5530
Schreibens	w5_d169e5533
aus	w7_d169e5536
Danzig,	w1_d169e5541
den	w3_d169e5544
24.	w5_d169e5547
Julii.	w7_d169e5550
</head>
<p id="p4_d169e5553">
Der	w1_d169e5557
Königl.	w3_d169e5560
Preußische	w5_d169e5563
Generalfeld	w7_d169e5566
marschall	w1_d169e5571
von	w3_d169e5574
Lehwald	w5_d169e5577
hat	w7_d169e5580
sich	w9_d169e5583
mit	w11_d169e5586
seiner	w13_d169e5590
Armee	w1_d169e5595
nach	w3_d169e5598
Königsberg	w5_d169e5601
zuruck	w7_d169e5604
gezogen,	w9_d169e5607
von	w11_d169e5610
dannen	w1_d169e5616
er	w3_d169e5619
unter	w5_d169e5622
Commando	w7_d169e5625
des	w9_d169e5628
Hrn.	w11_d169e5631
Ge	w13_d169e5635
nerald	w1_d169e5640
Canitz	w3_d169e5643
ein	w5_d169e5646
Corps	w7_d169e5649
von	w9_d169e5652
6000.	w11_d169e5655
Mann	w13_d169e5659
nach	w1_d169e5664
Fisch=hausen,	w3_d169e5667
5.	w5_d169e5670
Meilen	w7_d169e5673
von	w9_d169e5676
Königs	w11_d169e5679
berg,	w1_d169e5684
detaschiret	w3_d169e5687
hat,	w5_d169e5690
um	w7_d169e5693
nicht	w9_d169e5696
von	w11_d169e5699
denen	w13_d169e5703
Rus	w15_d169e5706
sen	w1_d169e5712
eingeschlossen	w3_d169e5715
zu	w5_d169e5718
werden.	w7_d169e5721
Die	w9_d169e5724
Rußische	w11_d169e5727
Armee	w1_d169e5732
ist,	w3_d169e5735
ausser	w5_d169e5738
denen	w7_d169e5741
irregiilairen	w9_d169e5744
Trupen,	w11_d169e5747
120000.	w1_d169e5752
Mann	w3_d169e5755
stark,	w5_d169e5758
welche	w7_d169e5761
ihm	w9_d169e5764
ganz	w11_d169e5767
nah	w13_d169e5771
nachfolget.	w1_d169e5776
Hier	w3_d169e5779
ligen	w5_d169e5782
auf	w7_d169e5785
unserer	w9_d169e5788
Rhede	w11_d169e5791
jetzo	w1_d169e5797
24.	w3_d169e5800
Rußische	w5_d169e5803
Kriegs=schiffe,	w7_d169e5806
wovon	w9_d169e5809
eine	w11_d169e5812
Escadre	w1_d169e5817
von	w3_d169e5820
10.	w5_d169e5823
Kriegs=schiffen,	w7_d169e5826
unterm	w9_d169e5829
Contre=admiral	w1_d169e5834
Kaiser,	w3_d169e5837
nach	w5_d169e5840
Pillau	w7_d169e5843
abge	w9_d169e5846
hen	w1_d169e5851
soll;	w3_d169e5854
der	w5_d169e5857
Vice=admiral	w7_d169e5860
Lapuchin	w9_d169e5863
aber	w11_d169e5866
wird	w1_d169e5872
hier	w3_d169e5875
bleiben,	w5_d169e5878
und	w7_d169e5881
jener	w9_d169e5884
inzwischen	w11_d169e5887
das	w13_d169e5891
Bombardement	w1_d169e5896
dirigiren.	w3_d169e5899
Vorgestern	w5_d169e5902
wur	w7_d169e5905
den	w1_d169e5910
letztgedachtem	w3_d169e5913
Admirale	w5_d169e5916
die	w7_d169e5919
Geschenke	w9_d169e5922
von	w1_d169e5927
dem	w3_d169e5930
Magistrate	w5_d169e5933
durch	w7_d169e5936
den	w9_d169e5939
Obersten	w11_d169e5942
und	w13_d169e5946
Commandanten	w1_d169e5952
von	w3_d169e5955
der	w5_d169e5958
Münde,	w7_d169e5961
Hrn.	w9_d169e5964
Gün	w11_d169e5967
ther,	w1_d169e5972
welcher	w3_d169e5975
der	w5_d169e5978
Rußischen	w7_d169e5981
Sprache	w9_d169e5984
mäch	w11_d169e5987
tig,	w1_d169e5992
und	w3_d169e5995
aus	w5_d169e5998
hiesiger	w7_d169e6001
Stadt	w9_d169e6004
gebürtig	w11_d169e6007
ist,	w13_d169e6011
überschicket.	w1_d169e6016
Die	w3_d169e6019
Geschenke	w5_d169e6022
bestunden	w7_d169e6025
in	w9_d169e6028
vielem	w1_d169e6034
lebendigem	w3_d169e6037
Viehe,	w5_d169e6040
als	w7_d169e6043
Kälbern,	w9_d169e6046
Schepfen,	w1_d169e6051
Hühnern,	w3_d169e6054
Jndianischen	w5_d169e6057
Hühgern	w7_d169e6060
Kapaunern,	w1_d169e6065
Enten,	w3_d169e6068
Gänsen,	w5_d169e6071
40.	w7_d169e6074
Bouteillen	w9_d169e6077
Ungarischen	w1_d169e6082
Wein,	w3_d169e6085
eben	w5_d169e6088
so	w7_d169e6091
vielem	w9_d169e6094
Burgunder	w11_d169e6097
</p>
<p id="p10_d169e6110">
und	w1_d169e6114
Champagner,	w3_d169e6117
Melonen	w5_d169e6120
und	w7_d169e6123
Garten	w9_d169e6126
früchten.	w1_d169e6131
Wie	w3_d169e6134
das	w5_d169e6137
Bombardement	w7_d169e6140
von	w9_d169e6143
Pil	w11_d169e6146
lau	w1_d169e6151
ablauffen	w3_d169e6154
wird,	w5_d169e6157
dörfte	w7_d169e6160
man	w9_d169e6163
nächstens	w11_d169e6166
er	w13_d169e6170
fahren.	w1_d169e6176
</p>
<p id="p12_d169e6180">
Jn	w1_d169e6184
der	w3_d169e6187
von	w5_d169e6190
denen	w7_d169e6193
Russen	w9_d169e6196
eroberten	w11_d169e6199
Fe	w13_d169e6203
stung	w1_d169e6208
Memel	w3_d169e6211
hat	w5_d169e6214
man	w7_d169e6217
122.	w9_d169e6220
Canonen	w11_d169e6223
nebst	w13_d169e6227
vieler	w1_d169e6232
Munition	w3_d169e6235
und	w5_d169e6238
andern	w7_d169e6241
Gerätschaften	w9_d169e6244
gefunden.	w1_d169e6250
Die	w3_d169e6253
Rußische	w5_d169e6256
Armee	w7_d169e6259
ist	w9_d169e6262
derma	w11_d169e6265
len	w1_d169e6270
120000.	w3_d169e6273
Mann	w5_d169e6276
stark,	w7_d169e6279
und	w9_d169e6282
soll	w11_d169e6285
noch	w13_d169e6289
mit	w15_d169e6292
30000.	w1_d169e6297
Mann	w3_d169e6300
verstärket	w5_d169e6303
werden.	w7_d169e6306
</p>
<head id="h2_d169e6312">
Cöln	w1_d169e6316
2.	w3_d169e6319
Augusti.	w5_d169e6322
</head>
<p id="p4_d169e6325">
Der	w1_d169e6329
Frey=herr	w3_d169e6332
von	w5_d169e6335
Spiegel,	w7_d169e6338
welcher	w9_d169e6341
Sr.	w11_d169e6344
Chur=fürstl.	w1_d169e6349
Durchleucht	w3_d169e6352
zu	w5_d169e6355
Cöln	w7_d169e6358
die	w9_d169e6361
Nach	w11_d169e6364
richt	w1_d169e6369
von	w3_d169e6372
dem	w5_d169e6375
über	w7_d169e6378
die	w9_d169e6381
Hannoveraner	w11_d169e6384
erfoch	w13_d169e6388
tenen	w1_d169e6394
Sieg	w3_d169e6397
auf	w5_d169e6400
Bonn	w7_d169e6403
überbracht,	w9_d169e6406
ist	w11_d169e6409
von	w13_d169e6413
Höchst=deroselben	w1_d169e6418
mit	w3_d169e6421
einer	w5_d169e6424
goldenen	w7_d169e6427
Toback	w9_d169e6430
dosen	w1_d169e6435
und	w3_d169e6438
zwey	w5_d169e6441
goldenen	w7_d169e6444
mit	w9_d169e6447
Edel=gesteinen	w11_d169e6450
besetzten	w1_d169e6455
Ringen	w3_d169e6458
(so	w5_d169e6461
von	w7_d169e6464
grossem	w9_d169e6467
Wehrt	w11_d169e6470
seynd,	w1_d169e6476
und	w3_d169e6479
deren	w5_d169e6482
einer	w7_d169e6485
mit	w9_d169e6488
des	w11_d169e6491
Durchl.	w13_d169e6495
Chur	w15_d169e6498
fürstens	w1_d169e6503
hohen	w3_d169e6506
Portrait,	w5_d169e6509
und	w7_d169e6512
der	w9_d169e6515
andere	w11_d169e6518
mit	w13_d169e6522
dem	w1_d169e6527
hohen	w3_d169e6530
Teutschen	w5_d169e6533
Ordens=kreutz	w7_d169e6536
künstlich	w9_d169e6539
ausgeschmücket	w1_d169e6544
ist)	w3_d169e6547
beschenket	w5_d169e6550
worden.	w7_d169e6553
</p>
<head id="h2_d169e6559">
Frankfort	w1_d169e6563
5.	w3_d169e6566
Augusti.	w5_d169e6569
</head>
<p id="p4_d169e6572">
Es	w1_d169e6576
war	w3_d169e6579
am	w5_d169e6582
abgewichenen	w7_d169e6585
Sonntage,	w9_d169e6588
daß	w11_d169e6591
das	w1_d169e6596
Französische	w3_d169e6599
Regiment	w5_d169e6602
Piemont	w7_d169e6605
unter	w9_d169e6608
Anführung	w1_d169e6613
des	w3_d169e6616
Herrn	w5_d169e6619
Generals	w7_d169e6622
Nicolai	w9_d169e6625
vor	w11_d169e6628
die	w1_d169e6634
Stadt	w3_d169e6637
Hanau	w5_d169e6640
kam,	w7_d169e6643
und	w9_d169e6646
nach	w11_d169e6649
geschehe	w13_d169e6653
hener	w1_d169e6658
Aufforderung	w3_d169e6661
dieselbe	w5_d169e6664
