<doc id="wr_1758-02-08" attrs="word" year="1758" month="02" day="08" corpus="2">
<head id="h2_d217e3160">
Rom,	w1_d217e3164
geschrieben,	w7_d217e3624
daß	w9_d217e3627
die	w11_d217e3630
Flotte	w1_d217e3635
dis	w3_d217e3638
Herrn	w1_d217e3643
von	w3_d217e3646
Grammont	w5_d217e3649
de	w7_d217e3652
en	w1_d217e3658
hehe	w3_d217e3661
</p>
<p id="p6_d217e3664">
ses	w1_d217e3668
mit	w3_d217e3671
5.	w5_d217e3674
Englündischen	w7_d217e3677
Beuten,	w9_d217e3680
nebst	w11_d217e3683
ei	w13_d217e3687
nigen	w1_d217e3692
Französischen	w3_d217e3695
Kauffarthey=schiffen,	w5_d217e3698
von	w7_d217e3701
Maltha	w1_d217e3706
allda	w3_d217e3709
glücklich	w5_d217e3712
eingeloffen.	w7_d217e3715
Das	w9_d217e3718
Schif=volck	w1_d217e3724
hat	w3_d217e3727
Befehl	w5_d217e3730
nicht	w7_d217e3733
an	w9_d217e3736
Land	w11_d217e3739
zu	w13_d217e3743
stei	w15_d217e3746
gen.	w1_d217e3751
Man	w3_d217e3754
versiehet	w5_d217e3757
diese	w7_d217e3760
Schiffe	w9_d217e3763
mit	w11_d217e3766
Lebens	w13_d217e3770
mitteln	w1_d217e3775
auf	w3_d217e3778
7.	w5_d217e3781
Monat,	w7_d217e3784
und	w9_d217e3787
glaubet,	w11_d217e3790
daß	w13_d217e3794
sel	w15_d217e3797
bige	w1_d217e3802
nebst	w3_d217e3805
denen	w5_d217e3808
3	w7_d217e3811
Schiffen	w9_d217e3814
und	w11_d217e3817
2.	w13_d217e3821
Fregatten	w15_d217e3824
des	w1_d217e3830
Herrn	w3_d217e3833
du	w5_d217e3836
Quesne,	w7_d217e3839
sich	w9_d217e3842
mit	w11_d217e3845
denen	w13_d217e3849
zu	w15_d217e3852
Car	w17_d217e3855
thagena	w1_d217e3860
befindlichen	w3_d217e3863
6.	w5_d217e3866
Schiffen	w7_d217e3869
des	w9_d217e3872
Herrn	w11_d217e3875
de	w1_d217e3880
la	w3_d217e3883
Clüe	w5_d217e3886
vereinigen	w7_d217e3889
werden.	w9_d217e3892
Leztere	w11_d217e3895
sollen	w13_d217e3899
schon	w1_d217e3904
10.	w3_d217e3907
Engländische	w5_d217e3910
Beuten	w7_d217e3913
aufgebracht	w9_d217e3916
haben.	w1_d217e3922
Der	w3_d217e3925
Herr	w5_d217e3928
von	w7_d217e3931
Boyer,	w9_d217e3934
den	w11_d217e3937
der	w13_d217e3941
Hof	w15_d217e3944
nach	w1_d217e3949
Brest	w3_d217e3952
abgefertiget,	w5_d217e3955
um	w7_d217e3958
das	w9_d217e3961
Schif=volck	w11_d217e3964
des	w1_d217e3969
Herrn	w3_d217e3972
Dubois	w5_d217e3975
de	w7_d217e3978
la	w9_d217e3981
Mothe	w11_d217e3984
an	w13_d217e3988
ihren	w15_d217e3991
Krankheiten	w1_d217e3996
zu	w3_d217e3999
heilen,	w5_d217e4002
ist	w7_d217e4005
allda	w9_d217e4008
mit	w11_d217e4011
gleicher	w13_d217e4015
Krankheit	w1_d217e4021
befallen	w3_d217e4024
worden,	w5_d217e4027
und	w7_d217e4030
verstorben.	w9_d217e4033
</p>
<head id="h2_d217e4039">
Hanover	w1_d217e4043
15.	w3_d217e4046
Januarii.	w5_d217e4049
</head>
<p id="p4_d217e4052">
Am	w1_d217e4056
16.	w3_d217e4059
ist	w5_d217e4062
der	w7_d217e4065
mehreste	w9_d217e4068
Theil	w11_d217e4071
von	w13_d217e4075
denen	w15_d217e4078
6000.	w1_d217e4083
Mann	w3_d217e4086
Franzosen	w5_d217e4089
aus	w7_d217e4092
Halberstadt	w9_d217e4095
wie	w11_d217e4098
der	w1_d217e4103
abmarschieret,	w3_d217e4106
und	w5_d217e4109
es	w7_d217e4112
seynd	w9_d217e4115
nur	w11_d217e4118
bis	w13_d217e4122
2000.	w15_d217e4125
Mann	w1_d217e4131
darinn	w3_d217e4134
geblieben.	w5_d217e4137
Zugleich	w7_d217e4140
haben	w9_d217e4143
sie	w11_d217e4146
6.	w1_d217e4151
Geisseln,	w3_d217e4154
als	w5_d217e4157
den	w7_d217e4160
Cammer=director	w9_d217e4163
Diede	w11_d217e4166
Dom	w1_d217e4171
herrn	w3_d217e4174
von	w5_d217e4177
Diepenbroick,	w7_d217e4180
den	w9_d217e4183
rich	w1_d217e4188
</p>
<p id="p10_d217e4201">
Land=raht,	w1_d217e4205
Herrn	w3_d217e4208
Seiffert,	w5_d217e4211
den	w7_d217e4214
Kriegs=raht	w9_d217e4217
Herrn	w1_d217e4222
Grashof,	w3_d217e4225
den	w5_d217e4228
Vicarium,	w7_d217e4231
Herrn	w9_d217e4234
Ru	w11_d217e4237
dolphi,	w1_d217e4242
den	w3_d217e4245
Herrn	w5_d217e4248
Ackerman,	w7_d217e4251
und	w9_d217e4254
Herrn	w11_d217e4257
Meyer	w1_d217e4263
aus	w3_d217e4266
Halberstadt	w5_d217e4269
mit	w7_d217e4272
weggeführt,	w9_d217e4275
und	w11_d217e4278
solche	w1_d217e4283
alhier	w3_d217e4286
unter	w5_d217e4289
einer	w7_d217e4292
Bedeckung	w9_d217e4295
von	w11_d217e4298
Ca	w13_d217e4302
vallerie	w1_d217e4307
eingebracht,	w3_d217e4310
welche	w5_d217e4313
von	w7_d217e4316
einander	w9_d217e4319
abgesöndert,	w1_d217e4324
in	w3_d217e4327
der	w5_d217e4330
hiesigen	w7_d217e4333
sogenannten	w9_d217e4336
neuen	w11_d217e4339
Schenke	w1_d217e4345
ihr	w3_d217e4348
Quartier	w5_d217e4351
bekommen	w7_d217e4354
haben.	w9_d217e4357
</p>
<head id="h2_d217e4364">
Lippstadt	w1_d217e4368
17.	w3_d217e4371
Januarii.	w5_d217e4374
</head>
<p id="p4_d217e4377">
Am	w1_d217e4381
9.	w3_d217e4384
dieses	w5_d217e4387
ruckte	w7_d217e4390
hier	w9_d217e4393
das	w11_d217e4396
Löbliche	w13_d217e4400
Re	w15_d217e4403
giment	w1_d217e4408
von	w3_d217e4411
Poitou,	w5_d217e4414
zwey	w7_d217e4417
Battaillons	w9_d217e4420
stark	w11_d217e4423
unter	w1_d217e4428
Anführung	w3_d217e4431
des	w5_d217e4434
Herrn	w7_d217e4437
Obristleute	w9_d217e4440
nants,	w1_d217e4446
Ritters	w3_d217e4449
von	w5_d217e4452
Bonneval,	w7_d217e4455
zur	w9_d217e4458
Besatzung	w11_d217e4461
ein,	w1_d217e4466
am	w3_d217e4469
12.	w5_d217e4472
Abends	w7_d217e4475
aber	w9_d217e4478
kame	w11_d217e4481
der	w13_d217e4485
vorma	w15_d217e4488
lige	w1_d217e4493
Goaverneur	w3_d217e4496
zu	w5_d217e4499
Cassel,	w7_d217e4502
Herzog	w9_d217e4505
von	w11_d217e4508
Ayen	w13_d217e4512
von	w1_d217e4517
Hanover	w3_d217e4520
alhier	w5_d217e4523
an,	w7_d217e4526
und	w9_d217e4529
setzte	w11_d217e4532
folgen	w13_d217e4536
den	w1_d217e4542
Morgens	w3_d217e4545
dero	w5_d217e4548
Reise	w7_d217e4551
nach	w9_d217e4554
Paris	w11_d217e4557
fort.	w13_d217e4561
Nachrichten	w1_d217e4566
aus	w3_d217e4569
Halberstadt	w5_d217e4572
zufolge,	w7_d217e4575
befin	w9_d217e4578
det	w1_d217e4583
sich	w3_d217e4586
seit	w5_d217e4589
dem	w7_d217e4592
11.	w9_d217e4595
dieses	w11_d217e4598
wieder	w13_d217e4602
Französi	w15_d217e4605
sche	w1_d217e4610
Besatzung	w3_d217e4613
allda.	w5_d217e4616
</p>
<head id="h2_d217e4622">
Londen	w1_d217e4626
15.	w3_d217e4629
Jan.	w5_d217e4632
</head>
<p id="p4_d217e4635">
Der	w1_d217e4639
König	w3_d217e4642
hat	w5_d217e4645
die	w7_d217e4648
Capitains,	w9_d217e4651
Dennis,	w11_d217e4654
Howe,	w1_d217e4659
Durell	w3_d217e4662
und	w5_d217e4665
Young,	w7_d217e4668
zu	w9_d217e4671
Contrerad	w11_d217e4674
mirals	w1_d217e4679
auf	w3_d217e4682
seiner	w5_d217e4685
Flotte	w7_d217e4688
ernannt.	w9_d217e4691
Den	w11_d217e4694
3ten	w1_d217e4700
Januar	w3_d217e4703
empfieng	w5_d217e4706
der	w7_d217e4709
Hof	w9_d217e4712
aus	w11_d217e4715
Madrid	w13_d217e4719
die	w1_d217e4724
Nachricht	w3_d217e4727
von	w5_d217e4730
dem	w7_d217e4733
Tode	w9_d217e4736
des	w11_d217e4739
Ritters	w13_d217e4743
Keene,	w1_d217e4748
ausserordentlichen	w3_d217e4751
und	w5_d217e4754
gevollmäch	w7_d217e4757
tigten	w1_d217e4762
Gesandten	w3_d217e4765
am	w5_d217e4768
Spanischen	w7_d217e4771
Hofe,	w9_d217e4774
welcher	w1_d217e4780
eine	w3_d217e4783
langwürige	w5_d217e4786
Krankheit	w7_d217e4789
ausge	w9_d217e4792
standen	w1_d217e4797
hat.	w3_d217e4800
Der	w5_d217e4803
Oberste	w7_d217e4806
Ruvygny	w9_d217e4809
de	w11_d217e4812
Cosne,	w1_d217e4817
Gesandschafts=secretair,	w3_d217e4820
muß	w5_d217e4823
indes	w7_d217e4826
sen	w1_d217e4831
unsere	w3_d217e4834
Angelegenheiten	w5_d217e4837
am	w7_d217e4840
Hofe	w9_d217e4843
von	w11_d217e4846
Madrid	w1_d217e4852
so	w3_d217e4855
lange	w5_d217e4858
verwalten,	w7_d217e4861
bis	w9_d217e4864
Se.	w11_d217e4867
Ma	w13_d217e4871
jestät	w1_d217e4876
der	w3_d217e4879
König,	w5_d217e4882
einen	w7_d217e4885
andern	w9_d217e4888
Ambassadeur	w11_d217e4891
an	w1_d217e4896
die	w3_d217e4899
Stelle	w5_d217e4902
des	w7_d217e4905
Herrn	w9_d217e4908
Keene	w11_d217e4911
ernannt	w13_d217e4915
ha	w15_d217e4918
ben.	w1_d217e4923
Bey	w3_d217e4926
denen	w5_d217e4929
Trupen	w7_d217e4932
in	w9_d217e4935
America	w11_d217e4938
sind	w13_d217e4942
fol	w15_d217e4945
gende	w1_d217e4951
Erhöhungen	w3_d217e4954
von	w5_d217e4957
Sr.	w7_d217e4960
Majestät	w9_d217e4963
dem	w11_d217e4966
Könige,	w1_d217e4971
vorgenommen	w3_d217e4974
worden.	w5_d217e4977
Der	w7_d217e4980
Ge	w9_d217e4983
neral=major,	w1_d217e4988
Abercromble,	w3_d217e4991
ist	w5_d217e4994
zum	w7_d217e4997
Comman	w9_d217e5000
deur	w1_d217e5005
en	w3_d217e5008
Chef	w5_d217e5011
der	w7_d217e5014
Königl	w9_d217e5017
Armeen	w11_d217e5020
im	w13_d217e5024
mit	w15_d217e5027
ternächtlichen	w1_d217e5033
America,	w3_d217e5036
und	w5_d217e5039
zum	w7_d217e5042
Obersten	w9_d217e5045
des	w1_d217e5050
Regiments	w3_d217e5053
Royal	w5_d217e5056
americain,	w7_d217e5059
so	w9_d217e5062
aus	w11_d217e5065
4.	w13_d217e5069
Bataillons,	w1_d217e5074
jedes	w3_d217e5077
zu	w5_d217e5080
1000.	w7_d217e5083
Mann	w9_d217e5086
gerech	w11_d217e5089
net,	w1_d217e5094
bestehet,	w3_d217e5097
ernannt;	w5_d217e5100
zu	w7_d217e5103
Brigadier=generals	w9_d217e5106
die	w1_d217e5112
Herren	w3_d217e5115
Stanwix	w5_d217e5118
und	w7_d217e5121
Forbes,	w9_d217e5124
der	w11_d217e5127
Lord	w13_d217e5131
Howe,	w1_d217e5136
und	w3_d217e5139
die	w5_d217e5142
Herren,	w7_d217e5145
Withmore	w9_d217e5148
und	w11_d217e5151
La	w13_d217e5155
wrence;	w1_d217e5160
zu	w3_d217e5163
Obersten	w5_d217e5166
die	w7_d217e5169
Herren	w9_d217e5172
Gage,	w11_d217e5175
Bou	w13_d217e5179
quet,	w1_d217e5184
Montgomera	w3_d217e5187
und	w5_d217e5190
Beoadstreet.	w7_d217e5193
Alle	w9_d217e5196
</p>
<p id="p6_d217e5199">
diese	w1_d217e5203
Officiers	w3_d217e5206
haben	w5_d217e5209
Ordre,	w7_d217e5212
sich	w9_d217e5215
unverzüg	w11_d217e5218
lich	w1_d217e5223
nach	w3_d217e5226
America	w5_d217e5229
zu	w7_d217e5232
begeben,	w9_d217e5235
Man	w11_d217e5238
arbei	w13_d217e5242
tet	w1_d217e5247
bis	w3_d217e5250
über	w5_d217e5253
die	w7_d217e5256
gewöhnliche	w9_d217e5259
Stunden,	w11_d217e5262
und	w13_d217e5266
selbst	w1_d217e5272
den	w3_d217e5275
Sonntag	w5_d217e5278
nicht	w7_d217e5281
ausgenommen,	w9_d217e5284
an	w11_d217e5287
der	w1_d217e5292
Ausrüstung	w3_d217e5295
vieler	w5_d217e5298
Kriegs=schiffe,	w7_d217e5301
welche	w9_d217e5304
in	w1_d217e5309
Commißion	w3_d217e5312
gesetzet	w5_d217e5315
worden.	w7_d217e5318
Die	w9_d217e5321
Esca	w11_d217e5324
dre	w1_d217e5329
von	w3_d217e5332
8.	w5_d217e5335
Kriegs=schiffen,	w7_d217e5338
so	w9_d217e5341
nach	w11_d217e5344
Asien	w13_d217e5348
be	w15_d217e5351
stimmet	w1_d217e5357
ist,	w3_d217e5360
erwartet	w5_d217e5363
die	w7_d217e5366
letztere	w9_d217e5369
Ordre	w11_d217e5372
vom	w13_d217e5376
Hofe,	w1_d217e5381
um	w3_d217e5384
mit	w5_d217e5387
denen	w7_d217e5390
Schiffen	w9_d217e5393
der	w11_d217e5396
Ostindi	w13_d217e5400
schen	w1_d217e5405
Compagnie	w3_d217e5408
unter	w5_d217e5411
Seegel	w7_d217e5414
zu	w9_d217e5417
gehen.	w11_d217e5420
Der	w1_d217e5425
Admiral	w3_d217e5428
Knowles	w5_d217e5431
hat	w7_d217e5434
seine	w9_d217e5437
Würde	w11_d217e5440
als	w13_d217e5444
Vicel=admiral	w1_d217e5450
von	w3_d217e5453
der	w5_d217e5456
Flotte	w7_d217e5459
nieder	w9_d217e5462
gelegt.	w11_d217e5465
</p>
<p id="p8_d217e5468">
Vorgestern	w1_d217e5472
kam	w3_d217e5475
der	w5_d217e5478
Herr	w7_d217e5481
Pitt	w9_d217e5484
in	w11_d217e5487
das	w13_d217e5491
Par	w15_d217e5494
lament,	w1_d217e5499
und	w3_d217e5502
überbrachte	w5_d217e5505
in	w7_d217e5508
einer	w9_d217e5511
Botschaft	w11_d217e5514
von	w1_d217e5519
dem	w3_d217e5522
Könige	w5_d217e5525
die	w7_d217e5528
Erinnerung,	w9_d217e5531
daß	w11_d217e5534
man	w13_d217e5538
auf	w1_d217e5544
die	w3_d217e5547
Einrichtung	w5_d217e5550
der	w7_d217e5553
Subsidien	w9_d217e5556
bedacht	w11_d217e5559
seyn	w13_d217e5563
möge,	w1_d217e5568
rc.	w3_d217e5571
und	w5_d217e5574
heut	w7_d217e5577
haben	w9_d217e5580
die	w11_d217e5583
Gemeinen	w13_d217e5587
eine	w15_d217e5590
Summe	w1_d217e5595
von	w3_d217e5598
100000.	w5_d217e5601
Pf.	w7_d217e5604
Sterl.	w9_d217e5607
unter	w11_d217e5610
dem	w13_d217e5614
Titel	w1_d217e5619
einer	w3_d217e5622
ausserordentlichen	w5_d217e5625
Subvention	w7_d217e5628
für	w9_d217e5631
die	w1_d217e5637
Churfürstl.	w3_d217e5640
Hannöverische	w5_d217e5643
Armee	w7_d217e5646
bewilli	w9_d217e5649
get.	w1_d217e5654
Auch	w3_d217e5657
wird	w5_d217e5660
würklichen	w7_d217e5663
Gewehr	w9_d217e5666
für	w11_d217e5669
16000.	w1_d217e5674
Mann	w3_d217e5677
nebst	w5_d217e5680
4000.	w7_d217e5683
Zelten	w9_d217e5686
auf	w11_d217e5689
der	w13_d217e5693
Themse	w1_d217e5698
eingeschift.	w3_d217e5701
Zu	w5_d217e5704
Wolwich	w7_d217e5707
und	w9_d217e5710
in	w11_d217e5713
dem	w13_d217e5717
Tour	w1_d217e5723
wird	w3_d217e5726
auch	w5_d217e5729
viele	w7_d217e5732
grobe	w9_d217e5735
Artillerie	w11_d217e5738
nebst	w13_d217e5742
einer	w1_d217e5747
grossen	w3_d217e5750
Anzahl	w5_d217e5753
Feld=stücken,	w7_d217e5756
und	w9_d217e5759
noch	w11_d217e5762
an	w13_d217e5766
dern	w1_d217e5771
Kriegs=bedürfnüssen	w3_d217e5774
zurecht	w5_d217e5777
gemacht.	w7_d217e5780
zwörf	w1_d217e5785
Regimenter	w3_d217e5788
haben	w5_d217e5791
Ordre,	w7_d217e5794
sich	w9_d217e5797
bereit	w11_d217e5800
zu	w13_d217e5804
halten,	w1_d217e5810
daß	w3_d217e5813
sie	w5_d217e5816
auf	w7_d217e5819
den	w9_d217e5822
ersten	w11_d217e5825
Wink	w13_d217e5829
zu	w15_d217e5832
Schif	w17_d217e5835
fe	w1_d217e5840
gehen	w3_d217e5843
können.	w5_d217e5846
Jedermann	w7_d217e5849
glaubet,	w9_d217e5852
daß	w11_d217e5855
solche	w1_d217e5860
nach	w3_d217e5863
Teutschland	w5_d217e5866
bestimmet	w7_d217e5869
seynd.	w9_d217e5872
Der	w1_d217e5877
Herr	w3_d217e5880
Heinrich	w5_d217e5883
Bilson	w7_d217e5886
Legge	w9_d217e5889
wird	w11_d217e5892
an	w13_d217e5896
statt	w15_d217e5899
des	w1_d217e5905
Ritters	w3_d217e5908
Benjamin	w5_d217e5911
Keene,	w7_d217e5914
Jnspector	w9_d217e5917
des	w11_d217e5920
Zoll=comtoirs,	w1_d217e5925
und	w3_d217e5928
der	w5_d217e5931
Lord	w7_d217e5934
Dupplin	w9_d217e5937
Canz	w11_d217e5940
ler	w1_d217e5945
des	w3_d217e5948
Echequer	w5_d217e5951
werden.	w7_d217e5954
Die	w9_d217e5957
Regierung	w11_d217e5960
hat	w1_d217e5965
auch	w3_d217e5968
Befehl	w5_d217e5971
ertheilet,	w7_d217e5974
20000.	w9_d217e5977
Mann	w11_d217e5980
Land=trupen	w1_d217e5986
zu	w3_d217e5989
Verstärkung	w5_d217e5992
unseres	w7_d217e5995
Kriegs	w9_d217e5998
heers	w1_d217e6003
in	w3_d217e6006
America	w5_d217e6009
anzuwerben,	w7_d217e6012
und	w9_d217e6015
man	w11_d217e6018
ver	w13_d217e6022
sichert,	w1_d217e6027
daß	w3_d217e6030
unsere	w5_d217e6033
Besatzung	w7_d217e6036
zu	w9_d217e6039
Gibraltar	w11_d217e6042
sehr	w1_d217e6047
verstärkt	w3_d217e6050
werden	w5_d217e6053
wird,	w7_d217e6056
weil	w9_d217e6059
man	w11_d217e6062
für	w13_d217e6066
ei	w15_d217e6069
nen	w1_d217e6075
Friedens=bruch	w3_d217e6078
mit	w5_d217e6081
Spanien	w7_d217e6084
je	w9_d217e6087
länger,	w11_d217e6090
je	w13_d217e6094
besorgter	w1_d217e6099
wird.	w3_d217e6102
Die	w5_d217e6105
Flotte,	w7_d217e6108
welche	w9_d217e6111
unter	w11_d217e6114
Seegel	w1_d217e6119
zu	w3_d217e6122
gehen	w5_d217e6125
im	w7_d217e6128
Begrif	w9_d217e6131
ist,	w11_d217e6134
wird	w13_d217e6138
eine	w15_d217e6141
der	w17_d217e6144
mächtigsten	w1_d217e6149
seyn,	w3_d217e6152
die	w5_d217e6155
England	w7_d217e6158
jemals	w9_d217e6161
ausge	w11_d217e6164
schickt.	w1_d217e6170
Man	w3_d217e6173
bemerket,	w5_d217e6176
daß	w7_d217e6179
viele	w9_d217e6182
Jnstru	w11_d217e6185
mente	w1_d217e6190
zur	w3_d217e6193
Umwerfung	w5_d217e6196
der	w7_d217e6199
Verschanzungen,	w9_d217e6202
zu	w1_d217e6207
Anlegung	w3_d217e6210
der	w5_d217e6213
Minen	w7_d217e6216
rc.	w9_d217e6219
Sturm=leitern,	w11_d217e6222
und	w1_d217e6227
andere	w3_d217e6230
zu	w5_d217e6233
Belagerungen	w7_d217e6236
nöhtige	w9_d217e6239
Sachen	w11_d217e6242
auf	w1_d217e6248
solche	w3_d217e6251
gebracht	w5_d217e6254
werden.	w7_d217e6257
</p>
<head id="h2_d217e6263">
Paris,	w1_d217e6267
29	w3_d217e6270
Jan.	w5_d217e6273
</head>
<p id="p4_d217e6276">
Da	w1_d217e6280
der	w3_d217e6283
Herr	w5_d217e6286
Marschall	w7_d217e6289
von	w9_d217e6292
Richelieu,	w11_d217e6295
</p>
<p id="p10_d217e6308">
schon	w1_d217e6312
längst	w3_d217e6315
nach	w5_d217e6318
Frankreich	w7_d217e6321
zurückzugehen	w9_d217e6324
gewünscht,	w1_d217e6329
um	w3_d217e6332
seiner	w5_d217e6335
Gesundheit	w7_d217e6338
zu	w9_d217e6341
pflegen	w11_d217e6344
so	w1_d217e6349
haben	w3_d217e6352
Seine	w5_d217e6355
Majestät	w7_d217e6358
das	w9_d217e6361
Commando	w11_d217e6364
Dero	w1_d217e6370
Armeen	w3_d217e6373
in	w5_d217e6376
Teutschland	w7_d217e6379
dem	w9_d217e6382
Grafen	w11_d217e6385
von	w1_d217e6390
Clermont,	w3_d217e6393
Prinzen	w5_d217e6396
von	w7_d217e6399
Geblüte,	w9_d217e6402
über	w11_d217e6405
tragen.	w1_d217e6410
Dieser	w3_d217e6413
Herr	w5_d217e6416
ist	w7_d217e6419
1709.	w9_d217e6422
gebohren,	w11_d217e6425
und	w1_d217e6430
1735.	w3_d217e6433
wurde	w5_d217e6436
er	w7_d217e6439
zum	w9_d217e6442
General=leutenant	w11_d217e6445
ernannt.	w1_d217e6451
Morgen	w3_d217e6454
reiset	w5_d217e6457
er	w7_d217e6460
nach	w9_d217e6463
Teutsch	w11_d217e6466
land	w1_d217e6471
ab.	w3_d217e6474
Der	w5_d217e6477
König	w7_d217e6480
hat	w9_d217e6483
ihm	w11_d217e6486
zu	w13_d217e6490
General	w15_d217e6493
Leutenants	w1_d217e6498
die	w3_d217e6501
Herren	w5_d217e6504
von	w7_d217e6507
Contades,	w9_d217e6510
von	w11_d217e6513
Chevert,	w1_d217e6518
und	w3_d217e6521
den	w5_d217e6524
Grafen	w7_d217e6527
von	w9_d217e6530
St.	w11_d217e6533
Germain	w13_d217e6537
zugegeben;	w1_d217e6543
drey	w3_d217e6546
Officiers	w5_d217e6549
von	w7_d217e6552
bewährten	w9_d217e6555
Verdiensten;	w1_d217e6560
Ersterm	w3_d217e6563
haben	w5_d217e6566
Se.	w7_d217e6569
Majestät	w9_d217e6572
zugleich	w1_d217e6577
das	w3_d217e6580
Gouvernement	w5_d217e6583
vom	w7_d217e6586
Fort	w9_d217e6589
Louis	w11_d217e6592
am	w1_d217e6597
Rhein	w3_d217e6600
verliehen,	w5_d217e6603
welches	w7_d217e6606
der	w9_d217e6609
Marquis	w11_d217e6612
von	w1_d217e6618
Chetardie	w3_d217e6621
gehabt.	w5_d217e6624
Obgedachter	w7_d217e6627
Herr	w9_d217e6630
Graf	w1_d217e6635
hat	w3_d217e6638
die	w5_d217e6641
vollständigste	w7_d217e6644
Verhaltungs	w9_d217e6647
befehle,	w1_d217e6652
denen	w3_d217e6655
drey	w5_d217e6658
Religionen	w7_d217e6661
im	w9_d217e6664
Reiche	w11_d217e6667
den	w13_d217e6671
Schutz	w1_d217e6676
zu	w3_d217e6679
beweisen,	w5_d217e6682
den	w7_d217e6685
sie	w9_d217e6688
von	w11_d217e6691
dem	w13_d217e6695
Gua	w15_d217e6698
rant	w1_d217e6704
des	w3_d217e6707
Westphälischen	w5_d217e6710
Friedens	w7_d217e6713
zu	w9_d217e6716
erwar	w11_d217e6719
ten	w1_d217e6724
berechtiget	w3_d217e6727
sind.	w5_d217e6730
Jhre	w7_d217e6733
Majest.	w9_d217e6736
die	w11_d217e6739
Kai	w13_d217e6743
serin	w1_d217e6748
von	w3_d217e6751
Rußland	w5_d217e6754
haben	w7_d217e6757
unsern	w9_d217e6760
Monarchen	w11_d217e6763
ersucht,	w1_d217e6768
bey	w3_d217e6771
der	w5_d217e6774
Prinzeßin,	w7_d217e6777
von	w9_d217e6780
welcher	w11_d217e6783
die	w13_d217e6787
