<doc id="edoc_wd_1768-12-10" attrs="word" year="1768" month="12" day="10" corpus="1">
<head id="hl1">
Londen	w36
<g/>
,
daß	w338
der	w339
Kammer	w340
eine	w341
Abschrift	w342
von	w343
dem	w344
Ansuchen	w345
der	w346
Stadtobrigkeit	w347
bey	w348
dem	w349
Kriegsamte	w350
<g/>
,
um	w352
Truppen	w353
zu	w354
erhalten	w355
<g/>
,
im=gleichen	w357
<g/>
=
eine	w359
Abschrift	w360
von	w361
den	w362
diesen	w363
Trup=pen	w364
<g/>
=
und	w366
ihren	w367
Officiers	w368
ertheilten	w369
Befehlen	w370
<g/>
,
während	w372
der	w373
Unruhen	w374
im	w375
verwichenen	w376
May	w377
<g/>
,
wegen	w379
der	w380
Gefangenschaft	w381
des	w382
Herrn	w383
Wil=kes	w384
<g/>
=
vorgelegt	w386
werden	w387
möchten	w388
<g/>
;
allein	w390
<g/>
,
die=ser	w392
<g/>
=
Vortrag	w394
gieng	w395
nicht	w396
durch	w397
<g/>
,
und	w399
es	w400
war	w401
fast	w402
Mitternacht	w403
<g/>
,
ehe	w405
die	w406
Kammer	w407
auseinan=der	w408
<g/>
=
gieng	w410
<g/>
.
</p>
<p id="p8">
Die	w412
Bill	w413
<g/>
,
wegen	w415
Verbots	w416
der	w417
Ausfuhr	w418
und	w419
Distillirung	w420
des	w421
Getraides	w422
<g/>
,
paßirte	w424
ge=stern	w425
<g/>
=
im	w427
Oberhause	w428
<g/>
,
und	w430
heute	w431
hat	w432
der	w433
Kö=nig	w434
<g/>
=
<g/>
,
welcher	w437
sich	w438
zu	w439
dem	w440
Ende	w441
in	w442
die	w443
Cam=mer	w444
<g/>
=
der	w446
Pairs	w447
erhoben	w448
<g/>
,
seinen	w450
Beyfall	w451
zu	w452
gedachter	w453
Bill	w454
gegeben	w455
<g/>
.
</p>
<head id="hl2">
Warschau	w457
den	w458
19	w459
<g/>
.
Wintermon	w461
<g/>
.
</head>
<p id="p9">
Es	w463
will	w464
verlauten	w465
<g/>
,
der	w467
neulich	w468
eingesetzte	w469
Großvezier	w470
in	w471
Constantinopel	w472
sey	w473
seiner	w474
Würde	w475
entlassen	w476
<g/>
,
und	w478
zum	w479
Bassa	w480
von	w481
Candien	w482
gemacht	w483
worden	w484
<g/>
,
wohin	w486
er	w487
auch	w488
schon	w489
abgegangen	w490
seyn	w491
soll	w492
<g/>
.
Er	w494
war	w495
mit	w496
der	w497
Schwester	w498
des	w499
Großherrn	w500
verheyrathet	w501
<g/>
,
die	w503
eben	w504
itzt	w505
gestorben	w506
ist	w507
<g/>
.
Unter=dessen	w509
<g/>
=
soll	w511
dieses	w512
in	w513
dem	w514
Plan	w515
der	w516
Pforte	w517
keine	w518
Veränderung	w519
machen	w520
<g/>
.
Es	w522
sind	w523
noch	w524
immer	w525
dieselben	w526
Anstalten	w527
zum	w528
Kriege	w529
<g/>
,
welche	w531
ge=wesen	w532
<g/>
=
<g/>
,
und	w535
außer	w536
den	w537
schon	w538
neulich	w539
gedach=ten	w540
<g/>
=
40000	w542
<g/>
.
Mann	w544
türkischer	w545
Truppen	w546
<g/>
,
wel=che	w548
<g/>
=
von	w550
Chotzim	w551
bis	w552
Bender	w553
<g/>
,
und	w555
weiter	w556
bis	w557
Oczakow	w558
zu	w559
<g/>
,
an	w561
den	w562
Grenzen	w563
stehen	w564
<g/>
,
und	w566
sichern	w567
Nachrichten	w568
zufolge	w569
<g/>
,
bis	w571
300	w572
<g/>
.
Kano=nen	w574
<g/>
=
bey	w576
sich	w577
haben	w578
<g/>
,
kommen	w580
noch	w581
nach	w582
Jassy	w583
15000	w584
<g/>
.
Mann	w586
unter	w587
einem	w588
Großcomman=deur	w589
<g/>
=
<g/>
,
und	w592
auch	w593
die	w594
Fürsten	w595
selbst	w596
von	w597
der	w598
Moldau	w599
und	w600
Wallachey	w601
müßen	w602
jeder	w603
3000	w604
<g/>
.
Mann	w606
stellen	w607
<g/>
,
welcher	w609
Fürsten	w610
Gemahlinnen	w611
</p>
<p id="p10">
und	w612
Kinder	w613
bereits	w614
nach	w615
Constantinopel	w616
als	w617
Geißeln	w618
der	w619
Treue	w620
zu	w621
schicken	w622
anbefohlen	w623
wor=den	w624
<g/>
=
<g/>
,
und	w627
auch	w628
schon	w629
abgegangen	w630
sind	w631
<g/>
.
Da=hin	w633
<g/>
=
sollen	w635
auch	w636
mündliche	w637
Nachrichten	w638
mitzu=theilen	w639
<g/>
=
<g/>
,
die	w642
von	w643
hier	w644
auf	w645
Erfordern	w646
schnell	w647
abgereisete	w648
Herren	w649
Residenten	w650
obgedachter	w651
Fürsten	w652
abgehen	w653
<g/>
,
welche	w655
schon	w656
bereits	w657
am	w658
2ten	w659
Wintermonat	w660
bey	w661
Czierniowiec	w662
die	w663
Gren=ze	w664
<g/>
=
glücklich	w666
übergegangen	w667
sind	w668
<g/>
,
und	w670
nie	w671
ha=ben	w672
<g/>
=
angehalten	w674
werden	w675
wollen	w676
<g/>
,
theils	w678
weil	w679
sie	w680
nicht	w681
unmittelbar	w682
der	w683
Pforte	w684
dienen	w685
<g/>
,
theils	w687
weil	w688
sie	w689
nur	w690
mit	w691
Empfehlungsschreiben	w692
an	w693
die	w694
Ministers	w695
ehemals	w696
hergekommen	w697
waren	w698
<g/>
,
ohne	w700
förmlich	w701
beglaubte	w702
Residenten	w703
zu	w704
seyn	w705
<g/>
.
Un=ter	w707
<g/>
=
obgedachten	w709
türkischen	w710
<g/>
,
an	w712
der	w713
Grenze	w714
ste=henden	w715
<g/>
=
Truppen	w717
haben	w718
sich	w719
auch	w720
etliche	w721
Wo=chen	w722
<g/>
=
lang	w724
viele	w725
Arnawden	w726
befunden	w727
<g/>
,
welches	w729
das	w730
verwegenste	w731
Volk	w732
aus	w733
den	w734
griechischen	w735
Ländern	w736
der	w737
Türkey	w738
<g/>
,
und	w740
besonders	w741
aus	w742
Al=banien	w743
<g/>
=
und	w745
Macedonien	w746
ist	w747
<g/>
,
von	w749
allen	w750
Sec=ten	w751
<g/>
=
<g/>
,
die	w754
besonders	w755
auf	w756
den	w757
Kriegsschiffen	w758
ge=braucht	w759
<g/>
=
werden	w761
<g/>
.
So	w763
<g/>
,
wie	w765
sie	w766
nach	w767
Büschings	w768
Angabe	w769
in	w770
der	w771
Türkey	w772
die	w773
Fleischhacker	w774
ab=geben	w775
<g/>
=
<g/>
,
so	w778
wissen	w779
wir	w780
dieses	w781
gewiß	w782
<g/>
,
daß	w784
sie	w785
sehr	w786
kühne	w787
<g/>
,
und	w789
streitbare	w790
Leute	w791
sind	w792
<g/>
,
wel=che	w794
<g/>
=
die	w796
besten	w797
Dienste	w798
zur	w799
Erhaltung	w800
eines	w801
Großherrn	w802
thun	w803
bey	w804
einem	w805
etwaigen	w806
Auf=stande	w807
<g/>
=
der	w809
Janitscharen	w810
<g/>
,
wenn	w812
noch	w813
Zeit	w814
übrig	w815
ist	w816
<g/>
,
solche	w818
Arnawden	w819
<g/>
,
ehe	w821
die	w822
Janitscharen	w823
zu	w824
Kopf	w825
wachsen	w826
<g/>
,
nach	w828
Constantinopel	w829
herein	w830
kommen	w831
zu	w832
lassen	w833
<g/>
,
indem	w835
sie	w836
benöthigten	w837
Falls	w838
dann	w839
so	w840
viel	w841
würgen	w842
<g/>
,
und	w844
umbringen	w845
<g/>
,
daß	w847
alles	w848
in	w849
Furcht	w850
und	w851
Ruhe	w852
<g/>
,
und	w854
der	w855
Großherr	w856
in	w857
Sicherheit	w858
gesetzet	w859
wird	w860
<g/>
.
Die=se	w862
<g/>
=
Arnawden	w864
sind	w865
itzt	w866
von	w867
den	w868
Grenzen	w869
ab=marschiret	w870
<g/>
=
<g/>
,
und	w873
an	w874
den	w875
Prut	w876
in	w877
die	w878
Winter=quartiere	w879
<g/>
=
verleget	w881
worden	w882
<g/>
.
Auch	w884
die	w885
Spahi	w886
haben	w887
auf	w888
ihr	w889
Begehren	w890
<g/>
,
weil	w892
sie	w893
noch	w894
itzt	w895
nichts	w896
mit	w897
dem	w898
Degen	w899
zu	w900
thun	w901
haben	w902
<g/>
,
die	w904
Erlaubniß	w905
erhalten	w906
<g/>
,
zu	w908
ihren	w909
Gründen	w910
sich	w911
zu	w912
begeben	w913
<g/>
.
Die	w915
Janitscharen	w916
bleiben	w917
aber	w918
ohnverändert	w919
an	w920
den	w921
Grenzen	w922
<g/>
.
Unsere	w924
Leser	w925
zu	w926
unterhalten	w927
<g/>
,
merken	w929
wir	w930
hier	w931
an	w932
<g/>
,
daß	w934
ein	w935
Janitschar	w936
<g/>
,
der	w938
noch	w939
keine	w940
Verdienste	w941
hat	w942
<g/>
,
jähr=lich	w944
<g/>
=
15	w946
<g/>
.
Löwenthaler	w948
<g/>
,
und	w950
täglich	w951
1	w952
<g/>
.
ein	w954
halb	w955
Pf	w956
<g/>
.
Fleisch	w958
<g/>
.
<g/>
,
nebst	w961
eben	w962
so	w963
viel	w964
Brodt	w965
bekommt	w966
<g/>
,
alte	w968
verdiente	w969
Janitscharen	w970
aber	w971
haben	w972
jährlich	w973
70	w974
<g/>
.
Löwenthaler	w976
und	w977
mehr	w978
<g/>
,
3	w980
<g/>
.
Pfund	w982
Fleisch	w983
<g/>
,
und	w985
3	w986
<g/>
.
Pfund	w988
Brodt	w989
täglich	w990
<g/>
.
Die	w992
Spahi	w993
hingegen	w994
<g/>
,
die	w996
Handel	w997
und	w998
Gewerbe	w999
treiben	w1000
</p>
<p id="p11">
dienen	w1003
als	w1004
Spahi	w1005
<g/>
,
vom	w1007
Grunde	w1008
der	w1009
ihnen	w1010
angewiesen	w1011
ist	w1012
<g/>
.
Bey	w1014
dieser	w1015
Gelegenheit	w1016
füh=ren	w1017
<g/>
=
wir	w1019
auch	w1020
noch	w1021
dies	w1022
an	w1023
<g/>
,
daß	w1025
die	w1026
Löwentha=ler	w1027
<g/>
=
nach	w1029
Beutel	w1030
gerechnet	w1031
werden	w1032
<g/>
,
und	w1034
ein	w1035
Beutel	w1036
enthält	w1037
500	w1038
<g/>
.
Löwenthaler	w1040
<g/>
,
ein	w1042
Löwen=thaler	w1043
<g/>
=
macht	w1045
4	w1046
<g/>
.
gute	w1048
Pohlnische	w1049
Tymfe	w1050
<g/>
,
oder	w1052
11	w1053
<g/>
.
Löwenthaler	w1055
3	w1056
<g/>
.
Ducaten	w1058
<g/>
.
Der	w1060
vorige	w1061
Bassa	w1062
von	w1063
Chotyn	w1064
hat	w1065
<g/>
,
so	w1067
lange	w1068
er	w1069
in	w1070
Bra=hylow	w1071
<g/>
=
gesessen	w1073
<g/>
,
jährlich	w1075
3	w1076
<g/>
.
Beutel	w1078
vom	w1079
Großherrn	w1080
ausgemacht	w1081
bekommen	w1082
<g/>
.
Man	w1084
wird	w1085
in	w1086
kurzem	w1087
mehr	w1088
von	w1089
einigen	w1090
Zurüstungen	w1091
der	w1092
Türken	w1093
hören	w1094
müßen	w1095
<g/>
,
wenn	w1097
es	w1098
Ernst	w1099
seyn	w1100
soll	w1101
<g/>
.
Der	w1103
neue	w1104
Tartarchan	w1105
ist	w1106
wirklich	w1107
beym	w1108
Groß=herrn	w1109
<g/>
=
in	w1111
Constantinopel	w1112
gewesen	w1113
<g/>
,
und	w1115
hat	w1116
sich	w1117
mit	w1118
demselben	w1119
unterredet	w1120
<g/>
.
Die	w1122
Barer	w1123
Con=föderirten	w1124
<g/>
=
haben	w1126
ihr	w1127
letztgemeldetes	w1128
Manifest	w1129
<g/>
,
so	w1131
sie	w1132
aus	w1133
der	w1134
Moldau	w1135
ausgehen	w1136
lassen	w1137
<g/>
,
zu	w1139
Dankowec	w1140
daselbst	w1141
<g/>
,
am	w1143
12	w1144
<g/>
.
Weinm	w1146
<g/>
.
datiret	w1148
<g/>
,
und	w1150
unter	w1151
andern	w1152
Namensunterschriften	w1153
fin=det	w1154
<g/>
=
sich	w1156
auch	w1157
dabey	w1158
<g/>
,
der	w1160
<g/>
,
wegen	w1162
eines	w1163
ge=wissen	w1164
<g/>
=
Vorfalls	w1166
in	w1167
diesem	w1168
Sommer	w1169
be=kannt	w1170
<g/>
=
gewordene	w1172
Castellan	w1173
von	w1174
Siradien	w1175
Makcynski	w1176
<g/>
,
auch	w1178
der	w1179
zuerst	w1180
in	w1181
Großpohlen	w1182
mit	w1183
einer	w1184
Conföderation	w1185
bekannt	w1186
gewordene	w1187
Ridzynski	w1188
<g/>
.
Die	w1190
vor	w1191
schon	w1192
geraumer	w1193
Zeit	w1194
angezeigte	w1195
Einfälle	w1196
der	w1197
Barer	w1198
aus	w1199
der	w1200
Mol=dau	w1201
<g/>
=
nach	w1203
Pohlen	w1204
sind	w1205
2mal	w1206
vorgefallen	w1207
<g/>
,
ein=mal	w1209
<g/>
=
zu	w1211
Stadinice	w1212
<g/>
,
und	w1214
das	w1215
anderemal	w1216
zu	w1217
Kolodrupki	w1218
und	w1219
Synkow	w1220
<g/>
.
Anitzt	w1222
sind	w1223
sie	w1224
aber	w1225
förmlich	w1226
über	w1227
den	w1228
Niester	w1229
<g/>
,
mit	w1231
einigen	w1232
Lipker	w1233
Tataren	w1234
<g/>
,
nach	w1236
Pohlen	w1237
gegangen	w1238
<g/>
,
und	w1240
haben	w1241
diese	w1242
besonderst	w1243
schon	w1244
neulich	w1245
gedach=termassen	w1246
<g/>
=
in	w1248
Babaczyn	w1249
<g/>
,
2	w1251
<g/>
.
Meilen	w1253
von	w1254
Ka=mieniec	w1255
<g/>
=
<g/>
,
dem	w1258
Castellan	w1259
von	w1260
Kiow	w1261
<g/>
,
Lankorons=ki	w1263
<g/>
=
<g/>
,
gehörig	w1266
<g/>
,
sehr	w1268
gehauset	w1269
<g/>
.
Unterdessen	w1271
ist	w1272
noch	w1273
deßhalb	w1274
nichts	w1275
von	w1276
da	w1277
zu	w1278
fürchten	w1279
<g/>
,
da	w1281
bis	w1282
Monasterczyk	w1283
die	w1284
Russen	w1285
ausgebreitet	w1286
stehen	w1287
<g/>
,
und	w1289
in	w1290
Kaminiec	w1291
alle	w1292
Veranstaltungen	w1293
und	w1294
Verbesserungen	w1295
geschehen	w1296
<g/>
,
die	w1298
nur	w1299
zu	w1300
ge=denken	w1301
<g/>
=
sind	w1303
<g/>
,
auch	w1305
nun	w1306
die	w1307
von	w1308
hier	w1309
abgegan=gene	w1310
<g/>
=
Kanonen	w1312
<g/>
,
Haubitzen	w1314
und	w1315
Ammunition	w1316
von	w1317
der	w1318
Kronartillerie	w1319
dort	w1320
sich	w1321
befindet	w1322
<g/>
,
wel=che	w1324
<g/>
=
in	w1326
Lemberg	w1327
das	w1328
dortstehende	w1329
Großfeld=herrliche	w1330
<g/>
=
Regiment	w1332
empfangen	w1333
<g/>
,
und	w1335
nach	w1336
Ka=wieniec	w1337
<g/>
=
bringen	w1339
wird	w1340
<g/>
,
deßhalb	w1342
auch	w1343
der	w1344
Hr	w1345
<g/>
.
Feldzeugmeister	w1347
<g/>
,
Graf	w1349
Branicki	w1350
<g/>
,
der	w1352
auf	w1353
al=lem	w1354
<g/>
=
Fall	w1356
nach	w1357
Lembeg	w1358
seine	w1359
Rückkehr	w1360
nur	w1361
zu	w1362
nehmen	w1363
gehabt	w1364
<g/>
,
noch	w1366
immer	w1367
zu	w1368
Usiatyn	w1369
ist	w1370
<g/>
.
</p>
<p id="p12">
Man	w1372
kann	w1373
aber	w1374
noch	w1375
nichts	w1376
von	w1377
denen	w1378
An=stalten	w1379
<g/>
=
sagen	w1381
<g/>
,
die	w1383
Rußland	w1384
<g/>
,
es	w1386
sey	w1387
von	w1388
Pohlen	w1389
</p>
<p id="p13">
aus	w1390
<g/>
,
oder	w1392
von	w1393
seinem	w1394
Lande	w1395
<g/>
,
bey	w1397
diesen	w1398
Um=ständen	w1399
<g/>
=
vorzunehmen	w1401
für	w1402
gut	w1403
befunden	w1404
<g/>
.
Denn	w1406
seit	w1407
der	w1408
von	w1409
dem	w1410
<g/>
,
was	w1412
in	w1413
Constantinopel	w1414
ge=schehen	w1415
<g/>
=
<g/>
,
dahin	w1418
gegebenen	w1419
Nachricht	w1420
ist	w1421
noch	w1422
kein	w1423
Courier	w1424
hieselbst	w1425
eingetroffen	w1426
<g/>
.
Ver=muthlich	w1428
<g/>
=
wird	w1430
auch	w1431
ein	w1432
dergleichen	w1433
eilender	w1434
Bote	w1435
noch	w1436
nicht	w1437
sobald	w1438
von	w1439
da	w1440
abgehen	w1441
<g/>
,
da	w1443
einige	w1444
Zeit	w1445
Jhre	w1446
Rußischkaiserl	w1447
<g/>
.
Majest	w1449
<g/>
.
Ge=schäften	w1451
<g/>
=
frey	w1453
gelassen	w1454
werden	w1455
müssen	w1456
<g/>
,
nach=dem	w1458
<g/>
=
höchstdieselben	w1460
auf	w1461
die	w1462
Ankunft	w1463
des	w1464
zur	w1465
Einimpfung	w1466
der	w1467
Blattern	w1468
bey	w1469
Sr	w1470
<g/>
.
Hoheit	w1472
dem	w1473
Großfürsten	w1474
aus	w1475
England	w1476
verschriebe=nen	w1477
<g/>
=
Arztes	w1479
Dimsdal	w1480
<g/>
,
um	w1482
von	w1483
allem	w1484
Vorwurf	w1485
bey	w1486
sich	w1487
selbst	w1488
und	w1489
beym	w1490
ganzen	w1491
Reich	w1492
frey	w1493
zu	w1494
seyn	w1495
<g/>
,
und	w1497
zu	w1498
zeigen	w1499
<g/>
,
wie	w1501
vielmehr	w1502
die	w1503
Ue=berzeigung	w1504
<g/>
=
<g/>
,
daß	w1507
die	w1508
Einimpfung	w1509
der	w1510
Blat=tern	w1511
<g/>
=
einem	w1513
Reich	w1514
einen	w1515
Prinzen	w1516
erhalten	w1517
kann	w1518
<g/>
,
den	w1520
die	w1521
natürliche	w1522
Blattern	w1523
durch	w1524
ihr	w1525
Gift	w1526
dahin	w1527
reißen	w1528
könnten	w1529
<g/>
,
die	w1531
Landesmütterlich	w1532
gesinnte	w1533
Kaiserin	w1534
und	w1535
zum	w1536
Entschluß	w1537
zu	w1538
dieser	w1539
Verschreibung	w1540
gebracht	w1541
hat	w1542
<g/>
,
die	w1544
Blattern	w1545
die	w1546
sie	w1547
selbst	w1548
noch	w1549
nie	w1550
gehabt	w1551
<g/>
,
sich	w1553
selbst	w1554
zu	w1555
erst	w1556
einimpfen	w1557
zu	w1558
lassen	w1559
<g/>
,
und	w1561
so	w1562
lange	w1563
an	w1564
den	w1565
Prin=zen	w1566
<g/>
=
damit	w1568
nicht	w1569
anzufangen	w1570
<g/>
,
bis	w1572
Sie	w1573
damit	w1574
den	w1575
Versuch	w1576
ausgestanden	w1577
hätten	w1578
<g/>
.
Jhre	w1580
Majest	w1581
<g/>
.
die	w1583
Kaiserin	w1584
haben	w1585
nicht	w1586
mehr	w1587
als	w1588
4	w1589
<g/>
.
Blat=tern	w1591
<g/>
=
und	w1593
befinden	w1594
sich	w1595
außerdem	w1596
vollkomment=lich	w1597
<g/>
=
gesund	w1599
<g/>
,
daß	w1601
sie	w1602
in	w1603
wenig	w1604
Tagen	w1605
<g/>
,
laut	w1607
den	w1608
letzten	w1609
Nachrichten	w1610
<g/>
,
wieder	w1612
dero	w1613
Geschäfte	w1614
ab=warten	w1615
<g/>
=
dürften	w1617
<g/>
.
Alsdann	w1619
wird	w1620
sich	w1621
vieles	w1622
von	w1623
den	w1624
nöthigen	w1625
Anstalten	w1626
zeigen	w1627
<g/>
,
auch	w1629
wo	w1630
die	w1631
Ma=gazins	w1632
<g/>
=
nöthig	w1634
seyn	w1635
werden	w1636
<g/>
,
zu	w1638
welchem	w1639
jedoch	w1640
schon	w1641
vorläufig	w1642
auf	w1643
dem	w1644
letzten	w1645
Landtage	w1646
in	w1647
Curland	w1648
der	w1649
dortige	w1650
Rußische	w1651
Minister	w1652
an	w1653
die	w1654
Ritterschaft	w1655
etwas	w1656
eingebracht	w1657
<g/>
,
in	w1659
Curland	w1660
zu	w1661
veranstalten	w1662
<g/>
,
und	w1664
die	w1665
Ritterschaft	w1666
hat	w1667
von	w1668
einem	w1669
dortigen	w1670
Hacker	w1671
ein	w1672
Last	w1673
Roggen	w1674
und	w1675
eine	w1676
halbe	w1677
Last	w1678
Haver	w1679
zu	w1680
liefern	w1681
beschlossen	w1682
gegen	w1683
den	w1684
festgesetzten	w1685
und	w1686
beliebten	w1687
Preiß	w1688
<g/>
.
</p>
<p id="p14">
Von	w1690
den	w1691
dortigen	w1692
Grenzen	w1693
aus	w1694
Litthauen	w1695
sind	w1696
die	w1697
letzte	w1698
Nachrichten	w1699
<g/>
,
daß	w1701
aus	w1702
Samay=ten	w1703
<g/>
=
im	w1705
Aufsuchen	w1706
der	w1707
Koßakowskischen	w1708
und	w1709
Medeckßaischen	w1710
Conföderirten	w1711
<g/>
,
es	w1713
nicht	w1714
an	w1715
Scharmützel	w1716
gefehlet	w1717
<g/>
,
in	w1719
welchem	w1720
ein	w1721
junger	w1722
Medeckssa	w1723
geblieben	w1724
<g/>
,
und	w1726
der	w1727
Kossakowski	w1728
sehr	w1729
gefährlich	w1730
bleßiret	w1731
worden	w1732
<g/>
.
Aus	w1734
dem	w1735
Receß	w1736
<g/>
,
den	w1738
die	w1739
in	w1740
Nießwicz	w1741
gewesene	w1742
Con=föderirte	w1743
<g/>
=
gemacht	w1745
<g/>
,
kan	w1747
man	w1748
ersehen	w1749
<g/>
,
daß	w1751
der	w1752
Fürst	w1753
Radziwill	w1754
Woywod	w1755
von	w1756
Wilda	w1757
<g/>
,
und	w1759
der	w1760
Großfähndrich	w1761
von	w1762
Lithauen	w1763
Rzewuski	w1764
</p>
<p id="p15">
keine	w1765
</p>
<p id="p16">
keine	w1766
der	w1767
sich	w1768
vereinigten	w1769
Conföderationen	w1770
un=terzeichnet	w1771
<g/>
=
müssen	w1773
gehabt	w1774
haben	w1775
<g/>
,
weil	w1777
sie	w1778
im	w1779
Receß	w1780
nicht	w1781
befindlich	w1782
<g/>
.
Es	w1784
scheinet	w1785
auch	w1786
nicht	w1787
daß	w1788
jemand	w1789
von	w1790
den	w1791
sonst	w1792
gedachten	w1793
Häuptern	w1794
festgehalten	w1795
werde	w1796
<g/>
.
</p>
<p id="p17">
Jn	w1798
Kleinpohlen	w1799
<g/>
,
wohin	w1801
nach	w1802
Krakau	w1803
der	w1804
General	w1805
Aprarin	w1806
wieder	w1807
abgegangen	w1808
<g/>
,
scheine	w1810
es	w1811
doch	w1812
nicht	w1813
so	w1814
häufig	w1815
von	w1816
conföderirten	w1817
Par=theyen	w1818
<g/>
=
zu	w1820
geben	w1821
<g/>
,
als	w1823
in	w1824
Großpohlen	w1825
<g/>
.
Jm	w1827
Zamoscischen	w1828
und	w1829
Lublinischen	w1830
hat	w1831
was	w1832
auf=wachen	w1833
<g/>
=
wollen	w1835
<g/>
,
es	w1837
ist	w1838
aber	w1839
durch	w1840
die	w1841
Russen	w1842
erstickt	w1843
worden	w1844
<g/>
.
An	w1846
den	w1847
hungarischen	w1848
Gren=zen	w1849
<g/>
=
<g/>
,
2	w1852
<g/>
.
Meilen	w1854
hinter	w1855
Rincanow	w1856
<g/>
,
einem	w1858
noch	w1859
pohlnischen	w1860
Orte	w1861
<g/>
,
hat	w1863
sichs	w1864
auch	w1865
ereignet	w1866
<g/>
,
daß	w1868
bey	w1869
Gelegenheit	w1870
vom	w1871
Nachsetzen	w1872
hinter	w1873
den	w1874
Conföderirten	w1875
bis	w1876
ins	w1877
hungarische	w1878
Gebiet	w1879
herein	w1880
