<doc id="edoc_wd_1783-12-24" attrs="word" year="1783" month="12" day="24" corpus="1">
<head id="hl1">
Jnnländische	w29
Bescheller	w693
halten	w694
<g/>
,
und	w696
sie	w697
den	w698
Unterthanen	w699
zur	w700
Belegung	w701
ihrer	w702
Stutten	w703
herleihen	w704
<g/>
,
zugleich	w706
aber	w707
auch	w708
sie	w709
in	w710
der	w711
Erziehung	w712
der	w713
Pferde	w714
belehren	w715
wollten	w716
<g/>
.
Se	w718
<g/>
.
Maj	w720
<g/>
.
haben	w722
zu	w723
befehlen	w724
geruhet	w725
<g/>
,
daß	w727
Höchstselben	w728
alljährlich	w729
die	w730
Namen	w731
derjenigen	w732
vorgeleget	w733
werden	w734
sollen	w735
<g/>
,
die	w737
am	w738
eifrigsten	w739
diesen	w740
allerhöch=sten	w741
<g/>
=
Gesinnungen	w743
zu	w744
entsprechen	w745
bemü=het	w746
<g/>
=
seyn	w748
werden	w749
<g/>
.
</p>
<p id="p14">
Durch	w751
eine	w752
andere	w753
allerhöchste	w754
Ver=ordnung	w755
<g/>
=
vom	w757
nämlichen	w758
Datum	w759
<g/>
,
haben	w761
Se	w762
<g/>
.
Maj	w764
<g/>
.
in	w766
Rücksicht	w767
auf	w768
die	w769
schlechte	w770
Bauart	w771
der	w772
hierländischen	w773
Bauernhäu=ser	w774
<g/>
=
<g/>
,
insbesondere	w777
auf	w778
diejenigen	w779
<g/>
,
wel=che	w781
<g/>
=
nicht	w783
mit	w784
Rauchfängen	w785
versehen	w786
sind	w787
<g/>
,
und	w789
hiedurch	w790
nicht	w791
nur	w792
einen	w793
nachtheili=gen	w794
<g/>
=
Einfluß	w796
auf	w797
die	w798
Gesundheit	w799
ha=ben	w800
<g/>
=
<g/>
,
sondern	w803
den	w804
Landmann	w805
auch	w806
stets	w807
der	w808
Feuergefähr	w809
aussetzen	w810
<g/>
,
und	w812
ihn	w813
oft	w814
um	w815
all	w816
sein	w817
Habe	w818
bringen	w819
<g/>
,
zu	w821
erklären	w822
geruhet	w823
<g/>
:
<g/>
„
Daß	w826
es	w827
Allerhöchstderselben	w828
zum	w829
besonderen	w830
Wohlgefallen	w831
gereichen	w832
würde	w833
<g/>
,
wenn	w835
die	w836
Grundherrschaften	w837
in	w838
den	w839
Fällen	w840
<g/>
,
wenn	w842
einem	w843
oder	w844
dem	w845
an=dern	w846
<g/>
=
Unterthan	w848
sein	w849
Haus	w850
abbrennt	w851
<g/>
,
oder	w853
sonst	w854
zu	w855
Grunde	w856
gehet	w857
<g/>
,
dafür	w859
sorgen	w860
würden	w861
<g/>
,
daß	w863
diese	w864
Häuser	w865
auf	w866
eine	w867
be=quemere	w868
<g/>
=
<g/>
,
und	w871
der	w872
Gesundheit	w873
zuträgli=chene	w874
<g/>
=
Art	w876
<g/>
,
die	w878
Wände	w879
wo	w880
immer	w881
thun=lich	w882
<g/>
=
<g/>
,
wenn	w885
nicht	w886
aus	w887
gebrannten	w888
<g/>
,
doch	w890
</p>
<p id="p15">
wenigstens	w891
aus	w892
gut	w893
getrockneten	w894
Ziegeln	w895
<g/>
,
mit	w897
ordentlichen	w898
feuersicheren	w899
Rauchfän=gen	w900
<g/>
=
wieder	w902
erbaut	w903
würden	w904
<g/>
,
welches	w906
aber	w907
auf	w908
keine	w909
andere	w910
Art	w911
bewerkstelliget	w912
wer=den	w913
<g/>
=
könnte	w915
<g/>
,
als	w917
wenn	w918
die	w919
Grundherr=schaften	w920
<g/>
=
sich	w922
entschliessen	w923
wollten	w924
<g/>
,
da	w926
<g/>
,
wo	w928
Sie	w929
mit	w930
dem	w931
erforderlichen	w932
Mate=riale	w933
<g/>
=
versehen	w935
sind	w936
<g/>
,
dem	w938
Unterthan	w939
sol=ches	w940
<g/>
=
unentgeldlich	w942
anzuweisen	w943
<g/>
,
in	w945
Er=manglung	w946
<g/>
=
desselben	w948
aber	w949
ihn	w950
nach	w951
Mög=lichkeit	w952
<g/>
=
mit	w954
einem	w955
Geldvorschuß	w956
zum	w957
Baue	w958
zu	w959
unterstützen	w960
<g/>
.
</p>
<p id="p16">
Jn	w962
beyden	w963
Fällen	w964
aber	w965
hätten	w966
die	w967
Un=terthanen	w968
<g/>
=
die	w970
dabey	w971
vorkommende	w972
Ar=beit	w973
<g/>
=
selbst	w975
<g/>
,
und	w977
für	w978
sich	w979
<g/>
,
ohne	w981
daß	w982
das	w983
Do=minium	w984
<g/>
=
an	w986
Unterthansroboth	w987
etwas	w988
ein=büsse	w989
<g/>
=
<g/>
,
zu	w992
leisten	w993
<g/>
.
</p>
<head id="hl3">
Ausländische	w995
Begebenheiten	w996
<g/>
.
</head>
<head id="hl4">
Europa	w998
<g/>
.
</head>
<head id="hl5">
Spanien	w1000
<g/>
.
</head>
<p id="p17">
Aus	w1002
Madrit	w1003
wird	w1004
unter	w1005
dem	w1006
25	w1007
<g/>
.
Nov	w1009
<g/>
.
geschrieben	w1011
<g/>
:
<g/>
„
Es	w1014
geht	w1015
hier	w1016
sehr	w1017
stark	w1018
die	w1019
Rede	w1020
von	w1021
einer	w1022
pragmatischen	w1023
Sanktion	w1024
<g/>
,
die	w1026
in	w1027
Kurzem	w1028
zu	w1029
Stande	w1030
kommen	w1031
würde	w1032
<g/>
.
Sie	w1034
hat	w1035
eine	w1036
allgemei=ne	w1037
<g/>
=
Anordnung	w1039
und	w1040
Reforme	w1041
der	w1042
Geist=lichkeit	w1043
<g/>
=
zum	w1045
Gegenstande	w1046
<g/>
,
und	w1048
ist	w1049
unge=fähr	w1050
<g/>
=
in	w1052
dem	w1053
nämlichen	w1054
Geiste	w1055
geschrie=ben	w1056
<g/>
=
<g/>
,
der	w1059
aus	w1060
den	w1061
dießfälligen	w1062
Verord=nungen	w1063
<g/>
=
des	w1065
römischen	w1066
Kaisers	w1067
hervor=leuchtet	w1068
<g/>
=
<g/>
.
Dem	w1071
Auszuge	w1072
nach	w1073
<g/>
,
der	w1075
da=von	w1076
<g/>
=
unter	w1078
dem	w1079
Volke	w1080
circuliret	w1081
soll	w1082
jene	w1083
Verfügung	w1084
aus	w1085
30	w1086
Artikeln	w1087
<g/>
,
bestehen	w1089
<g/>
.
Jn	w1091
dem	w1092
ersten	w1093
wird	w1094
festgesetzt	w1095
<g/>
,
daß	w1097
alle	w1098
Regularorden	w1099
den	w1100
Bischöfen	w1101
ihres	w1102
Kir=chensprengels	w1103
<g/>
=
untergeben	w1105
seyn	w1106
sollen	w1107
<g/>
;
durch	w1109
den	w1110
zweyten	w1111
wird	w1112
ihr	w1113
Zusammen=hang	w1114
<g/>
=
mit	w1116
dem	w1117
Ordensgenerale	w1118
zu	w1119
Rom	w1120
aufgelöset	w1121
<g/>
;
nach	w1123
dem	w1124
dritten	w1125
sollen	w1126
alle	w1127
Orden	w1128
in	w1129
Spanien	w1130
sich	w1131
einen	w1132
General=vicar	w1133
<g/>
=
aus	w1135
der	w1136
Nation	w1137
selbst	w1138
wählen	w1139
<g/>
,
der	w1141
am	w1142
Hofe	w1143
seinen	w1144
Sitz	w1145
haben	w1146
wird	w1147
<g/>
;
<g/>
—
mit	w1150
dem	w1151
siebenten	w1152
Artikel	w1153
<g/>
,
wird	w1155
das	w1156
Alter	w1157
von	w1158
25	w1159
Jahren	w1160
zur	w1161
Ablegung	w1162
der	w1163
geistlichen	w1164
Gelübde	w1165
bestimmet	w1166
<g/>
;
nach	w1168
dem	w1169
achten	w1170
<g/>
,
werden	w1172
aller	w1173
Orten	w1174
wo	w1175
zwey	w1176
oder	w1177
mehrere	w1178
Klöster	w1179
des	w1180
nämlichen	w1181
Or=dens	w1182
<g/>
=
zugleich	w1184
sich	w1185
befinden	w1186
<g/>
,
dieselben	w1188
in	w1189
</p>
<p id="p18">
eines	w1190
zusammengezogen	w1191
u	w1192
<g/>
.
s	w1194
w	w1195
<g/>
.
Alle	w1197
aufgeklärten	w1198
Personen	w1199
in	w1200
Spanien	w1201
wün=schen	w1202
<g/>
=
<g/>
,
daß	w1205
dieser	w1206
Entwurf	w1207
zur	w1208
Wirklich=keit	w1209
<g/>
=
kommen	w1211
möge	w1212
<g/>
;
aber	w1214
man	w1215
kann	w1216
leicht	w1217
vorsehen	w1218
<g/>
,
daß	w1220
er	w1221
viele	w1222
Schwierigkeiten	w1223
finden	w1224
<g/>
,
und	w1226
ihn	w1227
vielleicht	w1228
am	w1229
Ende	w1230
eben	w1231
das	w1232
Loos	w1233
treffen	w1234
werde	w1235
<g/>
,
was	w1237
so	w1238
viele	w1239
andere	w1240
weise	w1241
Reformen	w1242
erfahren	w1243
haben	w1244
<g/>
,
die	w1246
durch	w1247
Vorurtheile	w1248
<g/>
,
Aberglaube	w1250
<g/>
,
Hart=näckigkeit	w1252
<g/>
=
und	w1254
Eigennutz	w1255
in	w1256
der	w1257
Geburt	w1258
erstickt	w1259
worden	w1260
sind	w1261
<g/>
.
<g/>
”
<g/>
—
</p>
<head id="hl6">
Frankreich	w1265
<g/>
.
</head>
<p id="p19">
Mademoiselle	w1267
<g/>
,
die	w1269
Tochter	w1270
des	w1271
Gra=fen	w1272
<g/>
=
von	w1274
Artois	w1275
<g/>
,
ist	w1277
zu	w1278
Versailles	w1279
am	w1280
5	w1281
<g/>
.
Dec	w1283
<g/>
.
in	w1285
einem	w1286
Alter	w1287
von	w1288
7	w1289
Jahren	w1290
3	w1291
Monaten	w1292
verstorben	w1293
<g/>
.
Der	w1295
Leichnam	w1296
der	w1297
Prinzeßinn	w1298
wurde	w1299
Tags	w1300
darauf	w1301
nach	w1302
dem	w1303
Pallaste	w1304
zu	w1305
Trianon	w1306
<g/>
,
und	w1308
von	w1309
da	w1310
aus	w1311
am	w1312
8	w1313
<g/>
.
Dec	w1315
<g/>
.
in	w1317
die	w1318
Abtey	w1319
von	w1320
St	w1321
<g/>
.
De=uys	w1323
<g/>
=
zu	w1325
Grabe	w1326
gebracht	w1327
<g/>
.
Der	w1329
Hof	w1330
nahm	w1331
am	w1332
9	w1333
<g/>
.
Dec	w1335
<g/>
.
auf	w1337
21	w1338
Tage	w1339
die	w1340
Trauer	w1341
<g/>
.
</p>
<p id="p20">
Der	w1343
einzige	w1344
Gegenstand	w1345
<g/>
,
welcher	w1347
ge=genwärtig	w1348
<g/>
=
die	w1350
Aufmerksamkeit	w1351
des	w1352
Pu=blikums	w1353
<g/>
=
von	w1355
Paris	w1356
beschäftiget	w1357
<g/>
,
sind	w1359
die	w1360
Luftmaschinen	w1361
<g/>
.
Der	w1363
Chevalier	w1364
d'Ar=landes	w1365
<g/>
=
<g/>
,
der	w1368
zuerst	w1369
mit	w1370
der	w1371
Montgolfier=schen	w1372
<g/>
=
Kugel	w1374
<g/>
,
in	w1376
Gesellschaft	w1377
des	w1378
Hrn	w1379
<g/>
.
Pilastre	w1381
die	w1382
Reise	w1383
in	w1384
den	w1385
Luftraum	w1386
un=ternahm	w1387
<g/>
=
<g/>
,
hat	w1390
davon	w1391
einen	w1392
sehr	w1393
umständ=lichen	w1394
<g/>
=
Bericht	w1396
bekannt	w1397
gemacht	w1398
<g/>
,
und	w1400
ar=beitet	w1401
<g/>
=
nun	w1403
an	w1404
einem	w1405
anderen	w1406
<g/>
,
den	w1408
er	w1409
der	w1410
Akademie	w1411
der	w1412
Wissenschaften	w1413
vorlegen	w1414
will	w1415
<g/>
.
Von	w1417
dem	w1418
hierauf	w1419
mit	w1420
dem	w1421
glück=lichsten	w1422
<g/>
=
Erfolge	w1424
gemachten	w1425
zweyten	w1426
Ver=suche	w1427
<g/>
=
<g/>
,
dem	w1430
sich	w1431
Hr	w1432
<g/>
.
Prof	w1434
<g/>
.
Charlers	w1436
und	w1437
Hr	w1438
<g/>
.
Robert	w1440
unterzogen	w1441
haben	w1442
<g/>
,
liest	w1444
man	w1445
ebenfalls	w1446
sehr	w1447
interessante	w1448
Berichte	w1449
indessen	w1450
sind	w1451
selbe	w1452
viel	w1453
zu	w1454
weitläufig	w1455
<g/>
,
und	w1457
ihr	w1458
Gegenstand	w1459
für	w1460
die	w1461
neueste	w1462
Weltge=schichte	w1463
<g/>
=
noch	w1465
nicht	w1466
wichtig	w1467
genug	w1468
<g/>
,
als	w1470
daß	w1471
wir	w1472
selbe	w1473
<g/>
,
mit	w1475
Hintansetzung	w1476
wo	w1477
nicht	w1478
interessanterer	w1479
<g/>
,
dennoch	w1481
an	w1482
sich	w1483
weit	w1484
erheblicherer	w1485
Nachrichten	w1486
unsern	w1487
Le=sern	w1488
<g/>
=
mittheilen	w1490
dürften	w1491
<g/>
.
So	w1493
viel	w1494
ist	w1495
je=doch	w1496
<g/>
=
gewiß	w1498
<g/>
,
und	w1500
historisch	w1501
wichtig	w1502
<g/>
,
daß	w1504
die	w1505
Versuche	w1506
mit	w1507
jener	w1508
Maschine	w1509
weiter	w1510
getrieben	w1511
worden	w1512
<g/>
,
als	w1514
man	w1515
anfangs	w1516
glau=den	w1517
<g/>
=
konnte	w1519
<g/>
,
und	w1521
bey	w1522
fortgesetzter	w1523
Wie=derholung	w1524
<g/>
=
<g/>
,
die	w1527
man	w1528
nun	w1529
fast	w1530
in	w1531
allen	w1532
Ländern	w1533
vornimmt	w1534
<g/>
,
zur	w1536
Wohlfart	w1537
des	w1538
Menschengeschlechtes	w1539
vielleicht	w1540
eben	w1541
so	w1542
</p>
<p id="p21">
sehr	w1543
gedeihen	w1544
können	w1545
<g/>
,
als	w1547
sie	w1548
zur	w1549
Er=weiterung	w1550
<g/>
=
der	w1552
Naturkunde	w1553
wirklich	w1554
schon	w1555
dienen	w1556
<g/>
.
Man	w1558
hat	w1559
dazu	w1560
um	w1561
so	w1562
gegrün=detere	w1563
<g/>
=
Hofnung	w1565
<g/>
,
da	w1567
die	w1568
Hrn	w1569
<g/>
.
Mont=golfier	w1571
<g/>
=
<g/>
,
und	w1574
die	w1575
Hrn	w1576
<g/>
.
Charles	w1578
und	w1579
Ro=bert	w1580
<g/>
=
<g/>
,
die	w1583
bisher	w1584
Widersacher	w1585
waren	w1586
<g/>
,
und	w1588
sich	w1589
wechselweise	w1590
die	w1591
Ehre	w1592
der	w1593
Er=findung	w1594
<g/>
=
zuschrieben	w1596
<g/>
,
auch	w1598
wirklich	w1599
auf	w1600
zwey	w1601
verschiedene	w1602
Arten	w1603
in	w1604
Erzeugung	w1605
des	w1606
Gatzes	w1607
sich	w1608
benahmen	w1609
<g/>
,
nunmehr	w1611
sich	w1612
ausgesöhnet	w1613
und	w1614
gelobet	w1615
haben	w1616
<g/>
,
ge=meinschaftlich	w1618
<g/>
=
an	w1620
der	w1621
Verbesserung	w1622
der	w1623
neuen	w1624
Erfindung	w1625
zu	w1626
arbeiten	w1627
<g/>
.
</p>
<head id="hl7">
Großbritannien	w1629
<g/>
.
</head>
<p id="p22">
Die	w1631
Mehrheit	w1632
der	w1633
Stimmen	w1634
<g/>
,
welche	w1636
der	w1637
Vorschlag	w1638
der	w1639
Minister	w1640
<g/>
,
in	w1642
Betref	w1643
der	w1644
Angelegenheiten	w1645
der	w1646
Ostendischen	w1647
Handelsgesellschaft	w1648
<g/>
,
im	w1650
Unterhause	w1651
des	w1652
Parlamentes	w1653
erhielt	w1654
<g/>
,
brachte	w1656
die	w1657
Verle=genheit	w1658
<g/>
=
der	w1660
Compagnie	w1661
bis	w1662
auf	w1663
das	w1664
äus=serste	w1665
<g/>
=
<g/>
.
Sie	w1668
setzte	w1669
alle	w1670
erdenkliche	w1671
Trieb=federn	w1672
<g/>
=
in	w1674
Bewegung	w1675
um	w1676
jene	w1677
Maasre=gel	w1678
<g/>
=
zu	w1680
verhindern	w1681
<g/>
,
in	w1683
der	w1684
sie	w1685
nichts	w1686
weni=ger	w1687
<g/>
=
als	w1689
ihren	w1690
gänzlichen	w1691
Untergang	w1692
zu	w1693
se=hen	w1694
<g/>
=
glaubet	w1696
<g/>
.
Sie	w1698
bewog	w1699
daher	w1700
den	w1701
Lord	w1702
Major	w1703
<g/>
,
die	w1705
Aeltesten	w1706
und	w1707
Gemeinen	w1708
der	w1709
Stadt	w1710
London	w1711
mit	w1712
einer	w1713
Bittschrift	w1714
ge=gen	w1715
<g/>
=
die	w1717
Bill	w1718
einzukommen	w1719
<g/>
,
die	w1721
am	w1722
27	w1723
<g/>
.
dem	w1725
Hause	w1726
überreicht	w1727
wurde	w1728
<g/>
:
dem	w1730
Bey=spiele	w1731
<g/>
=
derselben	w1733
folgte	w1734
auch	w1735
die	w1736
Burger=schaft	w1737
<g/>
=
von	w1739
London	w1740
<g/>
,
die	w1742
am	w1743
2	w1744
<g/>
.
Decemb	w1746
<g/>
.
eine	w1748
Versammlung	w1749
hielt	w1750
<g/>
,
worinn	w1752
nach	w1753
dem	w1754
Vorschlage	w1755
des	w1756
Sherifen	w1757
Turner	w1758
beschlossen	w1759
wurde	w1760
<g/>
„
den	w1762
Stellvertrettern	w1763
<g/>
(
Representanten	w1765
<g/>
)
der	w1767
Stadt	w1768
im	w1769
Parla=mente	w1770
<g/>
=
die	w1772
Anweisung	w1773
zu	w1774
geben	w1775
<g/>
,
sich	w1777
der	w1778
vorliegenden	w1779
Bill	w1780
<g/>
,
als	w1782
der	w1783
gewagtesten	w1784
<g/>
,
der	w1786
verzweifelesten	w1787
<g/>
,
und	w1789
der	w1790
unerhörte=sten	w1791
<g/>
=
Maasregel	w1793
zu	w1794
widersetzen	w1795
<g/>
.
<g/>
”
Da	w1798
nun	w1799
bisher	w1800
von	w1801
den	w1802
4	w1803
Stellvertrettern	w1804
der	w1805
Stadt	w1806
die	w1807
Herren	w1808
Newnham	w1809
und	w1810
Sabridge	w1811
die	w1812
Bill	w1813
begünstiget	w1814
hatten	w1815
<g/>
,
so	w1817
erklärten	w1818
diese	w1819
<g/>
,
sie	w1821
hätten	w1822
es	w1823
nach	w1824
ih=rer	w1825
<g/>
=
ganzen	w1827
Uiberzeugung	w1828
gethan	w1829
<g/>
:
