<doc id="wr_1756-08-07" attrs="word" year="1756" month="08" day="07" corpus="2">
<head id="h2_d63e2595">
Williamsburg	w1_d63e2599
Expedition	w13_d63e3186
der	w1_d63e3191
Herr	w3_d63e3194
Kressop,	w5_d63e3197
Sohn	w7_d63e3200
des	w9_d63e3203
Oristens	w11_d63e3206
die	w13_d63e3210
ses	w1_d63e3216
Namens,	w3_d63e3219
in	w5_d63e3222
der	w7_d63e3225
Colonie	w9_d63e3228
Maryland	w11_d63e3231
woh	w13_d63e3235
nend,	w1_d63e3240
das	w3_d63e3243
Unglück	w5_d63e3246
gehabt,	w7_d63e3249
getödtet	w9_d63e3252
zu	w11_d63e3255
wer	w13_d63e3259
den.	w1_d63e3264
</p>
<head id="h2_d63e3270">
Aus	w1_d63e3274
Groß=brittannien.	w3_d63e3277
Londen	w1_d63e3282
16.	w3_d63e3285
Julii.	w5_d63e3288
Vermög	w1_d63e3293
einiger	w3_d63e3296
Nachrichten,	w5_d63e3299
seynd	w7_d63e3302
die	w9_d63e3305
</head>
<p id="p10_d63e3387">
Franzosen	w1_d63e3391
Willens	w3_d63e3394
einige	w5_d63e3397
unserer	w7_d63e3400
Jnsuln	w9_d63e3403
in	w11_d63e3406
America	w1_d63e3411
anzugreiffen,	w3_d63e3414
unter	w5_d63e3417
andern	w7_d63e3420
Jamai	w9_d63e3423
ka	w1_d63e3428
und	w3_d63e3431
Barbados;	w5_d63e3434
dem	w7_d63e3437
Herrn	w9_d63e3440
Perrier	w11_d63e3443
von	w13_d63e3447
Salvert	w1_d63e3453
soll	w3_d63e3456
die	w5_d63e3459
Ausführung	w7_d63e3462
dieses	w9_d63e3465
Vorha	w11_d63e3468
bens	w1_d63e3473
aufgetragen	w3_d63e3476
werden.	w5_d63e3479
</p>
<p id="p12_d63e3483">
Der	w1_d63e3487
Geschwader=Hauptmann	w3_d63e3490
Coates,	w5_d63e3493
welcher	w1_d63e3498
die	w3_d63e3501
Kaufmanns=flotte,	w5_d63e3504
die	w7_d63e3507
erst	w9_d63e3510
von	w11_d63e3513
Jamaika	w1_d63e3518
angekommen	w3_d63e3521
ist,	w5_d63e3524
bedecket	w7_d63e3527
hat,	w9_d63e3530
er	w11_d63e3533
zehlet	w1_d63e3539
daß	w3_d63e3542
nach	w5_d63e3545
denen	w7_d63e3548
Jnseln	w9_d63e3551
Jamaica	w11_d63e3554
und	w13_d63e3558
Barbadas	w1_d63e3563
verschiedene	w3_d63e3566
französische	w5_d63e3569
Schiffe	w7_d63e3572
geführet	w1_d63e3577
worden	w3_d63e3580
sind.	w5_d63e3583
und	w7_d63e3586
daß	w9_d63e3589
die	w11_d63e3592
Franzo	w13_d63e3596
sen	w1_d63e3601
im	w3_d63e3604
Gegentheil	w5_d63e3607
9.	w7_d63e3610
unserer	w9_d63e3613
Schiffe	w11_d63e3616
weg	w13_d63e3620
genommen	w1_d63e3626
haben.	w3_d63e3629
</p>
<p id="p14_d63e3632">
Das	w1_d63e3636
Kriegs=schiff,	w3_d63e3639
der	w5_d63e3642
St.	w7_d63e3645
Albans,	w9_d63e3648
hat	w11_d63e3651
dem	w1_d63e3656
Ministerio	w3_d63e3659
von	w5_d63e3662
dem	w7_d63e3665
Admiral	w9_d63e3668
Bosca	w11_d63e3671
wen	w1_d63e3676
Briefe	w3_d63e3679
überbracht,	w5_d63e3682
worinnen	w7_d63e3685
gemeldet	w9_d63e3688
wird,	w1_d63e3694
daß	w3_d63e3697
das	w5_d63e3700
Geschwader	w7_d63e3703
zu	w9_d63e3706
Brest,	w11_d63e3709
wel	w13_d63e3713
ches	w1_d63e3718
aus	w3_d63e3721
22	w5_d63e3724
Kriegs=schiffen	w7_d63e3727
bestehet	w9_d63e3730
sich	w11_d63e3733
Seegel	w1_d63e3738
fertig	w3_d63e3741
machet;	w5_d63e3744
dabey	w7_d63e3747
verlanget	w9_d63e3750
die	w11_d63e3753
ser	w1_d63e3758
Admiral,	w3_d63e3761
daß	w5_d63e3764
man	w7_d63e3767
ihm	w9_d63e3770
bald	w11_d63e3773
eine	w13_d63e3777
Ver	w15_d63e3780
stärkung	w1_d63e3786
zuschicken	w3_d63e3789
möchte.	w5_d63e3792
</p>
<p id="p16_d63e3795">
Den	w1_d63e3799
2.	w3_d63e3802
dieses	w5_d63e3805
Monats	w7_d63e3808
ist	w9_d63e3811
das	w11_d63e3814
Kriegs	w13_d63e3818
schif	w1_d63e3823
le	w3_d63e3826
Royal=george,	w5_d63e3829
dessen	w7_d63e3832
Hauptmann	w9_d63e3835
Camphell	w1_d63e3840
ist,	w3_d63e3843
nach	w5_d63e3846
Portsmuth	w7_d63e3849
abgeseegelt,	w9_d63e3852
um	w1_d63e3858
zu	w3_d63e3861
den	w5_d63e3864
Admiral	w7_d63e3867
Boscawen,	w9_d63e3870
der	w11_d63e3873
sich	w13_d63e3877
vor	w15_d63e3880
Brest	w1_d63e3885
befindet	w3_d63e3888
zu	w5_d63e3891
stossen.	w7_d63e3894
Der	w9_d63e3897
S.	w11_d63e3900
Semmerset,	w1_d63e3905
der	w1_d63e3910
Medway	w3_d63e3913
und	w5_d63e3916
der	w7_d63e3919
Neucastle	w9_d63e3922
haben	w11_d63e3925
Be	w13_d63e3929
fehl,	w1_d63e3935
gleichfalls	w3_d63e3938
unverzüglich	w5_d63e3941
dahin	w7_d63e3944
nach	w9_d63e3947
zufolgen.	w1_d63e3952
Das	w3_d63e3955
Schiff,	w5_d63e3958
der	w7_d63e3961
Prinz,	w9_d63e3964
welches	w11_d63e3967
seine	w1_d63e3972
eigene	w3_d63e3975
Bestimmung	w5_d63e3978
in	w7_d63e3981
das	w9_d63e3984
mittellän	w11_d63e3987
dische	w1_d63e3992
Meer	w3_d63e3995
hat,	w5_d63e3998
wird	w7_d63e4001
unverzüglich	w9_d63e4004
in	w11_d63e4007
See	w13_d63e4011
gelfertigen	w1_d63e4017
Stand	w3_d63e4020
gesetzet	w5_d63e4023
werden.	w7_d63e4026
</p>
<p id="p18_d63e4029">
Gestern	w1_d63e4033
hat	w3_d63e4036
mar	w5_d63e4039
Nachricht	w7_d63e4042
aus	w9_d63e4045
Ports	w11_d63e4048
muth	w1_d63e4053
erhalten,	w3_d63e4056
daß	w5_d63e4059
bey	w7_d63e4062
nahe	w9_d63e4065
20	w11_d63e4068
Kaufmanns	w13_d63e4072
schiffe	w1_d63e4077
unter	w3_d63e4080
der	w5_d63e4083
Bedeckung	w7_d63e4086
zweyer	w9_d63e4089
Kriegs	w11_d63e4092
</p>
<p id="p24_d63e4106">
get	w1_d63e4110
sind.	w3_d63e4113
Der	w1_d63e4118
Stadthalter	w3_d63e4121
der	w5_d63e4124
Jnsul	w7_d63e4127
Guernsey	w9_d63e4130
Lord	w1_d63e4135
Delawar	w3_d63e4138
hat	w5_d63e4141
den	w7_d63e4144
dritten	w9_d63e4147
dieses	w11_d63e4150
Mo	w13_d63e4154
nats	w1_d63e4160
die	w3_d63e4163
Ehre	w5_d63e4166
gehabt,	w7_d63e4169
dem	w9_d63e4172
Könige	w11_d63e4175
eine	w13_d63e4179
Schrift	w15_d63e4182
von	w1_d63e4187
den	w3_d63e4190
Jnnwohnern	w5_d63e4193
dieser	w7_d63e4196
Jnsul	w9_d63e4199
zu	w11_d63e4202
über	w13_d63e4206
reichen,	w1_d63e4211
worinnen	w3_d63e4214
von	w5_d63e4217
den	w7_d63e4220
gegenwärtigen	w9_d63e4223
Umständen	w1_d63e4228
gehandelt	w3_d63e4231
wird;	w5_d63e4234
die	w7_d63e4237
Ehrfurchts	w9_d63e4240
vollen	w1_d63e4246
Ausdrücke	w3_d63e4249
in	w5_d63e4252
derselben	w7_d63e4255
bewogen	w9_d63e4258
den	w11_d63e4261
König	w1_d63e4266
sie	w3_d63e4269
recht	w5_d63e4272
gnädig	w7_d63e4275
aufzunehmen.	w9_d63e4278
</p>
<p id="p26_d63e4281">
schiffe	w1_d63e4285
in	w3_d63e4288
ihren	w5_d63e4291
See=häfen	w7_d63e4294
glücklich	w9_d63e4297
angelan	w11_d63e4300
</p>
<p id="p28_d63e4303">
Aus	w1_d63e4307
Neu=england	w3_d63e4310
ist	w5_d63e4313
dieser	w7_d63e4316
Tage	w9_d63e4319
über	w11_d63e4322
das	w1_d63e4327
Schif	w3_d63e4330
Devonshire	w5_d63e4333
alhier	w7_d63e4336
angelanget:	w9_d63e4339
der	w1_d63e4344
Hauptmann	w3_d63e4347
desselben	w5_d63e4350
Jakobsan	w7_d63e4353
hat	w9_d63e4356
ausgesaget;	w1_d63e4362
daß	w3_d63e4365
bey	w5_d63e4368
seiner	w7_d63e4371
Abfahrt	w9_d63e4374
die	w11_d63e4377
Generale	w1_d63e4382
Johnson	w3_d63e4385
und	w5_d63e4388
Schirley	w7_d63e4391
in	w9_d63e4394
vollem	w11_d63e4397
Marsche	w1_d63e4402
seyen	w3_d63e4405
begriffen	w5_d63e4408
gewesen,	w7_d63e4411
und	w9_d63e4414
zwar	w11_d63e4417
der	w1_d63e4422
erste	w3_d63e4425
mit	w5_d63e4428
6000.	w7_d63e4431
Mann	w9_d63e4434
um	w11_d63e4437
Oswego	w13_d63e4441
zu	w15_d63e4444
Hülfe	w1_d63e4450
zu	w3_d63e4453
kommen,	w5_d63e4456
und	w7_d63e4459
hernach	w9_d63e4462
Niagara	w11_d63e4465
anzugreiffen;	w1_d63e4470
der	w3_d63e4473
andere	w5_d63e4476
aber	w7_d63e4479
mit	w9_d63e4482
10000.	w11_d63e4485
davon	w1_d63e4490
der	w3_d63e4493
größte	w5_d63e4496
Theil	w7_d63e4499
aus	w9_d63e4502
Matrosen	w11_d63e4505
be	w13_d63e4509
stehet,	w1_d63e4514
um	w3_d63e4517
das	w5_d63e4520
Fort	w7_d63e4523
Crownpoint	w9_d63e4526
zu	w11_d63e4529
bela	w13_d63e4533
gern.	w1_d63e4539
</p>
<head id="h2_d63e4545">
Aus	w1_d63e4549
Frankreich.	w3_d63e4552
Elsaß=zabern	w1_d63e4557
6.	w3_d63e4560
Julii.	w5_d63e4563
</head>
<p id="p4_d63e4566">
Das	w1_d63e4570
Testament	w3_d63e4573
des	w5_d63e4576
Cardinals	w7_d63e4579
und	w9_d63e4582
Bi	w11_d63e4585
schofs,	w1_d63e4590
Prinzens	w3_d63e4593
von	w5_d63e4596
Soubise,	w7_d63e4599
ist	w9_d63e4602
mit	w11_d63e4605
aller	w13_d63e4609
Ordnung	w1_d63e4614
eröfnet	w3_d63e4617
worden.	w5_d63e4620
Alle	w7_d63e4623
ligende	w9_d63e4626
und	w11_d63e4629
fahrende	w1_d63e4635
Gütter	w3_d63e4638
Erben	w5_d63e4641
der	w7_d63e4644
Prinz	w9_d63e4647
von	w11_d63e4650
Sou	w13_d63e4654
bise,	w1_d63e4659
und	w3_d63e4662
die	w5_d63e4665
Prinzeßin,	w7_d63e4668
seine	w9_d63e4671
Schwester;	w11_d63e4674
Sein	w1_d63e4679
Nachfolger	w3_d63e4682
bekommt	w5_d63e4685
die	w7_d63e4688
Schlösser,	w9_d63e4691
Palläste	w1_d63e4696
und	w3_d63e4699
Häuser	w5_d63e4702
im	w7_d63e4705
Elsaß,	w9_d63e4708
mit	w11_d63e4711
denen	w13_d63e4715
Meublen,	w1_d63e4721
die	w3_d63e4724
sich	w5_d63e4727
in	w7_d63e4730
denen	w9_d63e4733
Zimmern	w11_d63e4736
befin	w13_d63e4740
den,	w1_d63e4745
jedoch,	w3_d63e4748
das	w5_d63e4751
Zinn,	w7_d63e4754
Kupfer,	w9_d63e4757
Meßing,	w11_d63e4760
und	w1_d63e4765
andere	w3_d63e4768
Gerätschaften,	w5_d63e4771
soll	w7_d63e4774
er	w9_d63e4777
nach	w11_d63e4780
der	w13_d63e4784
vorhergegangenen	w1_d63e4789
Schätzung	w3_d63e4792
denen	w5_d63e4795
Erben	w7_d63e4798
mit	w1_d63e4804
dem	w3_d63e4807
halben	w5_d63e4810
Geld	w7_d63e4813
bezahlen.	w9_d63e4816
Der	w11_d63e4819
Herr	w13_d63e4823
von	w1_d63e4828
Reich,	w3_d63e4831
sein	w5_d63e4834
Stallmeister,	w7_d63e4837
bekommt	w9_d63e4840
eine	w11_d63e4843
Pension	w1_d63e4848
von	w3_d63e4851
800.	w5_d63e4854
Livres,	w7_d63e4857
so,	w9_d63e4860
wie	w11_d63e4863
der	w13_d63e4867
Herr	w15_d63e4870
Dutreau,	w1_d63e4875
und	w3_d63e4878
sein	w5_d63e4881
Secretair,	w7_d63e4884
der	w9_d63e4887
Herr	w11_d63e4890
von	w13_d63e4894
Creste.	w1_d63e4900
Der	w3_d63e4903
Herr	w5_d63e4906
von	w7_d63e4909
Villenelean	w9_d63e4912
erhält	w11_d63e4915
auf	w13_d63e4919
einmal	w1_d63e4924
12000.	w3_d63e4927
Livres,	w5_d63e4930
und	w7_d63e4933
jeder	w9_d63e4936
von	w11_d63e4939
denen	w13_d63e4943
2.	w1_d63e4948
Pagen	w3_d63e4951
3000.,	w5_d63e4954
und	w7_d63e4957
nöthiges	w9_d63e4960
Reise=geld	w11_d63e4963
nach	w1_d63e4968
Haus.	w3_d63e4971
Die	w5_d63e4974
Armen	w7_d63e4977
seynd	w9_d63e4980
gleichfalls	w11_d63e4983
nicht	w1_d63e4989
vergessen:	w3_d63e4992
wie	w5_d63e4995
dann	w7_d63e4998
für	w9_d63e5001
diejenige,	w11_d63e5004
die	w13_d63e5008
sich	w1_d63e5013
in	w3_d63e5016
dem	w5_d63e5019
Bißthum	w7_d63e5022
Straßburg	w9_d63e5025
befinden,	w11_d63e5028
30000.	w1_d63e5033
Livres	w3_d63e5036
ausgeworffen	w5_d63e5039
seynd.	w7_d63e5042
Die	w9_d63e5045
Armen	w1_d63e5050
der	w3_d63e5053
Abtey	w5_d63e5056
von	w7_d63e5059
Murbach	w9_d63e5062
und	w11_d63e5065
Lure	w13_d63e5069
er	w15_d63e5072
halten	w1_d63e5078
12000.,	w3_d63e5081
und	w5_d63e5084
die	w7_d63e5087
Quinzevingts	w9_d63e5090
zu	w11_d63e5093
Paris	w1_d63e5098
6000.	w3_d63e5101
Livres.	w5_d63e5104
Den	w7_d63e5107
Bischof	w9_d63e5110
von	w11_d63e5113
Rheims	w1_d63e5118
hat	w3_d63e5121
er	w5_d63e5124
im	w7_d63e5127
Testament	w9_d63e5130
gebetten,	w11_d63e5133
zum	w13_d63e5137
</p>
<p id="p6_d63e5140">
Zeichen	w1_d63e5144
der	w3_d63e5147
Freundschaft	w5_d63e5150
seinen	w7_d63e5153
besten	w9_d63e5156
Stock	w11_d63e5159
anzunehmen,	w1_d63e5164
und	w3_d63e5167
die	w5_d63e5170
Printzeßin	w7_d63e5173
von	w9_d63e5176
Conde,	w11_d63e5179
sich	w1_d63e5184
eine	w3_d63e5187
Tabacks=dose	w5_d63e5190
auszulesen.	w7_d63e5193
Bey	w9_d63e5196
der	w1_d63e5202
Untersuchung	w3_d63e5205
des	w5_d63e5208
Eingeweyds	w7_d63e5211
von	w9_d63e5214
unserm	w11_d63e5217
verstorbenen	w1_d63e5222
liebens=würdigen	w3_d63e5225
Bischof	w5_d63e5228
hat	w7_d63e5231
man	w1_d63e5236
übrigens	w3_d63e5239
befunden,	w5_d63e5242
daß	w7_d63e5245
die	w9_d63e5248
Lunge	w11_d63e5251
durch	w13_d63e5255
und	w1_d63e5260
durch	w3_d63e5263
eiterich	w5_d63e5266
und	w7_d63e5269
geschworen,	w9_d63e5272
und	w11_d63e5275
die	w13_d63e5279
Leber	w1_d63e5285
gleichfalls	w3_d63e5288
ein	w5_d63e5291
wenig	w7_d63e5294
angegriffen,	w9_d63e5297
die	w11_d63e5300
übrige	w1_d63e5305
Theile	w3_d63e5308
des	w5_d63e5311
Cörpers	w7_d63e5314
aber	w9_d63e5317
gesund	w11_d63e5320
und	w13_d63e5324
frisch	w1_d63e5329
gewesen.	w3_d63e5332
</p>
<head id="h2_d63e5339">
Paris	w1_d63e5343
16.	w3_d63e5346
Julii.	w5_d63e5349
</head>
<p id="p4_d63e5352">
Jhro	w1_d63e5356
Majestät,	w3_d63e5359
der	w5_d63e5362
König,	w7_d63e5365
wird	w9_d63e5368
den	w11_d63e5371
18ten	w1_d63e5376
dieses	w3_d63e5379
Monats,	w5_d63e5382
die	w7_d63e5385
Reise	w9_d63e5388
nach	w11_d63e5391
Dün	w13_d63e5395
kirchen	w1_d63e5400
antretten,	w3_d63e5403
um	w5_d63e5406
die	w7_d63e5409
Fortificationen	w9_d63e5412
daselbst	w1_d63e5418
in	w3_d63e5421
hohen	w5_d63e5424
Augenschein	w7_d63e5427
zu	w9_d63e5430
nehmen.	w11_d63e5433
Es	w13_d63e5437
werden	w1_d63e5442
sich	w3_d63e5445
also	w5_d63e5448
Jhro	w7_d63e5451
Majestät	w9_d63e5454
einige	w11_d63e5457
Tage	w13_d63e5461
daselbst	w1_d63e5466
aufhalten.	w3_d63e5469
Hierauf	w5_d63e5472
wird	w7_d63e5475
der	w9_d63e5478
König	w11_d63e5481
auf	w1_d63e5486
dieser	w3_d63e5489
Reise	w5_d63e5492
das	w7_d63e5495
Observations=lager	w9_d63e5498
an	w11_d63e5501
der	w1_d63e5507
Sambre	w3_d63e5510
besichtigen,	w5_d63e5513
und	w7_d63e5516
wann	w9_d63e5519
dieses	w11_d63e5522
geschehen,	w1_d63e5527
wird	w3_d63e5530
die	w5_d63e5533
Reise	w7_d63e5536
des	w9_d63e5539
Königs	w11_d63e5542
nach	w13_d63e5546
der	w1_d63e5551
Picardie	w3_d63e5554
und	w5_d63e5557
Normandie	w7_d63e5560
gehen,	w9_d63e5563
um	w11_d63e5566
die	w13_d63e5570
See=häfen	w1_d63e5575
in	w3_d63e5578
dasigen	w5_d63e5581
Provinzien	w7_d63e5584
zu	w9_d63e5587
be	w11_d63e5590
suchen,	w1_d63e5596
und	w3_d63e5599
genau	w5_d63e5602
untersuchen	w7_d63e5605
zu	w9_d63e5608
lassen.	w11_d63e5611
</p>
<head id="h2_d63e5617">
Aus	w1_d63e5621
Niederland.	w3_d63e5624
Haag	w1_d63e5629
17.	w3_d63e5632
Julii.	w5_d63e5635
</head>
<p id="p4_d63e5638">
Die	w1_d63e5642
Staaten	w3_d63e5645
von	w5_d63e5648
Holland	w7_d63e5651
hatten	w9_d63e5654
bereits	w11_d63e5657
den	w1_d63e5662
9	w3_d63e5665
dieses	w5_d63e5668
eine	w7_d63e5671
nachdrückliche	w9_d63e5674
Resolution	w11_d63e5677
gefasset,	w1_d63e5682
um	w3_d63e5685
zu	w5_d63e5688
verhindern,	w7_d63e5691
daß	w9_d63e5694
die	w11_d63e5697
Kauffar	w13_d63e5701
dey=schiffe	w1_d63e5707
ihrer	w3_d63e5710
Unterthanen	w5_d63e5713
von	w7_d63e5716
denen	w9_d63e5719
En	w11_d63e5722
gländischen	w1_d63e5727
Armateurs	w3_d63e5730
nicht	w5_d63e5733
weiter	w7_d63e5736
angefallen,	w9_d63e5739
und	w1_d63e5744
weggenommen	w3_d63e5747
werden	w5_d63e5750
möchten,	w7_d63e5753
als	w9_d63e5756
welche,	w11_d63e5759
wie	w1_d63e5764
man	w3_d63e5767
hier	w5_d63e5770
zu	w7_d63e5773
Lande	w9_d63e5776
der	w11_d63e5779
Meinung	w13_d63e5783
ist,	w15_d63e5786
nur	w1_d63e5792
von	w3_d63e5795
den	w5_d63e5798
jetzigen	w7_d63e5801
Zeit=umständen	w9_d63e5804
zu	w11_d63e5807
pro	w13_d63e5811
fitiren	w1_d63e5816
und	w3_d63e5819
sich	w5_d63e5822
zu	w7_d63e5825
bereichern	w9_d63e5828
suchten.	w11_d63e5831
Jndem	w13_d63e5835
sie	w1_d63e5840
aber	w3_d63e5843
diese	w5_d63e5846
Resolution	w7_d63e5849
den	w9_d63e5852
12.	w11_d63e5855
dieses	w13_d63e5859
den	w15_d63e5862
General=staaten	w1_d63e5867
mittheilen	w3_d63e5870
wolten,	w5_d63e5873
wurden	w7_d63e5876
sie	w9_d63e5879
in	w1_d63e5885
eine	w3_d63e5888
angenehme	w5_d63e5891
Verwunderung	w7_d63e5894
gesetzet/	w9_d63e5897
von	w1_d63e5902
dem	w3_d63e5905
Herrn	w5_d63e5908
Raht=pensionair	w7_d63e5911
Stein	w9_d63e5914
zu	w11_d63e5917
vernehmen,	w1_d63e5922
daß	w3_d63e5925
der	w5_d63e5928
Groß=brittannische	w7_d63e5931
Mini	w9_d63e5934
ster,	w1_d63e5939
Herr	w3_d63e5942
Yorke,	w5_d63e5945
ihm	w7_d63e5948
desselben	w9_d63e5951
Tages	w11_d63e5954
in	w13_d63e5958
einer	w1_d63e5964
Conferenz	w3_d63e5967
zu	w5_d63e5970
wissen	w7_d63e5973
gethan,	w9_d63e5976
daß	w11_d63e5979
Se.	w13_d63e5983
Groß=brittannische	w1_d63e5988
Majestät	w3_d63e5991
um	w5_d63e5994
der	w7_d63e5997
Re	w9_d63e6000
publik	w1_d63e6005
ein	w3_d63e6008
Merkmal	w5_d63e6011
ihrer	w7_d63e6014
beständigen	w9_d63e6017
Freund	w11_d63e6020
schaft	w1_d63e6025
zu	w3_d63e6028
geben,	w5_d63e6031
den	w7_d63e6034
Befehl	w9_d63e6037
ertheilet	w11_d63e6040
habe,	w13_d63e6044
alle,	w1_d63e6050
bisher	w3_d63e6053
von	w5_d63e6056
denen	w7_d63e6059
Engländischen	w9_d63e6062
Ar	w11_d63e6065
matcurs	w1_d63e6070
aufgebrachte	w3_d63e6073
Holländische	w5_d63e6076
Schiffe	w7_d63e6079
wieder	w1_d63e6084
los	w3_d63e6087
zu	w5_d63e6090
lassen.	w7_d63e6093
Da	w9_d63e6096
aber	w11_d63e6099
verschiedene	w13_d63e6103
dieser	w1_d63e6108
Schiffe	w3_d63e6111
mit	w5_d63e6114
solchen	w7_d63e6117
Waaren	w9_d63e6120
geladen	w11_d63e6123
wären,	w1_d63e6129
die	w3_d63e6132
zum	w5_d63e6135
Schif=bau	w7_d63e6138
gehörten,	w9_d63e6141
und	w11_d63e6144
Se.	w1_d63e6149
</p>
<p id="p8_d63e6154">
Se.	w1_d63e6158
Groß=brittannische	w3_d63e6161
Majestät	w5_d63e6164
nicht	w7_d63e6167
zu	w9_d63e6170
geben	w1_d63e6175
könten,	w3_d63e6178
daß	w5_d63e6181
solche,	w7_d63e6184
währendem	w9_d63e6187
Kriege,	w11_d63e6190
nach	w1_d63e6195
denen	w3_d63e6198
Französchen	w5_d63e6201
Häfen	w7_d63e6204
gebracht	w9_d63e6207
wür	w11_d63e6210
den;	w1_d63e6216
so	w3_d63e6219
hätten	w5_d63e6222
Dieselbe	w7_d63e6225
zugleich	w9_d63e6228
auch	w11_d63e6231
be	w13_d63e6235
fohlen,	w1_d63e6240
diese	w3_d63e6243
Waaren	w5_d63e6246
auszuladen,	w7_d63e6249
und	w9_d63e6252
den	w11_d63e6255
Eigentümern	w1_d63e6260
denselben	w3_d63e6263
Preis	w5_d63e6266
dafür	w7_d63e6269
zu	w9_d63e6272
zahlen,	w11_d63e6275
den	w1_d63e6280
sie	w3_d63e6283
in	w5_d63e6286
Frankreich	w7_d63e6289
hätten	w9_d63e6292
bekommen	w11_d63e6295
können.	w13_d63e6299
Wegen	w1_d63e6305
des	w3_d63e6308
künftigen	w5_d63e6311
