<doc id="edoc_wd_1759-09-26" attrs="word" year="1759" month="09" day="26" corpus="1">
<head id="hl1">
Coblenz	w40
gleichsam	w960
zu	w961
einer	w962
grossen	w963
That	w964
gespahret	w965
<g/>
,
</p>
<p id="p14">
stürzte	w969
alles	w970
um	w971
<g/>
,
was	w973
vor	w974
ihr	w975
war	w976
<g/>
.
Man	w978
sagt	w979
<g/>
,
der	w981
König	w982
habe	w983
mit	w984
vielem	w985
Lobe	w986
<g/>
,
von	w988
der	w989
Einsicht	w990
des	w991
Grafens	w992
von	w993
Soltikow	w994
und	w995
der	w996
Unerschrockenheit	w997
des	w998
Generals	w999
von	w1000
Loudon	w1001
gesprochen	w1002
<g/>
.
Ueberhanpt	w1004
sind	w1005
uns	w1006
von	w1007
diesen	w1008
2	w1009
<g/>
.
Kriegs	w1011
<g/>
=
helden	w1013
allerhand	w1014
be=sondere	w1015
<g/>
=
Umstände	w1017
zu	w1018
Ohren	w1019
gekommen	w1020
<g/>
,
die	w1022
ihnen	w1023
zu	w1024
ganz	w1025
ausnehmender	w1026
Ehre	w1027
gerei=chen	w1028
<g/>
=
<g/>
.
Allen	w1031
Umständen	w1032
nach	w1033
dörfte	w1034
vor	w1035
Ausgang	w1036
der	w1037
heurigen	w1038
Campagne	w1039
noch	w1040
ein	w1041
sehr	w1042
blutiges	w1043
Treffen	w1044
die	w1045
Winter	w1046
<g/>
=
quartiere	w1048
entscheiden	w1049
<g/>
.
</p>
<head id="hl5">
Gießen	w1051
11	w1052
<g/>
.
September	w1054
<g/>
.
</head>
<p id="p15">
Den	w1056
7	w1057
<g/>
.
hat	w1059
die	w1060
grosse	w1061
Französische	w1062
Ar=mee	w1063
<g/>
=
ihr	w1065
Lager	w1066
bey	w1067
Wetzlar	w1068
und	w1069
Staufen=berg	w1070
<g/>
=
verlassen	w1072
<g/>
,
und	w1074
sich	w1075
unweit	w1076
hier	w1077
gelan=gert	w1078
<g/>
=
<g/>
.
Dieses	w1081
Lager	w1082
erstrecket	w1083
sich	w1084
von	w1085
Röd=gen	w1086
<g/>
=
bis	w1088
in	w1089
die	w1090
Gegenden	w1091
von	w1092
Steinbach	w1093
<g/>
.
Der	w1095
Prinz	w1096
Xavier	w1097
stehet	w1098
zu	w1099
Rödgen	w1100
<g/>
.
Den	w1102
8	w1103
<g/>
.
ist	w1105
die	w1106
Reserve	w1107
des	w1108
Duc	w1109
de	w1110
Broglio	w1111
von	w1112
hier	w1113
abmarschirt	w1114
<g/>
,
und	w1116
hat	w1117
sich	w1118
nach	w1119
Düden=hoffen	w1120
<g/>
=
in	w1122
dem	w1123
Weilburgischen	w1124
zur	w1125
Linken	w1126
der	w1127
Lahne	w1128
begeben	w1129
<g/>
.
Sein	w1131
Hauptquartier	w1132
ist	w1133
zu	w1134
Münchholzhausen	w1135
<g/>
,
einem	w1137
dem	w1138
Baron	w1139
von	w1140
Schwalbach	w1141
zugehörigen	w1142
Dorf	w1143
<g/>
.
Es	w1145
schei=net	w1146
<g/>
=
<g/>
,
daß	w1149
das	w1150
Schicksal	w1151
der	w1152
Festung	w1153
Mar=burg	w1154
<g/>
=
die	w1156
weitere	w1157
Bewegung	w1158
einrichten	w1159
werde	w1160
<g/>
.
Man	w1162
hat	w1163
einige	w1164
Nächte	w1165
von	w1166
dieser	w1167
Seite	w1168
das	w1169
Canonenfeuer	w1170
gehört	w1171
<g/>
,
und	w1173
auch	w1174
heute	w1175
bis	w1176
gegen	w1177
Mittag	w1178
<g/>
.
Der	w1180
gröste	w1181
Theil	w1182
der	w1183
alliirten	w1184
Armee	w1185
befindet	w1186
sich	w1187
jetzt	w1188
in	w1189
der	w1190
Ge=gend	w1191
<g/>
=
von	w1193
Marburg	w1194
<g/>
.
Der	w1196
Herzog	w1197
Ferdi=nand	w1198
<g/>
=
hat	w1200
sein	w1201
Hauptquartier	w1202
zu	w1203
Ellenhau=sen	w1204
<g/>
=
<g/>
;
aber	w1207
die	w1208
leichte	w1209
Trupen	w1210
stehen	w1211
theils	w1212
zu	w1213
Lohndorf	w1214
und	w1215
dasigen	w1216
Gegenden	w1217
<g/>
,
theils	w1219
zu	w1220
Erda	w1221
<g/>
,
so	w1223
daß	w1224
sie	w1225
der	w1226
Französischen	w1227
Armee	w1228
sehr	w1229
nahe	w1230
stehen	w1231
<g/>
.
Ein	w1233
Detaschement	w1234
Hus=saren	w1235
<g/>
=
von	w1237
der	w1238
alliirten	w1239
Armee	w1240
hat	w1241
sich	w1242
die=sen	w1243
<g/>
=
Morgen	w1245
bis	w1246
an	w1247
hiesige	w1248
Stadt	w1249
genähert	w1250
<g/>
,
und	w1252
gestern	w1253
ist	w1254
ein	w1255
Trompeter	w1256
mit	w1257
einem	w1258
Wagen	w1259
<g/>
,
der	w1261
mit	w1262
allerhand	w1263
Effecten	w1264
beladen	w1265
war	w1266
<g/>
,
die	w1268
ohne	w1269
Zweifel	w1270
einem	w1271
Französischen	w1272
General	w1273
gehören	w1274
<g/>
,
alhier	w1276
angelanget	w1277
<g/>
.
DieDieser	w1279
<g/>
=
</p>
<p id="p16">
ser	w1281
Wagen	w1282
wurde	w1283
von	w1284
alliirter	w1285
Cavallerie	w1286
begleitet	w1287
<g/>
,
und	w1289
der	w1290
General	w1291
<g/>
,
Marquis	w1293
von	w1294
<g/>
=
Sechelles	w1296
hat	w1297
solchen	w1298
der	w1299
Französischen	w1300
Armee	w1301
zugeschicket	w1302
<g/>
.
Diesen	w1304
Augenblick	w1305
ver=nihmt	w1306
<g/>
=
man	w1308
mit	w1309
Gewißheit	w1310
<g/>
,
daß	w1312
die	w1313
Al=liirten	w1314
<g/>
=
noch	w1316
nicht	w1317
auf	w1318
die	w1319
Festung	w1320
Marburg	w1321
geschossen	w1322
haben	w1323
<g/>
;
aber	w1325
die	w1326
Französische	w1327
Gar=nison	w1328
<g/>
=
hat	w1330
auf	w1331
sie	w1332
gefeuert	w1333
<g/>
,
um	w1335
sie	w1336
zu	w1337
verhin=dern	w1338
<g/>
=
<g/>
,
Batterien	w1341
aufzurichten	w1342
<g/>
;
dem	w1344
ungeach=tet	w1345
<g/>
=
aber	w1347
scheinet	w1348
es	w1349
<g/>
,
daß	w1351
diese	w1352
Batterien	w1353
in	w1354
verwichener	w1355
Nacht	w1356
zu	w1357
Stande	w1358
gekommen	w1359
<g/>
,
und	w1361
daß	w1362
schon	w1363
einige	w1364
Regimenter	w1365
alliirte	w1366
Trupen	w1367
in	w1368
die	w1369
Stadt	w1370
Marburg	w1371
eingerucket	w1372
seyen	w1373
<g/>
.
Hohensolms	w1375
und	w1376
Königsberg	w1377
haben	w1378
die	w1379
alliirten	w1380
Trupen	w1381
besetzt	w1382
<g/>
,
und	w1384
vor	w1385
einigen	w1386
Tagen	w1387
<g/>
,
ist	w1389
unweit	w1390
Königsberg	w1391
zwischen	w1392
denen	w1393
alliirten	w1394
Jägern	w1395
und	w1396
Hussaren	w1397
und	w1398
einem	w1399
starken	w1400
Französischen	w1401
Detaschement	w1402
ein	w1403
hef=tiger	w1404
<g/>
=
Scharmützel	w1406
mit	w1407
beyderseits	w1408
gleichen	w1409
Verlust	w1410
gewesen	w1411
<g/>
.
</p>
<head id="hl6">
Aus	w1413
dem	w1414
Französischen	w1415
Lager	w1416
zu	w1417
Munzler	w1418
den	w1419
6	w1420
<g/>
.
Sept	w1422
<g/>
.
</head>
<p id="p17">
Auf	w1424
die	w1425
Nachricht	w1426
<g/>
,
daß	w1428
der	w1429
Feind	w1430
zur	w1431
Rechten	w1432
marschierte	w1433
<g/>
,
so	w1435
verliesse	w1436
unsere	w1437
Armee	w1438
am	w1439
4	w1440
<g/>
.
dieses	w1442
ihr	w1443
Lager	w1444
bey	w1445
Groß=selheim	w1446
<g/>
=
<g/>
,
und	w1449
kame	w1450
noch	w1451
selbigen	w1452
Tages	w1453
hier	w1454
zu	w1455
stehen	w1456
<g/>
,
wo	w1458
wir	w1459
nur	w1460
2	w1461
<g/>
.
Stunden	w1463
von	w1464
Giessen	w1465
entfernet	w1466
<g/>
.
Wann	w1468
die	w1469
Feinde	w1470
<g/>
,
die	w1472
gerne	w1473
ins	w1474
Franken	w1475
<g/>
=
land	w1477
wollen	w1478
<g/>
,
ihren	w1480
Marsch	w1481
fortsetzen	w1482
<g/>
,
so	w1484
werden	w1485
wir	w1486
auch	w1487
vom	w1488
neuen	w1489
marschiren	w1490
<g/>
.
Jndessen	w1492
ist	w1493
unsere	w1494
Communi=cation	w1495
<g/>
=
mit	w1497
Frankfort	w1498
noch	w1499
offen	w1500
<g/>
,
und	w1502
Mar=burg	w1503
<g/>
=
auch	w1505
noch	w1506
von	w1507
unsren	w1508
Trupen	w1509
besetzt	w1510
<g/>
.
Wir	w1512
haben	w1513
einen	w1514
Zug	w1515
Geschützes	w1516
von	w1517
25	w1518
<g/>
.
schweren	w1520
Canonen	w1521
erhalten	w1522
<g/>
.
Auf	w1524
3	w1525
<g/>
.
vier=tel	w1527
<g/>
=
Stunde	w1529
von	w1530
unsrem	w1531
rechten	w1532
Flügel	w1533
ist	w1534
ein	w1535
starkes	w1536
feindl	w1537
<g/>
.
Corps	w1539
gelagert	w1540
<g/>
,
welches	w1542
gestern	w1543
von	w1544
unsren	w1545
Generals	w1546
recognosciret	w1547
worden	w1548
<g/>
.
Die	w1550
Regimenter	w1551
von	w1552
Tourraine	w1553
<g/>
,
und	w1555
Aumont	w1556
sind	w1557
vor	w1558
einigen	w1559
Tagen	w1560
nach	w1561
Cöln	w1562
abgegangen	w1563
<g/>
,
wohin	w1565
die	w1566
Regimenter	w1567
Rovergue	w1568
und	w1569
Enghien	w1570
heut	w1571
morgen	w1572
gegefolget	w1573
<g/>
=
</p>
<p id="p18">
folget	w1577
sind	w1578
<g/>
.
Man	w1580
meinet	w1581
<g/>
,
daß	w1583
Letztere	w1584
allda	w1585
den	w1586
Befehl	w1587
finden	w1588
werden	w1589
<g/>
,
zu	w1591
dem	w1592
Corps	w1593
von	w1594
Armentieres	w1595
zu	w1596
stossen	w1597
<g/>
,
welcher	w1599
bestimmet	w1600
ist	w1601
<g/>
,
mit	w1603
allem	w1604
Eifer	w1605
zu	w1606
würken	w1607
<g/>
.
So	w1609
eben	w1610
erhalten	w1611
wir	w1612
Ordre	w1613
<g/>
,
um	w1615
sich	w1616
Morgen	w1617
wieder	w1618
in	w1619
Marsch	w1620
zu	w1621
setzen	w1622
<g/>
.
</p>
<head id="hl7">
Stralsund	w1624
3	w1625
<g/>
.
September	w1627
<g/>
.
</head>
<p id="p19">
Die	w1629
Königl	w1630
<g/>
.
Schwedische	w1632
Armee	w1633
<g/>
,
welche	w1635
den	w1636
28	w1637
<g/>
.
Augusti	w1639
das	w1640
Haupt	w1641
<g/>
=
quartier	w1643
von	w1644
Bartow	w1645
nach	w1646
Spantekow	w1647
<g/>
,
und	w1649
den	w1650
30	w1651
<g/>
.
nach	w1653
Putzar	w1654
verlegt	w1655
<g/>
,
wird	w1657
über	w1658
Blumen=thal	w1659
<g/>
=
nach	w1661
Pasewalk	w1662
vorrücken	w1663
<g/>
.
Der	w1665
Herr	w1666
General	w1667
Leutenant	w1668
<g/>
,
Graf	w1670
von	w1671
Fersen	w1672
<g/>
,
hat	w1674
<g/>
,
nachdem	w1676
er	w1677
alle	w1678
gemachte	w1679
Schwierigkeiten	w1680
glücklich	w1681
überwunden	w1682
<g/>
,
und	w1684
die	w1685
Galeeren	w1686
in	w1687
das	w1688
frische	w1689
Haf	w1690
gebracht	w1691
<g/>
,
die	w1693
Schwine=minder	w1694
<g/>
=
Schanze	w1696
zu	w1697
beschiessen	w1698
angefangen	w1699
<g/>
.
Jndessen	w1701
haben	w1702
die	w1703
Preußen	w1704
aus	w1705
dieser	w1706
Schanze	w1707
einen	w1708
Ausfall	w1709
gewagt	w1710
<g/>
,
und	w1712
die	w1713
in	w1714
der	w1715
Stadt	w1716
verlegte	w1717
Mannschaft	w1718
auf	w1719
drey	w1720
Seiten	w1721
angegriffen	w1722
<g/>
;
sie	w1724
seynd	w1725
aber	w1726
mit	w1727
Ver=lust	w1728
<g/>
=
zurück	w1730
geschlagen	w1731
worden	w1732
<g/>
.
Aus	w1734
Pase=walk	w1735
<g/>
=
ist	w1737
die	w1738
Nachricht	w1739
eingegangen	w1740
<g/>
,
daß	w1742
der	w1743
Major	w1744
<g/>
,
welcher	w1746
sich	w1747
daselbst	w1748
auf	w1749
Postirung	w1750
mit	w1751
einiger	w1752
Jnfanterie	w1753
von	w1754
dem	w1755
Frey	w1756
<g/>
=
bata=illon	w1758
<g/>
=
<g/>
,
einigen	w1761
Jägern	w1762
und	w1763
Hussaren	w1764
befun=den	w1765
<g/>
=
<g/>
,
von	w1768
denen	w1769
Preußen	w1770
<g/>
,
nachdem	w1772
sie	w1773
seine	w1774
Patrouillen	w1775
aufgehoben	w1776
<g/>
,
den	w1778
2	w1779
<g/>
.
dieses	w1781
mit	w1782
einer	w1783
überlegenen	w1784
Macht	w1785
angegriffen	w1786
worden	w1787
sey	w1788
<g/>
.
Er	w1790
hat	w1791
zwar	w1792
eine	w1793
Zeitlang	w1794
Stand	w1795
gehalten	w1796
<g/>
,
hat	w1798
sich	w1799
aber	w1800
endlich	w1801
genöhtiget	w1802
gesehen	w1803
<g/>
,
sich	w1805
zurück	w1806
zu	w1807
ziehen	w1808
<g/>
.
</p>
<p id="p20">
So	w1810
eben	w1811
geht	w1812
von	w1813
dem	w1814
Herrn	w1815
General=leutenant	w1816
<g/>
=
<g/>
,
Grafen	w1819
von	w1820
Fersen	w1821
die	w1822
Nachricht	w1823
ein	w1824
<g/>
,
daß	w1826
die	w1827
Besatzung	w1828
der	w1829
Schwinemünder	w1830
Schanze	w1831
<g/>
,
nachdem	w1833
sie	w1834
eine	w1835
Canonade	w1836
von	w1837
einer	w1838
Stunde	w1839
ausgehalten	w1840
<g/>
,
die	w1842
weisse	w1843
Fahne	w1844
ausgesteckt	w1845
<g/>
,
und	w1847
zu	w1848
capituliren	w1849
verlangt	w1850
habe	w1851
<g/>
.
Die	w1853
Besatzung	w1854
bestand	w1855
aus	w1856
dem	w1857
Obrist	w1858
<g/>
=
lieutenant	w1860
Preiß	w1861
<g/>
,
dem	w1863
Major	w1864
Menar=dier	w1865
<g/>
=
<g/>
,
14	w1868
<g/>
.
Officiers	w1870
<g/>
,
400	w1872
<g/>
.
und	w1874
einigen	w1875
zwan=zig	w1876
<g/>
=
Gemeinen	w1878
<g/>
,
die	w1880
alle	w1881
zu	w1882
Kriegs	w1883
<g/>
=
gefange=nen	w1885
<g/>
=
gemacht	w1887
worden	w1888
seynd	w1889
<g/>
.
Ausserdem	w1891
sind	w1892
</p>
<p id="p21">
in	w1893
dieser	w1894
