<doc id="wr_1759-08-08" attrs="word" year="1759" month="08" day="08" corpus="2">
<head id="h2_d371e4010">
Münster	w4_d371e4013
Jnfanterie=regimenter	w190_d371e5259
nachfolgten.	w193_d371e5264
Abends	w195_d371e5268
kam	w197_d371e5271
auch	w199_d371e5274
der	w201_d371e5277
Herr	w203_d371e5281
Marquis	w206_d371e5285
d'Armentiers	w208_d371e5289
selbst	w210_d371e5292
mit	w212_d371e5295
vielen	w214_d371e5299
Ge	w216_d371e5302
nerals=personen	w219_d371e5306
in	w221_d371e5310
die	w223_d371e5313
Stadt,	w225_d371e5317
welchen	w227_d371e5320
der	w230_d371e5324
Herr	w232_d371e5328
General	w234_d371e5331
Chabot	w236_d371e5335
mit	w238_d371e5338
einem	w240_d371e5341
Corps	w242_d371e5344
Freywilligen	w245_d371e5348
und	w247_d371e5353
Dragonern	w249_d371e5356
zur	w251_d371e5359
Bedeckung	w253_d371e5362
diente.	w256_d371e5366
Abends	w258_d371e5371
wurde	w260_d371e5374
ein	w262_d371e5377
Trompeter	w264_d371e5380
auf	w266_d371e5383
die	w269_d371e5388
Citadelle	w271_d371e5392
geschickt,	w273_d371e5395
und	w275_d371e5398
eine	w277_d371e5401
Conven	w279_d371e5404
tion	w282_d371e5409
gemacht,	w284_d371e5413
daß	w286_d371e5416
von	w288_d371e5419
der	w290_d371e5422
Stadt=seite	w292_d371e5426
nicht	w295_d371e5430
auf	w297_d371e5434
die	w299_d371e5437
Citadelle,	w301_d371e5440
und	w303_d371e5444
von	w305_d371e5447
dieser	w307_d371e5450
nicht	w310_d371e5454
auf	w312_d371e5458
die	w314_d371e5462
Stadt	w316_d371e5465
canonirt	w318_d371e5468
werden	w320_d371e5471
soll.	w322_d371e5474
Der	w325_d371e5479
Marschall	w327_d371e5483
de	w329_d371e5486
Camp,	w331_d371e5489
Herr	w333_d371e5492
von	w335_d371e5495
Ga	w337_d371e5499
von,	w340_d371e5503
rückte	w342_d371e5507
als	w344_d371e5510
Commandant	w346_d371e5513
in	w348_d371e5517
die	w350_d371e5520
Stadt.	w352_d371e5523
Den	w355_d371e5527
23.	w357_d371e5531
morgens	w359_d371e5535
fiengen	w361_d371e5538
die	w363_d371e5541
Franzosen	w365_d371e5544
auf	w368_d371e5548
die	w370_d371e5553
Citadelle	w372_d371e5556
zu	w374_d371e5559
canoniren	w376_d371e5562
an,	w378_d371e5565
wel	w380_d371e5568
ches	w383_d371e5573
bis	w385_d371e5577
jetzo	w387_d371e5580
annoch	w389_d371e5583
mit	w391_d371e5586
starkem	w393_d371e5590
Feuer	w395_d371e5593
fortdauret.	w398_d371e5597
</p>
<head id="h2_d371e5604">
Münster	w4_d371e5607
27.	w6_d371e5611
Julii.	w8_d371e5614
</head>
<p id="p4_d371e5617">
Am	w4_d371e5620
24.	w6_d371e5624
haben	w8_d371e5627
die	w10_d371e5630
Französische	w12_d371e5633
Cano	w14_d371e5637
nen	w17_d371e5641
und	w19_d371e5645
Mörser	w21_d371e5648
wider	w23_d371e5651
unsere	w25_d371e5655
Citadelle	w27_d371e5658
zu	w29_d371e5661
spielen	w32_d371e5665
fortgefahren;	w34_d371e5669
um	w36_d371e5673
5.	w38_d371e5676
Uhr	w40_d371e5679
traffe	w42_d371e5682
schon	w44_d371e5685
eine	w47_d371e5690
Bombe	w49_d371e5694
ein	w51_d371e5697
kleines	w53_d371e5700
Pulfer=magazin,	w55_d371e5703
wodurch	w58_d371e5708
einige	w60_d371e5712
Mannschaft	w62_d371e5715
todt	w64_d371e5718
blibe,	w66_d371e5721
und	w68_d371e5724
die	w71_d371e5729
vornehmste	w73_d371e5733
Batterie	w75_d371e5736
der	w77_d371e5739
Citadelle	w79_d371e5742
Scha	w81_d371e5746
den	w84_d371e5750
litte;	w86_d371e5754
die	w88_d371e5757
Hanoveraner	w90_d371e5760
wolten	w92_d371e5764
sich	w94_d371e5767
aber	w96_d371e5770
daran	w99_d371e5774
nicht	w101_d371e5778
kehren,	w103_d371e5782
sie	w105_d371e5785
unterhielten	w107_d371e5788
ihr	w109_d371e5791
Feuer	w112_d371e5795
beständig	w114_d371e5800
bis	w116_d371e5803
den	w118_d371e5806
25.	w120_d371e5809
des	w122_d371e5812
morgens	w124_d371e5815
um	w127_d371e5820
8.	w129_d371e5824
Uhr;	w131_d371e5827
da	w133_d371e5830
aber	w135_d371e5833
das	w137_d371e5837
Französische	w139_d371e5840
Feuer	w141_d371e5843
ihnen	w144_d371e5847
zu	w146_d371e5851
warm	w148_d371e5855
wurde,	w150_d371e5858
liessen	w152_d371e5861
sie	w154_d371e5864
Chama	w156_d371e5867
</p>
<p id="p6_d371e5870">
de	w4_d371e5873
schlagen,	w6_d371e5877
die	w8_d371e5880
weisse	w10_d371e5883
Fahne	w12_d371e5886
ausstecken	w14_d371e5890
und	w17_d371e5894
um	w19_d371e5898
Capitulation	w21_d371e5901
anhalten.	w23_d371e5904
Die	w25_d371e5908
Gar	w27_d371e5911
nison,	w30_d371e5915
welche	w32_d371e5919
aus	w34_d371e5922
2.	w36_d371e5926
Hanovrischen,	w38_d371e5929
und	w40_d371e5932
2.	w43_d371e5936
Heßischen	w45_d371e5940
Regimentern,	w47_d371e5944
dann	w49_d371e5947
aus	w51_d371e5950
300.	w53_d371e5953
zur	w56_d371e5957
Halbscheid	w58_d371e5962
berittenen	w60_d371e5965
Jägern	w62_d371e5968
und	w64_d371e5971
150.	w66_d371e5974
Hussaren,	w69_d371e5979
wie	w71_d371e5983
nicht	w73_d371e5986
minder	w75_d371e5989
aus	w77_d371e5992
400.	w79_d371e5995
Mann	w81_d371e5999
Jnfanteristen	w84_d371e6003
von	w86_d371e6007
verschiedenen	w88_d371e6010
Regimen	w90_d371e6013
tern,	w93_d371e6018
und	w95_d371e6022
also	w97_d371e6025
aus	w99_d371e6028
mehr	w101_d371e6031
dann	w103_d371e6035
3000.	w105_d371e6038
Mann	w107_d371e6041
bestanden,	w110_d371e6045
ist	w112_d371e6049
aber	w114_d371e6053
erst	w116_d371e6056
heut	w118_d371e6059
Morgens	w120_d371e6062
um	w123_d371e6066
5.	w125_d371e6071
Uhr	w127_d371e6074
mit	w129_d371e6077
klingendem	w131_d371e6080
Spiel	w133_d371e6083
und	w135_d371e6086
fliegenden	w138_d371e6091
Fahnen	w140_d371e6095
durch	w142_d371e6098
die	w144_d371e6101
neue	w146_d371e6104
Pfort	w148_d371e6108
aus	w150_d371e6111
geruckt,	w153_d371e6115
und	w155_d371e6119
längs	w157_d371e6122
dem	w159_d371e6126
in	w161_d371e6129
2.	w163_d371e6132
Linien	w165_d371e6135
um	w167_d371e6138
die	w170_d371e6143
Citadelle	w172_d371e6147
gezogenen	w174_d371e6150
Französischen	w176_d371e6153
Cor	w178_d371e6156
don	w181_d371e6161
defiliret,	w183_d371e6165
wornach	w185_d371e6168
in	w187_d371e6171
Gegenwart	w189_d371e6174
des	w191_d371e6177
Herrn	w194_d371e6182
von	w196_d371e6186
Armentieres,	w198_d371e6189
und	w200_d371e6192
der	w202_d371e6195
ganzen	w204_d371e6199
Generalität	w207_d371e6203
alles	w209_d371e6207
Schieß=gewehr,	w211_d371e6210
auch	w213_d371e6213
das	w216_d371e6218
Seiten=gewehr	w218_d371e6222
bis	w220_d371e6225
zum	w222_d371e6228
Unteroffi	w224_d371e6231
cier,	w227_d371e6236
wie	w229_d371e6240
ingleichen	w231_d371e6243
die	w233_d371e6246
Spontons	w235_d371e6249
von	w237_d371e6253
de	w239_d371e6256
nen	w242_d371e6260
Officiers	w244_d371e6264
gestreckt	w246_d371e6267
wurden.	w248_d371e6271
Die	w250_d371e6274
Offi	w252_d371e6277
ciers	w255_d371e6281
haben	w257_d371e6285
ihre	w259_d371e6289
eigene	w261_d371e6292
Pferde	w263_d371e6295
behalten,	w265_d371e6298
alle	w268_d371e6302
übrige	w270_d371e6307
aber	w272_d371e6310
solche	w274_d371e6313
zuruck	w276_d371e6316
lassen	w278_d371e6319
müssen.	w280_d371e6322
Gemäß	w283_d371e6327
der	w285_d371e6331
Capitulation	w287_d371e6334
wird	w289_d371e6337
das	w291_d371e6340
auf	w293_d371e6344
der	w295_d371e6347
Citadelle	w298_d371e6351
vorgefundene,	w300_d371e6355
und	w302_d371e6358
Sr.	w304_d371e6362
Chur	w306_d371e6365
fürstl.	w309_d371e6369
Durchl.	w311_d371e6373
zu	w313_d371e6376
Cöln	w315_d371e6380
zuvor	w317_d371e6383
zugehörig	w319_d371e6386
ge	w321_d371e6389
weste	w324_d371e6393
Geschütz	w326_d371e6398
und	w328_d371e6401
andere	w330_d371e6404
Effecten	w332_d371e6407
auch	w334_d371e6410
Höchst=deroselben	w337_d371e6415
verbleiben.	w339_d371e6419
Die	w341_d371e6422
Ord	w343_d371e6425
nung	w346_d371e6429
ist	w348_d371e6434
nun	w350_d371e6437
an	w352_d371e6440
Lippstadt	w354_d371e6443
gekommen,	w356_d371e6446
in	w358_d371e6449
deme	w361_d371e6454
bereits	w363_d371e6458
heut	w365_d371e6461
die	w367_d371e6464
Königl.	w369_d371e6467
Legion	w371_d371e6471
nebst	w373_d371e6474
einem	w376_d371e6478
Zug	w378_d371e6482
Geschützes	w380_d371e6485
dahin	w382_d371e6489
abgegangen;	w384_d371e6492
und	w387_d371e6496
morgen	w389_d371e6500
wird	w391_d371e6503
der	w393_d371e6507
Marquis	w395_d371e6510
von	w397_d371e6513
Armen	w399_d371e6516
tieres	w402_d371e6520
mit	w404_d371e6525
dem	w406_d371e6528
Rest	w408_d371e6531
deren	w410_d371e6534
Regimentern	w412_d371e6537
auch	w414_d371e6540
dahin	w417_d371e6545
folgen.	w419_d371e6549
Die	w421_d371e6552
Kriegs=gefangene	w423_d371e6555
Gar	w425_d371e6558
nison	w428_d371e6563
wird	w430_d371e6567
unter	w432_d371e6570
einer	w434_d371e6573
behörigen	w436_d371e6576
Escorte	w438_d371e6580
auf	w441_d371e6584
Wesel	w443_d371e6588
gebracht	w445_d371e6591
werden,	w447_d371e6594
wo	w449_d371e6598
das	w451_d371e6601
Aus	w453_d371e6604
wechslungs=geschäft	w456_d371e6608
zur	w458_d371e6612
Zeit	w460_d371e6616
betrieben	w462_d371e6619
wer	w464_d371e6622
den	w467_d371e6626
solle.	w469_d371e6630
</p>
<head id="h2_d371e6636">
Dresden	w4_d371e6639
24.	w6_d371e6643
Julii.	w8_d371e6646
</head>
<p id="p4_d371e6649">
Den	w4_d371e6652
16.	w6_d371e6656
dieses	w8_d371e6659
traffe	w10_d371e6662
eine	w12_d371e6665
Anzahl	w14_d371e6669
West	w16_d371e6672
phälischer	w19_d371e6676
Recruten	w21_d371e6680
hier	w23_d371e6683
ein,	w25_d371e6687
welche	w27_d371e6690
ein	w29_d371e6693
quartieret	w32_d371e6697
wurden.	w34_d371e6701
Vorige	w36_d371e6705
Woche	w38_d371e6708
kam	w40_d371e6711
eine	w43_d371e6715
Rede,	w45_d371e6719
als	w47_d371e6723
ob	w49_d371e6726
sich	w51_d371e6729
Oesterreicher	w53_d371e6732
um	w55_d371e6735
Borna	w58_d371e6740
und	w60_d371e6744
da	w62_d371e6747
herum	w64_d371e6750
sehen	w66_d371e6753
liessen,	w68_d371e6756
es	w70_d371e6760
wur	w72_d371e6763
den	w75_d371e6767
</p>
<p id="p8_d371e6773">
den	w4_d371e6776
grüne	w6_d371e6780
Preußische	w8_d371e6783
Hussaren	w10_d371e6786
commandi	w12_d371e6789
ret,	w15_d371e6794
zu	w17_d371e6798
recognosciren,	w19_d371e6801
sie	w21_d371e6804
haben	w23_d371e6807
aber	w25_d371e6811
nichts	w27_d371e6814
Gestern	w30_d371e6818
und	w32_d371e6822
heute	w34_d371e6825
hat	w36_d371e6829
man	w38_d371e6832
schon	w40_d371e6835
gefunden.	w43_d371e6839
einige	w46_d371e6844
100.	w48_d371e6849
Stämme	w50_d371e6852
von	w52_d371e6855
Fichten	w54_d371e6858
und	w56_d371e6861
Tan	w58_d371e6864
nen=holz	w61_d371e6869
durch	w63_d371e6873
die	w65_d371e6876
Bauern	w67_d371e6879
nach	w69_d371e6882
Leipzig	w71_d371e6886
bringen	w74_d371e6890
lassen,	w76_d371e6894
es	w78_d371e6897
werden	w80_d371e6900
neue	w82_d371e6904
Palisaden	w84_d371e6907
gemacht,	w87_d371e6911
und	w89_d371e6915
die	w91_d371e6918
Festungs=werke	w93_d371e6922
damit	w95_d371e6925
deubliret.	w98_d371e6929
Dieselbe	w100_d371e6933
werden	w102_d371e6936
von	w104_d371e6940
der	w106_d371e6943
Mo	w108_d371e6946
ttzebastey	w111_d371e6950
an,	w113_d371e6954
bis	w115_d371e6958
nach	w117_d371e6961
dem	w119_d371e6964
Hallischen	w121_d371e6967
Thore	w124_d371e6971
zu,	w126_d371e6976
(nämlich	w128_d371e6979
so	w130_d371e6982
weit	w132_d371e6985
kein	w134_d371e6988
Wasser	w136_d371e6991
im	w138_d371e6995
Graben)	w141_d371e6999
unten	w143_d371e7003
am	w145_d371e7006
Fuß	w147_d371e7009
derer	w149_d371e7013
Wälle,	w151_d371e7016
wo	w153_d371e7019
die	w156_d371e7023
Maul=beer=plantage	w158_d371e7027
befindlich,	w160_d371e7031
eingese	w162_d371e7034
tzet,	w165_d371e7038
man	w167_d371e7042
stecket	w169_d371e7045
dieselben	w171_d371e7049
schief,	w173_d371e7052
nämlich,	w175_d371e7055
daß	w178_d371e7059
die	w180_d371e7063
Spitze	w182_d371e7067
nach	w184_d371e7070
der	w186_d371e7073
Vorstadt	w188_d371e7076
zu	w190_d371e7079
rei	w192_d371e7082
chen.	w195_d371e7087
Den	w197_d371e7091
18.	w199_d371e7094
dieses	w201_d371e7097
gieng	w203_d371e7100
auch	w205_d371e7104
wieder	w207_d371e7107
ein	w210_d371e7111
Commando	w212_d371e7115
grüne	w214_d371e7118
Hussaren	w216_d371e7122
fort,	w218_d371e7125
denen	w220_d371e7128
folgte	w223_d371e7132
ein	w225_d371e7136
anderes	w227_d371e7140
von	w229_d371e7143
50.	w231_d371e7146
Mann	w233_d371e7149
Plotho	w235_d371e7152
ische	w238_d371e7157
Musquetiers,	w240_d371e7161
und	w242_d371e7164
100.	w244_d371e7167
Mann	w246_d371e7170
Sal	w248_d371e7173
muthische	w251_d371e7178
Füsiliers,	w253_d371e7182
also	w255_d371e7185
zusammen	w257_d371e7188
150.	w259_d371e7191
Mann,	w262_d371e7196
nebst	w264_d371e7200
einer	w266_d371e7203
Canone;	w268_d371e7206
man	w270_d371e7209
sagt,	w272_d371e7213
sie	w274_d371e7216
giengen	w277_d371e7220
nach	w279_d371e7224
Halle.	w281_d371e7227
Der	w283_d371e7231
Prinz	w285_d371e7234
Heinrich	w287_d371e7237
stehet	w290_d371e7241
mit	w292_d371e7245
9.	w294_d371e7249
Regimentern,	w296_d371e7252
so	w298_d371e7255
letzthin	w300_d371e7258
durch	w302_d371e7261
Dresden	w305_d371e7266
marschiret,	w307_d371e7270
in	w309_d371e7273
der	w311_d371e7276
Ober=lausitz,	w313_d371e7279
Der	w316_d371e7284
Obriste	w318_d371e7288
Wunsch	w320_d371e7291
ist	w322_d371e7294
mit	w324_d371e7297
dem	w326_d371e7300
Freyba	w328_d371e7304
taillon	w331_d371e7308
aus	w333_d371e7312
dem	w335_d371e7315
Gebürge	w337_d371e7318
weg	w339_d371e7322
und	w341_d371e7325
nach	w343_d371e7328
Dresden	w346_d371e7332
marschiret.	w348_d371e7336
Jn	w350_d371e7340
Leipzig	w352_d371e7343
sind	w354_d371e7346
per	w356_d371e7349
Compagnie	w359_d371e7353
einige	w361_d371e7358
Mann	w363_d371e7361
ausgehoben	w365_d371e7364
wor	w367_d371e7367
den,	w370_d371e7371
so	w372_d371e7376
Grenadiers	w374_d371e7379
abgeben	w376_d371e7382
solten,	w378_d371e7385
diese	w380_d371e7388
sind	w383_d371e7393
heute	w385_d371e7397
Morgen	w387_d371e7400
mit	w389_d371e7403
Bedeckung	w391_d371e7406
und	w393_d371e7409
2.	w395_d371e7413
Canonen	w398_d371e7417
von	w400_d371e7421
hier	w402_d371e7424
weggebracht	w404_d371e7427
worden.	w406_d371e7431
Das	w408_d371e7434
Wünschische	w411_d371e7438
Frey=bataillon	w413_d371e7442
soll	w415_d371e7445
nunmehro	w417_d371e7449
zu	w420_d371e7453
einem	w422_d371e7457
Feld=regiment	w424_d371e7460
gemacht	w426_d371e7463
werden.	w428_d371e7467
</p>
<p id="p10_d371e7470">
Den	w4_d371e7473
19.	w6_d371e7477
Julii	w8_d371e7480
ist	w10_d371e7483
wegen	w12_d371e7486
Jhrer	w14_d371e7490
Königl.	w16_d371e7493
Hoheit,	w19_d371e7497
der	w21_d371e7501
Chur=prinzeßin	w23_d371e7504
hohen	w25_d371e7508
Geburts	w27_d371e7511
tag,	w30_d371e7515
an	w32_d371e7519
welchem	w34_d371e7522
Höchst=dieselbe	w36_d371e7526
das	w38_d371e7529
35.	w40_d371e7532
Jahr	w43_d371e7536
in	w45_d371e7540
erwünschter	w47_d371e7544
Gesundheit	w49_d371e7547
zurück	w51_d371e7550
ge	w53_d371e7553
leget,	w56_d371e7557
grosse	w58_d371e7562
Gala	w60_d371e7565
gewesen.	w62_d371e7568
Da	w64_d371e7571
dann	w66_d371e7574
Vormittags	w69_d371e7579
Cour,	w71_d371e7583
und	w73_d371e7586
Nachmittags	w75_d371e7589
um	w77_d371e7592
d.	w80_d371e7597
Uhr	w82_d371e7601
im	w84_d371e7604
grossen	w86_d371e7607
Garten	w88_d371e7610
Assemblee	w90_d371e7613
war,	w92_d371e7617
und	w95_d371e7621
von	w97_d371e7625
10.	w99_d371e7628
bis	w101_d371e7631
12.	w103_d371e7635
Uhr,	w105_d371e7638
wurde	w107_d371e7641
im	w109_d371e7644
Zwin	w111_d371e7647
der	w114_d371e7652
auf	w116_d371e7656
einem	w118_d371e7659
Salon,	w120_d371e7662
bey	w122_d371e7665
einem	w124_d371e7668
Concert,	w126_d371e7672
Pupiret,	w129_d371e7676
und	w131_d371e7680
par	w133_d371e7683
terre	w135_d371e7686
war	w137_d371e7690
die	w139_d371e7693
dahin	w141_d371e7696
ge	w143_d371e7699
</p>
<p id="p12_d371e7703">
brachte	w4_d371e7706
Orangerie	w6_d371e7710
illuminiret.	w8_d371e7713
Es	w10_d371e7716
haben	w12_d371e7719
auch	w15_d371e7724
Se.	w17_d371e7728
Königl.	w19_d371e7731
Hoheit,	w21_d371e7734
der	w23_d371e7737
Prinz	w25_d371e7741
Hein	w27_d371e7744
rich	w30_d371e7748
von	w32_d371e7752
Preussen,	w34_d371e7755
