<doc id="wr_1759-09-01" attrs="word" year="1759" month="09" day="01" corpus="2">
<head id="h2_d378e3575">
Düsseldorf	w1_d378e3579
und	w3_d378e3918
Münden	w5_d378e3921
begriffen	w7_d378e3924
geweste	w9_d378e3927
Fran	w11_d378e3930
zösische	w1_d378e3935
Corps,	w3_d378e3938
hat	w5_d378e3941
sich	w7_d378e3944
nicht	w9_d378e3947
nach	w11_d378e3950
Cassel,	w13_d378e3954
sondern	w1_d378e3959
nach	w3_d378e3962
Witzenhausen	w5_d378e3965
begeben,	w7_d378e3968
ohne	w9_d378e3971
daß	w1_d378e3976
man	w3_d378e3979
weiß,	w5_d378e3982
was	w7_d378e3985
es	w9_d378e3988
weiter	w11_d378e3991
für	w13_d378e3995
eine	w15_d378e3998
Postion	w1_d378e4004
nehmen	w3_d378e4007
werde.	w5_d378e4010
</p>
<p id="p6_d378e4013">
Jn	w1_d378e4017
denen	w3_d378e4020
Berichten	w5_d378e4023
aus	w7_d378e4026
Göttingen	w9_d378e4029
vom	w11_d378e4032
12.	w1_d378e4037
rühmet	w3_d378e4040
man	w5_d378e4043
vornämlich	w7_d378e4046
die	w9_d378e4049
Conduite	w11_d378e4052
deren	w1_d378e4057
Französischen	w3_d378e4060
Officiers,	w5_d378e4063
welche	w7_d378e4066
sich	w9_d378e4069
alle	w1_d378e4075
Mühe	w3_d378e4078
gaben,	w5_d378e4081
beym	w7_d378e4084
Abzug	w9_d378e4087
den	w11_d378e4090
ge	w13_d378e4094
meinen	w1_d378e4099
Mann	w3_d378e4102
in	w5_d378e4105
Ordnung	w7_d378e4108
zu	w9_d378e4111
erhalten,	w11_d378e4114
so	w13_d378e4118
daß	w1_d378e4123
keinem	w3_d378e4126
Burger	w5_d378e4129
nicht	w7_d378e4132
das	w9_d378e4135
geringste	w11_d378e4138
Leid	w13_d378e4142
wiederfahren.	w1_d378e4147
Die	w3_d378e4150
in	w5_d378e4153
der	w7_d378e4156
Bataille	w9_d378e4159
am	w11_d378e4162
1.	w13_d378e4166
gemachte	w1_d378e4172
Kriegs=gefangene	w3_d378e4175
werden	w5_d378e4178
grö	w7_d378e4181
sten	w1_d378e4186
Theils	w3_d378e4189
nach	w5_d378e4192
Zell	w7_d378e4195
gebracht,	w9_d378e4198
die	w11_d378e4201
Anzahl	w13_d378e4205
derenselben	w1_d378e4210
aber	w3_d378e4213
wird	w5_d378e4216
in	w7_d378e4219
diesen	w9_d378e4222
Berichten	w11_d378e4225
nicht	w1_d378e4230
angegeben.	w3_d378e4233
Das	w5_d378e4236
Gerüchte,	w7_d378e4239
welches	w9_d378e4242
bisher	w1_d378e4248
verbreitet	w3_d378e4251
worden,	w5_d378e4254
als	w7_d378e4257
ob	w9_d378e4260
die	w11_d378e4263
Fran	w13_d378e4267
zösische	w1_d378e4272
Trupen	w3_d378e4275
bey	w5_d378e4278
ihrem	w7_d378e4281
Abmarsch	w9_d378e4284
von	w11_d378e4287
Einbeck	w1_d378e4292
die	w3_d378e4295
Thöre	w5_d378e4298
in	w7_d378e4301
Brand	w9_d378e4304
gesteckt	w11_d378e4307
hät	w13_d378e4311
ten,	w1_d378e4316
um	w3_d378e4319
dadurch	w5_d378e4322
die	w7_d378e4325
Alliirte	w9_d378e4328
vom	w11_d378e4331
Nachse	w13_d378e4335
tzen	w1_d378e4341
abzuhalten,	w3_d378e4344
ist	w5_d378e4347
gänzlich	w7_d378e4350
ungegründet,	w9_d378e4353
man	w1_d378e4358
rühmet	w3_d378e4361
viel	w5_d378e4364
mehr	w7_d378e4367
die	w9_d378e4370
beobachtete	w11_d378e4373
Maiis	w13_d378e4377
zucht	w1_d378e4382
und	w3_d378e4385
Ordnung	w5_d378e4388
derselben,	w7_d378e4391
und	w9_d378e4394
nur	w11_d378e4397
dar	w13_d378e4401
über	w1_d378e4406
beklagt	w3_d378e4409
man	w5_d378e4412
sich,	w7_d378e4415
daß	w9_d378e4418
bey	w11_d378e4421
dem	w13_d378e4425
bestän	w15_d378e4428
digen	w1_d378e4434
hin	w3_d378e4437
und	w5_d378e4440
hermarschiren	w7_d378e4443
deren	w9_d378e4446
Trupen,	w11_d378e4449
</p>
<p id="p12_d378e4463">
die	w1_d378e4467
Feld=früchte	w3_d378e4470
einiger=massen	w5_d378e4473
Schaden	w7_d378e4476
gelitten.	w1_d378e4481
</p>
<head id="h2_d378e4487">
Petersburg	w1_d378e4491
29.	w3_d378e4494
Julii.	w5_d378e4497
</head>
<p id="p4_d378e4500">
Die	w1_d378e4504
Officiers	w3_d378e4507
von	w5_d378e4510
der	w7_d378e4513
Flotte	w9_d378e4516
haben	w11_d378e4519
un	w13_d378e4523
vermutet	w1_d378e4528
den	w3_d378e4531
Befehl	w5_d378e4534
empfangen,	w7_d378e4537
sich	w9_d378e4540
un	w11_d378e4543
mittelbar	w1_d378e4548
von	w3_d378e4551
hier	w5_d378e4554
an	w7_d378e4557
Bord	w9_d378e4560
der	w11_d378e4563
Schiffe	w13_d378e4567
nach	w1_d378e4573
Cronstadt	w3_d378e4576
zu	w5_d378e4579
begeben.	w7_d378e4582
Es	w9_d378e4585
sollen	w11_d378e4588
nur	w13_d378e4592
einige	w1_d378e4597
derenselben	w3_d378e4600
auslauffen.	w5_d378e4603
Ungefähr	w7_d378e4606
2000.	w1_d378e4611
Mann	w3_d378e4614
sollen	w5_d378e4617
auf	w7_d378e4620
diesen	w9_d378e4623
Schiffen	w11_d378e4626
ab	w13_d378e4630
gehen,	w1_d378e4635
welche	w3_d378e4638
für	w5_d378e4641
das	w7_d378e4644
Schuwalowische	w9_d378e4647
Operations=corps	w1_d378e4653
bestimmet,	w3_d378e4656
und	w5_d378e4659
die	w7_d378e4662
zu	w9_d378e4665
Wasser	w1_d378e4670
mit	w3_d378e4673
Fahr=zeugen	w5_d378e4676
von	w7_d378e4679
Novogrod	w9_d378e4682
hier	w11_d378e4685
angekommen	w1_d378e4690
seynd.	w3_d378e4693
Sie	w5_d378e4696
werden	w7_d378e4699
zu	w9_d378e4702
Kö	w11_d378e4705
nigsberg,	w1_d378e4710
oder	w3_d378e4713
wo	w5_d378e4716
es	w7_d378e4719
am	w9_d378e4722
bequemsten	w11_d378e4725
ist,	w13_d378e4729
aus	w1_d378e4735
Land	w3_d378e4738
tretten,	w5_d378e4741
um	w7_d378e4744
sich	w9_d378e4747
zur	w11_d378e4750
Armee	w13_d378e4754
zu	w15_d378e4757
verfügen.	w1_d378e4762
Einige	w3_d378e4765
sind	w5_d378e4768
der	w7_d378e4771
Meinung,	w9_d378e4774
daß	w11_d378e4777
diese	w1_d378e4782
Trupen	w3_d378e4785
nach	w5_d378e4788
Stralsund	w7_d378e4791
zur	w9_d378e4794
Vereini	w11_d378e4797
gung	w1_d378e4802
mit	w3_d378e4805
der	w5_d378e4808
Schwedischen	w7_d378e4811
Armee	w9_d378e4814
eigent	w11_d378e4817
lich	w1_d378e4823
gewiedmet	w3_d378e4826
seye.	w5_d378e4829
</p>
<head id="h2_d378e4835">
Meissen	w1_d378e4839
21.	w3_d378e4842
Augusti.	w5_d378e4845
</head>
<p id="p4_d378e4848">
Die	w1_d378e4852
in	w3_d378e4855
hiesiger	w5_d378e4858
Gegend	w7_d378e4861
stehende	w9_d378e4864
Kaiserl.	w11_d378e4867
Königl.	w1_d378e4872
Trupen	w3_d378e4875
haben	w5_d378e4878
alle	w7_d378e4881
Ab	w9_d378e4884
und	w11_d378e4887
Zu	w13_d378e4891
gänge	w1_d378e4896
besetzet.	w3_d378e4899
Sie	w5_d378e4902
breiten	w7_d378e4905
sich	w9_d378e4908
von	w11_d378e4911
hier	w13_d378e4915
bis	w1_d378e4921
Pirna	w3_d378e4924
aus,	w5_d378e4927
und	w7_d378e4930
streiffen	w9_d378e4933
zuweilen	w11_d378e4936
bis	w13_d378e4940
auf	w1_d378e4945
die	w3_d378e4948
Friedrichs=stadt.	w5_d378e4951
Die	w7_d378e4954
Stadt	w9_d378e4957
Halle	w11_d378e4960
ist	w1_d378e4965
noch	w3_d378e4968
immer	w5_d378e4971
von	w7_d378e4974
einem	w9_d378e4977
Corps	w11_d378e4980
Kaiserl.	w13_d378e4984
Königl.	w1_d378e4989
Trupen	w3_d378e4992
besetzet,	w5_d378e4995
auch	w7_d378e4998
ein	w9_d378e5001
ziemli	w11_d378e5004
cher	w1_d378e5010
Vorrat	w3_d378e5013
von	w5_d378e5016
Salz	w7_d378e5019
von	w9_d378e5022
da	w11_d378e5025
nach	w13_d378e5029
Naum	w15_d378e5032
burg	w1_d378e5037
abgeführet	w3_d378e5040
worden.	w5_d378e5043
Die	w7_d378e5046
schwere	w9_d378e5049
Ar	w11_d378e5052
tillerie	w1_d378e5057
der	w3_d378e5060
Reichs=armee	w5_d378e5063
hat	w7_d378e5066
man	w9_d378e5069
von	w11_d378e5072
Saalfeld	w1_d378e5077
nach	w3_d378e5080
Leipzig	w5_d378e5083
gebracht.	w7_d378e5086
Denen	w9_d378e5089
Kaiserl.	w1_d378e5095
Königl.	w3_d378e5098
Reichsexecutionstru	w5_d378e5101
pen,	w1_d378e5106
so	w3_d378e5109
in	w5_d378e5112
Schmalkalden	w7_d378e5115
ligen,	w9_d378e5118
sind	w11_d378e5121
seit	w13_d378e5125
den	w1_d378e5130
12.	w3_d378e5133
etliche	w5_d378e5136
1000.	w7_d378e5139
Thaler	w9_d378e5142
bezahlet	w11_d378e5145
wor	w13_d378e5149
den.	w1_d378e5154
</p>
<head id="h2_d378e5160">
Dresden	w1_d378e5164
13.	w3_d378e5167
Augusti.	w5_d378e5170
</head>
<p id="p4_d378e5173">
Vor	w1_d378e5177
etlichen	w3_d378e5180
Tagen	w5_d378e5183
ist	w7_d378e5186
ein	w9_d378e5189
Corps	w11_d378e5192
Oe	w13_d378e5196
sterreichischer	w1_d378e5201
Trupen	w3_d378e5204
von	w5_d378e5207
6000.	w7_d378e5210
Mann	w9_d378e5213
bey	w11_d378e5216
Königstein	w1_d378e5221
über	w3_d378e5224
eine	w5_d378e5227
allda	w7_d378e5230
geschlagene	w9_d378e5233
Schif	w11_d378e5236
brücke	w1_d378e5242
die	w3_d378e5245
Elbe	w5_d378e5248
paßiret,	w7_d378e5251
und	w9_d378e5254
hat	w11_d378e5257
bey	w13_d378e5261
Pir	w15_d378e5264
na	w1_d378e5269
ein	w3_d378e5272
Campement	w5_d378e5275
aufgeschlagen,	w7_d378e5278
für	w9_d378e5281
wel	w11_d378e5284
che	w1_d378e5289
von	w3_d378e5292
dortigen	w5_d378e5295
Dorfschaften	w7_d378e5298
die	w9_d378e5301
Lieferun	w11_d378e5304
</p>
<p id="p6_d378e5307">
gen	w1_d378e5311
an	w3_d378e5314
Proviank	w5_d378e5317
und	w7_d378e5320
Fourage,	w9_d378e5323
jedoch	w11_d378e5326
ge	w13_d378e5330
gen	w1_d378e5335
Bezahlung	w3_d378e5338
geschehen	w5_d378e5341
müssen;	w7_d378e5344
zu	w9_d378e5347
was	w11_d378e5350
Ende	w1_d378e5355
aber	w3_d378e5358
diese	w5_d378e5361
Annäherung	w7_d378e5364
geschehen	w9_d378e5367
ist,	w11_d378e5370
da	w1_d378e5376
bekannter=massen	w3_d378e5379
keine	w5_d378e5382
Preußische	w7_d378e5385
Tru	w9_d378e5388
pen	w1_d378e5393
in	w3_d378e5396
hiesiger	w5_d378e5399
Gegend	w7_d378e5402
sich	w9_d378e5405
befinden,	w11_d378e5408
ist	w13_d378e5412
unbekannt.	w1_d378e5417
Jndessen	w1_d378e5422
scheinet	w3_d378e5425
diese	w5_d378e5428
Anru	w7_d378e5431
ckung	w1_d378e5437
Anlaß	w3_d378e5440
gegeben	w5_d378e5443
zu	w7_d378e5446
haben,	w9_d378e5449
daß	w11_d378e5452
das	w13_d378e5456
Wilsdruffer=thor	w1_d378e5461
nunmehro	w3_d378e5464
auch	w5_d378e5467
gesperret,	w7_d378e5470
und	w1_d378e5475
stark	w3_d378e5478
verwahret,	w5_d378e5481
jedoch	w7_d378e5484
die	w9_d378e5487
Pforte	w11_d378e5490
für	w13_d378e5494
die	w1_d378e5499
Fuß=gänger	w3_d378e5502
offen	w5_d378e5505
gelassen	w7_d378e5508
worden.	w9_d378e5511
</p>
<head id="h2_d378e5518">
Marseille	w1_d378e5522
6.	w3_d378e5525
Augusti.	w5_d378e5528
</head>
<p id="p4_d378e5531">
Gestern	w1_d378e5535
früh	w3_d378e5538
ist	w5_d378e5541
die	w7_d378e5544
Flotte	w9_d378e5547
des	w11_d378e5550
Herrn	w13_d378e5554
de	w15_d378e5557
la	w1_d378e5562
Clüe	w3_d378e5565
aus	w5_d378e5568
dem	w7_d378e5571
Hafen	w9_d378e5574
von	w11_d378e5577
Toulon	w13_d378e5581
aus	w15_d378e5584
geloffen.	w1_d378e5589
Es	w3_d378e5592
bestehet	w5_d378e5595
dieselbe	w7_d378e5598
aus	w9_d378e5601
12.	w11_d378e5604
Kriegs=schiffen,	w1_d378e5610
und	w3_d378e5613
4.	w5_d378e5616
Fregatten.	w7_d378e5619
Da	w9_d378e5622
die	w11_d378e5625
ser	w1_d378e5630
Chef	w3_d378e5633
d'Escadre	w5_d378e5636
ihre	w7_d378e5639
Verhaltungsbe	w9_d378e5642
fehle	w1_d378e5647
erst	w3_d378e5650
auf	w5_d378e5653
einer	w7_d378e5656
gewissen	w9_d378e5659
Anhöhe	w11_d378e5662
eröf	w13_d378e5666
nen	w1_d378e5671
soll,	w3_d378e5674
so	w5_d378e5677
ist	w7_d378e5680
ihre	w9_d378e5683
Bestimmung	w11_d378e5686
noch	w13_d378e5690
un	w15_d378e5693
bekannt,	w1_d378e5699
und	w3_d378e5702
wird	w5_d378e5705
darüber	w7_d378e5708
verschiedenes	w9_d378e5711
gemutmasset.	w1_d378e5716
Drey	w3_d378e5719
Stunde	w5_d378e5722
nach	w7_d378e5725
dem	w9_d378e5728
Auslauffen	w1_d378e5733
ist	w3_d378e5736
diese	w5_d378e5739
Flotte	w7_d378e5742
von	w9_d378e5745
einem	w11_d378e5748
wi	w13_d378e5752
drigen	w1_d378e5757
Winde	w3_d378e5760
überfallen	w5_d378e5763
worden,	w7_d378e5766
wodurch	w9_d378e5769
sie	w1_d378e5775
sich	w3_d378e5778
genöhtiget	w5_d378e5781
gesehen,	w7_d378e5784
wiederum	w9_d378e5787
auf	w11_d378e5790
unsern	w1_d378e5795
Küsten	w3_d378e5798
zu	w5_d378e5801
landen.	w7_d378e5804
Ubrigens	w9_d378e5807
will	w11_d378e5810
man	w1_d378e5815
versichern,	w3_d378e5818
daß	w5_d378e5821
die	w7_d378e5824
Engländische	w9_d378e5827
Flot	w11_d378e5830
te,	w1_d378e5835
nachdem	w3_d378e5838
sie	w5_d378e5841
sich	w7_d378e5844
zu	w9_d378e5847
Gibraltar	w11_d378e5850
mit	w13_d378e5854
der	w15_d378e5857
aus	w1_d378e5863
England	w3_d378e5866
angelangten	w5_d378e5869
Verstärkung	w7_d378e5872
ver	w9_d378e5875
einiget,	w1_d378e5880
von	w3_d378e5883
neuem	w5_d378e5886
zwischen	w7_d378e5889
Carthagena	w9_d378e5892
und	w1_d378e5897
Malaga	w3_d378e5900
kreutze,	w5_d378e5903
um	w7_d378e5906
daselbst	w9_d378e5909
unsere	w11_d378e5912
Flotte	w1_d378e5917
zu	w3_d378e5920
erwarten.	w5_d378e5923
</p>
<head id="h2_d378e5929">
Hellenberg	w1_d378e5933
8.	w3_d378e5936
Augusti.	w5_d378e5939
</head>
<p id="p4_d378e5942">
Die	w1_d378e5946
wegen	w3_d378e5949
des	w5_d378e5952
Pferd=handels	w7_d378e5955
wolbe	w9_d378e5958
kannte	w1_d378e5963
Stadt	w3_d378e5966
Winterberg,	w5_d378e5969
die	w7_d378e5972
ungefähr	w9_d378e5975
aus	w1_d378e5980
220.	w3_d378e5983
Häusern	w5_d378e5986
bestund,	w7_d378e5989
ist	w9_d378e5992
am	w11_d378e5995
31.	w13_d378e5999
Julii	w1_d378e6005
durch	w3_d378e6008
eine	w5_d378e6011
heftige	w7_d378e6014
Feuers=brunst,	w9_d378e6017
die	w11_d378e6020
nur	w1_d378e6025
2.	w3_d378e6028
Stunden	w5_d378e6031
gedauret,	w7_d378e6034
gänzlich	w9_d378e6037
in	w11_d378e6040
die	w13_d378e6044
Asche	w1_d378e6049
geleget	w3_d378e6052
worden.	w5_d378e6055
Die	w7_d378e6058
Frau	w9_d378e6061
des	w11_d378e6064
Hau	w13_d378e6068
ses,	w1_d378e6073
wo	w3_d378e6076
das	w5_d378e6079
Feuer	w7_d378e6082
ausbrach,	w9_d378e6085
davon	w11_d378e6088
man	w13_d378e6092
noch	w1_d378e6098
keine	w3_d378e6101
Ursach	w5_d378e6104
findet,	w7_d378e6107
flüchtete	w9_d378e6110
sich	w11_d378e6113
in	w13_d378e6117
die	w1_d378e6122
Kirche,	w3_d378e6125
wo	w5_d378e6128
sie	w7_d378e6131
aber	w9_d378e6134
nebst	w11_d378e6137
vielen	w13_d378e6141
andern	w15_d378e6144
Personen	w1_d378e6149
verbraunte.	w3_d378e6152
Man	w5_d378e6155
vermisset	w7_d378e6158
auch	w9_d378e6161
viele	w1_d378e6166
Kinder.	w3_d378e6169
</p>
<head id="h4_d378e6185">
Stralsund	w1_d378e6189
14.	w3_d378e6192
Aug.	w5_d378e6195
</head>
<p id="p6_d378e6198">
Die	w1_d378e6202
Königl.	w3_d378e6205
Schwedische	w5_d378e6208
Armee,	w7_d378e6211
welche	w9_d378e6214
lisher	w1_d378e6219
theils	w3_d378e6222
in	w5_d378e6225
der	w7_d378e6228
Gegend	w9_d378e6231
dieser	w11_d378e6234
Stadt,	w13_d378e6238
theils	w1_d378e6243
auf	w3_d378e6246
der	w5_d378e6249
Jnsel	w7_d378e6252
Rügen	w9_d378e6255
cantonirte,	w11_d378e6258
ist	w13_d378e6262
aufgebrochen,	w1_d378e6268
und	w3_d378e6271
rucket	w5_d378e6274
in	w7_d378e6277
das	w9_d378e6280
von	w11_d378e6283
Loitz	w13_d378e6287
abgestochene	w1_d378e6292
Lager.	w3_d378e6295
Die	w5_d378e6298
Galeeren	w7_d378e6301
sind	w9_d378e6304
mit	w1_d378e6309
2.	w3_d378e6312
Regimentern	w5_d378e6315
von	w7_d378e6318
hier	w9_d378e6321
nach	w11_d378e6324
der	w13_d378e6328
Jn	w15_d378e6331
sul	w1_d378e6336
Usedom	w3_d378e6339
abgeseegelt.	w5_d378e6342
Der	w7_d378e6345
Preußische	w9_d378e6348
General	w1_d378e6354
von	w3_d378e6357
Kleist,	w5_d378e6360
stehet	w7_d378e6363
noch	w9_d378e6366
mit	w11_d378e6369
seinem	w13_d378e6373
Corps	w1_d378e6378
zu	w3_d378e6381
Demmin,	w5_d378e6384
und	w7_d378e6387
macht	w9_d378e6390
alle	w11_d378e6393
Anstal	w13_d378e6397
ten	w1_d378e6402
denen	w3_d378e6405
Bewegungen	w5_d378e6408
der	w7_d378e6411
Schwedischen	w9_d378e6414
Armee	w1_d378e6419
sich	w3_d378e6422
entgegen	w5_d378e6425
zu	w7_d378e6428
setzen.	w9_d378e6431
</p>
<head id="h2_d378e6437">
Königsberg	w1_d378e6441
13.	w3_d378e6444
Aug.	w5_d378e6447
</head>
<p id="p4_d378e6450">
Diese	w1_d378e6454
Stadt	w3_d378e6457
ist	w5_d378e6460
den	w7_d378e6463
7ten	w9_d378e6466
dieses	w11_d378e6469
in	w13_d378e6473
kein	w15_d378e6476
geringes	w1_d378e6481
Vergnügen	w3_d378e6484
gesetzet	w5_d378e6487
worden.	w7_d378e6490
Se.	w9_d378e6493
Excellenz	w1_d378e6498
der	w3_d378e6501
Herr	w5_d378e6504
Gouverneur	w7_d378e6507
von	w9_d378e6510
Korf	w11_d378e6513
liessen	w1_d378e6519
ein	w3_d378e6522
aller=gnädigstes	w5_d378e6525
Kaiserl.	w7_d378e6528
Rescript	w9_d378e6531
publiciren,	w1_d378e6536
dessen	w3_d378e6539
Jnhalt	w5_d378e6542
zufolge	w7_d378e6545
die	w9_d378e6548
Mo	w11_d378e6551
narchin	w1_d378e6556
Rußlands	w3_d378e6559
die	w5_d378e6562
Gnade	w7_d378e6565
gehabt,	w9_d378e6568
von	w11_d378e6571
dem	w1_d378e6576
2ten	w3_d378e6579
Termin	w5_d378e6582
der	w7_d378e6585
auferlegten	w9_d378e6588
Contribu	w11_d378e6591
ton	w1_d378e6597
eine	w3_d378e6600
ansehnliche	w5_d378e6603
Summe	w7_d378e6606
zu	w9_d378e6609
erlassen.	w11_d378e6612
</p>
<p id="p6_d378e6615">
Was	w1_d378e6619
auf	w3_d378e6622
Rußisch=Kaiserl.	w5_d378e6625
Seite	w7_d378e6628
in	w9_d378e6631
der	w11_d378e6634
den	w1_d378e6639
23.	w3_d378e6642
Julii	w5_d378e6645
bey	w7_d378e6648
Züllichau	w9_d378e6651
vorgefällenen	w11_d378e6654
Dattaille	w1_d378e6659
geblieben,	w3_d378e6662
davon	w5_d378e6665
siehet	w7_d378e6668
man	w9_d378e6671
alhier	w11_d378e6674
folgendes	w1_d378e6680
Verzeichnuß:	w3_d378e6683
Unter	w5_d378e6686
denen	w7_d378e6689
Todten	w9_d378e6692
zehlet	w1_d378e6697
man	w3_d378e6700
den	w5_d378e6703
Herrn	w7_d378e6706
General=leutenant	w9_d378e6709
von	w11_d378e6712
Demikow,	w1_d378e6717
2.	w3_d378e6720
Stabs=officiers,	w5_d378e6723
2.	w7_d378e6726
Capitans,	w9_d378e6729
2.	w1_d378e6734
Subalterne	w3_d378e6737
Officiers,	w5_d378e6740
11.	w7_d378e6743
Unteroffi	w9_d378e6746
kiers,	w1_d378e6752
und	w3_d378e6755
878.	w5_d378e6758
Gemeine.	w7_d378e6761
Bleßiret	w9_d378e6764
sind:	w11_d378e6767
Der	w1_d378e6772
General	w3_d378e6775
Barasdin,	w5_d378e6778
der	w7_d378e6781
Brigadier	w9_d378e6784
Elt	w11_d378e6787
schaninof,	w1_d378e6792
4.	w3_d378e6795
Obriste,	w5_d378e6798
4.	w7_d378e6801
Obrist=leutenants,	w9_d378e6804
d.	w1_d378e6809
Majors,	w3_d378e6812
36.	w5_d378e6815
Ritt=meistere	w7_d378e6818
und	w9_d378e6821
Capi	w11_d378e6824
tans,	w1_d378e6830
32.	w3_d378e6833
Leutenants,	w5_d378e6836
69.	w7_d378e6839
Secondleute	w9_d378e6842
nants	w1_d378e6847
und	w3_d378e6850
Fähurichs,	w5_d378e6853
und	w7_d378e6856
3744.	w9_d378e6859
Unter	w11_d378e6862
ofseclers,	w1_d378e6867
und	w3_d378e6870
Gemeine.	w5_d378e6873
An	w7_d378e6876
Preußischen	w9_d378e6879
Ariegs=gefangenen	w1_d378e6884
zehlt	w3_d378e6887
man	w5_d378e6890
1605.	w7_d378e6893
Mann.	w9_d378e6896
es	w1_d378e6902
sind	w3_d378e6905
ferner	w5_d378e6908
4.	w7_d378e6911
Fahnen,	w9_d378e6914
3.	w11_d378e6917
Standarten,	w13_d378e6921
und	w1_d378e6926
14.	w3_d378e6929
Canonen	w5_d378e6932
erbeutet	w7_d378e6935
worden.	w9_d378e6938
Auf	w11_d378e6941
dem	w1_d378e6946
Schlacht=feld	w3_d378e6949
hat	w5_d378e6952
man	w7_d378e6955
4220.	w9_d378e6958
Preus	w11_d378e6961
sen	w1_d378e6966
begraben,	w3_d378e6969
man	w5_d378e6972
fand	w7_d378e6975
auch	w9_d378e6978
eine	w11_d378e6981
grosse	w13_d378e6985
Menge	w1_d378e6991
Trommeln,	w3_d378e6994
Flinten	w5_d378e6997
rc.	w7_d378e7000
rc.	w9_d378e7003
auf	w11_d378e7006
dem	w13_d378e7010
Wahl=platz.	w1_d378e7015
und	w3_d378e7018
bey	w5_d378e7021
der	w7_d378e7024
Retirade	w9_d378e7027
ist	w11_d378e7030
ein	w13_d378e7034
Koser	w1_d378e7039
Theil	w3_d378e7042
der	w5_d378e7045
Bagage	w7_d378e7048
von	w9_d378e7051
dem	w11_d378e7054
Herrn	w13_d378e7058
</p>
<p id="p8_d378e7061">
General=major	w1_d378e7065
von	w3_d378e7068
Tottleben	w5_d378e7071
verbrannt	w7_d378e7074
worden.	w1_d378e7079
</p>
<head id="h2_d378e7085">
Cöln	w1_d378e7089
14.	w3_d378e7092
Aug.	w5_d378e7095
</head>
<p id="p4_d378e7098">
Das	w1_d378e7102
Hanövrische	w3_d378e7105
Corps,	w5_d378e7108
welches	w7_d378e7111
den	w9_d378e7114
10ten	w1_d378e7119
dieses	w3_d378e7122
vor	w5_d378e7125
Münster	w7_d378e7128
erschienen,	w9_d378e7131
allein	w11_d378e7134
bereits	w1_d378e7139
den	w3_d378e7142
12ten	w5_d378e7145
wieder	w7_d378e7148
abgezogen,	w9_d378e7151
wurde	w11_d378e7154
von	w1_d378e7160
dem	w3_d378e7163
Engländischen	w5_d378e7166
Obristen	w7_d378e7169
von	w9_d378e7172
Penz	w11_d378e7175
angeführet.	w1_d378e7180
Es	w3_d378e7183
kam	w5_d378e7186
dasselbe	w7_d378e7189
von	w9_d378e7192
Telligt,	w11_d378e7195
und	w1_d378e7200
näherte	w3_d378e7203
