<doc id="wr_1757-01-15" attrs="word" year="1757" month="01" day="15" corpus="2">
<head id="h2_d109e3306">
Corsica	w1_d109e3310
Chef	w9_d109e4231
d'Escadre	w11_d109e4234
Spry	w1_d109e4239
mit	w3_d109e4242
4.	w5_d109e4245
Kriegs=schiffen	w7_d109e4248
aus	w9_d109e4251
Neuschott	w11_d109e4254
land,	w1_d109e4259
nachdeme	w3_d109e4262
er	w5_d109e4265
daselbst	w7_d109e4268
von	w9_d109e4271
dem	w11_d109e4274
Chef	w13_d109e4278
d	w15_d109e4281
Escadre	w1_d109e4287
Holmes	w3_d109e4290
abgelöset	w5_d109e4293
worden,	w7_d109e4296
zu	w9_d109e4299
Ports	w11_d109e4302
</p>
<p id="p12_d109e4316">
muth	w1_d109e4320
an.	w3_d109e4323
Der	w5_d109e4326
Admiral	w7_d109e4329
Boscawen	w9_d109e4332
ist	w11_d109e4335
Vi	w13_d109e4339
che=admiral	w1_d109e4344
von	w3_d109e4347
der	w5_d109e4350
weissen	w7_d109e4353
Escadre,	w9_d109e4356
und	w11_d109e4359
der	w13_d109e4363
Admiral	w1_d109e4368
West	w3_d109e4371
Vice=admiral	w5_d109e4374
von	w7_d109e4377
der	w9_d109e4380
blauen	w11_d109e4383
Escadre	w1_d109e4389
worden.	w3_d109e4392
Zu	w5_d109e4395
Portsmuth	w7_d109e4398
und	w9_d109e4401
in	w11_d109e4404
an	w13_d109e4408
dern	w1_d109e4413
Häfen	w3_d109e4416
sind	w5_d109e4419
verschiedene	w7_d109e4422
neue	w9_d109e4425
Kriegs	w11_d109e4428
schiffe	w1_d109e4433
in	w3_d109e4436
Eil	w5_d109e4439
in	w7_d109e4442
fertigem	w9_d109e4445
Stand	w11_d109e4448
gebracht	w13_d109e4452
worden.	w1_d109e4457
</p>
<p id="p14_d109e4460">
Dieser	w1_d109e4464
Tagen	w3_d109e4467
empfienge	w5_d109e4470
der	w7_d109e4473
Hof	w9_d109e4476
Depeschen,	w1_d109e4481
von	w3_d109e4484
denen	w5_d109e4487
Admiralen	w7_d109e4490
Knowles	w9_d109e4493
und	w1_d109e4498
Mostyn,	w3_d109e4501
welche	w5_d109e4504
unsere	w7_d109e4507
Escadre	w9_d109e4510
auf	w11_d109e4513
der	w13_d109e4517
Westlichen	w1_d109e4523
Küste	w3_d109e4526
von	w5_d109e4529
Frankreich	w7_d109e4532
commandi	w9_d109e4535
ren.	w1_d109e4540
Der	w3_d109e4543
Admiral	w5_d109e4546
Hawke	w7_d109e4549
wird	w9_d109e4552
nächstens	w11_d109e4555
mit	w1_d109e4560
verschiedenen	w3_d109e4563
Schiffen	w5_d109e4566
von	w7_d109e4569
der	w9_d109e4572
Lime,	w11_d109e4575
so	w13_d109e4579
er	w1_d109e4584
in	w3_d109e4587
der	w5_d109e4590
Mittelländischen	w7_d109e4593
See	w9_d109e4596
en	w11_d109e4599
Chef	w13_d109e4603
com	w15_d109e4606
mandiret,	w1_d109e4612
erwartet.	w3_d109e4615
Man	w5_d109e4618
wird	w7_d109e4621
nächstens	w9_d109e4624
zu	w1_d109e4629
Portsmuth	w3_d109e4632
im	w5_d109e4635
Stand	w7_d109e4638
seyn,	w9_d109e4641
30.	w11_d109e4644
bis	w13_d109e4648
40.	w15_d109e4651
Kriegs=schiffe	w1_d109e4656
in	w3_d109e4659
die	w5_d109e4662
See	w7_d109e4665
zu	w9_d109e4668
bringen,	w11_d109e4671
um	w13_d109e4675
die	w15_d109e4678
Stelle	w1_d109e4683
derjenigen	w3_d109e4686
zu	w5_d109e4689
ersetzen,	w7_d109e4692
welche	w9_d109e4695
man	w11_d109e4698
von	w13_d109e4702
verschiedenen	w1_d109e4708
Orten	w3_d109e4711
zurück	w5_d109e4714
kommen	w7_d109e4717
lässet.	w9_d109e4720
</p>
<head id="h2_d109e4726">
Londen	w1_d109e4730
24.	w3_d109e4733
December	w5_d109e4736
1756.	w7_d109e4739
</head>
<p id="p4_d109e4742">
Am	w1_d109e4746
Dienstag	w3_d109e4749
fasseten	w5_d109e4752
die	w7_d109e4755
vom	w9_d109e4758
Unter=hause	w11_d109e4761
des	w1_d109e4766
Parlements	w3_d109e4769
den	w5_d109e4772
Schluß,	w7_d109e4775
49749.	w9_d109e4778
Mann	w11_d109e4781
Land=Trupen,	w1_d109e4786
4008.	w3_d109e4789
Jnvaliden	w5_d109e4792
darunter	w7_d109e4795
begriffen,	w1_d109e4801
zuzustehen,	w3_d109e4804
um	w5_d109e4807
in	w7_d109e4810
währendem	w9_d109e4813
1757.	w11_d109e4816
Jahr	w1_d109e4821
in	w3_d109e4824
Groß=brittannien	w5_d109e4827
emploirt	w7_d109e4830
zu	w9_d109e4833
wer	w11_d109e4836
den,	w1_d109e4841
und	w3_d109e4844
zu	w5_d109e4847
deren	w7_d109e4850
Unterhaltung	w9_d109e4853
1213746.	w11_d109e4856
Pfund	w1_d109e4861
Sterling	w3_d109e4864
zu	w5_d109e4867
bewilligen;	w7_d109e4870
auch	w9_d109e4873
haben	w11_d109e4876
dieselbe	w1_d109e4882
annoch	w3_d109e4885
folgende	w5_d109e4888
Subsidien	w7_d109e4891
zugestanden	w9_d109e4894
als	w1_d109e4899
423963.	w3_d109e4902
Pfund	w5_d109e4905
Sterling	w7_d109e4908
zum	w9_d109e4911
Unterhalt	w11_d109e4914
der	w1_d109e4919
zu	w3_d109e4922
Gibraltar	w5_d109e4925
in	w7_d109e4928
Garnison	w9_d109e4931
ligenden	w11_d109e4934
Tru	w13_d109e4938
pen	w1_d109e4943
und	w3_d109e4946
derjenigen,	w5_d109e4949
welche	w7_d109e4952
sich	w9_d109e4955
in	w11_d109e4958
unsern	w13_d109e4962
Americanischen	w1_d109e4968
Plantagen	w3_d109e4971
befinden;	w5_d109e4974
47060.	w7_d109e4977
Pf.	w1_d109e4982
Sterling	w3_d109e4985
zu	w5_d109e4988
Bezahlung	w7_d109e4991
derer	w9_d109e4994
General	w11_d109e4997
und	w1_d109e5002
Staabs=officiers	w3_d109e5005
währenden	w5_d109e5008
solchem	w7_d109e5011
Jahr;	w1_d109e5016
23335.	w3_d109e5019
Pf.	w5_d109e5022
Sterling	w7_d109e5025
zum	w9_d109e5028
Unterhalt	w11_d109e5031
der	w1_d109e5037
Heßischen	w3_d109e5040
Trupen,	w5_d109e5043
und	w7_d109e5046
33025.	w9_d109e5049
Pfund	w11_d109e5052
Sterling	w1_d109e5057
für	w3_d109e5060
die	w5_d109e5063
Hannöverischen	w7_d109e5066
Trupen,	w9_d109e5069
wel	w11_d109e5072
che	w1_d109e5077
vom	w3_d109e5080
25sten	w5_d109e5083
December	w7_d109e5086
1756.	w9_d109e5089
bis	w11_d109e5092
24.	w13_d109e5096
Febr.	w15_d109e5099
1757.	w1_d109e5104
in	w3_d109e5107
Groß=brittannischen	w5_d109e5110
Sold	w7_d109e5113
stehen.	w9_d109e5116
Die	w1_d109e5122
regulirte	w3_d109e5125
Trupen,	w5_d109e5128
welche	w7_d109e5131
sich	w9_d109e5134
dermalen	w11_d109e5137
in	w1_d109e5142
Groß=brittannien	w3_d109e5145
und	w5_d109e5148
Jrrland	w7_d109e5151
befinden,	w9_d109e5154
erstrecken	w1_d109e5159
sich	w3_d109e5162
dermalen	w5_d109e5165
auf	w7_d109e5168
80000	w9_d109e5171
Mann.	w11_d109e5174
Die	w1_d109e5179
Heßische	w3_d109e5182
Trupen	w5_d109e5185
seynd	w7_d109e5188
endlich	w9_d109e5191
aus	w11_d109e5194
ihrem	w13_d109e5198
Lager	w1_d109e5204
aufgebrochen,	w3_d109e5207
und	w5_d109e5210
in	w7_d109e5213
die	w9_d109e5216
Städte	w11_d109e5219
Win	w13_d109e5223
chester,	w1_d109e5228
Salisbury	w3_d109e5231
und	w5_d109e5234
Southampton	w7_d109e5237
in	w9_d109e5240
die	w1_d109e5245
Winter=Quartiere	w3_d109e5248
gelegt	w5_d109e5251
worden.	w7_d109e5254
</p>
<p id="p6_d109e5257">
Der	w1_d109e5261
Contre=admiral	w3_d109e5264
Coates	w5_d109e5267
machet	w7_d109e5270
sich	w9_d109e5273
bereit,	w1_d109e5278
mit	w3_d109e5281
einer	w5_d109e5284
Escadre	w7_d109e5287
von	w9_d109e5290
Kriegsschif	w11_d109e5293
fen,	w1_d109e5298
von	w3_d109e5301
Portsmuth	w5_d109e5304
unter	w7_d109e5307
Seegel	w9_d109e5310
zu	w11_d109e5313
gehen	w13_d109e5317
</p>
<p id="p8_d109e5320">
um	w1_d109e5324
die	w3_d109e5327
des	w5_d109e5330
Admirals	w7_d109e5333
Towenshend	w9_d109e5336
in	w11_d109e5339
Jamai	w13_d109e5343
ca	w1_d109e5348
abzulösen.	w3_d109e5351
Der	w5_d109e5354
Contre=admiral	w7_d109e5357
Norris	w9_d109e5360
und	w1_d109e5365
der	w3_d109e5368
Chef	w5_d109e5371
d'Escadre	w7_d109e5374
Holmes	w9_d109e5377
werden	w11_d109e5380
ei	w13_d109e5384
ne	w1_d109e5390
starke	w3_d109e5393
Escadre,	w5_d109e5396
so	w7_d109e5399
nach	w9_d109e5402
Nord=america	w11_d109e5405
ge	w13_d109e5409
wiedmet	w1_d109e5414
ist,	w3_d109e5417
commandieren;	w5_d109e5420
der	w7_d109e5423
Chef	w9_d109e5426
d'Esca	w11_d109e5429
dre	w1_d109e5434
Stevens	w3_d109e5437
aber	w5_d109e5440
wird	w7_d109e5443
das	w9_d109e5446
Commando	w11_d109e5449
von	w13_d109e5453
derjenigen	w1_d109e5458
haben,	w3_d109e5461
so	w5_d109e5464
nach	w7_d109e5467
denen	w9_d109e5470
Ost=Jndien	w11_d109e5473
gehen	w1_d109e5479
solle.	w3_d109e5482
Diese	w5_d109e5485
letztere	w7_d109e5488
wird	w9_d109e5491
18.	w11_d109e5494
Schiffen	w13_d109e5498
der	w1_d109e5503
Jndianischen	w3_d109e5506
Compagnie	w5_d109e5509
zur	w7_d109e5512
Convoy	w9_d109e5515
die	w11_d109e5518
nen.	w1_d109e5523
Es	w3_d109e5526
sollen	w5_d109e5529
nächstens	w7_d109e5532
in	w9_d109e5535
dem	w11_d109e5538
Schottlän	w13_d109e5542
dischen	w1_d109e5547
Gebürge	w3_d109e5550
2.	w5_d109e5553
Battaillons,	w7_d109e5556
jede	w9_d109e5559
von	w11_d109e5562
1500.	w1_d109e5568
Mann,	w3_d109e5571
angeworben	w5_d109e5574
werden,	w7_d109e5577
so	w9_d109e5580
unter	w11_d109e5583
dem	w1_d109e5588
Commando	w3_d109e5591
des	w5_d109e5594
Obristen	w7_d109e5597
Campbell	w9_d109e5600
nach	w11_d109e5603
America	w1_d109e5608
abgeschicket	w3_d109e5611
werden	w5_d109e5614
sollen.	w7_d109e5617
</p>
<p id="p10_d109e5620">
Die	w1_d109e5624
letztere	w3_d109e5627
Briefe	w5_d109e5630
aus	w7_d109e5633
America	w9_d109e5636
melden	w11_d109e5639
uns	w13_d109e5643
noch	w1_d109e5648
nichts	w3_d109e5651
angenehmes.	w5_d109e5654
Die	w7_d109e5657
Jroquois,	w9_d109e5660
welche	w1_d109e5665
ihre	w3_d109e5668
Allianz	w5_d109e5671
mit	w7_d109e5674
uns	w9_d109e5677
so	w11_d109e5680
eben	w13_d109e5684
erneuert,	w15_d109e5687
hätten	w1_d109e5693
sich	w3_d109e5696
par	w5_d109e5699
Surprise	w7_d109e5702
des	w9_d109e5705
Forts	w11_d109e5708
versichert,	w13_d109e5712
welches	w1_d109e5717
sie	w3_d109e5720
auf	w5_d109e5723
ihrem	w7_d109e5726
Territorio	w9_d109e5729
gegen	w11_d109e5732
die	w13_d109e5736
Vir	w15_d109e5739
ginische	w1_d109e5744
Gränze	w3_d109e5747
zu	w5_d109e5750
bauen	w7_d109e5753
die	w9_d109e5756
Erlaubnuß	w11_d109e5759
ge	w13_d109e5763
habt.	w1_d109e5768
Jndessen	w3_d109e5771
habe	w5_d109e5774
sich	w7_d109e5777
der	w9_d109e5780
Obrist	w11_d109e5783
Washing	w13_d109e5787
ton	w1_d109e5793
gegen	w3_d109e5796
diese	w5_d109e5799
Jndianer	w7_d109e5802
in	w9_d109e5805
Marsch	w11_d109e5808
gesetzet.	w13_d109e5812
Die	w1_d109e5817
Briefe	w3_d109e5820
aus	w5_d109e5823
dem	w7_d109e5826
Lager	w9_d109e5829
nahe	w11_d109e5832
am	w13_d109e5836
George=see	w15_d109e5839
vom	w1_d109e5844
8.	w3_d109e5847
October	w5_d109e5850
melden,	w7_d109e5853
daß	w9_d109e5856
die	w11_d109e5859
Französische	w13_d109e5863
Ar	w15_d109e5866
mee,	w1_d109e5871
in	w3_d109e5874
12000.	w5_d109e5877
Mann	w7_d109e5880
regulirter	w9_d109e5883
Trouppen,	w11_d109e5886
Canadier	w1_d109e5892
und	w3_d109e5895
Jndianner,	w5_d109e5898
bestehend,	w7_d109e5901
mit	w9_d109e5904
ih	w11_d109e5907
rer	w1_d109e5912
Artillerie,	w3_d109e5915
Zelten,	w5_d109e5918
Bagage	w7_d109e5921
und	w9_d109e5924
Muniti	w11_d109e5927
ons	w1_d109e5932
bis	w3_d109e5935
nach	w5_d109e5938
Ticonderoja	w7_d109e5941
vorgerucket	w9_d109e5944
wäre,	w11_d109e5947
und	w1_d109e5952
werde	w3_d109e5955
allda	w5_d109e5958
gesagt,	w7_d109e5961
daß	w9_d109e5964
der	w11_d109e5967
Marquis	w13_d109e5971
von	w15_d109e5974
Moncalm	w1_d109e5980
sich	w3_d109e5983
vorgenommen,	w5_d109e5986
den	w7_d109e5989
Lord	w9_d109e5992
Loudon	w11_d109e5995
zu	w1_d109e6000
attaquiren,	w3_d109e6003
das	w5_d109e6006
Fort	w7_d109e6009
Eduard	w9_d109e6012
wegzuneh	w11_d109e6015
men,	w1_d109e6020
und	w3_d109e6023
hernach	w5_d109e6026
seine	w7_d109e6029
Conquetten	w9_d109e6032
bis	w11_d109e6035
nach	w13_d109e6039
Albania	w1_d109e6044
zu	w3_d109e6047
poußiren.	w5_d109e6050
</p>
<head id="h2_d109e6057">
Paris	w1_d109e6061
24.	w3_d109e6064
December.	w5_d109e6067
1756.	w7_d109e6070
</head>
<p id="p4_d109e6073">
Der	w1_d109e6077
Genever,	w3_d109e6080
Namens	w5_d109e6083
Thibaut,	w7_d109e6086
welcher	w9_d109e6089
vor	w11_d109e6092
6.	w1_d109e6097
Monaten	w3_d109e6100
zu	w5_d109e6103
Bergerac	w7_d109e6106
arretirt	w9_d109e6109
worden,	w11_d109e6112
weil	w1_d109e6117
man	w3_d109e6120
ihn	w5_d109e6123
beschuldiget,	w7_d109e6126
mit	w9_d109e6129
dem	w11_d109e6132
Feind	w13_d109e6136
cor	w15_d109e6139
respondirt	w1_d109e6145
zu	w3_d109e6148
haben,	w5_d109e6151
ist	w7_d109e6154
nicht	w9_d109e6157
hieher,	w11_d109e6160
sondern	w13_d109e6164
nach	w1_d109e6169
dem	w3_d109e6172
Schloß	w5_d109e6175
Trompette,	w7_d109e6178
bey	w9_d109e6181
Bourdeaux,	w11_d109e6184
geführet	w1_d109e6189
worden.	w3_d109e6192
Der	w5_d109e6195
König	w7_d109e6198
hatte	w9_d109e6201
eine	w11_d109e6204
Com	w13_d109e6208
mission	w1_d109e6213
ernannt,	w3_d109e6216
seine	w5_d109e6219
Sache	w7_d109e6222
zu	w9_d109e6225
beurt	w11_d109e6228
heilen,	w13_d109e6232
das	w1_d109e6238
Parlament	w3_d109e6241
von	w5_d109e6244
Bourdeaux	w7_d109e6247
aber	w9_d109e6250
präten	w11_d109e6253
dirte,	w1_d109e6258
daß	w3_d109e6261
ihm	w5_d109e6264
die	w7_d109e6267
Beurtheilung	w9_d109e6270
dieses	w11_d109e6273
Staats=gefangenen	w1_d109e6278
zukäme,	w3_d109e6281
und	w5_d109e6284
liesse	w7_d109e6287
ihn	w9_d109e6290
dahero	w1_d109e6295
von	w3_d109e6298
dem	w5_d109e6301
Commandanten	w7_d109e6304
des	w9_d109e6307
Schlosses	w11_d109e6310
abfordern.	w1_d109e6316
Auf	w3_d109e6319
die	w5_d109e6322
Weigerung,	w7_d109e6325
welche	w9_d109e6328
er	w11_d109e6331
tha	w13_d109e6335
te,	w1_d109e6340
wande	w3_d109e6343
es	w5_d109e6346
sich	w7_d109e6349
an	w9_d109e6352
den	w11_d109e6355
Generalcommandan	w13_d109e6359
ten	w1_d109e6364
der	w3_d109e6367
Provinz,	w5_d109e6370
welcher	w7_d109e6373
ihn	w9_d109e6376
dem	w11_d109e6379
Parlament	w13_d109e6383
überliefern	w1_d109e6388
ließ,	w3_d109e6391
es	w5_d109e6394
hatte	w7_d109e6397
aber	w9_d109e6400
das	w11_d109e6403
Parla	w13_d109e6407
ment	w1_d109e6413
seither	w3_d109e6416
von	w5_d109e6419
Hof	w7_d109e6422
den	w9_d109e6425
Befehl	w11_d109e6428
empfangen,	w13_d109e6432
</p>
<p id="p10_d109e6445">
diesen	w1_d109e6449
Gefangenen	w3_d109e6452
wieder	w5_d109e6455
zuruck	w7_d109e6458
zu	w9_d109e6461
schicken	w11_d109e6464
wobey	w1_d109e6469
ihm	w3_d109e6472
verboten	w5_d109e6475
worden,	w7_d109e6478
ihn	w9_d109e6481
zu	w11_d109e6484
verur	w13_d109e6488
theilen.	w1_d109e6493
</p>
<p id="p12_d109e6497">
Die	w1_d109e6501
Freywillige,	w3_d109e6504
welche	w5_d109e6507
der	w7_d109e6510
Marschall	w9_d109e6513
von	w1_d109e6518
Belle=Jßle	w3_d109e6521
anwerben	w5_d109e6524
lassen,	w7_d109e6527
sollen	w9_d109e6530
den	w11_d109e6533
20.	w1_d109e6538
künftigen	w3_d109e6541
Monats	w5_d109e6544
zu	w7_d109e6547
Toulon	w9_d109e6550
sich	w11_d109e6553
ein	w13_d109e6557
finden;	w1_d109e6563
ihre	w3_d109e6566
Anzahl	w5_d109e6569
belauffet	w7_d109e6572
sich	w9_d109e6575
nur	w11_d109e6578
auf	w13_d109e6582
250.	w1_d109e6587
Mann.	w3_d109e6590
Dieselbe	w5_d109e6593
sollen	w7_d109e6596
nebst	w9_d109e6599
denen	w11_d109e6602
15000.	w1_d109e6607
Mann,	w3_d109e6610
die	w5_d109e6613
zu	w7_d109e6616
der	w9_d109e6619
Belagerung	w11_d109e6622
von	w13_d109e6626
Madras	w1_d109e6631
bestimmet	w3_d109e6634
seynd,	w5_d109e6637
nach	w7_d109e6640
Ost=indien	w9_d109e6643
eingeschiffet	w1_d109e6649
werden:	w3_d109e6652
Diese	w5_d109e6655
Unternehmung	w7_d109e6658
wird	w1_d109e6663
verhoffentlich	w3_d109e6666
von	w5_d109e6669
eben	w7_d109e6672
dem	w9_d109e6675
glücklichen	w11_d109e6678
Fortgang	w1_d109e6683
seyn,	w3_d109e6686
wie	w5_d109e6689
diejenige	w7_d109e6692
gegen	w9_d109e6695
Minorca.	w11_d109e6698
Am	w1_d109e6703
Dienstag	w3_d109e6706
begabe	w5_d109e6709
sich	w7_d109e6712
der	w9_d109e6715
erste	w11_d109e6718
Präsident	w13_d109e6722
Herr	w1_d109e6728
Mole,	w3_d109e6731
und	w5_d109e6734
Herr	w7_d109e6737
de	w9_d109e6740
Novion,	w11_d109e6743
Präsident	w13_d109e6747
a	w1_d109e6752
Mortier,	w3_d109e6755
nach	w5_d109e6758
Versailles	w7_d109e6761
und	w9_d109e6764
sie	w11_d109e6767
wurden	w13_d109e6771
von	w1_d109e6776
Sr.	w3_d109e6779
Majestät,	w5_d109e6782
dem	w7_d109e6785
König,	w9_d109e6788
so	w11_d109e6791
gnädig	w13_d109e6795
empfangen,	w1_d109e6800
daß	w3_d109e6803
Höchst=dieselbe	w5_d109e6806
Jhnen	w7_d109e6809
ver	w9_d109e6812
sprochen,	w1_d109e6818
deren	w3_d109e6821
Vorstellungen	w5_d109e6824
nicht	w7_d109e6827
aus	w9_d109e6830
der	w11_d109e6833
Acht	w1_d109e6838
zu	w3_d109e6841
setzen:	w5_d109e6844
Wie	w7_d109e6847
dann	w9_d109e6850
albereits	w11_d109e6853
das	w13_d109e6857
Ge	w15_d109e6860
rücht	w1_d109e6865
gehet,	w3_d109e6868
daß	w5_d109e6871
die	w7_d109e6874
Lettres	w9_d109e6877
de	w11_d109e6880
Cachet,	w13_d109e6884
zu	w15_d109e6887
Wieder=herstellung	w1_d109e6892
der	w3_d109e6895
zwey	w5_d109e6898
erlassenen	w7_d109e6901
Kam	w9_d109e6904
mern,	w1_d109e6910
schon	w3_d109e6913
ausgefertiget	w5_d109e6916
seyen.	w7_d109e6919
</p>
<head id="h2_d109e6925">
Versailles	w1_d109e6929
23.	w3_d109e6932
Dec.	w5_d109e6935
1756.	w7_d109e6938
</head>
<p id="p4_d109e6941">
