<doc id="wr_1756-11-20" attrs="word" year="1756" month="11" day="20" corpus="2">
<head id="h2_d93e3076">
Lenden	w1_d93e3080
<p id="p4_d93e4785">
Die	w1_d93e4789
Berichte	w3_d93e4792
von	w5_d93e4795
Antibes	w7_d93e4798
geben,	w9_d93e4801
daß	w11_d93e4804
die	w13_d93e4808
Convoy,	w1_d93e4813
welche	w3_d93e4816
sich	w5_d93e4819
in	w7_d93e4822
dem	w9_d93e4825
Golfo=gian	w11_d93e4828
ver	w13_d93e4832
sammelt,	w1_d93e4837
vollkommen	w3_d93e4840
seegelfertig	w5_d93e4843
seye,	w7_d93e4846
in	w9_d93e4849
dem	w1_d93e4855
sich	w3_d93e4858
schon	w5_d93e4861
alle	w7_d93e4864
Völker,	w9_d93e4867
wie	w11_d93e4870
auch	w13_d93e4874
die	w15_d93e4877
Staabs=officiers	w1_d93e4882
darauf	w3_d93e4885
eingeschiffet	w5_d93e4888
be	w7_d93e4891
finden,	w1_d93e4896
dergestalten,	w3_d93e4899
daß	w5_d93e4902
dieselbe	w7_d93e4905
nur	w9_d93e4908
noch	w11_d93e4911
auf	w1_d93e4916
einen	w3_d93e4919
günstigen	w5_d93e4922
Wind	w7_d93e4925
wartet,	w9_d93e4928
um	w11_d93e4931
die	w13_d93e4935
Fahrt	w1_d93e4941
nacher	w3_d93e4944
Corsica	w5_d93e4947
vorzunehmen,	w7_d93e4950
alwohin	w9_d93e4953
sie,	w1_d93e4958
wie	w3_d93e4961
man	w5_d93e4964
rechnet,	w7_d93e4967
inner	w9_d93e4970
2.	w11_d93e4973
Tagen	w13_d93e4977
wird	w15_d93e4980
eintreffen	w1_d93e4985
können.	w3_d93e4988
</p>
<head id="h2_d93e4994">
Turin	w1_d93e4998
30.	w3_d93e5001
October.	w5_d93e5004
</head>
<p id="p4_d93e5007">
Von	w1_d93e5011
Nice	w3_d93e5014
wird	w5_d93e5017
untem	w7_d93e5020
27.	w9_d93e5023
dieses	w11_d93e5026
berich	w13_d93e5030
tet,	w1_d93e5035
daß	w3_d93e5038
die	w5_d93e5041
Convoy	w7_d93e5044
der	w9_d93e5047
Französischen	w11_d93e5050
Völken	w13_d93e5054
von	w1_d93e5059
Antibes	w3_d93e5062
nach	w5_d93e5065
Corsica	w7_d93e5068
würklich	w9_d93e5071
unter	w11_d93e5074
Seegel	w1_d93e5080
gegangen	w3_d93e5083
seye.	w5_d93e5086
</p>
<head id="h2_d93e5092">
Genua	w1_d93e5096
30.	w3_d93e5099
October.	w5_d93e5102
</head>
<p id="p4_d93e5105">
Die	w1_d93e5109
unterm	w3_d93e5112
2.	w5_d93e5115
dieses	w7_d93e5118
von	w9_d93e5121
Madrid	w11_d93e5124
einge	w13_d93e5128
loffene	w1_d93e5133
Briefe	w3_d93e5136
geben	w5_d93e5139
zu	w7_d93e5142
vernehmen,	w9_d93e5145
wie	w11_d93e5148
daß	w13_d93e5152
Se.	w1_d93e5157
Catholische	w3_d93e5160
Majestät	w5_d93e5163
durch	w7_d93e5166
den	w9_d93e5169
Preus	w11_d93e5172
sischen	w1_d93e5178
Einfall	w3_d93e5181
in	w5_d93e5184
Sachsen	w7_d93e5187
sehr	w9_d93e5190
gerühret	w11_d93e5193
worden,	w1_d93e5198
und	w3_d93e5201
dahero	w5_d93e5204
die	w7_d93e5207
von	w9_d93e5210
denen	w11_d93e5213
Höfen	w13_d93e5217
von	w1_d93e5222
Versailles	w3_d93e5225
und	w5_d93e5228
Wien	w7_d93e5231
gethane	w9_d93e5234
Vorschläge	w11_d93e5237
wol	w1_d93e5242
annehmen	w3_d93e5245
dörften,	w5_d93e5248
um	w7_d93e5251
so	w9_d93e5254
mehr,	w11_d93e5257
da	w13_d93e5261
Dieselben	w1_d93e5267
noch	w3_d93e5270
durch	w5_d93e5273
verschiedene	w7_d93e5276
Spanische	w9_d93e5279
Ministres	w1_d93e5284
unterstützet	w3_d93e5287
werden.	w5_d93e5290
Jnzwischen	w7_d93e5293
hat	w1_d93e5298
der	w3_d93e5301
Spannische	w5_d93e5304
Hof	w7_d93e5307
ein	w9_d93e5310
Corp	w11_d93e5313
dessen	w13_d93e5317
Völ	w15_d93e5320
ker	w1_d93e5325
nacher	w3_d93e5328
Ceuta	w5_d93e5331
abgehen	w7_d93e5334
lassen,	w9_d93e5337
und	w11_d93e5340
die	w13_d93e5344
Befehle	w1_d93e5350
gegeben,	w3_d93e5353
alda	w5_d93e5356
grosse	w7_d93e5359
Magazins	w9_d93e5362
von	w11_d93e5365
Mund	w1_d93e5370
und	w3_d93e5373
Kriegs=vorrat	w5_d93e5376
anzulegen;	w7_d93e5379
auch	w9_d93e5382
hat	w1_d93e5387
derselbe	w3_d93e5390
beschlossen,	w5_d93e5393
dem	w7_d93e5396
Gutachten	w9_d93e5399
des	w11_d93e5402
Französischen	w1_d93e5407
Hofes	w3_d93e5410
gemäß,	w5_d93e5413
gegen	w7_d93e5416
Gibraltar	w9_d93e5419
über	w1_d93e5425
verschiedene	w3_d93e5428
Festungen	w5_d93e5431
aufzubauen.	w7_d93e5434
Neben	w1_d93e5439
deme	w3_d93e5442
wendet	w5_d93e5445
auch	w7_d93e5448
die	w9_d93e5451
Spanische	w11_d93e5454
Re	w13_d93e5458
gierung	w1_d93e5463
vieles	w3_d93e5466
Geld	w5_d93e5469
dazu	w7_d93e5472
an,	w9_d93e5475
viele	w11_d93e5478
Kriegs	w13_d93e5482
schiffe	w1_d93e5487
auszurüsten,	w3_d93e5490
um	w5_d93e5493
damit	w7_d93e5496
die	w9_d93e5499
Küsten	w11_d93e5502
des	w13_d93e5506
Königreichs	w1_d93e5512
zu	w3_d93e5515
beschützen,	w5_d93e5518
indeme	w7_d93e5521
man	w9_d93e5524
be	w11_d93e5527
förchtet,	w1_d93e5532
es	w3_d93e5535
möchten	w5_d93e5538
die	w7_d93e5541
Algierer,	w9_d93e5544
welche	w11_d93e5547
sich	w1_d93e5552
durch	w3_d93e5555
den	w5_d93e5558
der	w7_d93e5561
Republick	w9_d93e5564
Tunis	w11_d93e5567
beyge	w13_d93e5571
brachten	w1_d93e5576
Schaden	w3_d93e5579
sehr	w5_d93e5582
bereicheret,	w7_d93e5585
eine	w9_d93e5588
grosse	w11_d93e5591
Anzahl	w1_d93e5597
Raub=schiffe	w3_d93e5600
in	w5_d93e5603
die	w7_d93e5606
See	w9_d93e5609
stellen,	w11_d93e5612
und	w13_d93e5616
</p>
<p id="p6_d93e5619">
dadurch	w1_d93e5623
die	w3_d93e5626
Schiffahrt	w5_d93e5629
derer	w7_d93e5632
Christlichen	w9_d93e5635
Na	w11_d93e5638
tionen,	w1_d93e5643
in	w3_d93e5646
denen	w5_d93e5649
Spanischen	w7_d93e5652
Gewässern	w9_d93e5655
sehr	w1_d93e5660
beunruhigen.	w3_d93e5663
Nicht	w5_d93e5666
minder	w7_d93e5669
hat	w9_d93e5672
der	w11_d93e5675
Spanische	w1_d93e5681
Hof	w3_d93e5684
von	w5_d93e5687
dem	w7_d93e5690
Neapolitanischen	w9_d93e5693
Hof	w1_d93e5698
die	w3_d93e5701
Zuruck=gebung	w5_d93e5704
etlicher	w7_d93e5707
in	w9_d93e5710
dessen	w11_d93e5713
Sold	w13_d93e5717
stehenden	w1_d93e5722
Regimentern,	w3_d93e5725
welche	w5_d93e5728
seit	w7_d93e5731
dem	w9_d93e5734
letz	w11_d93e5737
tern	w1_d93e5742
Krieg	w3_d93e5745
in	w5_d93e5748
denen	w7_d93e5751
beyden	w9_d93e5754
Sicilien	w11_d93e5757
geblieben,	w13_d93e5761
begehret.	w1_d93e5767
Diesen	w3_d93e5770
Briefen	w5_d93e5773
wird	w7_d93e5776
beygefüget,	w9_d93e5779
daß,	w1_d93e5784
nachdeme	w3_d93e5787
man	w5_d93e5790
zu	w7_d93e5793
Madrid	w9_d93e5796
die	w11_d93e5799
Nachricht	w13_d93e5803
erhalten,	w1_d93e5808
daß	w3_d93e5811
die	w5_d93e5814
in	w7_d93e5817
der	w9_d93e5820
Mitteländischen=see,	w11_d93e5823
unter	w1_d93e5828
Commando	w3_d93e5831
des	w5_d93e5834
Admiral	w7_d93e5837
Hawke,	w9_d93e5840
sich	w11_d93e5843
befindliche	w1_d93e5849
Engländische	w3_d93e5852
Flotte,	w5_d93e5855
mit	w7_d93e5858
einer	w9_d93e5861
Art	w1_d93e5866
einer	w3_d93e5869
ansteckenden	w5_d93e5872
Krankheit	w7_d93e5875
behaftet	w9_d93e5878
seye,	w1_d93e5883
an	w3_d93e5886
welcher	w5_d93e5889
schon	w7_d93e5892
viele	w9_d93e5895
von	w11_d93e5898
dem	w13_d93e5902
Schif	w15_d93e5905
volk	w1_d93e5910
gesterben,	w3_d93e5913
man	w5_d93e5916
alsogleich	w7_d93e5919
nach	w9_d93e5922
allen	w11_d93e5925
See=häfen	w1_d93e5931
des	w3_d93e5934
Königreichs	w5_d93e5937
die	w7_d93e5940
Befehle	w9_d93e5943
habe	w11_d93e5946
ergehen	w1_d93e5951
lassen,	w3_d93e5954
deshalben	w5_d93e5957
auf	w7_d93e5960
guter	w9_d93e5963
Hut	w11_d93e5966
zu	w13_d93e5970
seyn,	w1_d93e5975
damit	w3_d93e5978
sich	w5_d93e5981
diese	w7_d93e5984
Krankheit	w9_d93e5987
alda	w11_d93e5990
nicht	w13_d93e5994
auch	w1_d93e5999
einschleichen	w3_d93e6002
möchte.	w5_d93e6005
</p>
<head id="h2_d93e6011">
Livorno	w1_d93e6015
8.	w3_d93e6018
October.	w5_d93e6021
</head>
<p id="p4_d93e6024">
Es	w1_d93e6028
ist	w3_d93e6031
Kaiserl.	w5_d93e6034
Befehl	w7_d93e6037
gekommen,	w9_d93e6040
daß	w11_d93e6043
die	w13_d93e6047
Trupen	w1_d93e6052
dieses	w3_d93e6055
Groß=herzogtums	w5_d93e6058
sich	w7_d93e6061
in	w9_d93e6064
marschfertigen	w1_d93e6069
Stand	w3_d93e6072
setzen	w5_d93e6075
sollen;	w7_d93e6078
in	w9_d93e6081
zwischen	w1_d93e6087
wird	w3_d93e6090
die	w5_d93e6093
tauglichste	w7_d93e6096
Mannschaft	w9_d93e6099
davon	w1_d93e6104
ausgehoben,	w3_d93e6107
welche,	w5_d93e6110
wie	w7_d93e6113
man	w9_d93e6116
ver	w11_d93e6119
sichert,	w1_d93e6124
ungefähr	w3_d93e6127
3000.	w5_d93e6130
Mann	w7_d93e6133
stark,	w9_d93e6136
auf	w11_d93e6139
brechen,	w1_d93e6144
sich	w3_d93e6147
mit	w5_d93e6150
andern	w7_d93e6153
Trupen	w9_d93e6156
in	w11_d93e6159
dem	w13_d93e6163
Mo	w15_d93e6166
denesischen	w1_d93e6172
vereinigen,	w3_d93e6175
und	w5_d93e6178
darauf	w7_d93e6181
den	w9_d93e6184
Weg	w11_d93e6187
weiter	w1_d93e6192
nach	w3_d93e6195
Böhmen	w5_d93e6198
nehmen	w7_d93e6201
wird.	w9_d93e6204
</p>
<head id="h2_d93e6210">
Venedig	w1_d93e6214
15.	w3_d93e6217
October.	w5_d93e6220
</head>
<p id="p4_d93e6223">
An	w1_d93e6227
dem	w3_d93e6230
Mittwoch	w5_d93e6233
frühe,	w7_d93e6236
gegen	w9_d93e6239
15	w11_d93e6242
Uhr	w13_d93e6246
Jtaliänischen	w1_d93e6251
Zeigers,	w3_d93e6254
ward	w5_d93e6257
die	w7_d93e6260
Luft	w9_d93e6263
auf	w11_d93e6266
einmal	w1_d93e6271
so	w3_d93e6274
dunkel,	w5_d93e6277
daß	w7_d93e6280
man	w9_d93e6283
ausser	w11_d93e6286
dem	w13_d93e6290
hohen	w15_d93e6293
Wasser	w1_d93e6299
einen	w3_d93e6302
gewaltigen	w5_d93e6305
Sturm	w7_d93e6308
beförchtete	w9_d93e6311
es	w1_d93e6316
geschahe	w3_d93e6319
aber	w5_d93e6322
nichts	w7_d93e6325
anders,	w9_d93e6328
als	w11_d93e6331
daß	w13_d93e6335
ein	w15_d93e6338
häuffiger	w1_d93e6343
Regen	w3_d93e6346
erfolgte,	w5_d93e6349
und	w7_d93e6352
ein	w9_d93e6355
Wetter=strahl	w11_d93e6358
eine	w1_d93e6363
Feuer=mauer	w3_d93e6366
in	w5_d93e6369
einem	w7_d93e6372
Hause	w9_d93e6375
traf.	w11_d93e6378
</p>
<head id="h2_d93e6385">
Marseille	w1_d93e6389
20.	w3_d93e6392
Oct.	w5_d93e6395
</head>
<p id="p4_d93e6398">
Die	w1_d93e6402
von	w3_d93e6405
dem	w5_d93e6408
König,	w7_d93e6411
in	w9_d93e6414
die	w11_d93e6417
von	w13_d93e6421
der	w1_d93e6426
Republick	w3_d93e6429
Genua	w5_d93e6432
auf	w7_d93e6435
der	w9_d93e6438
Jnsul	w11_d93e6441
Cor	w13_d93e6445
sica	w1_d93e6450
an	w3_d93e6453
Höchst=gedacht	w5_d93e6456
Se.	w7_d93e6459
Majestät	w9_d93e6462
ab	w11_d93e6465
getrettene	w1_d93e6471
Plätze	w3_d93e6474
und	w5_d93e6477
See=häfen,	w7_d93e6480
so	w9_d93e6483
wol	w11_d93e6486
in	w13_d93e6490
Burgerlichen	w1_d93e6495
als	w3_d93e6498
Kriegs=sachen,	w5_d93e6501
ernannte	w7_d93e6504
Commissarien	w1_d93e6509
und	w3_d93e6512
Beamte,	w5_d93e6515
seynd	w7_d93e6518
eben	w9_d93e6521
/	w11_d93e6524
nebst	w1_d93e6529
einem	w3_d93e6532
Französischen	w5_d93e6535
Post=meister	w7_d93e6538
dahin	w9_d93e6541
abgegangen,	w1_d93e6547
um	w3_d93e6550
sich	w5_d93e6553
daselbst	w7_d93e6556
niederzulassen,	w9_d93e6559
und	w1_d93e6564
man	w3_d93e6567
zweifelt	w5_d93e6570
nicht,	w7_d93e6573
es	w9_d93e6576
werde	w11_d93e6579
die	w13_d93e6583
Convoy,	w15_d93e6586
welche	w1_d93e6591
die	w3_d93e6594
Völker	w5_d93e6597
dahin	w7_d93e6600
bringen	w9_d93e6603
soll,	w11_d93e6606
auch	w13_d93e6610
würklich	w1_d93e6615
schon	w3_d93e6618
von	w5_d93e6621
Antibes	w7_d93e6624
nach	w9_d93e6627
Corsica	w11_d93e6630
un.	w13_d93e6634
ter	w1_d93e6640
Seegel	w3_d93e6643
gegangen	w5_d93e6646
seyn,	w7_d93e6649
indeme	w9_d93e6652
der	w11_d93e6655
Mar,	w13_d93e6659
</p>
<p id="p10_d93e6672">
quis	w1_d93e6676
von	w3_d93e6679
Castries,	w5_d93e6682
welcher	w7_d93e6685
diese	w9_d93e6688
Völker	w11_d93e6691
com	w13_d93e6695
mandiret,	w1_d93e6700
bereits	w3_d93e6703
vor	w5_d93e6706
etlichen	w7_d93e6709
Tagen	w9_d93e6712
die	w11_d93e6715
Befehle	w1_d93e6720
vom	w3_d93e6723
Hof	w5_d93e6726
hierzu	w7_d93e6729
erhalten.	w9_d93e6732
</p>
<head id="h2_d93e6738">
Haag	w1_d93e6742
2.	w3_d93e6745
