<doc id="wr_1758-07-22" attrs="word" year="1758" month="07" day="22" corpus="2">
<head id="h2_d263e3557">
Utrecht	w1_d263e3561
Nullen	w11_d263e4155
und	w13_d263e4159
Cornet	w1_d263e4164
Retberg,	w3_d263e4167
und	w5_d263e4170
nebst	w7_d263e4173
diesem	w9_d263e4176
7.	w11_d263e4179
Ge	w13_d263e4183
meine	w1_d263e4188
und	w3_d263e4191
22.	w5_d263e4194
Pferde	w7_d263e4197
geblieben	w9_d263e4200
seyn.	w11_d263e4203
Von	w13_d263e4207
der	w1_d263e4213
Artillerie,	w3_d263e4216
sind	w5_d263e4219
der	w7_d263e4222
Leutenant	w9_d263e4225
Wackun	w11_d263e4228
und	w1_d263e4233
Fähndrich	w3_d263e4236
Mullen	w5_d263e4239
bleßirt.	w7_d263e4242
</p>
<head id="h2_d263e4248">
Frankfort	w1_d263e4252
31.	w3_d263e4255
Junii.	w5_d263e4258
</head>
<p id="p4_d263e4261">
Obgleich	w1_d263e4265
die	w3_d263e4268
im	w5_d263e4271
Hanauischen	w7_d263e4274
stehende	w9_d263e4277
Französische	w1_d263e4282
Armee	w3_d263e4285
bereits	w5_d263e4288
den	w7_d263e4291
18.	w9_d263e4294
Ordre	w11_d263e4297
empfangen,	w1_d263e4302
sich	w3_d263e4305
in	w5_d263e4308
Bewegung	w7_d263e4311
zu	w9_d263e4314
setzen,	w11_d263e4317
so	w13_d263e4321
ist	w15_d263e4324
doch	w1_d263e4330
bisher	w3_d263e4333
mit	w5_d263e4336
denen	w7_d263e4339
Operationen	w9_d263e4342
noch	w11_d263e4345
kein	w13_d263e4349
Anfang	w1_d263e4354
gemacht	w3_d263e4357
worden.	w5_d263e4360
Sie	w7_d263e4363
befindet	w9_d263e4366
sich	w11_d263e4369
noch	w1_d263e4374
in	w3_d263e4377
denen	w5_d263e4380
Cantonements,	w7_d263e4383
alleine	w9_d263e4386
allezeit	w11_d263e4389
bereit	w1_d263e4394
sich	w3_d263e4397
auf	w5_d263e4400
die	w7_d263e4403
erste	w9_d263e4406
Ordre	w11_d263e4409
in	w13_d263e4413
Marsch	w15_d263e4416
zu	w17_d263e4419
setzen.	w1_d263e4425
Bey	w3_d263e4428
Vindecken	w5_d263e4431
ist	w7_d263e4434
ein	w9_d263e4437
Lager	w11_d263e4440
abge	w13_d263e4444
stochen	w1_d263e4449
worden,	w3_d263e4452
welches	w5_d263e4455
der	w7_d263e4458
Prinz	w9_d263e4461
von	w11_d263e4464
Sou	w13_d263e4468
bise	w1_d263e4473
den	w3_d263e4476
27	w5_d263e4479
in	w7_d263e4482
Augenschein	w9_d263e4485
genommen.	w11_d263e4488
Die	w13_d263e4492
Genbarmerie	w1_d263e4497
ist	w3_d263e4500
von	w5_d263e4503
Nancy	w7_d263e4506
dahin	w9_d263e4509
aufge	w11_d263e4512
brochen,	w1_d263e4518
und	w3_d263e4521
alle	w5_d263e4524
Regimenter	w7_d263e4527
befinden	w9_d263e4530
sich	w11_d263e4533
in	w13_d263e4537
der	w1_d263e4542
besten	w3_d263e4545
Verfassung.	w5_d263e4548
</p>
<head id="h4_d263e4564">
Casendorf	w1_d263e4568
2.	w3_d263e4571
Julii.	w5_d263e4574
</head>
<p id="p6_d263e4577">
Alhier	w1_d263e4581
sind	w3_d263e4584
schon	w5_d263e4587
den	w7_d263e4590
27	w9_d263e4593
Junii	w11_d263e4596
die	w13_d263e4600
aus	w15_d263e4603
denen	w1_d263e4608
Niederlanden	w3_d263e4611
nach	w5_d263e4614
Böhmen	w7_d263e4617
im	w9_d263e4620
Marsch	w11_d263e4623
begriffene	w1_d263e4628
Kaiserl	w3_d263e4631
Königl.	w5_d263e4634
Völker,	w7_d263e4637
bestehendlin	w9_d263e4640
6	w1_d263e4646
Bataillons	w3_d263e4649
von	w5_d263e4652
denen	w7_d263e4655
Regimentern	w9_d263e4658
Ligne,	w11_d263e4661
los	w1_d263e4666
Ries,	w3_d263e4669
Carl	w5_d263e4672
Lothringen,	w7_d263e4675
Arberg,	w9_d263e4678
Platz	w11_d263e4681
und	w1_d263e4686
Sachsen=gotha,	w3_d263e4689
nebst	w5_d263e4692
einem	w7_d263e4695
Regiment	w9_d263e4698
Pfälzischer	w1_d263e4703
Dragoner	w3_d263e4706
und	w5_d263e4709
denen	w7_d263e4712
beyden	w9_d263e4715
Frän	w11_d263e4718
kischen	w1_d263e4724
Kreiß=regimentern	w3_d263e4727
von	w5_d263e4730
Ferntheil	w7_d263e4733
und	w9_d263e4736
von	w1_d263e4741
Varell,	w3_d263e4744
eingetroffen,	w5_d263e4747
und	w7_d263e4750
haben	w9_d263e4753
von	w11_d263e4756
da	w13_d263e4760
den	w1_d263e4765
28.	w3_d263e4768
über	w5_d263e4771
Melkendorf,	w7_d263e4774
woselbst	w9_d263e4777
sie	w11_d263e4780
Rast	w13_d263e4784
tag	w1_d263e4789
gehalten,	w3_d263e4792
ihren	w5_d263e4795
Weg	w7_d263e4798
über	w9_d263e4801
Mönchberg	w11_d263e4804
nach	w1_d263e4810
Böhmen	w3_d263e4813
fortgesetzet.	w5_d263e4816
Erwehnte	w7_d263e4819
Kaiseri	w9_d263e4822
Königl.	w1_d263e4827
Völker	w3_d263e4830
machen	w5_d263e4833
bey	w7_d263e4836
nahe	w9_d263e4839
6000.	w11_d263e4842
Mann	w1_d263e4847
aus,	w3_d263e4850
und	w5_d263e4853
sind,	w7_d263e4856
ungeachtet	w9_d263e4859
sie	w11_d263e4862
schon	w13_d263e4866
viele	w1_d263e4871
Strapatzen	w3_d263e4874
auf	w5_d263e4877
dem	w7_d263e4880
weiten	w9_d263e4883
Marsch	w11_d263e4886
ausgestanden	w1_d263e4892
haben,	w3_d263e4895
von	w5_d263e4898
sehr	w7_d263e4901
gutem	w9_d263e4904
Anse	w11_d263e4907
hen.	w1_d263e4912
</p>
<head id="h2_d263e4918">
Londen	w1_d263e4922
29.	w3_d263e4925
Junii.	w5_d263e4928
</head>
<p id="p4_d263e4931">
Die	w1_d263e4935
Briefe,	w3_d263e4938
welche	w5_d263e4941
der	w7_d263e4944
hiesige	w9_d263e4947
Hof	w11_d263e4950
vom	w13_d263e4954
Herzog	w1_d263e4959
von	w3_d263e4962
Marlborough	w5_d263e4965
erhalten,	w7_d263e4968
sind	w9_d263e4971
vom	w11_d263e4974
19	w1_d263e4979
Junii	w3_d263e4982
aus	w5_d263e4985
der	w7_d263e4988
Bay	w9_d263e4991
von	w11_d263e4994
Cancale	w13_d263e4998
datirt.	w15_d263e5001
Sie	w1_d263e5007
melden	w3_d263e5010
daß	w5_d263e5013
die	w7_d263e5016
Schiffe	w9_d263e5019
und	w11_d263e5022
Trupen	w13_d263e5026
durch	w15_d263e5029
contraire	w1_d263e5034
Winde	w3_d263e5037
aufgehalten	w5_d263e5040
würden.	w7_d263e5043
Die	w9_d263e5046
Flotte	w1_d263e5051
habe	w3_d263e5054
den	w5_d263e5057
17.	w7_d263e5060
durch	w9_d263e5063
einen	w11_d263e5066
Sturm	w13_d263e5070
ver	w15_d263e5073
schiedene	w1_d263e5078
Masten	w3_d263e5081
und	w5_d263e5084
Segel=stangen	w7_d263e5087
verloren.	w9_d263e5090
Die	w1_d263e5096
Flotte	w3_d263e5099
des	w5_d263e5102
Lords	w7_d263e5105
Anson	w9_d263e5108
habe	w11_d263e5111
sich	w13_d263e5115
den	w15_d263e5118
18.	w1_d263e5123
auch	w3_d263e5126
noch	w5_d263e5129
in	w7_d263e5132
gutem	w9_d263e5135
Stand	w11_d263e5138
auf	w13_d263e5142
der	w15_d263e5145
Höhe	w17_d263e5148
der	w1_d263e5153
Jnsul	w3_d263e5156
Oüessant	w5_d263e5159
befunden.	w7_d263e5162
Selbe	w9_d263e5165
habe	w11_d263e5168
sich	w1_d263e5173
den	w3_d263e5176
Tag	w5_d263e5179
vorher	w7_d263e5182
ins	w9_d263e5185
werte	w11_d263e5188
Meer	w13_d263e5192
bege	w15_d263e5195
ben	w1_d263e5201
gehabt,	w3_d263e5204
und	w5_d263e5207
zwar	w7_d263e5210
wegen	w9_d263e5213
des	w11_d263e5216
stürmich	w13_d263e5220
ten	w1_d263e5225
Wetters,	w3_d263e5228
wovon	w5_d263e5231
sie	w7_d263e5234
jedoch	w9_d263e5237
nicht	w11_d263e5240
beschä	w13_d263e5244
diget	w1_d263e5249
worden.	w3_d263e5252
Es	w5_d263e5255
ist	w7_d263e5258
kein	w9_d263e5261
Ansehen,	w11_d263e5264
daß	w13_d263e5268
der	w15_d263e5271
Herr	w1_d263e5276
Howe,	w3_d263e5279
und	w5_d263e5282
der	w7_d263e5285
Herzog	w9_d263e5288
von	w11_d263e5291
Marlborough	w13_d263e5295
etwas	w1_d263e5301
gegen	w3_d263e5304
Granville	w5_d263e5307
tentiren,	w7_d263e5310
sondern	w9_d263e5313
sich	w11_d263e5316
im	w1_d263e5321
Gegentheil	w3_d263e5324
nach	w5_d263e5327
Morlaix	w7_d263e5330
begeben	w9_d263e5333
wer	w11_d263e5336
den,	w1_d263e5341
um	w3_d263e5344
näher	w5_d263e5347
bey	w7_d263e5350
der	w9_d263e5353
Hand	w11_d263e5356
zu	w13_d263e5360
seyn,	w15_d263e5363
die	w17_d263e5366
Operationen	w1_d263e5371
dis	w3_d263e5374
Lords	w5_d263e5377
Anson	w7_d263e5380
gegen	w9_d263e5383
Brest,	w11_d263e5386
im	w1_d263e5392
Fall	w3_d263e5395
dieser	w5_d263e5398
Admiral	w7_d263e5401
solchen	w9_d263e5404
Platz	w11_d263e5407
noch	w13_d263e5411
solte	w1_d263e5416
attaquiren	w3_d263e5419
wollen,	w5_d263e5422
zu	w7_d263e5425
unterstützen.	w9_d263e5428
Der	w11_d263e5431
Admiral	w1_d263e5436
Hawke	w3_d263e5439
wird	w5_d263e5442
ehestens	w7_d263e5445
wieder	w9_d263e5448
zur	w11_d263e5451
Flotte	w1_d263e5456
des	w3_d263e5459
Lords	w5_d263e5462
Anson	w7_d263e5465
abgehen.	w9_d263e5468
Die	w11_d263e5471
Ex	w13_d263e5475
pedition	w1_d263e5481
auf	w3_d263e5484
St.	w5_d263e5487
Malo	w7_d263e5490
habe	w9_d263e5493
nur	w11_d263e5496
2.	w13_d263e5500
Mann	w15_d263e5503
gekostet,	w1_d263e5508
bey	w3_d263e5511
30.	w5_d263e5514
aber	w7_d263e5517
wären	w9_d263e5520
entweder	w11_d263e5523
deser	w13_d263e5527
tirt,	w1_d263e5532
oder	w3_d263e5535
hätten	w5_d263e5538
sich	w7_d263e5541
verirret.	w9_d263e5544
Aus	w11_d263e5547
dem	w13_d263e5551
Zeug=hause	w1_d263e5556
zu	w3_d263e5559
Woolwich	w5_d263e5562
hat	w7_d263e5565
man	w9_d263e5568
25.	w11_d263e5571
Ca	w13_d263e5575
nonen,	w1_d263e5581
16.	w3_d263e5584
Mörser,	w5_d263e5587
und	w7_d263e5590
20.	w9_d263e5593
Bagage=wägen	w11_d263e5596
auf	w1_d263e5601
die	w3_d263e5604
Jnsul	w5_d263e5607
Wight	w7_d263e5610
geschickt,	w9_d263e5613
welche	w11_d263e5616
nebst	w13_d263e5620
dem	w1_d263e5625
alda	w3_d263e5628
befindlichen	w5_d263e5631
Corpo	w7_d263e5634
zu	w9_d263e5637
einer	w11_d263e5640
neuen	w13_d263e5644
Expedition	w1_d263e5649
bestimmt	w3_d263e5652
seyn	w5_d263e5655
sollen.	w7_d263e5658
</p>
<head id="h2_d263e5665">
Deu=Vork,	w1_d263e5669
14.	w3_d263e5672
May.	w5_d263e5675
</head>
<p id="p4_d263e5678">
Der	w1_d263e5682
auf	w3_d263e5685
alle	w5_d263e5688
Schiffe	w7_d263e5691
hieselbst	w9_d263e5694
gelegte	w11_d263e5697
Be	w13_d263e5701
schlag	w1_d263e5706
dauert	w3_d263e5709
noch	w5_d263e5712
immer	w7_d263e5715
fort,	w9_d263e5718
ohne.	w11_d263e5721
daß	w13_d263e5725
man	w15_d263e5728
vernimmt,	w1_d263e5733
wenn	w3_d263e5736
er	w5_d263e5739
wieder	w7_d263e5742
werde	w9_d263e5745
aufgehoben	w11_d263e5748
werden.	w1_d263e5754
Vorige	w3_d263e5757
Woche	w5_d263e5760
ward	w7_d263e5763
unter	w9_d263e5766
dem	w11_d263e5769
Bey	w13_d263e5773
stand	w1_d263e5778
der	w3_d263e5781
Militz	w5_d263e5784
eine	w7_d263e5787
General=pressung	w9_d263e5790
der	w11_d263e5793
Matrosen	w1_d263e5798
vorgenommen,	w3_d263e5801
um	w5_d263e5804
die	w7_d263e5807
Transport	w9_d263e5810
schiffe	w1_d263e5815
zu	w3_d263e5818
bemannen	w5_d263e5821
Allein	w7_d263e5824
es	w9_d263e5827
kostete	w11_d263e5830
den	w13_d263e5834
Ca	w15_d263e5837
pitain	w1_d263e5843
Farmar	w3_d263e5846
das	w5_d263e5849
Leben,	w7_d263e5852
indem	w9_d263e5855
er,	w11_d263e5858
eben	w13_d263e5862
da	w15_d263e5865
er	w1_d263e5870
auf	w3_d263e5873
ein	w5_d263e5876
Schiff	w7_d263e5879
steigen	w9_d263e5882
wolte,	w11_d263e5885
erschossen	w13_d263e5889
ward.	w1_d263e5894
Die	w3_d263e5897
Abgeneigtheit	w5_d263e5900
gegen	w7_d263e5903
den	w9_d263e5906
Dienst	w11_d263e5909
zu	w1_d263e5914
Lande	w3_d263e5917
ist	w5_d263e5920
eben	w7_d263e5923
so	w9_d263e5926
groß.	w11_d263e5929
Niemand	w13_d263e5933
beut	w15_d263e5936
sich	w1_d263e5942
selbst	w3_d263e5945
darzu	w5_d263e5948
dar,	w7_d263e5951
und	w9_d263e5954
man	w11_d263e5957
muß	w13_d263e5961
alle	w15_d263e5964
Ge	w17_d263e5967
walt	w1_d263e5972
brauchen,	w3_d263e5975
um	w5_d263e5978
das	w7_d263e5981
Contingent	w9_d263e5984
dieser	w11_d263e5987
Provinz	w1_d263e5992
vollzählig	w3_d263e5995
zu	w5_d263e5998
machen.	w7_d263e6001
Die	w9_d263e6004
Lände	w11_d263e6007
reyen	w1_d263e6012
um	w3_d263e6015
uns	w5_d263e6018
herum	w7_d263e6021
leiden	w9_d263e6024
durch	w11_d263e6027
den	w13_d263e6031
Marich	w15_d263e6034
der	w1_d263e6040
Trupen	w3_d263e6043
gar	w5_d263e6046
viel,	w7_d263e6049
und	w9_d263e6052
die	w11_d263e6055
Bewohner	w13_d263e6059
der	w15_d263e6062
selben	w1_d263e6067
sind	w3_d263e6070
meistens	w5_d263e6073
in	w7_d263e6076
den	w9_d263e6079
Bettelstab	w11_d263e6082
ge	w13_d263e6086
bracht.	w1_d263e6091
</p>
<head id="h2_d263e6097">
Mecheln	w1_d263e6101
5.	w3_d263e6104
Julii.	w5_d263e6107
</head>
<p id="p4_d263e6110">
Die	w1_d263e6114
Hanöverischen	w3_d263e6117
Hussaren	w5_d263e6120
haben	w7_d263e6123
sich	w9_d263e6126
dieser	w1_d263e6131
Tagen	w3_d263e6134
bis	w5_d263e6137
an	w7_d263e6140
Tirlemont	w9_d263e6143
und	w11_d263e6146
Löwen	w13_d263e6150
gewagt,	w1_d263e6155
und	w3_d263e6158
allda	w5_d263e6161
starke	w7_d263e6164
Contributiones	w9_d263e6167
ge	w11_d263e6170
ferdert;	w1_d263e6176
gestern	w3_d263e6179
empfieng	w5_d263e6182
Se.	w7_d263e6185
Exellenz	w9_d263e6188
der	w11_d263e6191
Herr	w1_d263e6196
Graf	w3_d263e6199
von	w5_d263e6202
Cobenzl	w7_d263e6205
deswegen	w9_d263e6208
einen	w11_d263e6211
Ex	w13_d263e6215
preffen.	w1_d263e6220
Zu	w3_d263e6223
Löwen	w5_d263e6226
haben	w7_d263e6229
die	w9_d263e6232
Hussaren	w11_d263e6235
für	w13_d263e6239
die	w1_d263e6244
Stadt	w3_d263e6247
und	w5_d263e6250
das	w7_d263e6253
platte	w9_d263e6256
Land	w11_d263e6259
100000.	w13_d263e6263
Thlr.	w15_d263e6266
gefordert.	w1_d263e6272
Aus	w3_d263e6275
Tirlemont	w5_d263e6278
haben	w7_d263e6281
sie	w9_d263e6284
den	w11_d263e6287
Bur	w13_d263e6291
germeister	w1_d263e6296
und	w3_d263e6299
2	w5_d263e6302
Einwohner	w7_d263e6305
als	w9_d263e6308
Geiseln,	w11_d263e6311
als	w13_d263e6315
bis	w1_d263e6320
zur	w3_d263e6323
Entrichtung	w5_d263e6326
einer	w7_d263e6329
gleichen	w9_d263e6332
Summe,	w11_d263e6335
mitgenommen;	w1_d263e6340
es	w3_d263e6343
hat	w5_d263e6346
das	w7_d263e6349
Quartier	w9_d263e6352
Tirle	w11_d263e6355
mont	w1_d263e6361
nur	w3_d263e6364
wenig	w5_d263e6367
davon	w7_d263e6370
erlegen	w9_d263e6373
können.	w11_d263e6376
</p>
<head id="h2_d263e6382">
Danzig	w1_d263e6386
8.	w3_d263e6389
Julii.	w5_d263e6392
</head>
<p id="p4_d263e6395">
Denen	w1_d263e6399
Nachrichten	w3_d263e6402
aus	w5_d263e6405
Pommern	w7_d263e6408
zufolge,	w9_d263e6411
rücken	w1_d263e6416
in	w3_d263e6419
das	w5_d263e6422
bey	w7_d263e6425
Greifswalde	w9_d263e6428
befindliche	w11_d263e6431
Lager	w1_d263e6436
immer	w3_d263e6439
mehrere	w5_d263e6442
Trupen	w7_d263e6445
ein,	w9_d263e6448
und	w11_d263e6451
man	w13_d263e6455
versichert,	w1_d263e6461
daß	w3_d263e6464
sobald	w5_d263e6467
die	w7_d263e6470
von	w9_d263e6473
Stralsund	w11_d263e6476
im	w13_d263e6480
Anmarsch	w1_d263e6485
begriffene	w3_d263e6488
neue	w5_d263e6491
Regimenter	w7_d263e6494
ein	w9_d263e6497
getroffen	w1_d263e6502
seyn	w3_d263e6505
würden,	w5_d263e6508
die	w7_d263e6511
Armee	w9_d263e6514
eine	w11_d263e6517
Be	w13_d263e6521
wegung	w1_d263e6526
auf	w3_d263e6529
Wolgast	w5_d263e6532
machen	w7_d263e6535
werde.	w9_d263e6538
An	w11_d263e6541
dem	w1_d263e6547
Ausflusse	w3_d263e6550
der	w5_d263e6553
Oder	w7_d263e6556
sind	w9_d263e6559
wiederum	w11_d263e6562
ei	w13_d263e6566
nige	w1_d263e6571
Schwedische	w3_d263e6574
Schiffe	w5_d263e6577
angekommen,	w7_d263e6580
wel	w9_d263e6583
che	w1_d263e6588
Trupen	w3_d263e6591
und	w5_d263e6594
Munition	w7_d263e6597
am	w9_d263e6600
Borde	w11_d263e6603
haben.	w13_d263e6607
</p>
<head id="h2_d263e6613">
Altona	w1_d263e6617
10.	w3_d263e6620
Julii.	w5_d263e6623
</head>
<p id="p4_d263e6626">
Die	w1_d263e6630
Einrückung	w3_d263e6633
deren	w5_d263e6636
Königl.	w7_d263e6639
Dänischen	w9_d263e6642
Trupen	w1_d263e6647
in	w3_d263e6650
die	w5_d263e6653
Cantonirungs=quartiere	w7_d263e6656
im	w9_d263e6659
Hollsteinischen	w1_d263e6664
geschihet	w3_d263e6667
eher,	w5_d263e6670
als	w7_d263e6673
man	w9_d263e6676
es	w11_d263e6679
geglaubt.	w1_d263e6685
Schon	w3_d263e6688
den	w5_d263e6691
36sten	w7_d263e6694
Junii	w9_d263e6697
sind	w11_d263e6700
die	w13_d263e6704
vorderste	w1_d263e6709
Regimenter	w3_d263e6712
4.	w5_d263e6715
Meilen	w7_d263e6718
von	w9_d263e6721
hier	w11_d263e6724
ein	w1_d263e6729
</p>
<p id="p8_d263e6734">
eingetroffen,	w1_d263e6738
und	w3_d263e6741
den	w5_d263e6744
3.	w7_d263e6747
und	w9_d263e6750
4.	w11_d263e6753
dieses	w13_d263e6757
be	w15_d263e6760
schahe	w1_d263e6765
auch	w3_d263e6768
in	w5_d263e6771
Ottersen,	w7_d263e6774
einem	w9_d263e6777
nahe	w11_d263e6780
gelege	w13_d263e6784
nen	w1_d263e6789
Dorfe	w3_d263e6792
die	w5_d263e6795
Eiquartierung.	w7_d263e6798
Wie	w9_d263e6801
anje	w11_d263e6804
tzo	w1_d263e6810
zu	w3_d263e6813
vernehmen	w5_d263e6816
ist,	w7_d263e6819
kommt	w9_d263e6822
der	w11_d263e6825
Stab	w13_d263e6829
aller	w15_d263e6832
Trupen	w1_d263e6837
in	w3_d263e6840
Jtzehoe	w5_d263e6843
zu	w7_d263e6846
stehen,	w9_d263e6849
durch	w11_d263e6852
welche	w13_d263e6856
Stadt	w1_d263e6861
gegenwärtig	w3_d263e6864
verschiedene	w5_d263e6867
Regimenter	w7_d263e6870
defiliren.	w1_d263e6875
Die	w3_d263e6878
aus	w5_d263e6881
der	w7_d263e6884
Grafschaft	w9_d263e6887
Olden	w11_d263e6890
burg	w1_d263e6896
zu	w3_d263e6899
Schiffe	w5_d263e6902
gegangene	w7_d263e6905
Bataillons	w9_d263e6908
sind	w11_d263e6911
zu	w1_d263e6916
Glückstadt	w3_d263e6919
angekommen.	w5_d263e6922
Man	w7_d263e6925
versichert	w9_d263e6928
anbey,	w1_d263e6933
daß	w3_d263e6936
Se.	w5_d263e6939
Majestät	w7_d263e6942
der	w9_d263e6945
König	w11_d263e6948
von	w13_d263e6952
Dännemark	w1_d263e6957
selbst	w3_d263e6960
nächstens	w5_d263e6963
heraus	w7_d263e6966
kommen,	w9_d263e6969
und	w1_d263e6975
die	w3_d263e6978
Leib=garde	w5_d263e6981
zu	w7_d263e6984
Pferd	w9_d263e6987
mitbringen	w11_d263e6990
dörften.	w1_d263e6995
Die	w3_d263e6998
Fuß=garde	w5_d263e7001
soll	w7_d263e7004
noch	w9_d263e7007
vorher	w11_d263e7010
ab	w13_d263e7014
gehen.	w1_d263e7019
</p>
<head id="h2_d263e7025">
Cleve	w1_d263e7029
5.	w3_d263e7032
Julii.	w5_d263e7035
</head>
<p id="p4_d263e7038">
Das	w1_d263e7042
Haupt=quartier	w3_d263e7045
der	w5_d263e7048
Alliirten	w7_d263e7051
ist	w9_d263e7054
zu	w11_d263e7057
Tits	w1_d263e7062
und	w3_d263e7065
St.	w5_d263e7068
Niclas	w7_d263e7071
im	w9_d263e7074
Jülichischen;	w11_d263e7077
und	w13_d263e7081
die	w1_d263e7086
Französische	w3_d263e7089
Armee	w5_d263e7092
stehet	w7_d263e7095
zu	w9_d263e7098
Caster	w11_d263e7101
an	w13_d263e7105
der	w1_d263e7111
Erft,	w3_d263e7114
so	w5_d263e7117
daß	w7_d263e7120
beede	w9_d263e7123
Lager	w11_d263e7126
kaum	w13_d263e7130
3.	w15_d263e7133
Stun	w17_d263e7136
den	w1_d263e7141
von	w3_d263e7144
einander	w5_d263e7147
entfernet	w7_d263e7150
seynd,	w9_d263e7153
und	w11_d263e7156
man	w13_d263e7160
daher	w1_d263e7165
eine	w3_d263e7168
zweyte	w5_d263e7171
Battaille	w7_d263e7174
vermuten	w9_d263e7177
muß.	w11_d263e7180
</p>
<head id="h2_d263e7186">
Hamburg	w1_d263e7190
13.	w3_d263e7193
Julii.	w5_d263e7196
</head>
<p id="p4_d263e7199">
Die	w1_d263e7203
Engländische	w3_d263e7206
