<doc id="wr_1760-10-29" attrs="word" year="1760" month="10" day="29" corpus="2">
<head id="h2_d496e3512">
Stralsund	w1_d496e3516
Abends	w7_d496e4532
um	w9_d496e4535
7.	w11_d496e4538
Uhr	w13_d496e4542
erst	w1_d496e4548
geendiget,	w3_d496e4551
da	w5_d496e4554
die	w7_d496e4557
Preussen	w9_d496e4560
sich	w11_d496e4563
aber	w13_d496e4567
2.	w1_d496e4572
Meilen	w3_d496e4575
weit	w5_d496e4578
retiriret.	w7_d496e4581
Man	w9_d496e4584
schätzet	w11_d496e4587
ih	w13_d496e4591
ren	w1_d496e4596
Verlust	w3_d496e4599
an	w5_d496e4602
Todten	w7_d496e4605
und	w9_d496e4608
Bleßirten	w11_d496e4611
we	w13_d496e4615
nigstens	w1_d496e4620
1500.	w3_d496e4623
Mann,	w5_d496e4626
gleichwie	w7_d496e4629
wir	w9_d496e4632
in	w11_d496e4635
und	w1_d496e4641
vor	w3_d496e4644
den	w5_d496e4647
Thoren	w7_d496e4650
300.	w9_d496e4653
Mann	w11_d496e4656
Todte	w13_d496e4660
und	w15_d496e4663
Bleßirte	w1_d496e4668
haben,	w3_d496e4671
ohne	w5_d496e4674
die,	w7_d496e4677
so	w9_d496e4680
in	w11_d496e4683
den	w13_d496e4687
Re	w15_d496e4690
douten	w1_d496e4695
gewesen.	w3_d496e4698
Unsere	w5_d496e4701
Armee	w7_d496e4704
ziehet	w9_d496e4707
sich	w11_d496e4710
jetzt	w1_d496e4715
näher	w3_d496e4718
zusammen,	w5_d496e4721
und	w7_d496e4724
wo	w9_d496e4727
die	w11_d496e4730
Preus	w13_d496e4734
sen	w1_d496e4740
Stich	w3_d496e4743
halten,	w5_d496e4746
werden	w7_d496e4749
wir	w9_d496e4752
sie	w11_d496e4755
angreif	w13_d496e4759
fen,	w1_d496e4764
wenigstens	w3_d496e4767
ihnen	w5_d496e4770
keinen	w7_d496e4773
Schritt	w9_d496e4776
aus	w11_d496e4779
dem	w1_d496e4784
Weeg	w3_d496e4787
gehen.	w5_d496e4790
Jndessen	w7_d496e4793
ist	w9_d496e4796
ein	w11_d496e4799
Theil	w13_d496e4803
unseres	w1_d496e4808
Fourage=magazius,	w3_d496e4811
nebst	w5_d496e4814
der	w7_d496e4817
Vor	w9_d496e4820
stadt	w1_d496e4826
von	w3_d496e4829
Pasewalk	w5_d496e4832
im	w7_d496e4835
Feuer	w9_d496e4838
aufgegangen,	w11_d496e4841
welches	w1_d496e4846
eine	w3_d496e4849
Veränderung	w5_d496e4852
in	w7_d496e4855
der	w9_d496e4858
Position	w11_d496e4861
veranlassen	w1_d496e4866
dörfte.	w3_d496e4869
</p>
<head id="h2_d496e4875">
Fortsetzung	w1_d496e4879
der	w3_d496e4882
den	w5_d496e4885
vorigen	w7_d496e4888
Post	w9_d496e4891
tage	w1_d496e4896
herausgegebenen	w3_d496e4899
Capitu	w5_d496e4902
lation	w1_d496e4907
von	w3_d496e4910
Canada.	w5_d496e4913
</head>
<p id="p4_d496e4916">
Art.	w1_d496e4920
14tus.	w3_d496e4923
Mann	w5_d496e4926
wird	w7_d496e4929
2.	w9_d496e4932
Schiffe	w11_d496e4935
benennen,	w1_d496e4940
auf	w3_d496e4943
welcher	w5_d496e4946
der	w7_d496e4949
Chevalier	w9_d496e4952
Levii,	w11_d496e4955
alle	w1_d496e4960
Ober=officiers,	w3_d496e4963
und	w5_d496e4966
höhere	w7_d496e4969
Stab	w9_d496e4972
der	w11_d496e4975
Land=trupen,	w1_d496e4981
dan	w3_d496e4984
die	w5_d496e4987
Jngenieurs,	w7_d496e4990
und	w9_d496e4993
end	w11_d496e4996
lichen	w1_d496e5001
die	w3_d496e5004
Artiellerie=officiers	w5_d496e5007
mit	w7_d496e5010
ihrem	w9_d496e5013
Ge	w11_d496e5016
folge	w1_d496e5021
nacher	w3_d496e5024
Frankreich	w5_d496e5027
transportiret	w7_d496e5030
wer	w9_d496e5033
den	w1_d496e5038
sollen;	w3_d496e5041
sie	w5_d496e5044
werden	w7_d496e5047
gleichfalls	w9_d496e5050
mit	w11_d496e5053
Pro	w13_d496e5057
viant,	w1_d496e5063
und	w3_d496e5066
allem	w5_d496e5069
nöhtigen	w7_d496e5072
versehen	w9_d496e5075
werden.	w11_d496e5078
Die	w1_d496e5083
Officiers	w3_d496e5086
werden	w5_d496e5089
ihre	w7_d496e5092
Papier,	w9_d496e5095
ohne	w11_d496e5098
un	w13_d496e5102
tersuchen	w1_d496e5107
zu	w3_d496e5110
lassen,	w5_d496e5113
sowol	w7_d496e5116
als	w9_d496e5119
ihre	w11_d496e5122
Equi	w13_d496e5126
page	w1_d496e5131
und	w3_d496e5134
Habseeligkeiten,	w5_d496e5137
und	w7_d496e5140
diejenige	w9_d496e5143
wel	w11_d496e5146
che	w1_d496e5152
verheyratet	w3_d496e5155
seynd,	w5_d496e5158
ihre	w7_d496e5161
Frauen	w9_d496e5164
und	w11_d496e5167
Kin	w13_d496e5171
der	w1_d496e5176
mit	w3_d496e5179
sich	w5_d496e5182
nehmen,	w7_d496e5185
für	w9_d496e5188
welche	w11_d496e5191
man	w13_d496e5195
gleich	w15_d496e5198
falls	w1_d496e5203
Lebens=mittel	w3_d496e5206
verschaffen	w5_d496e5209
wird.	w7_d496e5212
</p>
<p id="p6_d496e5215">
Accordiret;	w1_d496e5219
was	w3_d496e5222
aber	w5_d496e5225
Carten	w7_d496e5228
und	w9_d496e5231
Plans	w1_d496e5236
des	w3_d496e5239
Landes	w5_d496e5242
seynd,	w7_d496e5245
solle	w9_d496e5248
der	w11_d496e5251
Herr	w13_d496e5255
Marquis	w1_d496e5260
von	w3_d496e5263
Vaudrevil	w5_d496e5266
sowol	w7_d496e5269
als	w9_d496e5272
alle	w11_d496e5275
übrige	w1_d496e5281
Officiers,	w3_d496e5284
sie	w5_d496e5287
mögen	w7_d496e5290
was	w9_d496e5293
immer	w11_d496e5296
</p>
<p id="p8_d496e5299">
für	w1_d496e5303
einen	w3_d496e5306
Rang	w5_d496e5309
haben	w7_d496e5312
getreulich	w9_d496e5315
ablie	w11_d496e5318
feren.	w1_d496e5323
</p>
<p id="p10_d496e5326">
Art.	w1_d496e5330
15tus.	w3_d496e5333
Es	w5_d496e5336
wird	w7_d496e5339
gleichergestalten	w9_d496e5342
ein	w1_d496e5347
Schif	w3_d496e5350
zur	w5_d496e5353
Transportirung	w7_d496e5356
des	w9_d496e5359
Jnten	w11_d496e5362
dantens	w1_d496e5367
Bigot,	w3_d496e5370
und	w5_d496e5373
seines	w7_d496e5376
Gefolges	w9_d496e5379
bestim	w11_d496e5382
met,	w1_d496e5388
und	w3_d496e5391
zur	w5_d496e5394
Gemächlichkeit	w7_d496e5397
seiner	w9_d496e5400
eigenen	w11_d496e5403
Persohn	w1_d496e5408
sowol,	w3_d496e5411
als	w5_d496e5414
aller	w7_d496e5417
deren,	w9_d496e5420
so	w11_d496e5423
er	w13_d496e5427
mit	w15_d496e5430
sich	w17_d496e5433
führen	w1_d496e5438
wird,	w3_d496e5441
eingerichtet	w5_d496e5444
werden.	w7_d496e5447
Er	w9_d496e5450
und	w11_d496e5453
sein	w1_d496e5458
Gefolge	w3_d496e5461
werden	w5_d496e5464
ebenfalls	w7_d496e5467
ihre	w9_d496e5470
Papier,	w11_d496e5473
Equipage,	w1_d496e5479
Geschmeide,	w3_d496e5482
und	w5_d496e5485
andere	w7_d496e5488
Fahr	w9_d496e5491
nussen	w1_d496e5496
ohne	w3_d496e5499
Untersuchung	w5_d496e5502
einbarquiren,	w7_d496e5505
und	w9_d496e5508
sein	w1_d496e5513
Schif	w3_d496e5516
wird	w5_d496e5519
so,	w7_d496e5522
wie	w9_d496e5525
bey	w11_d496e5528
denen	w13_d496e5532
vorhe	w15_d496e5535
rigen	w1_d496e5540
gemeldet	w3_d496e5543
worden	w5_d496e5546
mit	w7_d496e5549
Vivres	w9_d496e5552
verschen	w11_d496e5555
werden.	w1_d496e5561
</p>
<p id="p12_d496e5565">
Accordiret	w1_d496e5569
mit	w3_d496e5572
der	w5_d496e5575
nämlichen	w7_d496e5578
in	w9_d496e5581
vor	w11_d496e5584
hergehenden	w1_d496e5589
Articul	w3_d496e5592
gemeldeten	w5_d496e5595
Aus	w7_d496e5598
nahme.	w1_d496e5603
</p>
<p id="p14_d496e5606">
Art.	w1_d496e5610
16tus.	w3_d496e5613
Der	w5_d496e5616
Engländische	w7_d496e5619
Gene	w9_d496e5622
ral	w1_d496e5627
wird	w3_d496e5630
ebenmäßig	w5_d496e5633
den	w7_d496e5636
Befehl	w9_d496e5639
ertheilen,	w11_d496e5642
daß	w1_d496e5647
zur	w3_d496e5650
Transportirung	w5_d496e5653
des	w7_d496e5656
Mr.	w9_d496e5659
de	w11_d496e5662
Lorgue	w13_d496e5666
vil	w1_d496e5672
Gouverneurs	w3_d496e5675
von	w5_d496e5678
Troisrivieres,	w7_d496e5681
des	w9_d496e5684
ganzen	w1_d496e5689
höheren	w3_d496e5692
Stabs	w5_d496e5695
der	w7_d496e5698
Colonie,	w9_d496e5701
und	w11_d496e5704
des	w13_d496e5708
See=commissarii	w1_d496e5713
die	w3_d496e5716
benöhtigte	w5_d496e5719
Schiffe	w7_d496e5722
her	w9_d496e5725
beygeschaffet,	w1_d496e5730
und	w3_d496e5733
zugerichtet	w5_d496e5736
werden.	w7_d496e5739
Sie	w9_d496e5742
werden	w1_d496e5748
auf	w3_d496e5751
selbige	w5_d496e5754
ihre	w7_d496e5757
Famillen,	w9_d496e5760
Hausge	w11_d496e5763
nossene,	w1_d496e5768
Equipage	w3_d496e5771
und	w5_d496e5774
Haus=gerähle	w7_d496e5777
ein	w9_d496e5780
schiffen,	w1_d496e5785
welche	w3_d496e5788
ebenfalls	w5_d496e5791
auf	w7_d496e5794
Unkosten	w9_d496e5797
seiner	w11_d496e5800
Groß=brittanischen	w1_d496e5805
Majestät	w3_d496e5808
auf	w5_d496e5811
die	w7_d496e5814
ganze	w9_d496e5817
Reise	w1_d496e5823
Lebens=mittl	w3_d496e5826
bekommen	w5_d496e5829
sollen.	w7_d496e5832
Accordiret.	w1_d496e5837
</p>
<p id="p16_d496e5840">
Art.	w1_d496e5844
17mus.	w3_d496e5847
Alle	w5_d496e5850
Officiers	w7_d496e5853
und	w9_d496e5856
Sol	w11_d496e5859
daten	w1_d496e5864
von	w3_d496e5867
denen	w5_d496e5870
Land=trupen	w7_d496e5873
sowol	w9_d496e5876
als	w11_d496e5879
der	w13_d496e5883
Colonie	w1_d496e5888
werden	w3_d496e5891
nebst	w5_d496e5894
allen	w7_d496e5897
in	w9_d496e5900
der	w11_d496e5903
Colonie	w13_d496e5907
sich	w1_d496e5913
befindenden	w3_d496e5916
See=officiern	w5_d496e5919
und	w7_d496e5922
Matro	w9_d496e5925
sen	w1_d496e5930
auf	w3_d496e5933
gleiche	w5_d496e5936
Weise	w7_d496e5939
eingeschiffet,	w9_d496e5942
und	w11_d496e5945
nacher	w13_d496e5949
Frankreich	w1_d496e5954
transportiret	w3_d496e5957
werden,	w5_d496e5960
wozu	w7_d496e5963
man	w9_d496e5966
ihnen	w1_d496e5971
die	w3_d496e5974
benöhtigte	w5_d496e5977
Schiffe	w7_d496e5980
verschaffen	w9_d496e5983
wird.	w11_d496e5986
Die	w1_d496e5992
verheyratete	w3_d496e5995
Officiers,	w5_d496e5998
es	w7_d496e6001
seyen	w9_d496e6004
solche	w11_d496e6007
von	w1_d496e6012
denen	w3_d496e6015
See	w5_d496e6018
oder	w7_d496e6021
Land=trupen,	w9_d496e6024
werden	w11_d496e6027
ihre	w1_d496e6032
Famillen	w3_d496e6035
mit	w5_d496e6038
sich	w7_d496e6041
nehmen,	w9_d496e6044
und	w11_d496e6047
es	w13_d496e6051
solle	w15_d496e6054
auch	w1_d496e6059
einem	w3_d496e6062
jeden	w5_d496e6065
frey	w7_d496e6068
stehen	w9_d496e6071
ihre	w11_d496e6074
Bediente	w13_d496e6078
und	w1_d496e6084
Bagage	w3_d496e6087
mit	w5_d496e6090
einzuschiffen.	w7_d496e6093
Was	w9_d496e6096
die	w11_d496e6099
882	w1_d496e6104
</p>
<p id="p20_d496e6109">
gemeine	w1_d496e6113
Soldaten	w3_d496e6116
und	w5_d496e6119
See=leute	w7_d496e6122
betrift,	w9_d496e6125
so	w1_d496e6130
werden	w3_d496e6133
auch	w5_d496e6136
diese	w7_d496e6139
ihre	w9_d496e6142
Weiber	w11_d496e6145
und	w13_d496e6149
Kin	w15_d496e6152
der,	w1_d496e6157
dann	w3_d496e6160
ihre	w5_d496e6163
Schnap=säcke,	w7_d496e6166
und	w9_d496e6169
Bagage	w11_d496e6172
mit	w1_d496e6178
nehmen.	w3_d496e6181
Und	w5_d496e6184
die	w7_d496e6187
Schiffe	w9_d496e6190
werden	w11_d496e6193
auf	w13_d496e6197
Engländische	w1_d496e6202
Unkösten	w3_d496e6205
mit	w5_d496e6208
hinlänglichen	w7_d496e6211
Lebens=mitteln	w1_d496e6216
versehen.	w3_d496e6219
</p>
<p id="p22_d496e6222">
Accordir.	w1_d496e6226
</p>
<p id="p24_d496e6230">
Art.	w1_d496e6234
18vus	w3_d496e6237
Alle	w5_d496e6240
Officiers,	w7_d496e6243
Soldaten,	w9_d496e6246
und	w11_d496e6249
alles,	w1_d496e6254
was	w3_d496e6257
zu	w5_d496e6260
denen	w7_d496e6263
Trupen	w9_d496e6266
gehört,	w11_d496e6269
werden	w13_d496e6273
ohne	w1_d496e6278
der	w3_d496e6281
mindesten	w5_d496e6284
Hindernuß	w7_d496e6287
vor	w9_d496e6290
ihrer	w11_d496e6293
Ab	w13_d496e6297
reise	w1_d496e6303
auf	w3_d496e6306
das	w5_d496e6309
Land	w7_d496e6312
hinaus	w9_d496e6315
schicken,	w11_d496e6318
oder	w13_d496e6322
selbsten	w1_d496e6327
gehen	w3_d496e6330
dörfen,	w5_d496e6333
um	w7_d496e6336
ihre	w9_d496e6339
allda	w11_d496e6342
selbst	w13_d496e6346
etwann	w1_d496e6351
habende	w3_d496e6354
Bagage	w5_d496e6357
abholen	w7_d496e6360
zu	w9_d496e6363
lassen	w11_d496e6366
Accordirt.	w1_d496e6371
</p>
<p id="p26_d496e6374">
Art.	w1_d496e6378
19nus	w3_d496e6381
Der	w5_d496e6384
Engländische	w7_d496e6387
General	w9_d496e6390
wird	w1_d496e6395
ein	w3_d496e6398
Spital=schiff	w5_d496e6401
zurichten	w7_d496e6404
lassen,	w9_d496e6407
um	w11_d496e6410
auf	w1_d496e6415
selben	w3_d496e6418
jene	w5_d496e6421
verwundete	w7_d496e6424
oder	w9_d496e6427
kranke	w11_d496e6430
Offi	w13_d496e6434
ciers,	w1_d496e6440
Soldaten,	w3_d496e6443
und	w5_d496e6446
See=leute,	w7_d496e6449
deren	w9_d496e6452
Um	w11_d496e6455
stände	w1_d496e6460
es	w3_d496e6463
zulassen,	w5_d496e6466
nacher	w7_d496e6469
Frankreich	w9_d496e6472
zu	w11_d496e6475
brin	w13_d496e6479
gen.	w1_d496e6484
Dieses	w3_d496e6487
Schiff	w5_d496e6490
wird	w7_d496e6493
auch	w9_d496e6496
auf	w11_d496e6499
Englän	w13_d496e6503
bische	w1_d496e6508
lnkosten	w3_d496e6511
mit	w5_d496e6514
Proviant	w7_d496e6517
versehen	w9_d496e6520
werden.	w11_d496e6523
</p>
<p id="p28_d496e6526">
Ein	w1_d496e6530
gleiches	w3_d496e6533
begehrt	w5_d496e6536
man	w7_d496e6539
mit	w9_d496e6542
denen	w11_d496e6545
übri	w13_d496e6549
gen	w1_d496e6554
Officiren,	w3_d496e6557
Soldaten,	w5_d496e6560
und	w7_d496e6563
See=leuten,	w9_d496e6566
so	w1_d496e6571
jetzo	w3_d496e6574
vermög	w5_d496e6577
ihrer	w7_d496e6580
Umstände	w9_d496e6583
nicht	w11_d496e6586
wegge	w13_d496e6590
bracht	w1_d496e6596
werden	w3_d496e6599
können,	w5_d496e6602
wann	w7_d496e6605
sie	w9_d496e6608
werden	w11_d496e6611
her	w13_d496e6615
gestellet	w1_d496e6620
seyn,	w3_d496e6623
vorzunehmen.	w5_d496e6626
</p>
<p id="p30_d496e6629">
Es	w1_d496e6633
wird	w3_d496e6636
ihnen	w5_d496e6639
frey	w7_d496e6642
stehen	w9_d496e6645
ihre	w11_d496e6648
Frauen,	w13_d496e6652
Kinder,	w1_d496e6657
Bediente,	w3_d496e6660
und	w5_d496e6663
Bagage	w7_d496e6666
mit	w9_d496e6669
sich	w11_d496e6672
zu	w13_d496e6676
nehmen,	w1_d496e6681
und	w3_d496e6684
man	w5_d496e6687
wird	w7_d496e6690
in	w9_d496e6693
die	w11_d496e6696
Soldaten	w13_d496e6700
oder	w15_d496e6703
Matrosen	w1_d496e6709
keines	w3_d496e6712
wegs	w5_d496e6715
dringen,	w7_d496e6718
noch	w9_d496e6721
viel	w11_d496e6724
weniger	w1_d496e6729
dieselbe	w3_d496e6732
zwingen	w5_d496e6735
Engländische	w7_d496e6738
Dien	w9_d496e6741
ste	w1_d496e6746
anzunehmen.	w3_d496e6749
</p>
<p id="p32_d496e6752">
Accordirt.	w1_d496e6756
</p>
<p id="p34_d496e6759">
Art.	w1_d496e6763
20mus	w3_d496e6766
Man	w5_d496e6769
wird	w7_d496e6772
einen	w9_d496e6775
Königlichen	w11_d496e6778
Commissarium	w1_d496e6783
und	w3_d496e6786
Secretair	w5_d496e6789
zurück	w7_d496e6792
lassen,	w9_d496e6795
welche	w1_d496e6800
auf	w3_d496e6803
die	w5_d496e6806
Spitäller	w7_d496e6809
und	w9_d496e6812
alles	w11_d496e6815
dasjenige,	w13_d496e6819
was	w1_d496e6825
den	w3_d496e6828
Nutzen	w5_d496e6831
Sr.	w7_d496e6834
Allerchristlichsten	w9_d496e6837
Maje	w11_d496e6840
stät	w1_d496e6845
betrift,	w3_d496e6848
genaue	w5_d496e6851
Acht	w7_d496e6854
haben	w9_d496e6857
werden.	w11_d496e6860
Accordirt.	w1_d496e6865
</p>
<p id="p36_d496e6869">
Art.	w1_d496e6873
21mus	w3_d496e6876
Der	w5_d496e6879
Engländische	w7_d496e6882
General	w9_d496e6885
wird	w1_d496e6890
gleichermassen	w3_d496e6893
für	w5_d496e6896
die	w7_d496e6899
Officiers	w9_d496e6902
des	w11_d496e6905
höchsten	w1_d496e6910
Rahtes,	w3_d496e6913
für	w5_d496e6916
die	w7_d496e6919
Gerichts	w9_d496e6922
und	w11_d496e6925
Po	w13_d496e6929
nrey=Persohnen,	w1_d496e6935
dann	w3_d496e6938
für	w5_d496e6941
die	w7_d496e6944
Admiralität,	w9_d496e6947
</p>
<p id="p38_d496e6950">
und	w1_d496e6954
alle	w3_d496e6957
übrige	w5_d496e6960
Officiers,	w7_d496e6963
es	w9_d496e6966
mögen	w11_d496e6969
selbe	w13_d496e6973
nur	w1_d496e6978
mit	w3_d496e6981
Commissionen	w5_d496e6984
oder	w7_d496e6987
ausdrüklichen	w9_d496e6990
Kö	w11_d496e6993
niglichen	w1_d496e6998
Befehlen	w3_d496e7001
versehen	w5_d496e7004
seyn,	w7_d496e7007
sowol,	w9_d496e7010
als	w11_d496e7013
für	w1_d496e7019
ihre	w3_d496e7022
Famillen,	w5_d496e7025
Haus=genossene,	w7_d496e7028
und	w9_d496e7031
Equipage,	w1_d496e7036
die	w3_d496e7039
benöthigte	w5_d496e7042
Schiffe	w7_d496e7045
verschaf	w9_d496e7048
fen,	w1_d496e7053
und	w3_d496e7056
sie	w5_d496e7059
werden	w7_d496e7062
eben	w9_d496e7065
so,	w11_d496e7068
wie	w13_d496e7072
die	w15_d496e7075
andere	w17_d496e7078
auf	w1_d496e7083
Engländische	w3_d496e7086
Unkosten	w5_d496e7089
verproviantiret	w7_d496e7092
werden.	w1_d496e7098
Es	w3_d496e7101
solle	w5_d496e7104
aber	w7_d496e7107
allen	w9_d496e7110
diesen	w11_d496e7113
erwähn	w13_d496e7117
ten	w1_d496e7122
Persohnen	w3_d496e7125
freystehen,	w5_d496e7128
