<doc id="wr_1757-04-06" attrs="word" year="1757" month="04" day="06" corpus="2">
<head id="h2_d132e3822">
Neapel	w1_d132e3826
Gouverneur	w9_d132e4178
ge	w11_d132e4181
geben.	w1_d132e4187
</p>
<head id="h2_d132e4193">
Toulon	w1_d132e4197
19.	w3_d132e4200
Martii.	w5_d132e4203
</head>
<p id="p4_d132e4206">
Diejenige	w1_d132e4210
Schiffe,	w3_d132e4213
davon	w5_d132e4216
eines	w7_d132e4219
von	w9_d132e4222
74.	w11_d132e4225
und	w13_d132e4229
</p>
<p id="p6_d132e4232">
die	w1_d132e4236
übrigen	w3_d132e4239
3.	w5_d132e4242
von	w7_d132e4245
64.	w9_d132e4248
Stücken	w11_d132e4251
seynd,	w13_d132e4255
welch	w15_d132e4258
die	w1_d132e4263
Flotte	w3_d132e4266
des	w5_d132e4269
Hrn.	w7_d132e4272
du	w9_d132e4275
Revest	w11_d132e4278
ausmachen	w13_d132e4282
werden,	w1_d132e4287
sollen	w3_d132e4290
sich	w5_d132e4293
morgen	w7_d132e4296
auf	w9_d132e4299
die	w11_d132e4302
Rhede	w13_d132e4306
begeben,	w1_d132e4312
um	w3_d132e4315
bey	w5_d132e4318
ersten	w7_d132e4321
gunstigen	w9_d132e4324
Wind	w11_d132e4327
unter	w13_d132e4331
Seegel	w1_d132e4336
gehen	w3_d132e4339
zu	w5_d132e4342
können;	w7_d132e4345
und	w9_d132e4348
gleich	w11_d132e4351
nach	w13_d132e4355
der	w15_d132e4358
Abreise	w1_d132e4363
dieser	w3_d132e4366
Florte	w5_d132e4369
wird	w7_d132e4372
man	w9_d132e4375
auch	w11_d132e4378
an	w13_d132e4382
Aus	w15_d132e4385
rüstung	w1_d132e4390
der	w3_d132e4393
fünf	w5_d132e4396
Schiffen	w7_d132e4399
arbeiten,	w9_d132e4402
welche	w11_d132e4405
der	w1_d132e4411
Hr.	w3_d132e4414
de	w5_d132e4417
la	w7_d132e4420
Clüe	w9_d132e4423
commandieren	w11_d132e4426
solle.	w13_d132e4430
Ub	w15_d132e4433
rigens	w1_d132e4438
werden	w3_d132e4441
auch	w5_d132e4444
die	w7_d132e4447
Arbeiten	w9_d132e4450
an	w11_d132e4453
denen	w13_d132e4457
anderen	w1_d132e4462
Schiffen	w3_d132e4465
immer	w5_d132e4468
mit	w7_d132e4471
gleichem	w9_d132e4474
Eifer	w11_d132e4477
fortgesetzet.	w1_d132e4482
Vom	w3_d132e4485
Livorno	w5_d132e4488
vernihmt	w7_d132e4491
man,	w9_d132e4494
daß	w1_d132e4500
sich	w3_d132e4503
alda	w5_d132e4506
verschiedene	w7_d132e4509
aus	w9_d132e4512
der	w11_d132e4515
Levante	w13_d132e4519
gekommene	w1_d132e4524
Engländische	w3_d132e4527
sehr	w5_d132e4530
reich	w7_d132e4533
beladene	w9_d132e4536
Kauffardey=schiffe,	w1_d132e4541
und	w3_d132e4544
unter	w5_d132e4547
andern	w7_d132e4550
zwey	w9_d132e4553
befinden,	w1_d132e4558
welche	w3_d132e4561
für	w5_d132e4564
mehr	w7_d132e4567
als	w9_d132e4570
2.	w11_d132e4573
Millionen	w13_d132e4577
seidene	w1_d132e4583
Waaren	w3_d132e4586
am	w5_d132e4589
Boord	w7_d132e4592
haben,	w9_d132e4595
und	w11_d132e4598
die	w13_d132e4602
samtlich	w1_d132e4607
mit	w3_d132e4610
äusserster	w5_d132e4613
Ungeduld	w7_d132e4616
auf	w9_d132e4619
einige	w11_d132e4622
Kriegs=schiffe	w1_d132e4627
ihrer	w3_d132e4630
Nationen	w5_d132e4633
warten,	w7_d132e4636
um	w9_d132e4639
sich	w1_d132e4644
deren	w3_d132e4647
Bedeckung	w5_d132e4650
zu	w7_d132e4653
bedienen,	w9_d132e4656
weilen	w11_d132e4659
sie	w13_d132e4663
beförchten,	w1_d132e4669
daß	w3_d132e4672
sie	w5_d132e4675
sonsten	w7_d132e4678
denen	w9_d132e4681
Franzosen,	w11_d132e4684
welche	w1_d132e4689
in	w3_d132e4692
dasigen	w5_d132e4695
Gewässern	w7_d132e4698
kreutzen,	w9_d132e4701
und	w11_d132e4704
auch	w1_d132e4709
bereits	w3_d132e4712
beträchtliche	w5_d132e4715
Beuten	w7_d132e4718
gemacht	w9_d132e4721
haben,	w1_d132e4726
ebenfalls	w3_d132e4729
in	w5_d132e4732
die	w7_d132e4735
Hände	w9_d132e4738
gerahten	w11_d132e4741
wäcchien	w1_d132e4747
</p>
<head id="h4_d132e4763">
Paris	w1_d132e4767
22.	w3_d132e4770
Martii.	w5_d132e4773
</head>
<p id="p6_d132e4776">
Die	w1_d132e4780
Pairs	w3_d132e4783
und	w5_d132e4786
über	w7_d132e4789
den	w9_d132e4792
Königs=mörder	w11_d132e4795
bestellte	w1_d132e4800
Richter	w3_d132e4803
haben	w5_d132e4806
sich	w7_d132e4809
den	w9_d132e4812
21.	w11_d132e4815
dieses	w13_d132e4819
abermahlen	w1_d132e4824
versammelt,	w3_d132e4827
und	w5_d132e4830
sollen	w7_d132e4833
folgende	w9_d132e4836
Täge	w1_d132e4842
ebenfalls	w3_d132e4845
zusammen	w5_d132e4848
kommen,	w7_d132e4851
um	w9_d132e4854
den	w11_d132e4857
Proceß	w1_d132e4862
dieses	w3_d132e4865
Bösewichts	w5_d132e4868
zu	w7_d132e4871
endigen,	w9_d132e4874
wel	w11_d132e4877
cher	w1_d132e4882
dem	w3_d132e4885
jetzigen	w5_d132e4888
Ansehen	w7_d132e4891
nach	w9_d132e4894
am	w11_d132e4897
Ende	w13_d132e4901
die	w15_d132e4904
ser	w1_d132e4909
Woche	w3_d132e4912
zum	w5_d132e4915
Tod	w7_d132e4918
verurtheilet,	w9_d132e4921
und	w11_d132e4924
im	w13_d132e4928
An	w15_d132e4931
fang	w1_d132e4937
der	w3_d132e4940
zukünftigen	w5_d132e4943
Woche	w7_d132e4946
hingerichtet	w9_d132e4949
wer	w11_d132e4952
den	w1_d132e4957
solle;	w3_d132e4960
man	w5_d132e4963
hat	w7_d132e4966
schon	w9_d132e4969
alle	w11_d132e4972
Zubereitun	w13_d132e4976
gen	w1_d132e4981
zu	w3_d132e4984
dieser	w5_d132e4987
Hinrichtung	w7_d132e4990
angefangen,	w9_d132e4993
die	w11_d132e4996
Zimmer=leute	w1_d132e5001
arbeiten	w3_d132e5004
in	w5_d132e5007
grosser	w7_d132e5010
Anzahl	w9_d132e5013
an	w11_d132e5016
der	w1_d132e5022
Erbauung	w3_d132e5025
des	w5_d132e5028
Schavots	w7_d132e5031
und	w9_d132e5034
deren	w11_d132e5037
Bar	w13_d132e5041
rieren,	w1_d132e5046
so	w3_d132e5049
gegen	w5_d132e5052
den	w7_d132e5055
Greve=platz	w9_d132e5058
gesetzt	w11_d132e5061
wer	w13_d132e5065
den	w1_d132e5070
sollen,	w3_d132e5073
um	w5_d132e5076
die	w7_d132e5079
Unordnung	w9_d132e5082
und	w11_d132e5085
Unruhen	w13_d132e5089
zu	w1_d132e5094
verhindern,	w3_d132e5097
und	w5_d132e5100
man	w7_d132e5103
versichert,	w9_d132e5106
daß	w11_d132e5109
mehr	w13_d132e5113
als	w1_d132e5119
30.	w3_d132e5122
Brigaden	w5_d132e5125
Häscher	w7_d132e5128
in	w9_d132e5131
denen	w11_d132e5134
Ge	w13_d132e5138
genden	w1_d132e5143
dieses	w3_d132e5146
Platzes	w5_d132e5149
gestellet	w7_d132e5152
werden	w9_d132e5155
sollen,	w11_d132e5158
auch	w1_d132e5163
daß	w3_d132e5166
verbotte	w5_d132e5169
werden	w7_d132e5172
solle,	w9_d132e5175
einige	w11_d132e5178
Fen	w13_d132e5182
ster	w1_d132e5187
zu	w3_d132e5190
eröfnen	w5_d132e5193
auf	w7_d132e5196
dem	w9_d132e5199
Weg,	w11_d132e5202
durch	w13_d132e5206
welchen	w15_d132e5209
er	w1_d132e5215
nach	w3_d132e5218
diesem	w5_d132e5221
Platz	w7_d132e5224
wird	w9_d132e5227
geführet	w11_d132e5230
werden.	w13_d132e5234
Drey	w1_d132e5239
oder	w3_d132e5242
vier	w5_d132e5245
Tage	w7_d132e5248
vor	w9_d132e5251
seiner	w11_d132e5254
Hinrichtung	w13_d132e5258
soll	w1_d132e5263
ihm	w3_d132e5266
eine	w5_d132e5269
Folter	w7_d132e5272
angelegt	w9_d132e5275
werden,	w11_d132e5278
so	w13_d132e5282
dem	w15_d132e5285
selben	w1_d132e5290
auf	w3_d132e5293
eine	w5_d132e5296
neue	w7_d132e5299
und	w9_d132e5302
scharfe	w11_d132e5305
Art	w13_d132e5309
gegeben	w15_d132e5312
werden	w1_d132e5318
wird.Man	w3_d132e5321
stehet	w5_d132e5324
in	w7_d132e5327
Berahtschlagung	w9_d132e5330
ob	w11_d132e5333
sein	w1_d132e5338
Proceß	w3_d132e5341
solle	w5_d132e5344
offenbar	w7_d132e5347
gemacht	w9_d132e5350
oder	w11_d132e5353
ge	w13_d132e5357
heim	w1_d132e5362
gehalten	w3_d132e5365
werden,	w5_d132e5368
die	w7_d132e5371
Meinungen	w9_d132e5374
dar	w11_d132e5377
über	w1_d132e5382
seynd	w3_d132e5385
sehr	w5_d132e5388
zertheilet,	w7_d132e5391
der	w9_d132e5394
Prinz	w11_d132e5397
Conti	w13_d132e5401
aber	w1_d132e5407
ist	w3_d132e5410
unter	w5_d132e5413
denenjenigen,	w7_d132e5416
so	w9_d132e5419
dafür	w11_d132e5422
halten,	w13_d132e5426
daß	w1_d132e5431
man	w3_d132e5434
alles	w5_d132e5437
hievon	w7_d132e5440
public	w9_d132e5443
machen	w11_d132e5446
solle.	w1_d132e5451
</p>
<head id="h2_d132e5458">
Regenspurg	w1_d132e5462
31.	w3_d132e5465
Martii.	w5_d132e5468
</head>
<p id="p4_d132e5471">
Bey	w1_d132e5475
dem	w3_d132e5478
alhiesigen	w5_d132e5481
Reichs=convent	w7_d132e5484
ist	w9_d132e5487
ge	w11_d132e5490
stern	w1_d132e5495
durch	w3_d132e5498
das	w5_d132e5501
Chur=maynzische	w7_d132e5504
Directo	w9_d132e5507
rium	w1_d132e5512
wegen	w3_d132e5515
des	w5_d132e5518
obwaltenden	w7_d132e5521
Krieges	w9_d132e5524
in	w11_d132e5527
Teutschland	w1_d132e5533
eine	w3_d132e5536
von	w5_d132e5539
dem	w7_d132e5542
Minister	w9_d132e5545
Sr.	w11_d132e5548
Ma	w13_d132e5552
jestät	w1_d132e5557
des	w3_d132e5560
Königs	w5_d132e5563
in	w7_d132e5566
Schweden,	w9_d132e5569
Herrn	w11_d132e5572
von	w13_d132e5576
Greiffenheim	w1_d132e5581
den	w3_d132e5584
14.	w5_d132e5587
dieses	w7_d132e5590
ad	w9_d132e5593
Comitia	w11_d132e5596
in	w1_d132e5601
Lateinischer	w3_d132e5604
Sprach	w5_d132e5607
eingereichte	w7_d132e5610
Erklärung	w9_d132e5613
gewöhnlicher=massen	w1_d132e5619
dictiret	w3_d132e5622
worden,	w5_d132e5625
welche	w7_d132e5628
in	w1_d132e5633
ihrer	w3_d132e5636
Ubersetzung	w5_d132e5639
also	w7_d132e5642
lautet	w9_d132e5645
</p>
<p id="p6_d132e5648">
Mein	w1_d132e5652
allergnädigster	w3_d132e5655
Herr	w5_d132e5658
und	w7_d132e5661
König	w9_d132e5664
hat	w11_d132e5667
nicht	w1_d132e5672
anders	w3_d132e5675
als	w5_d132e5678
mit	w7_d132e5681
äusserster	w9_d132e5684
Bestürzung	w11_d132e5687
und	w1_d132e5692
schmerzlichster	w3_d132e5695
Gemüts=regung	w5_d132e5698
vernehmen	w7_d132e5701
können,	w1_d132e5707
welcher	w3_d132e5710
gestalten	w5_d132e5713
in	w7_d132e5716
Teutschland	w9_d132e5719
ein	w11_d132e5722
solches	w1_d132e5727
Kriegs=feuer	w3_d132e5730
sich	w5_d132e5733
entzündet	w7_d132e5736
habe,	w9_d132e5739
wo	w11_d132e5742
durch	w1_d132e5747
die	w3_d132e5750
vornehmste	w5_d132e5753
Reichs=stände	w7_d132e5756
auf	w9_d132e5759
ei	w11_d132e5762
ne	w1_d132e5767
so	w3_d132e5770
erschrecklich	w5_d132e5773
als	w7_d132e5776
unerhörte	w9_d132e5779
Weise	w11_d132e5782
un	w13_d132e5786
terdrücket,	w1_d132e5792
andere	w3_d132e5795
mit	w5_d132e5798
einem	w7_d132e5801
gleichen	w9_d132e5804
Ver	w11_d132e5807
hängnüß	w1_d132e5812
bedrohet,	w3_d132e5815
des	w5_d132e5818
Römisch=teutschen	w7_d132e5821
</p>
<p id="p8_d132e5824">
Reiches	w1_d132e5828
Gesätze	w3_d132e5831
und	w5_d132e5834
Ordnungen	w7_d132e5837
zerstöhret,	w9_d132e5840
insonderheit	w1_d132e5845
aber	w3_d132e5848
der	w5_d132e5851
Westphälische	w7_d132e5854
Friedens	w9_d132e5857
schluß,	w1_d132e5862
mithin	w3_d132e5865
die	w5_d132e5868
ganze	w7_d132e5871
Reichs=verfassung	w9_d132e5874
dem	w1_d132e5880
höchst=besorglichen	w3_d132e5883
Umsturz	w5_d132e5886
ausgesetzet	w7_d132e5889
stunde.	w1_d132e5894
</p>
<p id="p10_d132e5897">
Damit	w1_d132e5901
nun	w3_d132e5904
dem	w5_d132e5907
breits	w7_d132e5910
vorhandenen	w9_d132e5913
sowol	w11_d132e5916
als	w1_d132e5921
noch	w3_d132e5924
weiters	w5_d132e5927
bevorstehenden	w7_d132e5930
Ubel	w9_d132e5933
genugsam	w11_d132e5936
begegnet	w1_d132e5941
werde,	w3_d132e5944
haben	w5_d132e5947
die	w7_d132e5950
ansehnlichste	w9_d132e5953
Stän	w11_d132e5956
de	w1_d132e5962
des	w3_d132e5965
Reichs	w5_d132e5968
sowol	w7_d132e5971
von	w9_d132e5974
der	w11_d132e5977
Krone	w13_d132e5981
Schwe	w15_d132e5984
den	w1_d132e5989
als	w3_d132e5992
auch	w5_d132e5995
von	w7_d132e5998
Frankreich	w9_d132e6001
inständig	w11_d132e6004
be	w13_d132e6008
gehret,	w1_d132e6013
daß,	w3_d132e6016
da	w5_d132e6019
Höchst=dieselbe	w7_d132e6022
die	w9_d132e6025
Gewehr	w11_d132e6028
leistung	w1_d132e6033
des	w3_d132e6036
Westphälischen	w5_d132e6039
Friedens	w7_d132e6042
auf	w9_d132e6045
sich	w11_d132e6048
genommen,	w1_d132e6054
hierinnfalls	w3_d132e6057
nunmehro	w5_d132e6060
mit	w7_d132e6063
voll	w9_d132e6066
kommener	w1_d132e6071
Macht	w3_d132e6074
zu	w5_d132e6077
Werke	w7_d132e6080
geschritten	w9_d132e6083
wer	w11_d132e6086
den	w1_d132e6091
möchte;	w3_d132e6094
und	w5_d132e6097
zumalen	w7_d132e6100
beyder	w9_d132e6103
dieser	w11_d132e6106
Kro	w13_d132e6110
nen	w1_d132e6115
gleichförmiges	w3_d132e6118
Bestreben	w5_d132e6121
dahin	w7_d132e6124
abgehet,	w9_d132e6127
daß	w1_d132e6133
ersagte	w3_d132e6136
Stände	w5_d132e6139
vertheidiget,	w7_d132e6142
die	w9_d132e6145
Ver	w11_d132e6148
fassung	w1_d132e6153
des	w3_d132e6156
Reiches	w5_d132e6159
beschützet,	w7_d132e6162
und	w9_d132e6165
zuvorde	w11_d132e6168
rist	w1_d132e6173
die	w3_d132e6176
Gerechtsame	w5_d132e6179
deren	w7_d132e6182
dreyen	w9_d132e6185
in	w11_d132e6188
Teutsch	w13_d132e6192
land	w1_d132e6197
obwaltenden	w3_d132e6200
Religionen	w5_d132e6203
gehandhabet	w7_d132e6206
werden,	w1_d132e6212
so	w3_d132e6215
haben	w5_d132e6218
Höchst=dieselbe	w7_d132e6221
einhillig	w9_d132e6224
beschlossen,	w1_d132e6229
der	w3_d132e6232
gleichen	w5_d132e6235
Mittel	w7_d132e6238
Raht=schlüßig	w9_d132e6241
zu	w1_d132e6246
ergreiffen,	w3_d132e6249
durch	w5_d132e6252
welche	w7_d132e6255
in	w9_d132e6258
einer	w11_d132e6261
Sache	w13_d132e6265
von	w1_d132e6270
solcher	w3_d132e6273
Wichtigkeit	w5_d132e6276
jedwederer	w7_d132e6279
Seits	w9_d132e6282
aufhabender	w1_d132e6288
Pflicht	w3_d132e6291
die	w5_d132e6294
schleunigste	w7_d132e6297
und	w9_d132e6300
erge	w11_d132e6303
bigste	w1_d132e6308
Genugthuung	w3_d132e6311
beschehe.	w5_d132e6314
</p>
<p id="p12_d132e6318">
Es	w1_d132e6322
erklären	w3_d132e6325
dannenhero	w5_d132e6328
Se.	w7_d132e6331
Majestät	w9_d132e6334
mein	w11_d132e6337
allergnädigster	w1_d132e6342
Herr	w3_d132e6345
und	w5_d132e6348
König,	w7_d132e6351
samt	w9_d132e6354
Sr.	w11_d132e6357
des	w1_d132e6362
Königs	w3_d132e6365
von	w5_d132e6368
Frankreich	w7_d132e6371
Majestät,	w9_d132e6374
in	w11_d132e6377
Dero,	w13_d132e6381
und	w1_d132e6387
des	w3_d132e6390
Schwedischen	w5_d132e6393
Reiches	w7_d132e6396
Namen	w9_d132e6399
hiemit	w11_d132e6402
dem	w1_d132e6407
ganzen	w3_d132e6410
Römischen	w5_d132e6413
Reich,	w7_d132e6416
daß	w9_d132e6419
Sie	w11_d132e6422
als	w13_d132e6426
Bürgen	w1_d132e6431
des	w3_d132e6434
Westphälischen	w5_d132e6437
Friedens	w7_d132e6440
nach	w9_d132e6443
al	w11_d132e6446
len	w1_d132e6451
ihren	w3_d132e6454
Kräften,	w5_d132e6457
und	w7_d132e6460
erheuschender	w9_d132e6463
Noht	w11_d132e6466
durft	w1_d132e6472
des	w3_d132e6475
Reichs	w5_d132e6478
ihre	w7_d132e6481
gemeinschaftliche	w9_d132e6484
Sorg	w11_d132e6487
falt	w1_d132e6492
dahin	w3_d132e6495
anwenden	w5_d132e6498
werden,	w7_d132e6501
auf	w9_d132e6504
daß	w11_d132e6507
denen	w13_d132e6511
Kriegs=verheerungen,	w1_d132e6516
womit	w3_d132e6519
Teutschland	w5_d132e6522
überschwemmet	w1_d132e6527
ist,	w3_d132e6530
Einhalt	w5_d132e6533
beschehe,	w7_d132e6536
Scha	w9_d132e6539
den	w1_d132e6545
und	w3_d132e6548
Unbild	w5_d132e6551
ersetzet,	w7_d132e6554
und	w9_d132e6557
insonderheit	w11_d132e6560
das	w13_d132e6564
Recht	w1_d132e6569
deren	w3_d132e6572
dreyen	w5_d132e6575
Religionen	w7_d132e6578
in	w9_d132e6581
dem	w11_d132e6584
Reich	w13_d132e6588
unverlezt	w1_d132e6593
erhalten;	w3_d132e6596
folgbar	w5_d132e6599
auch	w7_d132e6602
die	w9_d132e6605
auf	w11_d132e6608
dem	w13_d132e6612
Westphälischen	w1_d132e6617
Frieden	w3_d132e6620
hauptsächlich	w5_d132e6623
sich	w7_d132e6626
grün	w9_d132e6629
dende	w1_d132e6635
Teutsche	w3_d132e6638
Freyheit	w5_d132e6641
wider	w7_d132e6644
alle	w9_d132e6647
von	w11_d132e6650
was	w13_d132e6654
immer	w1_d132e6659
für	w3_d132e6662
einer	w5_d132e6665
Macht	w7_d132e6668
sich	w9_d132e6671
dargegen	w11_d132e6674
geäusser	w13_d132e6678
te,	w1_d132e6683
oder	w3_d132e6686
auch	w5_d132e6689
noch	w7_d132e6692
künftig	w9_d132e6695
äusserende	w11_d132e6698
frevel	w13_d132e6702
hafte	w1_d132e6707
Zerstöhrungs=absichten	w3_d132e6710
immerhin	w5_d132e6713
mehr	w7_d132e6716
und	w1_d132e6722
mehr	w3_d132e6725
befestiget	w5_d132e6728
werde.	w7_d132e6731
Se.	w9_d132e6734
Schwedische,	w11_d132e6737
wie	w1_d132e6742
ingleichen	w3_d132e6745
Se.	w5_d132e6748
Allerchristlichste	w7_d132e6751
Majestät	w9_d132e6754
hoffen	w1_d132e6759
solchemnach,	w3_d132e6762
daß	w5_d132e6765
das	w7_d132e6768
Reich	w9_d132e6771
Dero	w11_d132e6774
bey	w13_d132e6778
derseits	w1_d132e6783
aufrichtigste	w3_d132e6786
Neigung	w5_d132e6789
zu	w7_d132e6792
Handhab	w9_d132e6795
und	w1_d132e6801
Beförderung	w3_d132e6804
dessen	w5_d132e6807
allgemeinen	w7_d132e6810
Wolstan	w9_d132e6813
</p>
<p id="p18_d132e6826">
des	w1_d132e6830
erkennen	w3_d132e6833
werde,	w5_d132e6836
und	w7_d132e6839
zweislen	w9_d132e6842
gar	w11_d132e6845
nicht	w13_d132e6849
daß	w1_d132e6854
nicht	w3_d132e6857
die	w5_d132e6860
Churfürsten,	w7_d132e6863
Fürsten	w9_d132e6866
/	w11_d132e6869
und	w13_d132e6873
übrige	w1_d132e6878
Stände	w3_d132e6881
des	w5_d132e6884
Reichs	w7_d132e6887
sothane	w9_d132e6890
gerechte	w11_d132e6893
heilsame	w1_d132e6899
und	w3_d132e6902
herzhafte	w5_d132e6905
Maßnehmungen,	w7_d132e6908
auch	w9_d132e6911
nach	w1_d132e6916
ihren	w3_d132e6919
allerseitigen	w5_d132e6922
Kräften	w7_d132e6925
begünstigen,	w9_d132e6928
und	w1_d132e6933
denenselben	w3_d132e6936
ebenfalls	w5_d132e6939
beytretten	w7_d132e6942
werden.	w9_d132e6945
Ware	w1_d132e6950
unterschrieben:	w3_d132e6953
Regenspurg	w5_d132e6956
den	w7_d132e6959
</p>
<head id="h2_d132e6982">
Von	w1_d132e6986
Greiffenheim.	w3_d132e6989
</head>
<p id="p4_d132e6992">
Eben	w1_d132e6996
eine	w3_d132e6999
solche	w5_d132e7002
Erklärung	w7_d132e7005
ist	w9_d132e7008
auch	w11_d132e7011
von	w13_d132e7015
Sr.	w15_d132e7018
Majestät	w1_d132e7023
dem	w3_d132e7026
König	w5_d132e7029
in	w7_d132e7032
Frankreich	w9_d132e7035
durch	w11_d132e7038
Dero	w13_d132e7042
alhier	w1_d132e7047
sich	w3_d132e7050
befindenden	w5_d132e7053
Königlichen	w7_d132e7056
Minister	w9_d132e7059
Herrn	w1_d132e7065
Baron	w3_d132e7068
von	w5_d132e7071
Mackan	w7_d132e7074
den	w9_d132e7077
nämlichen	w11_d132e7080
Tag	w13_d132e7084
bey	w1_d132e7089
der	w3_d132e7092
Reichs=versammlung	w5_d132e7095
in	w7_d132e7098
Lateinisch	w9_d132e7101
und	w11_d132e7104
Französischer	w1_d132e7109
Sprache	w3_d132e7112
eingereichet,	w5_d132e7115
sohin	w7_d132e7118
gleichfalls	w1_d132e7123
gestern	w3_d132e7126
durch	w5_d132e7129
das	w7_d132e7132
ChurMaynzi	w9_d132e7135
sche	w1_d132e7141
Directorium	w3_d132e7144
dictiret	w5_d132e7147
worden,	w7_d132e7150
der	w9_d132e7153
Jnhalt	w11_d132e7156
ist	w1_d132e7161
dem	w3_d132e7164
vorstehenden	w5_d132e7167
mit	w7_d132e7170
dem	w9_d132e7173
einzigen	w11_d132e7176
Unter	w13_d132e7180
schied	w1_d132e7185
des	w3_d132e7188
Declaranten,	w5_d132e7191
in	w7_d132e7194
allen	w9_d132e7197
übrigen	w11_d132e7200
so	w13_d132e7204
gleich,	w1_d132e7209
daß	w3_d132e7212
man	w5_d132e7215
im	w7_d132e7218
wesentlichen	w9_d132e7221
nur	w11_d132e7224
das	w13_d132e7228
nämliche	w1_d132e7234
wiederholen	w3_d132e7237
müste,	w5_d132e7240
wann	w7_d132e7243
man	w9_d132e7246
auch	w11_d132e7249
diesfällige	w1_d132e7254
Uebersetzung	w3_d132e7257
alhier	w5_d132e7260
besonders	w7_d132e7263
dem	w9_d132e7266
Publico	w1_d132e7271
mittheilen	w3_d132e7274
wolte.	w5_d132e7277
Es	w7_d132e7280
ware	w9_d132e7283
unter	w11_d132e7286
schrieben:	w1_d132e7291
</p>
<head id="h2_d132e7297">
Regenspurg	w1_d132e7301
den	w3_d132e7304
14.	w5_d132e7307
Martii	w7_d132e7310
1757.	w9_d132e7313
Von	w1_d132e7318
Mackan.	w3_d132e7321
</head>
<head id="h2_d132e7327">
Dreßden	w1_d132e7331
16.	w3_d132e7334
Martii.	w5_d132e7337
</head>
<p id="p4_d132e7340">
Am	w1_d132e7344
Montag	w3_d132e7347
geschahe	w5_d132e7350
sowol	w7_d132e7353
hier	w9_d132e7356
in	w11_d132e7359
der	w13_d132e7363
Stadt,	w1_d132e7368
Neustadt,	w3_d132e7371
Friedrichsstadt,	w5_d132e7374
als	w7_d132e7377
auch	w9_d132e7380
auf	w11_d132e7383
denen	w1_d132e7388
benachbarten	w3_d132e7391
Dörfern	w5_d132e7394
eine	w7_d132e7397
starke	w9_d132e7400
Wer	w11_d132e7403
bung.	w1_d132e7409
Die	w3_d132e7412
Recruten	w5_d132e7415
hat	w7_d132e7418
man	w9_d132e7421
am	w11_d132e7424
Dien	w13_d132e7428
stag	w1_d132e7433
und	w3_d132e7436
Mittwochen	w5_d132e7439
mit	w7_d132e7442
starken	w9_d132e7445
Commando	w11_d132e7448
von	w1_d132e7453
der	w3_d132e7456
Militz	w5_d132e7459
