<doc id="edoc_wd_1775-07-01" attrs="word" year="1775" month="07" day="01" corpus="1">
<head id="hl4">
Korinth	w40
<g/>
.
Pal=laste	w781
<g/>
=
geführt	w783
<g/>
.
Bald	w785
darauf	w786
kamen	w787
auch	w788
Se	w789
<g/>
.
Majestät	w791
der	w792
König	w793
von	w794
der	w795
Jagd	w796
zurück	w797
<g/>
.
</p>
<p id="p18">
Samstags	w799
begaben	w800
sich	w801
Se	w802
<g/>
.
kön	w804
<g/>
.
Hoheit	w806
in	w807
Gesellschaft	w808
beeder	w809
kön	w810
<g/>
.
Majestäten	w812
nach	w813
dem	w814
kön	w815
<g/>
.
Lustschloße	w817
Capo	w818
di	w819
Monte	w820
<g/>
,
be=sahen	w822
<g/>
=
daselbst	w824
die	w825
kostbare	w826
Sammlung	w827
von	w828
Schilderungen	w829
<g/>
,
Statuen	w831
<g/>
,
Denkmünzen	w833
und	w834
andern	w835
Seltenheiten	w836
<g/>
,
und	w838
wohnten	w839
hierauf	w840
einer	w841
sehr	w842
prächtigen	w843
Jagd	w844
im	w845
Lust=walde	w846
<g/>
=
bey	w848
<g/>
.
Abends	w850
erschienen	w851
sämmtli=che	w852
<g/>
=
höchste	w854
Herrschaften	w855
in	w856
dem	w857
herrlich	w858
beleuchteten	w859
Hoftheater	w860
zu	w861
St	w862
<g/>
.
Karl	w864
<g/>
,
um	w866
die	w867
ungemein	w868
schöne	w869
Serenade	w870
<g/>
:
das	w872
Ge=burtsfest	w873
<g/>
=
des	w875
Apolls	w876
<g/>
,
anzuhören	w878
<g/>
.
</p>
<p id="p19">
Sonntags	w880
brachten	w881
Se	w882
<g/>
.
kön	w884
<g/>
.
Hoheit	w886
nach	w887
dero	w888
angestammten	w889
österreichischen	w890
Frömmigkeit	w891
den	w892
Vormittag	w893
mit	w894
erbäu=lichster	w895
<g/>
=
Besuchung	w897
verschiedener	w898
Kirchen	w899
</p>
<p id="p20">
zu	w900
<g/>
.
Nachmittags	w902
machten	w903
Höchstdieselbe	w904
mit	w905
beeden	w906
kön	w907
<g/>
.
Majestäten	w909
einen	w910
Spa=tziergang	w911
<g/>
=
durch	w913
die	w914
Hauptstrasse	w915
von	w916
To=ledo	w917
<g/>
=
<g/>
,
und	w920
sahen	w921
aus	w922
dem	w923
Pallaste	w924
des	w925
Vicekönigs	w926
von	w927
Sicilien	w928
<g/>
,
Fürsten	w930
von	w931
Stigliano	w932
<g/>
,
einem	w934
Pferderennen	w935
mit	w936
zu	w937
<g/>
.
Nachts	w939
war	w940
Ball	w941
bey	w942
Hofe	w943
<g/>
,
und	w945
heute	w946
Abends	w947
wird	w948
musikalische	w949
Hofakademie	w950
zu	w951
Posilippo	w952
seyn	w953
<g/>
.
</p>
<head id="hl10">
Rom	w955
den	w956
14	w957
<g/>
.
Brachm	w959
<g/>
.
</head>
<p id="p21">
Der	w961
Fürst	w962
Ruspoli	w963
<g/>
,
und	w965
der	w966
Duca	w967
di	w968
Zagarola	w969
Rospigliori	w970
sind	w971
zur	w972
Bedienung	w973
Sr	w974
<g/>
.
kön	w976
<g/>
.
Hoheit	w978
des	w979
Erzherzogs	w980
Maxi=milian	w981
<g/>
=
ernannt	w983
worden	w984
<g/>
,
falls	w986
es	w987
Höchst=denselben	w988
<g/>
=
belieben	w990
sollte	w991
<g/>
,
bey	w993
dero	w994
Rück=kehr	w995
<g/>
=
aus	w997
Neapel	w998
die	w999
hiesigen	w1000
Merkwür=digkeiten	w1001
<g/>
=
in	w1003
Augenschein	w1004
zu	w1005
nehmen	w1006
<g/>
.
</p>
<p id="p22">
Nachdem	w1008
der	w1009
hochwürdigste	w1010
P	w1011
<g/>
.
Xime=mes	w1013
<g/>
=
<g/>
,
neubestättigter	w1016
General	w1017
des	w1018
Kar=melitenordens	w1019
<g/>
=
<g/>
,
die	w1022
Auswahl	w1023
der	w1024
übrigen	w1025
vornehmsten	w1026
Ordensobrigleiten	w1027
dem	w1028
päbst	w1029
<g/>
.
Stuyle	w1031
anheim	w1032
gestellt	w1033
<g/>
;
so	w1035
haben	w1036
Se	w1037
<g/>
.
Heiligkeit	w1039
den	w1040
P	w1041
<g/>
.
Centospiga	w1043
zum	w1044
Gene=ralordensprokurator	w1045
<g/>
=
erklärt	w1047
<g/>
.
</p>
<p id="p23">
Die	w1049
Ausgrabungen	w1050
in	w1051
dem	w1052
Tyberfluße	w1053
werden	w1054
fortgesetzt	w1055
werden	w1056
<g/>
,
doch	w1058
nicht	w1059
mehr	w1060
am	w1061
Ufer	w1062
nahe	w1063
an	w1064
der	w1065
Engelsburg	w1066
<g/>
,
son=dern	w1068
<g/>
=
unweit	w1070
einer	w1071
Jnsel	w1072
zwischen	w1073
den	w1074
Brücken	w1075
dei	w1076
quatro	w1077
Capi	w1078
<g/>
.
</p>
<p id="p24">
Sonntags	w1080
gab	w1081
der	w1082
neue	w1083
venetianische	w1084
Bothschafter	w1085
<g/>
,
Herr	w1087
Renier	w1088
<g/>
,
die	w1090
erste	w1091
große	w1092
Tafel	w1093
von	w1094
25	w1095
Gedecken	w1096
für	w1097
eben	w1098
so	w1099
viele	w1100
Standespersonen	w1101
seiner	w1102
Nation	w1103
<g/>
.
Abends	w1105
hatte	w1106
er	w1107
die	w1108
erste	w1109
Privataudienz	w1110
bey	w1111
Sr	w1112
<g/>
.
Heiligkeit	w1114
<g/>
.
</p>
<p id="p25">
Eben	w1116
an	w1117
diesem	w1118
Tage	w1119
<g/>
,
als	w1121
am	w1122
Krö=nungsfeste	w1123
<g/>
=
des	w1125
allerchristl	w1126
<g/>
.
Königes	w1128
<g/>
,
ha=ben	w1130
<g/>
=
alle	w1132
hiesige	w1133
Minister	w1134
der	w1135
bourbonischen	w1136
Höfe	w1137
<g/>
,
wie	w1139
auch	w1140
der	w1141
Herr	w1142
Fürst	w1143
Barbe=rini	w1144
<g/>
=
<g/>
,
Ritter	w1147
des	w1148
H	w1149
<g/>
.
Geistesordens	w1151
<g/>
,
präch=tige	w1153
<g/>
=
Beleuchtungen	w1155
gehalten	w1156
<g/>
.
</p>
<p id="p26">
Der	w1158
Kurier	w1159
Konstantin	w1160
Tironi	w1161
<g/>
,
wel=cher	w1163
<g/>
=
Se	w1165
<g/>
.
kön	w1167
<g/>
.
Hoheit	w1169
den	w1170
Erzherzog	w1171
Ma=ximilian	w1172
<g/>
=
auf	w1174
dero	w1175
Reise	w1176
durch	w1177
den	w1178
Kir=chenstaat	w1179
<g/>
=
begleitet	w1181
<g/>
,
ist	w1183
an	w1184
den	w1185
neapolita=nischen	w1186
<g/>
=
Gränzen	w1188
von	w1189
Höchstdenselben	w1190
ent=lassen	w1191
<g/>
=
<g/>
,
und	w1194
mit	w1195
einer	w1196
göldenen	w1197
Schau=münze	w1198
<g/>
=
<g/>
,
nebst	w1201
noch	w1202
50	w1203
Dukaten	w1204
beschenkt	w1205
worden	w1206
<g/>
.
</p>
<p id="p27">
Montags	w1208
ward	w1209
zu	w1210
Civita	w1211
Vechia	w1212
die	w1213
</p>
<p id="p28">
neuerbaute	w1214
päbstl	w1215
<g/>
.
Galeere	w1217
St	w1218
<g/>
.
Andreas	w1220
<g/>
,
in	w1222
die	w1223
See	w1224
gelassen	w1225
<g/>
.
Nächstens	w1227
wird	w1228
sol=che	w1229
<g/>
=
eine	w1231
Kreuzfahrt	w1232
gegen	w1233
die	w1234
barbarischen	w1235
Seeräuber	w1236
in	w1237
dasigen	w1238
Gewässern	w1239
unter=nehmen	w1240
<g/>
=
<g/>
.
</p>
<head id="hl11">
Livorno	w1243
den	w1244
16	w1245
<g/>
.
Brachm	w1247
<g/>
.
</head>
<p id="p29">
Mittwochs	w1249
hat	w1250
unser	w1251
Herr	w1252
Statthalter	w1253
ein	w1254
herrliches	w1255
Mittagmal	w1256
zu	w1257
Ehren	w1258
des	w1259
Herrn	w1260
Grafens	w1261
von	w1262
Kolloredo	w1263
angestellt	w1264
<g/>
.
</p>
<p id="p30">
Gestern	w1266
sind	w1267
die	w1268
zwey	w1269
unter	w1270
Komman=do	w1271
<g/>
=
des	w1273
Ritters	w1274
Acton	w1275
stehende	w1276
großher=zogliche	w1277
<g/>
=
Fregaten	w1279
mit	w1280
günstigem	w1281
Winde	w1282
nach	w1283
Kartagena	w1284
abgesegelt	w1285
<g/>
.
Jakob	w1287
Laas	w1288
Kapitain	w1289
des	w1290
von	w1291
Amsterdam	w1292
hier	w1293
ange=gekommenen	w1294
<g/>
=
Kauffartheyschiffes	w1296
<g/>
,
die	w1298
Ein=tracht	w1299
<g/>
=
<g/>
,
nahm	w1302
vor	w1303
einigen	w1304
Tagen	w1305
durch	w1306
den	w1307
Strick	w1308
sich	w1309
selbst	w1310
das	w1311
Leben	w1312
in	w1313
dem	w1314
Hause	w1315
des	w1316
holländischen	w1317
Konsuls	w1318
<g/>
.
</p>
<head id="hl12">
Triest	w1320
den	w1321
19	w1322
<g/>
.
Brachm	w1324
<g/>
.
</head>
<p id="p31">
Dieser	w1326
Tagen	w1327
kam	w1328
der	w1329
rußische	w1330
Ober=ste	w1331
<g/>
=
Mozenego	w1333
in	w1334
Gesellschaft	w1335
des	w1336
gelehr=ten	w1337
<g/>
=
Herrn	w1339
Cosmus	w1340
Mori	w1341
von	w1342
Zante	w1343
hier	w1344
an	w1345
<g/>
,
setzte	w1347
aber	w1348
bald	w1349
darauf	w1350
seinen	w1351
Weg	w1352
nach	w1353
Petersburg	w1354
fort	w1355
<g/>
.
</p>
<p id="p32">
Gestern	w1357
ländete	w1358
ein	w1359
venetianisches	w1360
Schif	w1361
<g/>
,
die	w1363
Eintracht	w1364
hier	w1365
an	w1366
<g/>
.
Der	w1368
Kapitain	w1369
sagt	w1370
<g/>
,
daß	w1372
unweit	w1373
Vullona	w1374
400	w1375
Räuber	w1376
aus	w1377
dem	w1378
cimariottischen	w1379
Gebürge	w1380
Feuer	w1381
auf	w1382
ihn	w1383
gegeben	w1384
<g/>
,
und	w1386
einige	w1387
aus	w1388
ihnen	w1389
gesucht	w1390
hätten	w1391
<g/>
,
auf	w1393
kleinen	w1394
Barquen	w1395
sich	w1396
seinem	w1397
Schiffe	w1398
zu	w1399
nähern	w1400
<g/>
,
und	w1402
dasselbe	w1403
wegzukapern	w1404
<g/>
.
Seine	w1406
Leute	w1407
hätten	w1408
aber	w1409
so	w1410
tapfere	w1411
Gegenwehr	w1412
geleistet	w1413
<g/>
,
daß	w1415
die	w1416
Feinde	w1417
unverrichter	w1418
Dingen	w1419
abziehen	w1420
müs=sen	w1421
<g/>
=
<g/>
.
Doch	w1424
hätten	w1425
sie	w1426
bald	w1427
darauf	w1428
unweit	w1429
der	w1430
Jnsel	w1431
Saßino	w1432
ein	w1433
anderes	w1434
kleines	w1435
Schif	w1436
erbeutet	w1437
<g/>
.
</p>
<p id="p33">
Die	w1439
Einfuhr	w1440
dieser	w1441
Woche	w1442
besteht	w1443
in	w1444
Oel	w1445
<g/>
,
Citronen	w1447
<g/>
,
Datteln	w1449
<g/>
,
Pistazen	w1451
<g/>
,
Man=deln	w1453
<g/>
=
<g/>
,
Koffee	w1456
<g/>
,
Cacao	w1458
<g/>
,
Jndigo	w1460
<g/>
,
Rocon	w1462
<g/>
,
Alaun	w1464
⁊c	w1465
<g/>
.
dagegen	w1467
ist	w1468
Leinwand	w1469
<g/>
,
Getreid	w1471
<g/>
,
Bley	w1473
<g/>
,
Eisenwerk	w1475
<g/>
,
Bretter	w1477
<g/>
,
böhmisches	w1479
Kristall	w1480
<g/>
,
Wax	w1482
<g/>
,
Kalb	w1484
<g/>
=
und	w1486
Haasenfelle	w1487
ausgeführt	w1488
worden	w1489
<g/>
.
</p>
<head id="hl13">
Paris	w1491
den	w1492
12	w1493
<g/>
.
Brachm	w1495
<g/>
.
</head>
<p id="p34">
Es	w1497
wird	w1498
für	w1499
gewiß	w1500
versichert	w1501
<g/>
,
daß	w1503
der	w1504
verwiesene	w1505
Kanzler	w1506
sich	w1507
unterfangen	w1508
<g/>
,
an	w1510
Se	w1511
<g/>
.
Majestät	w1513
zu	w1514
schreiben	w1515
<g/>
,
wie	w1517
nur	w1518
ihm	w1519
das	w1520
Recht	w1521
gebühre	w1522
<g/>
,
bey	w1524
dem	w1525
Krö=nungsfest	w1526
<g/>
=
die	w1528
Verrichtungen	w1529
eines	w1530
KanzKanzlers	w1531
<g/>
=
</p>
<p id="p35">
lers	w1533
in	w1534
eigener	w1535
Person	w1536
auszuüben	w1537
<g/>
.
Er	w1539
sollte	w1540
doch	w1541
wissen	w1542
<g/>
,
daß	w1544
<g/>
,
da	w1546
bey	w1547
der	w1548
Krö=nung	w1549
<g/>
=
Ludwigs	w1551
XV	w1552
<g/>
.
der	w1554
damalige	w1555
Kanz=ler	w1556
<g/>
=
<g/>
,
Herr	w1559
Dagnesseau	w1560
ebenfalls	w1561
verwie=sen	w1562
<g/>
=
gewest	w1564
<g/>
,
seine	w1566
Stelle	w1567
von	w1568
dem	w1569
Siegel=bewahrer	w1570
<g/>
=
<g/>
,
Herrn	w1573
d'	w1574
Armenonville	w1575
ver=tretten	w1576
<g/>
=
worden	w1578
<g/>
.
</p>
<p id="p36">
Als	w1580
neulich	w1581
Monsieur	w1582
sich	w1583
in	w1584
das	w1585
Steuer=kammergericht	w1586
<g/>
=
begeben	w1588
<g/>
,
und	w1590
daselbst	w1591
eine	w1592
Rede	w1593
gehalten	w1594
<g/>
,
die	w1596
von	w1597
Jedermann	w1598
be=wundert	w1599
<g/>
=
worden	w1601
<g/>
,
antwortete	w1603
der	w1604
erste	w1605
Präsident	w1606
dieses	w1607
Gerichtshofes	w1608
<g/>
,
Herr	w1610
v	w1611
<g/>
.
Malesherbes	w1613
<g/>
,
dem	w1615
Prinzen	w1616
mit	w1617
vielem	w1618
Nachdruck	w1619
<g/>
,
und	w1621
sagte	w1622
unter	w1623
andern	w1624
<g/>
,
daß	w1626
es	w1627
Fälle	w1628
gebe	w1629
<g/>
,
wo	w1631
das	w1632
Privatinter=esse	w1633
<g/>
=
der	w1635
Minister	w1636
das	w1637
Jnteresse	w1638
des	w1639
Staats	w1640
nicht	w1641
seye	w1642
<g/>
,
noch	w1644
seyn	w1645
könne	w1646
<g/>
.
</p>
<p id="p37">
Der	w1648
Herzog	w1649
von	w1650
Aiguillon	w1651
muß	w1652
gar	w1653
bis	w1654
nach	w1655
einen	w1656
Ort	w1657
gleichen	w1658
Namens	w1659
in	w1660
der	w1661
Provinz	w1662
Guienna	w1663
sich	w1664
entfernen	w1665
<g/>
.
</p>
<p id="p38">
Vergangenen	w1667
Mittwoch	w1668
starb	w1669
Mada=me	w1670
<g/>
=
de	w1672
la	w1673
Fosse	w1674
Landry	w1675
an	w1676
den	w1677
Folgen	w1678
eines	w1679
außerordentlichen	w1680
Schröckens	w1681
<g/>
,
wel=ches	w1683
<g/>
=
sie	w1685
in	w1686
dem	w1687
französischen	w1688
Schauspiel	w1689
bey	w1690
Vorstellung	w1691
der	w1692
Zayre	w1693
in	w1694
dem	w1695
Au=genblick	w1696
<g/>
=
überfallen	w1698
<g/>
,
da	w1700
diese	w1701
den	w1702
tödli=chen	w1703
<g/>
=
Dolchstich	w1705
empfieng	w1706
<g/>
.
Das	w1708
Schau=spiel	w1709
<g/>
=
ist	w1711
über	w1712
eine	w1713
Viertelstund	w1714
durch	w1715
die=sen	w1716
<g/>
=
wirklich	w1718
tragischen	w1719
Zufall	w1720
unterbro=chen	w1721
<g/>
=
worden	w1723
<g/>
.
</p>
<head id="hl14">
Stockholm	w1725
den	w1726
9	w1727
<g/>
.
Brachm	w1729
<g/>
.
</head>
<p id="p39">
Den	w1731
6	w1732
<g/>
.
dieses	w1734
kam	w1735
der	w1736
neue	w1737
k	w1738
<g/>
.
k	w1740
<g/>
.
Ge=sandte	w1742
<g/>
=
bey	w1744
unserm	w1745
königl	w1746
<g/>
.
Hofe	w1748
<g/>
,
Herr	w1750
Graf	w1751
von	w1752
Kaunitz	w1753
<g/>
,
von	w1755
Wien	w1756
über	w1757
Pommern	w1758
und	w1759
Ystadt	w1760
allhier	w1761
an	w1762
<g/>
.
</p>
<p id="p40">
Am	w1764
Sonntage	w1765
ist	w1766
auch	w1767
der	w1768
rußisch	w1769
<g/>
=
kai=serliche	w1771
<g/>
=
Gesandte	w1773
<g/>
,
von	w1775
Simolin	w1776
<g/>
,
welcher	w1778
mit	w1779
gleichem	w1780
Carakter	w1781
zeither	w1782
am	w1783
königl	w1784
<g/>
.
dänischen	w1786
Hofe	w1787
gestanden	w1788
hat	w1789
<g/>
,
von	w1791
Ko=penhagen	w1792
<g/>
=
hierselbst	w1794
eingetroffen	w1795
<g/>
.
</p>
<p id="p41">
Dagegen	w1797
ist	w1798
der	w1799
königl	w1800
<g/>
.
spanische	w1802
Ge=sandte	w1803
<g/>
=
<g/>
,
Marquis	w1806
von	w1807
Llano	w1808
<g/>
