<doc id="wr_1762-08-11" attrs="word" year="1762" month="08" day="11" corpus="2">
<head id="h2_d681e2802">
Lissabon	w1_d681e2806
und	w13_d681e3340
auf	w1_d681e3345
dieser	w3_d681e3348
Seite	w5_d681e3351
steht	w7_d681e3354
solchem	w9_d681e3357
die	w11_d681e3360
Vestung	w13_d681e3364
Valenza	w1_d681e3370
im	w3_d681e3373
Weeg,	w5_d681e3376
die	w7_d681e3379
aber	w9_d681e3382
nur	w11_d681e3385
mit	w13_d681e3389
Mi	w15_d681e3392
litz	w1_d681e3397
besetzt,	w3_d681e3400
sonsten	w5_d681e3403
aber	w7_d681e3406
wolbefestigt	w9_d681e3409
ist.	w11_d681e3412
Der	w13_d681e3416
Marquls	w1_d681e3421
de	w3_d681e3424
Sarria	w5_d681e3427
läst	w7_d681e3430
Chaves	w9_d681e3433
fortifici	w11_d681e3436
ren,	w1_d681e3441
vermuhtlich,	w3_d681e3444
um	w5_d681e3447
seine	w7_d681e3450
Magazine	w9_d681e3453
da	w11_d681e3456
selbst	w1_d681e3462
anzulegen.	w3_d681e3465
Ausser	w5_d681e3468
verschiedenen	w7_d681e3471
De	w9_d681e3474
taschements	w1_d681e3479
stehen	w3_d681e3482
6000.	w5_d681e3485
Mann	w7_d681e3488
Spanier	w9_d681e3491
bey	w11_d681e3494
Moncorvo,	w1_d681e3499
so	w3_d681e3502
verschiedenemal	w5_d681e3505
den	w7_d681e3508
Douro	w9_d681e3511
zu	w1_d681e3516
paßren	w3_d681e3519
gesucht,	w5_d681e3522
aber	w7_d681e3525
allemal	w9_d681e3528
von	w11_d681e3531
der	w13_d681e3535
Landmilitz	w1_d681e3541
unter	w3_d681e3544
dem	w5_d681e3547
Obristen	w7_d681e3550
Obara	w9_d681e3553
zuruck	w11_d681e3556
getreeben	w1_d681e3561
worden.	w3_d681e3564
Unsere	w5_d681e3567
Armee	w7_d681e3570
am	w9_d681e3573
obern	w11_d681e3576
Tagus	w1_d681e3581
hat	w3_d681e3584
noch	w5_d681e3587
kein	w7_d681e3590
Lager	w9_d681e3593
bezogen.	w11_d681e3596
Acht	w13_d681e3600
Regimenter,	w1_d681e3605
so	w3_d681e3608
man	w5_d681e3611
aus	w7_d681e3614
Alentejo	w9_d681e3617
dahin	w11_d681e3620
</p>
<p id="p12_d681e3634">
gezogen,	w1_d681e3638
sind	w3_d681e3641
angelangt,	w5_d681e3644
und	w7_d681e3647
Fünfe	w9_d681e3650
da	w11_d681e3653
von	w1_d681e3658
nach	w3_d681e3661
Castell=Branco	w5_d681e3664
gelegt.	w7_d681e3667
Die	w9_d681e3670
Eng	w11_d681e3673
lisch	w1_d681e3678
Generals	w3_d681e3681
Kelly	w5_d681e3684
und	w7_d681e3687
Lenox,	w9_d681e3690
so	w11_d681e3693
in	w13_d681e3697
un	w15_d681e3700
sers	w1_d681e3706
Königs	w3_d681e3709
Dienste	w5_d681e3712
getretten,	w7_d681e3715
sind	w9_d681e3718
gestern	w11_d681e3721
so	w1_d681e3726
bey	w3_d681e3729
uns	w5_d681e3732
mit	w1_d681e3737
allen	w3_d681e3740
fremden	w5_d681e3743
Officiers,	w7_d681e3746
Dienste	w1_d681e3751
genommen,	w3_d681e3754
nach	w5_d681e3757
der	w7_d681e3760
Armee	w9_d681e3763
abge	w11_d681e3766
gaagen,	w1_d681e3772
welche	w3_d681e3775
mit	w5_d681e3778
Einbegrif	w7_d681e3781
der	w9_d681e3784
Detasche	w11_d681e3787
ments	w1_d681e3792
zu	w3_d681e3795
Lamego	w5_d681e3798
und	w7_d681e3801
Castel=branco	w9_d681e3804
30000.	w11_d681e3807
Mann	w1_d681e3812
ausmacht.	w3_d681e3815
Vermög	w5_d681e3818
der	w7_d681e3821
Nachrich	w9_d681e3824
ten	w1_d681e3829
von	w3_d681e3832
Almeida	w5_d681e3835
sind	w7_d681e3838
den	w9_d681e3841
7.	w11_d681e3844
Junii	w13_d681e3848
die	w15_d681e3851
Spa	w17_d681e3854
nier	w1_d681e3860
mit	w3_d681e3863
dem	w5_d681e3866
linken	w7_d681e3869
Flügel	w9_d681e3872
ihrer	w11_d681e3875
Armee	w13_d681e3879
un	w15_d681e3882
ter	w1_d681e3887
dem	w3_d681e3890
Grafen	w5_d681e3893
von	w7_d681e3896
Maceda	w9_d681e3899
ins	w11_d681e3902
Portugesi	w13_d681e3906
sche	w1_d681e3911
eingerücket;	w3_d681e3914
5000.	w5_d681e3917
Mann	w7_d681e3920
zu	w9_d681e3923
Fuß	w11_d681e3926
und	w13_d681e3930
1000.	w1_d681e3935
Pferde	w3_d681e3938
haben	w5_d681e3941
sich	w7_d681e3944
Almeida	w9_d681e3947
auf	w11_d681e3950
eine	w13_d681e3954
halbe	w1_d681e3960
Stunde	w3_d681e3963
genähert,	w5_d681e3966
und	w7_d681e3969
man	w9_d681e3972
vermutet	w11_d681e3975
eine	w1_d681e3980
Belagerung.	w3_d681e3983
Gestern	w5_d681e3986
ist	w7_d681e3989
der	w9_d681e3992
zu	w11_d681e3995
Ma	w13_d681e3999
drit	w1_d681e4004
geweste	w3_d681e4007
Gesandte	w5_d681e4010
Don	w7_d681e4013
Joseph	w9_d681e4016
da	w11_d681e4019
Sy	w13_d681e4023
lon	w1_d681e4028
Pesanha	w3_d681e4031
wieder	w5_d681e4034
zurück	w7_d681e4037
gekommen,	w9_d681e4040
und	w11_d681e4043
sehr	w1_d681e4049
gnädig	w3_d681e4052
empfangen	w5_d681e4055
worden.	w7_d681e4058
Die	w9_d681e4061
Eng	w11_d681e4064
ländische	w1_d681e4069
Compagnie	w3_d681e4072
zu	w5_d681e4075
Oporto	w7_d681e4078
fährt	w9_d681e4081
fort	w11_d681e4084
ihre	w1_d681e4089
Weine	w3_d681e4092
einzuschiffen,	w5_d681e4095
und	w7_d681e4098
sie	w9_d681e4101
kan	w11_d681e4104
kaum	w13_d681e4108
Schiffe	w1_d681e4113
genug	w3_d681e4116
auftreiben,	w5_d681e4119
dieselbe	w7_d681e4122
alle	w9_d681e4125
auf	w11_d681e4128
zuladen.	w1_d681e4134
Eine	w3_d681e4137
bewafnete	w5_d681e4140
Chaluppe	w7_d681e4143
ist	w9_d681e4146
zu	w11_d681e4149
deren	w1_d681e4154
Begleitung	w3_d681e4157
allda	w5_d681e4160
eingeloffen.	w7_d681e4163
</p>
<head id="h2_d681e4169">
Madrid	w1_d681e4173
13.	w3_d681e4176
Julii.	w5_d681e4179
</head>
<p id="p4_d681e4182">
Der	w1_d681e4186
Marquis	w3_d681e4189
von	w5_d681e4192
Sarria,	w7_d681e4195
bisheriger	w9_d681e4198
Befehlshaber	w1_d681e4203
der	w3_d681e4206
Königl.	w5_d681e4209
Kriegs=völker	w7_d681e4212
in	w9_d681e4215
Portugall	w1_d681e4220
wurde	w3_d681e4223
auf	w5_d681e4226
sein	w7_d681e4229
Anhalten,	w9_d681e4232
und	w11_d681e4235
in	w13_d681e4239
Ansehung	w1_d681e4245
seines	w3_d681e4248
hohen	w5_d681e4251
Alters	w7_d681e4254
von	w9_d681e4257
dem	w11_d681e4260
Kö	w13_d681e4264
nig	w1_d681e4269
in	w3_d681e4272
Gnaden	w5_d681e4275
entlassen,	w7_d681e4278
und	w9_d681e4281
an	w11_d681e4284
seiner	w13_d681e4288
Stelle	w15_d681e4291
der	w1_d681e4296
Graf	w3_d681e4299
v.	w5_d681e4302
Aranda,	w7_d681e4305
ehemaliger	w9_d681e4308
Gesandter	w11_d681e4311
Sr.	w1_d681e4316
Catholischen	w3_d681e4319
Majestät	w5_d681e4322
an	w7_d681e4325
dem	w9_d681e4328
Pohlni	w11_d681e4331
schen	w1_d681e4337
Hof	w3_d681e4340
zum	w5_d681e4343
obersten	w7_d681e4346
Befehlshaber	w9_d681e4349
ernen	w11_d681e4352
net.	w1_d681e4357
Es	w3_d681e4360
hatte	w5_d681e4363
dieser	w7_d681e4366
neue	w9_d681e4369
General	w11_d681e4372
bey	w13_d681e4376
sei	w15_d681e4379
ner	w1_d681e4384
Ankunft	w3_d681e4387
in	w5_d681e4390
Madrit	w7_d681e4393
sogleich	w9_d681e4396
die	w11_d681e4399
Ehre,	w13_d681e4403
mit	w1_d681e4408
dem	w3_d681e4411
König	w5_d681e4414
in	w7_d681e4417
verschiedenen	w9_d681e4420
geheimen	w11_d681e4423
Unterredungen	w1_d681e4429
zu	w3_d681e4432
seyn,	w5_d681e4435
zu	w7_d681e4438
denen	w9_d681e4441
auch	w11_d681e4444
der	w13_d681e4448
Prinz	w1_d681e4453
v.	w3_d681e4456
Beauvau,	w5_d681e4459
Befehlshaber	w7_d681e4462
der	w9_d681e4465
Fran	w11_d681e4468
zösischen	w1_d681e4473
Trupen,	w3_d681e4476
die	w5_d681e4479
nun	w7_d681e4482
würklich	w9_d681e4485
zu	w11_d681e4488
den	w13_d681e4492
unsrigen	w1_d681e4497
in	w3_d681e4500
Gallicien	w5_d681e4503
gestossen	w7_d681e4506
sind,	w9_d681e4509
gezogen	w11_d681e4512
wurde.	w1_d681e4518
Jn	w3_d681e4521
diesen	w5_d681e4524
Conferenzen	w7_d681e4527
wurde	w9_d681e4530
un	w11_d681e4533
ter	w1_d681e4538
den	w3_d681e4541
Augen,	w5_d681e4544
und	w7_d681e4547
mit	w9_d681e4550
Beyfall	w11_d681e4553
seiner	w13_d681e4557
Ma	w15_d681e4560
</p>
<p id="p6_d681e4563">
jestät	w1_d681e4567
der	w3_d681e4570
Operations=plan	w5_d681e4573
zu	w7_d681e4576
denen	w9_d681e4579
Verrich	w11_d681e4582
tungen	w1_d681e4587
in	w3_d681e4590
Porzugall	w5_d681e4593
gemacht.	w7_d681e4596
Der	w9_d681e4599
Graf	w11_d681e4602
v.	w13_d681e4606
Aranda	w1_d681e4611
gieng	w3_d681e4614
hierauf	w5_d681e4617
gleich	w7_d681e4620
zur	w9_d681e4623
Armee	w11_d681e4626
ab,	w13_d681e4630
um	w1_d681e4636
das	w3_d681e4639
Commando	w5_d681e4642
zu	w7_d681e4645
übernehmen,	w9_d681e4648
wohin	w11_d681e4651
ihm	w1_d681e4656
der	w3_d681e4659
Französische	w5_d681e4662
General	w7_d681e4665
folget,	w9_d681e4668
um	w11_d681e4671
mit	w1_d681e4676
den	w3_d681e4679
unsrigen	w5_d681e4682
gemeinschaftlich	w7_d681e4685
zu	w9_d681e4688
agi	w11_d681e4691
ren.	w1_d681e4696
Der	w3_d681e4699
Hof	w5_d681e4702
hat	w7_d681e4705
einen	w9_d681e4708
Befehl	w11_d681e4711
kund	w13_d681e4715
ma	w15_d681e4718
chen	w1_d681e4724
lassen:	w3_d681e4727
daß	w5_d681e4730
jedermann,	w7_d681e4733
wer	w9_d681e4736
Last=vieh	w11_d681e4739
hat,	w1_d681e4744
ein	w3_d681e4747
genaues	w5_d681e4750
Verzeichniß	w7_d681e4753
davon	w9_d681e4756
denen	w11_d681e4759
respectiven	w1_d681e4764
Statthaltern	w3_d681e4767
der	w5_d681e4770
Provinzen	w7_d681e4773
ein	w9_d681e4776
liefern	w1_d681e4781
solle,	w3_d681e4784
denen	w5_d681e4787
aufgetragen	w7_d681e4790
ist,	w9_d681e4793
über	w11_d681e4796
das	w1_d681e4802
zum	w3_d681e4805
Dienst	w5_d681e4808
der	w7_d681e4811
Armee	w9_d681e4814
Nöhtige	w11_d681e4817
mit	w13_d681e4821
den	w15_d681e4824
Eigentümern	w1_d681e4829
zu	w3_d681e4832
handeln.	w5_d681e4835
Zu	w7_d681e4838
Braganza	w9_d681e4841
fande	w1_d681e4846
sich	w3_d681e4849
eine	w5_d681e4852
grosse	w7_d681e4855
Anzahl	w9_d681e4858
von	w11_d681e4861
Kirchen	w13_d681e4865
gesässen	w1_d681e4870
und	w3_d681e4873
Zierrahten,	w5_d681e4876
die	w7_d681e4879
von	w9_d681e4882
unterschie	w11_d681e4885
denen	w1_d681e4891
Orten	w3_d681e4894
waren	w5_d681e4897
dahin	w7_d681e4900
geflüchtet	w9_d681e4903
wor	w11_d681e4906
den.	w1_d681e4911
Damit	w3_d681e4914
man	w5_d681e4917
nun	w7_d681e4920
von	w9_d681e4923
denselben	w11_d681e4926
nicht	w13_d681e4930
etwa	w1_d681e4935
einen	w3_d681e4938
unheiligen	w5_d681e4941
Gebrauch	w7_d681e4944
mache,	w9_d681e4947
wur	w11_d681e4950
den	w1_d681e4955
sie,	w3_d681e4958
nachdem	w5_d681e4961
unsere	w7_d681e4964
Trupen	w9_d681e4967
die	w11_d681e4970
Stadt	w13_d681e4974
verlassen,	w1_d681e4980
auf	w3_d681e4983
Befehl	w5_d681e4986
Seiner	w7_d681e4989
Majestät	w9_d681e4992
aus	w11_d681e4995
dem	w1_d681e5000
Haupt=quartier	w3_d681e5003
in	w5_d681e5006
den	w7_d681e5009
Pallast	w9_d681e5012
des	w11_d681e5015
Bi	w13_d681e5019
schoffen	w1_d681e5024
von	w3_d681e5027
Zamaro	w5_d681e5030
gebracht,	w7_d681e5033
und	w9_d681e5036
da	w11_d681e5039
bis	w13_d681e5043
zu	w1_d681e5048
weiterer	w3_d681e5051
Verordnung	w5_d681e5054
verwahrlich	w7_d681e5057
nieder	w9_d681e5060
geleget.	w1_d681e5066
Die	w3_d681e5069
Bauern	w5_d681e5072
in	w7_d681e5075
der	w9_d681e5078
Provinz	w11_d681e5081
Tra	w13_d681e5085
los=montes	w1_d681e5090
empörten	w3_d681e5093
sich,	w5_d681e5096
und	w7_d681e5099
wollten	w9_d681e5102
nicht	w11_d681e5105
nur	w1_d681e5110
dem	w3_d681e5113
eidlich	w5_d681e5116
versprochenen	w7_d681e5119
Gehorsam	w9_d681e5122
zu	w11_d681e5125
wider,	w1_d681e5130
unserm	w3_d681e5133
Kriegs=volk	w5_d681e5136
den	w7_d681e5139
erfordetli	w9_d681e5142
chen	w1_d681e5148
Unterhalt	w3_d681e5151
nicht	w5_d681e5154
beyschaffen,	w7_d681e5157
sondern	w9_d681e5160
suchten	w1_d681e5165
auch	w3_d681e5168
die	w5_d681e5171
Zufuhr	w7_d681e5174
von	w9_d681e5177
Lebens=mitteln	w11_d681e5180
zur	w1_d681e5185
Armee	w3_d681e5188
zu	w5_d681e5191
verhindern.	w7_d681e5194
Der	w9_d681e5197
Marquis	w11_d681e5200
von	w1_d681e5205
Casatremagnes,	w3_d681e5208
Befehlshaber	w5_d681e5211
zu	w7_d681e5214
Mo	w9_d681e5217
nicorvo	w1_d681e5223
trug	w3_d681e5226
dahero	w5_d681e5229
dem	w7_d681e5232
Obristen	w9_d681e5235
D.	w11_d681e5238
Mar	w13_d681e5242
tin	w1_d681e5247
von	w3_d681e5250
Alvares	w5_d681e5253
auf,	w7_d681e5256
den	w9_d681e5259
Posten	w11_d681e5262
von	w13_d681e5266
Villa	w15_d681e5269
flor	w1_d681e5274
zu	w3_d681e5277
besetzen,	w5_d681e5280
und	w7_d681e5283
von	w9_d681e5286
da	w11_d681e5289
aus	w13_d681e5293
den	w15_d681e5296
Feinden	w17_d681e5299
Einhalt	w1_d681e5304
zu	w3_d681e5307
thun,	w5_d681e5310
die	w7_d681e5313
sich	w9_d681e5316
von	w11_d681e5319
Militz	w13_d681e5323
unter	w15_d681e5326
stützet,	w1_d681e5332
bey	w3_d681e5335
4	w5_d681e5338
bis	w7_d681e5341
5000.	w9_d681e5344
Mann	w11_d681e5347
stark	w13_d681e5351
auf	w15_d681e5354
dortigen	w1_d681e5359
Höhen	w3_d681e5362
gesammlet	w5_d681e5365
hatten.	w7_d681e5368
Dieser	w9_d681e5371
tapfere	w1_d681e5376
Officier	w3_d681e5379
triebe	w5_d681e5382
sie	w7_d681e5385
nur	w9_d681e5388
mit	w11_d681e5391
300.	w13_d681e5395
Gre	w15_d681e5398
nadieren,	w1_d681e5403
und	w3_d681e5406
etlichen	w5_d681e5409
Reitern	w7_d681e5412
bald	w9_d681e5415
zu	w11_d681e5418
paa	w13_d681e5422
ren,	w1_d681e5428
und	w3_d681e5431
kehrte,	w5_d681e5434
ohne	w7_d681e5437
einen	w9_d681e5440
Mann	w11_d681e5443
verloh	w13_d681e5447
ren	w1_d681e5452
zu	w3_d681e5455
haben,	w5_d681e5458
wieder	w7_d681e5461
nach	w9_d681e5464
Billaflor	w11_d681e5467
zuruck.	w13_d681e5471
</p>
<head id="h4_d681e5487">
Londen	w1_d681e5491
den	w3_d681e5494
31.	w5_d681e5497
Julii.	w7_d681e5500
</head>
<p id="p6_d681e5503">
Letzter	w1_d681e5507
Tagen	w3_d681e5510
wurde	w5_d681e5513
zu	w7_d681e5516
St.	w9_d681e5519
James	w11_d681e5522
eine	w13_d681e5526
grosse	w1_d681e5531
Rahts=versammlung	w3_d681e5534
gehalten,	w5_d681e5537
bey	w7_d681e5540
welcher	w1_d681e5545
auch	w3_d681e5548
der	w5_d681e5551
erst	w7_d681e5554
jüngsthin	w9_d681e5557
allhier	w11_d681e5560
ange	w13_d681e5564
langte	w1_d681e5570
Herr	w3_d681e5573
Herzog	w5_d681e5576
von	w7_d681e5579
Neweastle	w9_d681e5582
sich	w11_d681e5585
ein	w13_d681e5589
gefunden.	w1_d681e5594
</p>
<p id="p8_d681e5597">
Zufolge	w1_d681e5601
der	w3_d681e5604
letzten	w5_d681e5607
Nachrichten	w7_d681e5610
aus	w9_d681e5613
der	w11_d681e5616
Grafschaft	w1_d681e5621
York	w3_d681e5624
solle	w5_d681e5627
der	w7_d681e5630
bey	w9_d681e5633
Pateley=bridge	w11_d681e5636
gelegene	w1_d681e5641
Morast	w3_d681e5644
noch	w5_d681e5647
nicht	w7_d681e5650
zu	w9_d681e5653
brennen	w11_d681e5656
auf	w13_d681e5660
gehöret	w1_d681e5666
haben,	w3_d681e5669
und	w5_d681e5672
das	w7_d681e5675
Land=volk	w9_d681e5678
trachte	w11_d681e5681
daselbst	w1_d681e5686
noch	w3_d681e5689
immer,	w5_d681e5692
jedoch	w7_d681e5695
vergebens,	w9_d681e5698
dieser	w11_d681e5701
unterierdischen	w1_d681e5706
Brunst	w3_d681e5709
mit	w5_d681e5712
Vorgraben	w7_d681e5715
ein	w9_d681e5718
Ziel	w1_d681e5723
zu	w3_d681e5726
setzen.	w5_d681e5729
Es	w7_d681e5732
haben	w9_d681e5735
bereits	w11_d681e5738
schon	w13_d681e5742
mehrere	w1_d681e5748
in	w3_d681e5751
dasigen	w5_d681e5754
Gegenden	w7_d681e5757
gelegene	w9_d681e5760
Dorf	w11_d681e5763
gruben	w1_d681e5768
zu	w3_d681e5771
brennen	w5_d681e5774
angefangen,	w7_d681e5777
welche	w9_d681e5780
al	w11_d681e5783
lem	w1_d681e5788
Anschein	w3_d681e5791
nach	w5_d681e5794
nichts	w7_d681e5797
als	w9_d681e5800
ein	w11_d681e5803
ausgebiger	w13_d681e5807
starker	w1_d681e5812
Regen	w3_d681e5815
dämpfen	w5_d681e5818
dörfte.	w7_d681e5821
Aus	w9_d681e5824
Cork	w11_d681e5827
vernimmt	w1_d681e5833
man,	w3_d681e5836
daß	w5_d681e5839
die	w7_d681e5842
anhaltende	w9_d681e5845
trockne	w11_d681e5848
Witterung	w1_d681e5853
alle	w3_d681e5856
dasige	w5_d681e5859
Bäche	w7_d681e5862
dergestalt	w9_d681e5865
aus	w11_d681e5868
getrocknet,	w1_d681e5873
daß	w3_d681e5876
die	w5_d681e5879
Müller	w7_d681e5882
nicht	w9_d681e5885
den	w11_d681e5888
sechsten	w13_d681e5892
Theil	w1_d681e5897
so	w3_d681e5900
viel	w5_d681e5903
Mehl,	w7_d681e5906
als	w9_d681e5909
vorhin	w11_d681e5912
zu	w13_d681e5916
liefern	w15_d681e5919
im	w1_d681e5925
Stande	w3_d681e5928
sind,	w5_d681e5931
welches	w7_d681e5934
dann	w9_d681e5937
eine	w11_d681e5940
grosse	w13_d681e5944
Noht	w1_d681e5949
unter	w3_d681e5952
dem	w5_d681e5955
gemeinen	w7_d681e5958
und	w9_d681e5961
armen	w11_d681e5964
Pöbel,	w13_d681e5968
ia	w1_d681e5973
auch	w3_d681e5976
schon	w5_d681e5979
einige	w7_d681e5982
kleine	w9_d681e5985
Aufruhren	w11_d681e5988
verur	w13_d681e5992
sachet.	w1_d681e5997
</p>
<p id="p10_d681e6000">
Zufolge	w1_d681e6004
Briefen	w3_d681e6007
aus	w5_d681e6010
Williamburg	w7_d681e6013
in	w9_d681e6016
Süd=carolina	w1_d681e6021
heisset	w3_d681e6024
der	w5_d681e6027
Name	w7_d681e6030
des	w9_d681e6033
hier	w11_d681e6036
be	w13_d681e6040
findlichen	w1_d681e6045
Cherokesischen	w3_d681e6048
Königs,	w5_d681e6051
Qutacite,	w7_d681e6054
d.	w1_d681e6060
j.	w3_d681e6063
der	w5_d681e6066
Menschen=mörder.	w7_d681e6069
Seine	w9_d681e6072
Lands	w11_d681e6075
leute	w1_d681e6080
haben	w3_d681e6083
ihm	w5_d681e6086
diesen	w7_d681e6089
Titel	w9_d681e6092
beygelegt,	w11_d681e6095
weil	w13_d681e6099
er	w1_d681e6104
ihr	w3_d681e6107
gröster	w5_d681e6110
Krieger	w7_d681e6113
ist,	w9_d681e6116
und	w11_d681e6119
die	w13_d681e6123
meisten	w15_d681e6126
Scalps	w1_d681e6131
geliefert	w3_d681e6134
hat.	w5_d681e6137
Er	w7_d681e6140
ist	w9_d681e6143
ein	w11_d681e6146
geschwor	w13_d681e6150
ner	w1_d681e6156
Feind	w3_d681e6159
des	w5_d681e6162
Attakullakulla,	w7_d681e6165
oder	w9_d681e6168
kleinen	w11_d681e6171
Zimmermanns,	w1_d681e6176
steht	w3_d681e6179
auch	w5_d681e6182
bey	w7_d681e6185
den	w9_d681e6188
Cheroke	w11_d681e6191
sen	w1_d681e6196
in	w3_d681e6199
grösserem	w5_d681e6202
Ansehen,	w7_d681e6205
als	w9_d681e6208
dieser.	w11_d681e6211
Er	w13_d681e6215
half	w15_d681e6218
den	w1_d681e6223
Frieden	w3_d681e6226
seiner	w5_d681e6229
Ration	w7_d681e6232
mit	w9_d681e6235
den	w11_d681e6238
Englän	w13_d681e6242
dern	w1_d681e6248
negociren.	w3_d681e6251
Damals	w5_d681e6254
sahe	w7_d681e6257
er	w9_d681e6260
zum	w11_d681e6263
er	w13_d681e6267
stenwal	w1_d681e6272
Englische	w3_d681e6275
Kriegs=schiffe,	w5_d681e6278
und	w7_d681e6281
er	w9_d681e6284
staunte	w1_d681e6289
darüber,	w3_d681e6292
was	w5_d681e6295
zwischen	w7_d681e6298
selbigen	w9_d681e6301
und	w11_d681e6304
den	w1_d681e6309
Jndianischen	w3_d681e6312
Caudes	w5_d681e6315
für	w7_d681e6318
ein	w9_d681e6321
gewaltiger	w11_d681e6324
Unterschied	w1_d681e6330
wäre.	w3_d681e6333
Hier	w5_d681e6336
in	w7_d681e6339
Londen	w9_d681e6342
hat	w11_d681e6345
er	w13_d681e6349
sich	w1_d681e6354
schon	w3_d681e6357
sehr	w5_d681e6360
an	w7_d681e6363
die	w9_d681e6366
Englische	w11_d681e6369
Mode	w13_d681e6373
ge	w15_d681e6376
wöhnt.	w1_d681e6381
Er	w3_d681e6384
giebt	w5_d681e6387
allen	w7_d681e6390
Leuten,	w9_d681e6393
die	w11_d681e6396
zu	w13_d681e6400
ihm	w15_d681e6403
</p>
<p id="p12_d681e6407">
kommen,	w1_d681e6411
oder	w3_d681e6414
nahe	w5_d681e6417
bey	w7_d681e6420
ihm	w9_d681e6423
stehen,	w11_d681e6426
die	w13_d681e6430
Hand.	w15_d681e6433
Unsers	w1_d681e6438
Königs	w3_d681e6441
Majestät	w5_d681e6444
haben	w7_d681e6447
itzt	w9_d681e6450
ein	w11_d681e6453
