<doc id="wr_1759-02-10" attrs="word" year="1759" month="02" day="10" corpus="2">
<head id="h2_d321e3155">
Haag	w1_d321e3159
frage	w3_d321e4117
die	w5_d321e4120
Eigentümer	w7_d321e4123
der	w9_d321e4126
Holländischen	w11_d321e4129
Colonien:	w1_d321e4134
ob	w3_d321e4137
ihnen	w5_d321e4140
wol	w7_d321e4143
ihr	w9_d321e4146
Zucker,	w11_d321e4149
ihr	w13_d321e4153
Caffee	w1_d321e4159
und	w3_d321e4162
dergleichen	w5_d321e4165
mehr	w7_d321e4168
eingetragen	w9_d321e4171
ha	w11_d321e4174
be,	w1_d321e4179
seit	w3_d321e4182
dem	w5_d321e4185
gewisse	w7_d321e4188
Kaufleute	w9_d321e4191
sich	w11_d321e4194
damit	w13_d321e4198
abgegeben	w1_d321e4203
haben,	w3_d321e4206
die	w5_d321e4209
Früchte	w7_d321e4212
und	w9_d321e4215
Gewächse	w11_d321e4218
der	w1_d321e4223
Französischen	w3_d321e4226
Colonien	w5_d321e4229
nach	w7_d321e4232
Europa	w9_d321e4235
zu	w11_d321e4238
bringen.	w1_d321e4244
Von	w3_d321e4247
dem	w5_d321e4250
Fall,	w7_d321e4253
daß	w9_d321e4256
man	w11_d321e4259
sie	w13_d321e4263
in	w15_d321e4266
England	w1_d321e4271
angehalten,	w3_d321e4274
will	w5_d321e4277
ich	w7_d321e4280
jetzo	w9_d321e4283
nicht	w11_d321e4286
ein	w13_d321e4290
mal	w1_d321e4295
reden,	w3_d321e4298
dann	w5_d321e4301
dieser	w7_d321e4304
hat	w9_d321e4307
sich	w11_d321e4310
nur	w13_d321e4314
dieses	w15_d321e4317
Jahr	w1_d321e4322
ereignet,	w3_d321e4325
und	w5_d321e4328
wird	w7_d321e4331
nicht	w9_d321e4334
mehr	w11_d321e4337
vorkom	w13_d321e4341
men,	w1_d321e4347
wann	w3_d321e4350
beyde	w5_d321e4353
Nationen	w7_d321e4356
ihr	w9_d321e4359
wahres	w11_d321e4362
Jnteresse	w1_d321e4367
sattsam	w3_d321e4370
verstehen	w5_d321e4373
und	w7_d321e4376
ihre	w9_d321e4379
Zwi	w11_d321e4382
stigkeiten	w1_d321e4387
ins	w3_d321e4390
Reine	w5_d321e4393
bringen	w7_d321e4396
werden.	w9_d321e4399
Ja	w1_d321e4404
wir	w1_d321e4410
getrauen	w3_d321e4413
es	w5_d321e4416
so	w7_d321e4419
gar	w9_d321e4422
bey	w11_d321e4425
vernunftigen	w13_d321e4429
Leuten	w1_d321e4434
als	w3_d321e4437
einen	w5_d321e4440
unstreitigen	w7_d321e4443
Grundsatz	w9_d321e4446
an	w11_d321e4449
zunehmen,	w1_d321e4454
daß	w3_d321e4457
es	w5_d321e4460
ihrem	w7_d321e4463
Land	w9_d321e4466
viel	w11_d321e4469
vorträ	w13_d321e4473
glicher	w1_d321e4478
sey,	w3_d321e4481
seine	w5_d321e4484
Pflanz=städte	w7_d321e4487
zu	w9_d321e4490
vermeh	w11_d321e4493
ren	w1_d321e4499
und	w3_d321e4502
sich	w5_d321e4505
der	w7_d321e4508
Gelegenheit	w9_d321e4511
zu	w11_d321e4514
bedienen,	w13_d321e4518
seine	w1_d321e4523
Colonien	w3_d321e4526
zu	w5_d321e4529
verbessern	w7_d321e4532
und	w9_d321e4535
selbige	w11_d321e4538
de	w13_d321e4542
nen	w1_d321e4547
Französischen	w3_d321e4550
sowol,	w5_d321e4553
als	w7_d321e4556
selbst	w9_d321e4559
denen	w11_d321e4562
unsrigen	w1_d321e4567
überlegen	w3_d321e4570
zu	w5_d321e4573
machen.	w7_d321e4576
Jch	w9_d321e4579
weiß	w11_d321e4582
nicht,	w1_d321e4588
ob	w3_d321e4591
die	w5_d321e4594
Factors	w7_d321e4597
der	w9_d321e4600
Französischen	w11_d321e4603
Co	w13_d321e4607
lonien	w1_d321e4612
eben	w3_d321e4615
die	w5_d321e4618
Vorstellungen	w7_d321e4621
von	w9_d321e4624
dem	w11_d321e4627
Jn	w13_d321e4631
teresse	w1_d321e4636
des	w3_d321e4639
Vatterlandes	w5_d321e4642
haben,	w7_d321e4645
die	w9_d321e4648
ich	w11_d321e4651
mir	w13_d321e4655
mache;	w1_d321e4660
allein	w3_d321e4663
ich	w5_d321e4666
trage	w7_d321e4669
kein	w9_d321e4672
Bedenken,	w11_d321e4675
ih	w13_d321e4679
nen	w1_d321e4685
zu	w3_d321e4688
behaupten,	w5_d321e4691
daß	w7_d321e4694
ihr	w9_d321e4697
Jnteresse	w11_d321e4700
we	w13_d321e4704
nigstens	w1_d321e4709
nicht	w3_d321e4712
dafür	w5_d321e4715
anzusehen	w7_d321e4718
sey.	w9_d321e4721
Der	w1_d321e4726
Minister	w1_d321e4731
des	w3_d321e4734
Königs	w5_d321e4737
in	w7_d321e4740
Holland	w9_d321e4743
ist	w11_d321e4746
übri	w13_d321e4750
gens	w1_d321e4756
im	w3_d321e4759
Stand	w5_d321e4762
darzuthun,	w7_d321e4765
daß	w9_d321e4768
Se.	w11_d321e4771
Ma	w13_d321e4775
jestät	w1_d321e4780
sehnsüchtigst	w3_d321e4783
wünschen,	w5_d321e4786
mit	w7_d321e4789
der	w9_d321e4792
Re	w11_d321e4795
public	w1_d321e4800
in	w3_d321e4803
gutem	w5_d321e4806
Vernehmen	w7_d321e4809
zu	w9_d321e4812
stehen,	w11_d321e4815
und	w13_d321e4819
zu	w1_d321e4824
allem	w3_d321e4827
dem	w5_d321e4830
einzuwilligen,	w7_d321e4833
was	w9_d321e4836
nur	w11_d321e4839
ir	w13_d321e4843
gends	w1_d321e4849
ein	w3_d321e4852
uneingenommener	w5_d321e4855
Richter	w7_d321e4858
mit	w9_d321e4861
der	w11_d321e4864
Sicherheit	w1_d321e4869
und	w3_d321e4872
dem	w5_d321e4875
Jnteresse	w7_d321e4878
Dero	w9_d321e4881
König	w11_d321e4884
reiche	w1_d321e4889
vereinbarlich	w3_d321e4892
erachten	w5_d321e4895
kan.	w7_d321e4898
Der	w9_d321e4901
prächtige	w1_d321e4906
Vorwand,	w3_d321e4909
die	w5_d321e4912
Handlung	w7_d321e4915
in	w9_d321e4918
Schutz	w11_d321e4921
zu	w1_d321e4927
nehmen,	w3_d321e4930
wird	w5_d321e4933
diesseits	w7_d321e4936
keine	w9_d321e4939
Veränderung	w11_d321e4942
</p>
<p id="p18_d321e4945">
der	w1_d321e4949
Gedenkungs=art	w3_d321e4952
würken.	w5_d321e4955
Wir	w7_d321e4958
sind	w9_d321e4961
über	w1_d321e4966
die	w3_d321e4969
Grösse	w5_d321e4972
und	w7_d321e4975
Macht	w9_d321e4978
unserer	w11_d321e4981
Bunds	w13_d321e4985
genossen	w1_d321e4990
nicht	w3_d321e4993
eifersüchtig,	w5_d321e4996
und	w7_d321e4999
wann	w9_d321e5002
diese	w11_d321e5005
Bunds=genossen	w1_d321e5011
ihr	w3_d321e5014
Bezeugen	w5_d321e5017
gegen	w7_d321e5020
uns	w9_d321e5023
verändern,	w1_d321e5028
oder	w3_d321e5031
sich	w5_d321e5034
durch	w7_d321e5037
unsere	w9_d321e5040
gemein	w11_d321e5043
schaftliche	w1_d321e5048
Feinde	w3_d321e5051
einnehmen	w5_d321e5054
lassen;	w7_d321e5057
so	w9_d321e5060
wer	w11_d321e5063
den	w1_d321e5068
wir	w3_d321e5071
mit	w5_d321e5074
Gelassenheit	w7_d321e5077
und	w9_d321e5080
Standhaftig	w11_d321e5083
keit	w1_d321e5089
abwarten,	w3_d321e5092
ob	w5_d321e5095
sie	w7_d321e5098
die	w9_d321e5101
Augen	w11_d321e5104
wieder	w13_d321e5108
auf	w15_d321e5111
thun	w1_d321e5116
wollen.	w3_d321e5119
Eine	w5_d321e5122
Wolke,	w7_d321e5125
welche	w9_d321e5128
sich	w11_d321e5131
auf	w13_d321e5135
eine	w1_d321e5140
kurze	w3_d321e5143
Zeit	w5_d321e5146
vor	w7_d321e5149
die	w9_d321e5152
Wahrheit	w11_d321e5155
ziehet,	w13_d321e5159
wird	w15_d321e5162
bald	w1_d321e5167
getrennet	w3_d321e5170
und	w5_d321e5173
die	w7_d321e5176
Wahrheit	w9_d321e5179
wird	w11_d321e5182
am	w13_d321e5186
Ende	w1_d321e5192
mit	w3_d321e5195
vollen	w5_d321e5198
Strahlen	w7_d321e5201
hervorbrechen.	w9_d321e5204
Unsere	w1_d321e5209
Zeitungen	w3_d321e5212
haben	w5_d321e5215
ihnen	w7_d321e5218
ein	w9_d321e5221
sattsames,	w11_d321e5224
aber	w1_d321e5229
dem	w3_d321e5232
Herrn	w5_d321e5235
Tyrrel,	w7_d321e5238
Capitain	w9_d321e5241
des	w11_d321e5244
Bu	w13_d321e5248
ckinghams,	w1_d321e5253
rühmliches	w3_d321e5256
Gefecht	w5_d321e5259
angekündi	w7_d321e5262
get,	w1_d321e5268
indem	w3_d321e5271
sich	w5_d321e5274
derselbe	w7_d321e5277
mit	w9_d321e5280
3.	w11_d321e5283
Französi	w13_d321e5287
schen	w1_d321e5292
Kriegs=schiffen	w3_d321e5295
herumgeschlagen	w5_d321e5298
hat.	w7_d321e5301
Nehmen	w1_d321e5306
sie	w3_d321e5309
nicht	w5_d321e5312
übel,	w7_d321e5315
daß	w9_d321e5318
ich	w11_d321e5321
um	w13_d321e5325
das	w15_d321e5328
Raisonnement,	w1_d321e5333
das	w3_d321e5336
ich	w5_d321e5339
so	w7_d321e5342
eben	w9_d321e5345
gehalten	w11_d321e5348
habe,	w1_d321e5354
zu	w3_d321e5357
bestärken,	w5_d321e5360
hinzufüge,	w7_d321e5363
daß	w9_d321e5366
diese	w11_d321e5369
Französische	w1_d321e5374
Kriegs=schiffe	w3_d321e5377
eine	w5_d321e5380
Holländische	w7_d321e5383
Flotte,	w1_d321e5388
die	w3_d321e5391
von	w5_d321e5394
St.	w7_d321e5397
Eustachius	w9_d321e5400
nach	w11_d321e5403
Mar	w13_d321e5407
tinique	w1_d321e5412
segelte,	w3_d321e5415
unter	w5_d321e5418
ihrer	w7_d321e5421
Bedeckung	w9_d321e5424
hatte,	w11_d321e5427
wird	w1_d321e5433
man	w3_d321e5436
wol	w5_d321e5439
im	w7_d321e5442
Tractat	w9_d321e5445
von	w11_d321e5448
1674.	w13_d321e5452
fin	w15_d321e5455
den	w1_d321e5460
können,	w3_d321e5463
daß	w5_d321e5466
dergleichen	w7_d321e5469
Begleitungen	w9_d321e5472
untereinander	w1_d321e5477
erlaubt	w3_d321e5480
seyn?	w5_d321e5483
Kurz,	w7_d321e5486
wir	w9_d321e5489
sind	w11_d321e5492
von	w1_d321e5497
der	w3_d321e5500
Freundschaft	w5_d321e5503
und	w7_d321e5506
Gerechtigkeit	w9_d321e5509
der	w11_d321e5512
Holländischen	w1_d321e5518
Nation	w3_d321e5521
so	w5_d321e5524
versichert,	w7_d321e5527
daß	w9_d321e5530
wir	w11_d321e5533
uns	w1_d321e5538
zuversichtlich	w3_d321e5541
auf	w5_d321e5544
derselben	w7_d321e5547
Treue	w9_d321e5550
und	w11_d321e5553
Glauben,	w1_d321e5558
auch	w3_d321e5561
patriotische	w5_d321e5564
Gesinnungen	w7_d321e5567
beziehen.	w1_d321e5572
Wann	w3_d321e5575
dieselbe	w5_d321e5578
einmal	w7_d321e5581
die	w9_d321e5584
Sa	w11_d321e5587
chen	w1_d321e5593
ansehen	w3_d321e5596
wird,	w5_d321e5599
wie	w7_d321e5602
sie	w9_d321e5605
sind,	w11_d321e5608
ohne,	w13_d321e5612
daß	w15_d321e5615
sie	w1_d321e5620
erst	w3_d321e5623
solchen	w5_d321e5626
Leuten	w7_d321e5629
durch	w9_d321e5632
die	w11_d321e5635
Hände	w13_d321e5639
ge	w15_d321e5642
hen,	w1_d321e5647
welche	w3_d321e5650
ihr	w5_d321e5653
eigenes,	w7_d321e5656
besonderes	w9_d321e5659
Jnte	w11_d321e5662
resse	w1_d321e5667
haben,	w3_d321e5670
das	w5_d321e5673
von	w7_d321e5676
dem	w9_d321e5679
unsern	w11_d321e5682
und	w13_d321e5686
ihri	w15_d321e5689
gen	w1_d321e5695
ganz	w3_d321e5698
verschieden	w5_d321e5701
ist,	w7_d321e5704
so	w9_d321e5707
werden	w11_d321e5710
die	w13_d321e5714
Sachen	w1_d321e5719
bald	w3_d321e5722
ins	w5_d321e5725
Reine	w7_d321e5728
gebracht	w9_d321e5731
und	w11_d321e5734
beyde	w13_d321e5738
Nationen	w1_d321e5743
enger	w3_d321e5746
einverstanden	w5_d321e5749
werden,	w7_d321e5752
als	w9_d321e5755
sie	w11_d321e5758
jemals	w1_d321e5763
gewesen	w3_d321e5766
sind.	w5_d321e5769
</p>
<p id="p20_d321e5772">
Dieses	w1_d321e5776
Schreibens	w3_d321e5779
und	w5_d321e5782
anderer	w7_d321e5785
Bewe	w9_d321e5788
gungen	w1_d321e5793
der	w3_d321e5796
Engländischen	w5_d321e5799
Parthie	w7_d321e5802
ungeach	w9_d321e5805
tet,	w1_d321e5810
ward	w3_d321e5813
am	w5_d321e5816
verwichenen	w7_d321e5819
Donnerstag	w9_d321e5822
in	w11_d321e5825
</p>
<p id="p26_d321e5839">
der	w1_d321e5843
Versammlung	w3_d321e5846
der	w5_d321e5849
Staaten	w7_d321e5852
von	w9_d321e5855
Holland	w11_d321e5858
der	w1_d321e5863
förmliche	w3_d321e5866
Schluß	w5_d321e5869
gefasset,	w7_d321e5872
24.	w9_d321e5875
statt	w11_d321e5878
18.	w13_d321e5882
Kriegs=schiffen	w1_d321e5887
ausrüsten.	w3_d321e5890
Es	w5_d321e5893
verursa	w7_d321e5896
chet	w1_d321e5902
selbiges	w3_d321e5905
grosses	w5_d321e5908
Aufsehen,	w7_d321e5911
sonderlich	w9_d321e5914
bey	w1_d321e5919
besagter	w3_d321e5922
Parthie,	w5_d321e5925
und	w7_d321e5928
möchte	w9_d321e5931
gar	w11_d321e5934
leicht,	w13_d321e5938
zumal	w1_d321e5943
bey	w3_d321e5946
erfolgtem	w5_d321e5949
Ableben	w7_d321e5952
der	w9_d321e5955
Gouver	w11_d321e5958
nantin,	w1_d321e5963
beträchtliche	w3_d321e5966
Folgen	w5_d321e5969
nach	w7_d321e5972
sich	w9_d321e5975
zie	w11_d321e5978
hen.	w1_d321e5984
Gleich	w3_d321e5987
nach	w5_d321e5990
erfolgtem	w7_d321e5993
Ableben	w9_d321e5996
der	w11_d321e5999
Prinzeßin	w1_d321e6004
wurden	w3_d321e6007
Expressen	w5_d321e6010
an	w7_d321e6013
die	w9_d321e6016
Staa	w11_d321e6019
ten	w1_d321e6024
von	w3_d321e6027
jeder	w5_d321e6030
der	w7_d321e6033
7.	w9_d321e6036
Provinzen	w11_d321e6039
abgeferti	w13_d321e6043
get,	w1_d321e6048
sowol	w3_d321e6051
denselben	w5_d321e6054
den	w7_d321e6057
Trauer=fall	w9_d321e6060
be	w11_d321e6063
kannt	w1_d321e6069
zu	w3_d321e6072
machen,	w5_d321e6075
als	w7_d321e6078
auch	w9_d321e6081
dieselbe	w11_d321e6084
zu	w13_d321e6088
ersu	w15_d321e6091
chen,	w1_d321e6096
Deputirten	w3_d321e6099
hieher	w5_d321e6102
zu	w7_d321e6105
schicken,	w9_d321e6108
um	w11_d321e6111
we	w13_d321e6115
gen	w1_d321e6120
der	w3_d321e6123
Vermählung	w5_d321e6126
der	w7_d321e6129
Prinzeßin	w9_d321e6132
Caro	w11_d321e6135
lina	w1_d321e6140
mit	w3_d321e6143
dem	w5_d321e6146
Fürsten	w7_d321e6149
von	w9_d321e6152
Weilburg	w11_d321e6155
einen	w13_d321e6159
Schluß	w1_d321e6165
zu	w3_d321e6168
fassen,	w5_d321e6171
den	w7_d321e6174
Heyrahts=contract	w9_d321e6177
zu	w1_d321e6182
untersuchen,	w3_d321e6185
die	w5_d321e6188
Articul	w7_d321e6191
zu	w9_d321e6194
überlegen,	w11_d321e6197
welche	w1_d321e6202
in	w3_d321e6205
Betref	w5_d321e6208
der	w7_d321e6211
Erziehung	w9_d321e6214
des	w11_d321e6217
Prinzen	w13_d321e6221
Statthalters	w1_d321e6226
und	w3_d321e6229
dessen	w5_d321e6232
Vormundschaft	w7_d321e6235
von	w9_d321e6238
der	w1_d321e6244
Hochsel.	w3_d321e6247
Prinzeßin	w5_d321e6250
anempfohlen	w7_d321e6253
wor	w9_d321e6256
den,	w1_d321e6261
und	w3_d321e6264
zugleich	w5_d321e6267
nachzusehen,	w7_d321e6270
ob	w9_d321e6273
nichts	w11_d321e6276
in	w1_d321e6281
denen	w3_d321e6284
Verfügungen,	w5_d321e6287
welche	w7_d321e6290
man	w9_d321e6293
gleich	w11_d321e6296
nach	w1_d321e6301
Absterben	w3_d321e6304
des	w5_d321e6307
Prinzen	w7_d321e6310
Staathalters	w9_d321e6313
Hochsel.	w1_d321e6319
Andenkens,	w3_d321e6322
auf	w5_d321e6325
den	w7_d321e6328
Fall	w9_d321e6331
eines	w11_d321e6334
un	w13_d321e6338
verhoften	w1_d321e6343
Todes=falls	w3_d321e6346
getroffen	w5_d321e6349
hat,	w7_d321e6352
ver	w9_d321e6355
ändert	w1_d321e6360
worden.	w3_d321e6363
</p>
<head id="h2_d321e6369">
Stettin	w1_d321e6373
24.	w3_d321e6376
Januarii.	w5_d321e6379
</head>
<p id="p4_d321e6382">
Seute	w1_d321e6386
Frühe	w3_d321e6389
ist	w5_d321e6392
allhier	w7_d321e6395
die	w9_d321e6398
vorläuffige,	w11_d321e6401
aber	w13_d321e6405
*S	w1_d321e6410
gewisse	w3_d321e6413
und	w5_d321e6416
zuverläßige	w7_d321e6419
Nachricht	w9_d321e6422
ein	w11_d321e6425
getroffen,	w1_d321e6430
daß	w3_d321e6433
Demmin,	w5_d321e6436
nach	w7_d321e6439
einer	w9_d321e6442
viertä	w11_d321e6445
gigen	w1_d321e6451
Belagerung,	w3_d321e6454
unter	w5_d321e6457
dem	w7_d321e6460
Commando	w9_d321e6463
des	w1_d321e6468
Herrn	w3_d321e6471
General=leutenants	w5_d321e6474
Grafens	w7_d321e6477
von	w1_d321e6482
Dohna	w3_d321e6485
den	w5_d321e6488
18.	w7_d321e6491
dieses	w9_d321e6494
Monats	w11_d321e6497
de	w13_d321e6501
nen	w1_d321e6506
Königl.	w3_d321e6509
Preußischen	w5_d321e6512
Trupen	w7_d321e6515
sich	w9_d321e6518
wie	w11_d321e6521
der	w1_d321e6527
ergeben,	w3_d321e6530
und	w5_d321e6533
ist	w7_d321e6536
die	w9_d321e6539
darinn	w11_d321e6542
gelegene	w13_d321e6546
Schwedische	w1_d321e6551
Besatzung	w3_d321e6554
zu	w5_d321e6557
Kriegsgefange	w7_d321e6560
nen	w1_d321e6565
gemacht.	w3_d321e6568
</p>
<head id="h2_d321e6574">
Capitulation	w1_d321e6578
von	w3_d321e6581
der	w5_d321e6584
Garnison	w7_d321e6587
und	w1_d321e6592
Besatzung	w3_d321e6595
von	w5_d321e6598
Demmin.	w7_d321e6601
</head>
<p id="p4_d321e6604">
1.)	w1_d321e6608
Die	w3_d321e6611
ganze	w5_d321e6614
Besatzung	w7_d321e6617
und	w9_d321e6620
Garnison,	w11_d321e6623
so	w1_d321e6628
anjetzo	w3_d321e6631
sich	w5_d321e6634
in	w7_d321e6637
Demmin	w9_d321e6640
befindet,	w11_d321e6643
sollen	w13_d321e6647
</p>
<p id="p6_d321e6650">
Kriegs=gefangene	w1_d321e6654
werden,	w3_d321e6657
und	w5_d321e6660
sollen	w7_d321e6663
ausmar	w9_d321e6666
schiren	w1_d321e6671
mit	w3_d321e6674
Ober	w5_d321e6677
und	w7_d321e6680
Unter=gewehr,	w9_d321e6683
Spiel	w11_d321e6686
und	w1_d321e6691
fliegenden	w3_d321e6694
Fahnen,	w5_d321e6697
wie	w7_d321e6700
auch	w9_d321e6703
4.	w11_d321e6706
Feldca	w13_d321e6710
nonen,	w1_d321e6716
und	w3_d321e6719
brennenden	w5_d321e6722
Lunten.	w7_d321e6725
</p>
<head id="h2_d321e6731">
Antwort.	w1_d321e6735
</head>
<p id="p4_d321e6738">
1.)	w1_d321e6742
Die	w3_d321e6745
ganze	w5_d321e6748
Besatzung	w7_d321e6751
an	w9_d321e6754
Oberoffi	w11_d321e6757
ciers,	w1_d321e6762
Unter=officiers,	w3_d321e6765
und	w5_d321e6768
Soldaten,	w7_d321e6771
oder	w9_d321e6774
was	w1_d321e6779
sonst	w3_d321e6782
dazu	w5_d321e6785
gehöret,	w7_d321e6788
