<doc id="edoc_wd_1726-09-14" attrs="word" year="1726" month="09" day="14" corpus="1">
<head id="hl1">
Gibraltar	w54
<p id="p11">
Am	w405
verwichenen	w406
Mittwoch	w407
<g/>
/
als	w409
den	w410
14	w411
<g/>
.
dieses	w413
<g/>
/
wurde	w415
der	w416
Geburts	w417
<g/>
=
Tag	w419
Sr	w420
<g/>
.
Hoch=fürstl	w422
<g/>
=
<g/>
.
Durchl	w425
<g/>
.
des	w427
Herrn	w428
Land	w429
<g/>
=
Grafen	w431
von	w432
Hessen	w433
<g/>
=
Cassel	w435
<g/>
/
unsers	w437
allergnädigsten	w438
Kö=nigs	w439
<g/>
=
Herrn	w441
Vaters	w442
<g/>
/
auf	w444
dem	w445
Lust	w446
<g/>
=
Schlos=se	w448
<g/>
=
Carlsberg	w450
hochfeyerlich	w451
begangen	w452
<g/>
/
und	w454
bey	w455
solcher	w456
Gelegenheit	w457
von	w458
allen	w459
Ein	w460
<g/>
=
und	w462
Ausländischen	w463
Herren	w464
Ministern	w465
die	w466
Glük=wünschungs	w467
<g/>
=
<g/>
=
Complimenten	w470
bey	w471
Jhrer	w472
Kö=nigl	w473
<g/>
=
<g/>
.
Majestät	w476
abgestattet	w477
<g/>
.
Vor	w479
etlichen	w480
Tagen	w481
ist	w482
alhier	w483
der	w484
Königl	w485
<g/>
.
und	w487
Reichs	w488
<g/>
=
Raht	w490
<g/>
/
Herr	w492
Graf	w493
von	w494
Sparre	w495
<g/>
/
mit	w497
Tod	w498
abgegangen abgegangenVorigen	w499
<g/>
=
</p>
<p id="p12">
Vorigen	w501
Sonntag	w502
hielte	w503
der	w504
Magister	w505
Gröndahl	w506
vor	w507
einer	w508
grossen	w509
Menge	w510
Volks	w511
<g/>
/
bey	w513
dem	w514
Sauer	w515
<g/>
=
Brunnen	w517
auf	w518
dem	w519
hiesigen	w520
Norder	w521
<g/>
=
Malm	w523
eine	w524
fürtrefliche	w525
Predig	w526
<g/>
/
um	w528
dem	w529
grossen	w530
GOtt	w531
für	w532
die	w533
zu	w534
der	w535
von	w536
denen	w537
Brunnen	w538
Gästen	w539
ge	w540
<g/>
=
endigten	w542
Cur	w543
verliehe=nen	w544
<g/>
=
Gnade	w546
<g/>
/
und	w548
Segen	w549
zu	w550
danken	w551
<g/>
;
im	w553
künftigen	w554
Jahr	w555
sollen	w556
die	w557
Gebäude	w558
bey	w559
die=sen	w560
<g/>
=
Brunnen	w562
grösser	w563
gebauet	w564
werden	w565
<g/>
/
wei=len	w567
<g/>
=
sich	w569
<g/>
/
wegen	w571
seiner	w572
herrlichen	w573
Kraft	w574
alle	w575
Jahr	w576
mehrere	w577
Patienten	w578
daselbst	w579
einfinden	w580
<g/>
.
</p>
<p id="p13">
Zu	w582
Deputirten	w583
dieser	w584
Stad	w585
seynd	w586
auf	w587
dem	w588
</p>
<p id="p14">
bevorstehenden	w592
Reichs	w593
<g/>
=
Tag	w595
<g/>
/
aus	w597
dem	w598
Raht	w599
der	w600
Burgermeister	w601
Böstrom	w602
<g/>
/
und	w604
die	w605
Rahts	w606
<g/>
=
Herren	w608
Leyel	w609
<g/>
,
Hollendaig	w611
<g/>
,
und	w613
Troparius	w614
<g/>
,
von	w616
der	w617
Burgerschaft	w618
<g/>
/
und	w620
Kaufleuten	w621
aber	w622
die	w623
Herren	w624
Wittmak	w625
<g/>
,
Pfeif	w627
<g/>
,
Johann	w629
<g/>
,
Glas-son	w631
<g/>
-
<g/>
,
und	w634
Falk	w635
erwehlet	w636
worden	w637
</p>
<p id="p15">
Der	w638
Kaiserl	w639
<g/>
.
Minister	w641
<g/>
/
Herr	w643
Graf	w644
von	w645
Freytag	w646
<g/>
/
hat	w648
sein	w649
Quartier	w650
von	w651
neuen	w652
auf	w653
ein	w654
halb	w655
Jahr	w656
gehäuret	w657
<g/>
/
und	w659
der	w660
Frantzösi=sche	w661
<g/>
=
<g/>
/
Graf	w664
von	w665
Brancas	w666
<g/>
-
Cerest	w668
<g/>
,
wird	w670
auch	w671
den	w672
Winter	w673
über	w674
noch	w675
hieselbst	w676
verbleiben	w677
<g/>
/
um	w679
den	w680
Schluß	w681
des	w682
Reichs	w683
<g/>
=
Tages	w685
hieselbst	w686
abzuwarten	w687
<g/>
.
</p>
<p id="p16">
Mit	w689
reisenden	w690
Personen	w691
hat	w692
man	w693
hier	w694
von	w695
Reval	w696
die	w697
Nachricht	w698
erhalten	w699
<g/>
/
daß	w701
das	w702
En=gelländische	w703
<g/>
=
Geschwader	w705
noch	w706
eine	w707
Zeit	w708
lang	w709
ohnweit	w710
selbiger	w711
Stadt	w712
<g/>
/
bey	w714
der	w715
Jnsul	w716
Nar=gen	w717
<g/>
=
ligen	w719
bleiben	w720
würde	w721
<g/>
/
und	w723
die	w724
Engellän=der	w725
<g/>
=
öfters	w727
hinein	w728
kämen	w729
<g/>
/
Erfrischungen	w731
ein=zukauffen	w732
<g/>
=
<g/>
.
</p>
<head id="hl6">
Coppenhagen	w735
24	w736
<g/>
.
Augusti	w738
<g/>
.
</head>
<p id="p17">
Alhier	w740
ist	w741
eine	w742
gute	w743
Anzahl	w744
Engelländi=schen	w745
<g/>
=
Matrosen	w747
<g/>
/
welche	w749
krank	w750
worden	w751
<g/>
/
an=gekommen	w753
<g/>
=
<g/>
/
und	w756
in	w757
unsere	w758
Lazarete	w759
gebracht	w760
worden	w761
<g/>
;
auch	w763
wird	w764
man	w765
daselbst	w766
für	w767
ihre	w768
Genesung	w769
Sorge	w770
tragen	w771
<g/>
:
die	w773
jenigen	w774
aber	w775
<g/>
/
welche	w777
nicht	w778
völlig	w779
krank	w780
<g/>
/
seynd	w782
auf	w783
denen	w784
Jnsuln	w785
unter	w786
denen	w787
Gezelten	w788
logiret	w789
<g/>
/
da=mit	w791
<g/>
=
selbe	w793
frischen	w794
Luft	w795
schöpfen	w796
mögen	w797
<g/>
.
</p>
<head id="hl7">
Londen	w799
27	w800
<g/>
.
Augusti	w802
<g/>
.
</head>
<p id="p18">
Der	w804
Capitain	w805
William	w806
Gerard	w807
<g/>
,
so	w809
alhier	w810
unlängst	w811
aus	w812
Spanien	w813
angekommen	w814
<g/>
/
berich=tet	w816
<g/>
=
<g/>
/
daß	w819
er	w820
vor	w821
ungefähr	w822
30	w823
<g/>
.
Tagen	w825
bey	w826
de=nen	w827
<g/>
=
Barlings	w829
<g/>
=
Jnsuln	w831
<g/>
/
auf	w833
der	w834
Höhe	w835
von	w836
39	w837
<g/>
.
Grad	w839
<g/>
/
bey	w841
dem	w842
Admiral	w843
von	w844
Salee	w845
mit	w846
24	w847
<g/>
.
Stüken	w849
<g/>
/
und	w851
noch	w852
einem	w853
andern	w854
kleinen	w855
Raub	w856
<g/>
=
Schiffe	w858
gewesen	w859
<g/>
/
welche	w861
2	w862
<g/>
.
Frauen	w864
<g/>
/
und	w866
ein	w867
Kind	w868
an	w869
Bord	w870
gehabt	w871
<g/>
/
die	w873
sie	w874
aus	w875
einem	w876
andern	w877
<g/>
/
und	w879
wie	w880
sie	w881
ihm	w882
nicht	w883
un=deutlich	w884
<g/>
=
zu	w886
verstehen	w887
gegeben	w888
<g/>
/
Engelländi=sche	w890
<g/>
=
Schif	w892
<g/>
/
unterm	w894
Vorwand	w895
<g/>
/
daß	w897
es	w898
keine	w899
Engelländische	w900
Unterthanen	w901
waren	w902
<g/>
/
genom=men	w904
<g/>
=
<g/>
;
jedoch	w907
hätte	w908
der	w909
Capitain	w910
an	w911
der	w912
Klei=dung	w913
<g/>
=
gedachter	w915
Frauen	w916
<g/>
/
welche	w918
in	w919
der	w920
Ca-jute	w921
<g/>
-
an	w923
dem	w924
Fenster	w925
gestanden	w926
<g/>
/
wahrgenom=men	w928
<g/>
=
<g/>
/
daß	w931
sie	w932
Engelländisch	w933
waren	w934
<g/>
:
dann	w936
Capitain	w937
Gerard	w938
ware	w939
nicht	w940
von	w941
seinem	w942
Schiffe	w943
abgegangen	w944
<g/>
/
weil	w946
man	w947
ihn	w948
stark	w949
ge=fraget	w950
<g/>
=
<g/>
/
was	w953
er	w954
für	w955
Passagirs	w956
am	w957
Bord	w958
hätte	w959
<g/>
.
Nun	w961
ist	w962
vorige	w963
Woche	w964
auch	w965
ein	w966
Engelländi=sches	w967
<g/>
=
Schif	w969
von	w970
Porto	w971
hier	w972
eingetroffen	w973
<g/>
/
</p>
<p id="p19">
welcher	w975
auf	w976
der	w977
Höhe	w978
von	w979
42	w980
<g/>
.
Grad	w982
gleich=fals	w983
<g/>
=
am	w985
Bord	w986
des	w987
vorbemeldten	w988
Admirals	w989
gewesen	w990
<g/>
/
und	w992
weil	w993
sich	w994
auf	w995
diesem	w996
Schiffe	w997
von	w998
Porto	w999
3	w1000
<g/>
.
Portugesische	w1002
Passagirs	w1003
mit	w1004
500	w1005
<g/>
.
Mudos	w1007
Gold	w1008
befunden	w1009
<g/>
/
hätte	w1011
der	w1012
Türk	w1013
die=se	w1014
<g/>
=
Leute	w1016
mit	w1017
ihrem	w1018
Geld	w1019
aus	w1020
dem	w1021
Schiffe	w1022
weggenommen	w1023
<g/>
.
Diese	w1025
Sache	w1026
nun	w1027
ist	w1028
dem	w1029
Portugesischen	w1030
Gesandten	w1031
vorgetragen	w1032
wor=den	w1033
<g/>
=
<g/>
/
welcher	w1036
darauf	w1037
dem	w1038
Staats	w1039
<g/>
=
Secreta	w1041
<g/>
=
<g/>
-
rio	w1044
ein	w1045
Memorial	w1046
übergeben	w1047
<g/>
:
Ein	w1049
gleiches	w1050
ist	w1051
von	w1052
einem	w1053
Freunde	w1054
geschehen	w1055
<g/>
/
welcher	w1057
das	w1058
Geld	w1059
reclamirt	w1060
<g/>
;
was	w1062
darauf	w1063
erfolgen	w1064
wird	w1065
<g/>
/
muß	w1067
die	w1068
Zeit	w1069
lehren	w1070
<g/>
.
</p>
<p id="p20">
Die	w1072
Zeitung	w1073
von	w1074
der	w1075
Schliessung	w1076
des	w1077
Al-lianz	w1078
<g/>
-
<g/>
-
Tractats	w1081
<g/>
,
zwischen	w1083
dem	w1084
Hofe	w1085
zu	w1086
Wien	w1087
und	w1088
dem	w1089
von	w1090
Reussen	w1091
<g/>
/
hat	w1093
einige	w1094
Verrin=gerung	w1095
<g/>
=
in	w1097
dem	w1098
Preise	w1099
derer	w1100
öffentlichen	w1101
Fon-di	w1102
<g/>
-
verursachet	w1104
</p>
<p id="p21">
Jetzo	w1105
gleich	w1106
entstehet	w1107
das	w1108
Gerücht	w1109
auf	w1110
der	w1111
Börse	w1112
<g/>
/
daß	w1114
nach	w1115
Aussage	w1116
derer	w1117
Briefe	w1118
von	w1119
Bourdeaux	w1120
<g/>
,
der	w1122
Admiral	w1123
Jennings	w1124
<g/>
/
die	w1126
5	w1127
<g/>
.
ausgerüsteten	w1129
Schiffe	w1130
zu	w1131
St	w1132
<g/>
-
Andero	w1134
in	w1135
Bi-scayen	w1136
<g/>
-
verbrannt	w1138
<g/>
/
und	w1140
folgends	w1141
die	w1142
Schif	w1143
<g/>
=
Bau	w1145
<g/>
=
Canter	w1147
verwüstet	w1148
habe	w1149
<g/>
:
weilen	w1151
aber	w1152
die	w1153
Briefe	w1154
von	w1155
Bayonne	w1156
<g/>
,
von	w1158
St	w1159
<g/>
.
Lucar	w1161
<g/>
,
und	w1163
andern	w1164
näher	w1165
ligenden	w1166
Oertern	w1167
von	w1168
Biscayen	w1169
<g/>
,
von	w1171
dieser	w1172
Zeitung	w1173
gar	w1174
keine	w1175
Meldung	w1176
thun	w1177
<g/>
/
haltet	w1179
man	w1180
es	w1181
für	w1182
ein	w1183
erdichtes	w1184
Wesen	w1185
<g/>
.
</p>
<head id="hl8">
Braunschweig	w1187
29	w1188
<g/>
.
Augusti	w1190
<g/>
.
</head>
<p id="p22">
Gestern	w1192
<g/>
/
als	w1194
am	w1195
28	w1196
<g/>
.
dieses	w1198
<g/>
/
ist	w1200
der	w1201
Ge=burts	w1202
<g/>
=
<g/>
=
Tag	w1205
Jhrer	w1206
Majestät	w1207
der	w1208
Regierenden	w1209
Kaiserin	w1210
<g/>
/
auf	w1212
Befehl	w1213
unsers	w1214
Durchl	w1215
<g/>
.
Her=tzogens	w1217
<g/>
=
August	w1219
Wilhelms	w1220
in	w1221
gröster	w1222
Gala	w1223
begangen	w1224
worden	w1225
<g/>
;
zu	w1227
Mittag	w1228
<g/>
/
während	w1230
der	w1231
Tafel	w1232
<g/>
/
liessen	w1234
sich	w1235
nicht	w1236
nur	w1237
die	w1238
Trom=peter	w1239
<g/>
=
<g/>
/
und	w1242
Paucker	w1243
beständig	w1244
hören	w1245
<g/>
/
son=dern	w1247
<g/>
=
es	w1249
ward	w1250
auch	w1251
bey	w1252
der	w1253
Herum	w1254
<g/>
=
bringung	w1256
des	w1257
Gesundheits	w1258
<g/>
=
Glases	w1260
jedesmal	w1261
eine	w1262
drey=fache	w1263
<g/>
=
Salve	w1265
aus	w1266
denen	w1267
Stuken	w1268
geschossen	w1269
<g/>
;
des	w1271
Abends	w1272
sahe	w1273
man	w1274
ein	w1275
deshalben	w1276
ange=ordnetes	w1277
<g/>
=
grosses	w1279
Feuer	w1280
<g/>
=
Werk	w1282
vor	w1283
dem	w1284
Thor	w1285
brennen	w1286
<g/>
/
wobey	w1288
beständig	w1289
mit	w1290
solchen	w1291
Lust	w1292
<g/>
=
Feuern	w1294
gespielet	w1295
wurde	w1296
<g/>
/
daß	w1298
die	w1299
Luft	w1300
stäts	w1301
darvon	w1302
angefüllet	w1303
war	w1304
<g/>
:
Auf	w1306
dem	w1307
Hochfürstl	w1308
<g/>
.
Schlosse	w1310
<g/>
/
auf	w1312
dem	w1313
Grauen	w1314
<g/>
=
Hof	w1316
<g/>
/
ward	w1318
fer=ner	w1319
<g/>
=
nicht	w1321
nur	w1322
eine	w1323
fürtrefliche	w1324
Beleuchtung	w1325
geschehen	w1326
<g/>
/
sondern	w1328
auch	w1329
die	w1330
jenigen	w1331
Gässen	w1332
durch	w1333
welche	w1334
die	w1335
Durchl	w1336
<g/>
.
Herrschaften	w1338
passir=ten	w1339
<g/>
=
<g/>
/
mit	w1342
schönen	w1343
Illuminationen	w1344
gezieret	w1345
worden	w1346
<g/>
/
wovon	w1348
verschiedene	w1349
sehr	w1350
kostba	w1351
musten	w1352
zu	w1353
stehen	w1354
gekommen	w1355
seyn	w1356
<g/>
/
gute	w1358
</p>
<p id="p23">
Theils	w1360
aber	w1361
bezeugten	w1362
<g/>
/
wie	w1364
hertzlich	w1365
gerne	w1366
man	w1367
Jhrer	w1368
Allerdurchleuchtigsten	w1369
Majestät	w1370
der	w1371
Kaiserin	w1372
einen	w1373
Männlichen	w1374
Erben	w1375
an=wünschete	w1376
<g/>
=
<g/>
.
</p>
<head id="hl9">
Londen	w1379
30	w1380
Augusti	w1381
<g/>
.
</head>
<p id="p24">
Der	w1383
Herr	w1384
Johann	w1385
Edges	w1386
hat	w1387
seine	w1388
Reise	w1389
nach	w1390
Turin	w1391
angetretten	w1392
<g/>
/
wohin	w1394
er	w1395
in	w1396
Ge=stalt	w1397
<g/>
=
eines	w1399
ausserordentlichen	w1400
Abgesandtens	w1401
Jhrer	w1402
Majestät	w1403
gehet	w1404
<g/>
.
Die	w1406
Löwin	w1407
<g/>
/
so	w1409
in	w1410
dem	w1411
Tour	w1412
ist	w1413
<g/>
/
hat	w1415
vor	w1416
etlichen	w1417
Tagen	w1418
4	w1419
<g/>
.
junge	w1421
Löwen	w1422
geworffen	w1423
<g/>
/
welche	w1425
alle	w1426
bey	w1427
Le=ben	w1428
<g/>
=
gebliben	w1430
seynd	w1431
<g/>
,
und	w1433
man	w1434
lasset	w1435
sie	w1436
öf=fentlich	w1437
<g/>
=
sehen	w1439
<g/>
.
Es	w1441
verlautet	w1442
daß	w1443
viele	w1444
Kauf	w1445
<g/>
=
Leute	w1447
nach	w1448
Niederland	w1449
gereiset	w1450
seyen	w1451
<g/>
,
um	w1453
da=selbst	w1454
<g/>
=
Güter	w1456
von	w1457
der	w1458
Ostendischen	w1459
Compagnie	w1460
einzukauffen	w1461
<g/>
/
damit	w1463
sie	w1464
dieselbe	w1465
heimlich	w1466
in	w1467
Engelland	w1468
einführen	w1469
<g/>
.
</p>
<p id="p25">
Das	w1471
Gerüchte	w1472
<g/>
/
so	w1474
sich	w1475
ausgebreitet	w1476
ge=habt	w1477
<g/>
=
<g/>
/
daß	w1480
nemlich	w1481
des	w1482
Admiral	w1483
Jennings	w1484
Geschwader	w1485
5	w1486
<g/>
.
Spanische	w1488
Schiffe	w1489
in	w1490
dem	w1491
Hafen	w1492
St	w1493
<g/>
.
Andero	w1495
in	w1496
Biscayen	w1497
<g/>
,
laut	w1499
derer	w1500
aus	w1501
Bourdeaux	w1502
zu	w1503
Londen	w1504
erhaltenen	w1505
Brie=fe	w1506
<g/>
=
von	w1508
dem	w1509
19	w1510
<g/>
.
vergangenen	w1512
Monats	w1513
ver=brannt	w1514
<g/>
=
habe	w1516
<g/>
/
ist	w1518
zu	w1519
Wasser	w1520
geworden	w1521
<g/>
;
man	w1523
stellet	w1524
auch	w1525
einer	w1526
andern	w1527
Zeitung	w1528
<g/>
/
so	w1530
gleich=als	w1531
<g/>
=
über	w1533
diese	w1534
Strasse	w1535
hergekommen	w1536
<g/>
/
nicht	w1538
mehr	w1539
Glauben	w1540
zu	w1541
<g/>
/
nemlich	w1543
daß	w1544
<g/>
/
auf	w1546
die	w1547
ab=schlägliche	w1548
<g/>
=
Antwort	w1550
<g/>
/
so	w1552
der	w1553
Gubernator	w1554
von	w1555
St	w1556
<g/>
.
Andero	w1558
gegeben	w1559
<g/>
/
daß	w1561
er	w1562
besagtes	w1563
Ge=schwader	w1564
<g/>
=
nicht	w1566
in	w1567
den	w1568
dasigen	w1569
Hafen	w1570
wolle	w1571
einlauffen	w1572
lassen	w1573
<g/>
/
dasselbe	w1575
in	w1576
dem	w1577
Hafen	w1578
von	w1579
St	w1580
<g/>
.
Anton	w1582
<g/>
,
welcher	w1584
zwischen	w1585
St	w1586
<g/>
.
Andero	w1588
<g/>
,
und	w1590
Bilbao	w1591
liget	w1592
<g/>
/
Anker	w1594
geworffen	w1595
hätte	w1596
Gleich=wol	w1597
<g/>
=
gibt	w1599
dieses	w1600
neue	w1601
Geschrey	w1602
zu	w1603
verschie=denen	w1604
<g/>
=
Gedanken	w1606
Anlaß	w1607
<g/>
/
und	w1609
hat	w1610
so	w1611
gar	w1612
den	w1613
Preis	w1614
derer	w1615
Actionen	w1616
<g/>
/
und	w1618
derer	w1619
öffentli=chen	w1620
<g/>
=
Fondi	w1622
noch	w1623
mehr	w1624
fallen	w1625
machen	w1626
<g/>
.
</p>
<head id="hl10">
Paris	w1628
30	w1629
<g/>
.
Augusti	w1631
<g/>
.
</head>
<p id="p26">
Den	w1633
25	w1634
<g/>
.
dieses	w1636
wurde	w1637
der	w1638
damalen	w1639
einge=fallene	w1640
<g/>
=
St	w1642
<g/>
.
Ludwigs	w1644
<g/>
=
Tag	w1646
alhier	w1647
feyerlich	w1648
begangen	w1649
<g/>
:
die	w1651
PP	w1652
<g/>
.
Carmeliter	w1654
von	w1655
dem	w1656
gros=sen	w1657
<g/>
=
Closter	w1659
hielten	w1660
ihre	w1661
gewöhnliche	w1662
Proces-sion	w1663
<g/>
-
nach	w1665
der	w1666
Capelle	w1667
in	w1668
dem	w1669
Königl	w1670
<g/>
.
Pallast	w1672
der	w1673
Thuilleries	w1674
<g/>
,
und	w1676
hielten	w1677
darinnen	w1678
in	w1679
Bey=wohnung	w1680
<g/>
=
des	w1682
Stadt	w1683
<g/>
=
Magistrats	w1685
die	w1686
H	w1687
<g/>
.
Mes=se	w1689
<g/>
=
<g/>
.
Die	w1692
Frantzösische	w1693
Academie	w1694
begienge	w1695
dieses	w1696
Fest	w1697
in	w1698
der	w1699
Capelle	w1700
des	w1701
Pallast	w1702
Lou Louvre	w1703
<g/>
-
vre	w1705
<g/>
,
worinnen	w1707
der	w1708
Bischof	w1709
von	w1710
Soisson	w1711
<g/>
,
ei=ner	w1713
<g/>
=
von	w1715
denen	w1716
Viertzigen	w1717
der	w1718
Frantzösischen	w1719
Academie	w1720
<g/>
,
die	w1722
H	w1723
Meß	w1724
<g/>
/
und	w1726
der	w1727
Abt	w1728
Gui-chon	w1729
<g/>
-
die	w1731
Lob	w1732
<g/>
=
Rede	w1734
dieses	w1735
Heiligen	w1736
hielte	w1737
<g/>
/
</p>
<p id="p27">
und	w1739
darauf	w1740
ein	w1741
Psalmen	w1742
Musicalisch	w1743
abge=sungen	w1744
<g/>
=
wurde	w1746
<g/>
.
Dieses	w1748
Fest	w1749
begiengen	w1750
auch	w1751
die	w1752
beyden	w1753
Academien	w1754
deren	w1755
Wissenschaften	w1756
<g/>
/
deren	w1758
Inscriptionen	w1759
<g/>
/
und	w1761
schönen	w1762
Studien	w1763
<g/>
/
in	w1765
der	w1766
Kirchen	w1767
deren	w1768
Priestern	w1769
von	w1770
dem	w1771
Ora-torio	w1772
<g/>
-
<g/>
,
worinnen	w1775
die	w1776
Lob	w1777
<g/>
=
Rede	w1779
des	w1780
Heiligen	w1781
von	w1782
dem	w1783
P	w1784
<g/>
.
Tolouze	w1786
<g/>
,
einem	w1788
Dominicaner	w1789
<g/>
/
zu	w1791
deren	w1792
Zuhörern	w1793
gröstem	w1794
Vergnügen	w1795
<g/>
/
mit	w1797
sonderbarer	w1798
Gelehrt	w1799
<g/>
=
und	w1801
Wohlredenheit	w1802
ausgesprochen	w1803
wurde	w1804
<g/>
.
</p>
<p id="p28">
Nachdeme	w1806
der	w1807
Gubernator	w1808
des	w1809
zu	w1810
Lyon	w1811
gelegenen	w1812
Schlosses	w1813
Pierre	w1814
<g/>
-
Encise	w1816
<g/>
,
worin=nen	w1818
<g/>
=
man	w1820
bekannter	w1821
massen	w1822
die	w1823
Staats	w1824
<g/>
=
Ge=fangene	w1826
<g/>
=
zu	w1828
verwahren	w1829
pflegt	w1830
<g/>
/
von	w1832
dem	w1833
Hof	w1834
die	w1835
Erlaubnuß	w1836
erhalten	w1837
<g/>
/
daß	w1839
er	w1840
eine	w1841
aus	w1842
höhern	w1843
Befehl	w1844
schon	w1845
seit	w1846
vielen	w1847
Jahren	w1848
bey	w1849
ihme	w1850
gefangene	w1851
sehr	w1852
reiche	w1853
Dame	w1854
heiraten	w1855
möchte	w1856
<g/>
/
so	w1858
hat	w1859
er	w1860
für	w1861
seine	w1862
Braut	w1863
