<doc id="edoc_wd_1762-07-28" attrs="word" year="1762" month="07" day="28" corpus="1">
<head id="hl1">
Warschau	w39
Jnhalt	w439
<g/>
:
</p>
<p id="p9">
Art	w441
<g/>
.
1	w443
<g/>
.
Der	w445
Commandant	w446
des	w447
Schlosses	w448
zu	w449
Waldeck	w450
wird	w451
sogleich	w452
ein	w453
Detaschement	w454
deren	w455
Königl	w456
<g/>
.
Groß	w458
<g/>
=
brittannischen	w460
Trupen	w461
einlassen	w462
<g/>
,
um	w464
von	w465
denen	w466
äusseren	w467
Werkern	w468
des	w469
Schlosses	w470
Besitz	w471
zu	w472
nehmen	w473
<g/>
.
</p>
<p id="p10">
Art	w475
<g/>
.
2	w477
<g/>
.
der	w479
Staab	w480
sowol	w481
als	w482
die	w483
ganze	w484
Garnison	w485
des	w486
Schlosses	w487
wird	w488
morgen	w489
mit	w490
Gewehr	w491
und	w492
Waffen	w493
<g/>
,
Equipage	w495
und	w496
klin=gendem	w497
<g/>
=
Spiel	w499
ausziehen	w500
<g/>
,
um	w502
sich	w503
nach	w504
Mar=burg	w505
<g/>
=
zu	w507
begeben	w508
<g/>
,
und	w510
von	w511
da	w512
in	w513
Frankreich	w514
<g/>
.
</p>
<p id="p11">
Die	w516
ganze	w517
Besatzung	w518
und	w519
der	w520
Staab	w521
wird	w522
in	w523
Jahr	w524
und	w525
Tag	w526
<g/>
,
von	w528
dem	w529
Tag	w530
der	w531
Capi=tulation	w532
<g/>
=
an	w534
zu	w535
rechnen	w536
<g/>
,
gegen	w538
Se	w539
<g/>
.
Königl	w541
<g/>
.
Groß	w543
<g/>
=
brittannische	w545
Majestät	w546
<g/>
,
und	w548
dessen	w549
Al=liirten	w550
<g/>
=
nicht	w552
dienen	w553
<g/>
.
</p>
<p id="p12">
Art	w555
<g/>
.
3	w557
<g/>
.
Der	w559
Commandant	w560
wird	w561
sogleich	w562
alle	w563
Munition	w564
und	w565
Mund	w566
<g/>
=
vorrat	w568
<g/>
,
so	w570
in	w571
dem	w572
Schloß	w573
vorrätig	w574
<g/>
,
überliefern	w576
<g/>
,
und	w578
ein	w579
ge=treues	w580
<g/>
=
Verzeichniß	w582
aller	w583
der	w584
jenigen	w585
Effecten	w586
übergeben	w587
<g/>
,
so	w589
seiner	w590
Allerchristlichsten	w591
Ma=jestät	w592
<g/>
=
gehörig	w594
<g/>
,
anjetzo	w596
aber	w597
Seiner	w598
Königl	w599
<g/>
.
Groß	w601
<g/>
=
brittannischen	w603
Majestät	w604
anheim	w605
fallen	w606
<g/>
.
</p>
<p id="p13">
Art	w608
<g/>
.
4	w610
<g/>
.
Die	w612
bleßirte	w613
und	w614
kranke	w615
Solda=ten	w616
<g/>
=
sind	w618
in	w619
dieser	w620
Capirulation	w621
mit	w622
einbe=griffen	w623
<g/>
=
<g/>
,
hingegen	w626
erstrecket	w627
sich	w628
dieselbe	w629
nicht	w630
auf	w631
die	w632
Commis	w633
deren	w634
Vivres	w635
<g/>
,
Fourages	w637
<g/>
,
Spitälern	w639
<g/>
,
Feldscherers	w641
<g/>
,
Kranken	w643
<g/>
=
warter	w645
ꝛc	w646
<g/>
.
</p>
<p id="p14">
welche	w648
fürohin	w649
<g/>
,
wie	w651
jetzo	w652
in	w653
ihrer	w654
Qualität	w655
dienen	w656
dürfen	w657
<g/>
,
nachdem	w659
sie	w660
vorhero	w661
die	w662
Gar=nison	w663
<g/>
=
nach	w665
Marburg	w666
begleitet	w667
haben	w668
<g/>
.
</p>
<p id="p15">
Man	w670
wird	w671
die	w672
nöhtige	w673
Wagen	w674
von	w675
dem	w676
Lande	w677
verschaffen	w678
<g/>
,
um	w680
die	w681
Kranke	w682
und	w683
Ba=gage	w684
<g/>
=
deren	w686
Herren	w687
Officiers	w688
zu	w689
transporti=ren	w690
<g/>
=
<g/>
:
die	w693
Fuhren	w694
sollen	w695
<g/>
,
sobald	w697
möglich	w698
<g/>
,
zu=ruck	w700
<g/>
=
geschicket	w702
<g/>
,
und	w704
in	w705
allem	w706
Fall	w707
nicht	w708
wei=ter	w709
<g/>
=
als	w711
nach	w712
Marburg	w713
mitgenommen	w714
werden	w715
<g/>
.
</p>
<p id="p16">
Art	w717
<g/>
.
5	w719
<g/>
.
Der	w721
Commandant	w722
wird	w723
ein	w724
Ver=zeichniß	w725
<g/>
=
von	w727
jenen	w728
Effecten	w729
überliefern	w730
<g/>
,
so	w732
Sr	w733
<g/>
.
Durchlaucht	w735
dem	w736
Fürsten	w737
von	w738
Waldeck	w739
zugehörig	w740
<g/>
;
sofort	w742
auch	w743
die	w744
Schulden	w745
<g/>
,
so	w747
von	w748
der	w749
Garnison	w750
gemacht	w751
worden	w752
<g/>
,
mit	w754
Geld	w755
oder	w756
Quittungen	w757
berichtiget	w758
<g/>
;
imgleichen	w760
wird	w761
er	w762
Sorge	w763
tragen	w764
<g/>
,
daß	w766
die	w767
Schulden	w768
deren	w769
Particuliers	w770
abgetragen	w771
werden	w772
<g/>
.
</p>
<p id="p17">
Art	w774
<g/>
.
6	w776
<g/>
.
Man	w778
will	w779
die	w780
Deserteurs	w781
<g/>
,
wann	w783
man	w784
deren	w785
in	w786
der	w787
Garnison	w788
findet	w789
<g/>
,
und	w791
die=selbe	w792
<g/>
=
von	w794
einem	w795
Officier	w796
erkannt	w797
werden	w798
<g/>
,
ausliefern	w800
<g/>
.
</p>
<p id="p18">
Boys	w802
<g/>
,
Geschehen	w804
Waldeck	w805
den	w806
11	w807
<g/>
.
Julii	w809
Abends	w810
um	w811
9	w812
<g/>
.
Uhr	w814
<g/>
.
Unterschrieben	w816
<g/>
:
</p>
<head id="hl4">
Yhnsbruck	w847
20	w848
<g/>
.
Julii	w850
<g/>
.
</head>
<p id="p19">
Man	w852
höret	w853
noch	w854
in	w855
unseren	w856
Gegenden	w857
nichts	w858
als	w859
von	w860
den	w861
grausamen	w862
Schäden	w863
sprechen	w864
<g/>
,
welche	w866
die	w867
neuliche	w868
Ueberschwem=mung	w869
<g/>
=
des	w871
Yhnthals	w872
verursachet	w873
hat	w874
<g/>
/
<g/>
:
auch	w877
die	w878
kleineren	w879
Flüsse	w880
<g/>
,
die	w882
Vacca	w883
<g/>
,
Rofana	w885
<g/>
,
der	w887
Piger	w888
<g/>
,
der	w890
Etzbach	w891
<g/>
,
die	w893
Mela	w894
und	w895
andere	w896
ha=ben	w897
<g/>
=
sich	w899
ergossen	w900
<g/>
:
fast	w902
alle	w903
Brücken	w904
sind	w905
weggerissen	w906
<g/>
,
und	w908
allein	w909
in	w910
dem	w911
Etzthal	w912
60	w913
<g/>
.
Häuser	w915
von	w916
dem	w917
Wasser	w918
weggenommen	w919
wor=den	w920
<g/>
=
<g/>
.
Ein	w923
gleiches	w924
Schicksal	w925
hatten	w926
noch	w927
andere	w928
Orte	w929
<g/>
.
Unsere	w931
Nachbaren	w932
die	w933
Bayern	w934
und	w935
Schwaben	w936
werden	w937
uns	w938
wenig	w939
Dank	w940
wissen	w941
<g/>
,
daß	w943
wir	w944
ihnen	w945
soviel	w946
Wasser	w947
zugezugeschi	w948
<g/>
=
</p>
<p id="p20">
schischischicket	w950
<g/>
=
</p>
<p id="p21">
schicket	w952
haben	w953
<g/>
:
Die	w955
Jser	w956
hat	w957
ungemeinen	w958
Schaden	w959
bis	w960
München	w961
zugerichtet	w962
<g/>
,
und	w964
der	w965
Lech	w966
hat	w967
zu	w968
Füssen	w969
die	w970
Brücke	w971
mit	w972
sich	w973
fort=gerissen	w974
<g/>
=
<g/>
:
Viel	w977
Menschen	w978
und	w979
noch	w980
mehr	w981
Vieh	w982
sind	w983
in	w984
dieser	w985
allgemeinen	w986
Waffer=noht	w987
<g/>
=
zu	w989
Grund	w990
gegangen	w991
<g/>
.
</p>
<head id="hl5">
Coesfeld	w993
14	w994
<g/>
.
Julii	w996
<g/>
.
</head>
<p id="p22">
Nachdeme	w998
das	w999
von	w1000
denen	w1001
Herren	w1002
von	w1003
Viomenil	w1004
und	w1005
von	w1006
Chapt	w1007
commandirte	w1008
De=taschement	w1009
<g/>
=
von	w1011
der	w1012
Avant	w1013
<g/>
=
garde	w1015
des	w1016
Herrn	w1017
von	w1018
Melfort	w1019
von	w1020
Rheene	w1021
sich	w1022
Meister	w1023
ge=macht	w1024
<g/>
=
<g/>
,
alwo	w1027
die	w1028
Feinde	w1029
verschiedene	w1030
Vorra=te	w1031
<g/>
=
versammlet	w1033
hatten	w1034
<g/>
,
liesse	w1036
der	w1037
Prinz	w1038
von	w1039
Conde	w1040
den	w1041
6	w1042
<g/>
.
dieses	w1044
an	w1045
den	w1046
Herrn	w1047
von	w1048
Vio=menil	w1049
<g/>
=
den	w1051
Befehl	w1052
ergehen	w1053
<g/>
,
mit	w1055
seinem	w1056
un=terhabenden	w1057
<g/>
=
Detaschement	w1059
von	w1060
dannen	w1061
ab	w1062
<g/>
,
und	w1064
an	w1065
die	w1066
Unterems	w1067
zu	w1068
marschieren	w1069
<g/>
,
um	w1071
aldaselbsten	w1072
alle	w1073
nur	w1074
immer	w1075
entdecken	w1076
kön=nende	w1077
<g/>
=
Vorrats	w1079
<g/>
=
häuser	w1081
zu	w1082
verheeren	w1083
<g/>
.
Der	w1085
Herr	w1086
von	w1087
Melfort	w1088
bekame	w1089
den	w1090
Auftrag	w1091
mit	w1092
dem	w1093
Uberrest	w1094
seiner	w1095
Avant	w1096
<g/>
=
garde	w1098
von	w1099
Horts=mare	w1100
<g/>
=
nacher	w1102
Rheene	w1103
abzugehen	w1104
<g/>
.
Der	w1106
Mar=quis	w1107
<g/>
=
von	w1109
Levy	w1110
rückte	w1111
mit	w1112
einer	w1113
Jnfantevie	w1114
<g/>
,
und	w1116
Reuter	w1117
<g/>
=
brigade	w1119
nacher	w1120
Hortsmar	w1121
ab	w1122
<g/>
,
um	w1124
den	w1125
Herrn	w1126
v	w1127
<g/>
.
Melfort	w1129
aldaselbst	w1130
abzu=lesen	w1131
<g/>
=
<g/>
,
weicher	w1134
von	w1135
Rheene	w1136
bis	w1137
Risenbeck	w1138
und	w1139
Decklenburg	w1140
vorrückte	w1141
</p>
<p id="p23">
Alle	w1142
feindliche	w1143
Magazine	w1144
<g/>
,
so	w1146
sich	w1147
an	w1148
der	w1149
Unterembs	w1150
<g/>
,
und	w1152
dem	w1153
Hatze	w1154
befanden	w1155
wurden	w1156
zu	w1157
Grund	w1158
gerichtet	w1159
<g/>
,
wobeynebst	w1161
man	w1162
auch	w1163
2	w1164
<g/>
.
Züge	w1166
einer	w1167
von	w1168
36	w1169
<g/>
.
und	w1171
der	w1172
an=dere	w1173
<g/>
=
von	w1175
40	w1176
<g/>
.
mit	w1178
Korn	w1179
beladener	w1180
Wägen	w1181
erbeutete	w1182
<g/>
;
der	w1184
erstere	w1185
wurde	w1186
von	w1187
dem	w1188
Frey=herrn	w1189
<g/>
=
von	w1191
Viomenil	w1192
<g/>
,
zwischen	w1194
Mepper	w1195
und	w1196
Forstnove	w1197
<g/>
,
und	w1199
der	w1200
zweyte	w1201
von	w1202
Chevalier	w1203
Viomenil	w1204
zwischen	w1205
Plantlune	w1206
und	w1207
Jppen=horn	w1208
<g/>
=
ausgehoben	w1210
<g/>
,
zugleicher	w1212
Zeit	w1213
har	w1214
man	w1215
in	w1216
denen	w1217
Grafschaften	w1218
Tecklenburg	w1219
und	w1220
Lin=gen	w1221
<g/>
=
Conteibutionen	w1223
ausgeschrieben	w1224
<g/>
,
zu	w1226
de=renlbesserer	w1227
<g/>
=
Versicherung	w1229
aus	w1230
Leer	w1231
und	w1232
Qua=ckenbrug	w1233
<g/>
=
Geisseln	w1235
ausgehoben	w1236
wordenwordenDiese	w1237
<g/>
=
</p>
<p id="p24">
Diese	w1239
verschiedene	w1240
von	w1241
dem	w1242
Herrn	w1243
von	w1244
Bixxx	w1245
an	w1246
der	w1247
Unterems	w1248
<g/>
,
und	w1250
dem	w1251
</p>
<p id="p25">
Hatze	w1252
zernichtete	w1253
feindliche	w1254
Magazins	w1255
wa=ren	w1256
<g/>
=
an	w1258
folgenden	w1259
Ortschaften	w1260
angeleget	w1261
<g/>
,
als	w1263
nämlich	w1264
zu	w1265
Rheene	w1266
<g/>
,
Meppen	w1268
<g/>
,
Asselune	w1270
<g/>
,
Berghom	w1272
<g/>
,
Landegg	w1274
<g/>
,
Haren	w1276
<g/>
,
Biel	w1278
<g/>
,
Stein=bil	w1280
<g/>
=
<g/>
,
Alem	w1283
<g/>
,
Drop	w1285
<g/>
,
Rhedde	w1287
<g/>
,
Heyde	w1289
<g/>
,
Halten	w1291
<g/>
,
Welge	w1293
<g/>
,
und	w1295
Wener	w1296
<g/>
,
und	w1298
der	w1299
denen	w1300
Fein=den	w1301
<g/>
=
zugefügte	w1303
Schaden	w1304
belauffet	w1305
sich	w1306
eigends	w1307
auf	w1308
62800	w1309
<g/>
.
Säcke	w1311
Korn	w1312
<g/>
,
46880	w1314
<g/>
.
Säcke	w1316
Haber	w1317
<g/>
,
und	w1319
400000	w1320
<g/>
.
Rationen	w1322
Heu	w1323
<g/>
,
oh=ne	w1325
<g/>
=
Einbegrif	w1327
der	w1328
zwey	w1329
aufgehobenen	w1330
Trans=port	w1331
<g/>
=
<g/>
=
zügen	w1334
<g/>
.
</p>
<p id="p26">
Alle	w1336
Trupen	w1337
haben	w1338
den	w1339
13	w1340
<g/>
.
wiederum	w1342
ihre	w1343
vorige	w1344
Stellung	w1345
genommen	w1346
<g/>
,
und	w1348
ist	w1349
überhaupt	w1350
bey	w1351
dieser	w1352
ganzen	w1353
Unternehmung	w1354
kein	w1355
Mann	w1356
unserer	w1357
Seits	w1358
verlohren	w1359
ge=gangen	w1360
<g/>
=
<g/>
.
</p>
<p id="p27">
Auszug	w1363
eines	w1364
Schreibens	w1365
aus	w1366
dem	w1367
Lager	w1368
bey	w1369
Krumbach	w1370
vom	w1371
17	w1372
<g/>
.
Julii	w1374
<g/>
.
</p>
<p id="p28">
Seit	w1376
etwelchen	w1377
Tagen	w1378
sind	w1379
in	w1380
dem	w1381
feind=lichen	w1382
<g/>
=
Lager	w1384
verschiedene	w1385
Bewegungen	w1386
vor=genommen	w1387
<g/>
=
worden	w1389
<g/>
.
Gestern	w1391
Morgens	w1392
zohen	w1393
sie	w1394
in	w1395
ihr	w1396
Lager	w1397
von	w1398
Hohenkirchen	w1399
<g/>
,
und	w1401
Wilhelmthal	w1402
zurück	w1403
<g/>
,
und	w1405
verbreiteten	w1406
ihren	w1407
rechten	w1408
Flügel	w1409
an	w1410
dem	w1411
Bache	w1412
von	w1413
Werkel	w1414
bis	w1415
eine	w1416
Meile	w1417
von	w1418
Fritzlar	w1419
<g/>
,
ihren	w1421
linken	w1422
aber	w1423
bis	w1424
an	w1425
den	w1426
sogenannten	w1427
Wasser=fall	w1428
<g/>
=
<g/>
;
einige	w1431
von	w1432
unsern	w1433
Detaschementern	w1434
verfolgten	w1435
bey	w1436
dieser	w1437
Gelegenheit	w1438
ihre	w1439
Ar=riere	w1440
<g/>
=
<g/>
=
garde	w1443
<g/>
,
und	w1445
bemächtigten	w1446
sich	w1447
<g/>
,
nach=dem	w1449
<g/>
=
sie	w1451
einige	w1452
der	w1453
Feinde	w1454
zu	w1455
Kriegs	w1456
<g/>
=
gefan=genen	w1458
<g/>
=
gemacht	w1460
<g/>
,
des	w1462
fahrenden	w1463
Spitals	w1464
den	w1465
Engländer	w1466
<g/>
.
Der	w1468
Herr	w1469
von	w1470
Chamboran	w1471
<g/>
,
Obrister	w1473
über	w1474
ein	w1475
Hussaren	w1476
<g/>
=
regiment	w1478
glei=ches	w1479
<g/>
=
Namens	w1481
<g/>
,
hatte	w1483
einige	w1484
Täge	w1485
vorhero	w1486
die	w1487
feindliche	w1488
Bäckerey	w1489
<g/>
,
nebst	w1491
einer	w1492
Pulver	w1493
<g/>
=
und	w1495
Munitions	w1496
<g/>
=
convoy	w1498
<g/>
,
überfallen	w1500
<g/>
,
und	w1502
gänzlich	w1503
zerstreuet	w1504
<g/>
;
er	w1506
brache	w1507
in	w1508
dieser	w1509
Ab=sicht	w1510
<g/>
=
mit	w1512
400	w1513
<g/>
.
Pferden	w1515
in	w1516
den	w1517
Gegenden	w1518
von	w1519
Treysa	w1520
auf	w1521
<g/>
,
und	w1523
langte	w1524
nach	w1525
einem	w1526
zurückgelegten	w1527
Marsche	w1528
von	w1529
30	w1530
<g/>
.
Meilen	w1532
zu	w1533
Warburg	w1534
an	w1535
<g/>
,
allwe	w1537
der	w1538
ganze	w1539
BäckereyBäckereyvorraht	w1540
<g/>
=
</p>
<p id="p29">
vorraht	w1544
sich	w1545
befande	w1546
<g/>
,
welchen	w1548
er	w1549
alsobald	w1550
in	w1551
seine	w1552
Gewalt	w1553
bekame	w1554
<g/>
,
alle	w1556
Jnstrumenta	w1557
<g/>
,
und	w1559
Karren	w1560
zerschmeissen	w1561
lassen	w1562
<g/>
,
und	w1564
210	w1565
<g/>
.
Pferde	w1567
mit	w1568
sich	w1569
zurück	w1570
gebracht	w1571
<g/>
:
er	w1573
hätte	w1574
deren	w1575
noch	w1576
mehrere	w1577
<g/>
,
allein	w1579
wellen	w1580
er	w1581
besorg=te	w1582
<g/>
=
<g/>
,
sie	w1585
möchten	w1586
ihme	w1587
auf	w1588
dem	w1589
Rückzug	w1590
be=schwerlich	w1591
<g/>
=
fallen	w1593
<g/>
,
liesse	w1595
er	w1596
vielen	w1597
die	w1598
Fla=xen	w1599
<g/>
=
abhauen	w1601
<g/>
.
Die	w1603
Garnison	w1604
von	w1605
War=burg	w1606
<g/>
=
bliebe	w1608
bey	w1609
dieser	w1610
Vorfallenheit	w1611
nicht	w1612
müßig	w1613
<g/>
,
sie	w1615
rückte	w1616
aus	w1617
<g/>
,
und	w1619
wollte	w1620
die	w1621
an=gefallene	w1622
<g/>
=
Bäckerey	w1624
vertheidigen	w1625
<g/>
,
allein	w1627
be=sagter	w1628
<g/>
=
Herr	w1630
von	w1631
Chamboran	w1632
griffe	w1633
dieselbe	w1634
mit	w1635
solcher	w1636
Lebhaftigkeit	w1637
an	w1638
<g/>
,
daß	w1640
er	w1641
sie	w1642
nicht	w1643
nur	w1644
allein	w1645
zurück	w1646
triebe	w1647
<g/>
,
sondern	w1649
auch	w1650
60	w1651
<g/>
.
Mann	w1653
<g/>
,
worunter	w1655
sich	w1656
ein	w1657
Engländischer	w1658
Capitain	w1659
<g/>
,
so	w1661
die	w1662
Commissairs	w1663
<g/>
=
stelle	w1665
vertra=te	w1666
<g/>
=
<g/>
,
sich	w1669
befindet	w1670
<g/>
,
zu	w1672
Kriegs	w1673
<g/>
=
gefangenen	w1675
gemacht	w1676
<g/>
.
</p>
<p id="p30">
Den	w1678
14	w1679
<g/>
.
rückte	w1681
ein	w1682
Corps	w1683
von	w1684
dem	w1685
feind=lichen	w1686
<g/>
=
Flügel	w1688
gegen	w1689
Homburg	w1690
vor	w1691
<g/>
,
und	w1693
ver=drange	w1694
<g/>
=
den	w1696
Hrn	w1697
<g/>
.
von	w1699
Guercht	w1700
von	w1701
denen	w1702
An=höhen	w1703
<g/>
=
von	w1705
Meisungen	w1706
dergestalten	w1707
<g/>
,
daß	w1709
er	w1710
sich	w1711
auf	w1712
das	w1713
rechte	w1714
Ufer	w1715
der	w1716
Fulda	w1717
zurück	w1718
zie=hen	w1719
<g/>
=
müssen	w1721
<g/>
;
Nachdeme	w1723
aber	w1724
dieser	w1725
Herr	w1726
den	w1727
15	w1728
<g/>
.
Morgens	w1730
mit	w1731
frischen	w1732
Trupen	w1733
ver=stärket	w1734
<g/>
=
worden	w1736
<g/>
,
so	w1738
bezohe	w1739
er	w1740
wiederum	w1741
sei=ne	w1742
<g/>
=
vorige	w1744
Stellung	w1745
auf	w1746
dem	w1747
linken	w1748
Ufer	w1749
dieses	w1750
Strohms	w1751
<g/>
:
allhier	w1753
beunruhigten	w1754
ihn	w1755
die	w1756
Feinde	w1757
neuerdingen	w1758
<g/>
,
sie	w1760
wurden	w1761
alle	w1762
wiederum	w1763
mit	w1764
Verlust	w1765
abgetrieben	w1766
<g/>
,
und	w1768
gezwungen	w1769
<g/>
,
bis	w1771
über	w1772
die	w1773
Schwalin	w1774
und	w1775
Eder	w1776
zurück	w1777
zu	w1778
eilen	w1779
<g/>
.
Man	w1781
kan	w1782
keine	w1783
schö=nere	w1784
<g/>
=
und	w1786
Regel	w1787
<g/>
=
mäßigere	w1789
Veranstaltungen	w1790
ausfindig	w1791
machen	w1792
<g/>
,
als	w1794
diejenige	w1795
waren	w1796
<g/>
,
so	w1798
der	w1799
Hr	w1800
<g/>
.
von	w1802
Guerchy	w1803
bey	w1804
allen	w1805
diesen	w1806
Unternehmungen	w1807
getroffen	w1808
hatte	w1809
<g/>
.
Die	w1811
stätshin	w1812
anlangende	w1813
Deserteurs	w1814
sagen	w1815
ein=hellig	w1816
<g/>
=
aus	w1818
<g/>
,
daß	w1820
der	w1821
Hanöverische	w1822
General	w1823
Scheell	w1824
hiebey	w1825
getödtet	w1826
worden	w1827
<g/>
.
Das	w1829
Haupt	w1830
<g/>
=
quartier	w1832
ist	w1833
seit	w1834
den	w1835
15	w1836
<g/>
.
dieses	w1838
hie=her	w1839
<g/>
=
verleget	w1841
worden	w1842
<g/>
.
</p>
<head id="hl6">
Leipzig	w1844
19	w1845
<g/>
.
Julii	w1847
<g/>
.
</head>
<p id="p31">
Die	w1849
jüngst	w1850
aus	w1851
Hamburg	w1852
hier	w1853
eingetrofeingetroffene	w1854
<g/>
=
</p>
<p id="p32">
fene	w1856
Briefschaften	w1857
enthtelten	w1858
folgende	w1859
nä=here	w1860
<g/>
=
Umstände	w1862
von	w1863
denen	w1864
nunmehro	w1865
allda	w1866
überhand	w1867
genommenen	w1868
Unruhen	w1869
<g/>
.
Die	w1871
Königl	w1872
<g/>
.
Dänischen	w1874
Trupen	w1875
hätten	w1876
sich	w1877
in	w1878
den	w1879
prächtigen	w1880
Gärten	w1881
zu	w1882
