<doc id="wr_1761-09-05" attrs="word" year="1761" month="09" day="05" corpus="2">
<head id="h2_d584e3164">
Londer	w1_d584e3168
an	w13_d584e3632
geführet	w1_d584e3638
werden	w3_d584e3641
solle.	w5_d584e3644
</p>
<p id="p8_d584e3647">
Der	w1_d584e3651
Chef	w3_d584e3654
d'Escadre	w5_d584e3657
Brett,	w7_d584e3660
welcher	w9_d584e3663
auf	w11_d584e3666
Recognoscirung	w1_d584e3671
der	w3_d584e3674
Frarzösischen	w5_d584e3677
Küsten,	w7_d584e3680
von	w1_d584e3685
Calais	w3_d584e3688
anzufangen	w5_d584e3691
bis	w7_d584e3694
Duinkirchen	w9_d584e3697
aus	w1_d584e3703
ware,	w3_d584e3706
kame	w5_d584e3709
vorgestern	w7_d584e3712
nacher	w9_d584e3715
Dunes	w11_d584e3718
zurück,	w1_d584e3723
und	w3_d584e3726
schickte	w5_d584e3729
alsbald	w7_d584e3732
einen	w9_d584e3735
Expres	w11_d584e3738
sen	w1_d584e3743
mit	w3_d584e3746
dem	w5_d584e3749
Entwurf	w7_d584e3752
seiner	w9_d584e3755
Beobachtun	w11_d584e3758
gen	w1_d584e3763
an	w3_d584e3766
unsere	w5_d584e3769
Admiralität	w7_d584e3772
hieher.	w9_d584e3775
</p>
<p id="p10_d584e3778">
Den	w1_d584e3782
15.	w3_d584e3785
dieses	w5_d584e3788
Abends	w7_d584e3791
bekame	w9_d584e3794
diese	w11_d584e3797
erst	w1_d584e3802
gedachte	w3_d584e3805
Admiralität	w5_d584e3808
gleichergestalten	w7_d584e3811
Depeschen	w1_d584e3816
von	w3_d584e3819
dem	w5_d584e3822
Chef	w7_d584e3825
r'Escadre	w9_d584e3828
Keppel	w11_d584e3831
von	w1_d584e3837
der	w3_d584e3840
Rhede	w5_d584e3843
zu	w7_d584e3846
Bell=iole	w9_d584e3849
unterm	w11_d584e3852
28.	w13_d584e3856
vorigen	w1_d584e3861
Monats	w3_d584e3864
mit	w5_d584e3867
der	w7_d584e3870
Nachricht,	w9_d584e3873
daß	w11_d584e3876
der	w1_d584e3881
Chef	w3_d584e3884
d'Escadre	w5_d584e3887
Stanhope,	w7_d584e3890
welcher	w9_d584e3893
ei	w11_d584e3896
ne	w1_d584e3901
Division	w3_d584e3904
derjenigen	w5_d584e3907
Kriegs=schiffe	w7_d584e3910
com	w9_d584e3913
mandiret,	w1_d584e3919
so	w3_d584e3922
zur	w5_d584e3925
Schleiffung	w7_d584e3928
der	w9_d584e3931
Festungs	w11_d584e3934
</p>
<p id="p16_d584e3948">
werke	w1_d584e3952
der	w3_d584e3955
Jnsel	w5_d584e3958
Aix	w7_d584e3961
bestimmte	w9_d584e3964
Bombardier	w11_d584e3967
gallioren,	w1_d584e3972
und	w3_d584e3975
Jngenieurs	w5_d584e3978
bedecken	w7_d584e3981
sollien,	w9_d584e3984
den	w1_d584e3989
21.	w3_d584e3992
des	w5_d584e3995
Morgens	w7_d584e3998
von	w9_d584e4001
6.	w11_d584e4004
Pramen,	w13_d584e4008
einigen	w1_d584e4014
mit	w3_d584e4017
feindlichen	w5_d584e4020
Trupen	w7_d584e4023
besetzten	w9_d584e4026
Fi	w11_d584e4029
scher=fahrzeugen,	w1_d584e4034
und	w3_d584e4037
einer	w5_d584e4040
Menge	w7_d584e4043
mit	w9_d584e4046
Mannschaft	w1_d584e4051
angefüllten	w3_d584e4054
sogenannten	w5_d584e4057
Flü	w7_d584e4060
ten	w1_d584e4065
seye	w3_d584e4068
angegriffen	w5_d584e4071
worden,	w7_d584e4074
sie	w9_d584e4077
hätten	w11_d584e4080
zu	w13_d584e4084
dem	w1_d584e4090
Ende	w3_d584e4093
zwischen	w5_d584e4096
der	w7_d584e4099
Jnsel	w9_d584e4102
Enet	w11_d584e4105
und	w13_d584e4109
der	w15_d584e4112
Front	w1_d584e4117
v.	w3_d584e4120
Fouras	w5_d584e4123
eine	w7_d584e4126
vortheilhafte	w9_d584e4129
Stellung	w11_d584e4132
genommen,	w1_d584e4137
und	w3_d584e4140
von	w5_d584e4143
dannen	w7_d584e4146
unsere	w9_d584e4149
in	w11_d584e4152
dem	w13_d584e4156
Hafen	w1_d584e4161
von	w3_d584e4164
Aix	w5_d584e4167
sich	w7_d584e4170
befindende	w9_d584e4173
Kriegs=schiffe	w11_d584e4176
aus	w1_d584e4182
12.	w3_d584e4185
Mörsern,	w5_d584e4188
und	w7_d584e4191
mehr	w9_d584e4194
dann	w11_d584e4197
70.	w13_d584e4201
grossen	w1_d584e4206
Canonen	w3_d584e4209
von	w5_d584e4212
5.	w7_d584e4215
Uhr	w9_d584e4218
Morgens	w11_d584e4221
bis	w13_d584e4225
2.	w1_d584e4230
Uhr	w3_d584e4233
Nachmittags	w5_d584e4236
beschossen,	w7_d584e4239
da	w9_d584e4242
sie	w11_d584e4245
end	w13_d584e4249
lichen	w1_d584e4254
von	w3_d584e4257
unseren	w5_d584e4260
Kriegs=schiffen,	w7_d584e4263
wel	w9_d584e4266
che	w1_d584e4272
immer	w3_d584e4275
so	w5_d584e4278
fertige	w7_d584e4281
Bewegungen	w9_d584e4284
machten,	w11_d584e4287
daß	w1_d584e4292
die	w3_d584e4295
feindliche	w5_d584e4298
Bomben	w7_d584e4301
und	w9_d584e4304
Kugeln	w11_d584e4307
sie	w13_d584e4311
niemalen	w1_d584e4316
erreichen	w3_d584e4319
können,	w5_d584e4322
zum	w7_d584e4325
Zurückzug	w9_d584e4328
gezwungen	w1_d584e4333
worden.	w3_d584e4336
Unsere	w5_d584e4339
Bastimente	w7_d584e4342
kunten	w1_d584e4348
sich	w3_d584e4351
wegen	w5_d584e4354
der	w7_d584e4357
Seichte	w9_d584e4360
des	w11_d584e4363
Wassers	w13_d584e4367
keines	w1_d584e4372
feindlichen	w3_d584e4375
Schiffes	w5_d584e4378
bemeistern.	w7_d584e4381
Die	w9_d584e4384
ses	w1_d584e4389
ist	w3_d584e4392
schon	w5_d584e4395
das	w7_d584e4398
zweytemal,	w9_d584e4401
daß	w11_d584e4404
die	w13_d584e4408
Feinde	w15_d584e4411
unsere	w1_d584e4416
Schiffe	w3_d584e4419
von	w5_d584e4422
dannen	w7_d584e4425
zu	w9_d584e4428
vertreiben,	w11_d584e4431
und	w1_d584e4437
die	w3_d584e4440
Boll=werke	w5_d584e4443
von	w7_d584e4446
der	w9_d584e4449
Jnsel	w11_d584e4452
Aix	w13_d584e4456
welche	w1_d584e4461
nunmehro	w3_d584e4464
ganz	w5_d584e4467
und	w7_d584e4470
gar	w9_d584e4473
dem	w11_d584e4476
Boden	w13_d584e4480
gleich	w1_d584e4485
gemacht	w3_d584e4488
sind,	w5_d584e4491
von	w7_d584e4494
dieser	w9_d584e4497
Verwüstung	w11_d584e4500
zu	w1_d584e4505
erretten	w3_d584e4508
vergebens	w5_d584e4511
gesuchet	w7_d584e4514
haben.	w9_d584e4517
</p>
<p id="p18_d584e4520">
Das	w1_d584e4524
Matrosen=pressen,	w3_d584e4527
und	w5_d584e4530
Soldaten	w7_d584e4533
werben	w1_d584e4538
wird	w3_d584e4541
nunmehro	w5_d584e4544
mit	w7_d584e4547
mehrerem	w9_d584e4550
Ei	w11_d584e4553
fer	w1_d584e4558
als	w3_d584e4561
jemals	w5_d584e4564
beschehen,	w7_d584e4567
fortgetrieben.	w9_d584e4570
Alle	w11_d584e4573
Schiffe,	w1_d584e4579
welche	w3_d584e4582
dieses	w5_d584e4585
Jahr	w7_d584e4588
auf	w9_d584e4591
den	w11_d584e4594
Wall	w13_d584e4598
fisch=fang	w1_d584e4603
ausgeloffen	w3_d584e4606
waren,	w5_d584e4609
und	w7_d584e4612
über	w9_d584e4615
diese	w1_d584e4620
eine	w3_d584e4623
Menge	w5_d584e4626
grosse	w7_d584e4629
Kohlen=schiffe	w9_d584e4632
sind	w11_d584e4635
in	w1_d584e4640
Königl.	w3_d584e4643
Dienste	w5_d584e4646
genommen	w7_d584e4649
worden;	w9_d584e4652
nicht	w1_d584e4658
minder	w3_d584e4661
ist	w5_d584e4664
man	w7_d584e4667
beschäftiget	w9_d584e4670
auf	w11_d584e4673
der	w13_d584e4677
Themse	w1_d584e4682
sehr	w3_d584e4685
viele	w5_d584e4688
dergleichen	w7_d584e4691
Schiffe	w9_d584e4694
zu	w11_d584e4697
recht	w1_d584e4702
zu	w3_d584e4705
machen,	w5_d584e4708
um	w7_d584e4711
auf	w9_d584e4714
selben	w11_d584e4717
alsdann	w13_d584e4721
ent	w15_d584e4724
weder	w1_d584e4729
frische	w3_d584e4732
Trupen	w5_d584e4735
nach	w7_d584e4738
Teutschland	w9_d584e4741
überschicken,	w1_d584e4747
oder	w3_d584e4750
aber	w5_d584e4753
selbe	w7_d584e4756
zu	w9_d584e4759
anderen	w11_d584e4762
Un	w13_d584e4766
ternehmungen	w1_d584e4771
gebrauchen	w3_d584e4774
zu	w5_d584e4777
können.	w7_d584e4780
Un	w9_d584e4783
sere	w1_d584e4788
See=macht	w3_d584e4791
bestehet	w5_d584e4794
nunmehro	w7_d584e4797
würklich	w9_d584e4800
aus	w1_d584e4805
350.	w3_d584e4808
theils	w5_d584e4811
Schiffe	w7_d584e4814
von	w9_d584e4817
der	w11_d584e4820
Linie,	w13_d584e4824
theils	w15_d584e4827
Fregatten,	w1_d584e4833
rc.	w3_d584e4836
und	w5_d584e4839
deme	w7_d584e4842
ungeachtet	w9_d584e4845
wird	w11_d584e4848
auf	w13_d584e4852
</p>
<p id="p20_d584e4855">
vielen	w1_d584e4859
Zimmer=werften	w3_d584e4862
mit	w5_d584e4865
allem	w7_d584e4868
Eifer	w9_d584e4871
gearbeitet.	w1_d584e4876
Zu	w3_d584e4879
Catham	w5_d584e4882
werden	w7_d584e4885
unter	w9_d584e4888
an	w11_d584e4891
deren	w1_d584e4896
demnächstel	w3_d584e4899
der	w5_d584e4902
Sieger	w7_d584e4905
von	w9_d584e4908
100.	w11_d584e4911
der	w1_d584e4917
London	w3_d584e4920
von	w5_d584e4923
90.,	w7_d584e4926
und	w9_d584e4929
der	w11_d584e4932
Ramillies	w13_d584e4936
von	w1_d584e4941
74.	w3_d584e4944
Canonen	w5_d584e4947
zu	w7_d584e4950
Stande	w9_d584e4953
gebracht	w11_d584e4956
wer	w13_d584e4960
den.	w1_d584e4965
</p>
<p id="p22_d584e4968">
Heute	w1_d584e4972
wurde	w3_d584e4975
wegen	w5_d584e4978
denen	w7_d584e4981
diesen	w9_d584e4984
Mor	w11_d584e4987
gen	w1_d584e4992
aus	w3_d584e4995
Teutschland	w5_d584e4998
hier	w7_d584e5001
angelangten	w9_d584e5004
Depe	w11_d584e5007
schen	w1_d584e5012
grosser	w3_d584e5015
Raht	w5_d584e5018
gehalten.	w7_d584e5021
Obwolen	w9_d584e5024
der	w11_d584e5027
Herr	w1_d584e5033
Bussy	w3_d584e5036
fortfährt	w5_d584e5039
mit	w7_d584e5042
unseren	w9_d584e5045
Ministern	w11_d584e5048
öftere	w1_d584e5053
Unterredungen	w3_d584e5056
zu	w5_d584e5059
pflegen,	w7_d584e5062
so	w9_d584e5065
hat	w11_d584e5068
es	w13_d584e5072
deme	w1_d584e5077
ungeachtet	w3_d584e5080
noch	w5_d584e5083
gar	w7_d584e5086
kein	w9_d584e5089
Ansehen,	w11_d584e5092
als	w13_d584e5096
ob	w1_d584e5101
noch	w3_d584e5104
vor	w5_d584e5107
dem	w7_d584e5110
Ende	w9_d584e5113
des	w11_d584e5116
heurigen	w13_d584e5120
Feld	w15_d584e5123
zugs	w1_d584e5129
etwas	w3_d584e5132
Hauptsächliches	w5_d584e5135
dörfte	w7_d584e5138
ausge	w9_d584e5141
machet	w1_d584e5146
werden.	w3_d584e5149
Fortsetzung	w1_d584e5154
des	w3_d584e5157
Journals	w5_d584e5160
der	w7_d584e5163
Kö	w9_d584e5166
</p>
<head id="h2_d584e5172">
nigl.	w1_d584e5176
Französischen	w3_d584e5179
Armee	w5_d584e5182
unter	w7_d584e5185
dem	w1_d584e5190
Hrn.	w3_d584e5193
Marschall,	w5_d584e5196
Herzogen	w7_d584e5199
von	w9_d584e5202
Broglie,	w1_d584e5207
von	w3_d584e5210
12.	w5_d584e5213
bis	w7_d584e5216
19.	w9_d584e5219
August.	w1_d584e5225
</head>
<p id="p4_d584e5228">
Den	w1_d584e5232
12.	w3_d584e5235
langten	w5_d584e5238
die	w7_d584e5241
Völker	w9_d584e5244
unter	w11_d584e5247
dem	w13_d584e5251
Hrn.	w1_d584e5256
Grafen	w3_d584e5259
d'Espics	w5_d584e5262
von	w7_d584e5265
Scherwede	w9_d584e5268
zu	w11_d584e5271
Willebad=essen	w1_d584e5276
an,	w3_d584e5279
und	w5_d584e5282
vereinigten	w7_d584e5285
sich	w9_d584e5288
al	w11_d584e5291
da	w1_d584e5297
wiederum	w3_d584e5300
mit	w5_d584e5303
jenen	w7_d584e5306
unter	w9_d584e5309
dem	w11_d584e5312
Hrn	w13_d584e5316
Herzogen	w1_d584e5321
von	w3_d584e5324
Laval;	w5_d584e5327
der	w7_d584e5330
Hr.	w9_d584e5333
Marschall	w11_d584e5336
übernachtete	w1_d584e5341
zu	w3_d584e5344
Driburg	w5_d584e5347
</p>
<p id="p6_d584e5350">
Den	w1_d584e5354
13.	w3_d584e5357
brachten	w5_d584e5360
bey	w7_d584e5363
gar	w9_d584e5366
guter	w11_d584e5369
Zeit	w13_d584e5373
die	w1_d584e5378
Trupen	w3_d584e5381
auf,	w5_d584e5384
welche	w7_d584e5387
unter	w9_d584e5390
dem	w11_d584e5393
Hrn.	w13_d584e5397
Grafen	w1_d584e5402
von	w3_d584e5405
Guerchy	w5_d584e5408
zu	w7_d584e5411
Driburg	w9_d584e5414
waren;	w11_d584e5417
nicht	w1_d584e5423
minder	w3_d584e5426
jene,	w5_d584e5429
so	w7_d584e5432
zu	w9_d584e5435
Willebad=essen	w11_d584e5438
geblieben,	w1_d584e5443
samt	w3_d584e5446
denen	w5_d584e5449
unter	w7_d584e5452
dem	w9_d584e5455
Hrn.	w11_d584e5458
Her	w13_d584e5462
zogen	w1_d584e5467
von	w3_d584e5470
Laval,	w5_d584e5473
die	w7_d584e5476
Carabiniers	w9_d584e5479
und	w11_d584e5482
die	w13_d584e5486
Reiterey,	w1_d584e5491
welche	w3_d584e5494
in	w5_d584e5497
Dringenberg	w7_d584e5500
der	w9_d584e5503
Hr.	w11_d584e5506
Marquis	w1_d584e5512
von	w3_d584e5515
Poyanne	w5_d584e5518
commandirte,	w7_d584e5521
die	w9_d584e5524
Reserve	w1_d584e5529
des	w3_d584e5532
Hrn.	w5_d584e5535
Grafen	w7_d584e5538
von	w9_d584e5541
der	w11_d584e5544
Lauftt	w13_d584e5548
und	w1_d584e5553
dessen	w3_d584e5556
Avant=garde	w5_d584e5559
unter	w7_d584e5562
dem	w9_d584e5565
Frey	w11_d584e5568
herrn	w1_d584e5573
von	w3_d584e5576
Closen,	w5_d584e5579
und	w7_d584e5582
nahmen	w9_d584e5585
ihren	w11_d584e5588
Zu	w13_d584e5592
gegen	w1_d584e5598
Steinheim.	w3_d584e5601
</p>
<head id="h2_d584e5607">
Frankfurt	w1_d584e5611
26.	w3_d584e5614
Aug.	w5_d584e5617
</head>
<p id="p4_d584e5620">
Von	w1_d584e5624
der	w3_d584e5627
Königl.	w5_d584e5630
Französischen	w7_d584e5633
Armet	w9_d584e5636
weis	w1_d584e5641
man	w3_d584e5644
zur	w5_d584e5647
Zeit	w7_d584e5650
folgende	w9_d584e5653
besondere	w11_d584e5656
Nach	w13_d584e5660
richten:	w1_d584e5665
Den	w3_d584e5668
18.	w5_d584e5671
Aug.	w7_d584e5674
früh	w9_d584e5677
um	w11_d584e5680
3.	w13_d584e5684
lth	w15_d584e5687
war	w1_d584e5693
</p>
<p id="p8_d584e5698">
war	w1_d584e5702
bereits	w3_d584e5705
das	w5_d584e5708
ganze	w7_d584e5711
Kriegs=heer	w9_d584e5714
im	w11_d584e5717
Zuge	w13_d584e5721
begriffen.	w1_d584e5726
Die	w3_d584e5729
Herren	w5_d584e5732
von	w7_d584e5735
Beauveau,	w9_d584e5738
Closen	w1_d584e5743
und	w3_d584e5746
Chabo	w5_d584e5749
waren	w7_d584e5752
das	w9_d584e5755
Hindertref	w11_d584e5758
fen.	w1_d584e5764
Die	w3_d584e5767
Feinde	w5_d584e5770
machten	w7_d584e5773
nicht	w9_d584e5776
ehender	w11_d584e5779
als	w1_d584e5784
7.	w3_d584e5787
Uhr	w5_d584e5790
die	w7_d584e5793
geringste	w9_d584e5796
Bewegungen,	w11_d584e5799
da	w13_d584e5803
mals	w1_d584e5808
waren	w3_d584e5811
wir	w5_d584e5814
eben	w7_d584e5817
auf	w9_d584e5820
den	w11_d584e5823
Anhöhen	w13_d584e5827
senseits	w1_d584e5832
Niebeim.	w3_d584e5835
Sie	w5_d584e5838
detaschirten	w7_d584e5841
nur	w9_d584e5844
3.	w11_d584e5847
bis	w1_d584e5853
4000	w3_d584e5856
Mann,	w5_d584e5859
diese	w7_d584e5862
giengen	w9_d584e5865
gegen	w11_d584e5868
Abend	w13_d584e5872
seitwärts	w1_d584e5877
auf	w3_d584e5880
den	w5_d584e5883
Frey=herrn	w7_d584e5886
von	w9_d584e5889
Closen	w11_d584e5892
los,	w1_d584e5897
ihre	w3_d584e5900
Absicht	w5_d584e5903
aber	w7_d584e5906
mißlung	w9_d584e5909
ihnen.	w11_d584e5912
Sie	w13_d584e5916
liessen	w1_d584e5921
in	w3_d584e5924
einer	w5_d584e5927
Ebene	w7_d584e5930
und	w9_d584e5933
der	w11_d584e5936
besten	w13_d584e5940
Ord	w15_d584e5943
nung	w1_d584e5949
400.	w3_d584e5952
M.	w5_d584e5955
zu	w7_d584e5958
Fusse	w9_d584e5961
stehen.	w11_d584e5964
Der	w13_d584e5968
Hr.	w15_d584e5971
von	w17_d584e5974
Gindrau,	w1_d584e5979
Commandant	w3_d584e5982
der	w5_d584e5985
St.	w7_d584e5988
Victorischen	w9_d584e5991
Reiterey	w1_d584e5996
unter	w3_d584e5999
dem	w5_d584e6002
Herrn	w7_d584e6005
von	w9_d584e6008
Closen,	w11_d584e6011
machte	w1_d584e6016
sich	w3_d584e6019
diesen	w5_d584e6022
Augenblick	w7_d584e6025
zu	w9_d584e6028
Nutze.	w11_d584e6031
Er	w13_d584e6035
grif	w1_d584e6041
gedachtes	w3_d584e6044
Fußvolk	w5_d584e6047
an,	w7_d584e6050
schlug	w9_d584e6053
es	w11_d584e6056
in	w13_d584e6060
die	w1_d584e6065
Flucht,	w3_d584e6068
und	w5_d584e6071
nahm	w7_d584e6074
viel	w9_d584e6077
gefangen.	w11_d584e6080
Mit	w13_d584e6084
ten	w1_d584e6089
in	w3_d584e6092
seinen	w5_d584e6095
Verrichtungen	w7_d584e6098
entdeckte	w9_d584e6101
er,	w11_d584e6104
daß	w13_d584e6108
4.	w1_d584e6113
bis	w3_d584e6116
500.	w5_d584e6119
Jäger	w7_d584e6122
und	w9_d584e6125
braune	w11_d584e6128
Hussaren	w13_d584e6132
zu	w1_d584e6138
Unterstützung	w3_d584e6141
der	w5_d584e6144
Jnfanterie	w7_d584e6147
herbeyeil	w9_d584e6150
ten.	w1_d584e6155
Seine	w3_d584e6158
Leute	w5_d584e6161
machten	w7_d584e6164
Halt	w9_d584e6167
und	w11_d584e6170
grif	w13_d584e6174
fen	w1_d584e6179
zum	w3_d584e6182
zweytenmale	w5_d584e6185
die	w7_d584e6188
feindliche	w9_d584e6191
Reite	w11_d584e6194
rey	w1_d584e6199
an,	w3_d584e6202
und	w5_d584e6205
versetzten	w7_d584e6208
sie	w9_d584e6211
in	w11_d584e6214
das	w13_d584e6218
nämliche	w15_d584e6221
Schicksal	w1_d584e6227
des	w3_d584e6230
Fußvolkes.	w5_d584e6233
Man	w7_d584e6236
schätzt	w9_d584e6239
den	w1_d584e6244
Verlust	w3_d584e6247
der	w5_d584e6250
Frinde	w7_d584e6253
von	w9_d584e6256
diesem	w11_d584e6259
kleinen	w13_d584e6263
Treffen	w1_d584e6268
auf	w3_d584e6271
50.	w5_d584e6274
Kriegs=gefangene	w7_d584e6277
und	w9_d584e6280
150.	w11_d584e6283
Verwundete	w1_d584e6288
nebst	w3_d584e6291
Todten.	w5_d584e6294
Wir	w7_d584e6297
haben	w9_d584e6300
einige	w1_d584e6306
Verwundete.	w3_d584e6309
</p>
<p id="p10_d584e6312">
Den	w1_d584e6316
nämlichen	w3_d584e6319
18.	w5_d584e6322
setzten	w7_d584e6325
von	w9_d584e6328
unserer	w11_d584e6331
Armee	w1_d584e6336
50000.	w3_d584e6339
Mann	w5_d584e6342
über	w7_d584e6345
die	w9_d584e6348
Weser	w11_d584e6351
auf	w13_d584e6355
dem	w1_d584e6360
andern	w3_d584e6363
Ufer.	w5_d584e6366
Wie	w7_d584e6369
dann	w9_d584e6372
alles	w11_d584e6375
schwere	w13_d584e6379
Gepäcke,	w1_d584e6385
Lebens=mittel	w3_d584e6388
und	w5_d584e6391
das	w7_d584e6394
grosse	w9_d584e6397
Geschütze	w1_d584e6402
in	w3_d584e6405
der	w5_d584e6408
Nacht	w7_d584e6411
auf	w9_d584e6414
den	w11_d584e6417
19.	w13_d584e6421
ein	w15_d584e6424
gleiches	w1_d584e6429
thate.	w3_d584e6432
Der	w5_d584e6435
Herr	w7_d584e6438
von	w9_d584e6441
Vaux	w11_d584e6444
war	w13_d584e6448
mit	w1_d584e6453
3.	w3_d584e6456
Jnfanterie=brigaden	w5_d584e6459
auf	w7_d584e6462
den	w9_d584e6465
Höhen	w11_d584e6468
des	w1_d584e6474
rechten	w3_d584e6477
Flügels	w5_d584e6480
vor	w7_d584e6483
Höxter;	w9_d584e6486
der	w11_d584e6489
Herr	w13_d584e6493
von	w1_d584e6498
Duros	w3_d584e6501
auf	w5_d584e6504
denen	w7_d584e6507
Anhöhen	w9_d584e6510
des	w11_d584e6513
Mittel	w13_d584e6517
punctes	w1_d584e6522
vorwärts	w3_d584e6525
Höxter;	w5_d584e6528
die	w7_d584e6531
Herren	w9_d584e6534
von	w11_d584e6537
Closen,	w1_d584e6542
Beauvcau,	w3_d584e6545
und	w5_d584e6548
Chabo	w7_d584e6551
aber	w9_d584e6554
stunden	w11_d584e6557
auf	w1_d584e6563
jenen	w3_d584e6566
des	w5_d584e6569
linken	w7_d584e6572
Flügels.	w9_d584e6575
Den	w11_d584e6578
19ten	w13_d584e6582
fruh	w1_d584e6587
um	w3_d584e6590
8.	w5_d584e6593
Uhr	w7_d584e6596
brach	w9_d584e6599
der	w11_d584e6602
Herr	w13_d584e6606
Marschall	w15_d584e6609
mit	w1_d584e6614
der	w3_d584e6617
Closischen	w5_d584e6620
Division	w7_d584e6623
auf,	w9_d584e6626
er	w11_d584e6629
recogno	w13_d584e6633
</p>
<p id="p12_d584e6637">
seirte	w1_d584e6641
die	w3_d584e6644
Feinde	w5_d584e6647
auf	w7_d584e6650
denen	w9_d584e6653
Anhöhen	w11_d584e6656
gegen	w13_d584e6660
uns	w1_d584e6665
über.	w3_d584e6668
</p>
<p id="p14_d584e6671">
Jn	w1_d584e6675
der	w3_d584e6678
Mitte	w5_d584e6681
war	w7_d584e6684
ein	w9_d584e6687
Wald.	w11_d584e6690
Auf	w13_d584e6694
das	w15_d584e6697
Zeichen	w1_d584e6702
zweyer	w3_d584e6705
Stück=schüsse	w5_d584e6708
rückte	w7_d584e6711
das	w9_d584e6714
feindliche	w1_d584e6719
Fuß=volk	w3_d584e6722
in	w5_d584e6725
das	w7_d584e6728
Gehölze.	w9_d584e6731
Der	w11_d584e6734
Herr	w1_d584e6740
Marschall	w3_d584e6743
zweiflete	w5_d584e6746
keinesweegs,	w7_d584e6749
daß	w9_d584e6752
die	w1_d584e6757
Feinde	w3_d584e6760
uns	w5_d584e6763
angreiffen	w7_d584e6766
wollten,	w9_d584e6769
mithin	w11_d584e6772
befahl	w1_d584e6777
er	w3_d584e6780
der	w5_d584e6783
Arrier=garde,	w7_d584e6786
weil	w9_d584e6789
er	w11_d584e6792
es	w13_d584e6796
zu	w15_d584e6799
keinem	w1_d584e6804
Treffen	w3_d584e6807
wollte	w5_d584e6810
kommen	w7_d584e6813
