<doc id="edoc_wd_1772-05-16" attrs="word" year="1772" month="05" day="16" corpus="1">
<head id="hl1">
*Urbania	w28
Toscana	w991
gekommenes	w992
Schiff	w993
in	w994
Erfahrung	w995
ge=bracht	w996
<g/>
=
<g/>
,
daß	w999
ein	w1000
Ferraresisches	w1001
Schiff	w1002
mit	w1003
to=scanischer	w1004
<g/>
=
Flagge	w1006
<g/>
,
welches	w1008
aus	w1009
seinem	w1010
Vater=lande	w1011
<g/>
=
nach	w1013
Livorno	w1014
segeln	w1015
wollte	w1016
<g/>
,
unterwegs	w1018
von	w1019
4	w1020
<g/>
.
barbarischen	w1022
Raubschiffen	w1023
gekappert	w1024
<g/>
,
und	w1026
40	w1027
<g/>
.
darauf	w1029
geweste	w1030
Passagiers	w1031
<g/>
,
nebst	w1033
der	w1034
ganzen	w1035
Schiffsmannschaft	w1036
zu	w1037
Sklaven	w1038
ge=macht	w1039
<g/>
=
worden	w1041
<g/>
.
</p>
<head id="hl6">
Brüssel	w1043
<g/>
,
den	w1045
28	w1046
<g/>
.
April	w1048
<g/>
.
</head>
<p id="p18">
Es	w1050
ist	w1051
abermals	w1052
eine	w1053
allergnädigste	w1054
kaiserl	w1055
<g/>
.
königl	w1057
<g/>
.
Verordnung	w1059
<g/>
,
in	w1061
Betreff	w1062
der	w1063
Aufnah=me	w1064
<g/>
=
in	w1066
die	w1067
geistlichen	w1068
Orden	w1069
<g/>
,
zum	w1071
Vorschein	w1072
gekommen	w1073
<g/>
.
Sie	w1075
bestehet	w1076
aus	w1077
6	w1078
<g/>
.
Artikeln	w1080
<g/>
,
und	w1082
wird	w1083
darinn	w1084
ein	w1085
und	w1086
anderes	w1087
von	w1088
jenem	w1089
Edikte	w1090
<g/>
,
so	w1092
unterm	w1093
13ten	w1094
May	w1095
verwichenen	w1096
Jahres	w1097
er=lassen	w1098
<g/>
=
worden	w1100
<g/>
,
näher	w1102
erläutert	w1103
<g/>
.
Jn	w1105
dem	w1106
4ten	w1107
wird	w1108
den	w1109
Oberen	w1110
der	w1111
Klöster	w1112
beyderley	w1113
Ge=schlechtes	w1114
<g/>
=
<g/>
,
bey	w1117
Vermeidung	w1118
einer	w1119
Geldbusse	w1120
von	w1121
4000	w1122
<g/>
.
fl	w1124
<g/>
,
ausdrücklich	w1126
untersaget	w1127
<g/>
,
keinen	w1129
Novitz	w1130
vor	w1131
dem	w1132
vollbrachten	w1133
25sten	w1134
Jahre	w1135
sei=nes	w1136
<g/>
=
Alters	w1138
zur	w1139
Ablegung	w1140
der	w1141
Gelübde	w1142
zu	w1143
lassen	w1144
<g/>
.
Zu	w1146
mehrerer	w1147
Sicherheit	w1148
dieses	w1149
Alters	w1150
muß	w1151
der	w1152
Taufschein	w1153
von	w1154
den	w1155
Gerichtsleuten	w1156
des	w1157
Ge=burtsortes	w1158
<g/>
=
legalisirt	w1160
aufgewiesen	w1161
werden	w1162
<g/>
.
</p>
<head id="hl7">
Warschau	w1164
<g/>
,
den	w1166
15	w1167
<g/>
.
April	w1169
<g/>
.
</head>
<p id="p19">
Vorgestern	w1171
hatten	w1172
wir	w1173
hier	w1174
ein	w1175
neues	w1176
Schre=cken	w1177
<g/>
=
von	w1179
den	w1180
Conföderirten	w1181
auszustehen	w1182
<g/>
;
in=dem	w1184
<g/>
=
das	w1186
Gericht	w1187
erscholl	w1188
<g/>
,
es	w1190
habe	w1191
sich	w1192
eine	w1193
Par=thie	w1194
<g/>
=
von	w1196
ihnen	w1197
in	w1198
die	w1199
Stadt	w1200
geschlichen	w1201
<g/>
.
Man	w1203
hat	w1204
auch	w1205
wirklich	w1206
4	w1207
<g/>
.
von	w1209
ihnen	w1210
erhascht	w1211
<g/>
,
und	w1213
diese	w1214
haben	w1215
ausgesagt	w1216
<g/>
,
daß	w1218
ein	w1219
Haufe	w1220
von	w1221
ihren	w1222
Kameraden	w1223
<g/>
,
in	w1225
der	w1226
Absicht	w1227
einen	w1228
Streich	w1229
aus=zuführen	w1230
<g/>
=
<g/>
,
von	w1233
Piaseczno	w1234
her	w1235
im	w1236
Anrücken	w1237
wäre	w1238
<g/>
.
Hierauf	w1240
wurden	w1241
alle	w1242
Posten	w1243
an	w1244
dem	w1245
Kordon	w1246
eingezogen	w1247
<g/>
,
und	w1249
niemand	w1250
bis	w1251
Nachmittags	w1252
aus	w1253
der	w1254
Stadt	w1255
gelassen	w1256
<g/>
,
sogar	w1258
das	w1259
Vieh	w1260
durfte	w1261
nicht	w1262
auf	w1263
die	w1264
Weide	w1265
<g/>
,
bis	w1267
man	w1268
nachher	w1269
inne	w1270
ward	w1271
<g/>
,
daß	w1273
es	w1274
eine	w1275
panische	w1276
Furcht	w1277
gewesen	w1278
<g/>
.
</p>
<p id="p20">
Die	w1280
Conföderirten	w1281
sind	w1282
sehr	w1283
stutzig	w1284
darüber	w1285
geworden	w1286
<g/>
,
daß	w1288
die	w1289
Preußen	w1290
Feindseligkeiten	w1291
gegen	w1292
sie	w1293
ausüben	w1294
<g/>
,
indem	w1296
sie	w1297
den	w1298
Zaremba	w1299
ge=schlagen	w1300
<g/>
=
<g/>
;
sie	w1303
sind	w1304
es	w1305
aber	w1306
<g/>
,
welche	w1308
diese	w1309
Feindse=lichkeiten	w1310
<g/>
=
angefangen	w1312
haben	w1313
<g/>
.
Die	w1315
Russen	w1316
ha=ben	w1317
<g/>
=
wieder	w1319
einen	w1320
ansehnlichen	w1321
Transport	w1322
ConConföderirter	w1323
<g/>
=
</p>
<p id="p21">
föderirter	w1325
nach	w1326
Rußland	w1327
geschickt	w1328
<g/>
,
worunter	w1330
sich	w1331
der	w1332
älteste	w1333
Sohn	w1334
des	w1335
kurländischen	w1336
Resi=denten	w1337
<g/>
=
Ryzekiws	w1339
befinden	w1340
<g/>
,
und	w1342
für	w1343
den	w1344
sein	w1345
Vater	w1346
vergebens	w1347
gebeten	w1348
haben	w1349
soll	w1350
<g/>
.
Nowiki	w1352
soll	w1353
auch	w1354
dabey	w1355
seyn	w1356
<g/>
.
und	w1358
die	w1359
Ursache	w1360
<g/>
,
warum	w1362
die	w1363
Russen	w1364
jetzt	w1365
keinen	w1366
Conföderirten	w1367
mehr	w1368
los=lassen	w1369
<g/>
=
<g/>
,
ist	w1372
<g/>
,
weil	w1374
Miaczinski	w1375
sein	w1376
Wort	w1377
bekann=termassen	w1378
<g/>
=
nicht	w1380
gehalten	w1381
hat	w1382
<g/>
.
</p>
<head id="hl8">
Klagenfurt	w1384
den	w1385
13	w1386
May	w1387
<g/>
.
</head>
<p id="p22">
Die	w1389
Kammeralwissenschaften	w1390
fangen	w1391
an	w1392
in	w1393
den	w1394
Provinzen	w1395
<g/>
,
wo	w1397
solche	w1398
von	w1399
unserer	w1400
aller=gnädigsten	w1401
<g/>
=
Monarchinn	w1403
eingeführet	w1404
worden	w1405
<g/>
,
immer	w1407
mehr	w1408
zu	w1409
blühen	w1410
<g/>
,
und	w1412
besser	w1413
ge=achtet	w1414
<g/>
=
zu	w1416
werden	w1417
<g/>
.
Einen	w1419
Beweis	w1420
davon	w1421
ha=ben	w1422
<g/>
=
wir	w1424
erst	w1425
neulich	w1426
in	w1427
unserer	w1428
Stadt	w1429
gehabt	w1430
<g/>
,
wo	w1432
zween	w1433
geschickte	w1434
junge	w1435
Leute	w1436
<g/>
,
nämlich	w1438
der	w1439
Hr	w1440
<g/>
.
von	w1442
Justenberg	w1443
und	w1444
von	w1445
Drener	w1446
<g/>
,
unter	w1448
der	w1449
Anleitung	w1450
und	w1451
dem	w1452
Vorsitze	w1453
unse=res	w1454
<g/>
=
öffentlichen	w1456
und	w1457
ordentlichen	w1458
Lehrers	w1459
der	w1460
Kammeralwissenschaften	w1461
Hrn	w1462
<g/>
.
Leopold	w1464
von	w1465
Schulz	w1466
<g/>
,
ächte	w1468
Proben	w1469
der	w1470
in	w1471
der	w1472
Polizey=wissenschaft	w1473
<g/>
=
sich	w1475
erworbenen	w1476
Kenntnisse	w1477
bey	w1478
einer	w1479
öffentlichen	w1480
Disputation	w1481
in	w1482
dem	w1483
Land=haussaale	w1484
<g/>
=
abgeleget	w1486
haben	w1487
<g/>
.
Es	w1489
wohnte	w1490
eine	w1491
ungemeine	w1492
Menge	w1493
diesem	w1494
öffentlichen	w1495
Akte	w1496
bey	w1497
<g/>
,
und	w1499
es	w1500
ward	w1501
derselbe	w1502
mit	w1503
grosser	w1504
Pracht	w1505
unter	w1506
Trompeten	w1507
und	w1508
Paukenschalle	w1509
gehalten	w1510
<g/>
.
Vor	w1512
der	w1513
Disputation	w1514
ward	w1515
an	w1516
die	w1517
Anwesenden	w1518
eine	w1519
gedruckte	w1520
Abhandlung	w1521
über	w1522
die	w1523
Ver=minderung	w1524
<g/>
=
der	w1526
Feyertage	w1527
ausgetheilet	w1528
<g/>
,
wel=che	w1530
<g/>
=
den	w1532
gedachten	w1533
Professor	w1534
von	w1535
Schulz	w1536
zum	w1537
Verfasser	w1538
hat	w1539
<g/>
,
und	w1541
die	w1542
Se	w1543
Excellenz	w1544
der	w1545
hochgebohrne	w1546
Graf	w1547
Hr	w1548
<g/>
.
Gottfried	w1550
v	w1551
<g/>
.
Heister	w1553
<g/>
,
unser	w1555
hiesiger	w1556
Landeshauptmann	w1557
sich	w1558
zueignen	w1559
zu	w1560
lassen	w1561
<g/>
,
die	w1563
hohe	w1564
Gnade	w1565
hatte	w1566
<g/>
.
Nebst	w1568
dem	w1569
aber	w1570
war	w1571
nicht	w1572
nur	w1573
den	w1574
Freunden	w1575
der	w1576
Wissenschaften	w1577
sehr	w1578
erfreulich	w1579
<g/>
,
daß	w1581
sie	w1582
die	w1583
zween	w1584
Defendenten	w1585
mit	w1586
vielem	w1587
Scharfsinne	w1588
<g/>
,
die	w1590
von	w1591
den	w1592
Herren	w1593
OpugnautenOpugnant	w1594
mit	w1595
tiefer	w1596
Einsicht	w1597
gemachten	w1598
Einwürfe	w1599
beantworten	w1600
höreten	w1601
<g/>
;
sondern	w1603
es	w1604
war	w1605
sogar	w1606
eine	w1607
unend=liche	w1608
<g/>
=
Aufmunterung	w1610
für	w1611
die	w1612
Wissenschaften	w1613
<g/>
,
daß	w1615
der	w1616
hochgebohrne	w1617
Graf	w1618
Hr	w1619
<g/>
.
Jakob	w1621
v	w1622
<g/>
.
Gaißruck	w1624
kein	w1625
Bedenken	w1626
trug	w1627
<g/>
,
als	w1629
ein	w1630
Gön=ner	w1631
<g/>
=
der	w1633
Gelehrtheit	w1634
<g/>
,
und	w1636
als	w1637
ein	w1638
Opugnant	w1639
dieser	w1640
Disputation	w1641
beyzuwohnen	w1642
<g/>
,
und	w1644
dabey	w1645
zum	w1646
Lobe	w1647
der	w1648
Monarchinn	w1649
<g/>
,
und	w1651
zum	w1652
Ruh=me	w1653
<g/>
=
der	w1655
Kammeralwissenschaften	w1656
eine	w1657
schön	w1658
geordnete	w1659
Rede	w1660
hielt	w1661
<g/>
.
</p>
<head id="hl9">
Wien	w1663
<g/>
,
den	w1665
16	w1666
<g/>
.
May	w1668
1772	w1669
<g/>
.
</head>
<p id="p23">
Die	w1671
allerhöchst	w1672
<g/>
=
und	w1674
höchsten	w1675
Herrschaften	w1676
des	w1677
kaiserl	w1678
<g/>
.
könig	w1680
<g/>
.
Hofes	w1682
befinden	w1683
sich	w1684
annoch	w1685
zu	w1686
Schönbrun	w1687
im	w1688
erfreulich	w1689
höchstbeglückten	w1690
Wohl	w1691
<g/>
.
</p>
<p id="p24">
Freytag	w1693
Vormittags	w1694
haben	w1695
Jhre	w1696
Majest	w1697
<g/>
.
die	w1699
Kaiserinn	w1700
Königinn	w1701
unsere	w1702
allergnädigste	w1703
Frau	w1704
von	w1705
Schönbrun	w1706
nach	w1707
der	w1708
Hofburg	w1709
sich	w1710
erhoben	w1711
<g/>
,
allwo	w1713
der	w1714
gewöhnliche	w1715
Staatsrath	w1716
in	w1717
Beysein	w1718
allerhöchst	w1719
beyden	w1720
kais	w1721
<g/>
.
kön	w1723
<g/>
.
Majest	w1725
<g/>
.
gehalten	w1727
worden	w1728
<g/>
.
</p>
<p id="p25">
Die	w1730
Frühlingsunterhaltungen	w1731
zu	w1732
Laxenburg	w1733
sind	w1734
auf	w1735
etwelche	w1736
Tage	w1737
verschoben	w1738
worden	w1739
<g/>
.
</p>
<p id="p26">
Donnerstags	w1741
ist	w1742
das	w1743
Eheverlöbniß	w1744
des	w1745
Herrn	w1746
Grafens	w1747
Norbert	w1748
von	w1749
Trautmannstorf	w1750
Herrn	w1751
Sohn	w1752
<g/>
,
mit	w1754
der	w1755
Fräule	w1756
Comtesse	w1757
von	w1758
Kollo=redo	w1759
<g/>
=
in	w1761
des	w1762
Hernn	w1763
Reichvicekanzlers	w1764
Fürstens	w1765
v	w1766
<g/>
.
Kolloredo	w1768
<g/>
,
als	w1770
der	w1771
Fräule	w1772
Comtesse	w1773
Braut	w1774
Hrn	w1775
<g/>
.
Vaters	w1777
Wohnung	w1778
in	w1779
der	w1780
Reichskanzley	w1781
geschlossen	w1782
<g/>
,
und	w1784
Abends	w1785
allda	w1786
große	w1787
Gesell=schaft	w1788
<g/>
=
gehalten	w1790
worden	w1791
<g/>
,
wobey	w1793
sich	w1794
ein	w1795
zahl=reicher	w1796
<g/>
=
hoher	w1798
Adel	w1799
eingefunden	w1800
hat	w1801
<g/>
.
</p>
<p id="p27">
Bey	w1803
dem	w1804
schon	w1805
