<doc id="wr_1758-07-19" attrs="word" year="1758" month="07" day="19" corpus="2">
<head id="h2_d262e3122">
Wißmayr	w1_d262e3126
nach	w7_d262e4568
Münchberg	w9_d262e4571
zu	w11_d262e4574
ste	w13_d262e4578
hen.	w1_d262e4583
</p>
<head id="h2_d262e4589">
Danzig	w1_d262e4593
1.	w3_d262e4596
Julii.	w5_d262e4599
</head>
<p id="p4_d262e4602">
Der	w1_d262e4606
Marsch	w3_d262e4609
der	w5_d262e4612
Rußischen	w7_d262e4615
Trupen	w9_d262e4618
von	w11_d262e4621
der	w1_d262e4626
Seite	w3_d262e4629
von	w5_d262e4632
Schneidmühlen	w7_d262e4635
ist	w9_d262e4638
nicht,	w11_d262e4641
wie	w13_d262e4645
einige	w1_d262e4650
Nachrichten	w3_d262e4653
meldeten,	w5_d262e4656
nach	w7_d262e4659
dem	w9_d262e4662
Bran	w11_d262e4665
denburgischen,	w1_d262e4671
sondern	w3_d262e4674
nach	w5_d262e4677
Pommern	w7_d262e4680
selbst	w9_d262e4683
bestimmt	w1_d262e4688
gewesen.	w3_d262e4691
Eine	w5_d262e4694
Colonne	w7_d262e4697
von	w9_d262e4700
17000.	w11_d262e4703
Mann	w1_d262e4708
Russen	w3_d262e4711
ist	w5_d262e4714
würklich	w7_d262e4717
bey	w9_d262e4720
Tempelburg,	w11_d262e4723
Ratzeburg	w1_d262e4728
und	w3_d262e4731
Bärwalde,	w5_d262e4734
nicht	w7_d262e4737
weit	w9_d262e4740
von	w11_d262e4743
Neu	w1_d262e4749
Stettin,	w3_d262e4752
eingedrungen,	w5_d262e4755
und	w7_d262e4758
sowol	w9_d262e4761
in	w11_d262e4764
Städten	w1_d262e4769
als	w3_d262e4772
Dörfern	w5_d262e4775
wird	w7_d262e4778
alles	w9_d262e4781
vor	w11_d262e4784
ihnen	w13_d262e4788
flüchtig.	w1_d262e4793
Die	w3_d262e4796
Anzahl	w5_d262e4799
der	w7_d262e4802
Preußischen	w9_d262e4805
Tru	w11_d262e4808
pen,	w1_d262e4813
welche	w3_d262e4816
sich	w5_d262e4819
sowol	w7_d262e4822
von	w9_d262e4825
Stolpe	w11_d262e4828
als	w13_d262e4832
von	w15_d262e4835
Stettin	w1_d262e4841
her,	w3_d262e4844
in	w5_d262e4847
Bewegung	w7_d262e4850
setzet,	w9_d262e4853
ist	w11_d262e4856
noch	w13_d262e4860
un	w15_d262e4863
bekannt,	w1_d262e4868
alleine	w3_d262e4871
man	w5_d262e4874
versichert,	w7_d262e4877
daß	w9_d262e4880
sie	w11_d262e4883
sich	w13_d262e4887
bey	w1_d262e4892
Belgard	w3_d262e4895
zusammen	w5_d262e4898
ziehen	w7_d262e4901
werden.	w9_d262e4904
</p>
<p id="p6_d262e4907">
Jn	w1_d262e4911
hiesiger	w3_d262e4914
Gegend	w5_d262e4917
ist	w7_d262e4920
noch	w9_d262e4923
alles	w11_d262e4926
ruhig,	w13_d262e4930
und	w15_d262e4933
diese	w1_d262e4938
Stadt	w3_d262e4941
hat	w5_d262e4944
von	w7_d262e4947
Warschau	w9_d262e4950
aus,	w11_d262e4953
die	w13_d262e4957
Versicherung	w1_d262e4962
erhalten,	w3_d262e4965
von	w5_d262e4968
allen	w7_d262e4971
weitern	w9_d262e4974
An	w11_d262e4977
sprüchen	w1_d262e4983
befreyt	w3_d262e4986
zu	w5_d262e4989
bleiben.	w7_d262e4992
Die	w9_d262e4995
aus	w11_d262e4998
dem	w13_d262e5002
Stadt=gebirte	w1_d262e5007
geflüchtete	w3_d262e5010
Einwohner	w5_d262e5013
kehren	w7_d262e5016
wieder	w1_d262e5021
zurücke	w3_d262e5024
und	w5_d262e5027
die	w7_d262e5030
bey	w9_d262e5033
Dirschau	w11_d262e5036
gestan	w13_d262e5040
dene	w1_d262e5045
Trupen	w3_d262e5048
sind	w5_d262e5051
gleichfals	w7_d262e5054
abmarschirt.	w9_d262e5057
Elbingen	w1_d262e5063
ist	w3_d262e5066
seit	w5_d262e5069
den	w7_d262e5072
20.	w9_d262e5075
Junii	w11_d262e5078
wieder	w13_d262e5082
mit	w15_d262e5085
einem	w1_d262e5090
Regiment	w3_d262e5093
Rußen	w5_d262e5096
besetzt,	w7_d262e5099
und	w9_d262e5102
den	w11_d262e5105
19.	w13_d262e5109
soll	w1_d262e5114
der	w3_d262e5117
Herr	w5_d262e5120
General	w7_d262e5123
Panin,	w9_d262e5126
bey	w11_d262e5129
einem	w13_d262e5133
Scharmützel,	w1_d262e5138
welcher	w3_d262e5141
zwischen	w5_d262e5144
denen	w7_d262e5147
Rußi	w9_d262e5150
schen	w1_d262e5156
und	w3_d262e5159
Preußischen	w5_d262e5162
Trupen	w7_d262e5165
in	w9_d262e5168
der	w11_d262e5171
Tuczo	w13_d262e5175
lischen	w1_d262e5180
Heide	w3_d262e5183
vorgefallen,	w5_d262e5186
stark	w7_d262e5189
verwundet	w9_d262e5192
worden	w1_d262e5197
seyn.	w3_d262e5200
Auf	w5_d262e5203
der	w7_d262e5206
Rhede	w9_d262e5209
von	w11_d262e5212
Stral	w13_d262e5216
sund	w1_d262e5221
sind	w3_d262e5224
schon	w5_d262e5227
den	w7_d262e5230
1.	w9_d262e5233
dieses	w11_d262e5236
die	w13_d262e5240
Regimen	w15_d262e5243
ter	w1_d262e5249
Jönkiöpings,	w3_d262e5252
Cronbergs	w5_d262e5255
und	w7_d262e5258
Calmars	w9_d262e5261
lehn	w1_d262e5266
angekommen,	w3_d262e5269
und	w5_d262e5272
ans	w7_d262e5275
Land	w9_d262e5278
getretten.	w11_d262e5281
</p>
<p id="p8_d262e5284">
Sie	w1_d262e5288
sind	w3_d262e5291
von	w5_d262e5294
dem	w7_d262e5297
neuen	w9_d262e5300
Schwebischen	w11_d262e5303
Tranz	w13_d262e5307
porte,	w1_d262e5312
und	w3_d262e5315
da	w5_d262e5318
der	w7_d262e5321
Wind	w9_d262e5324
günstig	w11_d262e5327
ist,	w13_d262e5331
so	w15_d262e5334
wird	w17_d262e5337
der	w1_d262e5342
übrige	w3_d262e5345
Theil	w5_d262e5348
ehestens	w7_d262e5351
erwartet.	w9_d262e5354
Die	w11_d262e5357
Regimenter	w1_d262e5363
welche	w3_d262e5366
sich	w5_d262e5369
noch	w7_d262e5372
auf	w9_d262e5375
der	w11_d262e5378
Jnsul	w13_d262e5382
Rügen	w1_d262e5387
befunden,	w3_d262e5390
werden	w5_d262e5393
nunmehro	w7_d262e5396
nach	w9_d262e5399
Stralsund	w1_d262e5404
übergesetzt,	w3_d262e5407
und	w5_d262e5410
rücken	w7_d262e5413
unweit	w9_d262e5416
dieser	w1_d262e5421
Stadt	w3_d262e5424
in	w5_d262e5427
ein	w7_d262e5430
abgestochenes	w9_d262e5433
Lager.	w11_d262e5436
Die	w1_d262e5442
Haupt=armee	w3_d262e5445
befindet	w5_d262e5448
sich	w7_d262e5451
noch	w9_d262e5454
in	w11_d262e5457
der	w13_d262e5461
Gegend	w1_d262e5466
von	w3_d262e5469
Greyphswalde,	w5_d262e5472
und	w7_d262e5475
wird	w9_d262e5478
ehe	w11_d262e5481
stens	w1_d262e5486
den	w3_d262e5489
Marsch	w5_d262e5492
in	w7_d262e5495
das	w9_d262e5498
Preußische	w11_d262e5501
Vor	w13_d262e5505
pommern	w1_d262e5510
antretten.	w3_d262e5513
Die	w5_d262e5516
bey	w7_d262e5519
Loitz	w9_d262e5522
gestan	w11_d262e5525
dene	w1_d262e5531
Preußische	w3_d262e5534
Trupen	w5_d262e5537
haben	w7_d262e5540
sich	w9_d262e5543
bis	w11_d262e5546
vor	w13_d262e5550
Anclam	w1_d262e5555
gezogen,	w3_d262e5558
so,	w5_d262e5561
daß	w7_d262e5564
die	w9_d262e5567
Schwedischen	w11_d262e5570
Hussaren	w1_d262e5575
würklich	w3_d262e5578
in	w5_d262e5581
Demmin	w7_d262e5584
eingedrungen.	w9_d262e5587
Bey	w1_d262e5592
der	w3_d262e5595
Schwine	w5_d262e5598
und	w7_d262e5601
Peenemünde	w9_d262e5604
haben	w11_d262e5607
die	w13_d262e5611
Preußen	w1_d262e5617
2.	w3_d262e5620
Bataillons	w5_d262e5623
Jnfanterie	w7_d262e5626
postirt	w9_d262e5629
gehabt,	w1_d262e5634
folglich	w3_d262e5637
ist	w5_d262e5640
den	w7_d262e5643
1.	w9_d262e5646
dieses	w11_d262e5649
ein	w13_d262e5653
Deta	w15_d262e5656
schement	w1_d262e5661
Cavallerie	w3_d262e5664
und	w5_d262e5667
Jnfanterie	w7_d262e5670
zu	w9_d262e5673
ihrer	w11_d262e5676
Delogirung	w1_d262e5681
abgeschickt	w3_d262e5684
worden.	w5_d262e5687
</p>
<head id="h2_d262e5694">
Cöln	w1_d262e5698
7.	w3_d262e5701
Julii.	w5_d262e5704
</head>
<p id="p4_d262e5707">
Das	w1_d262e5711
Haupt=quartier	w3_d262e5714
des	w5_d262e5717
Herrn	w7_d262e5720
Grafen8	w9_d262e5723
Cleimont,	w1_d262e5728
welches	w3_d262e5731
bisheyeigentlich	w5_d262e5734
zu	w7_d262e5737
Nippes	w9_d262e5740
war,	w1_d262e5745
ist	w3_d262e5748
den	w5_d262e5751
5.	w7_d262e5754
dieses,	w9_d262e5757
von	w11_d262e5760
da	w13_d262e5764
nach	w15_d262e5767
Munichs	w17_d262e5770
dorf	w1_d262e5776
verlegt	w3_d262e5779
worden,	w5_d262e5782
als	w7_d262e5785
wohin	w9_d262e5788
auch	w11_d262e5791
zugleich	w13_d262e5795
der	w1_d262e5800
linke	w3_d262e5803
Flügel	w5_d262e5806
der	w7_d262e5809
Armee	w9_d262e5812
eine	w11_d262e5815
Wendung	w13_d262e5819
gemacht	w1_d262e5824
hat.	w3_d262e5827
Der	w5_d262e5830
Graf	w7_d262e5833
von	w9_d262e5836
Guerchy,	w11_d262e5839
der	w13_d262e5843
mit	w1_d262e5848
dem	w3_d262e5851
Regiment	w5_d262e5854
des	w7_d262e5857
Königs	w9_d262e5860
und	w11_d262e5863
mit	w13_d262e5867
dem	w15_d262e5870
von	w1_d262e5876
Provence	w3_d262e5879
zu	w5_d262e5882
Kölligsdorf	w7_d262e5885
stund,	w9_d262e5888
hat	w11_d262e5891
sich	w13_d262e5895
von	w1_d262e5900
da	w3_d262e5903
gegen	w5_d262e5906
Bercheim	w7_d262e5909
gewendet,	w9_d262e5912
zu	w11_d262e5915
Mühl	w13_d262e5919
berg	w1_d262e5924
aber	w3_d262e5927
ist	w5_d262e5930
eine	w7_d262e5933
zweyte	w9_d262e5936
Brücke	w11_d262e5939
über	w13_d262e5943
den	w15_d262e5946
Rhein	w1_d262e5951
geschlagen	w3_d262e5954
worden.	w5_d262e5957
Unweit	w7_d262e5960
Bonn	w9_d262e5963
und	w1_d262e5969
bey	w3_d262e5972
Arweiler	w5_d262e5975
ist	w7_d262e5978
ein	w9_d262e5981
Lager	w11_d262e5984
abgestochen,	w13_d262e5988
das	w1_d262e5993
Magazin	w3_d262e5996
von	w5_d262e5999
Linnig	w7_d262e6002
hieher,	w9_d262e6005
und	w11_d262e6008
die	w13_d262e6012
Bureaux	w1_d262e6017
de	w3_d262e6020
l'intendanre	w5_d262e6023
nach	w7_d262e6026
Coblenz	w9_d262e6029
ver	w11_d262e6032
legt	w1_d262e6037
worden.	w3_d262e6040
Die	w5_d262e6043
Plätze	w7_d262e6046
Wesel,	w9_d262e6049
Geldern	w11_d262e6052
und	w1_d262e6058
Jülich	w3_d262e6061
sind	w5_d262e6064
noch	w7_d262e6067
mit	w9_d262e6070
Französischen	w11_d262e6073
Be	w13_d262e6077
satzungen	w1_d262e6082
versehen	w3_d262e6085
</p>
<head id="h2_d262e6091">
Mecheln	w1_d262e6095
5.	w3_d262e6098
Julii.	w5_d262e6101
</head>
<p id="p4_d262e6104">
Den	w1_d262e6108
2.	w3_d262e6111
dieses	w5_d262e6114
ist	w7_d262e6117
der	w9_d262e6120
Herr	w11_d262e6123
Marquis	w13_d262e6127
de	w15_d262e6130
Castries,	w1_d262e6135
in	w3_d262e6138
aller	w5_d262e6141
Erle	w7_d262e6144
von	w9_d262e6147
Versailles	w11_d262e6150
durch	w13_d262e6154
Brüssel	w1_d262e6159
nach	w3_d262e6162
Lüttich	w5_d262e6165
paßirt,	w7_d262e6168
wo	w9_d262e6171
er	w11_d262e6174
die	w13_d262e6178
Gar	w15_d262e6181
nison	w1_d262e6187
von	w3_d262e6190
Rüremonde	w5_d262e6193
und	w7_d262e6196
einige	w9_d262e6199
andere	w11_d262e6202
Trupen	w1_d262e6207
zusammen	w3_d262e6210
ziehen	w5_d262e6213
wird,	w7_d262e6216
welche	w9_d262e6219
sich	w11_d262e6222
mit	w1_d262e6227
denen	w3_d262e6230
5.	w5_d262e6233
Escadrons	w7_d262e6236
vereinigen	w9_d262e6239
werden,	w11_d262e6242
die	w1_d262e6247
von	w3_d262e6250
Valenciennes	w5_d262e6253
kommen,	w7_d262e6256
und	w9_d262e6259
die	w11_d262e6262
Maas	w13_d262e6266
bedecken	w1_d262e6272
sollen.	w3_d262e6275
Mann	w5_d262e6278
erwartet	w7_d262e6281
auch	w9_d262e6284
Tru	w11_d262e6287
pen	w1_d262e6292
aus	w3_d262e6295
dem	w5_d262e6298
Kaiserlich	w7_d262e6301
Königl.	w9_d262e6304
Flandern	w11_d262e6307
und	w1_d262e6312
das	w3_d262e6315
Regiment	w5_d262e6318
Aubigne	w7_d262e6321
soll	w9_d262e6324
den	w11_d262e6327
5.	w13_d262e6331
Au	w15_d262e6334
treffen,	w1_d262e6339
um	w3_d262e6342
in	w5_d262e6345
Brüssel	w7_d262e6348
zur	w9_d262e6351
Garnison	w11_d262e6354
zu	w13_d262e6358
ver	w15_d262e6361
bleiben.	w1_d262e6367
</p>
<head id="h4_d262e6383">
Düsseldorf	w1_d262e6387
5.	w3_d262e6390
Julii.	w5_d262e6393
</head>
<p id="p6_d262e6396">
Gestern	w1_d262e6400
Abends	w3_d262e6403
um	w5_d262e6406
halb	w7_d262e6409
6.	w9_d262e6412
Uhr	w11_d262e6415
wurde	w13_d262e6419
die	w1_d262e6424
Capitulation	w3_d262e6427
geschlossen,	w5_d262e6430
und	w7_d262e6433
diese	w9_d262e6436
Stadt	w11_d262e6439
denen	w1_d262e6444
Hanoveranern	w3_d262e6447
überlassen,	w5_d262e6450
daher	w7_d262e6453
um	w9_d262e6456
9.	w11_d262e6459
Uhr	w1_d262e6465
schon	w3_d262e6468
200.	w5_d262e6471
Hanoverauer	w7_d262e6474
bis	w9_d262e6477
an	w11_d262e6480
den	w13_d262e6484
Rhein=marschiret,	w1_d262e6489
und	w3_d262e6492
ein	w5_d262e6495
Französisches	w7_d262e6498
Re	w9_d262e6501
giment	w1_d262e6506
ist	w3_d262e6509
bereits	w5_d262e6512
von	w7_d262e6515
hier	w9_d262e6518
ausgezogen.	w11_d262e6521
Schon	w1_d262e6526
gestern	w3_d262e6529
Mittag	w5_d262e6532
fiengen	w7_d262e6535
die	w9_d262e6538
Franzosen	w11_d262e6541
an,	w1_d262e6547
alles	w3_d262e6550
zu	w5_d262e6553
zernichten;	w7_d262e6556
die	w9_d262e6559
2.	w11_d262e6562
fliegenden	w13_d262e6566
Brücken	w1_d262e6571
wurden	w3_d262e6574
gebohrt	w5_d262e6577
und	w7_d262e6580
angezündete	w9_d262e6583
die	w1_d262e6588
Schif=brücke	w3_d262e6591
nebst	w5_d262e6594
aller	w7_d262e6597
Zubehör	w9_d262e6600
und	w11_d262e6603
allen	w13_d262e6607
darbey	w1_d262e6612
befindlichen	w3_d262e6615
Schiffentheils	w5_d262e6618
verbrannt,	w7_d262e6621
theils	w1_d262e6627
versenket;	w3_d262e6630
aller	w5_d262e6633
Vorrat	w7_d262e6636
an	w9_d262e6639
Pulfer	w11_d262e6642
Heu,	w1_d262e6647
Zelten,	w3_d262e6650
Haber,	w5_d262e6653
Weitzen,	w7_d262e6656
Kugeln,	w9_d262e6659
rc.	w11_d262e6662
und	w1_d262e6667
andere	w3_d262e6670
Erfordernüssen,	w5_d262e6673
so	w7_d262e6676
nicht	w9_d262e6679
zu	w11_d262e6682
ver	w13_d262e6686
kauffen	w1_d262e6691
waren,	w3_d262e6694
wurden	w5_d262e6697
in	w7_d262e6700
den	w9_d262e6703
Rhein	w11_d262e6706
gewor	w13_d262e6710
fen,	w1_d262e6716
und	w3_d262e6719
die	w5_d262e6722
Canonen	w7_d262e6725
vernagelt.	w9_d262e6728
Die	w11_d262e6731
Chur	w13_d262e6735
pfälzische	w1_d262e6740
Trupen	w3_d262e6743
haben	w5_d262e6746
Ordre,	w7_d262e6749
noch	w9_d262e6752
heut	w11_d262e6755
zur	w13_d262e6759
Französischen	w1_d262e6764
Armee	w3_d262e6767
zu	w5_d262e6770
marschiren.	w7_d262e6773
</p>
<head id="h2_d262e6779">
