<doc id="wr_1760-08-06" attrs="word" year="1760" month="08" day="06" corpus="2">
<head id="h2_d473e3491">
Toulon	w1_d473e3495
vernihmt	w5_d473e4052
man,	w7_d473e4055
daß	w9_d473e4058
der	w11_d473e4061
Herr	w1_d473e4066
Faber,	w3_d473e4069
und	w5_d473e4072
Rimhaud,	w7_d473e4075
Befehlsha	w9_d473e4078
ber	w1_d473e4084
der	w3_d473e4087
Schiffe	w5_d473e4090
des	w7_d473e4093
Tygers	w9_d473e4096
und	w11_d473e4099
des	w13_d473e4103
Schlos	w15_d473e4106
ses	w1_d473e4111
von	w3_d473e4114
Pin,	w5_d473e4117
so	w7_d473e4120
von	w9_d473e4123
hier	w11_d473e4126
ungefähr	w13_d473e4130
vor	w15_d473e4133
6.	w17_d473e4136
Monat	w1_d473e4141
nach	w3_d473e4144
Martinique	w5_d473e4147
abgeseegelt,	w7_d473e4150
glück	w9_d473e4153
lich	w1_d473e4158
zu	w3_d473e4161
Bourdeaux	w5_d473e4164
mit	w7_d473e4167
einer	w9_d473e4170
reichen	w11_d473e4173
Ladung	w13_d473e4177
eingeloffen.	w1_d473e4183
Man	w3_d473e4186
kalfatert	w5_d473e4189
nunmehr	w7_d473e4192
die	w9_d473e4195
2.	w11_d473e4198
Galeeren,	w1_d473e4203
so	w3_d473e4206
die	w5_d473e4209
Messe	w7_d473e4212
von	w9_d473e4215
Bequcaire	w11_d473e4218
be	w13_d473e4222
decken	w1_d473e4227
sollen.	w3_d473e4230
Sie	w5_d473e4233
werden	w7_d473e4236
in	w9_d473e4239
wenig	w11_d473e4242
Tä	w13_d473e4246
gen	w1_d473e4251
abseegeln	w3_d473e4254
</p>
<head id="h2_d473e4260">
Marseille	w1_d473e4264
14.	w3_d473e4267
Julii.	w5_d473e4270
</head>
<p id="p4_d473e4273">
Den	w1_d473e4277
28.	w3_d473e4280
Junii	w5_d473e4283
kam	w7_d473e4286
das	w9_d473e4289
Holländische	w11_d473e4292
Schif,	w1_d473e4297
die	w3_d473e4300
Maria	w5_d473e4303
Galera	w7_d473e4306
hier	w9_d473e4309
an,	w11_d473e4312
und	w13_d473e4316
berichtete,	w1_d473e4321
daß	w3_d473e4324
es	w5_d473e4327
den	w7_d473e4330
20.	w9_d473e4333
10.	w11_d473e4336
grosse	w13_d473e4340
Eug	w15_d473e4343
ländische	w1_d473e4349
Kriegs=schiffe	w3_d473e4352
vor	w5_d473e4355
Gibraltar	w7_d473e4358
ent	w9_d473e4361
</p>
<p id="p10_d473e4374">
decket.	w1_d473e4378
Der	w3_d473e4381
Herr	w5_d473e4384
der	w7_d473e4387
Tartane,	w9_d473e4390
Maria	w11_d473e4393
Magdalena,	w1_d473e4398
lief	w3_d473e4401
den	w5_d473e4404
5.	w7_d473e4407
dieses	w9_d473e4410
von	w11_d473e4413
Mahon,	w13_d473e4417
wovon	w1_d473e4422
er	w3_d473e4425
den	w5_d473e4428
2.	w7_d473e4431
abgereiset,	w9_d473e4434
hier	w11_d473e4437
ein;	w13_d473e4441
er	w15_d473e4444
meldete,	w1_d473e4450
daß	w3_d473e4453
er	w5_d473e4456
den	w7_d473e4459
28.	w9_d473e4462
Junii	w11_d473e4465
einen	w13_d473e4469
hal	w15_d473e4472
ben	w1_d473e4477
Canonen=schuß	w3_d473e4480
von	w5_d473e4483
jenem	w7_d473e4486
Hafen	w9_d473e4489
8.	w11_d473e4492
Schiffe	w1_d473e4497
mit	w3_d473e4500
Spanischen	w5_d473e4503
Flaggen	w7_d473e4506
erblicket.	w9_d473e4509
Eine	w1_d473e4514
Chaloupe	w3_d473e4517
aus	w5_d473e4520
dortigem	w7_d473e4523
Arsenal	w9_d473e4526
habe	w11_d473e4529
sie	w1_d473e4535
also	w3_d473e4538
für	w5_d473e4541
Spanier	w7_d473e4544
angesehen,	w9_d473e4547
und	w11_d473e4550
seye	w13_d473e4554
auf	w1_d473e4559
eines	w3_d473e4562
dieser	w5_d473e4565
Schiffe	w7_d473e4568
gestiegen.	w9_d473e4571
Die	w11_d473e4574
fremde	w1_d473e4579
Schiffe	w3_d473e4582
hätten	w5_d473e4585
die	w7_d473e4588
Chaluppe	w9_d473e4591
von	w11_d473e4594
8.	w13_d473e4598
Uhr	w1_d473e4603
früh	w3_d473e4606
bis	w5_d473e4609
6.	w7_d473e4612
Uhr	w9_d473e4615
Abends	w11_d473e4618
aufgehalten,	w13_d473e4622
und	w1_d473e4628
von	w3_d473e4631
einem	w5_d473e4634
Schif	w7_d473e4637
an	w9_d473e4640
das	w11_d473e4643
andere	w13_d473e4647
ver	w15_d473e4650
wiesen.	w1_d473e4655
Endlich	w3_d473e4658
wären	w5_d473e4661
es	w7_d473e4664
Engländer	w9_d473e4667
ge	w11_d473e4670
wesen;	w1_d473e4675
sie	w3_d473e4678
hätten	w5_d473e4681
sich	w7_d473e4684
umständlich	w9_d473e4687
bey	w11_d473e4690
der	w13_d473e4694
Chaloupe	w1_d473e4699
um	w3_d473e4702
die	w5_d473e4705
Beschaffenheit	w7_d473e4708
des	w9_d473e4711
Pla	w11_d473e4714
tzes,	w1_d473e4720
den	w3_d473e4723
Namen	w5_d473e4726
des	w7_d473e4729
Befehlshabers	w9_d473e4732
und	w11_d473e4735
die	w1_d473e4740
Stärke	w3_d473e4743
der	w5_d473e4746
Besatzung	w7_d473e4749
erkundiget.	w9_d473e4752
</p>
<head id="h2_d473e4758">
Paris	w1_d473e4762
18.	w3_d473e4765
Julii.	w5_d473e4768
</head>
<p id="p4_d473e4771">
Se.	w1_d473e4775
Majest.	w3_d473e4778
der	w5_d473e4781
König	w7_d473e4784
gabe	w9_d473e4787
denen	w11_d473e4790
Her	w13_d473e4794
ren	w1_d473e4799
Erz=bischöffen	w3_d473e4802
von	w5_d473e4805
Paris	w7_d473e4808
und	w9_d473e4811
Narbon	w11_d473e4814
ne,	w1_d473e4819
nebst	w3_d473e4822
vielen	w5_d473e4825
anderen	w7_d473e4828
Prälaten,	w9_d473e4831
und	w11_d473e4834
Ober=häuptern	w1_d473e4840
der	w3_d473e4843
Geistlichkeit	w5_d473e4846
Befehl,	w7_d473e4849
bey	w1_d473e4854
Hofe	w3_d473e4857
zu	w5_d473e4860
erscheinen,	w7_d473e4863
welches	w9_d473e4866
dieselbe	w11_d473e4869
auch	w1_d473e4874
den	w3_d473e4877
14.	w5_d473e4880
dieses	w7_d473e4883
mit	w9_d473e4886
einem	w11_d473e4889
grossen	w13_d473e4893
Staat	w15_d473e4896
bewerkstelliget;	w1_d473e4901
nach	w3_d473e4904
ihrer	w5_d473e4907
beschehenen	w7_d473e4910
An	w9_d473e4913
kunft	w1_d473e4919
erklärte	w3_d473e4922
ihnen	w5_d473e4925
der	w7_d473e4928
König,	w9_d473e4931
daß	w11_d473e4934
alle	w13_d473e4938
Geistliche	w1_d473e4943
Stände	w3_d473e4946
seines	w5_d473e4949
Reichs	w7_d473e4952
ohne	w9_d473e4955
dem	w11_d473e4958
mindesten	w1_d473e4963
Aufschub	w3_d473e4966
eine	w5_d473e4969
Summe	w7_d473e4972
von	w9_d473e4975
100.	w11_d473e4978
Millionen	w1_d473e4983
Livres	w3_d473e4986
zusammen	w5_d473e4989
schiessen	w7_d473e4992
sollten,	w9_d473e4995
und	w1_d473e5001
daß	w3_d473e5004
sein	w5_d473e5007
Minister	w7_d473e5010
der	w9_d473e5013
Herr	w11_d473e5016
Graf	w13_d473e5020
von	w15_d473e5023
St.	w1_d473e5028
Florentin	w3_d473e5031
seine	w5_d473e5034
Meinung	w7_d473e5037
und	w9_d473e5040
Beweg	w11_d473e5043
gründe,	w1_d473e5048
so	w3_d473e5051
Se.	w5_d473e5054
Majestät	w7_d473e5057
hiezu	w9_d473e5060
verleiteten,	w11_d473e5063
etwas	w1_d473e5068
deutlicher	w3_d473e5071
erörtern	w5_d473e5074
werde.	w7_d473e5077
Worauf	w9_d473e5080
sich	w1_d473e5086
der	w3_d473e5089
König	w5_d473e5092
ohne	w7_d473e5095
eine	w9_d473e5098
Gegen=antwort	w11_d473e5101
zu	w13_d473e5105
erwarten,	w1_d473e5110
in	w3_d473e5113
das	w5_d473e5116
Neben=zimmer	w7_d473e5119
retiriret.	w9_d473e5122
</p>
<p id="p6_d473e5125">
Den	w1_d473e5129
12.	w3_d473e5132
dieses	w5_d473e5135
begabe	w7_d473e5138
sich	w9_d473e5141
die	w11_d473e5144
grosse	w13_d473e5148
De	w15_d473e5151
putation	w1_d473e5156
des	w3_d473e5159
Parlements,	w5_d473e5162
unter	w7_d473e5165
Anfüh	w9_d473e5168
rung	w1_d473e5173
des	w3_d473e5176
Herrn	w5_d473e5179
Präsidentens	w7_d473e5182
von	w9_d473e5185
Mole	w11_d473e5188
in	w1_d473e5194
12.	w3_d473e5197
mit	w5_d473e5200
6.	w7_d473e5203
Pferden	w9_d473e5206
bespannten	w11_d473e5209
Wägen	w13_d473e5213
nacher	w1_d473e5218
Versailles,	w3_d473e5221
um	w5_d473e5224
dem	w7_d473e5227
König	w9_d473e5230
ihre	w11_d473e5233
un	w13_d473e5237
terthänigste	w1_d473e5242
Vorstellungen,	w3_d473e5245
so	w5_d473e5248
die	w7_d473e5251
Wieder	w9_d473e5254
zurückruffung	w1_d473e5259
deren	w3_d473e5262
in	w5_d473e5265
das	w7_d473e5268
Elend	w9_d473e5271
verjagten	w11_d473e5274
Gliedern	w1_d473e5280
des	w3_d473e5283
Parlements	w5_d473e5286
von	w7_d473e5289
Besancon	w9_d473e5292
</p>
<p id="p8_d473e5295">
zum	w1_d473e5299
Zwecke	w3_d473e5302
haben,	w5_d473e5305
neuerdingen	w7_d473e5308
darzuthun,	w9_d473e5311
Se.	w1_d473e5316
Majestät	w3_d473e5319
gabe	w5_d473e5322
hierauf	w7_d473e5325
folgende	w9_d473e5328
Ant	w11_d473e5331
wort:	w1_d473e5336
</p>
<p id="p10_d473e5339">
„	w1_d473e5343
Jch	w3_d473e5346
habe	w5_d473e5349
den	w7_d473e5352
Tag,	w9_d473e5355
an	w11_d473e5358
welchem	w13_d473e5362
ich	w15_d473e5365
die	w1_d473e5370
von	w3_d473e5373
mir	w5_d473e5376
in	w7_d473e5379
das	w9_d473e5382
Elend	w11_d473e5385
verwiesenle	w13_d473e5389
Par	w15_d473e5392
lements=glieder	w1_d473e5397
von	w3_d473e5400
Besancon	w5_d473e5403
zurück	w7_d473e5406
der	w9_d473e5409
fen	w1_d473e5415
werde,	w3_d473e5418
allschon	w5_d473e5421
beschlossen;	w7_d473e5424
ihr	w9_d473e5427
habet	w11_d473e5430
mir	w1_d473e5435
genug	w3_d473e5438
Vorstellungen	w5_d473e5441
dessentwegen	w7_d473e5444
ge	w9_d473e5447
macht,	w1_d473e5452
welche	w3_d473e5455
alle	w5_d473e5458
so	w7_d473e5461
lebhaft	w9_d473e5464
sie	w11_d473e5467
immer	w13_d473e5471
seyn	w1_d473e5476
mögen,	w3_d473e5479
mich	w5_d473e5482
dennoch	w7_d473e5485
auf	w9_d473e5488
keinen	w11_d473e5491
an	w13_d473e5495
deren	w1_d473e5501
Entschluß	w3_d473e5504
zu	w5_d473e5507
bringen	w7_d473e5510
vermögend	w9_d473e5513
sind.	w11_d473e5516
Jch	w1_d473e5521
will	w3_d473e5524
nicht,	w5_d473e5527
daß	w7_d473e5530
man	w9_d473e5533
derohalben	w11_d473e5536
wei	w13_d473e5540
ter	w1_d473e5545
in	w3_d473e5548
mich	w5_d473e5551
dringe,	w7_d473e5554
und	w9_d473e5557
ich	w11_d473e5560
hoffe,	w13_d473e5564
ihr	w15_d473e5567
wer	w17_d473e5570
det	w1_d473e5575
mir	w3_d473e5578
gehorchen.	w5_d473e5581
Die	w7_d473e5584
einzige	w9_d473e5587
Untern	w11_d473e5590
fung	w1_d473e5596
der	w3_d473e5599
Verwiesenen	w5_d473e5602
unter	w7_d473e5605
meinen	w9_d473e5608
unum	w11_d473e5611
schränkten	w1_d473e5616
Willen	w3_d473e5619
kan	w5_d473e5622
mich	w7_d473e5625
bewegen,	w9_d473e5628
die	w11_d473e5631
selbe	w1_d473e5636
alsogleich	w3_d473e5639
zuruck	w5_d473e5642
kommen	w7_d473e5645
zu	w9_d473e5648
lassen.	w11_d473e5651
</p>
<p id="p12_d473e5655">
Am	w1_d473e5659
4.	w3_d473e5662
dieses	w5_d473e5665
Monats	w7_d473e5668
ist	w9_d473e5671
Frau	w11_d473e5674
Anna	w13_d473e5678
Maurice	w1_d473e5683
von	w3_d473e5686
Montmorency	w5_d473e5689
Luxemburg	w7_d473e5692
in	w9_d473e5695
dem	w1_d473e5700
31.	w3_d473e5703
Jahr	w5_d473e5706
ihres	w7_d473e5709
Alters	w9_d473e5712
verstorben.	w11_d473e5715
Sie	w13_d473e5719
war	w1_d473e5725
eine	w3_d473e5728
Tochter	w5_d473e5731
des	w7_d473e5734
Herrn	w9_d473e5737
Carl	w11_d473e5740
Francisei	w13_d473e5744
Friedrichs	w1_d473e5749
von	w3_d473e5752
Montmorency	w5_d473e5755
Luxemburg,	w7_d473e5758
Herzogs,	w1_d473e5763
Paits	w3_d473e5766
und	w5_d473e5769
Marschallens	w7_d473e5772
v.	w9_d473e5775
Frank	w11_d473e5778
reich,	w1_d473e5783
und	w3_d473e5786
Frauen	w5_d473e5789
Maria	w7_d473e5792
Sophia	w9_d473e5795
Hond	w11_d473e5798
ria	w1_d473e5804
von	w3_d473e5807
Colbert	w5_d473e5810
von	w7_d473e5813
Seignelay.	w9_d473e5816
Und	w11_d473e5819
wurde	w13_d473e5823
am	w1_d473e5828
26.	w3_d473e5831
Febr.	w5_d473e5834
1746.	w7_d473e5837
vermählet	w9_d473e5840
mit	w11_d473e5843
Herrn	w13_d473e5847
Anna	w1_d473e5852
Ludwig	w3_d473e5855
Alexander	w5_d473e5858
von	w7_d473e5861
Montmorenicy	w9_d473e5864
Luxemburg,	w1_d473e5869
Prinzen	w3_d473e5872
von	w5_d473e5875
Robecg,	w7_d473e5878
Grand	w9_d473e5881
von	w1_d473e5887
Spanien	w3_d473e5890
der	w5_d473e5893
ersten	w7_d473e5896
Classe,	w9_d473e5899
und	w11_d473e5902
Mar	w13_d473e5906
schall	w1_d473e5911
der	w3_d473e5914
Läger	w5_d473e5917
und	w7_d473e5920
Armeen	w9_d473e5923
des	w11_d473e5926
Königs	w13_d473e5930
</p>
<head id="h2_d473e5936">
Frankfurt	w1_d473e5940
29.	w3_d473e5943
Julii.	w5_d473e5946
</head>
<p id="p4_d473e5949">
Aus	w1_d473e5953
dem	w3_d473e5956
jetzigen	w5_d473e5959
Königl.	w7_d473e5962
Französischen	w9_d473e5965
Haupt=quartier	w1_d473e5970
Freyenhaagen,	w3_d473e5973
einem	w5_d473e5976
Wal	w7_d473e5979
deckischen	w1_d473e5984
Orte,	w3_d473e5987
vernihmt	w5_d473e5990
man:	w7_d473e5993
daß	w9_d473e5996
den	w11_d473e5999
23.	w1_d473e6005
dieses	w3_d473e6008
in	w5_d473e6011
das	w7_d473e6014
damalige	w9_d473e6017
Haupt=quartier	w11_d473e6020
der	w1_d473e6025
Franzosen	w3_d473e6028
zu	w5_d473e6031
Corbach,	w7_d473e6034
55.	w9_d473e6037
Jäger,	w11_d473e6040
2.	w13_d473e6044
Officiers	w1_d473e6049
nebst	w3_d473e6052
einer	w5_d473e6055
Canone,	w7_d473e6058
so	w9_d473e6061
dem	w11_d473e6064
Schel	w13_d473e6068
terischen	w1_d473e6073
Corps	w3_d473e6076
bey	w5_d473e6079
Salzkotten	w7_d473e6082
zwischen	w9_d473e6085
Paderborn	w1_d473e6091
und	w3_d473e6094
Lippstadt,	w5_d473e6097
durch	w7_d473e6100
den	w9_d473e6103
Herrn	w11_d473e6106
von	w1_d473e6111
Origini,	w3_d473e6114
Befehlshaber	w5_d473e6117
des	w7_d473e6120
Fuß	w9_d473e6123
volks,	w11_d473e6126
in	w1_d473e6131
Begleitung	w3_d473e6134
der	w5_d473e6137
Hussaren	w7_d473e6140
von	w9_d473e6143
Turpin	w11_d473e6146
ab	w13_d473e6150
genommen	w1_d473e6155
worden,	w3_d473e6158
angekommen.	w5_d473e6161
Der	w7_d473e6164
Herr	w1_d473e6170
</p>
<p id="p8_d473e6179">
Herr	w1_d473e6183
von	w3_d473e6186
Origini	w5_d473e6189
fande	w7_d473e6192
zu	w9_d473e6195
Paderborn	w11_d473e6198
ver	w13_d473e6202
schiedene	w1_d473e6207
kleine	w3_d473e6210
Magazins	w5_d473e6213
der	w7_d473e6216
Alliirten;	w9_d473e6219
die	w11_d473e6222
Fahren	w1_d473e6227
fehlten	w3_d473e6230
solche	w5_d473e6233
wegzubringen,	w7_d473e6236
und	w9_d473e6239
um	w1_d473e6245
die	w3_d473e6248
Stadt	w5_d473e6251
keiner	w7_d473e6254
Feuers=brunst	w9_d473e6257
auszu	w11_d473e6260
setzen,	w1_d473e6265
wolte	w3_d473e6268
man	w5_d473e6271
sie	w7_d473e6274
auch	w9_d473e6277
nicht	w11_d473e6280
verbrennen	w13_d473e6284
Das	w1_d473e6289
den	w3_d473e6292
16.	w5_d473e6295
von	w7_d473e6298
Corbach	w9_d473e6301
unterm	w11_d473e6304
Herrn	w13_d473e6308
von	w1_d473e6313
Stainville	w3_d473e6316
aufgebrochene	w5_d473e6319
Detaschement	w7_d473e6322
tuckte	w1_d473e6328
den	w3_d473e6331
22.	w5_d473e6334
wieder	w7_d473e6337
in	w9_d473e6340
das	w11_d473e6343
Lager;	w13_d473e6347
der	w15_d473e6350
Herr	w1_d473e6355
General	w3_d473e6358
aber	w5_d473e6361
verbliebe	w7_d473e6364
zu	w9_d473e6367
Marburg.	w11_d473e6370
Den	w1_d473e6375
nämlichen	w3_d473e6378
Tag	w5_d473e6381
Abends	w7_d473e6384
brach	w9_d473e6387
das	w11_d473e6390
Corps	w13_d473e6394
des	w1_d473e6399
Prinzens	w3_d473e6402
von	w5_d473e6405
Robecq	w7_d473e6408
nach	w9_d473e6411
Mengrings	w11_d473e6414
hausen,	w1_d473e6420
eine	w3_d473e6423
Brigade	w5_d473e6426
Reiterey,	w7_d473e6429
und	w9_d473e6432
eine	w11_d473e6435
Brigade	w1_d473e6440
Fuß=volk	w3_d473e6443
aber,	w5_d473e6446
nach	w7_d473e6449
Wisbach	w9_d473e6452
auf.	w11_d473e6455
Man	w1_d473e6460
vermutet	w3_d473e6463
in	w5_d473e6466
kurzem	w7_d473e6469
einen	w9_d473e6472
wichtigen	w11_d473e6475
Vorfall	w1_d473e6480
in	w3_d473e6483
selbiger	w5_d473e6486
Gegend.	w7_d473e6489
</p>
<p id="p10_d473e6492">
Am	w1_d473e6496
Sonn=abend	w3_d473e6499
kamen	w5_d473e6502
der,	w7_d473e6505
an	w9_d473e6508
den	w11_d473e6511
Cur	w13_d473e6515
töllnischen	w1_d473e6520
Hof,	w3_d473e6523
als	w5_d473e6526
Päpstlicher	w7_d473e6529
Nuncius	w9_d473e6532
gehende	w1_d473e6537
Herr	w3_d473e6540
Lucini,	w5_d473e6543
hier	w7_d473e6546
an,	w9_d473e6549
nachdem	w11_d473e6552
Die	w13_d473e6556
selben,	w1_d473e6562
nebst	w3_d473e6565
Dero	w5_d473e6568
ansehnlichem	w7_d473e6571
Gefolge,	w9_d473e6574
die	w1_d473e6579
hiesige	w3_d473e6582
Stadt=bibliothec,	w5_d473e6585
wo	w7_d473e6588
sie	w9_d473e6591
sich	w11_d473e6594
vier	w13_d473e6598
Stunden	w1_d473e6603
lang	w3_d473e6606
verweilet,	w5_d473e6609
nebst	w7_d473e6612
dem	w9_d473e6615
Römer	w11_d473e6618
oder	w1_d473e6623
Raht=haus	w3_d473e6626
in	w5_d473e6629
Augenschein	w7_d473e6632
genommen,	w9_d473e6635
setzten	w1_d473e6641
sie	w3_d473e6644
Dero	w5_d473e6647
Reise	w7_d473e6650
am	w9_d473e6653
Sonntag	w11_d473e6656
weiters	w13_d473e6660
sert.	w1_d473e6665
Man	w3_d473e6668
konte	w5_d473e6671
Dero	w7_d473e6674
grosse	w9_d473e6677
Gelehrsam	w11_d473e6680
keit,	w1_d473e6685
Aufmerksamkeit	w3_d473e6688
und	w5_d473e6691
huldreiches	w7_d473e6694
Be	w9_d473e6697
zeigen	w1_d473e6702
gegen	w3_d473e6705
jedermann	w5_d473e6708
nicht	w7_d473e6711
genug	w9_d473e6714
bewun	w11_d473e6717
dern.	w1_d473e6723
</p>
<head id="h2_d473e6730">
Aus	w1_d473e6734
Hessen	w3_d473e6737
26.	w5_d473e6740
Julii.	w7_d473e6743
</head>
<p id="p4_d473e6746">
Von	w1_d473e6750
der	w3_d473e6753
Königlich=Franzosischen	w5_d473e6756
Haupt	w7_d473e6759
armee	w1_d473e6764
vernihmt	w3_d473e6767
man:	w5_d473e6770
daß	w7_d473e6773
durch	w9_d473e6776
die	w11_d473e6779
kluge	w13_d473e6783
Maas=reguln	w1_d473e6788
des	w3_d473e6791
Herrn	w5_d473e6794
Marschalls,	w7_d473e6797
Her	w9_d473e6800
zogs	w1_d473e6806
von	w3_d473e6809
Broglie,	w5_d473e6812
der	w7_d473e6815
Prinz	w9_d473e6818
Ferdinand	w11_d473e6821
ge	w13_d473e6825
nehliget	w1_d473e6830
worden,	w3_d473e6833
den	w5_d473e6836
25.	w7_d473e6839
Julii	w9_d473e6842
seine	w11_d473e6845
vor	w13_d473e6849
thelhafte	w1_d473e6854
Stellung	w3_d473e6857
zu	w5_d473e6860
Sachsenhausen	w7_d473e6863
zu	w9_d473e6866
verandern,	w1_d473e6871
und	w3_d473e6874
ein	w5_d473e6877
Lager	w7_d473e6880
zu	w9_d473e6883
Wolfshagen	w11_d473e6886
zu	w1_d473e6892
beziehen.	w3_d473e6895
Der	w5_d473e6898
Herr	w7_d473e6901
Marschall	w9_d473e6904
habe	w11_d473e6907
sich	w13_d473e6911
dem	w1_d473e6916
Prinzen	w3_d473e6919
genähert,	w5_d473e6922
und	w7_d473e6925
stehe	w9_d473e6928
zu	w11_d473e6931
Frey	w13_d473e6935
enhagen	w1_d473e6940
ihme	w3_d473e6943
gerabe	w5_d473e6946
über.	w7_d473e6949
Den	w9_d473e6952
nämli	w11_d473e6955
chen	w1_d473e6960
Tag	w3_d473e6963
hat	w5_d473e6966
sich	w7_d473e6969
ein	w9_d473e6972
kleiner	w11_d473e6975
Chock	w13_d473e6979
zwischen	w15_d473e6982
dem	w1_d473e6988
Ritter	w3_d473e6991
von	w5_d473e6994
Muy	w7_d473e6997
und	w9_d473e7000
einem	w11_d473e7003
alliirten	w13_d473e7007
Corps	w1_d473e7012
zugetragen;	w3_d473e7015
wovon	w5_d473e7018
man	w7_d473e7021
zwar	w9_d473e7024
die	w11_d473e7027
Umstände	w1_d473e7032
noch	w3_d473e7035
nicht	w5_d473e7038
angeben	w7_d473e7041
kan,	w9_d473e7044
doch	w11_d473e7047
aber	w13_d473e7051
so	w1_d473e7056
viel	w3_d473e7059
weiß:	w5_d473e7062
daß	w7_d473e7065
die	w9_d473e7068
Franzosen,	w11_d473e7071
ungeach	w13_d473e7075
</p>
<p id="p6_d473e7078">
tet	w1_d473e7082
eines	w3_d473e7085
Verlustes	w5_d473e7088
von	w7_d473e7091
7.	w9_d473e7094
bis	w11_d473e7097
800.	w13_d473e7101
Mann,	w15_d473e7104
dennoch	w1_d473e7109
den	w3_d473e7112
Sieg	w5_d473e7115
behauptet.	w7_d473e7118
Gestern	w9_d473e7121
gab	w11_d473e7124
der	w1_d473e7129
Herr	w3_d473e7132
