<doc id="wr_1758-07-05" attrs="word" year="1758" month="07" day="05" corpus="2">
<head id="h2_d258e3225">
Dünkirchen	w1_d258e3229
Absichten	w5_d258e3504
hinlänglichen	w7_d258e3507
Widerstand	w1_d258e3512
zu	w3_d258e3515
thun	w5_d258e3518
</p>
<head id="h2_d258e3524">
Albama	w1_d258e3528
20.	w3_d258e3531
Martii.	w5_d258e3534
</head>
<p id="p4_d258e3537">
Der	w1_d258e3541
Major	w3_d258e3544
Rogers,	w5_d258e3547
so	w7_d258e3550
am	w9_d258e3553
10	w11_d258e3556
dieses	w13_d258e3560
Monats	w1_d258e3565
mit	w3_d258e3568
180.	w5_d258e3571
Mann	w7_d258e3574
vom	w9_d258e3577
Fort	w11_d258e3580
Ebuari	w13_d258e3584
sich	w1_d258e3589
im	w3_d258e3592
Marsch	w5_d258e3595
gesetzet,	w7_d258e3598
ist	w9_d258e3601
am	w11_d258e3604
13.	w13_d258e3608
darauf	w15_d258e3611
).	w1_d258e3617
Meilen	w3_d258e3620
von	w5_d258e3623
Ficonderoga,	w7_d258e3626
westwärts,	w9_d258e3629
von	w11_d258e3632
300.	w1_d258e3637
Feinden,	w3_d258e3640
meistentheils	w5_d258e3643
Wilden,	w7_d258e3646
ange	w9_d258e3649
geiffen	w1_d258e3654
worden.	w3_d258e3657
Unsere	w5_d258e3660
Leute	w7_d258e3663
haben	w9_d258e3666
deren	w11_d258e3669
40	w13_d258e3673
triezet,	w1_d258e3678
und	w3_d258e3681
den	w5_d258e3684
Rest	w7_d258e3687
in	w9_d258e3690
die	w11_d258e3693
Flucht	w13_d258e3697
geschla	w15_d258e3700
genz	w1_d258e3706
alleine,	w3_d258e3709
da	w5_d258e3712
sie	w7_d258e3715
sich	w9_d258e3718
mit	w11_d258e3721
Wegnehmung	w13_d258e3725
</p>
<p id="p6_d258e3728">
der	w1_d258e3732
Cheveluren	w3_d258e3735
aufgehalten,	w5_d258e3738
sind	w7_d258e3741
die	w9_d258e3744
Feinde	w11_d258e3747
verstärkter	w1_d258e3752
wieder	w3_d258e3755
gekommen,	w5_d258e3758
die	w7_d258e3761
sie	w9_d258e3764
sodann	w11_d258e3767
zum	w1_d258e3772
zweytenmal	w3_d258e3775
repoußiret	w5_d258e3778
haben:	w7_d258e3781
weilen	w9_d258e3784
indessen	w1_d258e3790
aber	w3_d258e3793
ihre	w5_d258e3796
Anzahl	w7_d258e3799
immer	w9_d258e3802
grösser	w11_d258e3805
worden,	w1_d258e3810
und	w3_d258e3813
der	w5_d258e3816
Herr	w7_d258e3819
Rogers	w9_d258e3822
beförchten	w11_d258e3825
müssen,	w1_d258e3830
von	w3_d258e3833
dem	w5_d258e3836
auf	w7_d258e3839
700.	w9_d258e3842
Mann	w11_d258e3845
angewach	w13_d258e3849
senen	w1_d258e3854
feindlichen	w3_d258e3857
Corps	w5_d258e3860
umrungen	w7_d258e3863
zu	w9_d258e3866
werden,	w11_d258e3869
so	w1_d258e3875
hat	w3_d258e3878
er	w5_d258e3881
für	w7_d258e3884
dienlich	w9_d258e3887
erachtet,	w11_d258e3890
sich	w13_d258e3894
zurück	w15_d258e3897
zu	w17_d258e3900
ziehen.	w1_d258e3905
Sein	w3_d258e3908
Verlust	w5_d258e3911
ist	w7_d258e3914
sehr	w9_d258e3917
beträchtlich.	w11_d258e3920
Von	w1_d258e3925
denen	w3_d258e3928
Provincial=trupen	w5_d258e3931
sind	w7_d258e3934
der	w9_d258e3937
Ca	w11_d258e3940
pitain	w1_d258e3945
Bulkley,	w3_d258e3948
die	w5_d258e3951
Leutenants,	w7_d258e3954
Moore	w9_d258e3957
und	w11_d258e3960
Pottinger,	w1_d258e3966
und	w3_d258e3969
die	w5_d258e3972
Fähndriche	w7_d258e3975
Roß,	w9_d258e3978
M.	w11_d258e3981
Da	w13_d258e3985
niel,	w1_d258e3990
Camphell	w3_d258e3993
und	w5_d258e3996
White,	w7_d258e3999
und	w9_d258e4002
von	w11_d258e4005
denen	w13_d258e4009
regulirten	w1_d258e4014
Trupen,	w3_d258e4017
der	w5_d258e4020
Fähndrich	w7_d258e4023
Balford	w9_d258e4026
und	w1_d258e4031
drey	w3_d258e4034
Volontairs	w5_d258e4037
todt:	w7_d258e4040
der	w9_d258e4043
Capitain	w11_d258e4046
Pringle,	w1_d258e4052
die	w3_d258e4055
Lutenants	w5_d258e4058
Philips	w7_d258e4061
und	w9_d258e4064
Roach,	w11_d258e4067
und	w1_d258e4072
ein	w3_d258e4075
Volontair,	w5_d258e4078
sind	w7_d258e4081
gefangen.	w9_d258e4084
Jn	w11_d258e4087
al	w13_d258e4091
lem	w1_d258e4096
beläuft	w3_d258e4099
sich	w5_d258e4102
unser	w7_d258e4105
Verlust	w9_d258e4108
auf	w11_d258e4111
137	w13_d258e4115
Mann.	w15_d258e4118
Den	w1_d258e4123
feindlichen	w3_d258e4126
VerlustLechnet	w5_d258e4129
man	w7_d258e4132
auf	w9_d258e4135
150.	w11_d258e4138
Mann.	w1_d258e4144
Die	w3_d258e4147
Affaire	w5_d258e4150
hat	w7_d258e4153
von	w9_d258e4156
3.	w11_d258e4159
bis	w13_d258e4163
halb	w15_d258e4166
5.	w1_d258e4171
Uhr	w3_d258e4174
Nachmittags	w5_d258e4177
gedapret.	w7_d258e4180
Der	w9_d258e4183
Majo	w11_d258e4186
Rogers	w1_d258e4191
ist	w3_d258e4194
nebst	w5_d258e4197
dem	w7_d258e4200
Leut=nant	w9_d258e4203
Grafton	w11_d258e4206
und	w13_d258e4210
Fähndrich	w1_d258e4215
Waits	w3_d258e4218
alhier	w5_d258e4221
zuruck.	w7_d258e4224
</p>
<head id="h4_d258e4240">
Cöln	w1_d258e4244
22.	w3_d258e4247
May.	w5_d258e4250
</head>
<p id="p6_d258e4253">
Die	w1_d258e4257
Französische	w3_d258e4260
Armee	w5_d258e4263
stehet	w7_d258e4266
seit	w9_d258e4269
den	w11_d258e4272
19.	w13_d258e4276
dieses	w1_d258e4281
in	w3_d258e4284
dem	w5_d258e4287
Lager	w7_d258e4290
bey	w9_d258e4293
Vischeln.	w11_d258e4296
Das	w13_d258e4300
Corps,	w1_d258e4305
welches	w3_d258e4308
bey	w5_d258e4311
Crefeld	w7_d258e4314
voraus	w9_d258e4317
gestan	w11_d258e4320
den,	w1_d258e4326
hat	w3_d258e4329
sich	w5_d258e4332
mit	w7_d258e4335
der	w9_d258e4338
Armee	w11_d258e4341
consungiret,	w13_d258e4345
welche	w1_d258e4350
sich	w3_d258e4353
gänzlich	w5_d258e4356
hinter	w7_d258e4359
der	w9_d258e4362
Landföhrt	w11_d258e4365
ei	w13_d258e4369
nem	w1_d258e4374
alten	w3_d258e4377
Graben	w5_d258e4380
zusammen	w7_d258e4383
gezogen,	w9_d258e4386
und	w11_d258e4389
in	w1_d258e4394
dieser	w3_d258e4397
Position	w5_d258e4400
erwartet	w7_d258e4403
man	w9_d258e4406
die	w11_d258e4409
Hanö	w13_d258e4413
vrische	w1_d258e4419
Armee,	w3_d258e4422
welche	w5_d258e4425
immer	w7_d258e4428
näher	w9_d258e4431
rücket.	w11_d258e4434
Der	w1_d258e4439
linke	w3_d258e4442
Flügel	w5_d258e4445
derselben	w7_d258e4448
hat	w9_d258e4451
sich	w11_d258e4454
bereits	w13_d258e4458
an	w1_d258e4463
Huls	w3_d258e4466
angelehnet,	w5_d258e4469
und	w7_d258e4472
der	w9_d258e4475
rechte	w11_d258e4478
reich	w13_d258e4482
gegen	w1_d258e4487
Kempen.	w3_d258e4490
Erstern	w5_d258e4493
Ort	w7_d258e4496
haben	w9_d258e4499
die	w11_d258e4502
Ha	w13_d258e4506
noveraner	w1_d258e4512
stark	w3_d258e4515
befestiget,	w5_d258e4518
nach	w7_d258e4521
Crefeld	w9_d258e4524
aber	w11_d258e4527
starke	w1_d258e4532
Partheyen	w3_d258e4535
vorausgeschickt,	w5_d258e4538
welche	w7_d258e4541
zu	w9_d258e4544
beunruhigen,	w1_d258e4549
den	w3_d258e4552
21.	w5_d258e4555
der	w7_d258e4558
Graf	w9_d258e4561
von	w11_d258e4564
Vogne	w13_d258e4568
mit	w1_d258e4573
1000.	w3_d258e4576
Reutern,	w5_d258e4579
die	w7_d258e4582
meistens	w9_d258e4585
leichte	w11_d258e4588
Trupen	w1_d258e4594
sind,	w3_d258e4597
aus	w5_d258e4600
dem	w7_d258e4603
Lager	w9_d258e4606
aufgebrochen.	w11_d258e4609
Schon	w1_d258e4614
den	w3_d258e4617
17ten	w5_d258e4620
hatte	w7_d258e4623
der	w9_d258e4626
Prinz	w11_d258e4629
Ferdinand	w13_d258e4633
sein	w1_d258e4638
Haupt=quartier	w3_d258e4641
zu	w5_d258e4644
Kempen.	w7_d258e4647
Den	w9_d258e4650
14.	w11_d258e4653
brach	w1_d258e4658
die	w3_d258e4661
ganze	w5_d258e4664
Armee	w7_d258e4667
vom	w9_d258e4670
Kloster	w11_d258e4673
Camp	w13_d258e4677
auf,	w1_d258e4683
und	w3_d258e4686
der	w5_d258e4689
Marsch	w7_d258e4692
gieng	w9_d258e4695
über	w11_d258e4698
Aldekerken	w13_d258e4702
und	w1_d258e4707
Ruert.	w3_d258e4710
Die	w5_d258e4713
Französische	w7_d258e4716
Armee	w9_d258e4719
machte	w11_d258e4722
zwar	w1_d258e4727
anfänglich	w3_d258e4730
Mine,	w5_d258e4733
als	w7_d258e4736
ob	w9_d258e4739
sie	w11_d258e4742
nach	w13_d258e4746
Wach	w15_d258e4749
tendonk	w1_d258e4754
rücken	w3_d258e4757
wollte,	w5_d258e4760
alleine	w7_d258e4763
den	w9_d258e4766
15.	w11_d258e4769
zog	w13_d258e4773
sie	w1_d258e4779
sich	w3_d258e4782
über	w5_d258e4785
Mörs	w7_d258e4788
und	w9_d258e4791
Urdingen	w11_d258e4794
nach	w13_d258e4798
Cre	w15_d258e4801
velt	w1_d258e4806
und	w3_d258e4809
von	w5_d258e4812
da	w7_d258e4815
bis	w9_d258e4818
gegen	w11_d258e4821
Neus.	w13_d258e4825
Von	w15_d258e4828
da	w17_d258e4831
rückte	w1_d258e4836
sie	w3_d258e4839
bald	w5_d258e4842
wieder	w7_d258e4845
vor,	w9_d258e4848
und	w11_d258e4851
stehet	w13_d258e4855
jetzt	w15_d258e4858
der	w1_d258e4863
Hanövrischen	w3_d258e4866
so	w5_d258e4869
nahe,	w7_d258e4872
daß	w9_d258e4875
sich	w11_d258e4878
beyder	w13_d258e4882
seitige	w1_d258e4888
Vor=posten	w3_d258e4891
bereits	w5_d258e4894
mit	w7_d258e4897
Canonen	w9_d258e4900
er	w11_d258e4903
reichen	w1_d258e4908
können.	w3_d258e4911
Wesel	w5_d258e4914
sowol	w7_d258e4917
als	w9_d258e4920
Geldern	w11_d258e4923
sind	w1_d258e4928
durch	w3_d258e4931
die	w5_d258e4934
dermalige	w7_d258e4937
Position	w9_d258e4940
der	w11_d258e4943
Ha	w13_d258e4947
növrischen	w1_d258e4952
Armee	w3_d258e4955
von	w5_d258e4958
der	w7_d258e4961
Französischen	w9_d258e4964
bey	w11_d258e4967
nahe	w1_d258e4973
abgeschnitten.	w3_d258e4976
Die	w5_d258e4979
Garnison	w7_d258e4982
der	w9_d258e4985
er	w11_d258e4988
stern	w1_d258e4993
Festung	w3_d258e4996
bestehet	w5_d258e4999
noch	w7_d258e5002
in	w9_d258e5005
8.	w11_d258e5008
Regimen	w13_d258e5012
tern,	w1_d258e5017
alleine	w3_d258e5020
da	w5_d258e5023
verschiedne	w7_d258e5026
Detaschements	w9_d258e5029
dieser	w1_d258e5034
Garnison	w3_d258e5037
auf	w5_d258e5040
die	w7_d258e5043
herum	w9_d258e5046
ligende	w11_d258e5049
Ge	w13_d258e5053
genden	w1_d258e5059
öfters	w3_d258e5062
Ausfälle	w5_d258e5065
gethan,	w7_d258e5068
so	w9_d258e5071
haben	w11_d258e5074
des	w13_d258e5078
Prinzen	w1_d258e5083
Ferdinands	w3_d258e5086
Durchl.	w5_d258e5089
dem	w7_d258e5092
Herrn	w9_d258e5095
Ge	w11_d258e5098
neral	w1_d258e5103
von	w3_d258e5106
Wangenheim	w5_d258e5109
Befehl	w7_d258e5112
ertheilt,	w9_d258e5115
Kai	w11_d258e5118
serswerth	w1_d258e5123
zu	w3_d258e5126
verlassen,	w5_d258e5129
und	w7_d258e5132
sich	w9_d258e5135
mit	w11_d258e5138
seinem	w13_d258e5142
Corpo	w1_d258e5148
vor	w3_d258e5151
Wesel	w5_d258e5154
zu	w7_d258e5157
postiren,	w9_d258e5160
damit	w11_d258e5163
die	w13_d258e5167
Gar	w15_d258e5170
nison	w1_d258e5175
dieses	w3_d258e5178
Platzes	w5_d258e5181
eingeschränkt	w7_d258e5184
werden	w9_d258e5187
möge.	w1_d258e5192
Man	w3_d258e5195
ist	w5_d258e5198
stündlich	w7_d258e5201
einer	w9_d258e5204
Battaille	w11_d258e5207
gewärtig.	w1_d258e5212
Grodno	w1_d258e5218
19.	w3_d258e5221
Jun.	w5_d258e5224
</p>
<p id="p8_d258e5227">
Wie	w1_d258e5231
einige	w3_d258e5234
Briefe	w5_d258e5237
von	w7_d258e5240
Dirschau	w9_d258e5243
melden,	w11_d258e5246
so	w1_d258e5251
ist,	w3_d258e5254
der	w5_d258e5257
letzten	w7_d258e5260
Ordre	w9_d258e5263
zufolge,	w11_d258e5266
die	w13_d258e5270
der	w15_d258e5273
Rußisch	w1_d258e5278
Kaiserl.	w3_d258e5281
General	w5_d258e5284
en	w7_d258e5287
Chef,	w9_d258e5290
Graf	w11_d258e5293
von	w1_d258e5299
Fermer	w3_d258e5302
erhalten,	w5_d258e5305
derselbe	w7_d258e5308
mit	w9_d258e5311
der	w11_d258e5314
Rus	w13_d258e5318
sischen	w1_d258e5323
Armee	w3_d258e5326
nach	w5_d258e5329
Pommern	w7_d258e5332
aufgebrochen,	w9_d258e5335
</p>
<p id="p10_d258e5338">
und	w1_d258e5342
hat	w3_d258e5345
nur	w5_d258e5348
3.	w7_d258e5351
Regimenter	w9_d258e5354
bey	w11_d258e5357
gedachtem	w13_d258e5361
Dirschau	w1_d258e5366
zuruck	w3_d258e5369
gelassen.	w5_d258e5372
</p>
<head id="h2_d258e5378">
Londen	w1_d258e5382
24.	w3_d258e5385
Jun.	w5_d258e5388
</head>
<p id="p4_d258e5391">
Den	w1_d258e5395
17.	w3_d258e5398
erfuhr	w5_d258e5401
man	w7_d258e5404
durch	w9_d258e5407
den	w11_d258e5410
Capitain	w13_d258e5414
Freue,	w1_d258e5419
welchen	w3_d258e5422
der	w5_d258e5425
Herzog	w7_d258e5428
von	w9_d258e5431
Marlborough	w11_d258e5434
an	w1_d258e5439
den	w3_d258e5442
Herrn	w5_d258e5445
Pitt	w7_d258e5448
abgeschickt,	w9_d258e5451
daß	w11_d258e5454
die	w13_d258e5458
un	w15_d258e5461
ter	w1_d258e5467
denen	w3_d258e5470
Batterien	w5_d258e5473
zu	w7_d258e5476
St.	w9_d258e5479
Malo	w11_d258e5482
verbrant	w13_d258e5486
Schiffe	w1_d258e5491
gegen	w3_d258e5494
100.	w5_d258e5497
ausmachen	w7_d258e5500
sollen.	w9_d258e5503
Auf	w11_d258e5506
ser	w1_d258e5511
einer	w3_d258e5514
grossen	w5_d258e5517
Menge	w7_d258e5520
ruinirter	w9_d258e5523
Munition	w11_d258e5526
ist	w1_d258e5531
ein	w3_d258e5534
Kriegs=schif	w5_d258e5537
von	w7_d258e5540
50.	w9_d258e5543
Canonen	w11_d258e5546
ein	w13_d258e5550
an	w15_d258e5553
ders	w1_d258e5559
von	w3_d258e5562
36,	w5_d258e5565
die	w7_d258e5568
meisten	w9_d258e5571
Armateurs	w11_d258e5574
deren	w13_d258e5578
einige	w1_d258e5583
30.	w3_d258e5586
mehrere	w5_d258e5589
20.	w7_d258e5592
und	w9_d258e5595
18.	w11_d258e5598
Canonen	w13_d258e5602
geführet,	w1_d258e5607
im	w3_d258e5610
Rauch	w5_d258e5613
aufgegangen.	w7_d258e5616
Der	w9_d258e5619
Her	w11_d258e5622
zog	w1_d258e5627
von	w3_d258e5630
Marlborough	w5_d258e5633
hielt	w7_d258e5636
es	w9_d258e5639
nicht	w11_d258e5642
für	w13_d258e5646
möglich,	w1_d258e5652
St.	w3_d258e5655
Malo	w5_d258e5658
selbst	w7_d258e5661
anzugreiffen,	w9_d258e5664
weil	w11_d258e5667
von	w1_d258e5672
allen	w3_d258e5675
Seiten	w5_d258e5678
Trupen	w7_d258e5681
anmarschierten.	w9_d258e5684
Er	w1_d258e5689
begab	w3_d258e5692
sich	w5_d258e5695
also	w7_d258e5698
nach	w9_d258e5701
Cancale	w11_d258e5704
zurück,	w13_d258e5708
wo	w15_d258e5711
der	w1_d258e5716
Herr	w3_d258e5719
Howe	w5_d258e5722
alles	w7_d258e5725
so	w9_d258e5728
gut	w11_d258e5731
veranstaltet	w13_d258e5735
hat	w15_d258e5738
te,	w1_d258e5744
daß	w3_d258e5747
den	w5_d258e5750
12.	w7_d258e5753
alle	w9_d258e5756
Trupen	w11_d258e5759
wieder	w13_d258e5763
am	w15_d258e5766
Bord	w17_d258e5769
waren,	w1_d258e5774
um	w3_d258e5777
nach	w5_d258e5780
denen	w7_d258e5783
Königl.	w9_d258e5786
Jnstructio	w11_d258e5789
nen	w1_d258e5794
weiter	w3_d258e5797
zu	w5_d258e5800
agiren.	w7_d258e5803
</p>
<head id="h2_d258e5810">
Schreiben	w1_d258e5814
aus	w3_d258e5817
der	w5_d258e5820
Gegend	w7_d258e5823
von	w9_d258e5826
Neuss	w1_d258e5831
24.	w3_d258e5834
Junii.	w5_d258e5837
</head>
<p id="p4_d258e5840">
Sie	w1_d258e5844
werden	w3_d258e5847
allbereits	w5_d258e5850
wissen,	w7_d258e5853
daß	w9_d258e5856
gestern	w11_d258e5859
zwischen	w1_d258e5864
denen	w3_d258e5867
Franzosen	w5_d258e5870
und	w7_d258e5873
Hanoveranern	w9_d258e5876
ein	w1_d258e5881
Treffen	w3_d258e5884
vorgefallen;	w5_d258e5887
da	w7_d258e5890
nun	w9_d258e5893
aber	w11_d258e5896
die	w13_d258e5900
Be	w15_d258e5903
richte	w1_d258e5909
hievon	w3_d258e5912
sehr	w5_d258e5915
unterschieden	w7_d258e5918
seyn	w9_d258e5921
werden,	w11_d258e5924
so	w1_d258e5929
hab	w3_d258e5932
ich	w5_d258e5935
vermeint,	w7_d258e5938
Jhnen	w9_d258e5941
ein	w11_d258e5944
Genügen	w13_d258e5948
zu	w15_d258e5951
thun,	w1_d258e5956
wann	w3_d258e5959
ich	w5_d258e5962
(der	w7_d258e5965
ich	w9_d258e5968
mich	w11_d258e5971
auf	w13_d258e5975
dem	w15_d258e5978
Schlacht=feld	w1_d258e5983
selbst	w3_d258e5986
eingefunden,	w5_d258e5989
und	w7_d258e5992
alles	w9_d258e5995
so	w1_d258e6001
viel	w3_d258e6004
möglich,	w5_d258e6007
beobachtet	w7_d258e6010
hab)	w9_d258e6013
etwas	w11_d258e6016
zu	w13_d258e6020
verläßiges	w1_d258e6025
und	w3_d258e6028
umständliches	w5_d258e6031
von	w7_d258e6034
den	w9_d258e6037
Vor	w11_d258e6040
gang	w1_d258e6045
dieses	w3_d258e6048
Treffens	w5_d258e6051
einberichtete,	w7_d258e6054
Es	w9_d258e6057
ware	w1_d258e6062
vorgestern,	w3_d258e6065
als	w5_d258e6068
sich	w7_d258e6071
der	w9_d258e6074
Prinz	w11_d258e6077
Ferdi	w13_d258e6081
nand	w1_d258e6087
von	w3_d258e6090
Braunscheig	w5_d258e6093
mit	w7_d258e6096
einigen	w9_d258e6099
Trupen	w11_d258e6102
nach	w1_d258e6107
Crevelt	w3_d258e6110
verfügte,	w5_d258e6113
und	w7_d258e6116
daselbst	w9_d258e6119
den	w11_d258e6122
höch	w13_d258e6126
sten	w1_d258e6131
Thurn	w3_d258e6134
bestiege,	w5_d258e6137
um	w7_d258e6140
die	w9_d258e6143
bey	w11_d258e6146
Vischelen	w13_d258e6150
ste	w15_d258e6153
hende	w1_d258e6158
Französische	w3_d258e6161
Armee	w5_d258e6164
von	w7_d258e6167
allen	w9_d258e6170
Seiten	w11_d258e6173
zu	w1_d258e6179
übersehen	w3_d258e6182
und	w5_d258e6185
zu	w7_d258e6188
recognosciren.	w9_d258e6191
Die	w11_d258e6194
Fran	w13_d258e6198
zosen	w1_d258e6203
wurden	w3_d258e6206
dieses	w5_d258e6209
zwar	w7_d258e6212
bald	w9_d258e6215
innen,	w11_d258e6218
schick	w13_d258e6222
ten	w1_d258e6227
auch	w3_d258e6230
ein	w5_d258e6233
Detaschement	w7_d258e6236
auf	w9_d258e6239
Crevelt	w11_d258e6242
ab,	w13_d258e6246
die	w1_d258e6251
alda	w3_d258e6254
befindliche	w5_d258e6257
Hanoveraner	w7_d258e6260
aufzuheben;	w9_d258e6263
allein	w1_d258e6269
der	w3_d258e6272
Prinz	w5_d258e6275
Ferdinand	w7_d258e6278
ware	w9_d258e6281
mit	w11_d258e6284
denen	w13_d258e6288
Seinigen	w1_d258e6293
schon	w3_d258e6296
wieder	w5_d258e6299
glücklich	w7_d258e6302
von	w9_d258e6305
dar	w11_d258e6308
zu	w13_d258e6312
seiner,	w1_d258e6317
zwischen	w3_d258e6320
Hüls	w5_d258e6323
und	w7_d258e6326
Kempen	w9_d258e6329
gelagerten	w11_d258e6332
Armee	w1_d258e6337
zuruck	w3_d258e6340
gekehret,	w5_d258e6343
welche	w7_d258e6346
nun	w9_d258e6349
auf	w11_d258e6352
seinen	w13_d258e6356
Befehl	w1_d258e6362
gestern	w3_d258e6365
Morgen	w5_d258e6368
aufbrechen,	w7_d258e6371
und	w9_d258e6374
in	w11_d258e6377
3.	w1_d258e6382
Colonnen	w3_d258e6385
gegen	w5_d258e6388
die	w7_d258e6391
Franzosen	w9_d258e6394
anrucken	w11_d258e6397
muste.	w1_d258e6402
</p>
<p id="p10_d258e6415">
Als	w1_d258e6419
nun	w3_d258e6422
hierauf	w5_d258e6425
die	w7_d258e6428
voraus	w9_d258e6431
commandirte	w11_d258e6434
Französische	w1_d258e6439
Hussaren=regimenter	w3_d258e6442
von	w5_d258e6445
Tur	w7_d258e6448
pin,	w1_d258e6453
Poleresky	w3_d258e6456
rc.	w5_d258e6459
eilends	w7_d258e6462
zu	w9_d258e6465
der	w11_d258e6468
Hauptar	w13_d258e6472
mee	w1_d258e6478
stiessen,	w3_d258e6481
so	w5_d258e6484
merkte	w7_d258e6487
man	w9_d258e6490
Französi	w11_d258e6493
scher	w1_d258e6498
Seits	w3_d258e6501
den	w5_d258e6504
Hanöverischen	w7_d258e6507
Angrif,	w9_d258e6510
es	w11_d258e6513
wurden	w1_d258e6518
dahero	w3_d258e6521
von	w5_d258e6524
dem	w7_d258e6527
rechten	w9_d258e6530
Flügel	w11_d258e6533
die	w13_d258e6537
diesseits	w1_d258e6542
des	w3_d258e6545
Landförts	w5_d258e6548
(so	w7_d258e6551
ein	w9_d258e6554
alter	w11_d258e6557
tieffer	w13_d258e6561
Graben	w1_d258e6567
ist)	w3_d258e6570
dick	w5_d258e6573
gepflanzte	w7_d258e6576
Canonen	w9_d258e6579
auf	w11_d258e6582
die	w13_d258e6586
anrückende	w1_d258e6591
Hanoveraner	w3_d258e6594
loß	w5_d258e6597
gebrannt.	w7_d258e6600
Die	w9_d258e6603
se	w1_d258e6608
kamen	w3_d258e6611
jedoch,	w5_d258e6614
ungeachtet	w7_d258e6617
des	w9_d258e6620
Feuers,	w11_d258e6623
im	w13_d258e6627
mer	w1_d258e6632
näher,	w3_d258e6635
und	w5_d258e6638
da	w7_d258e6641
man	w9_d258e6644
sollte	w11_d258e6647
vermutet	w13_d258e6651
ha	w15_d258e6654
ben,	w1_d258e6660
die	w3_d258e6663
Hanoveraner	w5_d258e6666
würden	w7_d258e6669
den	w9_d258e6672
Fanzösi	w11_d258e6675
schen	w1_d258e6680
rechten	w3_d258e6683
Flügel	w5_d258e6686
angreiffen	w7_d258e6689
so	w9_d258e6692
äusserte	w11_d258e6695
es	w13_d258e6699
sich	w1_d258e6704
bald	w3_d258e6707
darauf,	w5_d258e6710
daß	w7_d258e6713
sie	w9_d258e6716
es	w11_d258e6719
auf	w13_d258e6723
den	w15_d258e6726
Fran	w17_d258e6729
zösischen	w1_d258e6734
linken	w3_d258e6737
Flügel	w5_d258e6740
gemünzet	w7_d258e6743
hatten.	w9_d258e6746
Jh.	w11_d258e6749
re	w1_d258e6755
Cavallerie	w3_d258e6758
machte	w5_d258e6761
den	w7_d258e6764
Vortrab,	w9_d258e6767
und	w11_d258e6770
als	w13_d258e6774
diese,	w1_d258e6779
bis	w3_d258e6782
auf	w5_d258e6785
einige	w7_d258e6788
Entfernung,	w9_d258e6791
dem	w11_d258e6794
Fran	w13_d258e6798
zösischen	w1_d258e6803
linken	w3_d258e6806
Flügel	w5_d258e6809
beygekommen	w7_d258e6812
ware,	w9_d258e6815
schwenkte	w1_d258e6820
sie	w3_d258e6823
sich	w5_d258e6826
seitwärts,	w7_d258e6829
da	w9_d258e6832
dann	w11_d258e6835
die	w13_d258e6839
Ha	w15_d258e6842
növerische	w1_d258e6848
Creutz	w3_d258e6851
weiß	w5_d258e6854
gepflanzte,	w7_d258e6857
und	w9_d258e6860
mit	w11_d258e6863
Cartitschen	w1_d258e6868
geladene	w3_d258e6871
Canonen,	w5_d258e6874
sich	w7_d258e6877
blos	w9_d258e6880
deckten,	w1_d258e6885
und	w3_d258e6888
daraus	w5_d258e6891
gegen	w7_d258e6894
letzt=gedachten	w9_d258e6897
Flügel	w1_d258e6902
ein	w3_d258e6905
